[2026-03-06 09:26:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-05
正在获取论文...
[arXiv] 2026-03-05 | KARL: Knowledge Agents via Reinforcement Learning
[arXiv] 2026-03-05 | Multi-fidelity Machine Learning Interatomic Potentials for Charged Point Defects
[arXiv] 2026-03-05 | Boosting ASR Robustness via Test-Time Reinforcement Learning with Audio-Text Semantic Rewards
[arXiv] 2026-03-05 | Implicit Bias and Loss of Plasticity in Matrix Completion: Depth Promotes Low-Rankness
[arXiv] 2026-03-05 | FaceCam: Portrait Video Camera Control via Scale-Aware Conditioning
[arXiv] 2026-03-05 | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation
[arXiv] 2026-03-05 | Calculating trace distances of bosonic states in Krylov subspace
[arXiv] 2026-03-05 | cuRoboV2: Dynamics-Aware Motion Generation with Depth-Fused Distance Fields for High-DoF Robots
[arXiv] 2026-03-05 | Towards Multimodal Lifelong Understanding: A Dataset and Agentic Baseline
[arXiv] 2026-03-05 | SurvHTE-Bench: A Benchmark for Heterogeneous Treatment Effect Estimation in Survival Analysis
[arXiv] 2026-03-05 | Finding Short Paths on Simple Polytopes
[arXiv] 2026-03-05 | Quantum Simulation of Coupled Harmonic Oscillators: From Theory to Implementation
[arXiv] 2026-03-05 | Thresholds for colouring the random Borsuk graph
[arXiv] 2026-03-05 | Obata's rigidity theorem in free probability
[arXiv] 2026-03-05 | HALP: Detecting Hallucinations in Vision-Language Models without Generating a Single Token
[arXiv] 2026-03-05 | Heuristics for Shuttling Sequence Optimization for a Linear Segmented Trapped-Ion Quantum Computer
[arXiv] 2026-03-05 | EdgeDAM: Real-time Object Tracking for Mobile Devices
[arXiv] 2026-03-05 | Equilibrium for max-plus payoff
[arXiv] 2026-03-05 | Beyond Scattered Acceptance: Fast and Coherent Inference for DLMs via Longest Stable Prefixes
[arXiv] 2026-03-05 | Accelerating Feynman Integral Evaluation by Avoiding Contour Deformation
[arXiv] 2026-03-05 | On-Policy Self-Distillation for Reasoning Compression
[arXiv] 2026-03-05 | An interpretable prototype parts-based neural network for medical tabular data
[arXiv] 2026-03-05 | Decay Rates in Interleaved Benchmarking with Single-Qubit References
[arXiv] 2026-03-05 | Dissociating Direct Access from Inference in AI Introspection
[arXiv] 2026-03-05 | Resolving the sub-parsec circumnuclear density profiles of quiescent galaxies: Evidence for Bondi accretion flows in tidal disruption event hosts
[arXiv] 2026-03-05 | Soliton dynamics in the Ostrovsky equation with anomalous dispersion
[arXiv] 2026-03-05 | PhysiFlow: Physics-Aware Humanoid Whole-Body VLA via Multi-Brain Latent Flow Matching and Robust Tracking
[arXiv] 2026-03-05 | Controlled fields, rough stochastic calculus, and Itô-Wentzell-Alekseev-Gröbner identities
[arXiv] 2026-03-05 | Evidence for Vortex Rings with Multiquantum Circulation in He II
[arXiv] 2026-03-05 | MQED-QD: An Open-Source Package for Quantum Dynamics Simulation in Complex Dielectric Environments
[arXiv] 2026-03-05 | Connecting Flavor and Baryon Asymmetry via Leptogenesis in Effective Froggatt-Nielsen Theory
[arXiv] 2026-03-05 | Radiation Hydrodynamics at Scale: Comparing MPI and Asynchronous Many-Task Runtimes with FleCSI
[arXiv] 2026-03-05 | Detection of C3 in Titan with VLT-ESPRESSO
[arXiv] 2026-03-05 | PACE: A Personalized Adaptive Curriculum Engine for 9-1-1 Call-taker Training
[arXiv] 2026-03-05 | A Shift-Invariant Deep Learning Framework for Automated Analysis of XPS Spectra
[arXiv] 2026-03-05 | Impact of scissors-correction schemes on second-harmonic generation in ultraviolet nonlinear-optical crystals
[arXiv] 2026-03-05 | Building AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned
[arXiv] 2026-03-05 | Observation of Superfluidity and Meissner Effect of Composite Bosons in GaAs Quantum Hall System
[arXiv] 2026-03-05 | Bayes with No Shame: Admissibility Geometries of Predictive Inference
[arXiv] 2026-03-05 | FairFinGAN: Fairness-aware Synthetic Financial Data Generation
[arXiv] 2026-03-05 | Comparison of data-driven symmetry-preserving closure models for large-eddy simulation
[arXiv] 2026-03-05 | Designing for Adolescent Voice in Health Decisions: Embodied Conversational Agents for HPV Vaccination
[arXiv] 2026-03-05 | Simplified circuit-level decoding using Knill error correction
[arXiv] 2026-03-05 | Dyson Brownian motion on a Jordan curve
[arXiv] 2026-03-05 | Latent-Mark: An Audio Watermark Robust to Neural Resynthesis
[arXiv] 2026-03-05 | HD 188101: A Spotted B Star with Abundance Anomalies
[arXiv] 2026-03-05 | The eV-Scale Sterile Neutrino and Neutrinoless Double Beta Decay
[arXiv] 2026-03-05 | SLICE: Speech Enhancement via Layer-wise Injection of Conditioning Embeddings
[arXiv] 2026-03-05 | Besov regularity of solutions to the Dirichlet problem for the Bessel $(p,s)$-Laplacian
[arXiv] 2026-03-05 | Dynamic Wettability Modulation of Textured, Soft and LIS Interfaces Using Electrowetting
[arXiv] 2026-03-05 | Latent Policy Steering through One-Step Flow Policies
[arXiv] 2026-03-05 | STRUCTUREDAGENT: Planning with AND/OR Trees for Long-Horizon Web Tasks
[arXiv] 2026-03-05 | Drone Air Traffic Control: Tracking a Set of Moving Objects with Minimal Power
[arXiv] 2026-03-05 | Probing vacuum birefringence in an Ultrastrong Laser Field via High-energy Gamma-ray Polarimetry
[arXiv] 2026-03-05 | Extensions to the Wealth Tax Neutrality Framework
[arXiv] 2026-03-05 | Whispering to a Blackbox: Bootstrapping Frozen OCR with Visual Prompts
[arXiv] 2026-03-05 | VietJobs: A Vietnamese Job Advertisement Dataset
[arXiv] 2026-03-05 | Extreme Value Analysis for Finite, Multivariate and Correlated Systems with Finance as an Example
[arXiv] 2026-03-05 | Observing and Controlling Features in Vision-Language-Action Models
[arXiv] 2026-03-05 | Local strategies are pretty good at computing Boolean properties of quantum sequences
[arXiv] 2026-03-05 | Wire Your Way: Hardware-Contextualized Guidance and In-situ Tests for Personalized Circuit Prototyping
[arXiv] 2026-03-05 | Programmable quantum simulation of anharmonic dynamics
[arXiv] 2026-03-05 | Low-depth amplitude estimation via statistical eigengap estimation
[arXiv] 2026-03-05 | Worst-case $L_p$-approximation of periodic functions using median lattice algorithms
[arXiv] 2026-03-05 | Structural Properties of Shortest Flip Sequences Between Plane Spanning Trees
[arXiv] 2026-03-05 | First-principles calculation of coherence length and penetration depth based on density functional theory for superconductors
[arXiv] 2026-03-05 | The effect of charm quark on the QCD chiral phase diagram
[arXiv] 2026-03-05 | Revealing the Topology invariance of vectorial vortex beam in complex media
[arXiv] 2026-03-05 | A Rotation-Compensated Smartphone Accelerometer Application for Undergraduate Mechanics Experiments
[arXiv] 2026-03-05 | Spectroscopic evidence of disorder-induced quantum phase transitions in monolayer Fe(Te,Se) superconductor
[arXiv] 2026-03-05 | Physics-Informed Deep Learning for Industrial Processes: Time-Discrete VPINNs for heat conduction
[arXiv] 2026-03-05 | Analysis of Terms of Service on Social Media Platforms: Consent Challenges and Assessment Metrics
[arXiv] 2026-03-05 | The Asymptotic Behaviour of Oldroyd-B Fluids is Almost Newtonian
[arXiv] 2026-03-05 | On regulated partitions
[arXiv] 2026-03-05 | Systematic study of superconductivity in few-layer $T_d$-MoTe$_2$
[arXiv] 2026-03-05 | VRM: Teaching Reward Models to Understand Authentic Human Preferences
[arXiv] 2026-03-05 | Mixture of Universal Experts: Scaling Virtual Width via Depth-Width Transformation
[arXiv] 2026-03-05 | MPCEval: A Benchmark for Multi-Party Conversation Generation
[arXiv] 2026-03-05 | Analytic structure of $q$-pseudoconcave subsets of continuous graphs
[arXiv] 2026-03-05 | Multiband Hybrid Metasurface for Enhanced Second-Harmonic Generation via Coupled Gap Surface Plasmon Modes
[arXiv] 2026-03-05 | Revisiting an Old Perspective Projection for Monocular 3D Morphable Models Regression
[arXiv] 2026-03-05 | Adaptive Prototype-based Interpretable Grading of Prostate Cancer
[arXiv] 2026-03-05 | Person Detection and Tracking from an Overhead Crane LiDAR
[arXiv] 2026-03-05 | Semantic Communication-Enhanced Split Federated Learning for Vehicular Networks: Architecture, Challenges, and Case Study
[arXiv] 2026-03-05 | Modular memristor model with synaptic-like plasticity and volatile memory
[arXiv] 2026-03-05 | AILS-NTUA at SemEval-2026 Task 3: Efficient Dimensional Aspect-Based Sentiment Analysis
[arXiv] 2026-03-05 | Horospherical splittings of $\mathfrak g$ and related Poisson commutative subalgebras of $\mathcal S(\mathfrak g)$
[arXiv] 2026-03-05 | Rethinking Reproducibility in the Classical (HPC)-Quantum Era: Toward Workflow-Centered Science
[arXiv] 2026-03-05 | Quantum relative entropy regularization for quantum state tomography
[arXiv] 2026-03-05 | BandPO: Bridging Trust Regions and Ratio Clipping via Probability-Aware Bounds for LLM Reinforcement Learning
[arXiv] 2026-03-05 | Energy conservation and pressure relaxation in an extended two-temperature model for copper with an electron temperature-dependent interaction potential
[arXiv] 2026-03-05 | A Method to Derate the Rate-Dependency in the Pass-Band Droop of Comb Decimators
[arXiv] 2026-03-05 | Deterministic Preprocessing and Interpretable Fuzzy Banding for Cost-per-Student Reporting from Extracted Records
[arXiv] 2026-03-05 | Spectral dynamics reservoir computing for high-speed hardware-efficient neuromorphic processing
[arXiv] 2026-03-05 | U-Parking: Distributed UWB-Assisted Autonomous Parking System with Robust Localization and Intelligent Planning
[arXiv] 2026-03-05 | Can LLMs Capture Expert Uncertainty? A Comparative Analysis of Value Alignment in Ethnographic Qualitative Research
[arXiv] 2026-03-05 | Locality-Attending Vision Transformer
[arXiv] 2026-03-05 | Public Sector Open Source Program Offices - Archetypes for how to Grow (Common) Institutional Capabilities
[arXiv] 2026-03-05 | Construction of higher Chow cycles on cyclic coverings of $\mathbb{P}^1 \times \mathbb{P}^1$, Part II
[arXiv] 2026-03-05 | SEA-TS: Self-Evolving Agent for Autonomous Code Generation of Time Series Forecasting Algorithms
[arXiv] 2026-03-05 | An Optimal Algorithm for Computing Many Faces in Line Arrangements
[arXiv] 2026-03-05 | STOchastic LAttice Simulation of hybrid inflation
[arXiv] 2026-03-05 | $N^{3/2}$ Scaling from $3d$ $\mathcal{N}=2$ Dualities: an Alternative Approach to Chiral Quivers
[arXiv] 2026-03-05 | SCoUT: Scalable Communication via Utility-Guided Temporal Grouping in Multi-Agent Reinforcement Learning
[arXiv] 2026-03-05 | From Unfamiliar to Familiar: Detecting Pre-training Data via Gradient Deviations in Large Language Models
[arXiv] 2026-03-05 | The Semantic Arrow of Time, Part V: The Leibniz Bridge -- Toward a Unified Theory of Semantic Time
[arXiv] 2026-03-05 | Design rules for industrial-scale sintering of UB4-UBC composites with high uranium density
[arXiv] 2026-03-05 | Resolving diffusion signatures in distant pulsar halos with current and future experiments
[arXiv] 2026-03-05 | Revisiting Shape from Polarization in the Era of Vision Foundation Models
[arXiv] 2026-03-05 | Detection of GNSS Interference Using Reflected Signal Ob-servations from the LEO Satellite Constellation
[arXiv] 2026-03-05 | Meta-D: Metadata-Aware Architectures for Brain Tumor Analysis and Missing-Modality Segmentation
[arXiv] 2026-03-05 | The Inductive Bias of Convolutional Neural Networks: Locality and Weight Sharing Reshape Implicit Regularization
[arXiv] 2026-03-05 | Guiding Diffusion-based Reconstruction with Contrastive Signals for Balanced Visual Representation
[arXiv] 2026-03-05 | Hardware-Software Co-design for 3D-DRAM-based LLM Serving Accelerator
[arXiv] 2026-03-05 | Adaptive Personalized Federated Reinforcement Learning for RIS-Assisted Aerial Relays in SAGINs with Fluid Antennas
[arXiv] 2026-03-05 | Accelerating massive galaxy formation with primordial black hole seed nuclei
[arXiv] 2026-03-05 | Robust composite two-qubit gates for silicon-based spin qubits
[arXiv] 2026-03-05 | TSEmbed: Unlocking Task Scaling in Universal Multimodal Embeddings
[arXiv] 2026-03-05 | ConTSG-Bench: A Unified Benchmark for Conditional Time Series Generation
[arXiv] 2026-03-05 | LLM-Guided Decentralized Exploration with Self-Organizing Robot Teams
[arXiv] 2026-03-05 | Designing and Validating a Self-Aligning Tool Changer for Modular Reconfigurable Manipulation Robots
[arXiv] 2026-03-05 | Quantum Algorithms for Network Signal Coordination
[arXiv] 2026-03-05 | Gait Generation Balancing Joint Load and Mobility for Legged Modular Robots with Easily Detachable Joints
[arXiv] 2026-03-05 | SeekRBP: Leveraging Sequence-Structure Integration with Reinforcement Learning for Receptor-Binding Protein Identification
[arXiv] 2026-03-05 | Multistage Stochastic Programming for Rare Event Risk Mitigation in Power Systems Management
[arXiv] 2026-03-05 | FOZO: Forward-Only Zeroth-Order Prompt Optimization for Test-Time Adaptation
[arXiv] 2026-03-05 | When Priors Backfire: On the Vulnerability of Unlearnable Examples to Pretraining
[arXiv] 2026-03-05 | Cognitive Warfare: Definition, Framework, and Case Study
[arXiv] 2026-03-05 | Probing the properties of active regions in the solar interface region using full-disk spectroheliograms
[arXiv] 2026-03-05 | Balancing Coverage and Draft Latency in Vocabulary Trimming for Faster Speculative Decoding
[arXiv] 2026-03-05 | What induces plane structures in complete graph drawings?
[arXiv] 2026-03-05 | Extending quasiconvex functions from uniformly convex sets
[arXiv] 2026-03-05 | Optimization with Parametric Variational Inequality Constraints on a Moving Set
[arXiv] 2026-03-05 | Escaping the Hydrolysis Trap: An Agentic Workflow for Inverse Design of Durable Photocatalytic Covalent Organic Frameworks
[arXiv] 2026-03-05 | Critic in the Loop: A Tri-System VLA Framework for Robust Long-Horizon Manipulation
[arXiv] 2026-03-05 | Limited-Angle CT Reconstruction Using Multi-Volume Latent Consistency Model
[arXiv] 2026-03-05 | Emergence of the geometric contribution to the superfluid density in the inner crust of neutron stars
[arXiv] 2026-03-05 | Security bounds for unidimensional discrete-modulated CV-QKD: a Gaussian extremality approach
[arXiv] 2026-03-05 | Complete Nevanlinna-Pick property of $\mathbb K$-Invariant Reproducing Kernels
[arXiv] 2026-03-05 | V2N-Based Algorithm and Communication Protocol for Autonomous Non-Stop Intersections
[arXiv] 2026-03-05 | RESYSTANCE: Unleashing Hidden Performance of Compaction in LSM-trees via eBPF
[arXiv] 2026-03-05 | Lifelong Language-Conditioned Robotic Manipulation Learning
[arXiv] 2026-03-05 | Balancing Privacy-Quality-Efficiency in Federated Learning through Round-Based Interleaving of Protection Techniques
[arXiv] 2026-03-05 | Constant-Depth Quantum Imaginary Time Evolution Using Dynamic Fan-out Circuits
[arXiv] 2026-03-05 | Simulating Lattice Gauge Theories with Virtual Rishons
[arXiv] 2026-03-05 | Federated Causal Discovery Across Heterogeneous Datasets under Latent Confounding
[arXiv] 2026-03-05 | Particle-Guided Diffusion for Gas-Phase Reaction Kinetics
[arXiv] 2026-03-05 | Representation Fidelity:Auditing Algorithmic Decisions About Humans Using Self-Descriptions
[arXiv] 2026-03-05 | SRasP: Self-Reorientation Adversarial Style Perturbation for Cross-Domain Few-Shot Learning
[arXiv] 2026-03-05 | MedCoRAG: Interpretable Hepatology Diagnosis via Hybrid Evidence Retrieval and Multispecialty Consensus
[arXiv] 2026-03-05 | Emergence of Turbulence in a counterflow geometry of 2D Polariton Quantum Fluids
[arXiv] 2026-03-05 | Lagrangian dispersion in experimental stratified turbulence
[arXiv] 2026-03-05 | Minimal toughness in subclasses of weakly chordal graphs
[arXiv] 2026-03-05 | Double-sphere enhanced optomechanical spectroscopy constrains symmetron dark energy
[arXiv] 2026-03-05 | UniM: A Unified Any-to-Any Interleaved Multimodal Benchmark
[arXiv] 2026-03-05 | Robust Single-message Shuffle Differential Privacy Protocol for Accurate Distribution Estimation
[arXiv] 2026-03-05 | Synchronization-based clustering on the unit hypersphere
[arXiv] 2026-03-05 | Reward-Conditioned Reinforcement Learning
[arXiv] 2026-03-05 | Attacking the Polynomials in the Maze of Finite Fields problem
[arXiv] 2026-03-05 | Sound Mode and Scale-Dependent Growth in Two-Fluid Dynamical Dark Energy
[arXiv] 2026-03-05 | MCEL: Margin-Based Cross-Entropy Loss for Error-Tolerant Quantized Neural Networks
[arXiv] 2026-03-05 | Generalizable Multiscale Segmentation of Heterogeneous Map Collections
[arXiv] 2026-03-05 | The Trilingual Triad Framework: Integrating Design, AI, and Domain Knowledge in No-code AI Smart City Course
[arXiv] 2026-03-05 | Neural blind deconvolution to reconstruct high-resolution ground-based solar observations
[arXiv] 2026-03-05 | Robust adaptive NMPC using ellipsoidal tubes
[arXiv] 2026-03-05 | S5-SHB Agent: Society 5.0 enabled Multi-model Agentic Blockchain Framework for Smart Home
[arXiv] 2026-03-05 | Causal Fermion Systems, Non-Commutative Geometry and Generalized Trace Dynamics
[arXiv] 2026-03-05 | Receding-Horizon Maximum-Likelihood Estimation of Neural-ODE Dynamics and Thresholds from Event Cameras
[arXiv] 2026-03-05 | Approximate master equations for the spatial public goods game
[arXiv] 2026-03-05 | Bayesian Indicator-Saturated Regression for Climate Policy Evaluation
[arXiv] 2026-03-05 | A loop quantization of the marginally bound Lemaître-Tolman-Bondi dust model
[arXiv] 2026-03-05 | Stochastic Optimal Feedforward-Feedback Control for Partially Observable Sensorimotor Systems
