[2025-12-12 09:14:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-11
正在获取论文...
[arXiv] 2025-12-11 | Improved Identification of Strongly Lensed Gravitational Waves with Host Galaxy Locations
[arXiv] 2025-12-11 | Wind-mediated Eddington-limited emission in a 1e4 Black Hole Tidal Disruption Event
[arXiv] 2025-12-11 | NormCode: A Semi-Formal Language for Context-Isolated AI Planning
[arXiv] 2025-12-11 | A note on modular properties of non-principal and non-coprincipal admissible $C^{(1)}_2$-modules of integer level
[arXiv] 2025-12-11 | Sensitivity threshold defines the optimal spin subset for ensemble quantum sensing
[arXiv] 2025-12-11 | Bootstrapping not under the null?
[arXiv] 2025-12-11 | Encoding parameters by measurement: Forgetting can be better in quantum metrology
[arXiv] 2025-12-11 | Near Ultraviolet Transient Explorer (NUTEx): A CubeSat-Based NUV Imaging Payload for Transient Sky Surveys
[arXiv] 2025-12-11 | Semi-Robust Communication Complexity of Maximum Matching
[arXiv] 2025-12-11 | Nonlinear evolution of the ergoregion instability: Turbulence, bursts of radiation, and black hole formation
[arXiv] 2025-12-11 | Disentangled and Distilled Encoder for Out-of-Distribution Reasoning with Rademacher Guarantees
[arXiv] 2025-12-11 | Take a Peek: Efficient Encoder Adaptation for Few-Shot Semantic Segmentation via LoRA
[arXiv] 2025-12-11 | Isotopomer-Specific Carbon Isotope Ratio of Complex Organic Molecules in Star-Forming Cores
[arXiv] 2025-12-11 | A Nonlocal Realization of MOND that Interpolates from Cosmology to Gravitationally Bound Systems
[arXiv] 2025-12-11 | Thermally-controlled interlayer exchange and field-induced anisotropy in synthetic antiferromagnets
[arXiv] 2025-12-11 | Flat groups of automorphisms of totally disconnected, locally compact groups
[arXiv] 2025-12-11 | Objective Coefficient Rounding and Almost Symmetries in Binary Programs
[arXiv] 2025-12-11 | Measures of inaccuracy based on Varextropy
[arXiv] 2025-12-11 | Reconstructing Transportation Cost Planning Theory: A Multi-Layered Framework Integrating Stepwise Functions, AI-Driven Dynamic Pricing, and Sustainable Autonomy
[arXiv] 2025-12-11 | Chaos, Entanglement and Measurement: Field-Theoretic Perspectives on Quantum Information Dynamics
[arXiv] 2025-12-11 | Nanoscale magnetometry of a synthetic three-dimensional spin texture
[arXiv] 2025-12-11 | Learning Time-Varying Correlation Networks with FDR Control via Time-Varying P-values
[arXiv] 2025-12-11 | Geometric quantization on big line bundles
[arXiv] 2025-12-11 | HypeR Adaptivity: Joint $hr$-Adaptive Meshing via Hypergraph Multi-Agent Deep Reinforcement Learning
[arXiv] 2025-12-11 | Engineering Multifunctional Response in Monolayer Fe3O4 via Zr Adsorption: From Half-Metallicity to Enhanced Piezoelectricity
[arXiv] 2025-12-11 | A Sampling Strategy Benchmark for Machine-Learning-Based Seismic Liquefaction Prediction
[arXiv] 2025-12-11 | Design and Implementation of a High-Precision Wind-Estimation UAV with Onboard Sensors
[arXiv] 2025-12-11 | Differential Privacy for Secure Machine Learning in Healthcare IoT-Cloud Systems
[arXiv] 2025-12-11 | Making Wide Stripes Practical: Cascaded Parity LRCs for Efficient Repair and High Reliability
[arXiv] 2025-12-11 | Neural Hamiltonian Deformation Fields for Dynamic Scene Rendering
[arXiv] 2025-12-11 | Rotational Weingarten surfaces in Lorentz-Minkowski space
[arXiv] 2025-12-11 | Cooperative Retrieval-Augmented Generation for Question Answering: Mutual Information Exchange and Ranking by Contrasting Layers
[arXiv] 2025-12-11 | Applying an axiomatic approach to revenue allocation in airlines problems
[arXiv] 2025-12-11 | MultiHateLoc: Towards Temporal Localisation of Multimodal Hate Content in Online Videos
[arXiv] 2025-12-11 | Confucius Code Agent: An Open-sourced AI Software Engineer at Industrial Scale
[arXiv] 2025-12-11 | Robust Crop Planning under Uncertainty: Aligning Economic Optimality with Agronomic Sustainability
[arXiv] 2025-12-11 | RoboNeuron: A Modular Framework Linking Foundation Models and ROS for Embodied AI
[arXiv] 2025-12-11 | Cross-modal Retrieval Models for Stripped Binary Analysis
[arXiv] 2025-12-11 | Fitting magnetization data using continued fraction of straight lines
[arXiv] 2025-12-11 | The LEGA-C galaxy survey: multiple quenching channels for quiescent galaxies at $z\sim1$
[arXiv] 2025-12-11 | Quantum Separability Criteria Based on Symmetric Measurements
[arXiv] 2025-12-11 | KRAS G12D protein screening for pancreatic cancer clinical trials using an AlGaN/GaN high electron mobility transistor biosensor
[arXiv] 2025-12-11 | Neural personal sound zones with flexible bright zone control
[arXiv] 2025-12-11 | Structural Sign Herdability in Temporally Switching Networks with Fixed Topology
[arXiv] 2025-12-11 | GPG: Generalized Policy Gradient Theorem for Transformer-based Policies
[arXiv] 2025-12-11 | Scaling Behavior of Discrete Diffusion Language Models
[arXiv] 2025-12-11 | Brightening of dark trions in monolayer WS$_2$ via localization of surface plasmons
[arXiv] 2025-12-11 | Multidimensional Sorting: Comparative Statics
[arXiv] 2025-12-11 | Large Language Models for Superconductor Discovery
[arXiv] 2025-12-11 | Modeling, Segmenting and Statistics of Transient Spindles via Two-Dimensional Ornstein-Uhlenbeck Dynamics
[arXiv] 2025-12-11 | Low-Order $\mathcal{H}_2 / \mathcal{H}_\infty$ Controller Design for Aeroelastic Vibration Suppression
[arXiv] 2025-12-11 | An equivalent condition for q-holonomicity
[arXiv] 2025-12-11 | On the Convergence Analysis of an Inexact Preconditioned Stochastic Model-Based Algorithm
[arXiv] 2025-12-11 | Self-Ensemble Post Learning for Noisy Domain Generalization
[arXiv] 2025-12-11 | Extrapolation of Periodic Functions Using Binary Encoding of Continuous Numerical Values
[arXiv] 2025-12-11 | A remarkable Gaia-assisted discovery of a temporally varying, triple-lensed quasar at z=2.67
[arXiv] 2025-12-11 | Complexity and multi-functional variants of the Quantum-to-Quantum Bernoulli Factories
[arXiv] 2025-12-11 | From Delay to Inertia and Triadic Interactions: A Reduction of Coupled Time-Delayed Oscillators
[arXiv] 2025-12-11 | The FACTS Leaderboard: A Comprehensive Benchmark for Large Language Model Factuality
[arXiv] 2025-12-11 | The dynamics of thermalisation in the Galerkin-truncated, three-dimensional Euler equation
[arXiv] 2025-12-11 | Discontinuous actions on cones, joins, and $n$-universal bundles
[arXiv] 2025-12-11 | On Quantum Modularity for Geometric 3-Manifolds
[arXiv] 2025-12-11 | OPV: Outcome-based Process Verifier for Efficient Long Chain-of-Thought Verification
[arXiv] 2025-12-11 | Textual Data Bias Detection and Mitigation - An Extensible Pipeline with Experimental Evaluation
[arXiv] 2025-12-11 | Wavefront propagation in a bistable dual-delayed-feedback oscillator: analogy to networks with nonlocal interactions
[arXiv] 2025-12-11 | NN-Based Frequency Domain DPD for OFDM Massive MIMO Transmitters With Multiple States
[arXiv] 2025-12-11 | IRG-MotionLLM: Interleaving Motion Generation, Assessment and Refinement for Text-to-Motion Generation
[arXiv] 2025-12-11 | Video Depth Propagation
[arXiv] 2025-12-11 | Generalized Spherical Neural Operators: Green's Function Formulation
[arXiv] 2025-12-11 | Further Statistical Study of NISQ Experiments
[arXiv] 2025-12-11 | Dynamic sparse graphs with overlapping communities
[arXiv] 2025-12-11 | Saturation-Based Atom Provenance Tracing in Chemical Reaction Networks
[arXiv] 2025-12-11 | Scalable Optical Links for Controlling Bosonic Quantum Processors
[arXiv] 2025-12-11 | COMPARE: Clinical Optimization with Modular Planning and Assessment via RAG-Enhanced AI-OCT: Superior Decision Support for Percutaneous Coronary Intervention Compared to ChatGPT-5 and Junior Operators
[arXiv] 2025-12-11 | Challenges of Evaluating LLM Safety for User Welfare
[arXiv] 2025-12-11 | The Physics of Sustainability: Material and Power Constraints for the Long Term
[arXiv] 2025-12-11 | A Cryogenic Muon Tagging System Based on Kinetic Inductance Detectors for Superconducting Quantum Processors
[arXiv] 2025-12-11 | OGC Geotech Interoperability Experiment Engineering Report
[arXiv] 2025-12-11 | Spatial-spectral mapping for long-duration broadband terahertz pulse generation in on-chip waveguide arrays
[arXiv] 2025-12-11 | XDen-1K: A Density Field Dataset of Real-World Objects
[arXiv] 2025-12-11 | Virtual camera detection: Catching video injection attacks in remote biometric systems
[arXiv] 2025-12-11 | TriDF: Evaluating Perception, Detection, and Hallucination for Interpretable DeepFake Detection
[arXiv] 2025-12-11 | OutLines: Modeling Spectral Lines from Winds, Bubbles, and Outflows
[arXiv] 2025-12-11 | Linear Quadratic Regulators: A New Look
[arXiv] 2025-12-11 | Codeshare agreements between airlines: literature review with the aid of artificial intelligence
[arXiv] 2025-12-11 | Adaptive Intrusion Detection System Leveraging Dynamic Neural Models with Adversarial Learning for 5G/6G Networks
[arXiv] 2025-12-11 | Thermal and Size Effects in Ferroelastic Domains by Machine Learning
[arXiv] 2025-12-11 | Bessel and Dunkl processes with drift
[arXiv] 2025-12-11 | Lang2Motion: Bridging Language and Motion through Joint Embedding Spaces
[arXiv] 2025-12-11 | SceneMaker: Open-set 3D Scene Generation with Decoupled De-occlusion and Pose Estimation Model
[arXiv] 2025-12-11 | Bidirectional Normalizing Flow: From Data to Noise and Back
[arXiv] 2025-12-11 | Hierarchical Dataset Selection for High-Quality Data Sharing
[arXiv] 2025-12-11 | AlcheMinT: Fine-grained Temporal Control for Multi-Reference Consistent Video Generation
[arXiv] 2025-12-11 | Stronger Normalization-Free Transformers
[arXiv] 2025-12-11 | Anomalous scaling law for the two-dimensional Gaussian free field
[arXiv] 2025-12-11 | BabyVLM-V2: Toward Developmentally Grounded Pretraining and Benchmarking of Vision Foundation Models
[arXiv] 2025-12-11 | Digital Twin Supervised Reinforcement Learning Framework for Autonomous Underwater Navigation
[arXiv] 2025-12-11 | Imprint of the black hole interior on thermal four-point correlators
[arXiv] 2025-12-11 | The LISA Astrophysics "Disc-IMRI" Code Comparison Project: Intermediate-Mass-Ratio Binaries in AGN-Like Discs
[arXiv] 2025-12-11 | Weak Gravity Conjecture in the sky: gravitational waves from preheating in Einstein-Maxwell-Scalar EFT
[arXiv] 2025-12-11 | PubTables-v2: A new large-scale dataset for full-page and multi-page table extraction
[arXiv] 2025-12-11 | Disorder mediated fully compensated ferrimagnetic spin-gapless semiconducting behaviour in Cr3Al Heusler alloy
[arXiv] 2025-12-11 | ENTCALC: Toolkit for calculating geometric entanglement in multipartite quantum systems
[arXiv] 2025-12-11 | Weighing the Milky Way's Satellite Galaxies Using Pulsar Accelerations
[arXiv] 2025-12-11 | How to Trick Your AI TA: A Systematic Study of Academic Jailbreaking in LLM Code Evaluation
[arXiv] 2025-12-11 | Studies on quark-mass dependence of the $N^*(920)$ pole from $πN$ $χ$PT amplitudes
[arXiv] 2025-12-11 | SparseSwaps: Tractable LLM Pruning Mask Refinement at Scale
[arXiv] 2025-12-11 | Basic requirements for potential differences across solid--fluid interfaces
[arXiv] 2025-12-11 | Detection of GW200105 with a targeted eccentric search
[arXiv] 2025-12-11 | Improved gap dependence in adiabatic state preparation by adaptive schedule
[arXiv] 2025-12-11 | SWiT-4D: Sliding-Window Transformer for Lossless and Parameter-Free Temporal 4D Generation
[arXiv] 2025-12-11 | PoseGAM: Robust Unseen Object Pose Estimation via Geometry-Aware Multi-View Reasoning
[arXiv] 2025-12-11 | Cosmic Ray Measurements Using Charge and Light Readout in a Pixelated Liquid Argon Time Projection Chamber
[arXiv] 2025-12-11 | An Elementary Proof of the Near Optimality of LogSumExp Smoothing
[arXiv] 2025-12-11 | Option-Implied Zero-Coupon Yields: Unifying Bond and Equity Markets
[arXiv] 2025-12-11 | CSI-Based User Positioning, Channel Charting, and Device Classification with an NVIDIA 5G Testbed
[arXiv] 2025-12-11 | Zorya: Automated Concolic Execution of Single-Threaded Go Binaries
[arXiv] 2025-12-11 | Developing and Evaluating a Large Language Model-Based Automated Feedback System Grounded in Evidence-Centered Design for Supporting Physics Problem Solving
[arXiv] 2025-12-11 | Revisiting the equation $x^2+y^3=z^p$
[arXiv] 2025-12-11 | Script Gap: Evaluating LLM Triage on Indian Languages in Native vs Roman Scripts in a Real World Setting
[arXiv] 2025-12-11 | Opportunities and Challenges in Harnessing Digital Technology for Effective Teaching and Learning
[arXiv] 2025-12-11 | Deflating the Spacetime-Matter Dichotomy
[arXiv] 2025-12-11 | Template-Free Retrosynthesis with Graph-Prior Augmented Transformers
[arXiv] 2025-12-11 | Chemical enrichment in LINERs from MaNGA. II. Characterizing the shape of their radial metallicity gradients
[arXiv] 2025-12-11 | Monodromy Defects in Maximally Supersymmetric Yang-Mills Theories from Holography
[arXiv] 2025-12-11 | Applying the BF method on the DESI evidence for dynamical dark energy models
[arXiv] 2025-12-11 | Quantifying displacement: a gentrification's consequence via persistent homology
[arXiv] 2025-12-11 | LDP: Parameter-Efficient Fine-Tuning of Multimodal LLM for Medical Report Generation
[arXiv] 2025-12-11 | Learning to Split: A Reinforcement-Learning-Guided Splitting Heuristic for Neural Network Verification
[arXiv] 2025-12-11 | An embedding theorem for Nijenhuis Lie algebras
[arXiv] 2025-12-11 | Kicking Politics: How Football Fan Communities Became Arenas for Political Influence
[arXiv] 2025-12-11 | LGAN: An Efficient High-Order Graph Neural Network via the Line Graph Aggregation
[arXiv] 2025-12-11 | Efficient pulsar distance measurement with multiple nanohertz gravitational-wave sources
[arXiv] 2025-12-11 | Evaluation of preCICE (version 3.3.0) in an Earth System Model Regridding Benchmark
[arXiv] 2025-12-11 | Dynamically consistent finite volume scheme for a bimonomeric simplified model with inflammation processes for Alzheimer's disease
[arXiv] 2025-12-11 | CheXmask-U: Quantifying uncertainty in landmark-based anatomical segmentation for X-ray images
[arXiv] 2025-12-11 | MULE - A Co-Generation Fission Power Plant Concept to Support Lunar In-Situ Resource Utilisation
[arXiv] 2025-12-11 | Master functions and hybrid quantization of perturbed nonrotating black hole interiors
[arXiv] 2025-12-11 | On the ground state of the nonlinear Schr{ö}dinger equation: asymptotic behavior at the endpoint powers
[arXiv] 2025-12-11 | Sharp Monocular View Synthesis in Less Than a Second
[arXiv] 2025-12-11 | Active prognosis and diagnosis of modular discrete-event systems
[arXiv] 2025-12-11 | A Proof of Success and Reward Distribution Protocol for Multi-bridge Architecture in Cross-chain Communication
[arXiv] 2025-12-11 | A purity theorem for Mahler equations
[arXiv] 2025-12-11 | NaviHydra: Controllable Navigation-guided End-to-end Autonomous Driving with Hydra-distillation
[arXiv] 2025-12-11 | Estimating Hormone Concentrations in the Pituitary-Thyroid Feedback Loop from Irregularly Sampled Measurements
[arXiv] 2025-12-11 | All-photonic entanglement swapping with remote quantum dots
[arXiv] 2025-12-11 | Ferroelectric metal-organic frameworks as wide band gap materials
[arXiv] 2025-12-11 | Linear preservers of rank k projections
[arXiv] 2025-12-11 | A Spiking Neural Network Implementation of Gaussian Belief Propagation
[arXiv] 2025-12-11 | Field Reconstruction for High-Frequency Electromagnetic Exposure Assessment Based on Deep Learning
[arXiv] 2025-12-11 | Supporting Migration Policies with Forecasts: Illegal Border Crossings in Europe through a Mixed Approach
[arXiv] 2025-12-11 | From Data Scarcity to Data Care: Reimagining Language Technologies for Serbian and other Low-Resource Languages
[arXiv] 2025-12-11 | Efficient Hypergraph Pattern Matching via Match-and-Filter and Intersection Constraint
[arXiv] 2025-12-11 | Asymptotic analysis of fractional Sobolev spaces on thin films in the low-integrability regime
[arXiv] 2025-12-11 | Inflation at the End of 2025: Constraints on $r$ and $n_s$ Using the Latest CMB and BAO Data
[arXiv] 2025-12-11 | Local and Global Balance in Financial Correlation Networks: an Application to Investment Decisions
[arXiv] 2025-12-11 | LEO-RobotAgent: A General-purpose Robotic Agent for Language-driven Embodied Operator
[arXiv] 2025-12-11 | Dileptons at Colliders as Probes of the Quark-Gluon Plasma
[arXiv] 2025-12-11 | Synchronization in Networks of Heterogeneous Kuramoto-Sakaguchi Oscillators with Higher-order Interactions
[arXiv] 2025-12-11 | Salient Object Detection in Complex Weather Conditions via Noise Indicators
[arXiv] 2025-12-11 | Volatility time series modeling by single-qubit quantum circuit learning
[arXiv] 2025-12-11 | Unleashing Degradation-Carrying Features in Symmetric U-Net: Simpler and Stronger Baselines for All-in-One Image Restoration
[arXiv] 2025-12-11 | Binding of holes and competing spin-charge order in simple and extended Hubbard model on cylindrical lattice: An exact diagonalization study
[arXiv] 2025-12-11 | MAUVE-MUSE: A Star Formation-driven Outflow Caught in the Act of Quenching the Stripped Virgo Galaxy NGC 4064
[arXiv] 2025-12-11 | Chaotic discretization theorems for forced linear and nonlinear coupled oscillators
[arXiv] 2025-12-11 | Causal Reasoning Favors Encoders: On The Limits of Decoder-Only Models
[arXiv] 2025-12-11 | Neutrino oscillations in a Kalb-Ramond black hole background
[arXiv] 2025-12-11 | Twisted homoclinic orbits in Lorenz and Chen systems: rigorous proofs from universal normal form
[arXiv] 2025-12-11 | Blink: Dynamic Visual Token Resolution for Enhanced Multimodal Understanding
[arXiv] 2025-12-11 | XDoGE: Multilingual Data Reweighting to Enhance Language Inclusivity in LLMs
[arXiv] 2025-12-11 | Hybrid Quantum Annealing Approach for High-Dimensional and Multi-Criteria Constrained Quadratic Optimization in Arctic Ship Routing
[arXiv] 2025-12-11 | Mr. Virgil: Learning Multi-robot Visual-range Relative Localization
[arXiv] 2025-12-11 | Large deviations for invariant measure of stochastic Allen-Cahn equation with inhomogeneous boundary conditions and multiplicative noise
[arXiv] 2025-12-11 | Convective and non-convective nature of Balearic meteotsunamis:a 50-year historical review
[arXiv] 2025-12-11 | Parallel Neuron Groups in the Drosophila Brain
[arXiv] 2025-12-11 | Mode-Seeking for Inverse Problems with Diffusion Models
[arXiv] 2025-12-11 | Rapid all-optical loading of trapped ions using a miniaturised atom source
[arXiv] 2025-12-11 | Robust Shape from Focus via Multiscale Directional Dilated Laplacian and Recurrent Network
[arXiv] 2025-12-11 | Scintillating insights into PSR~J0737$-$3039A and the interstellar plasma of the Gum Nebula from MeerKAT
[arXiv] 2025-12-11 | On Simplest Kochen-Specker Sets
[arXiv] 2025-12-11 | Multi-wavelength emission in resistive pulsar magnetospheres
[arXiv] 2025-12-11 | Detailed theoretical analysis of core Helium-burning stars: Mixed mode patterns I. Impact of the He-flash discontinuity and of induced semi-convection
[arXiv] 2025-12-11 | Second order reduced model via incremental projection for Navier Stokes
[arXiv] 2025-12-11 | UniCoR: Modality Collaboration for Robust Cross-Language Hybrid Code Retrieval
[arXiv] 2025-12-11 | Metacognitive Sensitivity for Test-Time Dynamic Model Selection
[arXiv] 2025-12-11 | Electromagnetic leptogenesis -- an EFT-consistent analysis via Wilson coefficients. Part III. Probing light-neutrino masses and low-energy observables
[arXiv] 2025-12-11 | Enhancing Next-Generation Language Models with Knowledge Graphs: Extending Claude, Mistral IA, and GPT-4 via KG-BERT
[arXiv] 2025-12-11 | An M-Health Algorithmic Approach to Identify and Assess Physiotherapy Exercises in Real Time
[arXiv] 2025-12-11 | A Systematic Study of Magnetic Fields Impacts on Neutrino Transport in Core-Collapse Supernovae
[arXiv] 2025-12-11 | Entanglement in C$^*$-algebras: tensor products of state spaces
[arXiv] 2025-12-11 | Impact of Background Conditions on the Structure and Propagation of the Boreal Summer Quasi-Biweekly Oscillation
[arXiv] 2025-12-11 | Generation of proton beams at switchback boundary-like rotational discontinuities in the solar wind
[arXiv] 2025-12-11 | The Eminence in Shadow: Exploiting Feature Boundary Ambiguity for Robust Backdoor Attacks
[arXiv] 2025-12-11 | Collision-Aware Density-Driven Control of Multi-Agent Systems via Control Barrier Functions
[arXiv] 2025-12-11 | The $k$-flip Ising game
[arXiv] 2025-12-11 | A gradient descent algorithm for computing circle patterns
[arXiv] 2025-12-11 | Towards Fine-Grained Recognition with Large Visual Language Models: Benchmark and Optimization Strategies
[arXiv] 2025-12-11 | Investigating training objective for flow matching-based speech enhancement
[arXiv] 2025-12-11 | Loophole-free Bell-inequality violation between atomic states in cavity-QED systems mediated by hybrid atom-light entanglement
[arXiv] 2025-12-11 | Bridging dS/CFT and Celestial Holography via Ward-Takahashi Identities
[arXiv] 2025-12-11 | Primal-dual splitting for structured composite monotone inclusions with or without cocoercivity
[arXiv] 2025-12-11 | Integrated Planning and Machine-Level Scheduling for High-Mix Discrete Manufacturing: A Profit-Driven Heuristic Framework
[arXiv] 2025-12-11 | Topology-Agnostic Animal Motion Generation from Text Prompt
[arXiv] 2025-12-11 | On the Optimality of a Quantum Key Distribution
[arXiv] 2025-12-11 | The Radon Transform-Based Sampling Methods for Biharmonic Sources from the Scattered Fields
[arXiv] 2025-12-11 | Simple Yet Effective Selective Imputation for Incomplete Multi-view Clustering
[arXiv] 2025-12-11 | Spin Orientation Driven Polarization in Collinear Magnets
[arXiv] 2025-12-11 | ConStruct: Structural Distillation of Foundation Models for Prototype-Based Weakly Supervised Histopathology Segmentation
[arXiv] 2025-12-11 | Tunable discrete quasi-time crystal from a single drive
[arXiv] 2025-12-11 | Anomalous Hall effect and rich magnetic phase diagram of Mn$_{100-x}$Rh$_{x}$ epitaxial films
[arXiv] 2025-12-11 | Detectability of Atmospheric Biosignatures in Earth Analogs with Varying Surface Boundary Conditions: Prospects for Characterization in the UV, Visible, Near-Infrared, and Mid-Infrared Regions
[arXiv] 2025-12-11 | Sample-wise Adaptive Weighting for Transfer Consistency in Adversarial Distillation
[arXiv] 2025-12-11 | Hybrid Learning and Optimization-Based Dynamic Scheduling for DL Workloads on Heterogeneous GPU Clusters
[arXiv] 2025-12-11 | Hybrid corona and transient soft X-ray lags in Fairall 9
[arXiv] 2025-12-11 | Error Analysis of Generalized Langevin Equations with Approximated Memory Kernels
[arXiv] 2025-12-11 | Generating strong mechanical squeezing via combined squeezed vacuum field and two-tone driving
[arXiv] 2025-12-11 | Entropic Uncertainty Relations with Quantum Memory in Accelerated Frames via Unruh-DeWitt Detectors
[arXiv] 2025-12-11 | Flow-priority optimization of additively manufactured variable-TPMS lattice heat exchanger based on macroscopic analysis
[arXiv] 2025-12-11 | Optical fuse based on the photorefractive effect for defending the light-injection attacks of quantum key distribution
[arXiv] 2025-12-11 | HyFinBall: a Hybrid User Interface for Coordinated 2D+3D Visualization in Semi-Immersive VR
[arXiv] 2025-12-11 | Impact of the in-medium cross section on cluster spectra in ${}^{40,48}\mathrm{Ca}+{}^{58,64}\mathrm{Ni}$ collisions at $56$ and $140$ $\mathbf{\mathrm{MeV}}/\mathrm{\mathbf{nucleon}}$
[arXiv] 2025-12-11 | Exact Recovery of Non-Random Missing Multidimensional Time Series via Temporal Isometric Delay-Embedding Transform
[arXiv] 2025-12-11 | The Interplay of Statistics and Noisy Optimization: Learning Linear Predictors with Random Data Weights
[arXiv] 2025-12-11 | Neuromorphic Processor Employing FPGA Technology with Universal Interconnections
[arXiv] 2025-12-11 | Assessing Neuromorphic Computing for Fingertip Force Decoding from Electromyography
[arXiv] 2025-12-11 | The Frog Model on $\mathbb{Z}$ with General Random Survival Parameter
[arXiv] 2025-12-11 | The 2025 Foundation Model Transparency Index
[arXiv] 2025-12-11 | E-RayZer: Self-supervised 3D Reconstruction as Spatial Visual Pre-training
[arXiv] 2025-12-11 | Towards Efficient and Effective Multi-Camera Encoding for End-to-End Driving
[arXiv] 2025-12-11 | MeViS: A Multi-Modal Dataset for Referring Motion Expression Video Segmentation
[arXiv] 2025-12-11 | Global stabilization of the planar Ricker system with noisy PBC
