[2026-06-02 23:45:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-01
正在获取论文...
[arXiv] 2026-06-01 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[arXiv] 2026-06-01 | Stress-energy tensor of quantized scalar fields in thermal states on a zero-tidal wormhole
[arXiv] 2026-06-01 | Molecular-to-polymeric crossover in ion diffusion in glyme-based electrolytes: from vehicular to hopping transport
[arXiv] 2026-06-01 | Demonstrating CBM Capabilities by $Λ$ Baryon Reconstruction in Ni+Ni Collisions with the mCBM Experiment at SIS18 of GSI/FAIR
[arXiv] 2026-06-01 | Contrastive Augmented Transformer with Domain-specific Enhancement for Robust Multi-scenario Metal Surface Defect Detection
[arXiv] 2026-06-01 | Quantum resonance encryption for secure data storage and communication with quantum kicked top
[arXiv] 2026-06-01 | Quantum secure blind decryption with two users
[arXiv] 2026-06-01 | SAVMap: Structure-Aided Visual Mapping of Large-Scale 2.5D Manhattan Wireframes from Panoramic Video
[arXiv] 2026-06-01 | A note on SG points for reduced plane curves
[arXiv] 2026-06-01 | The 1/2-Conjecture for $q$-Binomial Coefficients with Fractional Index
[arXiv] 2026-06-01 | Power Semigroups and Two Rigidity Theorems for Groups
[arXiv] 2026-06-01 | Three-scale singular limits with applications to rapidly rotating fluids and the hyperbolization of dispersive systems
[arXiv] 2026-06-01 | Residual Decoder Adapter: ID-Preserving Tokenizer Adaption for Autoregressive Text Rendering
[arXiv] 2026-06-01 | Infinite-dimensionality of the rational homotopy groups of the space of long embeddings of codimension 2
[arXiv] 2026-06-01 | Auto formalisation of Goedel's Second Incompleteness Theorem in Binary Recursive Arithmetic
[arXiv] 2026-06-01 | EVA-Net: Subject-Independent EEG Motor Decoding with Video-Derived Motor Priors
[arXiv] 2026-06-01 | Can the root cluster remain largest forever in random recursive tree percolation?
[arXiv] 2026-06-01 | Distribution and Evolution of the Debris Cloud from the Fragmentation of Intelsat 33E
[arXiv] 2026-06-01 | Deep Learning for Generating Computational PIN-4 Immunohistochemistry Staining from Prostate Biopsy H&E Images
[arXiv] 2026-06-01 | The Lie We Tell: Correcting the Euclidean Fallacy in Vision Language Action Policies via Score Matching on Tangent Space
[arXiv] 2026-06-01 | Mos-Gen: A Generative Molecular Framework for Mosquito Insecticide Design
[arXiv] 2026-06-01 | Higher-order exceptional points and enhanced quantum squeezing in a pseudo-Hermitian semiconductor optomechanical system
[arXiv] 2026-06-01 | Connectivities for k-knitted graphs and for minimal counterexamples to Hadwiger's Conjecture
[arXiv] 2026-06-01 | Mid-Infrared Single-Photon Edge Enhanced Imaging based on Nonlinear Vortex Filtering
[arXiv] 2026-06-01 | FLAME: Physics-Guided Neural Operators for Onboard Satellite Methane Detection in Hyperspectral Imagery
[arXiv] 2026-06-01 | Deformable Wiener Filter for Future Video Coding
[arXiv] 2026-06-01 | Boom, Bubble, or Buildout? A Multi-Method Evaluation of Whether Artificial Intelligence Is in an Ongoing Financial Bubble
[arXiv] 2026-06-01 | Intrinsic Subgroups and the $\ell$-adic Galois image
[arXiv] 2026-06-01 | Tandem Exclusion Process
[arXiv] 2026-06-01 | MomentKV: Closing the Directional Gap in KV Cache Eviction for Long-Context Inference
[arXiv] 2026-06-01 | Making Aggregations Reliable: Realizability Guarantees for Battery Fleets with Heterogeneous Power and Energy Limits
[arXiv] 2026-06-01 | Structural Change Detection in High-Dimensional Transformed Factor Models via Canonical Correlation Analysis
[arXiv] 2026-06-01 | CRePE: Convolution-aware Relative Importance in Post-training Pruning with Efficient Search
[arXiv] 2026-06-01 | Self-Conditioned Positional HNSW for Overlap-Aware Retrieval in Chunked-Document RAG Systems: Method and Industrial Evidence-Quality Audit
[arXiv] 2026-06-01 | Scalable Counterfactual Risk Estimation for Rare Events in Longitudinal Data
[arXiv] 2026-06-01 | Inexact Proximal Point and Tseng Algorithms with Nonsummable Errors to Solve Monotone Inclusions
[arXiv] 2026-06-01 | On the ends of Willmore surfaces with curvature decay
[arXiv] 2026-06-01 | Multilinear extrapolation of compactness on mixed-norm spaces
[arXiv] 2026-06-01 | High moments of random multiplicative functions twisted by Fourier coefficients of modular forms
[arXiv] 2026-06-01 | Evaluation of Baseline Methods for IDD-based SSD External Memory Search
[arXiv] 2026-06-01 | Observation, Not Prediction: Conversation-Level Disaggregated Scheduling for Agentic Serving
[arXiv] 2026-06-01 | LayerRoute: Input-Conditioned Adaptive Layer Skipping via LoRA Fine-Tuning for Agentic Language Models
[arXiv] 2026-06-01 | Learning Implicit Bias in Generative Spaces for Accelerating Protein Dynamics Emulation
[arXiv] 2026-06-01 | CAPF: Guiding Search-Agent Rollouts with Credit-Attenuated Privileged Feedback
[arXiv] 2026-06-01 | "I've Seen How This Goes": Characterizing Diversity via Progressive Conditional Surprise
[arXiv] 2026-06-01 | Token Predictors Are Not Planners: Building Physically Grounded Causal Reasoners
[arXiv] 2026-06-01 | A Near-Optimal Offline Algorithm for Dynamic All-Pairs Shortest Paths in Planar Digraphs
[arXiv] 2026-06-01 | MOSS-Audio Technical Report
[arXiv] 2026-06-01 | On the product of cross-intersecting families with small covering number
[arXiv] 2026-06-01 | Structure-Guided Adaptive Propagation for Protein-Protein Interaction Site Prediction
[arXiv] 2026-06-01 | Night-Window Batching versus Carbon-Aware Scheduling for Clinical AI GPU Workloads
[arXiv] 2026-06-01 | Polaron Transport in TiO$_{2}$ from Machine Learning Molecular Dynamics
[arXiv] 2026-06-01 | A note on the Ratio and Inertia Bounds for the $k$-Independence Number
[arXiv] 2026-06-01 | TriAlign: Towards Universal Truth Consistency in Personalized LLM Alignment
[arXiv] 2026-06-01 | Stress relaxation in fiber networks via force-dependent stochastic severing
[arXiv] 2026-06-01 | SparseX: Efficient Segment-Level KV Cache Sharing for Interleaved LLM Serving
[arXiv] 2026-06-01 | Role of System-Bath Interaction in Non-Markovian Quantum Brownian Otto Cycles
[arXiv] 2026-06-01 | FlatVPR: Plug-and-play Geo-linear Residual Adapter for Geometric Rectification of Foundation Model Feature Manifolds
[arXiv] 2026-06-01 | Post-Deterministic Distributed Systems: A New Foundation for Trustworthy Autonomous Infrastructure
[arXiv] 2026-06-01 | An Upper Bound For Hausdorff Distance Between Finite-Dimensional Hyperbolic Space and Its Medianization
[arXiv] 2026-06-01 | Density-Aware Translation of Spurious Correlations in Zero-Shot VLMs
[arXiv] 2026-06-01 | Large ephemeral regions and their tilt angles
[arXiv] 2026-06-01 | Breaking-induced energy dissipation of surface gravity waves at varying scales and co-flowing wind stresses
[arXiv] 2026-06-01 | JenBridge: Adaptive Long-Form Video Soundtracking across Scene Transitions
[arXiv] 2026-06-01 | Understanding Identity Continuity in Thermal Video through Scene-Level Consistency
[arXiv] 2026-06-01 | Sharp median testing and sparse criteria for generalized \(BMO\) spaces
[arXiv] 2026-06-01 | Information and voting: Evidence from Peru's 2026 presidential election
[arXiv] 2026-06-01 | Encoded but Not Routed: Explaining the Table-Chart Gap in Scientific Claim Verification
[arXiv] 2026-06-01 | Why Do Self-Harm Prediction Models Struggle to Generalise? Lexical and Semantic Variations in Emergency Department Triage Notes
[arXiv] 2026-06-01 | DOT-MoE: Differentiable Optimal Transport for MoEfication
[arXiv] 2026-06-01 | Quantifying the Energy Floor: Direct Measurement and Replay Buffer Bias in SAC-Based HVAC Control on sbsim
[arXiv] 2026-06-01 | Feature leakage and the identifiability of direct-dependency entropy models of neural activity
[arXiv] 2026-06-01 | Dynamic Breaking of Mirror Symmetry in Spin-Dependent Electron Transport through Chiral Media Causes Enantiomeric Excesses
[arXiv] 2026-06-01 | PhyScene3D: Physically Consistent Interactive 3D Tabletop Scene Generation
[arXiv] 2026-06-01 | A Noetherian Hopf algebra is affine iff its Hopf coradical is affine
[arXiv] 2026-06-01 | An agent-based model of outer membrane biogenesis in Gram-negative bacteria
[arXiv] 2026-06-01 | E4GEN: Event-level Explainable Extreme-Enhanced Time-series Generation
[arXiv] 2026-06-01 | An alternating learning-based collocation method for solving inverse elliptic problems
[arXiv] 2026-06-01 | Exploiting Semantic and Pixel Representations for Ultra-Low Bitrate Image Compression
[arXiv] 2026-06-01 | Regularized joint reconstruction and slab combination for accelerated three-dimensional multi-slab diffusion-weighted imaging using multi-scale energy models
[arXiv] 2026-06-01 | From Zero to Hero: Training-Free Custom Concept Spawning in World Models
[arXiv] 2026-06-01 | AdaCodec: A Predictive Visual Code for Video MLLMs
[arXiv] 2026-06-01 | Mergers Matter: Gravothermal Collapse in Dwarf Halos with Self-Interacting Dark Matter
[arXiv] 2026-06-01 | Policy-based Foveated Imaging and Perception
[arXiv] 2026-06-01 | Permissive Safety Through Trusted Inference: Verifiable Belief-Space Neural Safety Filters for Assured Interactive Robotics
[arXiv] 2026-06-01 | Conjugacy Problem for Dehn Twists of Free Products of Free Abelian Groups
[arXiv] 2026-06-01 | LongLive-RAG: A General Retrieval-Augmented Framework for Long Video Generation
[arXiv] 2026-06-01 | Probabilistic storyline attribution using machine learning
[arXiv] 2026-06-01 | Abundance of Unique Subhypergraphs
[arXiv] 2026-06-01 | JWST's Little Red Dots as collapsed Supermassive Dark Stars
[arXiv] 2026-06-01 | Why Not Hyperparameter-Friendly Optimisation? A Monotonic Adaptive Norm Rescaling Approach For Long-Tailed Recognition
[arXiv] 2026-06-01 | FigSIM: A Dataset for Fine-grained Suicide Severity and Figurative Language in Suicide Memes
[arXiv] 2026-06-01 | Meta Flip Graph meets Serendipitous Product: new Fast Matrix Multiplication results
[arXiv] 2026-06-01 | Using memory to control admission to unobservable queues
[arXiv] 2026-06-01 | Nonequilibrium transport in epitaxial CsPbBr3 single crystals
[arXiv] 2026-06-01 | Diffusion-Based Heart Sound Generation: Evaluation with Physiological Signal Metrics, Classifiers, and Expert Listening
[arXiv] 2026-06-01 | Counterintuitive Magnetic Connectivity and Energetic Particle Flux Differences among Nearby Spacecraft During the 2023 February 24 Solar Energetic Particle Event
[arXiv] 2026-06-01 | Dynamics of the Density Cube
[arXiv] 2026-06-01 | Quenching of Nonrelativistic p-Wave Spin Splitting by c-f Decoupling in CeNiAsO
[arXiv] 2026-06-01 | Evolved Collectives Combine Complex Internal Representations with Simple Outputs
[arXiv] 2026-06-01 | Optimal sequential two-stage Bayes Factor Design for two-arm clinical Phase II Trials with binary Endpoints
[arXiv] 2026-06-01 | A Local Perturbation Theory for Cross-Domain Interference and Recovery in Multi-Domain RL
[arXiv] 2026-06-01 | Topology as Logic: Structural Role Geometry Across Formal, Software, Biological, and Prebiotic Systems
[arXiv] 2026-06-01 | Boulder Lectures on Thermal Dynamics and Hydrodynamic EFTs
[arXiv] 2026-06-01 | Honey, I Shrunk the Arc de Triomphe!
[arXiv] 2026-06-01 | Localizing subcategories for algebraic stacks
[arXiv] 2026-06-01 | Harness-1: Reinforcement Learning for Search Agents with State-Externalizing Harnesses
[arXiv] 2026-06-01 | $L^p$-boundedness of Berezin transforms on generalized Hartogs triangles
[arXiv] 2026-06-01 | Minimax-Optimal Policy Regret in Partially Observable Markov Games
[arXiv] 2026-06-01 | Universal theory of domain-wall width in multi-sublattice Heisenberg magnets
[arXiv] 2026-06-01 | MOC: Multi-Order Communication in LLM-based Multi-Agent Systems
[arXiv] 2026-06-01 | VEDAL: Variational Error-Driven Asynchronous Learning for 3D Gaussian Splatting Pruning
[arXiv] 2026-06-01 | I-(OT)^2: A Client-optimal Oblivious Transfer Protocol for IoT Devices
[arXiv] 2026-06-01 | Parameter-efficient Dual-encoder Architecture with Differentiable Choquet Integral Fusion for Underwater Acoustic Classification
[arXiv] 2026-06-01 | Forget Attention: Importance-Aware Attention Is All You Need
[arXiv] 2026-06-01 | Hallucination-Aware Diffusion Sampling for Inverse Problems via Robust Prior Updates
[arXiv] 2026-06-01 | Riemannian Gradient Descent for Low-Rank Architectures
[arXiv] 2026-06-01 | Exploiting Noise Inseparability for Weakly-Supervised Discriminative Speech Denoising Using Noisy Targets
[arXiv] 2026-06-01 | Cyclotomic factors of rational necklace functions
[arXiv] 2026-06-01 | Strategies for Molecular Dynamics using Hybrid Systems: LAMMPS Use Case
[arXiv] 2026-06-01 | Surface Modification for III-V Selective Area Molecular Beam Epitaxy of Non-Selective Mask Materials
[arXiv] 2026-06-01 | Towards Precise Intent-Aligned VLA Aerial Navigation via Expert-Guided GRPO
[arXiv] 2026-06-01 | Arithmetic regularity as an alternative to transference
[arXiv] 2026-06-01 | Recurrence, symbolic dynamics, and wild attractors for unimodal maps
[arXiv] 2026-06-01 | Sharp sign uncertainty for trigonometric polynomials
[arXiv] 2026-06-01 | Quantized Conductance through Surface States in High Quality Three-Dimensional Dirac Semimetal Cd$_3$As$_2$ Nanowire/Nanoribbon p-n Junctions
[arXiv] 2026-06-01 | Is the most random pattern random? Maximizing localization in a two-dimensional lattice with engineered disorder
[arXiv] 2026-06-01 | POIROT: Interrogating Agents for Failure Detection in Multi-Agent Systems
[arXiv] 2026-06-01 | Distributed MoE-based Uplink Detection for Cell-Free Communication Systems
[arXiv] 2026-06-01 | Skyrmions in scalar fields of non-Hermitian optical microcavities: spontaneous formation, nonlinear control, and optical forces
[arXiv] 2026-06-01 | String Theory for Metaphysicians
[arXiv] 2026-06-01 | Matter to Mechanism: A Benchmark for AI Co-Scientists in Materials and Battery Research
[arXiv] 2026-06-01 | A Doeblin-Anchored Contrastive Chart for Learning Markov Transition Kernels
[arXiv] 2026-06-01 | Drift-free characterization of electro-optic tuning efficiency in lithium niobate photonic nanocavities
[arXiv] 2026-06-01 | Better with Experience: Self-Evolving LLM Agents for Evidence-Grounded Health Community Notes
[arXiv] 2026-06-01 | C2GA: A Class-Controllable Generative Augmentation Framework for Respiratory Sound Classification
[arXiv] 2026-06-01 | Cross-Environment Neural Reranking for Sample-Efficient Action Selection in Text-Based Agents
[arXiv] 2026-06-01 | Random Set Quantile Estimation of Partially Identified Discrete Response Models
[arXiv] 2026-06-01 | Universality of the cokernels of random $p$-adic matrices with inhomogeneously balanced columns
[arXiv] 2026-06-01 | The Use of Computational Thinking Skills, Difficulties, and Strategies of Introductory Programming Students Solving Bebras Tasks
[arXiv] 2026-06-01 | Disentanglement-Based Equivariant Learning for Compositional VQA
[arXiv] 2026-06-01 | Band Bases as Common Triangular Bases in Cluster Algebras from Surfaces
[arXiv] 2026-06-01 | An Abstract Worlds Semantic Framework for Belief Change Operators
[arXiv] 2026-06-01 | Stacking-Engineered Switchable Altermagnetism in Topological FeSe bilayer systems
[arXiv] 2026-06-01 | Localizing broadband noise sources using the Loève spectrum and a 2.5D approach
[arXiv] 2026-06-01 | Trace-Preserving hp Interpolation and Polynomial Liftings on Conforming Hexahedral Meshes
[arXiv] 2026-06-01 | Applications of a formula of Maesaka-Seki-Watanabe type for multiple harmonic $q$-sums
[arXiv] 2026-06-01 | Jailbreaking Multimodal Large Language Models using Multi-Clip Video
[arXiv] 2026-06-01 | Network Distributed Multi-Agent Reinforcement Learning for Consensus Control of Quadcopters
[arXiv] 2026-06-01 | Multimodal Action Diffusion for Robust End-to-End Autonomous Driving
[arXiv] 2026-06-01 | Testing Decision Makers without Counterfactuals
[arXiv] 2026-06-01 | Accelerating Min-Max Optimization via Power-Law Stepsizes
[arXiv] 2026-06-01 | Hybrid Clifford Codes via Operator Algebra Quantum Error Correction and Projective Representation Theory
[arXiv] 2026-06-01 | Orbit Refinement of WASP-18 b and Evidence Against the Existence of WASP-18 c
[arXiv] 2026-06-01 | Hidden $\mathfrak{u}(2,1)$ symmetry and Jordan chains in a resonant ghostly three-dimensional model
[arXiv] 2026-06-01 | ShaplEIG: Bayesian Experimental Design for Shapley Value Estimation
[arXiv] 2026-06-01 | LLM-Evolved Pattern Generators for Optimal Classical Planning
[arXiv] 2026-06-01 | The gravitational wave-black hole imaging correspondence for modified black holes
[arXiv] 2026-06-01 | Chaotic spin dynamics of elongated spinor condensates
[arXiv] 2026-06-01 | Symmetry-Protected Weyl Nodal Loops in a Triangular Altermagnet
[arXiv] 2026-06-01 | Weak-strong uniqueness and low Mach number limit for a viscous compressible fluid around a rotating body
[arXiv] 2026-06-01 | Quantum optimal control of the Dicke manifold in Rydberg atom arrays
[arXiv] 2026-06-01 | Dynamical frustration in space-time metamaterials
[arXiv] 2026-06-01 | Pauli-structured preconditioning for quantum linear system solvers
[arXiv] 2026-06-01 | Anisotropic interactions induce dynamical arrest in artificial colloidal ice
[arXiv] 2026-06-01 | STaR-KV: Spatio-Temporal Adaptive Re-weighting for KV Cache Compression in GUI Vision-Language Models
[arXiv] 2026-06-01 | Towards Heisenberg Scaling: Measurement-Efficient Non-Orthogonal Quantum Eigensolver
[arXiv] 2026-06-01 | CRAM: Centroid-Routing and Adaptive MoE for Multimodal Continual Instruction Tuning
[arXiv] 2026-06-01 | A Domatic Analogue of $χ$-Bounded Graph Classes and the Gyárfás-Sumner Conjecture
[arXiv] 2026-06-01 | What Do EROIs Measure? Implications for Energy Transition Assessment
[arXiv] 2026-06-01 | COMAP: Co-Evolving World Models and Agent Policies for LLM Agents
[arXiv] 2026-06-01 | On Proof Systems for #QBF
[arXiv] 2026-06-01 | Consistency evaluation of benchmarks used for causal discovery
[arXiv] 2026-06-01 | Decomposition of the axial-vector current in a finite box
[arXiv] 2026-06-01 | ProtoAda: Prototype-Guided Adaptive Adapter Expansion and Geometric Consolidation for Multimodal Continual Instruction Tuning
[arXiv] 2026-06-01 | Near-Optimal Pure Machine Unlearning for Smooth Strongly Convex Losses
[arXiv] 2026-06-01 | Suppressing Forgery-Specific Shortcuts for Generalizable Deepfake Detection
[arXiv] 2026-06-01 | Face Liveness Detection Using RGB and Thermal Image Fusion
[arXiv] 2026-06-01 | Adaptive Sharpness-Aware Minimization with a Polyak-type Step size: A Theory-Grounded Scheduler
[arXiv] 2026-06-01 | A 0.03 Hz Radio Quasi-periodic Oscillation During the 2025 Flare of GRS 1915+105
[arXiv] 2026-06-01 | Hist2Style: Histogram-Guided Stylization with Bilateral Grids
[arXiv] 2026-06-01 | The Immersed Discontinuous Galerkin Method for Elliptic Interface Problems
[arXiv] 2026-06-01 | SpeechEditBench: A Bilingual Multi-Attribute Benchmark for Instruction-Guided Speech Editing
[arXiv] 2026-06-01 | LoopPerm-CPD: A Robust Loop Permutation Framework for Automatic Multiple Change-Point Detection in Longitudinal Data
[arXiv] 2026-06-01 | Tridirectional Discriminating-Power Formal Verification of Smart Contract Reentrancy Defense Against Production-Deployed Solidity Source
[arXiv] 2026-06-01 | Iterative Thermodynamic Augmentation of Spatially Resolved Analytic Microscopy for Fast-Diffusing Solutes
[arXiv] 2026-06-01 | PlatonicNav: Unveiling Semantic Correspondence in Navigation with Platonic Topological Maps
[arXiv] 2026-06-01 | Breaking the Information Silo: Semantic Personas for Cross-Domain Recommendation
[arXiv] 2026-06-01 | HarnessForge: Joint Harness and Policy Evolution for Adaptive Agent Systems
[arXiv] 2026-06-01 | Long Time Well-posedness for the Benjamin-Ono Equation with Quasi-Periodic Initial Data
[arXiv] 2026-06-01 | A 32-Channel 3.53-μW Per Channel Brain-Machine Interface SoC Featuring Dual-Threshold Delta-modulation, In-Memory Spike Detection and Bi-SNN Based Motor Decoding
[arXiv] 2026-06-01 | Reconnection-Driven Injection and Stochastic Reacceleration during Cosmological Magnetogenesis
[arXiv] 2026-06-01 | Faster than the Team, Faster than the Customer: Tool Integration, Collaboration, and Organisational Lag in AI-assisted RE
[arXiv] 2026-06-01 | On Santaló's Problem
[arXiv] 2026-06-01 | Adaptive Auto-Harness: Sustained Self-Improvement for Agentic System Deployment on Open-Ended Task Streams
[arXiv] 2026-06-01 | Construction of Historical Knowledge Graphs Based on BERT and Graph Neural Networks
[arXiv] 2026-06-01 | Near-UV Single-Pixel Imaging with All-Inorganic Lead-Free Perovskite
[arXiv] 2026-06-01 | Improving Visual Token Reduction via Rectifying Distortions for Efficient Multimodal LLM Inference
[arXiv] 2026-06-01 | RCEM: Embedder Equipped with Query Rewriting Skill for Robust Conversational Search in Distributional Shift
[arXiv] 2026-06-01 | Probing pair production of long-lived scalars via an off-shell Standard-Model-like Higgs boson at the LHC
[arXiv] 2026-06-01 | UniVocal: Unified Speech-Singing Code-Switching Synthesis
[arXiv] 2026-06-01 | Higher-Order Efficient Estimators: A Review and Simulation-Based Benchmark Study
[arXiv] 2026-06-01 | RDA: Reward Design Agent for Reinforcement Learning
[arXiv] 2026-06-01 | Time-Aware Diffusion based on Preference Disentanglement for Generative Recommendation
[arXiv] 2026-06-01 | Beyond principal ignorability: Nonparametric sensitivity bounds for principal stratification
[arXiv] 2026-06-01 | ATLAS: Agentic Test-time Learning-to-Allocate Scaling
[arXiv] 2026-06-01 | Control of protein activity by photoinduced spin polarized charge reorganization
[arXiv] 2026-06-01 | Gate the Filter, Not the Message: Node-Channel Mixtures for Pre-Propagation GNNs
[arXiv] 2026-06-01 | CoreUnlearn: Rethinking Concept Unlearning through Disentangled Component-Level Erasure in Text-guided Diffusion Models
[arXiv] 2026-06-01 | Self-Regulating Annealing in Heavy-Tailed Diffusion Models
[arXiv] 2026-06-01 | AlphaToken: Decoupling Adaptation and Stability for Path-Aware Response Token Valuation in LLM Post-Training
[arXiv] 2026-06-01 | Rapid quasi-periodic reconfiguration of the accretion column in pulsar 1A 0535+262
[arXiv] 2026-06-01 | What to Test Next: Interpretable Coverage Gap Discovery in Driving VLMs
[arXiv] 2026-06-01 | Stability of $N$-soliton solutions for the modified Camassa--Holm equation
[arXiv] 2026-06-01 | Manifold partitioning induced sequential optical reasoning and decision framework for photonic computing
[arXiv] 2026-06-01 | Self-Improving Small Object Grounding in LVLMs
[arXiv] 2026-06-01 | Paving the Way for Point Cloud Video Representation Learning Using A PDE Model
[arXiv] 2026-06-01 | TRON: Targeted Rule-Verifiable Online Environments for Visual Reasoning RL
[arXiv] 2026-06-01 | Differentiable Particle-Mesh Ewald with Cartesian Tensor Message Passing for Learning Long-Range Electrostatics and Dipole Response
[arXiv] 2026-06-01 | Physics-Informed Modeling and Control of Emergent Behaviors in Robot Swarms
[arXiv] 2026-06-01 | DFlare: Scaling Up Draft Capacity for Block Diffusion Speculative Decoding
[arXiv] 2026-06-01 | Escape of Water- and Metal-enriched Atmospheres from compact Hot mini-Neptunes with CHAIN
[arXiv] 2026-06-01 | Detecting Cyber Attacks in Power System AGC Using a Drifted Ornstein-Uhlenbeck Process
[arXiv] 2026-06-01 | Planar Symmetric Pattern Generation
[arXiv] 2026-06-01 | Critical mass threshold for the 2D Patlak-Keller-Segel-Navier-Stokes system
[arXiv] 2026-06-01 | Interpreting Light Scalar Excesses and Heavy Scalar Cascades in the $μ$-Term Extended NMSSM
[arXiv] 2026-06-01 | Where Do Deep-Research Agents Go Wrong? Span-Level Error Localization in Agent Trajectories
[arXiv] 2026-06-01 | Attention mechanisms and transfer learning for robust peach leaf damage classification under domain shift
[arXiv] 2026-06-01 | Exact Charge, Current, and Velocity Fields of Interacting Korteweg-de Vries Solitons
[arXiv] 2026-06-01 | Normality-Preserving Continual Industrial Anomaly Detection via Orthogonal LoRA Banks
[arXiv] 2026-06-01 | A classifying localic category for locally compact locales
[arXiv] 2026-06-01 | PerBite: A Curated Diagnostic Workflow for Bite-Aware Food Volume Estimation
[arXiv] 2026-06-01 | Branch-Aware Quantum Constant Propagation for Dynamic Quantum Circuits
[arXiv] 2026-06-01 | Extreme Low-Bit Inference in Reasoning Models: Failure Modes and Targeted Recovery
[arXiv] 2026-06-01 | MMG2Skill: Can Agents Distill In-the-Wild Guides into Self-Evolving Skills?
[arXiv] 2026-06-01 | Polarized lines of the second solar spectrum (SrI, SrII, CaI, BaII) observed at the Pic du Midi Turret Dome spectropolarimeter with the slit orthogonal to the limb
[arXiv] 2026-06-01 | MT-EditFlow: Reinforcement Learning for Multi-Turn Image Editing with Flow Matching
[arXiv] 2026-06-01 | Toka: A Systems Programming Language with Explicit Resource Semantics
[arXiv] 2026-06-01 | Improved Amenability Bounds for Local Coordination Games
[arXiv] 2026-06-01 | Anti-Windup in PID Control: Review, Analysis, and New Tuning Directions
[arXiv] 2026-06-01 | Are Economists Open to AI? Text as Data as Survey on Professional Sentiment and Academic Research Trends
[arXiv] 2026-06-01 | Flow-Transformed Implicit Processes for Function-Space Variational Inference
[arXiv] 2026-06-01 | Closed-Form Pose Estimation of Endoluminal Medical Devices via Gradiometer-Based Electromagnetic Localization System
[arXiv] 2026-06-01 | A model for pulsation in high-speed double cone flow
[arXiv] 2026-06-01 | SCAPO: Self-Supervised Category-Level Articulated Pose Estimation from a Single 3D Observation
[arXiv] 2026-06-01 | What to Format and How: A Benchmark and Workflow Approach for Document Formatting
[arXiv] 2026-06-01 | 3rd Place at CVPR 2026 CASTLE Challenge: Agentic Multi-View Long-Context Video Understanding via Hierarchical Knowledge Graph Retrieval
[arXiv] 2026-06-01 | Half the Interference, Most of the Answer: Approximate Quantum Simulation via Path-Sum Pruning
[arXiv] 2026-06-01 | Bayesian Spectral Emotion Transition Discovery from Multi-Annotator Disagreement
[arXiv] 2026-06-01 | KliniskVestBERT: BERT Model Specialised to Norwegian Clinical Texts
[arXiv] 2026-06-01 | Train, Test, Re-evaluate: Schedule-Sensitive Evaluation of Generative Data for Hand Detection
[arXiv] 2026-06-01 | Collaborative Space Object Detection with Multi-Satellite Viewpoints in LEO Constellations
[arXiv] 2026-06-01 | MidSurfNet: Learnable Face Pairing and Interference Implicit Fields for Generalized Mid-surface Abstraction
[arXiv] 2026-06-01 | Beyond the Simplex: Balanced Prototype Geometry for Scorer-Agnostic Open-Set Recognition
