[2026-08-15 22:20:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[IEEE] 2026-8-14 | Intelligent Sensor Systems for Biomedical and Healthcare Applications using an Adaptive Feature Attention Transformer
[IEEE] 2026-8-14 | AI-based Clinical Decision Support for Heart Disease Prediction
[IEEE] 2026-8-14 | AI-Driven Cloud-Native Banking Platforms: A Scalable Architecture for Real-Time Financial Services
[IEEE] 2026-8-14 | Power System Planning Under Extreme Heat and Drought Scenarios Using Generalized Support Capability Metrics
[ACM] 2026-8-15 | MEDEA: A Design-Time Multi-Objective Manager for Energy-Efficient DNN Inference on Heterogeneous Ultra-Low Power Platforms
[ACM] 2026-8-14 | Reverb: Ex-Vivo Rewinding IoT Device Faulty Execution Trace with Edge-Side Recording
[IEEE] 2026-8-14 | Physics-Guided Machine Learning for Path Loss Prediction: A Review
[IEEE] 2026-8-14 | Finite-Time Cooperative Auto-Berthing Control of Autonomous Surface Vehicle Fleets With Collision Avoidance
[IEEE] 2026-8-14 | A Hybrid Stochastic Gradient Tracking Method for Distributed Online Optimization Over Time-Varying Directed Networks_supp1-3714189.pdf
[IEEE] 2026-8-14 | 2026 4th International Conference on Sustainable Computing and Smart Systems (ICSCSS)
[IEEE] 2026-8-14 | Robust Deep Video Watermarking Against Camera Recording Attacks via Temporal Distortion Modeling and Synchronization
[IEEE] 2026-8-14 | Circular Cross-Shaped Metamaterial Absorber with Near-Unity Absorption for Biomedical Microwave Sensing
[IEEE] 2026-8-14 | ICSCSS 2026 Committees
[IEEE] 2026-8-14 | Thermally Tunable Microstructure Based on CTE-Engineered Composite Resins
[IEEE] 2026-8-14 | Intelligent Visualization of Book Narratives using Natural Language Processing
[IEEE] 2026-8-14 | Adaptive Gaussian Long Short-Term Memory with Multi-Head Attention (AGLSTM-MHA) based Framework for Heart Failure Prediction in ST-Segment Elevation Myocardial Infarction (STEMI)
[IEEE] 2026-8-14 | A Review of Digital Signal Processing Applications in 5G Channel Estimation
[IEEE] 2026-8-14 | Enhancing Social Media Content Authenticity through CNN-based DeepFake Face Detection
[IEEE] 2026-8-14 | Five Years of Microfrontends at Kiavi
[IEEE] 2026-8-14 | An Intelligent Insect Bite Identification and BiteCare Recommendation System using MultiObjective Safe Deep Q-Network
[IEEE] 2026-8-14 | Free-Space Reconfigurable Optical Interconnects for the Next Generation Datacenters
[IEEE] 2026-8-14 | Image Processing Method of Multimedia Artistic Creation based on Multi-Modal Data Fusion
[IEEE] 2026-8-14 | DeepAnom: A Hybrid Time GAN and LSTM Autoencoder Framework for Time-Series Anomaly Detection in IIoT Systems
[IEEE] 2026-8-14 | Intelligent Optimization of Semantic Understanding in Machine Translation under the Big Data Context
[IEEE] 2026-8-14 | YOLOv8-Powered Intelligent Surveillance: An Integrated Real-Time Framework for Crowd Management, Crime Prevention, and Workplace Safety Monitoring using AI and ML
[IEEE] 2026-8-14 | Shuffle Head Self Attention Enhanced YOLO for PCB Defect Detection
[IEEE] 2026-8-14 | Intelligent Recognition of Human Motion Posture based on CNN Deep Learning Algorithm
[ACM] 2026-8-14 | Efficient Input Minimization for Kernel Fuzzing via Relation- and Type-Guided Optimization
[IEEE] 2026-8-14 | AI Adoption for Academic Performance: A UTAUT-based Analysis Among Gen Z
[IEEE] 2026-8-14 | Evaluation of Youth Basketball Training Effect based on Adaptive Weighted Temporal Fusion Deep Q Network and Multi-Modal Data Fusion
[IEEE] 2026-8-14 | An Insight-Driven Comparative Analysis of Deep Learning Models for Breast Ultrasound Image Classification
[IEEE] 2026-8-14 | Intelligent Fake Employer Detection System using Hybrid Ensemble Learning and Behavioral Pattern Analysis
[IEEE] 2026-8-14 | Navi Bus: A Smart Urban Mobility and Passenger Intent Prediction Platform
[IEEE] 2026-8-14 | A Lightweight Extended Pan-Tompkins Framework with Derivative Refinement for Precise Q-Onset, S-Offset based Robust QRS Delineation Detection
[IEEE] 2026-8-14 | Deep Learning Approaches for Lung Cancer Classification: Assessing CNN Performance using Saliency Maps and Grad CAM on CT Imaging
[IEEE] 2026-8-14 | STG-SR: Spatio-Temporal Graph based Load Balancing Routing for Satellite Networks
[IEEE] 2026-8-14 | Topology-Preserving Contrastive Alignment for Graph-Augmented Textual Representation Learning
[IEEE] 2026-8-14 | An Adaptive Photovoltaic Power Forecasting Approach Integrating Double Q-Learning and Stacking Ensemble
[IEEE] 2026-8-14 | Detecting Cyber Attack in Healthcare System using Classifiers
[IEEE] 2026-8-14 | Smart Print: A Multi-Criteria Scheduling Algorithm for Automated Campus Print Shop Management with Real-Time Resource Optimization
[IEEE] 2026-8-14 | Classifying Fire Incident Risk in Central Luzon using Latent Profile Analysis and Circular Statistics
[IEEE] 2026-8-14 | A Data-Centric Machine Learning Framework for Predicting Health Insurance Expenditure
[IEEE] 2026-8-14 | Performance Analysis of a Distributed Energy System with Solar PV Integration on an IEEE 5-Bus Scheme
[IEEE] 2026-8-14 | CT Imaging-based Ensemble Deep Learning Model for Lung Cancer Detection
[IEEE] 2026-8-14 | Credit Risk Dynamic Pricing Representation Learning Algorithm based on Long-Term SelfSupervised Learning
[IEEE] 2026-8-14 | Few-Shot Indonesian Bird Species Recognition with Domain-Specific Bioacoustic Embeddings
[IEEE] 2026-8-14 | Impact of Machine Learning Recommendation System on Placement Outcomes with SMART Tasks in Normalized Learning Groups
[IEEE] 2026-8-14 | Deep Learning based DeepFake Image Detection for Enhancing Social Media Security
[IEEE] 2026-8-14 | Artificial Intelligence and NLP based Crime data Prediction
[IEEE] 2026-8-14 | Corrections to “Synergizing Global and Local Strategies for Dynamic Project Management: An Advanced Machine Learning-Enhanced Framework”
[IEEE] 2026-8-14 | Toward a Sustainable Software Architecture Community: Evaluating Icsa's Environmental Impact
[IEEE] 2026-8-14 | Electrocardiogram Time Series Prediction Using a Fully Convolutional LSTM Network
[IEEE] 2026-8-14 | Composite Feature Enhanced YOLO Vehicle Detection Algorithm
[IEEE] 2026-8-14 | Next-Generation Smart Cart System using RFID and Artificial Intelligence
[IEEE] 2026-8-14 | A Scalable Real-Time Framework for Detecting Fraudulent Job Advertisements using PASVMC and NLP
[IEEE] 2026-8-14 | BIM-Geometric Informed LIO of Factor Graph Fusion for Construction Robots
[IEEE] 2026-8-14 | Nash Equilibrium Uniqueness in a Game-Theoretic Power Control Model for Ultra-Dense Wireless Networks
[IEEE] 2026-8-14 | IEEE Connect
[IEEE] 2026-8-14 | On-Camera Surveillance Video Compression via ROI Extraction
[IEEE] 2026-8-14 | Unlocking the Top-Space Multi-Functionality of Thin-Film Acoustic Wave Devices
[IEEE] 2026-8-14 | Dynamic E2E Channel Orchestration in Metro Transport Network
[IEEE] 2026-8-14 | Period-Aware Scheduling in Time-Sensitive Networking for Cloud-Based Computer Interlocking
[IEEE] 2026-8-14 | Bayesian Image Layer Decomposition and Weighted Automatic Contrast Maximization for Underwater Image Enhancement_supp1-3723604.pdf
[IEEE] 2026-8-14 | Technical Review of Dual-Inverter Fed Open-End Winding Motor System
[IEEE] 2026-8-14 | Polarization-Insensitive FOPA Based on a Polarization-Diverse Bidirectional PM Fiber Loop
[IEEE] 2026-8-14 | Hybrid Fast Probe-Corrected Inverse Surface Current Reconstruction for Low- to High-Frequency Electromagnetic Field Measurements
[IEEE] 2026-8-14 | Designing Adaptive Digital Nudging Systems with LLM-Driven Reasoning
[IEEE] 2026-8-14 | Architecting Cognitive Federated Digital Twins with LLM Agents for Privacy-Preserving Adaptive Systems
[IEEE] 2026-8-14 | Design and Performance Analysis of a Miniaturized ACS Fed Dual Band Microwave Antenna for Sub 6 GHz, 5G and Wireless Applications
[IEEE] 2026-8-14 | A Two-Stage Feature-Focused Deep Learning Framework for Indoor Scene Classification with Attention Refinement
[IEEE] 2026-8-14 | Comprehensive Literature Review on Challenges, Solutions, and Future Directions in Wireless Sensor Networks
[IEEE] 2026-8-14 | Adaptive Feature Fusion-based Bone Fracture Detection using Hybrid DenseNet121 and EfficientNetB0 Architecture
[IEEE] 2026-8-14 | A Deep Learning Enabled Structured Analytical Study of Societal Constraints Cultural Assimilation and Trauma among Women Athletes
[IEEE] 2026-8-14 | From Framework to Architecture: Operationalizing CoDI-SA Through Explainable AI and Multimodal Data Fusion
