[2026-09-04 23:45:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[arXiv] 2026-09-03 | NGC 1901: A new benchmark cluster for gyrochronology in the TESS Southern continuous viewing zone
[arXiv] 2026-09-03 | The Traveling Tournament Problem: An Overview
[arXiv] 2026-09-03 | Khovanov monodromy groups via motions
[arXiv] 2026-09-03 | Unravelling the Li-Haldane Conjecture with the Projected Ensemble
[arXiv] 2026-09-03 | SWE-Gate: Passing Functional Tests Is Not Enough for Software Engineering Agents
[arXiv] 2026-09-03 | A note on bounded ratios
[arXiv] 2026-09-03 | Lost in Reordering: Structural Sensitivity of Multilingual LLMs under Semantics-Preserving Perturbations
[arXiv] 2026-09-03 | The Jet Properties and Accretion Regime for the Blazar Sequence
[arXiv] 2026-09-03 | Decoupled Analysis-Judging: An Automated Creativity Evaluator Using LLMs in Complex Multi-step Creativity Tasks
[arXiv] 2026-09-03 | Random Attention: Rethinking KV Cache Eviction for Efficient Reasoning
[arXiv] 2026-09-03 | Reconstruction of Shower-like Events in NEON Using Likelihood and Graph Neural Network Methods
[arXiv] 2026-09-03 | Caught in the Story: Narrative Captivity in Multi-turn LLMs Conversation
[arXiv] 2026-09-03 | Hyperpositive functions, sector bounded functions and a trace formula
[arXiv] 2026-09-03 | A thickness boundary and modular obstructions for two-set radial projections
[arXiv] 2026-09-03 | Exploring millicharged particles in laboratory and astrophysical strong-field regimes
[arXiv] 2026-09-03 | TIGPO: Temporal Instance-Graph Policy Optimization for Long-Horizon LLM Agents
[arXiv] 2026-09-03 | Evolution of Virial Clouds - II: From the Formation of First Stars up to their Explosion
[arXiv] 2026-09-03 | Singular equivalences of $n$-adjoint type and standard eventually homological isomorphisms
[arXiv] 2026-09-03 | ARTiS: An Adaptive Robotic Gripper for Enhanced Tool Manipulation in Disassembly Applications
[arXiv] 2026-09-03 | Epidemics with avoidance and isolation on $\mathbb{Z}^d$
[arXiv] 2026-09-03 | Neural Music Enhancement with Dual Time-Frequency Spectral Representations for Prediction and Discrimination
[arXiv] 2026-09-03 | Minute-Scale High-Fidelity Gyrokinetic Simulations with Portability from Laptop to Supercomputer
[arXiv] 2026-09-03 | Resolving a conjecture on permutation polynomials over $\mathbb{F}_{2^n}$
[arXiv] 2026-09-03 | Taylor-Informed Predictive Cost Adaptive Control for Quadrotors with Online Gravity-Trim Adaptation
[arXiv] 2026-09-03 | From Zero to Hero: An Open LLM Ecosystem for Armenian
[arXiv] 2026-09-03 | Conical Defects in JT Gravity from BF Theory: Quantization, Fusion, and Weighted Moduli Spaces
[arXiv] 2026-09-03 | Redesigning quantum theory
[arXiv] 2026-09-03 | Variable-Cliff Nielsen Geometry and an Exponent -4/3 Lower Bound for the Infinite-Cliff Diameter
[arXiv] 2026-09-03 | How Perturbations Propagate: A Multi-Level Analysis of Robustness in Large Language Models
[arXiv] 2026-09-03 | Quantum Vacuum Nonlinearities in Laser Interferometers
[arXiv] 2026-09-03 | TIPCODER: Reinforcement Learning Boosted Test-time Instruction Proposer for Code Generation
[arXiv] 2026-09-03 | Risk and Anomaly Identification for Distribution Network Optimal Operation Based on Reinforcement Learning and Uncertainty Quantification
[arXiv] 2026-09-03 | Geometry-Aware Graph Construction via Adaptive Spectral Bandwidth Control
[arXiv] 2026-09-03 | Bifurcations in the Heliosphere: Global-scale Coronal Pseudostreamer Evolution and the Creation of Secondary Heliospheric Current Sheets
[arXiv] 2026-09-03 | A Technique for Load Shifting Low-latency Applications in Multi-Region Renewables Harvesting via SMT Core Pooling
[arXiv] 2026-09-03 | Nonuniqueness of Model Potentials and Weak Geodesic Rays
[arXiv] 2026-09-03 | Constructing the Field of Philanthropic and Nonprofit Studies: Evidence from Citation Networks
[arXiv] 2026-09-03 | Symmetry-breaking line defects embedded to a 3D $O(N)$ critical bulk
[arXiv] 2026-09-03 | Isomorphisms of graded semiconnected algebras
[arXiv] 2026-09-03 | A Silicon-Compatible Uncooled Compact Broadband Infrared Spectrometer
[arXiv] 2026-09-03 | Is Semantics Enough for Speech Mean Opinion Score Prediction?
[arXiv] 2026-09-03 | Long-Range Indirect Control-Flow Prediction in Stripped Binaries via Dual Virtual Hubs and Multi-Task Graph Learning
[arXiv] 2026-09-03 | R2S-Eval: Robot Evaluation with Real-to-Sim Calibration via Vision-Language Models
[arXiv] 2026-09-03 | Moiré-induced altermagnetism from nonmagnetic constituents
[arXiv] 2026-09-03 | Symbol-Domain Chase Combining on Fourier-Curve Constellations: Exact Penalties of Per-Round Bit Reduction
[arXiv] 2026-09-03 | What Else Needs Fixing? Exploring Cost-Effective Test-Time Compute for Revision Propagation in Artifacts Generated Through Conversation
[arXiv] 2026-09-03 | Coupling-Aware Aggregation of Multi-Zone HVAC Loads under Uncertainty: A Two-level Framework
[arXiv] 2026-09-03 | Accelerated Prox-Level Methods for Unknown Piecewise-Smooth Optimization II: Function-constrained Optimization
[arXiv] 2026-09-03 | Trust Me, I'm Your Developer: Self-Issued Authentication in Large Language Models
[arXiv] 2026-09-03 | What is Smoothness?
[arXiv] 2026-09-03 | A Joint Power-Privacy Control Framework for Decentralized Learning over Heterogeneous Wireless Multicasting Networks
[arXiv] 2026-09-03 | FlowBalance: Verifier-Grounded Self-Improvement from On-Policy Reasoning Experience
[arXiv] 2026-09-03 | Trajectory-Based Co-Optimization of Arrival Scheduling and Descent Path Design in the Terminal Maneuvering Area
[arXiv] 2026-09-03 | CLAS+: A large catalog of Changing-Look AGN candidates selected through S-PLUS narrow-band photometry
[arXiv] 2026-09-03 | The 2026 PNPL Competition: Word Classification and Efficient Cross-Subject Generalisation in LibriBrain100
[arXiv] 2026-09-03 | Language-encoded network topology enables large language models to reason about complex networks
[arXiv] 2026-09-03 | Data-Based Clustering and Control of Similar Biological Systems
[arXiv] 2026-09-03 | OctWorld: Long-Range World-Consistent Video Generation with Octree-Based 3D Mapping
[arXiv] 2026-09-03 | Grounding GUI Design in Computational Psychology
[arXiv] 2026-09-03 | RuleMem: Active Rule Memory for Long-Term Conversational Agents
[arXiv] 2026-09-03 | Electromechanical Domain Wall Propagation in Dielectric Elastomers: An Exact Geometric Resolution via Conformal Mapping
[arXiv] 2026-09-03 | CROCODIL: Cross-Model Code Editing with LLMs
[arXiv] 2026-09-03 | FWBC-VLA: Force-Aware Whole-Body Compensation for Contact-Rich Loco-Manipulation
[arXiv] 2026-09-03 | Beyond Shallow Alignment: How Post-Training Methods Determine Refusal Circuits And Steering Robustness
[arXiv] 2026-09-03 | Interferometric Survey of Stellar Parameters: Mass of the metallic A-type binary $β$ Aur
[arXiv] 2026-09-03 | Properties of Seasonal Ice at Sisyphi Cavi and Implications for Current Modification of Martian Gullies
[arXiv] 2026-09-03 | Measure theory without infinities
[arXiv] 2026-09-03 | Bioinfoysis Technical Report
[arXiv] 2026-09-03 | GazeFS: Target-Centered Gaze-Trajectory Forecasting and Stabilization from Gaze-Head History
[arXiv] 2026-09-03 | Adapting to Evolving Requirements: Agentic AI for Retail Supply Chain Operations
[arXiv] 2026-09-03 | A Fejér--Riesz inequality for Dirichlet series
[arXiv] 2026-09-03 | Universal Driven Critical Dynamics of Entanglement Entropy
[arXiv] 2026-09-03 | Bridging Formal and Perceived Fairness: Development of an Interdisciplinary Framework in Algorithmic Decision-Making
[arXiv] 2026-09-03 | The mean-field limit of the Schrödinger-Lohe model and emergent dynamics
[arXiv] 2026-09-03 | EF1-Constrained Nash Social Welfare with Identical Additive Valuations: Complexity, Guarantees, and Experiments
[arXiv] 2026-09-03 | Flip, Don't Shuffle: Watermarking LLMs at the Speed of Inference
[arXiv] 2026-09-03 | On flows generated by square-integrable vector fields
[arXiv] 2026-09-03 | Parabolic Poincaré inequalities and maximal function estimates for systems of partial differential equations
[arXiv] 2026-09-03 | The impact of phase information for few-shot fine-grained image classification
[arXiv] 2026-09-03 | Energetic Costs of Subspace Quantum Error Correction
[arXiv] 2026-09-03 | Optimisation of importance sampling implementation in rare-event shielding simulations using Geant4
[arXiv] 2026-09-03 | Select, Compress, Reinvest: A Controlled Study of Visual-Token Allocation in Long-Video MLLMs
[arXiv] 2026-09-03 | Is Collision-Free Backoff Worth It in Wi-Fi?
[arXiv] 2026-09-03 | VisCAD: A Foundation Model Suite with Multimodal Industrial CAD Intelligence
[arXiv] 2026-09-03 | Free Pause Tokens
[arXiv] 2026-09-03 | Auditing Contextual Bias in Human Ball-Strike Calls Using KBO's Automated Umpiring Transition
[arXiv] 2026-09-03 | Rethinking World Models for Safety-Critical Embodied Systems
[arXiv] 2026-09-03 | Effects of the Direct Space Charge on Transverse Coupled-Bunch Instabilities
[arXiv] 2026-09-03 | OBER+: Continuity-Aware Reporting and Traceable Continuous Improvement in Outcome-Based Education
[arXiv] 2026-09-03 | Lifetime Profit-Maximising Co-optimisation of Multi-Service Stacking for Battery Storage
[arXiv] 2026-09-03 | Ground-State Phase Diagram, Higher-Winding Topology, and Lifshitz Criticality in an Anisotropic Four-Spin XX Chain
[arXiv] 2026-09-03 | Robot Aware Computational Design of Object Specific Passive Grippers for Additive Manufacturing
[arXiv] 2026-09-03 | Ion-Engineered Insulator-to-Semiconductor Transition in Natural 2D Biotite
[arXiv] 2026-09-03 | Rent-a-RAG: Embedding-Space Watermarks for Auditing Third-Party RAG
[arXiv] 2026-09-03 | Beyond BLEU: A Case for Redefining Sign Language Translation Benchmarks
[arXiv] 2026-09-03 | Proactive Service Agents: A Unified Decision Framework, Methods, and Evaluation
[arXiv] 2026-09-03 | Fractalizing spacetime: Floquet codes with fractonic excitations that are immobile in space and time
[arXiv] 2026-09-03 | On the Finiteness of Anosov flows on $3$-manifolds via Contact Geometry
[arXiv] 2026-09-03 | Synchronization of directed hypergraphs with heterogeneities via dynamic coupling
[arXiv] 2026-09-03 | Symmetries and Causality: Causal Effect Identification Beyond IID Data
[arXiv] 2026-09-03 | Asymptotic Analysis of Gradient Mapping-type Stationarity Measure for the Sum of Nonconvex Nonsmooth Functions and Applications to Proximal Gradient-type Algorithms
[arXiv] 2026-09-03 | Quantisation of Abstract Data Types
[arXiv] 2026-09-03 | Towards a Statistical Understanding of Mixture-of-Experts
[arXiv] 2026-09-03 | Compile by Training: Turning Natural-Language Specifications into Local Neural Functions
[arXiv] 2026-09-03 | Legibility is Not Interpretability: Comparing Judged and Actual Importance in Chain-Of-Thought Reasoning
[arXiv] 2026-09-03 | Baby-universe state dependence of the wormhole-induced gravi-axion mass gap
[arXiv] 2026-09-03 | Robust PAC Learning of Concurrent Stochastic Games
[arXiv] 2026-09-03 | Minimizing the makespan in job shop scheduling under conflict graph constraints
[arXiv] 2026-09-03 | Vanilla Exact Synthesis of CNOT Circuits is NP-hard
[arXiv] 2026-09-03 | Boundary conditions for axionic wormholes, imaginary distance bound and KSW allowability
[arXiv] 2026-09-03 | Natural Disasters and the Nonprofit Sector
[arXiv] 2026-09-03 | Fundamental differences in the X-ray accretion properties of low and high-excitation radio galaxies
[arXiv] 2026-09-03 | Decreasing Digital Distraction in College Students: Associated Online Learning Strategies Identified by Unsupervised Data Mining Approaches
[arXiv] 2026-09-03 | A targeted search for fast radio bursts from magnetars in elliptical galaxies
[arXiv] 2026-09-03 | A Stochastic Riemannian Alternating Descent Ascent Method for Nonsmooth Composite Expectation Optimization on Riemannian Manifolds
[arXiv] 2026-09-03 | Compressing Streaming Neural Audio Encoders via Latent-Space Distillation
[arXiv] 2026-09-03 | Zero sum two-player differential game under three regimes
[arXiv] 2026-09-03 | A Non-Formulable Theorem: A Fundamental Limit of Finite Syntactic Systems and Its Consequences for Security and AI
[arXiv] 2026-09-03 | Deep Neural Compression for RIR-Characterized Acoustic Environments with Structure-Aware Constraints
[arXiv] 2026-09-03 | Frequency-Multiplexed Parallel Gates for Quantum LDPC Codes in a Two-Dimensional Ion Crystal
[arXiv] 2026-09-03 | Monitoring antiproton numbers with a CMOS detector in a dense-track environment
[arXiv] 2026-09-03 | TAP-Path: Task-Adaptive Structural and Token Pruning for Efficient and Trustworthy Pathology Foundation Models
[arXiv] 2026-09-03 | Continuous Actions from Discrete Minds: Latent-Aligned Planning for End-to-End Autonomous Driving
[arXiv] 2026-09-03 | Spurious Advantage Hidden in GRPO
[arXiv] 2026-09-03 | When Models Edit Too Much: On the Fidelity of Minimal Code Edits
[arXiv] 2026-09-03 | Limits of Stochastic Semigroups and Block-Triangular Majorisation
[arXiv] 2026-09-03 | LabelMate: An LLM-Driven Framework for Refined Issue Report Labeling
[arXiv] 2026-09-03 | An off-shell conformally invariant Galilean Weyl tensor
[arXiv] 2026-09-03 | Conditioning of solutions to the Sylvester equation
[arXiv] 2026-09-03 | The Dice Roll Method: A Standardized Protocol for Repeated-Query Auditing of Large Language Model Brand Recommendations
[arXiv] 2026-09-03 | Extending concurrent separation logic to the hardware level to verify the xv6 OS kernel on RISC-V with AI agents
[arXiv] 2026-09-03 | Minimality for noncommutative dynamical systems
[arXiv] 2026-09-03 | From configuration spaces to graph complexes via FA-modules
[arXiv] 2026-09-03 | Influence of Extruded Filament Shape on Buildability in 3D Concrete Printing: A Geometry-Informed Deep Learning-FEM Approach
[arXiv] 2026-09-03 | LLM4CKD: Large Language Models for Early Stage Chronic Kidney Disease Screening
[arXiv] 2026-09-03 | RobustSeiz: An Open-Source Framework for Benchmarking the Robustness of EEG Seizure Detection Models
[arXiv] 2026-09-03 | Designing corrugated surfaces to guide colloidal self-assembly
[arXiv] 2026-09-03 | Heavy-Tailed First-Order Optimization for Polyak-Łojasiewicz Condition: High-Dimensional Minimax Bounds, High-Probability Guarantee, and Fixed-Dimensional Improvements
[arXiv] 2026-09-03 | Cooperative Multi-Task Semantic Communication for Joint Classification and Regression Tasks
[arXiv] 2026-09-03 | Detection of hydrocarbons in Titan using high-resolution cross-correlation spectroscopy
[arXiv] 2026-09-03 | An exact traveling waves solution for a special class of semilinear equations
[arXiv] 2026-09-03 | Analytic study of the continuous spectrum of three-dimensional weak shock layers
[arXiv] 2026-09-03 | Investigating the Ability of Large Language Models to Analyze Recipes for Diabetes
[arXiv] 2026-09-03 | Characterizing Contractions and Weighted Blowdowns
[arXiv] 2026-09-03 | 3.5-meter Segmented-Mirror Robotic Space Telescope Mission White Paper V. Key Scientific Mission: Compact-Object Time-Domain Science
[arXiv] 2026-09-03 | Refusing the Impossible: A Taxonomy and Benchmark for Code Hallucination in Large Language Models
[arXiv] 2026-09-03 | A Polynomial PDE Criterion for the $-n/d$ Root of the Bernstein-Sato polynomial of Homogeneous Ideals
[arXiv] 2026-09-03 | Fourier Analysis and Idempotents in Quandle Algebras
[arXiv] 2026-09-03 | When Do Frozen VLMs Respond to Image-Free Object-Token Edits? An Answer-Key-Free Protocol and What It Reveals
[arXiv] 2026-09-03 | A Computationally Feasible Framework for Causal Probabilistic Explanation
[arXiv] 2026-09-03 | Patterned Substrates Unlock Self-Electrophoretic Phenomenon in Active Janus Microswimmers
[arXiv] 2026-09-03 | SALTED: a symmetry-adapted machine-learning program for predicting electron-densities in molecules and materials
[arXiv] 2026-09-03 | Lattice QCD calculation of the pion-nucleon coupling $\bar{g}_0$ induced by the QCD $Θ$-term
[arXiv] 2026-09-03 | DREAM: Deep-Reparametrization of Adaptive Regularization Maps for Fast Zero-Shot Self-Supervised Learning
[arXiv] 2026-09-03 | Discrete-time quantum walks with energy-dependent coins
[arXiv] 2026-09-03 | Cusped Defects: Cusp Operator Expansion, Conformal Properties and Bootstrap Applications
[arXiv] 2026-09-03 | Graded Betti numbers of graded Möbius algebras of uniform matroids
[arXiv] 2026-09-03 | The conformally invariant metric on CLE$_4$ II: existence of geodesics
[arXiv] 2026-09-03 | Barnacle: Adaptive Multi-Leader Scheduling for DAG-Based Consensus
[arXiv] 2026-09-03 | Convolution Sum-Product Queries
[arXiv] 2026-09-03 | Coherent interaction of WS$_2$ and quasi-2D perovskite excitons over micrometer distances via a cavity field
[arXiv] 2026-09-03 | Towards Numerical TOHTN Planning with SMT-based HTN-SAT Encoding
[arXiv] 2026-09-03 | RATL: Learning from Retrieved Residuals for Robust Multivariate Time-Series Forecasting
[arXiv] 2026-09-03 | On the interplay between waveform systematics and lensing signatures in gravitational-wave signals
[arXiv] 2026-09-03 | Fixed Suffix Dependency Ratio: Quantifying the Dual-Track Mechanism of Gender Assignment in Latvian Loanwords
[arXiv] 2026-09-03 | Ultra-Precise Quantum Projective Designs in Constant Depth
[arXiv] 2026-09-03 | Halfspace Theorems for Anisotropic Minimal Surfaces and Perimeter Minimizers
[arXiv] 2026-09-03 | Lose the Order, Keep the Hierarchy: Deordering HTN Plans
[arXiv] 2026-09-03 | On second maximal subgroups of finite groups
[arXiv] 2026-09-03 | Spin-to-polarization mapping with a coherent quantum dot-cavity receiver
[arXiv] 2026-09-03 | Extremal Families for Matchings in Permutations
[arXiv] 2026-09-03 | \texorpdfstring{$α$}{}-decay for superheavy nucleus: The alpha decay energy to the one-fourth power
[arXiv] 2026-09-03 | The Prime Clockwork: A Dynamic Representation of Modular and Multiplicative Arithmetic
[arXiv] 2026-09-03 | Concept of a Sensor Test Environment for Dusty Agricultural Conditions
[arXiv] 2026-09-03 | The 11/6 supremum of the Wang-Sitters rounding scheme for graph balancing
[arXiv] 2026-09-03 | Eulerian insertion operators and an Eulerian form of the Pieri rule
[arXiv] 2026-09-03 | Sharp asymptotics for a transport model with a nonlocal condition of the Fisher-KPP type at the boundary
[arXiv] 2026-09-03 | nufftcf: Fast Auto- and Cross-Correlation Function Estimation for Irregularly-Sampled Time Series via the Non-Uniform FFT
[arXiv] 2026-09-03 | Can Julia land on the Moon? On the development of a GNC simulation framework for the Argonaut lunar lander
[arXiv] 2026-09-03 | The Casimir free energy of peptide films on a silicon substrate: Impact of dielectric-to-metal transition in silicon and nanoparticles in peptide
[arXiv] 2026-09-03 | Haglund--Haiman--Loehr formula via Carlsson--Mellit Algebra
[arXiv] 2026-09-03 | Supersingular Elliptic Curves Without Inseparable Small Degree Endomorphisms
[arXiv] 2026-09-03 | Semantic Bayesian World Models
[arXiv] 2026-09-03 | Witnesses Explain Anomalies
[arXiv] 2026-09-03 | A stabilized scheme satisfying the discrete maximum principle for a time fractional convection-diffusion-reaction equation
[arXiv] 2026-09-03 | SVG-Score: Human-Aligned Evaluation of Text-to-SVG Generation
[arXiv] 2026-09-03 | List-distance consistent vertices in trees are confined to a path
[arXiv] 2026-09-03 | Govern the Model, Not Only the Data: Storage, Circulation, and Learning in Creative AI
[arXiv] 2026-09-03 | A comparative study on the accuracy & repeatability of mobile robotic platforms for the delivery of precision NDE measurement
[arXiv] 2026-09-03 | Simultaneous measurements of enzyme propagation and biopolymer mobility elucidate the directional degradation of a dense biopolymer matrix
[arXiv] 2026-09-03 | DNative-Twin: Decision Graphs and Digital Twins for Reconstructable Agentic Decisions
[arXiv] 2026-09-03 | Computing high-order mixed derivatives in physics-informed neural networks using multi-index Bell polynomials
[arXiv] 2026-09-03 | Disk survey in the Serpens star-forming region: Environmental effects in nearby star-forming regions
[arXiv] 2026-09-03 | The scramble number of outerplanar graphs
[arXiv] 2026-09-03 | SimSkill: A Lifelong Learning AI Agent for Autonomous Mastery of Traffic Simulation
[arXiv] 2026-09-03 | A Quantization Problem Posed by Adaptive Streaming
[arXiv] 2026-09-03 | Quasi S-n-ideals in commutative semirings
[arXiv] 2026-09-03 | KnowVis: Knowledge-Centric Visual Summarization for Video Lectures
[arXiv] 2026-09-03 | Bayesian Confidence Recalibration and Research-Equilibrium Criticality: Temporal Support in Robust Portfolios
[arXiv] 2026-09-03 | Analog quantum simulation of bosonic and anyonic models with flux-driven transmons
[arXiv] 2026-09-03 | Unfold The World: Factorize 4D Properties in Reinforcing Spatial Reasoning
[arXiv] 2026-09-03 | Multimodal and Multiscale Interrogation of a Mechanically Tough Glass Forming Copper-Based Metal-Organic Framework
[arXiv] 2026-09-03 | Can LLMs Extract Architectural Design Decisions from Source Code Commits? - A Preliminary Exploratory Study
[arXiv] 2026-09-03 | Opening mind by opening architecture: analysis strategies
[arXiv] 2026-09-03 | Gd-4f Exchange Splitting and Mo-4d Crystal-Field Redistribution in Gd/W Co-doped La2Mo2O9: A DFT+U Study
[arXiv] 2026-09-03 | Chern's Conjecture with Constant Cubic Trace
[arXiv] 2026-09-03 | Parametric estimation of Hawkes processes based on ordinary least squares
[arXiv] 2026-09-03 | Do GUI Agents Know When Not to Act? Enabling Conflict-Aware Termination for Multimodal GUI Agents
[arXiv] 2026-09-03 | Markovian Shock-Source Tracing and Multidimensional Asset Roles in Exchange Rates, Gold Futures, and Bitcoin
[arXiv] 2026-09-03 | Constraints on mu-variations from the methanol CH3OH thermal lines in the Galaxy at galactocentric distances of 1.5 < D_GC < 13 kpc
[arXiv] 2026-09-03 | A New Sufficient Condition for Oriented Graphs Determined by Their Generalized Skew Spectra
[arXiv] 2026-09-03 | Catenoid-sharp index-topology estimates for minimal hypersurfaces
[arXiv] 2026-09-03 | Privacy, Robustness, and Fairness Trade-offs in Federated Intrusion Detection: Geometric Indistinguishability at the Aggregation Interface
[arXiv] 2026-09-03 | StrixAE: An Intelligent Agent for Audio Enhancement under Complex Distortion Coupling in Real-World Scenarios
[arXiv] 2026-09-03 | The 5P Reflection Model for Education in the Generative Artificial Intelligence (GenAI) Era
[arXiv] 2026-09-03 | Adjacent vertex distinguishing total chromatic number of graph products
[arXiv] 2026-09-03 | Neural-Collapse-guided Task-Free Continual Anomaly Detection
[arXiv] 2026-09-03 | A Prompt-Engineering Approach to Develop Scalable, Flexible, and Real-Time Hybrid Micro-Level Personalization in a General Purpose AI Teaching Assistant
[arXiv] 2026-09-03 | Quantitatively hyper-positive real rational functions IV: The canonical case
[arXiv] 2026-09-03 | Exploring the Potential of Contrastive Language-Image Pre-training for Multi-Source Remote Sensing Data
[arXiv] 2026-09-03 | Entropy and semiconjugacy on surfaces
[arXiv] 2026-09-03 | PSDWII: Physical-Structure-Driven Waveform Inversion Imaging
[arXiv] 2026-09-03 | When Depth Hurts: Reliability-Aware Geometry Distillation for Depth-Free RGB-D Salient Object Detection
[arXiv] 2026-09-03 | Accountable AI with Grounded, Faithful, Consistent, Actionable Rationales: A Case Study in Clinical Trial Matching with VERDICT
[arXiv] 2026-09-03 | Counterexamples to two conjectures on the diameter of clique-free graphs
[arXiv] 2026-09-03 | Exterior Serrin Rigidity for the Homogeneous{k}-Hessian Equation
[arXiv] 2026-09-03 | A Large Open Multi-Energy Corpus of Soil Compaction Tests, with Machine-Learning Baselines
