[2026-03-25 22:37:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-24
正在获取论文...
[arXiv] 2026-03-24 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[arXiv] 2026-03-24 | Charge Transport Modeling of CdSe/ZnS core/shell Quantum Nanorod Light-Emitting Diodes
[arXiv] 2026-03-24 | Sovereign risk mitigation mechanism in emerging markets
[arXiv] 2026-03-24 | SoK: The Attack Surface of Agentic AI -- Tools, and Autonomy
[arXiv] 2026-03-24 | Direct Numerical Simulation of MILD Combustion: Mixing and Autoignition from Non-Premixed Streams
[arXiv] 2026-03-24 | $p$-adic multiple zeta values of integer indices
[arXiv] 2026-03-24 | Non-Hermitian skin effect in periodic, random, and quasiperiodic systems
[arXiv] 2026-03-24 | Multilingual KokoroChat: A Multi-LLM Ensemble Translation Method for Creating a Multilingual Counseling Dialogue Dataset
[arXiv] 2026-03-24 | From the AI Act to a European AI Agency: Completing the Union's Regulatory Architecture
[arXiv] 2026-03-24 | ForestPrune: High-ratio Visual Token Compression for Video Multimodal Large Language Models via Spatial-Temporal Forest Modeling
[arXiv] 2026-03-24 | Transition fronts of combustion reaction-diffusion equations in domains with multiple cylindrical branches
[arXiv] 2026-03-24 | Separating Diagnosis from Control: Auditable Policy Adaptation in Agent-Based Simulations with LLM-Based Diagnostics
[arXiv] 2026-03-24 | Task-Aware Positioning for Improvisational Tasks in Mobile Construction Robots via an AI Agent with Multi-LMM Modules
[arXiv] 2026-03-24 | $\mathbb{Z}_2$-Thurston norm in Sol manifolds and embeddability of non-orientable surfaces
[arXiv] 2026-03-24 | Balancing Safety and Efficiency in Aircraft Health Diagnosis: A Task Decomposition Framework with Heterogeneous Long-Micro Scale Cascading and Knowledge Distillation-based Interpretability
[arXiv] 2026-03-24 | Template-Based Feature Aggregation Network for Industrial Anomaly Detection
[arXiv] 2026-03-24 | A Lavrentiev phenomenon in the neo-Hookean model
[arXiv] 2026-03-24 | Designing to Forget: Deep Semi-parametric Models for Unlearning
[arXiv] 2026-03-24 | Who Sits Where? Automated Detection of Director Interlocks in Indian Companies
[arXiv] 2026-03-24 | Secure Two-Party Matrix Multiplication from Lattices and Its Application to Encrypted Control
[arXiv] 2026-03-24 | Probing the Bias of Large-Scale Structure with Unlocalized Fast Radio Bursts
[arXiv] 2026-03-24 | Option pricing model under the G-expectation framework
[arXiv] 2026-03-24 | Improving Safety Alignment via Balanced Direct Preference Optimization
[arXiv] 2026-03-24 | RadTimeline: Timeline Summarization for Longitudinal Radiological Lung Findings
[arXiv] 2026-03-24 | When AI Shows Its Work, Is It Actually Working? Step-Level Evaluation Reveals Frontier Language Models Frequently Bypass Their Own Reasoning
[arXiv] 2026-03-24 | Focus, Don't Prune: Identifying Instruction-Relevant Regions for Information-Rich Image Understanding
[arXiv] 2026-03-24 | Well-posedness of mean curvature flow
[arXiv] 2026-03-24 | A Residual-Attention Physics-Informed Neural Network for Irregular Interfaces and Multi-Peak Transport Fields
[arXiv] 2026-03-24 | Exponential Separation of Quantum and Classical One-Way Numbers-on-Forehead Communication
[arXiv] 2026-03-24 | Curve resampling based high-quality high-order unstructured quadrilateral mesh generation
[arXiv] 2026-03-24 | AgriPestDatabase-v1.0: A Structured Insect Dataset for Training Agricultural Large Language Model
[arXiv] 2026-03-24 | From Overload to Convergence: Supporting Multi-Issue Human-AI Negotiation with Bayesian Visualization
[arXiv] 2026-03-24 | Reconstruction-Guided Slot Curriculum: Addressing Object Over-Fragmentation in Video Object-Centric Learning
[arXiv] 2026-03-24 | KALAVAI: Predicting When Independent Specialist Fusion Works -- A Quantitative Model for Post-Hoc Cooperative LLM Training
[arXiv] 2026-03-24 | CIPL: A Target-Independent Framework for Channel-Inversion Privacy Leakage in Agents
[arXiv] 2026-03-24 | Standing-Wave Optical Trap Based on Retro-Reflection Photonic Nanojet
[arXiv] 2026-03-24 | Modification of the k-omega0 model for roughness
[arXiv] 2026-03-24 | SOUPLE: Enhancing Audio-Visual Localization and Segmentation with Learnable Prompt Contexts
[arXiv] 2026-03-24 | The Interspeech 2026 Audio Encoder Capability Challenge for Large Audio Language Models
[arXiv] 2026-03-24 | First-Principles Theory of Chirality-Induced Spin Selectivity at Molecule-Metal Interfaces in Photoemission
[arXiv] 2026-03-24 | A Frequency-Domain Approach for Integrating Multiple Functional Time Series
[arXiv] 2026-03-24 | Wilson Surface One-Point Functions: A Case Study
[arXiv] 2026-03-24 | Why Database Manuals Are Not Enough: Efficient and Reliable Configuration Tuning for DBMSs via Code-Driven LLM Agents
[arXiv] 2026-03-24 | HI Gas and Star Formation in Major Galaxy Pairs from the FAST All-Sky HI Survey (FASHI)
[arXiv] 2026-03-24 | Think 360°: Evaluating the Width-centric Reasoning Capability of MLLMs Beyond Depth
[arXiv] 2026-03-24 | The family of all local maximum independent sets is an augmentoid
[arXiv] 2026-03-24 | Deterministic quantum master equation for non-Markovian signal processing
[arXiv] 2026-03-24 | Peeling-violating coefficients in classical gravitational scattering
[arXiv] 2026-03-24 | Dynamic Light Spanners in Doubling Metrics
[arXiv] 2026-03-24 | DiSCo: Diffusion Sequence Copilots for Shared Autonomy
[arXiv] 2026-03-24 | Edge density expansions for the classical Gaussian and Laguerre ensembles
[arXiv] 2026-03-24 | Metastability, chaos and spectrum tomography for Bose-Hubbard rings and chains
[arXiv] 2026-03-24 | From Morality Installation in LLMs to LLMs in Morality-as-a-System
[arXiv] 2026-03-24 | Ran Score: a LLM-based Evaluation Score for Radiology Report Generation
[arXiv] 2026-03-24 | Encoding Numerical Data for Generative Quantum Machine Learning
[arXiv] 2026-03-24 | Robustness Quantification for Discriminative Models: a New Robustness Metric and its Application to Dynamic Classifier Selection
[arXiv] 2026-03-24 | Typography-Based Monocular Distance Estimation Framework for Vehicle Safety Systems
[arXiv] 2026-03-24 | AeroScene: Progressive Scene Synthesis for Aerial Robotics
[arXiv] 2026-03-24 | A High-frequency Geodetic VLBI Experiment for Optical Clock Comparison
[arXiv] 2026-03-24 | Algorithmic warm starts for Hamiltonian Monte Carlo
[arXiv] 2026-03-24 | Shuffle algebra realizations for restricted Yangians
[arXiv] 2026-03-24 | Infinite families of very exotic spheres with free $S^1$- and $S^3$-actions
[arXiv] 2026-03-24 | Perihelion observations of interstellar comet 3I/ATLAS with the IRAM 30-m telescope
[arXiv] 2026-03-24 | A Variational link between the Olech-Opial inequality, the Wirtinger inequality, and Emden-Fowler equations
[arXiv] 2026-03-24 | Superlinear convergence in nonsmooth optimization via higher-order cutting-plane models
[arXiv] 2026-03-24 | MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation
[arXiv] 2026-03-24 | Electrokinetic sensing in cartilage: a porous-material perspective on joint mechanics
[arXiv] 2026-03-24 | PRETTINESS -- Privacy pResErving aTTrIbute maNagEment SyStem
[arXiv] 2026-03-24 | Spinor inequality for magnetic fields on spin manifolds
[arXiv] 2026-03-24 | Leptogenesis implications of two-zero textures of Majorana neutrino mass matrix in type-I seesaw model
[arXiv] 2026-03-24 | NCS-Models: Seismic foundation models trained on the Norwegian repository of public data
[arXiv] 2026-03-24 | Between Resolution Collapse and Variance Inflation: Weighted Conformal Anomaly Detection in Low-Data Regimes
[arXiv] 2026-03-24 | Gaze-Regularized Vision-Language-Action Models for Robotic Manipulation
[arXiv] 2026-03-24 | Identification of low redshift groups and clusters of galaxies in the X-CLASS survey and the X-ray luminosity-temperature relation
[arXiv] 2026-03-24 | Toeplitz Operators on Contact Manifolds and Equivariant K-homology
[arXiv] 2026-03-24 | Behavioral Heterogeneity as Quantum-Inspired Representation
[arXiv] 2026-03-24 | 3D CMZ V: A new orbital model of our Galaxy's Center, informed by data across the electromagnetic spectrum
[arXiv] 2026-03-24 | Quantum simulation of Motzkin spin chain with Rydberg atoms
[arXiv] 2026-03-24 | MAGIC observations of NGC 4278. The first low-luminosity radio galaxy with compact jets detected at TeV energies
[arXiv] 2026-03-24 | Topological Pumping Through a Localized Bulk in a Photonic Hofstadter System
[arXiv] 2026-03-24 | UniGRPO: Unified Policy Optimization for Reasoning-Driven Visual Generation
[arXiv] 2026-03-24 | WildWorld: A Large-Scale Dataset for Dynamic World Modeling with Actions and Explicit State toward Generative ARPG
[arXiv] 2026-03-24 | VISion On Request: Enhanced VLLM efficiency with sparse, dynamically selected, vision-language interactions
[arXiv] 2026-03-24 | Stablecoins as Dry Powder: A Copula-Based Risk Analysis of Cryptocurrency Markets
[arXiv] 2026-03-24 | UniFunc3D: Unified Active Spatial-Temporal Grounding for 3D Functionality Segmentation
[arXiv] 2026-03-24 | Evidence of political bias in search engines and language models before major elections
[arXiv] 2026-03-24 | Regulating AI Agents
[arXiv] 2026-03-24 | Non-abelian Hodge theory for non-proper varieties and the linear Shafarevich conjecture
[arXiv] 2026-03-24 | InverFill: One-Step Inversion for Enhanced Few-Step Diffusion Inpainting
[arXiv] 2026-03-24 | DetPO: In-Context Learning with Multi-Modal LLMs for Few-Shot Object Detection
[arXiv] 2026-03-24 | Perturbations of Dirac Operators
[arXiv] 2026-03-24 | Smoothness results for the schemes of special divisors on general k-gonal curves
[arXiv] 2026-03-24 | Information-Driven Active Perception for k-step Predictive Safety Monitoring
[arXiv] 2026-03-24 | Asymptotics of Nonparametric Estimation under general non-monotone MAR missingness: A Bayesian Approach
[arXiv] 2026-03-24 | Code Review Agent Benchmark
[arXiv] 2026-03-24 | Targeted Adversarial Traffic Generation : Black-box Approach to Evade Intrusion Detection Systems in IoT Networks
[arXiv] 2026-03-24 | Mecha-nudges for Machines
[arXiv] 2026-03-24 | Sub-eikonal Structure of High-Energy Deep-Inelastic Scattering
[arXiv] 2026-03-24 | Spectral Structure of the Mixed Hessian of the Dispersionless Toda $τ$-Function
[arXiv] 2026-03-24 | Exact analytical PGSE signal for diffusion confined to a cylindrical surface using a spectral Laplacian formalism
[arXiv] 2026-03-24 | I3DM: Implicit 3D-aware Memory Retrieval and Injection for Consistent Video Scene Generation
[arXiv] 2026-03-24 | Near-optimal solutions for carbon capture, conversion, storage, and removal strategies
[arXiv] 2026-03-24 | Beyond Preset Identities: How Agents Form Stances and Boundaries in Generative Societies
[arXiv] 2026-03-24 | Self-Supervised Graph Neural Networks for Optimal Substation Reconfiguration
[arXiv] 2026-03-24 | Kinetic Langevin Splitting Schemes for Constrained Sampling
[arXiv] 2026-03-24 | Harnessing Lightweight Transformer with Contextual Synergic Enhancement for Efficient 3D Medical Image Segmentation
[arXiv] 2026-03-24 | Piecewise M-Stationarity and Related Algorithms for Mathematical Programs with Complementarity Constraints
[arXiv] 2026-03-24 | Investigating peculiar prompt emission properties of the multi-Peaked GRB 250129A
[arXiv] 2026-03-24 | Dynamics of Kahan-Hirota-Kimura maps with rational invariant fibrations
[arXiv] 2026-03-24 | Canonical Byte-String Encoding for Finite-Ring Cryptosystems
[arXiv] 2026-03-24 | Let Functions Speak: Lightweight Parametric Polymorphism via Domain and Range Types
[arXiv] 2026-03-24 | An Explainable AI-Driven Framework for Automated Brain Tumor Segmentation Using an Attention-Enhanced U-Net
[arXiv] 2026-03-24 | Graph Puzzles II.1: Counterexamples to Jain's Second Unit Vector Flows Conjecture
[arXiv] 2026-03-24 | Pose-Free Omnidirectional Gaussian Splatting for 360-Degree Videos with Consistent Depth Priors
[arXiv] 2026-03-24 | A Characterization of Edge Ideals with $reg(R/I(G)) = 3$
[arXiv] 2026-03-24 | Occupation-selective topological pumping from Floquet gauge fields
[arXiv] 2026-03-24 | Designing Agentic AI-Based Screening for Portfolio Investment
[arXiv] 2026-03-24 | Mamba-driven MRI-to-CT Synthesis for MRI-only Radiotherapy Planning
[arXiv] 2026-03-24 | LLM Olympiad: Why Model Evaluation Needs a Sealed Exam
[arXiv] 2026-03-24 | Unlocking AI's Potential in Agriculture: The Critical Role of Data
[arXiv] 2026-03-24 | Optical modelling of shaped laser pulses in plasma
[arXiv] 2026-03-24 | WaveSFNet: A Wavelet-Based Codec and Spatial--Frequency Dual-Domain Gating Network for Spatiotemporal Prediction
[arXiv] 2026-03-24 | Learning Multi-Agent Local Collision-Avoidance for Collaborative Carrying tasks with Coupled Quadrupedal Robots
[arXiv] 2026-03-24 | A reduced rank model for spatial categorical data with many classes
[arXiv] 2026-03-24 | On-the-Fly Lifting of Coarse Reaction-Coordinate Paths to Full-Dimensional Transition Path Ensembles
[arXiv] 2026-03-24 | Inequalities for the Tsallis q-entropy and Information Theory
[arXiv] 2026-03-24 | On the Vulnerability of FHE Computation to Silent Data Corruption
[arXiv] 2026-03-24 | Vision-based Deep Learning Analysis of Unordered Biomedical Tabular Datasets via Optimal Spatial Cartography
[arXiv] 2026-03-24 | Cluster Infall for Mass Calibration in the Stage-IV Era
[arXiv] 2026-03-24 | $β$-decay Measurements Near the $N=40$ Island of Inversion to Quantify Cooling of Accreted Neutron Star Crusts
[arXiv] 2026-03-24 | Short-Form Video Viewing Behavior Analysis and Multi-Step Viewing Time Prediction
[arXiv] 2026-03-24 | A mechanism for nonmonotonic $T_{c,max}(n)$ in multilayer cuprates
[arXiv] 2026-03-24 | Large-Scale Avalanche Mapping from SAR Images with Deep Learning-based Change Detection
[arXiv] 2026-03-24 | Generalizing Dynamics Modeling More Easily from Representation Perspective
[arXiv] 2026-03-24 | Explicit Model Predictive Control with Quantum Encryption
[arXiv] 2026-03-24 | Maximal growth of the Stein-Wainger oscillatory integral
[arXiv] 2026-03-24 | A foamy approach to Soergel bimodules
[arXiv] 2026-03-24 | Dynamics of O(2) excitations in a non-reciprocal medium
[arXiv] 2026-03-24 | The relief distribution problem with trucks and drones under incomplete demand information
[arXiv] 2026-03-24 | Relativistic Virial Operators
[arXiv] 2026-03-24 | Limit Values of Character Sums in Frobenius Formula of Three Permutations
[arXiv] 2026-03-24 | Bounding Box Anomaly Scoring for simple and efficient Out-of-Distribution detection
[arXiv] 2026-03-24 | The Benjamin-Feir instability in KdV-like equations with general dispersion and monomial nonlinearity
[arXiv] 2026-03-24 | Graded spherical skein 2+1-G-HQFT and modified Turaev-Viro invariants
[arXiv] 2026-03-24 | Genuine and spurious (non-)ergodicity in single particle tracking
[arXiv] 2026-03-24 | A Sobering Look at Tabular Data Generation via Probabilistic Circuits
[arXiv] 2026-03-24 | On the use of Aggregation Operators to improve Human Identification using Dental Records
[arXiv] 2026-03-24 | Exponential motives on the affine Grassmannian
[arXiv] 2026-03-24 | Generative Event Pretraining with Foundation Model Alignment
[arXiv] 2026-03-24 | FixationFormer: Direct Utilization of Expert Gaze Trajectories for Chest X-Ray Classification
[arXiv] 2026-03-24 | Towards Routine AI-Based PET/CT and SPECT/CT Lesion Segmentation and Tracking in PSMA Theranostics
[arXiv] 2026-03-24 | Causal Structure for Generalized Spinfoams
[arXiv] 2026-03-24 | Effect of the Atomic Dipole-Dipole Interaction on the Phase Diagrams of Field-Matter Interactions
[arXiv] 2026-03-24 | Universal Formula Families for Safe Stabilization of Single-Input Nonlinear Systems
[arXiv] 2026-03-24 | Rethinking Self-Sovereign Identity Principles: An Actor-Oriented Categorization of Requirements
[arXiv] 2026-03-24 | On the Golomb-Dickman constant under Ewens sampling
[arXiv] 2026-03-24 | From Synthetic to Native: Benchmarking Multilingual Intent Classification in Logistics Customer Service
[arXiv] 2026-03-24 | Symmetric measures of pseudorandomness for binary sequences
[arXiv] 2026-03-24 | PHANTOM Hand
[arXiv] 2026-03-24 | Exponential Decay for a Boundary-Controlled Nonlinear Parabolic Reactor Model
[arXiv] 2026-03-24 | A Characterization of Relative Hyperbolicity via Morse and Contracting Boundaries
[arXiv] 2026-03-24 | DAK-UCB: Diversity-Aware Prompt Routing for LLMs and Generative Models
[arXiv] 2026-03-24 | Extending partial edge-colorings of bounded size in Cartesian products of graphs
[arXiv] 2026-03-24 | Open Quantum System Theory of Muon Spin Relaxation in Materials
[arXiv] 2026-03-24 | Optimal Control of Switched Systems Governed by Logical Switching Dynamics
[arXiv] 2026-03-24 | Polaris: A Gödel Agent Framework for Small Language Models through Experience-Abstracted Policy Repair
[arXiv] 2026-03-24 | Q-GARS: Quantum-inspired Robust Microservice Chaining Scheduling
[arXiv] 2026-03-24 | 3rd Place of MeViS-Audio Track of the 5th PVUW: VIRST-Audio
[arXiv] 2026-03-24 | TRAP: Hijacking VLA CoT-Reasoning via Adversarial Patches
[arXiv] 2026-03-24 | Power System Studies Using Open-Access Software
[arXiv] 2026-03-24 | Wilson network expansion for four-point contact and exchange scalar Feynman diagrams in AdS$_2$
[arXiv] 2026-03-24 | A unified treatment of degenerate nonlocal elliptic problems
[arXiv] 2026-03-24 | Mind Your HEARTBEAT! Claw Background Execution Inherently Enables Silent Memory Pollution
[arXiv] 2026-03-24 | Nonlinear spinor field with Lyras geometry: Bianchi type-VI space-time
[arXiv] 2026-03-24 | Chaos and Superconcentration for Poisson Functionals with Applications in Stochastic Geometry
[arXiv] 2026-03-24 | Parametric Knowledge and Retrieval Behavior in RAG Fine-Tuning for Electronic Design Automation
[arXiv] 2026-03-24 | Assessing the Robustness of Climate Foundation Models under No-Analog Distribution Shifts
[arXiv] 2026-03-24 | Minimizing Material Waste in Additive Manufacturing through Online Reel Assignment
[arXiv] 2026-03-24 | Accelerating Maximum Common Subgraph Computation by Exploiting Symmetries
[arXiv] 2026-03-24 | Transformation of the Talbot effect in response to phase disorder
[arXiv] 2026-03-24 | Exploring Spectral Singularities in Dirac Semimetals: The Role of Non-Hermitian Physics and Dichroism
[arXiv] 2026-03-24 | VQ-Jarvis: Retrieval-Augmented Video Restoration Agent with Sharp Vision and Fast Thought
[arXiv] 2026-03-24 | Cutoff in separation profile for the flat torus, sphere, and projective spaces
[arXiv] 2026-03-24 | Structure-Aware Optimization of Decision Diagrams for Health Guidance via Integer Programming
[arXiv] 2026-03-24 | Can Graph Foundation Models Generalize Over Architecture?
[arXiv] 2026-03-24 | The Weil Decoration of the Horrocks-Mumford Bundle
[arXiv] 2026-03-24 | DariMis: Harm-Aware Modeling for Dari Misinformation Detection on YouTube
[arXiv] 2026-03-24 | Where Experts Disagree, Models Fail: Detecting Implicit Legal Citations in French Court Decisions
[arXiv] 2026-03-24 | Beyond Theoretical Bounds: Empirical Privacy Loss Calibration for Text Rewriting Under Local Differential Privacy
[arXiv] 2026-03-24 | Asymptotic Learning Curves for Diffusion Models with Random Features Score and Manifold Data
[arXiv] 2026-03-24 | Stepwise Variational Inference with Vine Copulas
[arXiv] 2026-03-24 | Privacy-Preserving EHR Data Transformation via Geometric Operators: A Human-AI Co-Design Technical Report
[arXiv] 2026-03-24 | Cluster-Wise Spatio-Temporal Masking for Efficient Video-Language Pretraining
[arXiv] 2026-03-24 | Weak-PDE-Net: Discovering Open-Form PDEs via Differentiable Symbolic Networks and Weak Formulation
[arXiv] 2026-03-24 | Quasiperiodic Slipping Motion of Flare Ribbon Fine Structures Anchored in a Sunspot Light Bridge
[arXiv] 2026-03-24 | EPJ Featured Talk: First direct measurement of radial flow in heavy-ion collisions with ALICE
[arXiv] 2026-03-24 | ProGRank: Probe-Gradient Reranking to Defend Dense-Retriever RAG from Corpus Poisoning
[arXiv] 2026-03-24 | EchoKV: Efficient KV Cache Compression via Similarity-Based Reconstruction
[arXiv] 2026-03-24 | SLARM: Streaming and Language-Aligned Reconstruction Model for Dynamic Scenes
[arXiv] 2026-03-24 | Quantifying Non-linearity in Topology Optimization with similarity based Visualization
[arXiv] 2026-03-24 | Critical LAN and Score Tests for Mixed Fractional Models under High-Frequency Observation at H=3/4
[arXiv] 2026-03-24 | Electron scattering by a magnetic monopole in solid-state experiments
[arXiv] 2026-03-24 | Retrieval-Guided Photovoltaic Inventory Estimation from Satellite Imagery for Distribution Grid Planning
[arXiv] 2026-03-24 | Gau-Occ: Geometry-Completed Gaussians for Multi-Modal 3D Occupancy Prediction
[arXiv] 2026-03-24 | UniQueR: Unified Query-based Feedforward 3D Reconstruction
[arXiv] 2026-03-24 | A Video Steganography for H.265/HEVC Based on Multiple CU Size and Block Structure Distortion
[arXiv] 2026-03-24 | Ultrafast electrically controlled magnetism in charge-order-induced ferroelectric altermagnet
[arXiv] 2026-03-24 | DROP: Distributionally Robust Optimization for Multi-task Learning in Graphical Models
[arXiv] 2026-03-24 | Approximating the Shapley Value of Minimum Cost Spanning Tree Games: An FPRAS for Saving Games
[arXiv] 2026-03-24 | L-UNet: An LSTM Network for Remote Sensing Image Change Detection
[arXiv] 2026-03-24 | Community Detection on Inhomogeneous Multilayer Networks with Extreme Sparsity
[arXiv] 2026-03-24 | Wafer-to-Wafer Bonding: Part: I -- The Coupled Physics Problem and the 2D Finite Element Implementation
[arXiv] 2026-03-24 | Towards The Implicit Bias on Multiclass Separable Data Under Norm Constraints
[arXiv] 2026-03-24 | "Don't Look, But I Know You Do": Norms and Observer Effects in Shared LLM Accounts
[arXiv] 2026-03-24 | Learning What Matters Now: Dynamic Preference Inference under Contextual Shifts
[arXiv] 2026-03-24 | Universal and efficient graph neural networks with dynamic attention for machine learning interatomic potentials
[arXiv] 2026-03-24 | Combinatorial Privacy: Private Multi-Party Bitstream Grand Sum by Hiding in Birkhoff Polytopes
[arXiv] 2026-03-24 | The Costs of Early-career Disciplinary Pivots: Evidence from PhD Admissions
[arXiv] 2026-03-24 | Search for the radiative decays $D^0\to γ\bar K_1(1270)^0$ and $D^+\to γK_1(1270)^+$
[arXiv] 2026-03-24 | Quantum Random Forest for the Regression Problem
[arXiv] 2026-03-24 | Production probability of super-heavy nuclei in fusion
[arXiv] 2026-03-24 | Enabling Chemically Accurate Quantum Phase Estimation in the Early Fault-Tolerant Regime
[arXiv] 2026-03-24 | On the series expansion of k-free Dirichlet series and its analytical continuation
[arXiv] 2026-03-24 | Distributed Hybrid Feedback for Global Pose Synchronization of Multiple Rigid Body Systems on $SE(3)$
[arXiv] 2026-03-24 | Interatomic Coulombic decay initiated by electron removal and excitation processes in helium ion and argon dimer collisions
[arXiv] 2026-03-24 | Can LLM Agents Generate Real-World Evidence? Evaluating Observational Studies in Medical Databases
[arXiv] 2026-03-24 | DALDALL: Data Augmentation for Lexical and Semantic Diverse in Legal Domain by leveraging LLM-Persona
[arXiv] 2026-03-24 | Matrix-Free Stabilized BDF Schemes for Semilinear Parabolic Equations with Unconditional Maximum Bound Principle Preservation and Energy Stability
[arXiv] 2026-03-24 | Charging efficiency bursts in a quantum battery with cyclic indefinite causal order
[arXiv] 2026-03-24 | CLiGNet: Clinical Label-Interaction Graph Network for Medical Specialty Classification from Clinical Transcriptions
[arXiv] 2026-03-24 | REALITrees: Rashomon Ensemble Active Learning for Interpretable Trees
[arXiv] 2026-03-24 | Boundary-sensitive non-Hermiticity of Floquet Hamiltonian: spectral transition and scale-free localization
[arXiv] 2026-03-24 | On Banach Spaces with the Helly Approximation Property
[arXiv] 2026-03-24 | Hydrogenation-induced gigantic resistance decrease of palladium films deposited by high pressure magnetron sputtering
[arXiv] 2026-03-24 | A variational geometric framework for multi-objective level set topology optimization
[arXiv] 2026-03-24 | Multitask-Informed Prior for In-Context Learning on Tabular Data: Application to Steel Property Prediction
[arXiv] 2026-03-24 | Simultaneous measurement of pressure-dependent bulk and interfacial thermal properties in thermal interface materials using square-pulsed source thermoreflectance
[arXiv] 2026-03-24 | Double Coupling Architecture and Training Method for Optimization Problems of Differential Algebraic Equations with Parameters
[arXiv] 2026-03-24 | HyFI: Hyperbolic Feature Interpolation for Brain-Vision Alignment
[arXiv] 2026-03-24 | Beyond Explanation: Evidentiary Rights for Algorithmic Accountability
[arXiv] 2026-03-24 | Optimal filtering for a giant cavity in waveguide QED systems
[arXiv] 2026-03-24 | How Far Can VLMs Go for Visual Bug Detection? Studying 19,738 Keyframes from 41 Hours of Gameplay Videos
[arXiv] 2026-03-24 | Detecting outliers of pursuit eye movements: a preliminary analysis of autism spectrum disorder
[arXiv] 2026-03-24 | Distinct memory properties in spin-wave reservoir computing based on synthetic antiferromagnet
