[2026-05-10 22:49:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-09
正在获取论文...
[ACM] 2026-5-9 | An NRBO-Enhanced CNN-BiLSTM Framework for Multivariate Photovoltaic Power Forecasting
[ACM] 2026-5-9 | Two-Stage Cross-Lingual Supervised Transfer for Low-Resource Tibetan Rumor Detection
[ACM] 2026-5-9 | Robust Face Anti-Spoofing via Multi-Scale Feature-Guided Wavelet Transform
[ACM] 2026-5-9 | Design of Functional Community Intelligent Management System Based on Computer Vision: A Case Study of Binyang Beili Community, Miyun District, Beijing
[ACM] 2026-5-9 | Construction and Application of Intelligent Production Line System Based on Digital Twin Technology
[ACM] 2026-5-9 | Cosine Oscillation-based Quantum-behaved Particle Swarm Optimization for Path Planning
[ACM] 2026-5-9 | Research on Hierarchical Path Planning System for Unmanned Vehicles Based on Depth Vision in Complex Off-Road Scenarios
[ACM] 2026-5-9 | High-fidelity model of a permanent magnet synchronous motor via a physics-informed motor fault deep operator network
[ACM] 2026-5-9 | A Systematic Framework for Motion Planning and Energy Optimization of Humanoid Robots Based on Analytical Inverse Kinematics
[ACM] 2026-5-9 | Intrusion detection method with hybrid attention mechanisms and spatial-temporal feature extraction
[ACM] 2026-5-9 | Power Smoothing for New Energy Grids by Large-Capacity Pumped Storage under Multi-Source Input Scenarios
[ACM] 2026-5-9 | Research on the Newly Launched Product Multimodal Recommendation Method Based on Model Distillation: Efficiency Optimization and Parameter Tuning
[ACM] 2026-5-9 | ST-HPP: A Spatio-Temporal Hybrid Privacy Protection Mechanism for Federated Learning
[ACM] 2026-5-9 | The TCN-LSTM Deep Learning Model for Real-Time Prediction of Ship Motions
[ACM] 2026-5-9 | ICP Collision Avoidance Optimization Method for Manned and Unmanned Vehicle Mixed Formation for Flight Area Operation Safety
[ACM] 2026-5-9 | Hybrid-Metric Clustering for Enhanced Collaborative Filtering
[ACM] 2026-5-9 | Design and Experiment of an Intelligent Cooling Tower Based on BLDC
[ACM] 2026-5-9 | Steel Surface Defect Detection Algorithm Based on SYNERA-YOLO
[ACM] 2026-5-9 | MBFFNet: A Multi-Branch Feature Fusion–Based Method for Classroom Behavior Recognition
[ACM] 2026-5-9 | Research on Influencing Factors of Manned-Unmanned Collaborative Logistics and Equipment Support Capability Based on DEMATEL-ISM-MICMAC Method
[ACM] 2026-5-9 | MFFENet: Multi-scale Frequency Feature Enhancement Network for Clothing Semantic Segmentation
[ACM] 2026-5-9 | Research on Performance Improvement of Remote Sensing Object Detection Based on RTDETR
[ACM] 2026-5-9 | Enhanced Cross-Modal Retrieval: Multi-Label Hierarchical Semantic Alignment Using Mamba
[ACM] 2026-5-9 | A Robust Adaptive Unscented Kalman Filter Based Method for Real-Time State-of-Health Estimation of Solid Oxide Fuel Cells
[ACM] 2026-5-9 | DFAB-Net: A Dynamically Fused Attentional Biomarker Network for EEG-Based Attention Level Classification
[ACM] 2026-5-9 | Implementation of an Autonomous Control System for Unmanned Aerial Vehicles Based on Deep Reinforcement Learning
[ACM] 2026-5-9 | An Enhanced Object Detection Framework Combining Model Architecture Optimization and Dataset-Specific Augmentation Strategies for Safety-Critical Visual Applications
[ACM] 2026-5-9 | Design of Object Detection System for Composite Robots Based on YOLOv5
[ACM] 2026-5-9 | Research on Financial Early Warning of Supply Chain Finance Risks Based on Machine Learning
[ACM] 2026-5-9 | Research on Energy-saving Control Strategy Optimization of Cabinet-level Refrigeration System in Data Center
[ACM] 2026-5-9 | Identification and Information Question-Answering System for Traditional Chinese Medicine Herbs: Construction of an Intelligent Platform Based on Python
[ACM] 2026-5-9 | Building The Human Remains Digital Library (HRDL)
[ACM] 2026-5-9 | The Implementation of Railway Signal Indication System Based on FPGA
[ACM] 2026-5-9 | Federated Generative AI for Privacy-Preserving Industrial Fault Diagnosis An Adaptive Heterogeneity-Aware Framework
[ACM] 2026-5-9 | MDFENet: Multi-Decomposition Frequency-Domain Feature Enhancement Network for Skin Lesion Classification
[ACM] 2026-5-9 | Surround Vision Autonomous Driving Based on Swin-Transformer and Trajectory Prediction Network
[ACM] 2026-5-9 | Design and research of inter station communication device for 64D type semi automatic block system training equipment
[ACM] 2026-5-9 | Adaptive Fault-Tolerant Control for Multi-Agent Systems Based on Dynamic Threshold Event-Triggering
[ACM] 2026-5-9 | Design of smart farm crop monitoring system with IoT based on STM32
[ACM] 2026-5-9 | Escaping the Swamping Zone: Fully Low-Precision Training via Relative ULP Noise Injection
[ACM] 2026-5-9 | Proceedings of the 2026 International Conference on Artificial Intelligence and Control
[ACM] 2026-5-9 | Pyramid Convolution and Bidirectional Graph Attention for Cyber Threat Detection from Unstructured Text
[ACM] 2026-5-9 | Research on Depth Control of Underwater Vehicle in Inverse Velocity Zone Based on Dynamic Equilibrium and Sliding Mode-Predictive Composite Control
[ACM] 2026-5-9 | Quality-Guided Sample-Efficient Domain Adaptation for Large Language Models
[ACM] 2026-5-9 | Communication Emitter Identification Method Based on Joint Optimization of Deep Clustering and Autoencoder
[ACM] 2026-5-9 | A Hybrid Data-Driven Assessment Framework for Industrial Safety Resilience Integrating Panel Econometrics and Machine Learning
[ACM] 2026-5-9 | Fuzzy Nonlinear Active Disturbance Rejection Control for Quadrotor UAVs under Extreme Operating Conditions
[ACM] 2026-5-9 | Structural Design and Kinematic Simulation Analysis of a Dexterous Hand
[ACM] 2026-5-9 | Research on Local Path Planning Method for Unmanned Surface Vehicles Based on Hybrid Optimization Algorithm with Dynamic Time Warping
[ACM] 2026-5-9 | Federated Learning-Based Hyper-Heuristic for Distributed Permutation Flow-Shop Scheduling
[ACM] 2026-5-9 | Investigation of a Multi-Information Fusion-Based UAV Defense System
[ACM] 2026-5-9 | Identifying the Drivers of Energy Intensity for Green Growth: A Dual-Structure Analysis of Economic and Energy Systems
[ACM] 2026-5-9 | Integrating Pre-trained Model and Ensemble Learning for Biomedical Multi-label Topic Classification
[ACM] 2026-5-9 | Research on Optimized Fuzzy PID Temperature Control Strategy Based on Improved Particle Swarm Optimization
[ACM] 2026-5-9 | Research on Motion Control and Terrain Adaptability of Parallel Wheel-Leg Robots
[ACM] 2026-5-9 | FDDPNet: Frequency-domain Decoupling Perception Network for UAV Small Target Detection
[ACM] 2026-5-9 | Design and Application Research of Deep Learning-Based Visual Recognition Systems for Industrial Robots
[ACM] 2026-5-9 | Research on a Control Method for a Push-the-Bit Rotary Steerable Hydraulic System Based on Dynamic Optimization and Fault-Tolerant Regulation
[ACM] 2026-5-9 | Review on Non-cooperative Satellite Signal Analysis Methods based on Deep Learning
[ACM] 2026-5-9 | A Neural Network PID Control System Based on XGBoost Identifier
[ACM] 2026-5-9 | Investigation on Digital Modeling and Dynamic Simulation of a Dexterous Hand
[ACM] 2026-5-9 | A Robust Horizontal Federated Learning Framework Based on Trimmed K-Means and Homomorphic Encryption
[ACM] 2026-5-9 | Automated Inspection and Imaging Method for Insertion-type Nozzle-to-Shell Fillet Welds Based on Flexible Ultrasonic
[ACM] 2026-5-9 | Research on Ship Trajectory Prediction Based on Data Conversion Model and CGO-TCN-LSTM Algorithm
[ACM] 2026-5-9 | Design and Implementation of ArUco Marker Recognition Based on OpenCV
[ACM] 2026-5-9 | Multi-Objective Ecological Car-Following Strategy for Connected Autonomous Vehicles Based on Improved PPO
[ACM] 2026-5-9 | Research on a Wood Defect Detection Model Based on Improved YOLOv8s
[ACM] 2026-5-9 | Research on the Error Assessment of Electromagnetic Voltage Transformers Using Robust Principal Component Analysis Considering Harmonic Influence
[ACM] 2026-5-9 | Design of experimental system for dismantling waste printed circuit boards based on YOLOv5
[ACM] 2026-5-9 | Dual-Policy Actor–Critic for Cost-Aware Cooling Control in Data Centers with Thermal Energy Storage
[ACM] 2026-5-9 | Research on Multi-Agent Deep Determination Strategies for Task Computation Offloading in Space-Ground Integrated Networks
[ACM] 2026-5-9 | SNEAK: Synonymous Sentences-Aware Adversarial Attack on Natural Language Video Localization
[ACM] 2026-5-9 | Research on the full lifecycle management of industrial mother machines empowered by human centered intelligent manufacturing metaverse in the context of Industry 5.0
[ACM] 2026-5-9 | Glyph-Conditioned Prototyping Diffusion Model
[ACM] 2026-5-9 | AI-Assisted Date Recognition and Correction for WAFS Meteorological Charts
[ACM] 2026-5-9 | Automated Pointer Gauge Reading Using an Improved YOLOv11-Pose Model
[ACM] 2026-5-9 | A Multi-objective Multiplicity Flexible Job Shop Scheduling Method Considering Due Date Variations
[ACM] 2026-5-9 | Test Problem Design for Real-World Engineering
[ACM] 2026-5-9 | GPUArmor: A Hardware-Software Co-Design for Efficient and Scalable Memory Safety on GPUs
[ACM] 2026-5-9 | Utility-scale Experimental Quantum Computation with Hardware Efficient Ansätze and Calibrated Hamiltonian
[ACM] 2026-5-9 | Fed-SU: A Federated Learning Framework Balancing Security and Utility Against Backdoors
[ACM] 2026-5-9 | Research and Development of Virtual Reality Technology in the Field of Stroke Rehabilitation
[ACM] 2026-5-9 | CHARIOT: A Communication-Aware Exploration Framework for 2.5D/3D Silicon Interposer Design
[ACM] 2026-5-9 | A Noise Reduction Method for Partial Discharge Signals Based on CEEMDAN with Added Laplace White Noise and Improved Wavelet Thresholding
[ACM] 2026-5-9 | RL-SVP: A Reinforcement Learning Level-based Spherical Vector Particle Swarm Optimization for Safe UAV Path Planning
[ACM] 2026-5-9 | Intelligent Conformance Checking Approach for Emergency Process in Coal–Power Integrated Enterprises
[ACM] 2026-5-9 | Driver Fatigue Detection by Transformer with Neural Architecture Search via Electroencephalography Signals
[ACM] 2026-5-9 | GeminiIE: An end-to-end Multimodal Information Extraction Framework based on Prompt Engineering
[ACM] 2026-5-9 | Research on Unmanned Mining Truck Dispatching Algorithm in Open-Pit Mines Based on Divergence-Convergence Learning Particle Swarm Optimization
共写入 138 条记录，保存到 papers/paper2026-05-09.json。
论文获取成功，文件路径: papers/paper2026-05-09.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 1/138 | An NRBO-Enhanced CNN-BiLSTM Framework for Multivariate Photovoltaic Power Forecasting
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 2/138 | Enhanced cross-modal representation method for multi-modal rumor detection: A fusion framework based on DeBERTa-V3 and ViT-Large
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 3/138 | A Study on YOLOv11 Clothing Image Segmentation Method Based on Lightweight Group Attention (LWGA)
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 4/138 | Research on Tea Polyphenol Detection Model Based on Residual Attention Convolutional Neural Network
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 5/138 | Multi-Region Temporal–Spatial Attention Network for Motor Imagery EEG Decoding
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 6/138 | Innovative Structural Design and Performance Analysis of Autonomous Planet Exploration Robot
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 7/138 | AGISNet: Axis Adaptive Gated Inception Network with Cross Gated Skip Fusion
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 8/138 | Few-Shot Emergency Response Equipment Fault Diagnosis for Coal Electricity Integrated Enterprises Based on Structure-Aware Neural Processes
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 9/138 | Research on Stability Control and Optimization of Parallel Operation of Multiple Chiller Units
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 10/138 | A Multi-Agent Large Language Model Framework for Marketing Decision-Making with Auditable Attribution Analysis
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 11/138 | Safety Inspection and Assessment of Metal Structures for the Arc Gate System at Jiaomutang Hydropower Station
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 12/138 | An Improved RT-DETR Method for Surface Defect Detection of Small Targets on Steel Plates
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 13/138 | Equivariance and AttentionFlow for Pose-Adaptive Virtual Try-On in Latent Diffusion Models
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 14/138 | LLM-Guided Monocular 3D Human Pose Estimation via Structured Semantic Priors
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 15/138 | Path Planning Based on Topological Maps and Particle Swarm Optimization
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 16/138 | Fault Diagnosis of Chillers Based on CNN-Transformer Cross-Attention Fusion
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 17/138 | Fault Diagnosis of Chillers Based on CNN-WOA-SVM
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 18/138 | Simulated Annealing Driven Particle Swarm Optimization for 3D UAV Path Planning in Urban Environments from the Perspective of Industrial Design
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 19/138 | CoViMem: Co-Visibility Memory Network for Lifelong Embodied Scene Understanding
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 20/138 | Ground-based Cloud Detection with an Efficient Parallel Dilated Convolutional Network
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 21/138 | MAS-DPD: Multi-Agent System for Dark Pattern Detection Using Large Vision-Language Models
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 22/138 | Adaptive Anomaly Detection in Microservice Systems via Meta-Learning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 23/138 | CalibJudge: Calibrated LLM-as-a-Judge for Multilingual RAG with Uncertainty-Aware Scoring
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 24/138 | Benchmarking the DeepResearch Agent in the Game Domain
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 25/138 | Robust Obstacle Avoidance Control for Dynamically Adaptive Unmanned Vehicle Formations Under Cyber Attack Perturbations
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 26/138 | Generative-enhanced Proximal Policy Optimization for Intelligent Traffic Signal Control
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 27/138 | EFBA: Efficient Fine-grained Backdoor Attack Against Image Captioning
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 28/138 | Trust the Similar Ones: Belief-Based Q-Learning with Embedding Proximity
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 29/138 | Research on Posture Control of a Bionic Wheel-legged Robot
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 30/138 | An Improved Mask-only Transformer Framework for Rainfall-induced Landslide Segmentation using Deep Learning: A Case Study of Zixing Area, China
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 31/138 | Semi-Automatic Annotation Method for Targets in UAV Optical Sequence Images
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 32/138 | Multimodal Prediction of Student Bullying Risk Based on a Hierarchical Attention Heterogeneous Graph Neural Network
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 33/138 | Federated UAV Object Detection via Multi-Dimensional Distillation
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 34/138 | Emergency Resource Recommendation for Coal Electricity Integrated Enterprises based on Heterogeneous Graphs
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 35/138 | Low-Altitude Security UAV Detection: Fusing Generative Augmentation with Hypergraph Computing
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 36/138 | Development and Application of Boiler AI Genie Based on Digital Human and Large Model
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 37/138 | Research on Network Performance and EtherCAT Cycle Matching Optimization for Cloud-based PLC
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 38/138 | Lightweight Mining Truck Target Segmentation Method for Mining Environments
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 39/138 | Small Target Detection for Floating Objects on Water Surface Based on Enhanced RT-DETR
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 40/138 | An Adaptive Sparrow Search Algorithm Fused with Tent Chaotic Mapping and Cauchy Mutation
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 41/138 | Real-time Safety Assessment for Deep-sea Manned Submersibles Based on Cloud Model
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 42/138 | FSGTN: A Fused Spectral–Graph–Temporal Network for EEG-Based Attention Recognition
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 43/138 | Day-ahead optimal dispatch of a wind-PV-hydrogen-battery integrated energy system
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 44/138 | A Dual-Agent Collaboration-Based Zero-Shot Model for Rice Disease and Pest Question Intent Recognition
判定相关性时出错： Error code: 400 - {'error': {'message': 'Budget has been exceeded! Current cost: 512.4178897699998, Max budget: 500.0', 'type': 'budget_exceeded', 'param': None, 'code': '400'}}
[NO] 45/138 | An End-to-end Autonomous Driving Framework with Images and Point Clouds Fusion
