[2026-03-12 09:31:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-11
正在获取论文...
[arXiv] 2026-03-11 | Effective Dataset Distillation for Spatio-Temporal Forecasting with Bi-dimensional Compression
[arXiv] 2026-03-11 | Tuning correlated states of twisted mono-bilayer graphene with proximity-induced spin-orbit coupling
[arXiv] 2026-03-11 | Design and performance of the coded mask for the Lunar Electromagnetic Monitor in X-rays (LEM-X)
[arXiv] 2026-03-11 | End-to-End Chatbot Evaluation with Adaptive Reasoning and Uncertainty Filtering
[arXiv] 2026-03-11 | Neural Field Thermal Tomography: A Differentiable Physics Framework for Non-Destructive Evaluation
[arXiv] 2026-03-11 | V2M-Zero: Zero-Pair Time-Aligned Video-to-Music Generation
[arXiv] 2026-03-11 | On positive definite thresholding of correlation matrices
[arXiv] 2026-03-11 | Search for Z' bosons decaying into charginos in final states with two oppositely charged leptons and missing transverse momentum in pp collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-03-11 | Uncovering statistical structure in large-scale neural activity with Restricted Boltzmann Machines
[arXiv] 2026-03-11 | Exploiting Spatial Modulation for Strong PhaseNoise Mitigation in mmWave Massive MIMO
[arXiv] 2026-03-11 | Beyond the Illusion of Consensus: From Surface Heuristics to Knowledge-Grounded Evaluation in LLM-as-a-Judge
[arXiv] 2026-03-11 | Leech Lattice Vector Quantization for Efficient LLM Compression
[arXiv] 2026-03-11 | Surfing on metachronal waves: ciliary transport by inertial coasting
[arXiv] 2026-03-11 | Gravitational Anomaly Measurement in Wide Binaries is Sensitive to Orbital Modeling
[arXiv] 2026-03-11 | Reduced phase space induced decay conditions
[arXiv] 2026-03-11 | Linear-Scaling Tensor Train Sketching
[arXiv] 2026-03-11 | Layered Performance Analysis of TLS 1.3 Handshakes: Classical, Hybrid, and Pure Post-Quantum Key Exchange
[arXiv] 2026-03-11 | Global dynamics and bifurcation analysis of a chemostat model with obligate mutualism and mortality
[arXiv] 2026-03-11 | Universal behaviour of $α$-viscosity in black hole accretion discs
[arXiv] 2026-03-11 | The Discrete Charm of the MLP: Binary Routing of Continuous Signals in Transformer Feed-Forward Layers
[arXiv] 2026-03-11 | Applications of the Gelfand--Naimark duality
[arXiv] 2026-03-11 | Ab-initio superfluid weight and superconducting penetration depth
[arXiv] 2026-03-11 | A Formalization of Abstract Rewriting in Agda
[arXiv] 2026-03-11 | Historical Consensus: Preventing Posterior Collapse via Iterative Selection of Gaussian Mixture Priors
[arXiv] 2026-03-11 | An Atlas of Extreme Properties in Cubic Symmetric Metamaterials
[arXiv] 2026-03-11 | Bridging the Skill Gap in Clinical CBCT Interpretation with CBCTRepD
[arXiv] 2026-03-11 | Huffman-Bucket Sketch: A Simple $O(m)$ Algorithm for Cardinality Estimation
[arXiv] 2026-03-11 | Sharp Eigenfunction Bounds on the Torus for large $p$
[arXiv] 2026-03-11 | Electromagnetic Signatures of Supermassive Binary Black Holes. I. Thermal Synchrotron, Self-Lensing Flares, and Jet Precession
[arXiv] 2026-03-11 | Adaptive Active Learning for Regression via Reinforcement Learning
[arXiv] 2026-03-11 | Heavy-quark contributions to the polarized DIS structure functions at NLO in the ACOT scheme
[arXiv] 2026-03-11 | High-Resolution Timing for Vertex-Reconstructed Muon-Spin Spectroscopy Using Plastic Scintillators and MuTRiG
[arXiv] 2026-03-11 | Insensitivity of the Coulomb breakup of halo nuclei to spectroscopic factors
[arXiv] 2026-03-11 | Quantum Hypergraph States: A Review
[arXiv] 2026-03-11 | VCSEL-Enhanced Holographic Communication for Next-Generation LiFi: State-of-the-Art, Applications, and Future Directions
[arXiv] 2026-03-11 | Macroscopic Dominance from Microscopic Extremes: Symmetry Breaking in Spatial Competition
[arXiv] 2026-03-11 | GLM-OCR Technical Report
[arXiv] 2026-03-11 | Level Crossing Rate Analysis for Optimal Single-user RIS Systems
[arXiv] 2026-03-11 | Towards Polynomial Immersion of Port-Hamiltonian Systems
[arXiv] 2026-03-11 | Data Augmentation and Convolutional Network Architecture Influence on Distributed Learning
[arXiv] 2026-03-11 | S2D: Sparse to Dense Lifting for 3D Reconstruction with Minimal Inputs
[arXiv] 2026-03-11 | Helium-Cooled Cryogenic STEM Imaging and Ptychography for Atomic-Scale Study of Low-Temperature Phases
[arXiv] 2026-03-11 | Dynamics-Predictive Sampling for Active RL Finetuning of Large Reasoning Models
[arXiv] 2026-03-11 | Continuous Diffusion Transformers for Designing Synthetic Regulatory Elements
[arXiv] 2026-03-11 | Quantum Telepathy: A Quantum Technology with Near-Term Applications
[arXiv] 2026-03-11 | LAtte: Hyperbolic Lorentz Attention for Cross-Subject EEG Classification
[arXiv] 2026-03-11 | SNPgen: Phenotype-Supervised Genotype Representation and Synthetic Data Generation via Latent Diffusion
[arXiv] 2026-03-11 | Bilevel Layer-Positioning LoRA for Real Image Dehazing
[arXiv] 2026-03-11 | On the global well-posedness and self-similar solutions for a nonlinear elliptic problem with a dynamic boundary condition
[arXiv] 2026-03-11 | Terminal Is All You Need: Design Properties for Human-AI Agent Collaboration
[arXiv] 2026-03-11 | Splat2Real: Novel-view Scaling for Physical AI with 3D Gaussian Splatting
[arXiv] 2026-03-11 | Multi-scale weak lensing detection of galaxy clusters with source redshift tomography
[arXiv] 2026-03-11 | Double-Precision Matrix Multiplication Emulation via Ozaki-II Scheme with FP8 Quantization
[arXiv] 2026-03-11 | Solid-state laser cooling of Yb3+-doped KY3F10 to 145 K
[arXiv] 2026-03-11 | Fragmentation contributions to transverse nucleon spin observables in semi-inclusive deep-inelastic scattering at NLO
[arXiv] 2026-03-11 | Efficient Conformal Block Evaluation with GoBlocks
[arXiv] 2026-03-11 | Reinforcement Learning with Conditional Expectation Reward
[arXiv] 2026-03-11 | Geo-ATBench: A Benchmark for Geospatial Audio Tagging with Geospatial Semantic Context
[arXiv] 2026-03-11 | QuantumX: an experience for the consolidation of Quantum Computing and Quantum Software Engineering as an emerging discipline
[arXiv] 2026-03-11 | Disentangling Similarity and Relatedness in Topic Models
[arXiv] 2026-03-11 | Topological Tunneling Magnetoresistance Driven by Type-II Weyl-Like States in the Room-Temperature Half-Metal Mn2PC Monolayer
[arXiv] 2026-03-11 | Tuning of anomalous magnetotransport properties in half-Heusler topological semimetal GdPtBi
[arXiv] 2026-03-11 | TopGen: Learning Structural Layouts and Cross-Fields for Quadrilateral Mesh Generation
[arXiv] 2026-03-11 | HyPER-GAN: Hybrid Patch-Based Image-to-Image Translation for Real-Time Photorealism Enhancement
[arXiv] 2026-03-11 | Is the existence of unbounded operators a problem for quantum mechanics? In response to Carcassi, Calderon, and Aidala
[arXiv] 2026-03-11 | Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution
[arXiv] 2026-03-11 | HAPEns: Hardware-Aware Post-Hoc Ensembling for Tabular Data
[arXiv] 2026-03-11 | $p$-adic $L$-functions for elliptic curves over global function fields
[arXiv] 2026-03-11 | Crustal Structure Imaging of Ghana from Single-Station Ambient Noise Autocorrelations and Earthquake Arrival Time Inversion
[arXiv] 2026-03-11 | TacLoc: Global Tactile Localization on Objects from a Registration Perspective
[arXiv] 2026-03-11 | Quantization Robustness of Monotone Operator Equilibrium Networks
[arXiv] 2026-03-11 | Hyperbolic components of cosine family with a fixed critical point
[arXiv] 2026-03-11 | Quantum-logic spectroscopy of forbidden vibrational transitions in single nitrogen molecular ions
[arXiv] 2026-03-11 | Automatic End-to-End Data Integration using Large Language Models
[arXiv] 2026-03-11 | Bridging local and semilocal stability: A topological approach
[arXiv] 2026-03-11 | Tackling Length Inflation Without Trade-offs: Group Relative Reward Rescaling for Reinforcement Learning
[arXiv] 2026-03-11 | Flocking through a sea of rods
[arXiv] 2026-03-11 | Post-Experiment Decisions: The Dual Adjustments for Rollout and Downstream Optimizations
[arXiv] 2026-03-11 | Naïve Exposure of Generative AI Capabilities Undermines Deepfake Detection
[arXiv] 2026-03-11 | Existence domains of arbitrary amplitude nonlinear structures in two-electron temperature space plasmas. II. High-frequency electron-acoustic solitons
[arXiv] 2026-03-11 | Quantum cellular automata are a coarse homology theory
[arXiv] 2026-03-11 | Detection of periodic transit timing variations in warm sub-Saturn HD 332231 b
[arXiv] 2026-03-11 | Directional information transfer between interacting Brownian particles
[arXiv] 2026-03-11 | MoXaRt: Audio-Visual Object-Guided Sound Interaction for XR
[arXiv] 2026-03-11 | Learning to Wander: Improving the Global Image Geolocation Ability of LMMs via Actionable Reasoning
[arXiv] 2026-03-11 | SUBTA: A Framework for Supported User-Guided Bimanual Teleoperation in Structured Assembly
[arXiv] 2026-03-11 | Beam-Plasma Collective Oscillations in Intense Charged-Particle Beams: Dielectric Response Theory, Langmuir Wave Dispersion, and Unsupervised Detection via Prometheus
[arXiv] 2026-03-11 | Positivity of polynomials on the nonnegative part of certain affine hypersurfaces
[arXiv] 2026-03-11 | Spatio-Temporal Forecasting of Retaining Wall Deformation: Mitigating Error Accumulation via Multi-Resolution ConvLSTM Stacking Ensemble
[arXiv] 2026-03-11 | Do single-shot projective readouts necessarily estimate the $T_1$ lifetime ?
[arXiv] 2026-03-11 | 3D Spectrum Awareness for Radio Dynamic Zones Using Kriging and Matrix Completion
[arXiv] 2026-03-11 | COHORT: Hybrid RL for Collaborative Large DNN Inference on Multi-Robot Systems Under Real-Time Constraints
[arXiv] 2026-03-11 | Shape-Design Approximation for a Class of Degenerate Hyperbolic Equations with a Degenerate Boundary Point and Its Application to Observability
[arXiv] 2026-03-11 | Frames2Residual: Spatiotemporal Decoupling for Self-Supervised Video Denoising
[arXiv] 2026-03-11 | Quantifying uncertainty in physics-based predictions of rare-isotope production cross sections via Bayesian-inspired model averaging across nuclear mass tables
[arXiv] 2026-03-11 | Finite-Size Scaling of Net-Proton Cumulants in Heavy-Ion Collisions: Remarks on the Interpretation of a Recent Analysis
[arXiv] 2026-03-11 | Moving Phones, Active Peers: Exploring the Effect of Animated Phones as Facilitators in In-Person Group Discussion
[arXiv] 2026-03-11 | Gimbal Regression: Orientation-Adaptive Local Linear Regression under Spatial Heterogeneity
[arXiv] 2026-03-11 | Reactive Writers: How Co-Writing with AI Changes How We Engage with Ideas
[arXiv] 2026-03-11 | Curves in ${\mathbb P}^n$ of analytic spread at most $n$
[arXiv] 2026-03-11 | Mitigating Translationese Bias in Multilingual LLM-as-a-Judge via Disentangled Information Bottleneck
[arXiv] 2026-03-11 | Full Dynamical Model (SOCOL:14C-Ex) of 14C Atmospheric Production and Transport in Application to Miyake Events
[arXiv] 2026-03-11 | The uniqueness of the ground state and the dynamics of nonlinear Schrödinger equation with inverse square potential
[arXiv] 2026-03-11 | A Globally Convergent Flow for Time-Dependent Mean Field Games and a Solver-Agnostic Framework for Inverse Problems
[arXiv] 2026-03-11 | PC-Diffuser: Path-Consistent Capsule CBF Safety Filtering for Diffusion-Based Trajectory Planner
[arXiv] 2026-03-11 | Optimized combination of independent or simultaneous e-values
[arXiv] 2026-03-11 | The Orthogonal Vulnerabilities of Generative AI Watermarks: A Comparative Empirical Benchmark of Spatial and Latent Provenance
[arXiv] 2026-03-11 | On the minimum degree of minimal $k$-$\{1,2\}$-factor critical $k$-planar graphs
[arXiv] 2026-03-11 | Data-Driven Integration Kernels for Interpretable Nonlocal Operator Learning
[arXiv] 2026-03-11 | From Imitation to Intuition: Intrinsic Reasoning for Open-Instance Video Classification
[arXiv] 2026-03-11 | Quantum Dynamics of the Schwarzschild Interior in Ashtekar-Barbero Variables with Minimal Length Effects
[arXiv] 2026-03-11 | Simulation-in-the-Reasoning (SiR): A Conceptual Framework for Empirically Grounded AI in Autonomous Transportation
[arXiv] 2026-03-11 | Instant Runoff Voting on Graphs: Exclusion Zones and Distortion
[arXiv] 2026-03-11 | UltrasoundAgents: Hierarchical Multi-Agent Evidence-Chain Reasoning for Breast Ultrasound Diagnosis
[arXiv] 2026-03-11 | Spectroscopic galaxy redshifts in the Peanut cluster - a massive nearly head-on cluster merger shortly after pericenter passage
[arXiv] 2026-03-11 | $V_{0.5}$: Generalist Value Model as a Prior for Sparse RL Rollouts
[arXiv] 2026-03-11 | Long-lived quasinormal modes, shadows and particle motion in four-dimensional quasi-topological gravity
[arXiv] 2026-03-11 | Why (and How) LGADs Work: Ionization, Space Charge, and Gain Saturation
[arXiv] 2026-03-11 | MAD: Memory Allocation meets Software Diversity
[arXiv] 2026-03-11 | Adjoints of Morphisms of Neural Codes
[arXiv] 2026-03-11 | BALD-SAM: Disagreement-based Active Prompting in Interactive Segmentation
[arXiv] 2026-03-11 | Speaker Verification with Speech-Aware LLMs: Evaluation and Augmentation
[arXiv] 2026-03-11 | Partial ionisation cross sections for the binary-encounter Bethe model
[arXiv] 2026-03-11 | Liouville theorem for fully nonlinear elliptic equations with the small oscillation and the periodicity in $x$ and the periodic right hand term
[arXiv] 2026-03-11 | Re-Evaluating EVMBench: Are AI Agents Ready for Smart Contract Security?
[arXiv] 2026-03-11 | LuxBorrow: From Pompier to Pompjee, Tracing Borrowing in Luxembourgish
[arXiv] 2026-03-11 | The Desert Fireball Network Clear-Sky Survey
[arXiv] 2026-03-11 | mAceReason-Math: A Dataset of High-Quality Multilingual Math Problems Ready For RLVR
[arXiv] 2026-03-11 | Extremal problems in uniformly dense hypergraphs and digraphs
[arXiv] 2026-03-11 | A brief history of Timing
[arXiv] 2026-03-11 | From path integral quantization to stochastic quantization: a pedestrian's journey
[arXiv] 2026-03-11 | CodePercept: Code-Grounded Visual STEM Perception for MLLMs
[arXiv] 2026-03-11 | Pairing and charge distribution in Emery ladders preserving the ratio of Cu to O atoms
[arXiv] 2026-03-11 | A PUF-Based Approach for Copy Protection of Intellectual Property in Neural Network Models
[arXiv] 2026-03-11 | Event-based Photometric Stereo via Rotating Illumination and Per-Pixel Learning
[arXiv] 2026-03-11 | Just-in-Time: Training-Free Spatial Acceleration for Diffusion Transformers
[arXiv] 2026-03-11 | Vertex Dismissibility and Scalability of Simplicial Complexes
[arXiv] 2026-03-11 | Energy extraction-driven instability and horizon formation in Kerr-Newman naked singularities and their limiting cases
[arXiv] 2026-03-11 | Towards Robust Speech Deepfake Detection via Human-Inspired Reasoning
[arXiv] 2026-03-11 | Sample-and-Search: An Effective Algorithm for Learning-Augmented k-Median Clustering in High dimensions
[arXiv] 2026-03-11 | Probabilistic Verification of Voice Anti-Spoofing Models
[arXiv] 2026-03-11 | Polynomial-size encoding of all cuts of small value in integer-valued symmetric submodular functions
[arXiv] 2026-03-11 | Hybrid Photonic Quantum Reservoir Computing for High-Dimensional Financial Surface Prediction
[arXiv] 2026-03-11 | WalkGPT: Grounded Vision-Language Conversation with Depth-Aware Segmentation for Pedestrian Navigation
[arXiv] 2026-03-11 | Admissibility approach to nonuniform exponential dichotomies roughness with nonlocal perturbations
[arXiv] 2026-03-11 | Proceedings of CHIdeology 2026: CHI Workshop on Disentangling the fragmented politics, values and imaginaries of Human-Computer Interaction through ideologies
[arXiv] 2026-03-11 | Emulating Clinician Cognition via Self-Evolving Deep Clinical Research
[arXiv] 2026-03-11 | DynVLA: Learning World Dynamics for Action Reasoning in Autonomous Driving
[arXiv] 2026-03-11 | Don't Disregard the Data for Lack of a Likelihood: Bayesian Synthetic Likelihood for Enhanced Multilevel Network Meta-Regression
[arXiv] 2026-03-11 | Oxygenated False Positive Biosignatures in Mars-like Exoplanet Atmospheres
[arXiv] 2026-03-11 | Cross-Species Transfer Learning for Electrophysiology-to-Transcriptomics Mapping in Cortical GABAergic Interneurons
[arXiv] 2026-03-11 | Double Machine Learning for Time Series
[arXiv] 2026-03-11 | Arnold stability and rigidity in Zeitlin's model of hydrodynamics
[arXiv] 2026-03-11 | Bayesian Optimization with Gaussian Processes to Accelerate Stationary Point Searches
[arXiv] 2026-03-11 | ForwardFlow: Simulation only statistical inference using deep learning
[arXiv] 2026-03-11 | Causal Survival Analysis in Platform Trials with Non-Concurrent Controls
[arXiv] 2026-03-11 | World Mouse: Exploring Interactions with a Cross-Reality Cursor
[arXiv] 2026-03-11 | Learning Adaptive Force Control for Contact-Rich Sample Scraping with Heterogeneous Materials
[arXiv] 2026-03-11 | Report for NSF Workshop on Algorithm-Hardware Co-design for Medical Applications
[arXiv] 2026-03-11 | TOSSS: a CVE-based Software Security Benchmark for Large Language Models
[arXiv] 2026-03-11 | Island Sliding Barriers: A first-principles metric for determining remote epitaxy viability
[arXiv] 2026-03-11 | Pointy - A Lightweight Transformer for Point Cloud Foundation Models
[arXiv] 2026-03-11 | Using tablets and smartphones as experimental tools in the physics classroom: effects on learning and motivation
[arXiv] 2026-03-11 | Generalized Reduced-Density-Matrix Quantum Monte Carlo Gives Access to More
