[2026-03-24 09:42:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[arXiv] 2026-03-23 | End-to-End Training for Unified Tokenization and Latent Denoising
[arXiv] 2026-03-23 | UniMotion: A Unified Framework for Motion-Text-Vision Understanding and Generation
[arXiv] 2026-03-23 | 3D-Layout-R1: Structured Reasoning for Language-Instructed Spatial Editing
[arXiv] 2026-03-23 | Computational modeling of RNA-protein binding interactions under an external force
[arXiv] 2026-03-23 | TiCo: Time-Controllable Training for Spoken Dialogue Models
[arXiv] 2026-03-23 | Microscopic view of materials properties of liquids: An atomic scale perspective
[arXiv] 2026-03-23 | SelfTTS: cross-speaker style transfer through explicit embedding disentanglement and self-refinement using self-augmentation
[arXiv] 2026-03-23 | Landau Damping of Collective Neutrino Oscillation Waves
[arXiv] 2026-03-23 | A Dividing Line for Structural Kernelization of Component Order Connectivity via Distance to Bounded Pathwidth
[arXiv] 2026-03-23 | A bending in the size-mass relation of star-forming galaxies across $0.5 < z < 6.0$ at a critical stellar mass of $10^{10}M_\odot$ revealed by JWST
[arXiv] 2026-03-23 | ShapDBM: Exploring Decision Boundary Maps in Shapley Space
[arXiv] 2026-03-23 | Axionlike dark-matter winds driven by galactic baryon redistribution
[arXiv] 2026-03-23 | Search for Higgs boson production at high transverse momentum in the WW decay channel in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-03-23 | Broadband Asymmetric Transmission with Wide Spectral Tunability based on Substrate-Embedded Silicon Nanoring Arrays
[arXiv] 2026-03-23 | SpatialReward: Verifiable Spatial Reward Modeling for Fine-Grained Spatial Consistency in Text-to-Image Generation
[arXiv] 2026-03-23 | The energy-momentum tensor in a classical model of the electron
[arXiv] 2026-03-23 | Accelerating Fresh Data Exploration with Fluid ETL Pipelines
[arXiv] 2026-03-23 | Affine Angles via Area Cross Ratio and Isoptic Hyperbolas
[arXiv] 2026-03-23 | Optical smoothing broadens cross beam energy transfer resonance
[arXiv] 2026-03-23 | Mixture of Mini Experts: Overcoming the Linear Layer Bottleneck in Multiple Instance Learning
[arXiv] 2026-03-23 | Cross-Modal Reinforcement Learning for Navigation with Degraded Depth Measurements
[arXiv] 2026-03-23 | Short-range electrostatic screening in ionic liquids as inferred by direct force measurements
[arXiv] 2026-03-23 | Gender shapes the relationship between productivity and journal prestige in science
[arXiv] 2026-03-23 | Stable, Fast, and Accurate Kohn-Sham Inversion in Gaussian Basis for Open Shell Molecular and Condensed Phase Systems via Density Matrix Penalization
[arXiv] 2026-03-23 | Adsorption energies and decomposition barrier heights for ethylene carbonate on the surface of lithium from cluster-based quantum chemistry
[arXiv] 2026-03-23 | Navigational Thinking as an Emerging Paradigm of Computer Science in the Age of Generative AI
[arXiv] 2026-03-23 | StreamingClaw Technical Report
[arXiv] 2026-03-23 | TALUS: Threshold ML-DSA with One-Round Online Signing via Boundary Clearance and Carry Elimination
[arXiv] 2026-03-23 | T$_2$* and Susceptibility Mapping as Indicators of Placental Health
[arXiv] 2026-03-23 | Distributionally robust optimization for recommendation selection
[arXiv] 2026-03-23 | PIC1 pinched manifolds are flat or compact
[arXiv] 2026-03-23 | Mini-review of charmonium weak decays at BESIII
[arXiv] 2026-03-23 | Standalone optical frequency-offset locking electronics for atomic physics
[arXiv] 2026-03-23 | Nonlocal Fisher information: lifting, local limit, and the Blachman-Stam inequality
[arXiv] 2026-03-23 | Autoregressive vs. Masked Diffusion Language Models: A Controlled Comparison
[arXiv] 2026-03-23 | MIHT: A Hoeffding Tree for Time Series Classification using Multiple Instance Learning
[arXiv] 2026-03-23 | PreferRec: Learning and Transferring Pareto Preferences for Multi-objective Re-ranking
[arXiv] 2026-03-23 | A perturbative framework to probe infrared sensitivity in non-Abelian gauge theories
[arXiv] 2026-03-23 | Adapting Point Cloud Analysis via Multimodal Bayesian Distribution Learning
[arXiv] 2026-03-23 | Deterministic feedforward-based generation of large optical coherent-state superposition
[arXiv] 2026-03-23 | The Poisson problem in domains with Ahlfors regular boundary
[arXiv] 2026-03-23 | Mean Field Equilibrium Asset Pricing Models With Exponential Utility
[arXiv] 2026-03-23 | MineRobot: A Unified Framework for Kinematics Modeling and Solving of Underground Mining Robots in Virtual Environments
[arXiv] 2026-03-23 | FontCrafter: High-Fidelity Element-Driven Artistic Font Creation with Visual In-Context Generation
[arXiv] 2026-03-23 | Sublinear growth of 1-cocycles and uniform convexity
[arXiv] 2026-03-23 | Dynamic analysis enhances issue resolution
[arXiv] 2026-03-23 | RAFL: Generalizable Sim-to-Real of Soft Robots with Residual Acceleration Field Learning
[arXiv] 2026-03-23 | Dissipative free fermions in disguise
[arXiv] 2026-03-23 | Deterministic Hallucination Detection in Medical VQA via Confidence-Evidence Bayesian Gain
[arXiv] 2026-03-23 | Mie-lithography: self-guiding nonlinear laser printing for deep ultraviolet to near-infrared nano dispersion devices
[arXiv] 2026-03-23 | Formation of black holes from He stars
[arXiv] 2026-03-23 | AdditiveLLM2: A Multi-modal Large Language Model for Additive Manufacturing
[arXiv] 2026-03-23 | Sinkhorn algorithms for entropic vector quantile regression
[arXiv] 2026-03-23 | A Framework for Closed-Loop Robotic Assembly, Alignment and Self-Recovery of Precision Optical Systems
[arXiv] 2026-03-23 | Cohesive Membranes under determinant constraints
[arXiv] 2026-03-23 | Emergent relativistic symmetry from interacting fermions on the honeycomb bilayer
[arXiv] 2026-03-23 | Towards sparse optimization over convex loops: Equivalence of Square Root Velocity distance and Wasserstein-Fisher-Rao
[arXiv] 2026-03-23 | On the Interplay of Priors and Overparametrization in Bayesian Neural Network Posteriors
[arXiv] 2026-03-23 | Neural Belief-Matching Decoding for Topological Quantum Error Correction Codes
[arXiv] 2026-03-23 | Cybersecurity Guidance for Smart Homes: A Cross-National Review of Government Sources
[arXiv] 2026-03-23 | Little Red and Blue Dots: simply stratified Broad Line Regions
[arXiv] 2026-03-23 | Scaling DoRA: High-Rank Adaptation via Factored Norms and Fused Kernels
[arXiv] 2026-03-23 | UniDex: A Robot Foundation Suite for Universal Dexterous Hand Control from Egocentric Human Videos
[arXiv] 2026-03-23 | Flip Distance of Non-Crossing Spanning Trees: NP-Hardness and Improved Bounds
[arXiv] 2026-03-23 | Greater accessibility can amplify discrimination in generative AI
[arXiv] 2026-03-23 | Polymer identification via undetected photons using a low footprint nonlinear interferometer
[arXiv] 2026-03-23 | RotorMap and Quantum Fingerprints of DNA Sequences via Rotary Position Embeddings
[arXiv] 2026-03-23 | Supercurrent-Driven Néel Torque in Superconductor/Altermagnet Hybrids
[arXiv] 2026-03-23 | MemDLM: Memory-Enhanced DLM Training
[arXiv] 2026-03-23 | Multiview Graph Fusion with Covariates
[arXiv] 2026-03-23 | Evaluating the Reliability and Fidelity of Automated Judgment Systems of Large Language Models
[arXiv] 2026-03-23 | SPA: A Simple but Tough-to-Beat Baseline for Knowledge Injection
[arXiv] 2026-03-23 | Route-Phasing-Split-Encoded Genetic Algorithm for Multi-Satellite On-Orbit Servicing Mission Planning
[arXiv] 2026-03-23 | Chimera: Latency- and Performance-Aware Multi-agent Serving for Heterogeneous LLMs
[arXiv] 2026-03-23 | Weil restriction, normal bundles and motivic Thom spaces
[arXiv] 2026-03-23 | Characterizing Short-Timescale Optical Variability in Non-blazar Active Galactic Nucleus PKS~0521$-$36 Using TESS
[arXiv] 2026-03-23 | A Backbone Benchmarking Study on Self-supervised Learning as a Auxiliary Task with Texture-based Local Descriptors for Face Analysis
[arXiv] 2026-03-23 | Generalized Sequential Monte Carlo Sampling for Redistricting Simulation
[arXiv] 2026-03-23 | Seeing is Improving: Visual Feedback for Iterative Text Layout Refinement
[arXiv] 2026-03-23 | The benefits and biases of seeing the word's cities through marathons
[arXiv] 2026-03-23 | Cross-diffusion and fast-reaction in pattern formation: a structural analysis
[arXiv] 2026-03-23 | Feasibility of Augmented Reality-Guided Robotic Ultrasound with Cone-Beam CT Integration for Spine Procedures
[arXiv] 2026-03-23 | Simulations of massive star atmospheres and winds during giant eruptive and quiescent luminous blue variable phases
[arXiv] 2026-03-23 | ACPO: Counteracting Likelihood Displacement in Vision-Language Alignment with Asymmetric Constraints
[arXiv] 2026-03-23 | RAMPAGE: RAndomized Mid-Point for debiAsed Gradient Extrapolation
[arXiv] 2026-03-23 | dynActivation: A Trainable Activation Family for Adaptive Nonlinearity
[arXiv] 2026-03-23 | Decoupling Precipitation and Surface Complexation during Mn(II) Removal by Biochar via Experiments and Atomistic Simulations
[arXiv] 2026-03-23 | A note on polynomial equidistribution and recurrence in finite characteristic
[arXiv] 2026-03-23 | On the stability to noise of fermion-to-qubit mappings
[arXiv] 2026-03-23 | The SPHEREx Ices Investigation: An Overview
[arXiv] 2026-03-23 | WiRD-Gest: Gesture Recognition In The Real World Using Range-Doppler Wi-Fi Sensing on COTS Hardware
[arXiv] 2026-03-23 | DQN Based Joint UAV Trajectory and Association Planning in NTN Assisted Networks
[arXiv] 2026-03-23 | Optimization-based strategic planning for geographical healthcare accessibility in developing countries: a literature review
[arXiv] 2026-03-23 | Linear combination of bilateral gamma random variables: distributional theory and approximations
[arXiv] 2026-03-23 | On gauging Abelian extensions of finite and U(1) groups
[arXiv] 2026-03-23 | Sample-based detectability and moving horizon state estimation of continuous-time systems
[arXiv] 2026-03-23 | Investigation of the Microquasar SS 433 with VERITAS
[arXiv] 2026-03-23 | Multiperspectivity as a Resource for Narrative Similarity Prediction
[arXiv] 2026-03-23 | FreeArtGS: Articulated Gaussian Splatting Under Free-moving Scenario
[arXiv] 2026-03-23 | GSEM: Graph-based Self-Evolving Memory for Experience Augmented Clinical Reasoning
[arXiv] 2026-03-23 | P-Flow: Prompting Visual Effects Generation
[arXiv] 2026-03-23 | Intermittent Sub-grid Wave Correction from Differentiated Riemann Variables
[arXiv] 2026-03-23 | Detecting change regions on spheres
[arXiv] 2026-03-23 | The color code, the surface code, and the transversal CNOT: NP-hardness of minimum-weight decoding
[arXiv] 2026-03-23 | On the Complexity of Fundamental Problems for DAG-Compressed Graphs
[arXiv] 2026-03-23 | On the Failure of Topic-Matched Contrast Baselines in Multi-Directional Refusal Abliteration
[arXiv] 2026-03-23 | Nonlinear suppression of dispersion broadening of ultrashort spin-wave pulses in thin YIG films
[arXiv] 2026-03-23 | From the First to Subsequent Pulses: Evolution of Discharge inside a Preformed Bubble in Water
[arXiv] 2026-03-23 | Detection Time Distribution Predicted Using Absorbing Boundary Conditions and Imaginary Potentials
[arXiv] 2026-03-23 | Kinky vortons in the 2HDM
[arXiv] 2026-03-23 | Learning Data-driven Surrogate and Correction Models for Satellite Observations in Numerical Weather Prediction
[arXiv] 2026-03-23 | Dynamical spin correlations in kagome antiferromagnets: comparison of Abrikosov fermion and Schwinger boson approaches beyond mean field
[arXiv] 2026-03-23 | Back to Point: Exploring Point-Language Models for Zero-Shot 3D Anomaly Detection
[arXiv] 2026-03-23 | Unregistered Spectral Image Fusion: Unmixing, Adversarial Learning, and Recoverability
[arXiv] 2026-03-23 | Tracing Star Formation in Quasar Hosts via [O II] $λ$3727: A Kinematically Consistent Approach
[arXiv] 2026-03-23 | Optimizing Feature Extraction for On-device Model Inference with User Behavior Sequences
[arXiv] 2026-03-23 | Delineating hierarchical activity space from high-resolution urban mobility flows
[arXiv] 2026-03-23 | Parameter-efficient Prompt Tuning and Hierarchical Textual Guidance for Few-shot Whole Slide Image Classification
[arXiv] 2026-03-23 | Agentic Automation of BT-RADS Scoring: End-to-End Multi-Agent System for Standardized Brain Tumor Follow-up Assessment
[arXiv] 2026-03-23 | Effective Strategies for Asynchronous Software Engineering Agents
[arXiv] 2026-03-23 | Off-Policy Evaluation for Ranking Policies under Deterministic Logging Policies
[arXiv] 2026-03-23 | CP-violation and its implications in a complex singlet extension of 2HDM
[arXiv] 2026-03-23 | ALADIN:Attribute-Language Distillation Network for Person Re-Identification
[arXiv] 2026-03-23 | On Sampling Methods for Inverse Biharmonic Scattering Problems in Supported Plates
[arXiv] 2026-03-23 | Empirical Evaluation of Link Deletion Methods for Limiting Information Diffusion on Social Media
[arXiv] 2026-03-23 | Hardening Confidential Federated Compute against Side-channel Attacks
[arXiv] 2026-03-23 | GateANN: I/O-Efficient Filtered Vector Search on SSDs
[arXiv] 2026-03-23 | DRTriton: Large-Scale Synthetic Data Reinforcement Learning for Triton Kernel Generation
[arXiv] 2026-03-23 | Local linear stability of dual-pairing summation-by-parts methods for nonlinear conservation laws
[arXiv] 2026-03-23 | JOYS: Linking the molecular ice and gas-phase composition towards the high-mass hot core IRAS 18089-1732
[arXiv] 2026-03-23 | Lepton Double Charge Exchange Reactions as Probes for Lepton Number Violation
[arXiv] 2026-03-23 | In-plane and out-of-plane electric dipoles and phase transitions in 2D-layered TlGaS2
[arXiv] 2026-03-23 | Nonlocal energy transfer mechanism in three-dimensional quantum turbulence
[arXiv] 2026-03-23 | Turán-type and tiling problems in oriented graphs
[arXiv] 2026-03-23 | Parameter-Efficient Fine-Tuning for Medical Text Summarization: A Comparative Study of Lora, Prompt Tuning, and Full Fine-Tuning
[arXiv] 2026-03-23 | Visualizing spin-polarization of an altermagnet KV$_2$Se$_2$O via spin-selective tunneling
[arXiv] 2026-03-23 | Unified implementation and comparison of Bayesian shrinkage methods for treatment effect estimation in subgroups
[arXiv] 2026-03-23 | Search for low-mass vector and scalar resonances decaying into a quark-antiquark pair in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-03-23 | Structured-light propagation in a medium with uniform torsion: polarization textures, geometric birefringence, and beam-resolved optical activity
[arXiv] 2026-03-23 | On the Well-posedness of Magnetic Schrödinger Equations with Unbounded Potentials
[arXiv] 2026-03-23 | Lipschitz regularity for parabolic fractional $p$-Laplace equations
[arXiv] 2026-03-23 | You See It, They Don't: An Exploratory Study of User-to-User Variation in Instagram Comments
[arXiv] 2026-03-23 | GeoFlow: Real-Time Fine-Grained Cross-View Geolocalization via Iterative Flow Prediction
[arXiv] 2026-03-23 | Suiren-1.0 Technical Report: A Family of Molecular Foundation Models
[arXiv] 2026-03-23 | MultiBind: A Benchmark for Attribute Misbinding in Multi-Subject Generation
[arXiv] 2026-03-23 | Covariant Symplectic Geometry of Classical Particles
[arXiv] 2026-03-23 | Guideline-grounded retrieval-augmented generation for ophthalmic clinical decision support
[arXiv] 2026-03-23 | APEG: Adaptive Physical Layer Authentication with Channel Extrapolation and Generative AI
[arXiv] 2026-03-23 | Deep Reinforcement Learning and The Tale of Two Temporal Difference Errors
[arXiv] 2026-03-23 | Structural Concentration in Weighted Networks: A Class of Topology-Aware Indices
[arXiv] 2026-03-23 | H.E.S.S. observations of composite Seyfert-starburst galaxies
[arXiv] 2026-03-23 | A Latent Representation Learning Framework for Hyperspectral Image Emulation in Remote Sensing
[arXiv] 2026-03-23 | SparseDVFS: Sparse-Aware DVFS for Energy-Efficient Edge Inference
[arXiv] 2026-03-23 | Large-scale harmonic measures and nontangential maximal functions in periodic homogenization
[arXiv] 2026-03-23 | Planetary Architectures of Kepler Compact Multis with Binary Star Companions
[arXiv] 2026-03-23 | Industry Aware Firm Level Network Reconstruction
[arXiv] 2026-03-23 | ADaFuSE: Adaptive Diffusion-generated Image and Text Fusion for Interactive Text-to-Image Retrieval
[arXiv] 2026-03-23 | Optimal Solutions for the Moving Target Vehicle Routing Problem with Obstacles via Lazy Branch and Price
[arXiv] 2026-03-23 | Thermal Topology Collapse: Universal Physical Patch Attacks on Infrared Vision Systems
[arXiv] 2026-03-23 | Adaptive Video Distillation: Mitigating Oversaturation and Temporal Collapse in Few-Step Generation
[arXiv] 2026-03-23 | Riding Brainwaves in LLM Space: Understanding Activation Patterns Using Individual Neural Signatures
[arXiv] 2026-03-23 | Agentic Personas for Adaptive Scientific Explanations with Knowledge Graphs
[arXiv] 2026-03-23 | Flexible Information Acquisition in the Kyle Model
[arXiv] 2026-03-23 | APOSTLE vs. AURIGA Simulations: How Subgrid Models Shape Milky Way Analogs
[arXiv] 2026-03-23 | A Unified Heterogeneous Implementation of Numerical Atomic Orbitals-Based Real-Time TDDFT within the ABACUS Package
[arXiv] 2026-03-23 | Embodying Facts, Figures, and Faiths in Narrative Artistic Performances in Rural Bangladesh
[arXiv] 2026-03-23 | Multi-View Deformable Convolution Meets Visual Mamba for Coronary Artery Segmentation
[arXiv] 2026-03-23 | Individual Rationality in Constrained Hedonic Games: Additively Separable and Fractional Preferences
[arXiv] 2026-03-23 | Isogeometric analysis with $C^1$ cubic Powell-Sabin splines
[arXiv] 2026-03-23 | Constructions for rational multiple planes
