[2026-04-17 22:39:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-16
正在获取论文...
[arXiv] 2026-04-16 | Singly periodic maximal graphs with isolated singularities in Lorentz-Minkowski 3-space
[arXiv] 2026-04-16 | GenRec: A Preference-Oriented Generative Framework for Large-Scale Recommendation
[arXiv] 2026-04-16 | 4D Radar Gaussian Modeling and Scan Matching with RCS
[arXiv] 2026-04-16 | Deformation and instability of sessile soap bubbles in an electric field
[arXiv] 2026-04-16 | Quantum Thermometry of External Phonon Reservoirs in Driven Open Quantum Systems
[arXiv] 2026-04-16 | Pool model: a mass preserving multi particle aggregation process
[arXiv] 2026-04-16 | Zero-Shot Retail Theft Detection via Orchestrated Vision Models: A Model-Agnostic, Cost-Effective Alternative to Trained Single-Model Systems
[arXiv] 2026-04-16 | Propagation of laser-generated GHz surface acoustic wavepackets in FeRh/MgO(001) below and above the antiferromagnetic-ferromagnetic phase transition
[arXiv] 2026-04-16 | Matched and Euclidean-Mismatched Decoding on Fourier-Curve Constellations with Tangent Noise
[arXiv] 2026-04-16 | Conformally critical metrics and optimal bounds for Dirac eigenvalues on spin surfaces
[arXiv] 2026-04-16 | Well Begun is Half Done: Training-Free and Model-Agnostic Semantically Guaranteed User Representation Initialization for Multimodal Recommendation
[arXiv] 2026-04-16 | Hamiltonian Monodromy in a Tavis-Cummings System with an $A_2$ Singularity
[arXiv] 2026-04-16 | Beyond Literal Summarization: Redefining Hallucination for Medical SOAP Note Evaluation
[arXiv] 2026-04-16 | Pangu-ACE: Adaptive Cascaded Experts for Educational Response Generation on EduBench
[arXiv] 2026-04-16 | Jacobi stability of circular orbits around conformally invariant Weyl gravity black holes
[arXiv] 2026-04-16 | Pattern formation during melting of lamellar eutectics
[arXiv] 2026-04-16 | SWE-TRACE: Optimizing Long-Horizon SWE Agents Through Rubric Process Reward Models and Heuristic Test-Time Scaling
[arXiv] 2026-04-16 | CBF-based Probabilistic Safe Navigation under Unknown Nonlinear Obstacle Dynamics
[arXiv] 2026-04-16 | Domain Fine-Tuning FinBERT on Finnish Histopathological Reports: Train-Time Signals and Downstream Correlations
[arXiv] 2026-04-16 | Modeling LLM Unlearning as an Asymmetric Two-Task Learning Problem
[arXiv] 2026-04-16 | The LLM Fallacy: Misattribution in AI-Assisted Cognitive Workflows
[arXiv] 2026-04-16 | Knowing When Not to Answer: Evaluating Abstention in Multimodal Reasoning Systems
[arXiv] 2026-04-16 | High-order kernel regularization of singular and hypersingular Helmholtz boundary integral operators
[arXiv] 2026-04-16 | Sequence Search: Automated Sequence Design using Neural Architecture Search
[arXiv] 2026-04-16 | Towards Trustworthy 6G Network Digital Twins: A Framework for Validating Counterfactual What-If Analysis in Edge Computing Resources
[arXiv] 2026-04-16 | Weak Magnetic Sensing via Floquet Driving in an Active Cavity Magnon Coupled System
[arXiv] 2026-04-16 | A convex-geometric framework for fully phase-locked states in the finite Kuramoto model
[arXiv] 2026-04-16 | Mean-field phase diagrams of spinor bosons in an optical cavity
[arXiv] 2026-04-16 | CoTEvol: Self-Evolving Chain-of-Thoughts for Data Synthesis in Mathematical Reasoning
[arXiv] 2026-04-16 | Nonmagnetic-magnetic Transitions in Rutile RuO2
[arXiv] 2026-04-16 | Morphological Transition: From Meanders to Mound Structures
[arXiv] 2026-04-16 | Efficient closed-form approaches for pose estimation using Sylvester forms
[arXiv] 2026-04-16 | The mixed Hodge structure on the fundamental groups of the Collino surfaces
[arXiv] 2026-04-16 | Optimization for Pinching Antennas System With Multiple Carriers and Rate Splitting Multiple Access
[arXiv] 2026-04-16 | World-Value-Action Model: Implicit Planning for Vision-Language-Action Systems
[arXiv] 2026-04-16 | A Mechanistic Account of Attention Sinks in GPT-2: One Circuit, Broader Implications for Mitigation
[arXiv] 2026-04-16 | Influence of winds on shocked magnetized viscous accretion flows around rotating black holes
[arXiv] 2026-04-16 | Robust Evaluation of Neural Encoding Models via ground-truth approximation
[arXiv] 2026-04-16 | Chain-of-Glimpse: Search-Guided Progressive Object-Grounded Reasoning for Video Understanding
[arXiv] 2026-04-16 | Switching Efficiency: A Novel Framework for Dissecting AI Data Center Network Efficiency
[arXiv] 2026-04-16 | DR$^{3}$-Eval: Towards Realistic and Reproducible Deep Research Evaluation
[arXiv] 2026-04-16 | Acceptance Dynamics Across Cognitive Domains in Speculative Decoding
[arXiv] 2026-04-16 | MambaSL: Exploring Single-Layer Mamba for Time Series Classification
[arXiv] 2026-04-16 | Boundary-Centric Active Learning for Temporal Action Segmentation
[arXiv] 2026-04-16 | Coherent control of optomechanical entanglement and steering via dual parametric amplification
[arXiv] 2026-04-16 | The quantitative coarse Baum-Connes conjecture for free products
[arXiv] 2026-04-16 | QuantCode-Bench: A Benchmark for Evaluating the Ability of Large Language Models to Generate Executable Algorithmic Trading Strategies
[arXiv] 2026-04-16 | A Semantic Geometry for Uncovering Paradigm Dynamics via Scientific Publications
[arXiv] 2026-04-16 | An Axiomatic Benchmark for Evaluation of Scientific Novelty Metrics
[arXiv] 2026-04-16 | On measuring the Quantum Universe
[arXiv] 2026-04-16 | MCSC-Bench: Multimodal Context-to-Script Creation for Realistic Video Production
[arXiv] 2026-04-16 | NFTDELTA: Detecting Permission Control Vulnerabilities in NFT Contracts through Multi-View Learning
[arXiv] 2026-04-16 | Monodromy Defects for Electric-Magnetic Duality, Hyperbolic Space, and Lines
[arXiv] 2026-04-16 | General Static Solutions of the SU(2) Yang-Mills Equations from a Spin Vector Potential
[arXiv] 2026-04-16 | MinShap: A Modified Shapley Value Approach for Feature Selection
[arXiv] 2026-04-16 | Cellwise Robust Twoblock Dimension Reduction
[arXiv] 2026-04-16 | Building Extraction from Remote Sensing Imagery under Hazy and Low-light Conditions: Benchmark and Baseline
[arXiv] 2026-04-16 | Roadmap on Attosecond Science
[arXiv] 2026-04-16 | NEAT-NC: NEAT guided Navigation Cells for Robot Path Planning
[arXiv] 2026-04-16 | Learning Where to Embed: Noise-Aware Positional Embedding for Query Retrieval in Small-Object Detection
[arXiv] 2026-04-16 | Structure and Large-Scale Kinematics of Young Stellar Populations in the NGC 6357 and NGC 6334 Giant Molecular Cloud Complex
[arXiv] 2026-04-16 | Searches for New Physics at High Object Masses with CMS
[arXiv] 2026-04-16 | On Caratheodory prime ends extension for unclosed Orlicz-Sobolev classes
[arXiv] 2026-04-16 | DockAnywhere: Data-Efficient Visuomotor Policy Learning for Mobile Manipulation via Novel Demonstration Generation
[arXiv] 2026-04-16 | Multispecific DNA-Coatings for Self-Assembly
[arXiv] 2026-04-16 | Controllable highly oriented skyrmion track array in Fe3GaTe2
[arXiv] 2026-04-16 | A counter-example to persistence in generalised preferential attachment trees
[arXiv] 2026-04-16 | Investigating Spectral Dynamics and Spin Signatures of a Mechanically Isolated Quantum Emitter in hBN
[arXiv] 2026-04-16 | Predicting Power-System Dynamic Trajectories with Foundation Models
[arXiv] 2026-04-16 | Momentum-constrained Hybrid Heuristic Trajectory Optimization Framework with Residual-enhanced DRL for Visually Impaired Scenarios
[arXiv] 2026-04-16 | Agentic Explainability at Scale: Between Corporate Fears and XAI Needs
[arXiv] 2026-04-16 | Phenomenology of Vanishing Effective Majorana Mass with a Sterile Neutrino under Cosmological and JUNO Constraints
[arXiv] 2026-04-16 | Sublinear Spectral Clustering Oracle with Little Memory
[arXiv] 2026-04-16 | Hybrid Decision Making via Conformal VLM-generated Guidance
[arXiv] 2026-04-16 | Towards Non-van der Waals 2D Topological Insulators
[arXiv] 2026-04-16 | Robustness of Vision Foundation Models to Common Perturbations
[arXiv] 2026-04-16 | Measuring the Computational Power of Finite Patches of Cellular Automata
[arXiv] 2026-04-16 | Induced and nonlinear topological pressure for random dynamical systems
[arXiv] 2026-04-16 | Unsupervised feature selection using Bayesian Tucker decomposition
[arXiv] 2026-04-16 | Effect of sub-critical fluid shear flow on granular bed strength
[arXiv] 2026-04-16 | XQ-MEval: A Dataset with Cross-lingual Parallel Quality for Benchmarking Translation Metrics
[arXiv] 2026-04-16 | Generative Data Augmentation for Skeleton Action Recognition
[arXiv] 2026-04-16 | Transfinitely iterated wild sets
[arXiv] 2026-04-16 | The Yang-Mills equation near instanton-anti-instanton configurations
[arXiv] 2026-04-16 | Beyond the Laplacian: Doubly Stochastic Matrices for Graph Neural Networks
[arXiv] 2026-04-16 | SCENIC: Stream Computation-Enhanced SmartNIC
[arXiv] 2026-04-16 | Counting tight Hamilton cycles in Dirac hypergraphs
[arXiv] 2026-04-16 | An Open-Source Hardware-Aware Sub-THz Radio-Stripe Simulator
[arXiv] 2026-04-16 | Taming the Aretakis instability: extremal black holes with multi-degenerate horizons
[arXiv] 2026-04-16 | Renormalised two-point functions of CLE$_4$ gaskets
[arXiv] 2026-04-16 | Combinatorial Contracts Through Demand Types
[arXiv] 2026-04-16 | Quantum instanton approach to metastable collective spins
[arXiv] 2026-04-16 | Scalable Model-Based Clustering with Sequential Monte Carlo
[arXiv] 2026-04-16 | Graphs at infinity: Liouville theorems, Recurrence and Characterization of Dirichlet forms
[arXiv] 2026-04-16 | Temporal Logic Resilience for Continuous-time Systems
[arXiv] 2026-04-16 | Benchmarking Optimizers for MLPs in Tabular Deep Learning
[arXiv] 2026-04-16 | Complete manifolds with nonnegative Ricci curvature and slow relative volume growth
[arXiv] 2026-04-16 | Generative Augmented Inference
[arXiv] 2026-04-16 | Multi-User mmWave Beam and Rate Adaptation via Combinatorial Satisficing Bandits
[arXiv] 2026-04-16 | Evaluating Encodings for Bivariate Edges in Adjacency Matrices
[arXiv] 2026-04-16 | LeapAlign: Post-Training Flow Matching Models at Any Generation Step by Building Two-Step Trajectories
[arXiv] 2026-04-16 | Heuristic Search for Minimum-Distance Upper-Bound Witnesses in Quantum APM-LDPC Codes
[arXiv] 2026-04-16 | A Validated Low-to-Intermediate Mass Planetary Interior Structure Model and New Mass-Radius Relations
[arXiv] 2026-04-16 | Matrices over Finite Fields of Characteristic 2 as Sums of Diagonalizable and Square-Zero Matrices
[arXiv] 2026-04-16 | General framework for anticoncentration and linear cross-entropy benchmarking in photonic quantum advantage experiments
[arXiv] 2026-04-16 | Classifying spaces for families of virtually abelian subgroups of surface braid groups
[arXiv] 2026-04-16 | Optimal last-iterate convergence in matrix games with bandit feedback using the log-barrier
[arXiv] 2026-04-16 | Pricing Electric Vehicle Charging and Station Access via Copositive Duality
[arXiv] 2026-04-16 | UrbanClipAtlas: A Visual Analytics Framework for Event and Scene Retrieval in Urban Videos
[arXiv] 2026-04-16 | Stellar nucleosynthesis in the era of large surveys: s-process polluted binaries in GALAH DR4
[arXiv] 2026-04-16 | Algebraic Toric Quasifolds
[arXiv] 2026-04-16 | Meituan Merchant Business Diagnosis via Policy-Guided Dual-Process User Simulation
[arXiv] 2026-04-16 | Inflaton Regeneration via Scalar Couplings: Generic Models and the Higgs Portal
[arXiv] 2026-04-16 | Simplification Ad Absurdum? Revisiting Gas Flow Modeling for Integrated Energy System Planning
[arXiv] 2026-04-16 | Observation of Tunable Superradiant Frequency Combs
[arXiv] 2026-04-16 | Atropos: Improving Cost-Benefit Trade-off of LLM-based Agents under Self-Consistency with Early Termination and Model Hotswap
[arXiv] 2026-04-16 | Pure Borrow: Linear Haskell Meets Rust-Style Borrowing
[arXiv] 2026-04-16 | Super-Constant Weight Dicke States in Constant Depth Without Fanout
[arXiv] 2026-04-16 | Spectroscopic measurement of the Casimir-Polder force in the intermediate regime
[arXiv] 2026-04-16 | Misaligned circumbinary discs around unequal-mass eccentric binaries: alignment, morphology, and binary accretion variability
[arXiv] 2026-04-16 | Quantum Metropolis-Hastings via Penalised Qubitized Walks: Spectral Filtering and Circuit Implementation
[arXiv] 2026-04-16 | Improving Sparse Autoencoder with Dynamic Attention
[arXiv] 2026-04-16 | Support Size of $\varepsilon$-Capacity-Achieving Inputs for the Amplitude-Constrained AWGN Channel
[arXiv] 2026-04-16 | Equivariant L-Classes of Atiyah-Singer-Zagier Type for Singular Spaces
[arXiv] 2026-04-16 | Comparison of Modern Multilingual Text Embedding Techniques for Hate Speech Detection Task
[arXiv] 2026-04-16 | End-to-End Inverse Designed Metasurfaces for Snapshot RGB-Achromatic Full-Stokes Polarization Imaging
[arXiv] 2026-04-16 | Governing Reflective Human-AI Collaboration: A Framework for Epistemic Scaffolding and Traceable Reasoning
[arXiv] 2026-04-16 | Impact of deployment on energy efficiency of sub-THz transmission
[arXiv] 2026-04-16 | Segment-Level Coherence for Robust Harmful Intent Probing in LLMs
[arXiv] 2026-04-16 | Benchmarks for Trajectory Safety Evaluation and Diagnosis in OpenClaw and Codex: ATBench-Claw and ATBench-CodeX
[arXiv] 2026-04-16 | The Very General Verra Fourfold is Irrational
[arXiv] 2026-04-16 | Exploring and Testing Skill-Based Behavioral Profile Annotation: Human Operability and LLM Feasibility under Schema-Guided Execution
[arXiv] 2026-04-16 | Seeking Help, Facing Harm: Auditing TikTok's Mental Health Recommendations
[arXiv] 2026-04-16 | Nautilus: An Auto-Scheduling Tensor Compiler for Efficient Tiled GPU Kernels
[arXiv] 2026-04-16 | Formal degree of principal series of quasi-split groups
[arXiv] 2026-04-16 | Layer-dependent quantum transport in KV2Se2O-based altermagnetic tunnel junctions
[arXiv] 2026-04-16 | Diffusion Crossover: Defining Evolutionary Recombination in Diffusion Models via Noise Sequence Interpolation
[arXiv] 2026-04-16 | One-shot Compositional 3D Head Avatars with Deformable Hair
[arXiv] 2026-04-16 | Spin-Valley-Mismatched Altermagnet for Giant Tunneling Magnetoresistance
[arXiv] 2026-04-16 | Nontrivial three-sublattice magnetization in the easy-axis spin-1/2 XXZ antiferromagnet on the triangular lattice
[arXiv] 2026-04-16 | Ticket to ride: Impact of free public transport on women's workforce participation in India
[arXiv] 2026-04-16 | ASGNet: Adaptive Spectrum Guidance Network for Automatic Polyp Segmentation
[arXiv] 2026-04-16 | Utilizing Improper Gaussian Signaling for Downlink Rate-Splitting Multiple Access with Imperfect Successive Interference Cancellation
[arXiv] 2026-04-16 | Bound-state Compton scattering of linearly polarized photons
[arXiv] 2026-04-16 | Disentangle-then-Refine: LLM-Guided Decoupling and Structure-Aware Refinement for Graph Contrastive Learning
[arXiv] 2026-04-16 | Catching Every Ripple: Enhanced Anomaly Awareness via Dynamic Concept Adaptation
[arXiv] 2026-04-16 | Correlation invariance unlocks robust calibration-free orbital-angular-momentum multiplexing transmission under dynamic scattering scenarios
[arXiv] 2026-04-16 | SGA-MCTS: Decoupling Planning from Execution via Training-Free Atomic Experience Retrieval
[arXiv] 2026-04-16 | The Courtroom Trial of Pixels: Robust Image Manipulation Localization via Adversarial Evidence and Reinforcement Learning Judgment
[arXiv] 2026-04-16 | Interlayer hybridization enables superconductivity in bilayer nickelates
[arXiv] 2026-04-16 | Wickstead's conjecture on positive projections and non-representable Banach lattice algebras
[arXiv] 2026-04-16 | M2-PALE: A Framework for Explaining Multi-Agent MCTS--Minimax Hybrids via Process Mining and LLMs
[arXiv] 2026-04-16 | Anomalous Platinum and Oxygen Transport during Electroforming of NbOx Memristors
[arXiv] 2026-04-16 | StoryCoder: Narrative Reformulation for Structured Reasoning in LLM Code Generation
[arXiv] 2026-04-16 | A Stable SBP-SAT FDTD Subgridding Method Without Region Split
[arXiv] 2026-04-16 | ConfLayers: Adaptive Confidence-based Layer Skipping for Self-Speculative Decoding
[arXiv] 2026-04-16 | UniPASE: A Generative Model for Universal Speech Enhancement with High Fidelity and Low Hallucinations
[arXiv] 2026-04-16 | Category-based and Popularity-guided Video Game Recommendation: A Balance-oriented Framework
[arXiv] 2026-04-16 | Deepfake Detection Generalization with Diffusion Noise
[arXiv] 2026-04-16 | Learning Adaptive Reasoning Paths for Efficient Visual Reasoning
[arXiv] 2026-04-16 | Model-Based Reinforcement Learning Exploits Passive Body Dynamics for High-Performance Biped Robot Locomotion
[arXiv] 2026-04-16 | Discovery of low-redshift analogues to "Little Red Dots" in DESI: A later evolutionary stage of compact LRDs?
[arXiv] 2026-04-16 | H2VLR: Heterogeneous Hypergraph Vision-Language Reasoning for Few-Shot Anomaly Detection
[arXiv] 2026-04-16 | On the Expressive Power and Limitations of Multi-Layer SSMs
[arXiv] 2026-04-16 | Geometric Metrics for MoE Specialization: From Fisher Information to Early Failure Detection
[arXiv] 2026-04-16 | Quantification and Regulation of Energy Reserves for Distributed Frequency and Voltage Control of Grid-Forming Inverters
[arXiv] 2026-04-16 | A wearable electrical hemodynamic imaging ring
[arXiv] 2026-04-16 | Unbalanced signed bipartite graphs containing no negative $C_4$ with maximum spectral radius
[arXiv] 2026-04-16 | AIPC: Agent-Based Automation for AI Model Deployment with Qualcomm AI Runtime
[arXiv] 2026-04-16 | Chaotic CNN for Limited Data Image Classification
[arXiv] 2026-04-16 | Learning to Draw ASCII Improves Spatial Reasoning in Language Models
[arXiv] 2026-04-16 | Unimodality and log-concavity of generalized Glasby-Paseman sequences
[arXiv] 2026-04-16 | Touching Space: Accessible Map Exploration Through Conversational Audio-Haptic Interaction
[arXiv] 2026-04-16 | Pushing the Boundaries of Multiple Choice Evaluation to One Hundred Options
[arXiv] 2026-04-16 | High-Speed Full-Color HDR Imaging via Unwrapping Modulo-Encoded Spike Streams
[arXiv] 2026-04-16 | Assessing the Potential of Masked Autoencoder Foundation Models in Predicting Downhole Metrics from Surface Drilling Data
[arXiv] 2026-04-16 | Class Unlearning via Depth-Aware Removal of Forget-Specific Directions
[arXiv] 2026-04-16 | Gelfand--Kirillov dimension and mod $p$ cohomology for inner forms of $\mathrm{GL}_2$
[arXiv] 2026-04-16 | DPC: Training-Free Text-to-SQL Candidate Selection via Dual-Paradigm Consistency
[arXiv] 2026-04-16 | Lattice dynamics and complete polarization analysis of Raman-active modes in LaInO$_3$
[arXiv] 2026-04-16 | The Multinomial Allocation Model and the Size of a Randomly Chosen Box
[arXiv] 2026-04-16 | LLMs Gaming Verifiers: RLVR can Lead to Reward Hacking
[arXiv] 2026-04-16 | KVNN: Learnable Multi-Kernel Volterra Neural Networks
[arXiv] 2026-04-16 | How to Correctly Make Mistakes: A Framework for Constructing and Benchmarking Mistake Aware Egocentric Procedural Videos
[arXiv] 2026-04-16 | Hanbury Brown-Twiss interferometry at the $ν=2/5$ fractional quantum Hall edge
[arXiv] 2026-04-16 | Las Cumbres Observatory Gravitational-Wave Follow-up in O3 and O4: Strengths and Weaknesses of a Rapid Response Galaxy Targeted Strategy
[arXiv] 2026-04-16 | Quantum fluctuations and the emergence of in-gap Higgs mode in superconductors
[arXiv] 2026-04-16 | Localization and Confidence Region Estimation of Short GRBs with the COSI BGO Shield Using a HEALPix-Based Deep Learning Approach
[arXiv] 2026-04-16 | FedIDM: Achieving Fast and Stable Convergence in Byzantine Federated Learning through Iterative Distribution Matching
[arXiv] 2026-04-16 | Kardar-Parisi-Zhang physics in optically-confined continuous polariton condensates
[arXiv] 2026-04-16 | Diffeomorphism groups and gauge theory for families
[arXiv] 2026-04-16 | Static heterogeneity generates apparent universality in first-passage bursty dynamics
[arXiv] 2026-04-16 | Where are the Humans? A Scoping Review of Fairness in Multi-agent AI Systems
[arXiv] 2026-04-16 | Trajectory Planning for a Multi-UAV Rigid-Payload Cascaded Transportation System Based on Enhanced Tube-RRT*
[arXiv] 2026-04-16 | Emulation-based System-on-Chip Security Verification: Challenges and Opportunities
[arXiv] 2026-04-16 | Gauge theory for families
[arXiv] 2026-04-16 | Analysis of Multitasking Pareto Optimization for Monotone Submodular Problems
[arXiv] 2026-04-16 | Some lower bounds for the maximal number of A-singularities in algebraic surfaces. II
[arXiv] 2026-04-16 | Attention-Gated Convolutional Networks for Scanner-Agnostic Quality Assessment
[arXiv] 2026-04-16 | Hardware Validation of DAGI via a Modular "Ridge" Signature and High-Order Synergistic Information
[arXiv] 2026-04-16 | HintPilot: LLM-based Compiler Hint Synthesis for Code Optimization
[arXiv] 2026-04-16 | When Fairness Metrics Disagree: Evaluating the Reliability of Demographic Fairness Assessment in Machine Learning
[arXiv] 2026-04-16 | From Reactive to Proactive: Assessing the Proactivity of Voice Agents via ProVoice-Bench
[arXiv] 2026-04-16 | A Hypergraph Container Method on Spread SAT: Approximation and Speedup
[arXiv] 2026-04-16 | Entanglement quantification with randomized measurements is maximally difficult
[arXiv] 2026-04-16 | Route to Rome Attack: Directing LLM Routers to Expensive Models via Adversarial Suffix Optimization
[arXiv] 2026-04-16 | A Generalized Algorithmic Framework for Detecting Faraday Rotation Measure Flares in Repeating Fast Radio Bursts
[arXiv] 2026-04-16 | On-Line Policy Iteration with Trajectory-Driven Policy Generation
[arXiv] 2026-04-16 | Flow of Truth: Proactive Temporal Forensics for Image-to-Video Generation
[arXiv] 2026-04-16 | Thermodynamic Geometry of Relaxation
[arXiv] 2026-04-16 | A First-Order Eikonal Framework for Quasinormal Modes, Shadows, Strong Lensing, and Grey-Body Factors in a Scalarized Black-Hole Metric
[arXiv] 2026-04-16 | Singular traveling waves for the Euler-Poisson system
[arXiv] 2026-04-16 | The Possibility of Artificial Intelligence Becoming a Subject and the Alignment Problem
[arXiv] 2026-04-16 | Theta-regularized Kriging: Modelling and Algorithms
[arXiv] 2026-04-16 | A simple relation: Neutron star magnetic field strength and spectral shape at low mass accretion rates
[arXiv] 2026-04-16 | Calibration-Gated LLM Pseudo-Observations for Online Contextual Bandits
[arXiv] 2026-04-16 | Fermi-liquid versus non-Fermi-liquid/'strange-metal' fits to the electrical resistivity in the quantum critical magnetic regime of an unconventional superconductor
[arXiv] 2026-04-16 | RaTA-Tool: Retrieval-based Tool Selection with Multimodal Large Language Models
[arXiv] 2026-04-16 | Expansive solutions and the boundary at infinity for the homogeneous $N$-body problem
[arXiv] 2026-04-16 | What if we have 90 minutes only to teach programming?
[arXiv] 2026-04-16 | AnimationBench: Are Video Models Good at Character-Centric Animation?
[arXiv] 2026-04-16 | Cell-cell adhesion cannot sustain extended follower streams in a minimal non-local model of leader-follower migration
[arXiv] 2026-04-16 | How Embeddings Shape Graph Neural Networks: Classical vs Quantum-Oriented Node Representations
[arXiv] 2026-04-16 | Knowing that you do not know everything
[arXiv] 2026-04-16 | Computing the free energy of quantum Coulomb gases and molecules via quantum Gibbs sampling
[arXiv] 2026-04-16 | Detecting Regime Transitions in Dynamical Systems via the Mixup Euler Characteristic Profile
[arXiv] 2026-04-16 | Stability and Generalization in Looped Transformers
[arXiv] 2026-04-16 | Charmonium radiative transitions to dileptons from lattice QCD: The case of $h_c \to η_c \ell^+\ell^-$ and $χ_{c1} \to J/ψ\,\ell^+\ell^-$
[arXiv] 2026-04-16 | Convexity and concavity in Banach lattices
[arXiv] 2026-04-16 | Orthogonal Strip Partitioning of Polygons: Lattice-Theoretic Algorithms and Lower Bounds
[arXiv] 2026-04-16 | From Tokens to Steps: Verification-Aware Speculative Decoding for Efficient Multi-Step Reasoning
[arXiv] 2026-04-16 | Sampling the Graviton Pole and Deprojecting the Swampland
[arXiv] 2026-04-16 | On the robustness of Mann-Kendall tests used to forecast critical transitions
[arXiv] 2026-04-16 | Context Over Content: Exposing Evaluation Faking in Automated Judges
[arXiv] 2026-04-16 | Vision-Based Safe Human-Robot Collaboration with Uncertainty Guarantees
[arXiv] 2026-04-16 | A Bayesian Approach to Unit-level Dependent Multi-type Survey Data
[arXiv] 2026-04-16 | Simulation of quantum annealing on a semiconducting cQED device for Multiple Hypothesis Tracking (MHT) benchmark
[arXiv] 2026-04-16 | Orientational bistability and field-controlled switching of a superparamagnetic dimer
