[2026-03-13 09:27:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-12
正在获取论文...
[arXiv] 2026-03-12 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[arXiv] 2026-03-12 | PhiPlot: A Web-Based Interactive EDA Environment for Atmospherically Relevant Molecules
[arXiv] 2026-03-12 | Mitigating the Multiplicity Burden: The Role of Calibration in Reducing Predictive Multiplicity of Classifiers
[arXiv] 2026-03-12 | Semi-Synthetic Parallel Data for Translation Quality Estimation: A Case Study of Dataset Building for an Under-Resourced Language Pair
[arXiv] 2026-03-12 | Dimensional Scaling Laws for Continuous Fluid Antenna Systems
[arXiv] 2026-03-12 | Software-Hardware Binding for Protection of Sensitive Data in Embedded Software
[arXiv] 2026-03-12 | When OpenClaw Meets Hospital: Toward an Agentic Operating System for Dynamic Clinical Workflows
[arXiv] 2026-03-12 | Revisiting early afterglows of gamma-ray bursts with finite-thickness ejecta: Implications from XRF 080330 and GRB 080710
[arXiv] 2026-03-12 | Intrinsic violation of the Wiedemann-Franz law in interacting systems
[arXiv] 2026-03-12 | Weak integrability breaking perturbations in classical integrable models on the lattice
[arXiv] 2026-03-12 | The number of measures on very large measurable cardinals
[arXiv] 2026-03-12 | Mpemba Effect in Many-Body Systems Near Equilibrium
[arXiv] 2026-03-12 | Effective Degrees of Freedom for Balanced Repeated Replication and Paired Jackknife Variance Estimates: A Unified Approach via Stratum Contrasts
[arXiv] 2026-03-12 | Inverse $t$-source problem and a strict positivity property for coupled subdiffusion systems
[arXiv] 2026-03-12 | Cayley Commutator-free Methods for Krotov-Type Algorithms in Quantum Optimal Control
[arXiv] 2026-03-12 | Non-uniform $α$-Robust Alikhanov Mixed FEM with Optimal Convergence for the Time-Fractional Allen--Cahn Equation
[arXiv] 2026-03-12 | Experimental Demonstrations of Coherence de Broglie Wavelength for Scalable Superresolution with Near-perfect Fringe Visibility
[arXiv] 2026-03-12 | STAIRS-Former: Spatio-Temporal Attention with Interleaved Recursive Structure Transformer for Offline Multi-task Multi-agent Reinforcement Learning
[arXiv] 2026-03-12 | On the Unit Teissier Distribution: Properties, Estimation Procedures and Applications
[arXiv] 2026-03-12 | Causal Prosody Mediation for Text-to-Speech:Counterfactual Training of Duration, Pitch, and Energy in FastSpeech2
[arXiv] 2026-03-12 | From Control to Foresight: Simulation as a New Paradigm for Human-Agent Collaboration
[arXiv] 2026-03-12 | An Improved Interpolation Theorem and Disproofs of Two Conjectures on 2-Connected Subgraphs
[arXiv] 2026-03-12 | One-Shot Individual Claims Reserving
[arXiv] 2026-03-12 | QChunker: Learning Question-Aware Text Chunking for Domain RAG via Multi-Agent Debate
[arXiv] 2026-03-12 | OmniForcing: Unleashing Real-time Joint Audio-Visual Generation
[arXiv] 2026-03-12 | All-electrostatic valley qubit gates in tilted Dirac-Weyl semimetals
[arXiv] 2026-03-12 | VisDoT : Enhancing Visual Reasoning through Human-Like Interpretation Grounding and Decomposition of Thought
[arXiv] 2026-03-12 | Personalized Federated Learning via Gaussian Generative Modeling
[arXiv] 2026-03-12 | Upper bound of some character ratios and large genus asymptotic behavior of Hurwitz numbers
[arXiv] 2026-03-12 | Performance Evaluation of Open-Source Large Language Models for Assisting Pathology Report Writing in Japanese
[arXiv] 2026-03-12 | Radio Radiance Field: The New Frontier of Spatial Wireless Channel Representation
[arXiv] 2026-03-12 | Unsupervised LiDAR-Based Multi-UAV Detection and Tracking Under Extreme Sparsity
[arXiv] 2026-03-12 | On the deformation of a shear thinning viscoelastic drop in a steady electric field
[arXiv] 2026-03-12 | Metasurface Tape for Efficient Millimeter-Wave Power Transfer via Surface-Wave Propagation
[arXiv] 2026-03-12 | Streaming Translation and Transcription Through Speech-to-Text Causal Alignment
[arXiv] 2026-03-12 | Regular and chaotic Welander oscillations in a four-dimensional conceptual model for the Atlantic Meridional Overturning Circulation
[arXiv] 2026-03-12 | Modeling Sequential Design Actions as Designer Externalization on an Infinite Canvas
[arXiv] 2026-03-12 | Where Matters More Than What: Decoding-aligned KV Cache Compression via Position-aware Pseudo Queries
[arXiv] 2026-03-12 | AI Knows What's Wrong But Cannot Fix It: Helicoid Dynamics in Frontier LLMs Under High-Stakes Decisions
[arXiv] 2026-03-12 | 50-250 MHz Pulsar Census with an SKA-Low prototype station: Spectra and Polarization
[arXiv] 2026-03-12 | Expert Threshold Routing for Autoregressive Language Modeling with Dynamic Computation Allocation and Load Balancing
[arXiv] 2026-03-12 | Risk-Controllable Multi-View Diffusion for Driving Scenario Generation
[arXiv] 2026-03-12 | Blind Hyperspectral and Multispectral Images Fusion: A Unified Tensor Fusion Framework from Coupled Inverse Problem Perspective
[arXiv] 2026-03-12 | Strict Optimality of Frequency Estimation Under Local Differential Privacy
[arXiv] 2026-03-12 | Effect of flow kinematics on extensional viscosity of dilute polymer solutions
[arXiv] 2026-03-12 | Tiny Aya: Bridging Scale and Multilingual Depth
[arXiv] 2026-03-12 | KEPo: Knowledge Evolution Poison on Graph-based Retrieval-Augmented Generation
[arXiv] 2026-03-12 | Variance Estimation with Dependence and Heterogeneous Means
[arXiv] 2026-03-12 | SPEGC: Continual Test-Time Adaptation via Semantic-Prompt-Enhanced Graph Clustering for Medical Image Segmentation
[arXiv] 2026-03-12 | Anomalous Coulomb-Enhanced Charge Transport in Triangular Triple Quantum Dots Systems
[arXiv] 2026-03-12 | Reliability Dynamics in a Two-Site Dissipative Quantum Spin Chain
[arXiv] 2026-03-12 | Graph Generation Methods under Partial Information
[arXiv] 2026-03-12 | Dynamic Bayesian regression quantile synthesis for forecasting outlook-at-risk
[arXiv] 2026-03-12 | Quantum photonic frequency processor on thin-film lithium niobate
[arXiv] 2026-03-12 | Accumulation points of congruence densities of finite lattices
[arXiv] 2026-03-12 | Time irreversibility and entropy production in non-Hermitian Model A field theories
[arXiv] 2026-03-12 | Integral mean estimates for $(α,β)$-harmonic functions
[arXiv] 2026-03-12 | On the distribution of shapes of totally real multiquadratic number fields
[arXiv] 2026-03-12 | Topological Hochschild homology of truncated Brown-Peterson spectra II
[arXiv] 2026-03-12 | Adversarial Reinforcement Learning for Detecting False Data Injection Attacks in Vehicular Routing
[arXiv] 2026-03-12 | An analogue first law for general closed marginally trapped surfaces
[arXiv] 2026-03-12 | Zero-Shot Cross-City Generalization in End-to-End Autonomous Driving: Self-Supervised versus Supervised Representations
[arXiv] 2026-03-12 | BLooP: Zero-Shot Abstractive Summarization using Large Language Models with Bigram Lookahead Promotion
[arXiv] 2026-03-12 | Beyond Polarity: Multi-Dimensional LLM Sentiment Signals for WTI Crude Oil Futures Return Prediction
[arXiv] 2026-03-12 | Entropy Guided Diversification and Preference Elicitation in Agentic Recommendation Systems
[arXiv] 2026-03-12 | ARROW: Augmented Replay for RObust World models
[arXiv] 2026-03-12 | To Believe or Not To Believe: Comparing Supporting Information Tools to Aid Human Judgments of AI Veracity
[arXiv] 2026-03-12 | $Ψ_0$: An Open Foundation Model Towards Universal Humanoid Loco-Manipulation
[arXiv] 2026-03-12 | The Latent Color Subspace: Emergent Order in High-Dimensional Chaos
[arXiv] 2026-03-12 | DreamVideo-Omni: Omni-Motion Controlled Multi-Subject Video Customization with Latent Identity Reinforcement Learning
[arXiv] 2026-03-12 | DVD: Deterministic Video Depth Estimation with Generative Priors
[arXiv] 2026-03-12 | Examining Reasoning LLMs-as-Judges in Non-Verifiable LLM Post-Training
[arXiv] 2026-03-12 | One Model, Many Budgets: Elastic Latent Interfaces for Diffusion Transformers
[arXiv] 2026-03-12 | STAMP: Selective Task-Aware Mechanism for Text Privacy
[arXiv] 2026-03-12 | Transition from Statistical to Hardware-Limited Scaling in Photonic Quantum State Reconstruction
[arXiv] 2026-03-12 | Portfolio of Solving Strategies in CEGAR-based Object Packing and Scheduling for Sequential 3D Printing
[arXiv] 2026-03-12 | Persistent altermagnetism
[arXiv] 2026-03-12 | A Two-Stage Dual-Modality Model for Facial Emotional Expression Recognition
[arXiv] 2026-03-12 | CLASP: Defending Hybrid Large Language Models Against Hidden State Poisoning Attacks
[arXiv] 2026-03-12 | Neutrino Flavor Evolution in High Flux Astrophysical Environments
[arXiv] 2026-03-12 | Optimal Discrimination of Gaussian States by Gaussian Measurements
[arXiv] 2026-03-12 | Zonal states and improved $L^\infty$ bounds for eigenfunctions of magnetic Laplacians on hyperbolic surfaces
[arXiv] 2026-03-12 | Raman relaxation in Yb(III) molecular qubits: non-trivial correlations between spin-phonon coupling and molecular structure
[arXiv] 2026-03-12 | FlashMotion: Few-Step Controllable Video Generation with Trajectory Guidance
[arXiv] 2026-03-12 | Single-nanoparticle detection using quasi-bound states in the continuum supported by silicon metasurfaces
[arXiv] 2026-03-12 | TopoBench: Benchmarking LLMs on Hard Topological Reasoning
[arXiv] 2026-03-12 | History state formalism for time series with application to finance
[arXiv] 2026-03-12 | The Targeted Standard Siren Cosmology with Pulsar Timing Arrays
[arXiv] 2026-03-12 | Bootstrap Embedding for Interacting Electrons in Phonon Coherent-state Mean Field
[arXiv] 2026-03-12 | BLUEPRINT: Blue-dominant Lyman-alpha (Ly$α$) emission as an evidence of gas inflow in ultra-low-mass galaxies at z = 3
[arXiv] 2026-03-12 | Time, Message and Memory-Optimal Distributed Minimum Spanning Tree and Partwise Aggregation
[arXiv] 2026-03-12 | A Nash stratification inequality and global regularity for a chemotaxis-fluid system on general 2D domains
[arXiv] 2026-03-12 | Resource-Efficient Iterative LLM-Based NAS with Feedback Memory
[arXiv] 2026-03-12 | Flowcean - Model Learning for Cyber-Physical Systems
[arXiv] 2026-03-12 | Normative Common Ground Replication (NormCoRe): Replication-by-Translation for Studying Norms in Multi-agent AI
[arXiv] 2026-03-12 | On strictly output sensitive color frequency reporting
[arXiv] 2026-03-12 | Probing the memory of a superconducting qubit environment
[arXiv] 2026-03-12 | EvoFlows: Evolutionary Edit-Based Flow-Matching for Protein Engineering
[arXiv] 2026-03-12 | Compact LABFM: a framework for meshless methods with spectral-like resolving power
[arXiv] 2026-03-12 | Visibly Recursive Automata
[arXiv] 2026-03-12 | Developing Foundation Models for Universal Segmentation from 3D Whole-Body Positron Emission Tomography
[arXiv] 2026-03-12 | MedPruner: Training-Free Hierarchical Token Pruning for Efficient 3D Medical Image Understanding in Vision-Language Models
[arXiv] 2026-03-12 | On the discrete mean square of certain hybrid sum involving $a_{\mathbb{K}}(n)$
[arXiv] 2026-03-12 | SemiTooth: a Generalizable Semi-supervised Framework for Multi-Source Tooth Segmentation
[arXiv] 2026-03-12 | Link Quality Aware Pathfinding for Chiplet Interconnects
[arXiv] 2026-03-12 | Articulat3D: Reconstructing Articulated Digital Twins From Monocular Videos with Geometric and Motion Constraints
[arXiv] 2026-03-12 | AutoScout: Structured Optimization for Automating ML System Configuration
[arXiv] 2026-03-12 | Transverse Structure of the Kaon: A light-front Hamiltonian Approach
[arXiv] 2026-03-12 | WeEdit: A Dataset, Benchmark and Glyph-Guided Framework for Text-centric Image Editing
[arXiv] 2026-03-12 | Limit representation theory on some classes of representations of abelian groups
[arXiv] 2026-03-12 | Relaxed Newton's Method as a Family of Root-finding Methods: Dynamics and Convergence
[arXiv] 2026-03-12 | Toward Complex-Valued Neural Networks for Waveform Generation
[arXiv] 2026-03-12 | Surpassing Quantum Noise Limits with Nonlinear Amplification
[arXiv] 2026-03-12 | High-Contrast Projection Mapping under Light Field Illumination with LED Display and Aperiodic Lens Array
[arXiv] 2026-03-12 | How Intelligence Emerges: A Minimal Theory of Dynamic Adaptive Coordination
[arXiv] 2026-03-12 | Suppression of local magnetic moment formation and paramagnetic exchange interactions in monolayer Fe$_3$GeTe$_2$
[arXiv] 2026-03-12 | Shadowless Projection Mapping for Tabletop Workspaces with Synthetic Aperture Projector
[arXiv] 2026-03-12 | Design and mechanical analysis of the PRAGYA tokamak vacuum vessel
[arXiv] 2026-03-12 | Exploiting Skyrmions in Free-Space Optical Communication
[arXiv] 2026-03-12 | Imaging antiferromagnetic domains in LiCoPO$_4$ via the optical magnetoelectric effect
[arXiv] 2026-03-12 | Why ice is so slippery
[arXiv] 2026-03-12 | Families of Two-Impulse Optimal Rendezvous Transfers Between Elliptic Orbits
[arXiv] 2026-03-12 | Manifold-Optimal Guidance: A Unified Riemannian Control View of Diffusion Guidance
[arXiv] 2026-03-12 | Gen-Fab: A Variation-Aware Generative Model for Predicting Fabrication Variations in Nanophotonic Devices
[arXiv] 2026-03-12 | LongFlow: Efficient KV Cache Compression for Reasoning M
[arXiv] 2026-03-12 | Nonlinear spin-motive force driven by mixed-space quantum geometry
[arXiv] 2026-03-12 | ActiveFreq: Integrating Active Learning and Frequency Domain Analysis for Interactive Segmentation
[arXiv] 2026-03-12 | The Generators of a Colon Ideal with an Application to the Weak Lefschetz Property for Monomial Almost Complete Intersections in Three Variables
[arXiv] 2026-03-12 | AutoVeriFix+: High-Correctness RTL Generation via Trace-Aware Causal Fix and Semantic Redundancy Pruning
[arXiv] 2026-03-12 | Attention Sinks Are Provably Necessary in Softmax Transformers: Evidence from Trigger-Conditional Tasks
[arXiv] 2026-03-12 | Leveraging Phytolith Research using Artificial Intelligence
[arXiv] 2026-03-12 | Slack More, Predict Better: Proximal Relaxation for Probabilistic Latent Variable Model-based Soft Sensors
[arXiv] 2026-03-12 | Prediction-Oriented Transfer Learning for Survival Analysis
[arXiv] 2026-03-12 | Three-dimensional Global Relativistic Radiation Magnetohydrodynamics of Magnetically Arrested Disk Accretion Flows in AGNs
[arXiv] 2026-03-12 | Reproducible Synthetic Clinical Letters for Seizure Frequency Information Extraction
[arXiv] 2026-03-12 | HumDex:Humanoid Dexterous Manipulation Made Easy
[arXiv] 2026-03-12 | Attend Before Attention: Efficient and Scalable Video Understanding via Autoregressive Gazing
[arXiv] 2026-03-12 | EndoCoT: Scaling Endogenous Chain-of-Thought Reasoning in Diffusion Models
[arXiv] 2026-03-12 | $\bar{D}$-meson Nucleon Scattering from Lattice QCD at the Physical Point
[arXiv] 2026-03-12 | SciMDR: Benchmarking and Advancing Scientific Multimodal Document Reasoning
[arXiv] 2026-03-12 | HandelBot: Real-World Piano Playing via Fast Adaptation of Dexterous Robot Policies
[arXiv] 2026-03-12 | Factorization vs. Non-Factorization: S-Matrix Corrections for Precision Neutrino Physics
[arXiv] 2026-03-12 | Security Considerations for Artificial Intelligence Agents
[arXiv] 2026-03-12 | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights
[arXiv] 2026-03-12 | Evil Twins in Sums of Wildflowers
[arXiv] 2026-03-12 | Conformalized Data-Driven Reachability Analysis with PAC Guarantees
[arXiv] 2026-03-12 | An Updated \synthpop Model for Microlensing Simulations I: Model Description, Evaluation, and Microlensing Event Rates Near the Galactic Center
[arXiv] 2026-03-12 | WORKSWORLD: A Domain for Integrated Numeric Planning and Scheduling of Distributed Pipelined Workflows
[arXiv] 2026-03-12 | Dictionary-Restricted First-Order Descent Methods: Bounds and Convergence Rates
[arXiv] 2026-03-12 | Parameter unbounded Uzawa and penalty-splitted accelerated algorithms for frictionless contact problems
[arXiv] 2026-03-12 | Sparse Phase Ansatzes for Resource-Efficient Qudit State Preparation via the SNAP-Displacement Protocol
[arXiv] 2026-03-12 | Commutation Groups and State-Independent Contextuality
[arXiv] 2026-03-12 | Schwinger Model with a Dynamical Axion
[arXiv] 2026-03-12 | On the density of the supremum of nonlinear SPDEs
[arXiv] 2026-03-12 | Small-Scale and Transient EUV Kernels in Solar Flare Ribbons
[arXiv] 2026-03-12 | Compactness in Dimension Five and Equivariant Noncompactness for the CR Yamabe Problem
[arXiv] 2026-03-12 | Linking Perception, Confidence and Accuracy in MLLMs
[arXiv] 2026-03-12 | ChemSICal-Net: Timing-Controlled Chemical Reaction Network for Successive Interference Cancellation in Molecular Multiple Access
[arXiv] 2026-03-12 | Forecasting and Manipulating the Forecasts of Others
[arXiv] 2026-03-12 | Optimization of stellarator configurations combining omnigenity and piecewise omnigenity
[arXiv] 2026-03-12 | Entanglement cost of bipartite quantum channel discrimination under positive partial transpose operations
[arXiv] 2026-03-12 | Increasing intelligence in AI agents can worsen collective outcomes
[arXiv] 2026-03-12 | Symmetry-Driven Floquet Engineering in Multivalley SnS
[arXiv] 2026-03-12 | On the Possible Detectability of Image-in-Image Steganography
[arXiv] 2026-03-12 | Pattern formation in driven condensates
[arXiv] 2026-03-12 | On the Role of Reversible Instance Normalization
[arXiv] 2026-03-12 | Towards heterogeneous parallelism for SPHinXsys
[arXiv] 2026-03-12 | Density dependent viscosity for the Poisson-Nernst-Planck-Compressible Navier-Stokes system
[arXiv] 2026-03-12 | Inverse Neural Operator for ODE Parameter Optimization
[arXiv] 2026-03-12 | Fast and exact visibility on digitized shapes and application to saliency-aware normal estimation
[arXiv] 2026-03-12 | Implementing and Optimizing an Open-Source SD-card Host Controller for RISC-V SoCs
[arXiv] 2026-03-12 | Acoustic-to-Articulatory Inversion of Clean Speech Using an MRI-Trained Model
[arXiv] 2026-03-12 | Emergence of polar monoclinic phase in heterohalogen substituted CsGeX$_3$
[arXiv] 2026-03-12 | Symbolic Quantum State Representation and its Simulation
[arXiv] 2026-03-12 | OMNIA: Closing the Loop by Leveraging LLMs for Knowledge Graph Completion
[arXiv] 2026-03-12 | Chemo-dynamical reconstruction of Milky Way globular cluster progenitors: age--metallicity relations and the universality of multiple stellar populations
[arXiv] 2026-03-12 | Automating Skill Acquisition through Large-Scale Mining of Open-Source Agentic Repositories: A Framework for Multi-Agent Procedural Knowledge Extraction
[arXiv] 2026-03-12 | Enhancing Music Recommendation with User Mood Input
[arXiv] 2026-03-12 | Analytic Singular Slow-roll Inflation
[arXiv] 2026-03-12 | A Brief Study of Dark Energy Accretion onto Schwarzschild Black Hole : Biswas-Roy-Biswas Type Redshift Parameterization is Chosen
[arXiv] 2026-03-12 | Legal-DC: Benchmarking Retrieval-Augmented Generation for Legal Documents
[arXiv] 2026-03-12 | Size-Dependent Fluorescence Kinetics Reveal Contributions of Intrinsic Quenching and Singlet-Triplet Annihilation during LHCII Aggregation
[arXiv] 2026-03-12 | Merger-driven buildup of the $M_{\rm BH}$ - $M_*$ relation bridging high-$z$ overmassive black holes with the local relation
[arXiv] 2026-03-12 | The Inner and Outer Shock Layers of Bow Shocks in Cataclysmic Variables
[arXiv] 2026-03-12 | Shadow of Bonanno-Reuter Black Hole in Plasma Medium: Insights from EHT Sgr A* Observations
[arXiv] 2026-03-12 | Gender Bias in Generative AI-assisted Recruitment Processes
[arXiv] 2026-03-12 | Scaling Laws and Paradoxical Metastable States in Nanofilament Entropic Separation
[arXiv] 2026-03-12 | Including historical control data in simultaneous inference for pre-clinical multi-arm studies
[arXiv] 2026-03-12 | Adapting Dijkstra for Buffers and Unlimited Transfers
[arXiv] 2026-03-12 | Cross-Resolution Attention Network for High-Resolution PM2.5 Prediction
[arXiv] 2026-03-12 | Cross-Validation in Bipartite Networks
[arXiv] 2026-03-12 | Affect Decoding in Phonated and Silent Speech Production from Surface EMG
[arXiv] 2026-03-12 | Scaling Laws for Educational AI Agents
[arXiv] 2026-03-12 | Shear-Coupled Grain Growth Statistics
[arXiv] 2026-03-12 | Foliated-Exotic Duality and Anomaly Inflow in Fracton Quantum Field Theories
[arXiv] 2026-03-12 | UCAN: Unified Convolutional Attention Network for Expansive Receptive Fields in Lightweight Super-Resolution
[arXiv] 2026-03-12 | Systems of partial differential equations describing pseudo-spherical or spherical surfaces
[arXiv] 2026-03-12 | Resonate: Reinforcing Text-to-Audio Generation via Online Feedback from Large Audio Language Models
[arXiv] 2026-03-12 | FL-MedSegBench: A Comprehensive Benchmark for Federated Learning on Medical Image Segmentation
[arXiv] 2026-03-12 | Simple Recipe Works: Vision-Language-Action Models are Natural Continual Learners with Reinforcement Learning
[arXiv] 2026-03-12 | SN 2023axu: A Type IIP Supernova Interacted with a Low-Density Stellar Wind1
[arXiv] 2026-03-12 | Beyond BFS: A Comparative Study of Rooted Spanning Tree Algorithms on GPUs
[arXiv] 2026-03-12 | Chunk-Boundary Artifact in Action-Chunked Generative Policies: A Noise-Sensitive Failure Mechanism
[arXiv] 2026-03-12 | Learnable Template Matching Approach for Micro-Deformation Monitoring based on Integrated Sensing and Communication Platform
[arXiv] 2026-03-12 | Learn Structure, Adapt on the Fly: Multi-Scale Residual Learning and Online Adaptation for Aerial Manipulators
[arXiv] 2026-03-12 | From Pets to Robots: MojiKit as a Data-Informed Toolkit for Affective HRI Design
[arXiv] 2026-03-12 | Stay in your Lane: Role Specific Queries with Overlap Suppression Loss for Dense Video Captioning
