[2026-04-12 22:35:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-11
正在获取论文...
[ACM] 2026-4-11 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
[ACM] 2026-4-11 | Bakr: A 3D-Interactive App for Homemade Pastry Baking Step-by-Step Guides and Techniq
共写入 64 条记录，保存到 papers/paper2026-04-11.json。
论文获取成功，文件路径: papers/paper2026-04-11.json
正在筛选、翻译并发送邮件...
[NO] 1/64 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
[NO] 2/64 | Using Item Personality-Based Profiling in Music Recommender Systems
[NO] 3/64 | Stakeholder Value Criteria for Technical Debt Acquisition Decisions: An Empirical Analysis
[YES] 4/64 | Corrigendum: A data-centric chip design agent framework for Verilog code generation
[NO] 5/64 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[YES] 6/64 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[NO] 7/64 | Towards Least-Privilege WebAssembly Applications: Transparent Interposition for WebAssembly Components
[YES] 8/64 | A Tool for Transforming the Type of a Container in C++ Code
[NO] 9/64 | Code Layout Optimization Guided by Temporal Profiling Information
[NO] 10/64 | A Memory-Aware Sparse Matrix-Matrix Multiplication on Multicore Architectures
[NO] 11/64 | Liveness in the Age of Agents: Are We Back to Compile-and-Run Cycles?
[YES] 12/64 | Implementing DevSecOps: A Systematic Literature Review on Integrating Security into DevOps
[YES] 13/64 | PACGBI: A CI/CD Pipeline for LLM-assisted Code Generation of Web Front End
[NO] 14/64 | Machine Learning-Based Skin Lesion Classification with Feature Importance Analysis using SVM for Dermoscopy Images in the Philippines
[NO] 15/64 | Companion Proceedings of the 10th International Conference on the Art, Science, and Engineering of Programming
[NO] 16/64 | The Art, Science, and Craftsmanship of Typography (Keynote)
[NO] 17/64 | The Promise of Static Profiling: Exploring the Limits
[NO] 18/64 | Analyzing the 2024 U.S. Presidential Elections: BERT-based Sentiment Classification of Spoken Content in Video Data
[NO] 19/64 | A Systematic Literature Review on the Application of Scrum in Application Development
[NO] 20/64 | A Probabilistic Least Squares Estimation For NHPP-based Software Reliability Models with Time-domain Data
[NO] 21/64 | Traceability and Detect Forgery Platform of Digitally Important Educational Documents for Grade 6 Secondary Schools Case Study of the Northeastern Region, Thailand
[NO] 22/64 | Towards Transferring Text Comprehension Techniques to Program Comprehension
[NO] 23/64 | Mining Exception Rules from Eclipse and NetBeans Defect Dataset
[NO] 24/64 | Analyzing Interpretable Visual Control Policy Search and Synthesis
[NO] 25/64 | RVSM: Convolutional Block Attention Module for Robust Retinal Vessel Segmentation in Diabetic Retinopathy
[NO] 26/64 | PhysiCode Builder: A Framework for Rapid Prototyping of Tangible Programming Toolkits
[NO] 27/64 | <i>Vy</i>
                    ZX: Formal Verification of a Graphical Quantum Language
[NO] 28/64 | Simulating QR Code Scanner Phishing Attacks: Investigating Vulnerabilities in QR Scanning and Reading Mechanisms Leading to Cookie and Data Exposure in Organization Environment
[NO] 29/64 | Deep Sentiment Analysis on Online Learning Tweets Using CNN, LSTM
[YES] 30/64 | Code Clone Refactoring in C# with Lambda Expressions
[NO] 31/64 | Architecting A Behavior-Driven Test Automation Framework for CI/CD Environments
[NO] 32/64 | A Secured Cloud Integration Network Design and Fault Tolerant for file and Application Sharing in a Medium Size Business Environment
[NO] 33/64 | Authentic Teaching and Assessment: Simulation of an Off-Shoring Project with Geographically Distributed Teams
[NO] 34/64 | ContextualSHAP : Enhancing SHAP Explanations Through Contextual Language Generation
[NO] 35/64 | A Behavior-Centric Programming Framework for Drone Systems with Digital Twin Backends
[NO] 36/64 | Scrum for Safety-Critical Software Development
[NO] 37/64 | The Evolution of Agile and Hybrid Project Management Methodologies: A Systematic Literature Review
[NO] 38/64 | A Software Tool to Support Structured Object-Oriented Programming
[NO] 39/64 | OmniHands: Robust Motion Capture of Interactive Hands via A Versatile Transformer
[NO] 40/64 | CFAIR: A Cloud-Hosted Commerce System for Managing Fish Products Utilizing Hyperledger Fabric Blockchain for Data Governance
[YES] 41/64 | An Application of ChatGPT4o to Generate Requirement Definition Documents and Its Evaluation: An Industrial Case Study
[NO] 42/64 | A Systematic Literature Review of Workflow Efficiency in Software Development Through the Kanban Framework
[NO] 43/64 | An Empirical Study on Software Design Inspections - Effectiveness of Software Design Error Taxonomy
[NO] 44/64 | Strengthening Resilience in DriveCare: A Thorough Assessment of Security Posture
[YES] 45/64 | Past, Present, and Future of Bug Tracking in the Generative AI Era
[NO] 46/64 | Patterns and widgets for collaboration awareness in next-generation groupware
[NO] 47/64 | A Note on Software Reliability Modeling Based on Hawkes Processes with Gamma Type Base Intensity
[YES] 48/64 | Vexa: Automated Configuration-to-Code Generation for On-Demand State Management in Vue.js Applications
[NO] 49/64 | Exploratory Analysis of Audio Features for Dominant Feature Identification: A Multimodal Machine Learning Evaluation of Song Popularity Prediction Using Deep Neural Networks, Clustering, and Regression Models
[NO] 50/64 | Level of Satisfaction Among Users of the E-Gov Application ‘Sahel’
[NO] 51/64 | Cross-Process Error Detection in Industrial Screw Driving Operations Using Time Series Classification
[NO] 52/64 | Employee Performance when Implementing Agile Practices in an IT Workforce
[NO] 53/64 | Literate Exploratory Programming for Asynchronous Collaboration
[YES] 54/64 | Comparing Large Language Models and Traditional Clone Detection Tools for Intra- and Cross-Language Code Clone Detection
[NO] 55/64 | Solid Waste Detection with YOLOv9 Using Preprocessing Techniques and Experimental Evaluation, Improving Generalization to Real-World Data via a Data-Centric Preprocessing Pipeline
[NO] 56/64 | Implications of Self-Reported Attitudes Towards UML in Bachelor and Master Software Engineering Courses
[NO] 57/64 | Value Support in the qBeta Language
[NO] 58/64 | Make it PAWssible: a Client-Specific Dedicated Progressive Web Application for Whelps Animal Shelter
[NO] 59/64 | A Logical Foundation for Type-Safe Cross-Language Interoperability (Keynote)
[NO] 60/64 | LLM-based Formality Ranking of Candidate Translations
[NO] 61/64 | Simulating Phishing Attacks via Social Media: Assessing Student Vulnerabilities to Hidden Malicious Links Using Zphisher
[NO] 62/64 | Proceedings of the 2025 7th World Symposium on Software Engineering
[YES] 63/64 | From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation
[NO] 64/64 | Bakr: A 3D-Interactive App for Homemade Pastry Baking Step-by-Step Guides and Techniq
筛选完成：共 64 篇；Yes = 11 篇；已保存到 papers/select_paper2026-04-11.json。
邮件发送成功！
[2026-04-12 22:41:20] 任务执行成功！
