[2026-08-04 23:03:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608030000+TO+202608032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-3 | Closed-Loop Common Mode Current Mitigation for Transformerless Current-Source Soft Open Points
[IEEE] 2026-8-3 | Context-Aware Long-Range Transportation Flow Prediction for Supporting Urban Mobility Informatics
[IEEE] 2026-8-4 | A Gaussian Representation-Based Electrical Impedance Tomography Method for Tumor Imaging
[IEEE] 2026-8-4 | AI-based Automated Food Recognition and Pay-As-You-Eat Billing System
[IEEE] 2026-8-4 | A Multi-Scale BiLSTM-Transformer Model for Viewport Prediction in Volumetric Video
[IEEE] 2026-8-4 | ObliMIG: Enabling Data Migration on Oblivious Storage without Interruption
[IEEE] 2026-8-4 | MNEMOS: A GPU-Based TFHE Acceleration Framework with Memory Access Optimization
[IEEE] 2026-8-4 | Improved Ant Colony Optimization for Revolving Path Planning
[IEEE] 2026-8-4 | VIBEFACE - Video and Image Biometric Dataset for Evaluation of Faces
[IEEE] 2026-8-4 | Robust Semantic Communication: A Dimension Selective Fading Analysis and Repair Approach
[IEEE] 2026-8-3 | DHMNN: A Hypergraph Motif-Based Framework for Directed Hyperlink Prediction
[IEEE] 2026-8-4 | Cross-Sample Relational Fusion: Unifying Domain Generalization and Class-Incremental Learning
[IEEE] 2026-8-4 | Multi-Frequency Impedance Measurement for Equivalent Parameter Identification in Through-Metal IPT Systems
[IEEE] 2026-8-4 | Finite-Time Adaptive Distributed Nash Equilibrium Seeking for Networked Games With Partial-Decision Information
[IEEE] 2026-8-3 | Payload Technologies for Mountain Search-and-Rescue UAVs: A Review
[IEEE] 2026-8-4 | Retraction Notice: A Co-Processor FPGA based - Numerical Relay – Reconfigurable Method
[IEEE] 2026-8-4 | Physically Consistent SINDy (Sparse Identification of Nonlinear Dynamics) for Microgrid Identification and Real-Time Frequency Control
[IEEE] 2026-8-4 | IEEE Computer Graphics and Applications
[IEEE] 2026-8-4 | Retraction Notice: An Ensemble based Machine Learning Approach for Traffic Prediction in Smart City
[IEEE] 2026-8-4 | Trustworthy Machine Learning: The Clash Among the Right to Be Forgotten, Inspectable Models, and Utility
[IEEE] 2026-8-4 | Candidates for 2027 IEEE Computer Society Officers and Board of Governors Positions
[IEEE] 2026-8-3 | Handwriting Analysis in Early-Dementia Screening: Experimental Design and Diagnostic Potential – A Comprehensive Review
[IEEE] 2026-8-4 | Control and Protection of Unified Power Quality Conditioners: A Review
[IEEE] 2026-8-4 | Reusing Multimodal Agents: Efficient Evaluation of Sound Designs in Games_supp1-3716328.pdf
[IEEE] 2026-8-3 | Debiasing Temporal Sentence Grounding via Semantic-Aware Multimodal Query Reconstruction
[IEEE] 2026-8-3 | IG-RFT: An Interaction-Guided RL Framework for VLA Models in Long-Horizon Robotic Manipulation
[IEEE] 2026-8-4 | IEEE Journal on Flexible Electronics Call for Papers: Special Issue on Selected Papers from the IEEE International Conference on Flexible, Printable, Sensors and Systems (FLEPS 2026)
[IEEE] 2026-8-3 | Reversible Data Hiding Based on Matrix Embedding and Adaptive Multiple Histograms Modification
[IEEE] 2026-8-3 | LLM-Based Code Documentation Generation and Multi-Judge Evaluation
[IEEE] 2026-8-3 | Integrated Real-Time Voltage Disturbance Monitoring for Modular Multilevel Converters Based on a Two-Layer Collaborative Architecture
[IEEE] 2026-8-3 | Hierarchical Clustering Based on Sequential Preference Stability
[IEEE] 2026-8-3 | Fuzzy Admission Control Using Non-Intrusive QoS Inference for Resource-Constrained Environments
[IEEE] 2026-8-3 | A Spectral Inverted Residual Transformer for Photovoltaic Power Prediction
[IEEE] 2026-8-3 | The Impact of Artificial Intelligence on Firm Performance: Evidence from Chinese Manufacturing Firms
[IEEE] 2026-8-3 | Research on Balance Risk Identification and Scenario Construction of New Power Systems Based on Multisource Data Coupling
[IEEE] 2026-8-3 | Secure Control of Networked Control Systems Based on Multiplicative Watermarking-Based Detection and Data Compensation
[IEEE] 2026-8-3 | Author Index
[IEEE] 2026-8-3 | PC-Transformer: Prediction-Correction Transformer for Accurate GNSS Positioning on Android Smartphones
[IEEE] 2026-8-3 | IEEE Transactions on Intelligent Transportation Systems Information for Authors
[IEEE] 2026-8-3 | Robust Graph Federated Learning Against Noisy Labels: A Semantics-Enhanced and Structure-Guided Approach
[IEEE] 2026-8-3 | A Fully-Integrated Gear-Train Hybrid DC-DC Converter for Li-Ion-Powered Edge Systems
[IEEE] 2026-8-3 | Behavioral and Mechanistic Analysis of Lightweight INT8 Multilayer Perceptrons on Rare Classes for IIoT Intrusion Detection_supp2-3719067.pdf
