[2026-05-18 23:01:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-17
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605170000+TO+202605172359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 503 error responses'))
[ACM] 2026-5-18 | Measuring the Compliance Costs of Exchanging Part 2 Healthcare Claims Data Through Blockchain
[IEEE] 2026-5-18 | Hybrid CNN-LSTM Edge Computing Framework for Intelligent Aquarium Health Management
[IEEE] 2026-5-18 | Towards Zero Backflow: A Low-Power Device for Automated IV Infusion Monitoring and Auto-Stop Mechanism
[IEEE] 2026-5-18 | Beamforming Reflective Metasurfaces Supporting Polarization Control
[IEEE] 2026-5-18 | Sensitivity Analysis for Antenna Devices through Interval Arithmetic - A Generalized Approach
[IEEE] 2026-5-18 | Detecting Data Poisoning Attack in Federated Learning Healthcare System
[IEEE] 2026-5-18 | Measuring Linear Array Mutual Coupling Terms and Element Positions from Embedded Element Patterns
[IEEE] 2026-5-18 | Deep Learning-Based Signal Disentanglement for Surface Acoustic Wave Passive Wireless Sensing Under Strong Interference
[IEEE] 2026-5-18 | Adaptive Frequency-Guided Fusion Mamba with Dynamic Cross-Modal Attention for Robust Infrared-Visible Object Detection
[IEEE] 2026-5-18 | Manufacturing and testing of electrospun nanofiber-enhanced mask textiles
[IEEE] 2026-5-18 | Enhancing Fetal Health Prediction Through Feature Reduction and Ensemble Learning
[IEEE] 2026-5-18 | RUBCA: Detecting Anxiety Levels in Arabic Tweets Using a Rule Based Classification Approach
[IEEE] 2026-5-18 | DriveAware: Multimodal Wearable Sensing–Based Machine Learning Approaches to Detect Driver Distraction
[IEEE] 2026-5-18 | Enhancing Multimodal Recommender System Performance Using Large Language Models
[IEEE] 2026-5-18 | Simulation-Based Evaluation of Underwater Sensor Network Performance Using DBR and Broadcast MAC in Shallow and Deep Sea Scenarios
[IEEE] 2026-5-18 | Graph Neural Network-Based Regional Analysis of EEG During Imagined Swallowing: Identifying Cortical Contributions
[IEEE] 2026-5-18 | Mapping Forest Fire Risks Using Deep Learning: A Case Study in An Giang Province, Vietnam
[IEEE] 2026-5-18 | Edge-Enabled Autonomous Drone Navigation for IoT Data Gathering: A Hybrid Deep RL-GNN Framework with Energy-Aware Path Planning
[IEEE] 2026-5-18 | Dynamic Energy-Aware Power Allocation for Life-time Maximization in UAV Networks
[ACM] 2026-5-18 | Adaptive Outlier Detection over Data Stream
[ACM] 2026-5-18 | Concurrent Path-Copying Update to Tree Structures
[ACM] 2026-5-18 | SPALM: A Sparsity-Pattern-Adaptive Library for Matrices
[IEEE] 2026-5-18 | Cyclic Interference Alignment with Equal-Length Messages for Two-User X Channels with Non-Integer Propagation Delays
[ACM] 2026-5-18 | FastGNAS: Accelerating and Scaling Graph Neural Architecture Search on Multi-GPUs via Ring-Based Model Migration
[ACM] 2026-5-18 | Differentially Oblivious Multi-way Join
[ACM] 2026-5-18 | Beyond Maximum Common Subgraph: A Framework Maximizing Shared Computation for Multi-Query Subgraph Matching
[ACM] 2026-5-18 | O3-LSM: Maximizing Disaggregated LSM Write Performance via Three-Layer Offloading
[IEEE] 2026-5-18 | Energy-Entropy Based Intelligence Factor for Artificial Neural Networks
[IEEE] 2026-5-18 | Volume Encoding Gaussians: Transfer Function-Agnostic 3D Gaussians for Volume Rendering
[IEEE] 2026-5-18 | ENAS-CoAtNet: Neural Architecture Search for sEMG-Based Fatigue Detection with Convolution Attention Networks
[IEEE] 2026-5-18 | PVAdoptAgent: Simulating Residential Photovoltaic Adoption via an LLM Framework with Dynamic Decision Intervals
[IEEE] 2026-5-18 | Integrating Large Models with RAG Technology: An Applied Research on Enterprise Intelligent Q&amp;A Assistants
[IEEE] 2026-5-18 | Benchmarking Open-Loop Central Pattern Generator Controllers for Lower-Limb Exoskeleton Walking Trajectories
[IEEE] 2026-5-18 | Automated Binary Code Analysis Technology Enhanced by Variable Knowledge Graph
[IEEE] 2026-5-18 | Agent Evolution: Capability-Mechanism Co-evolution
[IEEE] 2026-5-18 | Random Forest Driven Dietary Habit Analysis and Preventive Health Prediction for Intelligent Nutrition Management
[IEEE] 2026-5-18 | TechRxiv: Share Your Preprint Research With the World!
[IEEE] 2026-5-18 | Lightweight Encryption and Cross-Domain Collaborative Security Management Technologies for Low-Altitude Intelligent Networks
[IEEE] 2026-5-18 | A Unified Semantic Space-Based Backend Frame-work for Speech Spoofing Detection
[IEEE] 2026-5-18 | End-To-End Imitation Learning for Socially Aware Navigation using Memory-based Trajectory and Action Planning
[IEEE] 2026-5-18 | FORM-IDS: A Lightweight yet High-Fidelity Intrusion Detection Framework via Formal Verification and Knowledge Distillation
[IEEE] 2026-5-18 | Imitation-Pretrained Q-Guided Diffusion Policy for Sample-Efficient Autonomous Driving
[IEEE] 2026-5-18 | High-density, Identified Cell Recordings from Motor Cortex of Awake Behaving Macaques using Multiple 1024-channel CMOS Probes
[IEEE] 2026-5-18 | Semi Circular Crown Shaped UWB Antenna
[IEEE] 2026-5-18 | Dynamic Grounding Coordination for Sim-to-Real Transfer in Multi-Agent Traffic Control
[IEEE] 2026-5-18 | A Resilient Machine Learning Framework for Adversarially Robust Intrusion Detection in IoT Environments
[IEEE] 2026-5-18 | Plant Disease and Pest Detection: A Lightweight Deep Learning Framework for Agricultural Diagnostics
[IEEE] 2026-5-18 | Probabilistic Modeling of Human Driver’s Natural Behavior Distribution: An Ensemble Learning and GMM Framework for Car-Following Model
[IEEE] 2026-5-18 | Attenuation Correction for Flexible MR Hardware in PET/MR Using MLAA-Guided Template Registration
[IEEE] 2026-5-18 | TES Bolometer Design and Testing for the Tomographic Ionized-carbon Mapping Experiment Millimeter Array
[IEEE] 2026-5-18 | Hybrid Adversarial Retraining Approach For A Proactive Network Intrusion Detection System
[ACM] 2026-5-18 | Proceedings of the 2026 IEEE/ACM 2nd International Workshop on Neuro-Symbolic Software Engineering
[ACM] 2026-5-18 | HeteroFedSyn: Differentially Private Tabular Data Synthesis for Heterogeneous Federated Settings
[ACM] 2026-5-18 | LINE: A Learned Index with Group-Enhanced Leaves and Cache-Optimized Inner Tree
[ACM] 2026-5-18 | 100x Cost &amp; Latency Reduction: Performance Analysis of AI Query Approximation using Lightweight Proxy Models: [Experiments &amp; Analysis]
[ACM] 2026-5-18 | Loom: Weaving PCS-Preserving and Searchable Cloud Backups for Secure Messaging
[ACM] 2026-5-18 | Generalized Entity Matching with Adaptivity via Large Language Models
[ACM] 2026-5-18 | Constrained Shortest Path Finding on Terrain Surfaces
[ACM] 2026-5-18 | AlignedServe: Orchestrating Prefix-aware Batching to Build a High-throughput and Computing-efficient LLM Serving System
[IEEE] 2026-5-18 | Introducing IEEE Collabratec
[IEEE] 2026-5-18 | A Random PWM Technique to Reduce Switching Frequency Harmonics for Induction Motor Drives
[IEEE] 2026-5-18 | Multi-Objective Neural Architecture Search for Cognitive Diagnosis: Balancing Accuracy and Interpretability With Probabilistic Models
[IEEE] 2026-5-18 | GNSS Induced Spoofing Detection Based on the Sum of Carrier Phases of Early and Late Branches
[IEEE] 2026-5-18 | DRL-Driven Robust Topology Control and Flow Scheduling for SDN-Enabled Underwater Acoustic Sensor Networks
[IEEE] 2026-5-18 | Multi-Port Segmented Event-Triggered Control for USV-UAV Cooperative System: A VO-driven Dynamic Cross-Bridge Strategy
[IEEE] 2026-5-18 | An FPGA-Calibrated Modulo ADC for High-Dynamic-Range Signal Acquisition
[IEEE] 2026-5-18 | Ferroelectric/Dielectric Spacer Engineering in Negative capacitance MoS
                    <sub>2</sub>
                    FinFETs: An Insight into Digital, Analog/RF and Circuit Applications
[IEEE] 2026-5-18 | Discrete Fuzzy Approximation-Based Sliding Mode Current Control for Torque Ripple Suppression in Switched Reluctance Motors
[IEEE] 2026-5-18 | Diverse Style Prompt Assistant for Generalized Remote Sensing Object Classification_supp1-3693680.pdf
[IEEE] 2026-5-18 | TechRxiv: Share Your Preprint Research With the World!
[IEEE] 2026-5-18 | A Neuromorphic Approach to DDoS Detection: Hardware Accelerator for Integer-Quantized Spiking Neural Networks
[IEEE] 2026-5-18 | Evolution of Layer1/Layer2-Triggered Mobility in 5G-Advanced: From Release 18 Foundation to Release 19 Enhancements and Beyond
[IEEE] 2026-5-18 | A Stochastic Game-Theoretic Framework for Robust Ventilator Safety: The Trust Gate Mechanism and Life Confidence Score (RLCS)
[IEEE] 2026-5-18 | Optimizing Electric Vehicle Charging Load Forecasting via Ensemble of Diffusion Models
[IEEE] 2026-5-18 | Empirical Study of Polycystic Ovary Syndrome Detection based on Ultrasound Images using Deep Learning
[IEEE] 2026-5-18 | Timing Yield-Driven Clock Skew Scheduling Based on Hybrid Distributions
[IEEE] 2026-5-18 | FPGA-Accelerated Spatiotemporal Graph Neural Networks for Dynamic Terahertz Beam Steering
[IEEE] 2026-5-18 | Electricity Theft Detection using GA-Optimized Random Forest
[IEEE] 2026-5-18 | STAR-RIS–Assisted UAV Communications for Dynamic Spectrum Sharing in NOMA Under Imperfect SIC: Enabling Cognitive Radio Networks
[IEEE] 2026-5-18 | An Efficient and Verifiable Multi-Keyword Search Scheme with Forward Security
[IEEE] 2026-5-18 | EAG-SR: Entity Association-Guided Self-Reflection for Document-Level Enterprise Relation Extraction
[IEEE] 2026-5-18 | Smart Indicator Turn Off System for Forgotten Appliances
[IEEE] 2026-5-18 | Table of Content
[IEEE] 2026-5-18 | DiffTKGR: Dual-Branch Conditional Diffusion for Temporal Knowledge Graph Reasoning
[IEEE] 2026-5-18 | Smart Agricultural Hub: Intelligent Decision Supporting AI Multilingual Farmer Interface
[IEEE] 2026-5-18 | A Novel Surrogate Modeling Framework Based on Fast Time-Domain Simulation and Transfer Learning for Signal Integrity Analysis
[IEEE] 2026-5-18 | From Activation to Semantics: Explaining Neurons through Their Contributions to Model Outputs
[IEEE] 2026-5-18 | Robust Pitch Control for Floating Offshore Wind Turbines Using LLF-Based Aerodynamic Modeling and Nonsingular Terminal Sliding Mode With Prescribed Performance
[IEEE] 2026-5-18 | A Microcontroller-based Intelligent Shopping Cart with Automated Navigation and Real-Time Billing
[ACM] 2026-5-18 | Maximal Biclique Enumeration with Improved Worst-Case Time Complexity Guarantee: A Partition-Oriented Strategy
[ACM] 2026-5-18 | PACMMOD V4, N3 (SIGMOD), June 2026 Editorial
[ACM] 2026-5-18 | Efficient Index Layout and Search Strategy for Large-scale High-dimensional Vector Similarity Search
[IEEE] 2026-5-18 | ICSEDIS 2026 Author Index
[IEEE] 2026-5-18 | LightARM-Net: Accelerating Sparse-Attention Tabular Model for Android Malware Detection
[IEEE] 2026-5-18 | Enhanced Iris Recognition Framework using Hybrid Cosine and Hamming Similarity Measures
[IEEE] 2026-5-18 | FSM based I2C Communication Protocol for Reducing CPU Overhead
[IEEE] 2026-5-18 | Responsible Integration of Generative AI in Software Engineering Education
[IEEE] 2026-5-18 | GAIIS 2026 Author Information Page
[IEEE] 2026-5-18 | Theory-Guided Modeling for Network Performance Prediction
[IEEE] 2026-5-18 | Performance and Efficiency Trade-Off Analysis of Modern CNN Architectures for Automated Stem Cell Colony Quality Assessment_supp1-3692455.pdf
[IEEE] 2026-5-18 | Federated Learning with Enhanced Privacy via Model Splitting and Random Client Participation
[IEEE] 2026-5-18 | End-to-End Vectorized HD Map Construction Based on Graph Structure Modeling and Graph Transformer Optimization
[IEEE] 2026-5-18 | Cooperative Edge Caching with Large Language Model in Wireless Networks_supp1-3687739.pdf
[IEEE] 2026-5-18 | High-Gain End-Fire Antenna Based on Slow-Wave Substrate-Integrated Waveguide Loading
[IEEE] 2026-5-18 | Reinforcement Learning based Energy Management Strategy for Hybrid Renewable Micro Grid with EV Integration
[IEEE] 2026-5-18 | An Intelligent Machine Learning Approach for Wind Turbine Fault Detection
[IEEE] 2026-5-18 | An Intelligent Distributed Base Station Deployment Strategy for Low-Altitude UAV Sensing
[IEEE] 2026-5-18 | Distributed CPS-Based Predefined-Time Control of Large-Scale Plug-and-Play Inverter Air Conditioner Clusters for Demand Response
[IEEE] 2026-5-18 | HFAVL: Hard-label Fusion Attack toward Vision-language Model
[IEEE] 2026-5-18 | P-Channel Tri-gate Nanowire InGaN/GaN/AlN/InAlGaN MOS-HFET for Power Switching Applications
[IEEE] 2026-5-18 | Megahertz Soft-Switching Wireless Power Transfer for Capsule Robots Under Dynamic Position and Orientation Variations_supp2-3693630.avi
[IEEE] 2026-5-18 | 3D-Printed Folded Transmitarray with Gain-Filtering Response and Low Cross-Polarization
[IEEE] 2026-5-18 | Path Loss Prediction for Maritime Tropospheric Scatter Based on CNN-MLP
[IEEE] 2026-5-18 | Enhanced Encrypted IoT Malicious Traffic Detection via Adaptive Fusion and Focal Loss: An Improved Heterogeneous Graph Approach
[IEEE] 2026-5-18 | A Single-Tail CMOS Comparator for High-Speed and Low-Power Data Conversion
[IEEE] 2026-5-18 | Controllable Echocardiography Video Generation for Safe Medical Data Sharing
[IEEE] 2026-5-18 | Improving Fairness in Airline Integrated Crew Scheduling - Colleague Familiarity and Team Experience Distribution Considerations
[IEEE] 2026-5-18 | Proactive Traffic Surge Forecasting for Student Result Portals using LSTM Networks
[IEEE] 2026-5-18 | AI-Powered Multimodal Human Detection System Combining YOLOv11 and Terrain Data in Search and Rescue Operations
[IEEE] 2026-5-18 | SPCL: Semantic Prototype Contrastive Learning for Incomplete Multimodal Sentiment Analysis
[IEEE] 2026-5-18 | MA-STGNN: Monsoon-Aware Spatiotemporal Graph Neural Networks with Hybrid Attention for Groundwater Forecasting in India
[IEEE] 2026-5-18 | Energy Efficiency and Carbon Reduction Potential of HTTP Caching in ICT-enabled Critical Infrastructure
[IEEE] 2026-5-18 | An analytical model for flexible capacitive pressure sensors with hemispherical microstructure-based dielectric layer of high sensing performance_supp1-3691819.docx
[IEEE] 2026-5-18 | Communication-Free CC/CV Phase Shift Control for SS-Compensated WPT System under Misalignment via Reflected Impedance Decoupling
[IEEE] 2026-5-18 | TSGNAS: A Topology- and Semantic-Guided Graph Neural Network Architecture Searcher_supp1-3692360.pdf
[IEEE] 2026-5-18 | A Two-Tier Stacking Ensemble Approach for Noise-Resilient Fitness Classification
[IEEE] 2026-5-18 | Cross-Scenario Multi-Type Fault Diagnosis for Lithium-Ion Batteries via Deep Transfer Learning
[IEEE] 2026-5-18 | KEditVis: A Visual Analytics System for Knowledge Editing of Large Language Models
[IEEE] 2026-5-18 | Upper and Lower-Limb Motor Decoding for Adaptive and Generalized Neural Rehabilitation_supp1-3694007.pdf
[IEEE] 2026-5-18 | A Dual-Modal Dual-Fusion Framework for UAV Classification Using Multistatic RCS Sequences
[IEEE] 2026-5-18 | Data-efficient Cross-domain Few-shot Website Fingerprinting with Unsupervised Domain Adaptation
[IEEE] 2026-5-18 | Protecting Solid-State Transformers: Insights Into Mechanisms in Smart and Future Electrified Grids
[IEEE] 2026-5-18 | Generalized Discrete-Time Equivalent Circuit Modeling of Mutual Inductance
[IEEE] 2026-5-18 | FocusED: An NLP-Driven Personalized and Affective-Aware Learning Framework for Neurodivergent Students
[IEEE] 2026-5-18 | AocSeg: Adaptive Obfuscated Contrast for Semi-supervised Semantic Segmentation Method for Unmanned Vehicles
[IEEE] 2026-5-18 | Context-Aware Filtering of PolSAR Data Based on Quaternion Wavelet Shrinkage
[IEEE] 2026-5-18 | An IoT-Driven Intelligent Drainage Safety System using Federated Machine Learning for Real-Time Gas and Blockage Prediction
[IEEE] 2026-5-18 | Auditing Hallucination in Lightweight Vision-Language Models for Radiology Captioning
[IEEE] 2026-5-18 | Applications of Intelligent Image Recognition Technology in Modern Security Inspection and the Evolution of Screening Equipment
[IEEE] 2026-5-18 | A Dual-Stage Convolutional Framework for Pancreatic Tumor Detection and Classification on Pancreas CT Images
[IEEE] 2026-5-18 | EnsembleShield-DM: Interpretable, Shift-Robust Ensemble Learning for Type 2 Diabetes Prediction Across Multi-Regional Cohorts
[ACM] 2026-5-18 | Zeno Filter: To Infinity in Tiny Steps
[IEEE] 2026-5-18 | Review for "A Random Forest-based Approach for Estimating Full-band Solar-induced Chlorophyll Fluorescence from Photosystem II in Crops"
[ACM] 2026-5-18 | Fiber-level Woven Fabric Capture from a Single Microscopic Image
[ACM] 2026-5-18 | FaaSBoard: Efficient Graph Processing with a Disaggregated Architecture on Serverless Services
[IEEE] 2026-5-18 | Application and Evaluation of a Multi-Model Assisted Human-Review Workflow for Disaster Image Annotation
[IEEE] 2026-5-18 | Blockchain-Enabled Secure Transaction Architecture for Fraud Detection and Risk Management in Financial Institutions
[IEEE] 2026-5-18 | A New Approach for Coupling Absorbers to Magnetic Microcalorimeters
[IEEE] 2026-5-18 | DiCLIP: Diffusion Model Enhances CLIP&amp;#x2019;s Dense Knowledge for Weakly Supervised Semantic Segmentation_supp1-3692055.pdf
[IEEE] 2026-5-18 | A Novel Deep Learning Approaches for Brain Stroke Detection System on CT Images
[IEEE] 2026-5-18 | Transient Detection on EAF Current Signals Sampled at Low Rates via Statistical Analysis
[IEEE] 2026-5-18 | 2025 IEEE Ocean Engineering Technology and Innovation Conference: Management and Conservation for Sustainable and Resilient Marine and Coastal Resources (OETIC)
[IEEE] 2026-5-18 | Residual Deformable Attention Framework with Detection Transformer for Early and Accurate Skin Cancer Detection from Dermoscopic Images
[IEEE] 2026-5-18 | Enhancing Network Security with Software-Defined Networking
[IEEE] 2026-5-18 | TcNc: Token comparison and noise correction for Weakly-Supervised Semantic Segmentation
[IEEE] 2026-5-18 | Real-Time Navigation Assistant for Visually Impaired People using YOLOv8 and Voice Alerts
[IEEE] 2026-5-18 | Edge-Aware Unified Retinex Architecture for Adaptive Low-Light Enhancement of Images and Videos Across Diverse Domains in Real-Time
[IEEE] 2026-5-18 | NAVIGATE: Multi-Agent Graph-Based Vulnerability Detection with Adversarial Severity Assessment
[IEEE] 2026-5-18 | PDO-SFCM: Prediction-Driven Orchestration for SFC Migration in SAGIN via Fine-Tuned Large Time-Series Model and DRL
[IEEE] 2026-5-18 | Magnetic Field Reconstruction and Internal Current Inversion of GIS via Physics-Informed Deep Operator Network
[IEEE] 2026-5-18 | How Software Engineers Engage with AI: A Pragmatic Workflow
[IEEE] 2026-5-18 | RAG-Augmented Explainable Early Warning System for Acute Kidney Injury in the ICU: A KDIGO-Aligned XGBoost Pipeline with SHAP-Driven Evidence Retrieval on MIMIC-IV
[IEEE] 2026-5-18 | Priority Aware Q-Learning for Multi Objective Task Scheduling in Cloud Computing
[IEEE] 2026-5-18 | U-Sleep-RBD-KAN: Joint Sleep Staging and REM Behavior Disorder Detection with Interpretable Nonlinear Learning
[IEEE] 2026-5-18 | Brain-Controlled Target Speech Extraction Based on Disentanglement and Progressive Dual-Modal Fusion
