[2026-09-01 23:49:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-31
正在获取论文...
[arXiv] 2026-08-31 | MURANO: Design, Run, and Reproduce Mechanistic Interpretability Experiments as Composable Pipelines
[arXiv] 2026-08-31 | Lie to Me: Finding Bugs in ZK DSL Toolchains with Adversarial Witness Injection
[arXiv] 2026-08-31 | Beyond Ranking Accuracy: Evaluating LLM-Cited Feature Rationales for Next Basket Repurchase Recommendation
[arXiv] 2026-08-31 | At most exponential growth of periodic orbits for star flows
[arXiv] 2026-08-31 | Supraglacial Lake Fate Is Knowable Long Before the Season Ends
[arXiv] 2026-08-31 | Dense Clinical Contrasts Enhance Medical Knowledge Updating in Large Language Models
[arXiv] 2026-08-31 | Why Are LLM Backdoor Defenses Fragmented? A Feature-Level Explanation with Sparse Autoencoders
[arXiv] 2026-08-31 | Scaffolding Foundation Models into Physical-World Agents Pushes the Frontier of Long-Horizon Navigation
[arXiv] 2026-08-31 | DASC: Decay-Aware State Compression for Hybrid Linear-Attention Serving
[arXiv] 2026-08-31 | Optimal Transport of an Anisotropic Tracer in Dense Active Suspensions
[arXiv] 2026-08-31 | Beyond Consensus: Downward Bias and Role Asymmetry in Multi-Agent LLM Judges for Subjective Evaluation
[arXiv] 2026-08-31 | Auditing MCQA Benchmarks through Probability Landscapes
[arXiv] 2026-08-31 | MCSeg: Pre-training and Fine-tuning Volumetric Pyramid Transformer for Multi-modal Cardiac Image Segmentation
[arXiv] 2026-08-31 | Marginal spectral distributions on regular bipartite unitary orbits
[arXiv] 2026-08-31 | Augmenting Human Performance with an XR Agent Learning from Online Behavior and BCI Evidence
[arXiv] 2026-08-31 | Beat-Synchronous Tokenization for ECG Transformers
[arXiv] 2026-08-31 | Arctic Dispersion Interruption Phenomenon and Sound Source Depth Estimation
[arXiv] 2026-08-31 | Mean convergence for Banach space-valued random elements indexed in measure spaces
[arXiv] 2026-08-31 | Maximal anti-Ramsey problems for posets
[arXiv] 2026-08-31 | Do Small Models Use the Law You Give Them? Measuring Context Use on a Bilingual Bangladesh Legal Benchmark
[arXiv] 2026-08-31 | Ignorance or Incompetence? Constructing Knowledge-Gated, Verifiable Tasks for LLM Agents
[arXiv] 2026-08-31 | Online Estimation of Dynamic Origin-Destination Matrices Using Reinforcement Learning with Link-Flow Propagation Guidance
[arXiv] 2026-08-31 | Update from Hell: Can Coding Agents Survive Hidden Breakage in Dependency Upgrades?
[arXiv] 2026-08-31 | Covariant formula for the driving force for interface migration
[arXiv] 2026-08-31 | From multi-layered problems to multiple two-layered problems: a novel frequency-time hybrid multiple-scattering integral equation solver
[arXiv] 2026-08-31 | Unfolding Overlaps of the Exceptional Regular Polytopes
[arXiv] 2026-08-31 | Motion-Saliency Complementary Masked Modeling for Point Cloud Video Understanding
[arXiv] 2026-08-31 | Parameter-Robust Subspace Correction with Multiple Semidefinite Penalties
[arXiv] 2026-08-31 | Centering before Pruning: Lightweight Geometry Correction for Diversity-Based Visual Token Pruning in LVLMs
[arXiv] 2026-08-31 | SetMIR: Multi-Interest Retrieval as Set Prediction
[arXiv] 2026-08-31 | Generating Workflow DAGs from Natural Language with Non-Reasoning LLMs
[arXiv] 2026-08-31 | "More Is Different'' in Neural Circuits: Algebraic Emergence of Effective Theories in Canonical Recurrent Motifs of Biological Neuronal Networks
[arXiv] 2026-08-31 | Rethinking the Test-Time Prompt Tuning Objective from the Perspective of Calibration
[arXiv] 2026-08-31 | Redefining Stablecoins from Nominal to Real Value: A Maximum Likelihood Approach
[arXiv] 2026-08-31 | Contrast-Free Autonomous Navigation of Untethered Endovascular Microrobots Using Single-Plane Fluoroscopy
[arXiv] 2026-08-31 | Does the Power-Law Advantage in the Tails Outweigh the Global q-Gaussian Description?
[arXiv] 2026-08-31 | Control of Decommissioned Satellites and Space Debris Using CubeSats with Ion Electrospray Engines
[arXiv] 2026-08-31 | DICS: Exploring Data Intrinsic Consistency for Visual Instruction Selection
[arXiv] 2026-08-31 | ReLViC: Loss-Resilient Learned Video Coding with Dispersed Packetization and Controllable Packet Dependencies
[arXiv] 2026-08-31 | OB stars identified in LAMOST Data Release 10
[arXiv] 2026-08-31 | ConCA: Concentration-Aware Channel Attention for Fine-Grained Visual Recognition
[arXiv] 2026-08-31 | A.X K2 Technical Report
[arXiv] 2026-08-31 | Jensen' s trace inequality with equality condition and noncommutative Lamperti's theorem
[arXiv] 2026-08-31 | Trade-off between Cooling-Step Count and Geometric Implementation Cost in Non-Markovian Algorithmic Cooling
[arXiv] 2026-08-31 | Slysh haloes: the waste heat of cold computing as a submillimetre technosignature
[arXiv] 2026-08-31 | Local Private Information Retrieval for Graph-Based Replicated Systems
[arXiv] 2026-08-31 | Integrated Microwave Photonics: From Material Platforms to Systems-on-Chip
[arXiv] 2026-08-31 | Microwave-Induced Optomagnetism in High-Temperature Superconductors
[arXiv] 2026-08-31 | Bounded gaps between primes
[arXiv] 2026-08-31 | Development and characterization of a wingless ICPC HPGe detector with thin amorphous-Ge contacts
[arXiv] 2026-08-31 | Static-Field Shielding of Bosonic Molecules: Evaporation to Degeneracy and Self-Bound Droplets
[arXiv] 2026-08-31 | BLARM: Animating 3D Objects from Video via Blending Latent Rigid Motion Primitives
[arXiv] 2026-08-31 | Interpolation Conditions for Instant Data Consistency with Port-Hamiltonian Structure
[arXiv] 2026-08-31 | Properties of the $\mathcal V$-Monoid of Weighted Leavitt Path Algebras
[arXiv] 2026-08-31 | A remark on polycyclic groups of birational automorphisms
[arXiv] 2026-08-31 | Moments of Random Coefficients in Short Panels
[arXiv] 2026-08-31 | Morita equivalent blocks with an endotrivial source that are not globally isotypic
[arXiv] 2026-08-31 | A Tool for Reconstructing Transit Vehicle Trajectories: A Case Study at IndyGo
[arXiv] 2026-08-31 | Global smooth solutions to the inhomogeneous Landau-Fermi-Dirac equation
[arXiv] 2026-08-31 | A Model with No Head and Many Thoughts
[arXiv] 2026-08-31 | Wrong Prediction, Right Answer: Recovering Evidence from Collapsed LLM Sequence Scores
[arXiv] 2026-08-31 | Brauer character degrees and nilpotent subgroups
[arXiv] 2026-08-31 | Bekenstein--Hod Bound: A $3.3σ$ Confirmation from GW250114
[arXiv] 2026-08-31 | When Does Predictor-Based RL Align with Human Perception? A Study of Subjective Rewards in Codec-Based Speech Language Models
[arXiv] 2026-08-31 | The Auger Radio Infill SKALA Extension (ARISE): Science Case and Instrumentation (ARENA 2026)
[arXiv] 2026-08-31 | First-principles determination of anomaly-induced pion decay beyond the chiral limit
[arXiv] 2026-08-31 | MNIST-PRO: MNIST is Back as a Partially Observable World for AI Agents
[arXiv] 2026-08-31 | Semi-Autonomous Prosthesis Control Empowered by 5G and Mobile Edge Computing
[arXiv] 2026-08-31 | A MOF-reinforced self-foaming sponge for mechanically robust triboelectric membranes with improved resistance to humidity
[arXiv] 2026-08-31 | Evidence-Bounded Mental Health Reasoning from Heterogeneous Speech Protocols
[arXiv] 2026-08-31 | DARP: A Calibrated Dual-Arm RGB-D-IR Dataset for Multi-View Robotic Perception
[arXiv] 2026-08-31 | The Mysteries of Plato's Parmenides Dispersed: From musical intervals to contacts/"hapseis" to "logoi"
[arXiv] 2026-08-31 | Convergence of symmetries: nilpotency, dimension, and perfectness
[arXiv] 2026-08-31 | Evaluating and Improving LLM Self-Modeling
[arXiv] 2026-08-31 | Öpik-type collision frequency for Kozai-driven projectiles: Target bodies on eccentric and inclined orbits
[arXiv] 2026-08-31 | On a pointwise estimate for a weighted rough singular integral operator in stratified Lie groups and applications
[arXiv] 2026-08-31 | SCI-D$^2$NN: An Optimization Framework for OAM-Multiplexed FSO Communications
[arXiv] 2026-08-31 | Taking the Whys Seriously: Limitations of Counterfactual Explanations in Justification and Recourse
[arXiv] 2026-08-31 | Interfacial Spin-to-Charge Conversion in Sputtered MoTe2 Heterostructures Probed by Spin Pumping and Spin-Torque Ferromagnetic Resonance
[arXiv] 2026-08-31 | Breaking the Exponential Barrier: The First Polynomial-Time Algorithm for the Győri-Lovász Theorem
[arXiv] 2026-08-31 | Subconvexity of Short $k$-Free Exponential Sums in $\mathbb{F}_q[t]$
[arXiv] 2026-08-31 | LightNav-0: Eliciting VLM Spatial Intelligence for Generalist Embodied Navigation
[arXiv] 2026-08-31 | TRIPPULSE: Multi-Agent Travel Planning with Review-Grounded Reasoning
[arXiv] 2026-08-31 | Learning rules for complex-valued patterns in networks of oscillators
[arXiv] 2026-08-31 | Computational free will as global selection: from sheaf-theoretic gluing to a conditional separation of P and NP
[arXiv] 2026-08-31 | Fine structure of the M-center in Si
[arXiv] 2026-08-31 | Model reduction of port-Hamiltonian systems via neural networks
[arXiv] 2026-08-31 | Gravitational-Wave Echoes from Layered Compact Objects: A Double-Shell Model
[arXiv] 2026-08-31 | Kashiwara--Nakashima tableaux, Gelfand--Tsetlin patterns, and quantum symmetric pairs
[arXiv] 2026-08-31 | Reciprocity Separates Gradient Flow from Rotation in Conservative Physical Learning
[arXiv] 2026-08-31 | Integral Invariants of Vasudeva Murthy's Relaxation Systems: Analysis and Numerical Validation
[arXiv] 2026-08-31 | T3S: Improving Multi-Task Reinforcement Learning with Task-Specific Feature Selector and Scheduler
[arXiv] 2026-08-31 | ChessQueries: Toward Better Chess Board Recognition
[arXiv] 2026-08-31 | PRACTICE: From Experience to Expertise in Self-Evolving Embodied Agents
[arXiv] 2026-08-31 | CheXGround: Anatomical Region Tokens for Grounded Longitudinal Chest X-ray Interpretation
[arXiv] 2026-08-31 | Learning from What You Retrieve: Online RL Fine-Tuning for Semantic Retrieval
[arXiv] 2026-08-31 | Quasi-convexity of energy functions along Teichmüller geodesics
[arXiv] 2026-08-31 | Importance Sampling Enhanced with the COS Method for the Portfolio Risk Allocation
[arXiv] 2026-08-31 | The Fragility of Jailbreak Robustness Across Operational States
[arXiv] 2026-08-31 | $\sqrtΔ$-Fine Rings
[arXiv] 2026-08-31 | Robust bistable vortex light bullets in graded-index multimode fibers
[arXiv] 2026-08-31 | Where Do Multilingual Vision-Language Encoders Fail on Low-Resource Languages?
[arXiv] 2026-08-31 | GUIDE: Guiding Internal Evidence with Language Instructions
[arXiv] 2026-08-31 | An Agentic Retrobiosynthesis Framework with Learned Frontier Selection
[arXiv] 2026-08-31 | Convex hulls and area minimizing currents in asymptotically locally hyperbolic manifolds
[arXiv] 2026-08-31 | Failure or Drift? Evaluating Monocular SLAM under Synthetic and Real-World Corruptions
[arXiv] 2026-08-31 | ATLAS: Dual-Horizon Diagnostic Evaluation for Industrial Tool-Use Agents
[arXiv] 2026-08-31 | OCR-MetaReasoning Benchmark: Evaluating the Meta-Reasoning Ability of MLLMs in Text-Rich Image Understanding
[arXiv] 2026-08-31 | Guided navigation in turbulence
[arXiv] 2026-08-31 | Breakdown of Charge-Conjugation Symmetry of Disclinations in 2D Crystals
[arXiv] 2026-08-31 | Anomalous temperature dependence in phase transitions via ballistic coalescence
[arXiv] 2026-08-31 | Parameter Estimation of Power Electronic Converters with Differentiable Physics Simulation
[arXiv] 2026-08-31 | Measuring peculiar velocity and tomographic redshift dipole with DESI DR1 catalogs
[arXiv] 2026-08-31 | Production of the $φ$ and $Ω$ via recombination of jet parton showers in relativistic heavy ion collisions
[arXiv] 2026-08-31 | Ray Tracing-Based LoRaWAN Gateway Placement for Reliable Connectivity in Amazonian Regions
[arXiv] 2026-08-31 | Zeva: In-Context Causal Learning for Generalizable Embodied Manipulation
[arXiv] 2026-08-31 | A Decomposition Theorem for Topological Semi-small Maps
[arXiv] 2026-08-31 | SurgSkill-Bench: A Benchmark for Multimodal Surgical Skill Assessment
[arXiv] 2026-08-31 | On the relaxation problem in statistical mechanics
[arXiv] 2026-08-31 | Holographic subregion complexity in insulator/superconductor transition
[arXiv] 2026-08-31 | Approximate Gromov--Hausdorff continuity of magnitude and weighting
[arXiv] 2026-08-31 | Role of self-coherence in single-electron phase contrast imaging
[arXiv] 2026-08-31 | Explainable deformable matched filtering reveals measurable departures from classical receiver theory in optical wireless communications
[arXiv] 2026-08-31 | Towards Site-Selective Fabrication of Near-Infrared Emitters in hBN
[arXiv] 2026-08-31 | RealOOB: A Definition-Consistent Real-World Oriented Occlusion Boundary Benchmark
[arXiv] 2026-08-31 | What Emerges and What Breaks in Self-Play Driving
[arXiv] 2026-08-31 | ProofPulse: Interactive Proof Coverage Analysis for Dafny
[arXiv] 2026-08-31 | A general framework for disturbance compensation in airborne and seaborne gravimetry supported by machine learning
[arXiv] 2026-08-31 | Study of Butterfly-Shaped Coronal Hole Evolution Across the Solar Disk
[arXiv] 2026-08-31 | Normal and Lognormal Asymptotics for Lattice-Point Counts in Random Translates of High-Dimensional Balls
[arXiv] 2026-08-31 | Kinetic temperatures and inertial effects in a nonequilibrium bead-spring model
[arXiv] 2026-08-31 | Reduced polynomial lifts of APN permutations over Galois rings and effective non-APN bounds
[arXiv] 2026-08-31 | Isodiametric-type upper bounds for Steklov eigenvalues
[arXiv] 2026-08-31 | Aggregate Disambiguation Systems
[arXiv] 2026-08-31 | Schwarz: Solver-Aware Agentic Program Verification
[arXiv] 2026-08-31 | Power and sample size calculations for causal mediation analysis with a binary mediator in randomized trials
[arXiv] 2026-08-31 | Lie nilpotency index of skew symmetric elements in group algebras
[arXiv] 2026-08-31 | Locally-Guided Actor-Critic: Training a Goal-conditioned Actor with a Subgoal-aware Critic
[arXiv] 2026-08-31 | Extending the Pnictide Chemical Space for Photovoltaics
[arXiv] 2026-08-31 | When LLM Meets Tree Search: A Systematic View of Inference as Search in Large Language Models
[arXiv] 2026-08-31 | Foundation Models Meet Agriculture: Challenges Beyond Pretraining
[arXiv] 2026-08-31 | $13$ unknowns over quadratic integer rings and Lucas congruences
[arXiv] 2026-08-31 | Detecting DBMS Bugs by Constructing Equivalent Representations of Intermediate Query Results
[arXiv] 2026-08-31 | Using Hyper-V Sockets for Real-time Data Extraction from a Malware Analysis Sandbox
[arXiv] 2026-08-31 | SpectraTac: A Compact Camera-Free Optical Tactile Sensor with Distributed Color Sensing
[arXiv] 2026-08-31 | Will the User Ever Know? Covert Indirect Prompt Injection on Tool-Using LLM Agents
[arXiv] 2026-08-31 | Seeing the Unseen: Camouflaged Object Detection Beyond the Visible Spectrum
[arXiv] 2026-08-31 | Classification complexity of homeomorphism group actions
[arXiv] 2026-08-31 | Proximity3D: Shape from Capacitive Proximity on Sensing Manifold
[arXiv] 2026-08-31 | DOBI: Dynamic Opportunistic Body Input via Spare Joint Recruitment for Hands-Free XR
[arXiv] 2026-08-31 | Cartesian tensor equivariant machine-learning force field for spin-dependent atomistic simulations
[arXiv] 2026-08-31 | Unconditional Finiteness of the Number of Critical Points of Gaussian Mixture Densities
[arXiv] 2026-08-31 | A Roadmap to Available ICS Datasets and Testbeds for Cybersecurity Research
[arXiv] 2026-08-31 | Bergsma--Dassios Sign Covariance Characterises Independence for Arbitrary Real-Valued Bivariate Laws
[arXiv] 2026-08-31 | Ouroboros: Self-Referential Backdoor Attacks on Speech Enhancement via Clean Audio Triggers
[arXiv] 2026-08-31 | Sequential Trajectories and Simultaneous Blending: Multi-Emotion Modeling for Instruction-Following TTS
[arXiv] 2026-08-31 | Generative multi-domain transfer learning for fault detection in data-scarce wind turbines
[arXiv] 2026-08-31 | Indirect stabilization of N -level quantum systems
[arXiv] 2026-08-31 | Lazy Grounding: Attacking Search Agents with Factual Evidence
[arXiv] 2026-08-31 | Failure of the Proposed Local Decay Formula for Local Arnold Multiplicities under Twisted Kähler--Ricci Flow
[arXiv] 2026-08-31 | Sensitivity Comparison of Microwave-Frequency and Optical Fibre Interferometry Based on State-of-the-Art Components
[arXiv] 2026-08-31 | A note on the center of the queer super Yangian ${\rm Y}(\mathfrak{q}_1)$
[arXiv] 2026-08-31 | PEARL: Front-Loading Relational Chains for Multi-Hop Table Retrieval
[arXiv] 2026-08-31 | BCPPO: Bachelier-Inspired Constrained Proximal Policy Optimization for Tail-Risk-Aware Safe Reinforcement Learning
[arXiv] 2026-08-31 | Efficient biphoton generation by a waveguide-coupled single atom
[arXiv] 2026-08-31 | SoniMet - A tool for sonifying and visualizing the performance of single researchers
[arXiv] 2026-08-31 | Strengthening Recursive Constructions for Zero-Error Shannon Capacity
[arXiv] 2026-08-31 | FABO: Agent-Guided Discovery of Joint Breakpoint Optimization for Timing-Driven Routing Trees
[arXiv] 2026-08-31 | Estimating Population-Risk Curves Along Nonconvex Gradient Flows from the Training Sample
[arXiv] 2026-08-31 | Subspace Based Identification of Errors-in-Variables Linear Descriptor Systems
[arXiv] 2026-08-31 | Stratified Consistency Distillation for Natural Language Formalization
[arXiv] 2026-08-31 | Mesh-Uniform Power Stability of Two-Relaxation-Time Vector Lattice Boltzmann Schemes with Reversible Boundaries
[arXiv] 2026-08-31 | Spin-dependent fermion potentials from mixed tensor couplings of massive spin-1 and spin-2 bosons
[arXiv] 2026-08-31 | GPU-Parallelization of Markov Chain Pool Decoding with Unbiased MCMC
[arXiv] 2026-08-31 | Unrestricted Boolean Multiplicative Complexity of Four-Term Binary Polynomial Multiplication: Rational Places, Hasse Jets, and the Failure of Nonlinear Feedback
[arXiv] 2026-08-31 | Motus2: A Self-Evolving General World Model for Dexterous Manipulation
[arXiv] 2026-08-31 | Quantifying and Mitigating Korean Jamo-Level Typographical Vulnerabilities in Large Language Models
[arXiv] 2026-08-31 | Optimized Modular Design and Development of a Tilt-Rotor Bicopter Drone
[arXiv] 2026-08-31 | Compactification of $\operatorname{SL}(3,\mathbb{C})$-Character Varieties of Surfaces via Skein Algebras
[arXiv] 2026-08-31 | SPARK: Skeleton-Guided Reasoning Synthesis from Large-Scale Scientific Literature
[arXiv] 2026-08-31 | Towards a Joint Khmer Text Recognition and Word Segmentation
[arXiv] 2026-08-31 | Frontier vision-language models have overtaken young adults at detecting AI-generated portraits -- but not their calibration
[arXiv] 2026-08-31 | ALTSTEER: Selective Safety Steering for Moving Beyond Hard Refusals to Constructive Alternatives
[arXiv] 2026-08-31 | The PUR-1 Cyber-Physical Digital Twin
[arXiv] 2026-08-31 | Understanding Stage-Wise Utility-Risk Trade-offs in LLM Agent Memory
[arXiv] 2026-08-31 | Data and code for collision-model Dicke-state preparation: depth-fidelity frontiers, circuit costs, and superconducting-processor measurements
[arXiv] 2026-08-31 | Exact counting of spherical metrics with one conical singularity on rectangular tori
[arXiv] 2026-08-31 | Reducio: Optimized Confidential Serverless Cloud Deployments for Enterprise Customers
[arXiv] 2026-08-31 | Event-Inference Reliability for Physical AI over Wireless Networks
[arXiv] 2026-08-31 | Topological and spin-orbit effects on orbital moments in ultra-thin magnetic films
[arXiv] 2026-08-31 | Three Steps at a Time: Learning Representations from Action Sequences in Contrastive RL
[arXiv] 2026-08-31 | Energy Efficiency in Microwave Linear Analog Computer (MiLAC)-Enabled Communications
[arXiv] 2026-08-31 | Compressed Single-Tone Frequency Estimation With Unknown Complex Gain: Singular Rates and Global Identifiability
[arXiv] 2026-08-31 | Joint Equidistribution of Subspaces of Bounded Height in Rigid Adelic Spaces
[arXiv] 2026-08-31 | A Full-Sequence Quantitative Gap Between the Chromatic and Cochromatic Numbers of a Random Graph
[arXiv] 2026-08-31 | The Homotopy Types of the Independence and Perfect Matching Complex of Möbius Ladder Graph
[arXiv] 2026-08-31 | State of Health Estimation using Convolutional and Bidirectional LSTM Neural Networks tuned by Bayesian Optimization
