[2026-04-14 22:46:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-13
正在获取论文...
[arXiv] 2026-04-13 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[arXiv] 2026-04-13 | Decision-Aware Predictions for Right-Hand Side Parameters in Linear Programs
[arXiv] 2026-04-13 | The number of induced paths in outerplanar graphs
[arXiv] 2026-04-13 | Machine-learning modeling of magnetization dynamics in quasi-equilibrium and driven metallic spin systems
[arXiv] 2026-04-13 | EdgeCIM: A Hardware-Software Co-Design for CIM-Based Acceleration of Small Language Models
[arXiv] 2026-04-13 | Deep Learning for Sequential Decision Making under Uncertainty: Foundations, Frameworks, and Frontiers
[arXiv] 2026-04-13 | Lectures on AI for Mathematics
[arXiv] 2026-04-13 | METER: Evaluating Multi-Level Contextual Causal Reasoning in Large Language Models
[arXiv] 2026-04-13 | Quantization Dominates Rank Reduction for KV-Cache Compression
[arXiv] 2026-04-13 | Reparametrizing the relativistic Kepler equation: a bridge to Levi-Civita-type models
[arXiv] 2026-04-13 | TAG-Head: Time-Aligned Graph Head for Plug-and-Play Fine-grained Action Recognition
[arXiv] 2026-04-13 | Anthropogenic Regional Adaptation in Multimodal Vision-Language Model
[arXiv] 2026-04-13 | On the Complexity of the Discussion-based Semantics in Abstraction Argumentation
[arXiv] 2026-04-13 | Strong persistence index and fluctuations in colon powers of monomial ideals
[arXiv] 2026-04-13 | Helicity-supported stationary spacetimes: A class of finite-energy, horizonless, axisymmetric solutions
[arXiv] 2026-04-13 | $p$-variational capacity of interior condensers and geometric reduction by a fixed phase
[arXiv] 2026-04-13 | Optimization of cooling power of a thermoelectric refrigerator: A unified approach
[arXiv] 2026-04-13 | Characterizing the Impact of Congestion in Modern HPC Interconnects
[arXiv] 2026-04-13 | Exact Certification of Neural Networks and Partition Aggregation Ensembles against Label Poisoning
[arXiv] 2026-04-13 | From Dust to Planets -- A Chemical Perspective
[arXiv] 2026-04-13 | GS4City: Hierarchical Semantic Gaussian Splatting via City-Model Priors
[arXiv] 2026-04-13 | Asymptotic Throat: The Geometric Inevitability of Regular Black Holes
[arXiv] 2026-04-13 | Beyond Reconstruction: Reconstruction-to-Vector Diffusion for Hyperspectral Anomaly Detection
[arXiv] 2026-04-13 | Ru Alloying in Ni/Al Reactive Multilayers: Experimental Observations and Molecular Dynamics Simulations
[arXiv] 2026-04-13 | Extragalactic microlensing through Ultra Diffuse Galaxies
[arXiv] 2026-04-13 | Strain-Induced Curvature in Monolayer Graphene: Effects on Electronic Structure, Phonon Dynamics, and Lattice Thermal Conductivity
[arXiv] 2026-04-13 | The Turán number of the Cartesian product of a star and an edge
[arXiv] 2026-04-13 | Numerical analysis for the Stokes problem with non-homogeneous Dirichlet boundary condition
[arXiv] 2026-04-13 | Signal-Aware Conditional Diffusion Surrogates for Transonic Wing Pressure Prediction
[arXiv] 2026-04-13 | Invertible Diffusion for Low-Memory Channel Gain Map Construction in Wireless Communication Networks
[arXiv] 2026-04-13 | Sub-Riemannian Snakes on the Projective Line Bundle with Applications to Segmentation of SEM Images
[arXiv] 2026-04-13 | Variational Latent Entropy Estimation Disentanglement: Controlled Attribute Leakage for Face Recognition
[arXiv] 2026-04-13 | Observations of highly inclined disks with ALMA. Results from 12CO gas and continuum observations
[arXiv] 2026-04-13 | Knowledge on a Budget
[arXiv] 2026-04-13 | Magnetic Order of Dresselhaus-type Antiferromagnet EuIr$_4$In$_2$Ge$_4$ Studied by Single Crystal Neutron Diffraction
[arXiv] 2026-04-13 | RECIPER: A Dual-View Retrieval Pipeline for Procedure-Oriented Materials Question Answering
[arXiv] 2026-04-13 | Inclusive breakup reactions with non-spectator fragments: Generalization of the IAV sum rules
[arXiv] 2026-04-13 | Quality-Sensitive Matrix Factorization for Community Notes: Towards Sample Efficiency and Manipulation Resistance
[arXiv] 2026-04-13 | Measuring the Authority Stack of AI Systems: Empirical Analysis of 366,120 Forced-Choice Responses Across 8 AI Models
[arXiv] 2026-04-13 | LoViF 2026 Challenge on Human-oriented Semantic Image Quality Assessment: Methods and Results
[arXiv] 2026-04-13 | Semantic Rate-Distortion Theory: Deductive Compression and Closure Fidelity
[arXiv] 2026-04-13 | Towards Situation-aware State Modeling for Air Traffic Flow Prediction
[arXiv] 2026-04-13 | Fundamental properties of two rapidly rotating stars: Rasalhague and Alkaid
[arXiv] 2026-04-13 | Isotropic Positive Definite Functions on Spheres
[arXiv] 2026-04-13 | Extended Variable Phase Method for Spin-1/2 Correlation Functions
[arXiv] 2026-04-13 | Probing Yukawa Gravity with Modulated Newtonian Cancellation in the CHRONOS Detector
[arXiv] 2026-04-13 | RADA: Region-Aware Dual-encoder Auxiliary learning for Barely-supervised Medical Image Segmentation
[arXiv] 2026-04-13 | Entanglement inequalities for timelike intervals within dynamical holography
[arXiv] 2026-04-13 | Proximal Nonlinear Conjugate Gradient Methods for Composite Optimization
[arXiv] 2026-04-13 | Band Tail State Broadening in IGZO TFTs After pBTI-Induced Negative VT Shift Revealed via DC and 1/f Noise Measurements
[arXiv] 2026-04-13 | Autonomous Quantum Error Correction of Spin-Oscillator Hybrid Qubits
[arXiv] 2026-04-13 | Lunar nutation effect defines the sign of the Earth rotation rate for now, but this may change soon
[arXiv] 2026-04-13 | A Proposed Biomedical Data Policy Framework to Reduce Fragmentation, Improve Quality, and Incentivize Sharing in Indian Healthcare in the era of Artificial Intelligence and Digital Health
[arXiv] 2026-04-13 | DDO-RM for LLM Preference Optimization: A Minimal Held-Out Benchmark against DPO
[arXiv] 2026-04-13 | Extraction of Pion Unpolarized Quark Generalized Parton Distribution from Charge Form Factors
[arXiv] 2026-04-13 | Use of AI Tools: Guidelines to Maintain Academic Integrity in Computing Colleges
[arXiv] 2026-04-13 | Nesterov Acceleration with Operator Decomposition
[arXiv] 2026-04-13 | Generating Hadamard matrices with transformers
[arXiv] 2026-04-13 | Learning Racket-Ball Bounce Dynamics Across Diverse Rubbers for Robotic Table Tennis
[arXiv] 2026-04-13 | ALD W-Doped SnO$_2$ TFTs for Indium-Free BEOL Electronics
[arXiv] 2026-04-13 | A Compact and Efficient 1.251 Million Parameter Machine Learning CNN Model PD36-C for Plant Disease Detection: A Case Study
[arXiv] 2026-04-13 | Any 3D Scene is Worth 1K Tokens: 3D-Grounded Representation for Scene Generation at Scale
[arXiv] 2026-04-13 | A Falsifiable Timing Test for the Double-White-Dwarf Model of Long-Period Transients
[arXiv] 2026-04-13 | Engineered non-Gaussian Coherence as a Thermodynamic Resource for Quantum Batteries
[arXiv] 2026-04-13 | Generating anisotropic models for relativistic stellar objects
[arXiv] 2026-04-13 | GeV gamma-ray emission in the field of the shell-type supernova remnant Vela Jr revisited
[arXiv] 2026-04-13 | Compact CO emission and no evidence of radial drift. ALMA observations of the faintest planet-forming disks in Lupus
[arXiv] 2026-04-13 | Polyglot Teachers: Evaluating Language Models for Multilingual Synthetic Data Generation
[arXiv] 2026-04-13 | Transactional Attention: Semantic Sponsorship for KV-Cache Retention
[arXiv] 2026-04-13 | Empowering Video Translation using Multimodal Large Language Models
[arXiv] 2026-04-13 | Multiplexed cryo-CMOS control of an isolated double quantum dot
[arXiv] 2026-04-13 | CodeTracer: Towards Traceable Agent States
[arXiv] 2026-04-13 | Time is Not a Label: Continuous Phase Rotation for Temporal Knowledge Graphs and Agentic Memory
[arXiv] 2026-04-13 | From Fragments to Flares: Migration, Tidal Disruption, and Observable Bursts in Massive Protostellar Disks
[arXiv] 2026-04-13 | Detecting Safety Violations Across Many Agent Traces
[arXiv] 2026-04-13 | Emulator-Assisted Nuclear DFT Inference and Its Consequences for the Structure of Neutron Stars
[arXiv] 2026-04-13 | Stochastically perturbed model of cell electropermeabilization
[arXiv] 2026-04-13 | NimbusGuard: A Novel Framework for Proactive Kubernetes Autoscaling Using Deep Q-Networks
[arXiv] 2026-04-13 | Prediction of chaotic dynamics from data: An introduction
[arXiv] 2026-04-13 | The Widom line in the Ising model on a decorated bilayer lattice
[arXiv] 2026-04-13 | Statistical Study of Balmer Continuum Enhancement in Solar Flares
[arXiv] 2026-04-13 | Character values and conductors of low-rank groups of Lie type
[arXiv] 2026-04-13 | A twosided linear estimate and a dyadic reduction of the UMD Conjecture
[arXiv] 2026-04-13 | Tackling instabilities of quantum Krylov subspace methods: an analysis of the numerical and statistical errors
[arXiv] 2026-04-13 | From Attribution to Action: A Human-Centered Application of Activation Steering
[arXiv] 2026-04-13 | Robust quantum metrology using disordered probes
[arXiv] 2026-04-13 | Quantum Sensing with Joint Emitter-Fluorescence Measurements
[arXiv] 2026-04-13 | Ringing of rapidly rotating black holes in effective field theory
[arXiv] 2026-04-13 | Min-$k$ Sampling: Decoupling Truncation from Temperature Scaling via Relative Logit Dynamics
[arXiv] 2026-04-13 | Effect of Pre-Shear and Dispersity on Crystallization of a Model Polymer with Soft Pair Interactions using Molecular Dynamics Simulations
[arXiv] 2026-04-13 | Think Before you Write: QA-Guided Reasoning for Character Descriptions in Books
[arXiv] 2026-04-13 | A new helical InSeI polymorph: crystal structure and polarized Raman spectroscopy study
[arXiv] 2026-04-13 | C-ReD: A Comprehensive Chinese Benchmark for AI-Generated Text Detection Derived from Real-World Prompts
[arXiv] 2026-04-13 | A Mechanistic Analysis of Looped Reasoning Language Models
[arXiv] 2026-04-13 | ClawGuard: A Runtime Security Framework for Tool-Augmented LLM Agents Against Indirect Prompt Injection
[arXiv] 2026-04-13 | ClawGUI: A Unified Framework for Training, Evaluating, and Deploying GUI Agents
[arXiv] 2026-04-13 | Ordinal Sums with Substitution of Impartial Games
[arXiv] 2026-04-13 | Self-Configuring Universal Multichannel and Multidimensional Integrated Photonic Processing Engine
[arXiv] 2026-04-13 | StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems
[arXiv] 2026-04-13 | A Synthetic Conversational Smishing Dataset for Social Engineering Detection
[arXiv] 2026-04-13 | LangFlow: Continuous Diffusion Rivals Discrete in Language Modeling
[arXiv] 2026-04-13 | Collaborative Multi-Agent Scripts Generation for Enhancing Imperfect-Information Reasoning in Murder Mystery Games
[arXiv] 2026-04-13 | Nested Atoms Model with Application to Clustering Big Population-Scale Single-Cell Data
[arXiv] 2026-04-13 | Geometry of the Donaldson--Friedman Pushout
[arXiv] 2026-04-13 | SWE-AGILE: A Software Agent Framework for Efficiently Managing Dynamic Reasoning Context
[arXiv] 2026-04-13 | Thermodynamic fluctuations in freely jointed chains under force
[arXiv] 2026-04-13 | Seeing Through the Tool: A Controlled Benchmark for Occlusion Robustness in Foundation Segmentation Models
[arXiv] 2026-04-13 | A bright flare in the obscured state of GRS 1915+105 as seen by NICER and Swift
[arXiv] 2026-04-13 | A Mamba-Based Multimodal Network for Multiscale Blast-Induced Rapid Structural Damage Assessment
[arXiv] 2026-04-13 | ACT: Automated CPS Testing for Open-Source Robotic Platforms
[arXiv] 2026-04-13 | Fairness is Not Flat: Geometric Phase Transitions Against Shortcut Learning
[arXiv] 2026-04-13 | Strongly nilpotent automorphisms are Pascal finite
[arXiv] 2026-04-13 | Please Make it Sound like Human: Encoder-Decoder vs. Decoder-Only Transformers for AI-to-Human Text Style Transfer
[arXiv] 2026-04-13 | EA-Agent: A Structured Multi-Step Reasoning Agent for Entity Alignment
[arXiv] 2026-04-13 | Gyrokinetic equilibria of high temperature superconducting magnetic mirrors
[arXiv] 2026-04-13 | Semilocalization for inhomogeneous random graphs
[arXiv] 2026-04-13 | Implementation and commissioning of an experimental system towards sub-eV axion-like particle searches with 0.1 PW laser at ELI-NP
[arXiv] 2026-04-13 | Paths of length five with equal-degree endpoints
[arXiv] 2026-04-13 | Hidden Failures in Robustness: Why Supervised Uncertainty Quantification Needs Better Evaluation
[arXiv] 2026-04-13 | POINTS-Long: Adaptive Dual-Mode Visual Reasoning in MLLMs
[arXiv] 2026-04-13 | RationalRewards: Reasoning Rewards Scale Visual Generation Both Training and Test Time
[arXiv] 2026-04-13 | Dynamic Functional Connectivity Resolves Brain Integration-Segregation Trade-off Under Costly Links
[arXiv] 2026-04-13 | Geoparsing: Diagram Parsing for Plane and Solid Geometry with a Unified Formal Language
[arXiv] 2026-04-13 | Patchy Polymeric Scalar Turbulence
[arXiv] 2026-04-13 | Inferring Change Points in Regression via Sample Weighting
[arXiv] 2026-04-13 | EgoFun3D: Modeling Interactive Objects from Egocentric Videos using Function Templates
[arXiv] 2026-04-13 | Geometry-Aware Localized Watermarking for Copyright Protection in Embedding-as-a-Service
[arXiv] 2026-04-13 | Governance by Design: A Parsonian Institutional Architecture for Internet-Wide Agent Societies
[arXiv] 2026-04-13 | Select Smarter, Not More: Prompt-Aware Evaluation Scheduling with Submodular Guarantees
[arXiv] 2026-04-13 | NCCRs of cones over del Pezzo surfaces
[arXiv] 2026-04-13 | Learning to Forget -- Hierarchical Episodic Memory for Lifelong Robot Deployment
[arXiv] 2026-04-13 | Modeling, Analysis and Activation of Planar Viscoelastically-combined Rimless Wheels
[arXiv] 2026-04-13 | Epistemic Trust as a Mechanism for Ethics Integration: Failure Modes and Design Principles from 70 Moral Imagination Workshops
[arXiv] 2026-04-13 | Updating the holomorphic modular bootstrap
[arXiv] 2026-04-13 | Evaluating LLM Agents on Automated Software Analysis Tasks
[arXiv] 2026-04-13 | Speaker Attributed Automatic Speech Recognition Using Speech Aware LLMS
[arXiv] 2026-04-13 | Data-driven balanced truncation of K-power bilinear systems
[arXiv] 2026-04-13 | First observational constraints on cosmic backreaction over an extended redshift range
[arXiv] 2026-04-13 | Evolving Many Worlds: Towards Open-Ended Discovery in Petri Dish NCA via Population-Based Training
[arXiv] 2026-04-13 | Judge Like Human Examiners: A Weighted Importance Multi-Point Evaluation Framework for Generative Tasks with Long-form Answers
[arXiv] 2026-04-13 | Decoupled Similarity for Task-Aware Token Pruning in Large Vision-Language Models
[arXiv] 2026-04-13 | Bridging the RGB-IR Gap: Consensus and Discrepancy Modeling for Text-Guided Multispectral Detection
[arXiv] 2026-04-13 | Seg2Change: Adapting Open-Vocabulary Semantic Segmentation Model for Remote Sensing Change Detection
[arXiv] 2026-04-13 | A Fixed Point Theorem for Random Asymptotically Pointwise Contractions
[arXiv] 2026-04-13 | H-SPAM: Hierarchical Superpixel Anything Model
[arXiv] 2026-04-13 | Sofic measures
[arXiv] 2026-04-13 | The Neurobiological Craving Signature (NCS) predicts social craving and responds to social isolation
[arXiv] 2026-04-13 | Direction-Preserving MIMO Speech Enhancement Using a Neural Covariance Estimator
[arXiv] 2026-04-13 | Precision Synthesis of Multi-Tracer PET via VLM-Modulated Rectified Flow for Stratifying Mild Cognitive Impairment
[arXiv] 2026-04-13 | NeuVolEx: Implicit Neural Features for Volume Exploration
[arXiv] 2026-04-13 | Development and evaluation of CADe systems in low-prevalence setting: The RARE25 challenge for early detection of Barrett's neoplasia
[arXiv] 2026-04-13 | Emergence of the unexpected charge-density-wave phase driven by artificial gauge field in three-leg Bose-Hubbard ladder
[arXiv] 2026-04-13 | Ladder-like Structural Architecture of Layered Magnetic $A_{2.4}$Cr$_8$Te$_{14}$ ($A$ = Rb, Cs) Compounds by Self-flux Synthesis
[arXiv] 2026-04-13 | Hardware-Efficient Compound IC Protection with Lightweight Cryptography
[arXiv] 2026-04-13 | Faces of invariant convex sets in representations of nontrivial copolarity
[arXiv] 2026-04-13 | A Full Compression Pipeline for Green Federated Learning in Communication-Constrained Environments
[arXiv] 2026-04-13 | From Answers to Arguments: Toward Trustworthy Clinical Diagnostic Reasoning with Toulmin-Guided Curriculum Goal-Conditioned Learning
[arXiv] 2026-04-13 | MADQRL: Distributed Quantum Reinforcement Learning Framework for Multi-Agent Environments
[arXiv] 2026-04-13 | DeCoVec: Building Decoding Space based Task Vector for Large Language Models via In-Context Learning
[arXiv] 2026-04-13 | Distributionally Robust K-Means Clustering
[arXiv] 2026-04-13 | Record-Remix-Replay: Hierarchical GPU Kernel Optimization using Evolutionary Search
[arXiv] 2026-04-13 | Block Diagram Analysis of a Design Principle for Amplitude-Frequency Profiles in Biological Oscillations
[arXiv] 2026-04-13 | AnomalyGen: Enhancing Log-Based Anomaly Detection with Code-Guided Data Augmentation
[arXiv] 2026-04-13 | ActorMind: Emulating Human Actor Reasoning for Speech Role-Playing
[arXiv] 2026-04-13 | Mechanism Design for Investment Regulation under Herding
[arXiv] 2026-04-13 | Efficient Training for Cross-lingual Speech Language Models
[arXiv] 2026-04-13 | Structured State-Space Regularization for Compact and Generation-Friendly Image Tokenization
[arXiv] 2026-04-13 | Protecting Quantum Simulations of Lattice Gauge Theories through Engineered Emergent Hierarchical Symmetries
[arXiv] 2026-04-13 | ReSpinQuant: Efficient Layer-Wise LLM Quantization via Subspace Residual Rotation Approximation
[arXiv] 2026-04-13 | From Context to Rules: Toward Unified Detection Rule Generation
[arXiv] 2026-04-13 | Optimizing Riesz means of Robin Laplace operators on cuboids in a semiclassical limit
[arXiv] 2026-04-13 | An Argument-Principle Based Stability Assessment Method for Grey-Box DFIG Systems
[arXiv] 2026-04-13 | Hodoscope: Unsupervised Monitoring for AI Misbehaviors
[arXiv] 2026-04-13 | TOIB: Task-Oriented Orthogonalised Information Bottleneck for Distributed Semantic Communication
[arXiv] 2026-04-13 | LaDA-Band: Language Diffusion Models for Vocal-to-Accompaniment Generation
[arXiv] 2026-04-13 | A Systematic Analysis of the Impact of Persona Steering on LLM Capabilities
[arXiv] 2026-04-13 | Sema Code: Decoupling AI Coding Agents into Programmable, Embeddable Infrastructure
[arXiv] 2026-04-13 | EmergentBridge: Improving Zero-Shot Cross-Modal Transfer in Unified Multimodal Embedding Models
[arXiv] 2026-04-13 | Contouring Error Bounded Control for Biaxial Systems with Structural Flexibility and Input Delay
[arXiv] 2026-04-13 | Learning an Opponent-aware Anti-jamming Strategy via Online Convex Optimization
[arXiv] 2026-04-13 | LCS.jl: A High-Performance, Multi-Platform Computational Model in Julia for Turbulent Particle-Laden Flows
[arXiv] 2026-04-13 | Towards Realistic 3D Emission Materials: Dataset, Baseline, and Evaluation for Emission Texture Generation
[arXiv] 2026-04-13 | Sanity Checks for Agentic Data Science
[arXiv] 2026-04-13 | Microscopic mechanism for resonant light-enhanced pair correlations in K$_3$C$_{60}$
[arXiv] 2026-04-13 | Energy-oriented Diffusion Bridge for Image Restoration with Foundational Diffusion Models
[arXiv] 2026-04-13 | Enabling and Inhibitory Pathways of Students' AI Use Concealment Intention in Higher Education: Evidence from SEM and fsQCA
[arXiv] 2026-04-13 | Open-Channel Operator Closure of the Finite-Cutoff JT Gravity Disk Amplitude
[arXiv] 2026-04-13 | Neural Generalized Mixed-Effects Models
[arXiv] 2026-04-13 | Microscopic investigation of $E2$ matrix elements in atomic nuclei -- II
[arXiv] 2026-04-13 | Towards Automated Solar Panel Integrity: Hybrid Deep Feature Extraction for Advanced Surface Defect Identification
[arXiv] 2026-04-13 | Delving Aleatoric Uncertainty in Medical Image Segmentation via Vision Foundation Models
[arXiv] 2026-04-13 | ScoRe-Flow: Complete Distributional Control via Score-Based Reinforcement Learning for Flow Matching
[arXiv] 2026-04-13 | RAG-KT: Cross-platform Explainable Knowledge Tracing with Multi-view Fusion Retrieval Generation
[arXiv] 2026-04-13 | FineEdit: Fine-Grained Image Edit with Bounding Box Guidance
[arXiv] 2026-04-13 | Visible, Trackable, Forkable: Opening the Process of Science
[arXiv] 2026-04-13 | Bayesian Cramér-Rao Bound for Sensing Performance in Meta-Backscatter Systems
[arXiv] 2026-04-13 | Evaluating the Impact of Medical Image Reconstruction on Downstream AI Fairness and Performance
[arXiv] 2026-04-13 | On the Sum of Squares of Irreducible Brauer Character Degrees in Blocks
[arXiv] 2026-04-13 | Entropic independence via sparse localization
[arXiv] 2026-04-13 | FAS-aided Robust Anti-Jamming Communications: Continuous and Discrete Positioning Designs
[arXiv] 2026-04-13 | Heavy-quark transport across the QCD crossover driven by a lattice-constrained in-medium potential
[arXiv] 2026-04-13 | A Lightweight Universal Machine-Learning Interatomic Potential via Knowledge Distillation for Scalable Atomistic Simulations
[arXiv] 2026-04-13 | Ambiguity Detection and Elimination in Automated Executable Process Modeling
[arXiv] 2026-04-13 | Power law scalar potential in the Saez-Ballester like theory: Exact solutions in the Bianchi type I case
[arXiv] 2026-04-13 | Discussion on the equivalence of two relativistic point-particle Lagrangians
[arXiv] 2026-04-13 | LRD-Net: A Lightweight Real-Centered Detection Network for Cross-Domain Face Forgery Detection
[arXiv] 2026-04-13 | Mortality of ultra-thin LGADs and PiN diodes from high energy deposition
[arXiv] 2026-04-13 | FM-Agent: Scaling Formal Methods to Large Systems via LLM-Based Hoare-Style Reasoning
[arXiv] 2026-04-13 | Electron localization, charge redistribution, and emergence of topological states at graphite junctions
[arXiv] 2026-04-13 | Arbitrary-Velocity Volkov Wavepackets
[arXiv] 2026-04-13 | Observation of Discrete 1D Solitons in an Optically Induced Lattice in Rubidium Atomic Vapor
[arXiv] 2026-04-13 | Inverse engineering of cooling protocols: from normal behavior to Mpemba effects
[arXiv] 2026-04-13 | CAGenMol: Condition-Aware Diffusion Language Model for Goal-Directed Molecular Generation
[arXiv] 2026-04-13 | Structural Consequences of Policy-Based Interventions on the Global Supply Chain Network
[arXiv] 2026-04-13 | Resonances extracted in truncated partial-wave analysis are effective mixtures of angular momenta
[arXiv] 2026-04-13 | Symmetric operads of GK-dimension one
[arXiv] 2026-04-13 | Beyond Model Design: Data-Centric Training and Self-Ensemble for Gaussian Color Image Denoising
[arXiv] 2026-04-13 | SLALOM: Simulation Lifecycle Analysis via Longitudinal Observation Metrics for Social Simulation
[arXiv] 2026-04-13 | Low-rank Optimization Trajectories Modeling for LLM RLVR Acceleration
