[2026-05-15 22:54:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-14
正在获取论文...
[arXiv] 2026-05-14 | Aligning Latent Geometry for Spherical Flow Matching in Image Generation
[arXiv] 2026-05-14 | Analyzing the two-dimensional doped Hubbard model with the Worldvolume HMC method
[arXiv] 2026-05-14 | Conservative and dissipative sectors in a nonlinear scalar model for the gravitational self-force problem
[arXiv] 2026-05-14 | Gravitational Wave Propagation through Viscous Matter
[arXiv] 2026-05-14 | On the Number of Rational Power Factors in a Finite Word
[arXiv] 2026-05-14 | Robust Quadcopter Motion Control Using Output Feedback
[arXiv] 2026-05-14 | Piece-wise linear isotonic regression
[arXiv] 2026-05-14 | nASR: An End-to-End Trainable Neural Layer for Channel-Level EEG Artifact Subspace Reconstruction in Real-Time BCI
[arXiv] 2026-05-14 | Resonant optical cooling of nuclear spins in case of strong Knight field of photoexcited electrons
[arXiv] 2026-05-14 | A Hardware-Aware, Per-Layer Methodology for Post-Training Quantization of Large Language Models
[arXiv] 2026-05-14 | SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation
[arXiv] 2026-05-14 | Road Maps as Free Geometric Priors: Weather-Invariant Drone Geo-Localization with GeoFuse
[arXiv] 2026-05-14 | SceneParser: Hierarchical Scene Parsing for Visual Semantics Understanding
[arXiv] 2026-05-14 | FU-MPC: Frontier- and Uncertainty-Aware Model Predictive Control for Efficient and Accurate UAV Exploration with Motorized LiDAR
[arXiv] 2026-05-14 | Fourier transform and exponential Hodge modules
[arXiv] 2026-05-14 | AIMing for Standardised Explainability Evaluation in GNNs: A Framework and Case Study on Graph Kernel Networks
[arXiv] 2026-05-14 | Towards In-Depth Root Cause Localization for Microservices with Multi-Agent Recursion-of-Thought
[arXiv] 2026-05-14 | Unbiased and Second-Order-Free Training for High-Dimensional PDEs
[arXiv] 2026-05-14 | From spin splitting to projected mass in altermagnetic Chern matter
[arXiv] 2026-05-14 | Uncovering the Representation Geometry of Minimal Cores in Overcomplete Reasoning Traces
[arXiv] 2026-05-14 | Convergence of difference inclusions via a diameter criterion
[arXiv] 2026-05-14 | Refining Pseudo-Audio Prompts with Speech-Text Alignment for Text-Only Domain Adaptation in LLM-Based ASR
[arXiv] 2026-05-14 | Sub-Band Full Duplex Resource Allocation: A Predictive Deep Reinforcement Learning Approach
[arXiv] 2026-05-14 | Secure Joint Source-Channel Coding of Multimodal Semantic Sources
[arXiv] 2026-05-14 | D2-CDIG: Controlled Diffusion Remote Sensing Image Generation with Dual Priors of DEM and Cloud-Fog
[arXiv] 2026-05-14 | A Subtraction Nim with a Pass
[arXiv] 2026-05-14 | Quantum optical synthesis of high-dimensional ultrafast frequency-bin qudits
[arXiv] 2026-05-14 | An Updated Characterization of Luminous Lyα emitters at the End of Reionization
[arXiv] 2026-05-14 | Reconstructing the Stripping History of the Sagittarius Stream with Neural Networks
[arXiv] 2026-05-14 | Towards Self-Evolving Agentic Literature Retrieval
[arXiv] 2026-05-14 | Matrix-Space Reinforcement Learning for Reusing Local Transition Geometry
[arXiv] 2026-05-14 | Imaginarity Resource Theory of Gaussian Quantum Channels
[arXiv] 2026-05-14 | To See is Not to Learn: Protecting Multimodal Data from Unauthorized Fine-Tuning of Large Vision-Language Model
[arXiv] 2026-05-14 | Generalized Dual Decomposition
[arXiv] 2026-05-14 | Joint Transmit and Receive Antenna Orientation Design for Secure MIMO Communications
[arXiv] 2026-05-14 | Auditing Agent Harness Safety
[arXiv] 2026-05-14 | Shear-stress-constrained superconductivity in Ruddlesden-Popper nickelates
[arXiv] 2026-05-14 | Hypergraph Enterprise Agentic Reasoner over Heterogeneous Business Systems
[arXiv] 2026-05-14 | Dynamical Evolution of V-Shaped Collision Debris
[arXiv] 2026-05-14 | Ultrafast decoupling of quasiparticles and spin fluctuations in superconducting cuprates
[arXiv] 2026-05-14 | Reactive Planning based Control for Mobile Robots in Obstacle-Cluttered Environments
[arXiv] 2026-05-14 | GenCircuit-RL: Reinforcement Learning from Hierarchical Verification for Genetic Circuit Design
[arXiv] 2026-05-14 | ViMU: Benchmarking Video Metaphorical Understanding
[arXiv] 2026-05-14 | MambaRain: Multi-Scale Mamba-Attention Framework for 0-3 Hour Precipitation Nowcasting
[arXiv] 2026-05-14 | Quaternary codes with new parameters from two-generator simplicial complexes
[arXiv] 2026-05-14 | FedStain: Modeling Higher-Order Stain Statistics for Federated Domain Generalization in Computational Pathology
[arXiv] 2026-05-14 | EndPrompt: Efficient Long-Context Extension via Terminal Anchoring
[arXiv] 2026-05-14 | Dimension Calculation for Spline Spaces over Rectilinear Partitions via Smoothing Cofactor Method
[arXiv] 2026-05-14 | Kinetic effects on the phase behavior and microstructural transitions of a thermoresponsive polymer solution
[arXiv] 2026-05-14 | PyCSP3-Scheduling: A Scheduling Extension for PyCSP3
[arXiv] 2026-05-14 | Tunable Dual-Type Weyl Points in Dirac-Weyl Semimetal CaAgBi
[arXiv] 2026-05-14 | Glue Condensate, Quark Condensate and Dirac Spectral Density
[arXiv] 2026-05-14 | LiWi: Layering in the Wild
[arXiv] 2026-05-14 | Analysis of wireless network access logs for a hierarchical characterization of user mobility
[arXiv] 2026-05-14 | Enjoy Your Layer Normalization with the Computational Efficiency of RMSNorm
[arXiv] 2026-05-14 | Dimension-Level Intent Fidelity Evaluation for Large Language Models: Evidence from Structured Prompt Ablation
[arXiv] 2026-05-14 | A Brownian dynamics study of liquid-liquid phase separation in multi-scale chromatin networks
[arXiv] 2026-05-14 | Asymmetric Generative Recommendation via Multi-Expert Projection and Multi-Faceted Hierarchical Quantization
[arXiv] 2026-05-14 | Antenna Tilt Failure Detection and Estimation via Integrated Sensing and Communications
[arXiv] 2026-05-14 | Admittance-Guided Inverter Dispatch Command Manipulation Attack: A Grid Stability-Oriented Approach
[arXiv] 2026-05-14 | When Robots Do the Chores: A Benchmark and Agent for Long-Horizon Household Task Execution
[arXiv] 2026-05-14 | Not All RAGs Are Created Equal: A Component-Wise Empirical Study for Software Engineering Tasks
[arXiv] 2026-05-14 | Quantifying Cyber-Vulnerability in Power Electronics Systems via an Impedance-Based Attack Reachable Domain
[arXiv] 2026-05-14 | Learning Scenario Reduction for Two-Stage Robust Optimization with Discrete Uncertainty
[arXiv] 2026-05-14 | Analytical foundation for adversarial synchronization control in oscillator networks
[arXiv] 2026-05-14 | Adaptive Long-Run Variance Thresholding for Sparse Covariance Estimation in High-Dimensional Time Series
[arXiv] 2026-05-14 | A Novel Schur-Decomposition-Based Weight Projection Method for Stable State-Space Neural-Network Architectures
[arXiv] 2026-05-14 | Head Forcing: Long Autoregressive Video Generation via Head Heterogeneity
[arXiv] 2026-05-14 | ML-assisted Subband Learned Digital Backpropagation for Nonlinearity Compensation in Wideband Optical Systems
[arXiv] 2026-05-14 | When Retrieval Hurts Code Completion: A Diagnostic Study of Stale Repository Context
[arXiv] 2026-05-14 | Proof Nets for PiL (Full Version)
[arXiv] 2026-05-14 | Weight Hybrid Architecture of Rydberg-Atomic Sensors
[arXiv] 2026-05-14 | From Table to Cell: Attention for Better Reasoning with TABALIGN
[arXiv] 2026-05-14 | KAP-CPD: Kernel Aggregation for Change-Point Detection in Dynamic Networks
[arXiv] 2026-05-14 | Singular Asymptotics of SPADE in Quantum Source Discrimination
[arXiv] 2026-05-14 | FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing
[arXiv] 2026-05-14 | Collaborative Yet Personalized Policy Training: Single-Timescale Federated Actor-Critic
[arXiv] 2026-05-14 | The Great Pretender: A Stochasticity Problem in LLM Jailbreak
[arXiv] 2026-05-14 | Tunable high-$Q$ Janus-to-chiral bound states in the continuum in bilayer PhCs
[arXiv] 2026-05-14 | Strain-Enhanced Hydrogen Evolution, Electrical, Optical, and Thermoelectric Properties of the Multifunctional 2D CrSi2N4 Monolayer
[arXiv] 2026-05-14 | Metis AI: The Overlooked Middle Zone Between AI-Native and World-Movers
[arXiv] 2026-05-14 | Coding Agent Is Good As World Simulator
[arXiv] 2026-05-14 | Analogical Trajectory Transfer
[arXiv] 2026-05-14 | The radial Newton problem: nonlinear dynamics of minimal resistance in central fields
[arXiv] 2026-05-14 | A Non-Monotone Preconditioned Trust-Region Method for Neural Network Training
[arXiv] 2026-05-14 | Interestingness as an Inductive Heuristic for Future Compression Progress
[arXiv] 2026-05-14 | Stokes-anti-Stokes correlations of light propagating through weakly guiding optical fiber
[arXiv] 2026-05-14 | ToMAToMP: Robust and Multi-Parameter Topological Clustering
[arXiv] 2026-05-14 | GFMate: Empowering Graph Foundation Models with Test-time Prompt Tuning
[arXiv] 2026-05-14 | How Much Can Gravitons Be Squeezed?
[arXiv] 2026-05-14 | Melting Behavior and Phase Stability of CaO from Neural Network Potentials: a Molecular Dynamics Study
[arXiv] 2026-05-14 | Identifying Culprits Through Deep Deterministic Policy Gradient Deep Learning Investigation
[arXiv] 2026-05-14 | Optimizing strong light-matter coupling of plasmonic lattices and monolayer semiconductors
[arXiv] 2026-05-14 | AI Outperforms Humans in Personalized Image Aesthetics Assessment via LLM-Based Interviews and Semantic Feature Extraction
[arXiv] 2026-05-14 | On Convergence of Rational Hermite-Padé Approximants
[arXiv] 2026-05-14 | Cognitive-Uncertainty Guided Knowledge Distillation for Accurate Classification of Student Misconceptions
[arXiv] 2026-05-14 | Non-linear Interventions on Large Language Models
[arXiv] 2026-05-14 | Addressing Terminal Constraints in Data-Driven Demand Response Scheduling
[arXiv] 2026-05-14 | Denoising for Neuromorphic Cameras Based on Graph Spectral Features
[arXiv] 2026-05-14 | Video-Zero: Self-Evolution Video Understanding
[arXiv] 2026-05-14 | Compact Embedding Theorem Associated with Classical Weight {Functions} in Two Variables
[arXiv] 2026-05-14 | Reconciling TM$_2$ Mixing with LMA and Dark-LMA Data based on Minimal Corrections from Charged-Lepton Sector
[arXiv] 2026-05-14 | AnchorRoute: Human Motion Synthesis with Interval-Routed Sparse Contro
[arXiv] 2026-05-14 | Luminaries in the Sky: The TESS LEGACY Sample of Bright Stars. II. In-depth seismic characterisation of 32 naked-eye stars in the PLATO LOP fields
[arXiv] 2026-05-14 | StyleTextGen: Style-Conditioned Multilingual Scene Text Generation
[arXiv] 2026-05-14 | The Smarr Formula is Gauss's Law: A Kerr-Schild Single-Copy Perspective
[arXiv] 2026-05-14 | Weakly nonlinear analysis of Hopf bifurcations in the elastohydrodynamics of Cosserat rods
[arXiv] 2026-05-14 | SR-Platform: An Agentic Pipeline for Natural Language-Driven Robot Simulation Environment Synthesis
[arXiv] 2026-05-14 | A Tale of Two Orbits: Non-Simply Laced Mirror
[arXiv] 2026-05-14 | Are Candidate Models Really Needed for Active Learning?
[arXiv] 2026-05-14 | An Attention-Enhanced Network with Joint Dehazing and Retinex-Based Enhancement for Underwater Images
[arXiv] 2026-05-14 | AQKA: Active Quantum Kernel Acquisition Under a Shot Budget
[arXiv] 2026-05-14 | Monitoring Data-aware Temporal Properties (Extended Version)
[arXiv] 2026-05-14 | Static spherically symmetric Kundt vacuum solutions of higher-derivative gravities
[arXiv] 2026-05-14 | Malleable Molecular Dynamics Simulations with GROMACS and DMR
[arXiv] 2026-05-14 | Beyond Instance-Level Self-Supervision in 3D Multi-Modal Medical Imaging
[arXiv] 2026-05-14 | Multimodal Learning for MIMO Beam Prediction Based on Variational Inference
[arXiv] 2026-05-14 | How to Evaluate and Refine your CAM
[arXiv] 2026-05-14 | Adaptive Window Decoding based on Spatiotemporal Complementary Gap
[arXiv] 2026-05-14 | Topics in Gaussian Wiener chaos expansion
[arXiv] 2026-05-14 | Efficient Dense Matching for Enhanced Gaussian Splatting Using AV1 Motion Vectors
[arXiv] 2026-05-14 | GeV emission around SS 433 with 17 years Fermi-LAT observation
[arXiv] 2026-05-14 | Do We Really Need External Tools to Mitigate Hallucinations? SIRA: Shared-Prefix Internal Reconstruction of Attribution
[arXiv] 2026-05-14 | Landscape-Aware Bandit Hyper-Heuristics for Online Operator Selection in UAV Inspection Routing
[arXiv] 2026-05-14 | Full-Dimensional Reactive Potential Energy Surfaces for OCS$^+$ $\rightarrow$ CO+S$^+$ Dissociation: Ground and Excited States
[arXiv] 2026-05-14 | TeachAnything: A Multimodal Crowdsourcing Platform for Training Embodied AI Agents in Symmetrical Reality
[arXiv] 2026-05-14 | Natural Synthesis: Outperforming Reactive Synthesis Tools with Large Reasoning Models
[arXiv] 2026-05-14 | Compositional Sparsity as an Inductive Bias for Neural Architecture Design
[arXiv] 2026-05-14 | Efficient ultrafast homodyne detection of quantum light
[arXiv] 2026-05-14 | Toward Securing AI Agents Like Operating Systems
[arXiv] 2026-05-14 | Slower Generalization, Faster Memorization: A Sweet Spot in Algorithmic Learning
[arXiv] 2026-05-14 | String Solving with Stabilization and Transducers (Technical Report)
[arXiv] 2026-05-14 | Eradicating Negative Transfer in Multi-Physics Foundation Models via Sparse Mixture-of-Experts Routing
[arXiv] 2026-05-14 | Sphericalization and the Universal Spherical Adjunction
[arXiv] 2026-05-14 | Action-Inspired Generative Models
[arXiv] 2026-05-14 | Self-Regulated Learning in Essay Writing: Consistency of Strategies and Impact on Outcomes
[arXiv] 2026-05-14 | Branch-width of represented matroids in matrix multiplication time
[arXiv] 2026-05-14 | DriveCtrl: Conditioned Sim-to-Real Driving Video Generation
[arXiv] 2026-05-14 | Extending CDCL to disjunctions of parity equations
[arXiv] 2026-05-14 | Scaling Laws from Sequential Feature Recovery: A Solvable Hierarchical Model
[arXiv] 2026-05-14 | Active Learners as Efficient PRP Rerankers
[arXiv] 2026-05-14 | Consistency in the Quantum-Improved Charged Black Holes
[arXiv] 2026-05-14 | Real-time virtual circuits for plasma shape control via neural network emulators
[arXiv] 2026-05-14 | Improved Ramsey bounds for generalized Schur equations
[arXiv] 2026-05-14 | HeatKV: Head-tuned KV-cache Compression for Visual Autoregressive Modeling
[arXiv] 2026-05-14 | Where Should Diffusion Enter a Language Model? Geometry-Guided Hidden-State Replacement
[arXiv] 2026-05-14 | Compositional and Magnetic Characterisation of Oblique Co and Fe Nanowire Structures Fabricated Using Focused Electron Beam Induced Deposition
[arXiv] 2026-05-14 | Automated Curriculum Design for High-dimensional Human Motor Learning
[arXiv] 2026-05-14 | A Formative Study of Brief Affective Text as a Complement to Wearable Sensing for Longitudinal Student Health Monitoring
[arXiv] 2026-05-14 | Learning with Semantic Priors: Stabilizing Point-Supervised Infrared Small Target Detection via Hierarchical Knowledge Distillation
[arXiv] 2026-05-14 | Fibonomial determinants
[arXiv] 2026-05-14 | Stopping Reliability in Adaptive Krylov-Shadow Quantum Fisher Information Estimation
[arXiv] 2026-05-14 | Computational Thinking Development in AI Agent Creation_A Mixed-Methods Study
[arXiv] 2026-05-14 | Toward Covert Quantum Computing
[arXiv] 2026-05-14 | Dynamic Latent Routing
[arXiv] 2026-05-14 | Are Agents Ready to Teach? A Multi-Stage Benchmark for Real-World Teaching Workflows
[arXiv] 2026-05-14 | Approximate Macroscopic Dynamics of Spiking Neural Networks Based on Solutions to the Transport Equation
[arXiv] 2026-05-14 | Semantic Feature Segmentation for Interpretable Predictive Maintenance in Complex Systems
[arXiv] 2026-05-14 | Guided Diffusion Sampling for Precipitation Forecast Interventions
[arXiv] 2026-05-14 | Factorization-Error-Free Discrete Diffusion Language Model via Speculative Decoding
[arXiv] 2026-05-14 | How Twist Class Redundancy Drives the Prediction of Traces of Frobenius of Elliptic Curves
[arXiv] 2026-05-14 | Smooth Multi-Policy Causal Effect Estimation in Longitudinal Settings
[arXiv] 2026-05-14 | TILT: Target-induced loss tilting under covariate shift
[arXiv] 2026-05-14 | Diagnosing and Correcting Concept Omission in Multimodal Diffusion Transformers
[arXiv] 2026-05-14 | Image Restoration via Diffusion Models with Dynamic Resolution
[arXiv] 2026-05-14 | Heuristic Pathologies and Further Variance Reduction via Uncertainty Propagation in the AIVAT Family of Techniques
[arXiv] 2026-05-14 | Worst-Case Sample Complexity Bounds for Distributed Inner Product Estimation with Local Randomized Measurements
[arXiv] 2026-05-14 | Towards Real-Time Autonomous Navigation: Transformer-Based Catheter Tip Tracking in Fluoroscopy
[arXiv] 2026-05-14 | Not All Timesteps Matter Equally: Selective Alignment Knowledge Distillation for Spiking Neural Networks
[arXiv] 2026-05-14 | Monomial bases and canonical bases for quantum affine algebras
[arXiv] 2026-05-14 | Constraints on anomalous Higgs boson couplings to vector bosons and fermions using the $γγ$ final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-05-14 | Paraphrasing Attack Resilience of Various AI-Generated Text Detection Methods
[arXiv] 2026-05-14 | Good to Go: The LOOP Skill Engine That Hits 99% Success and Slashes Token Usage by 99% via One-Shot Recording and Deterministic Replay
[arXiv] 2026-05-14 | Group Theory of the Kolakoski Sequence
[arXiv] 2026-05-14 | PreFT: Prefill-only finetuning for efficient inference
[arXiv] 2026-05-14 | ASH: Agents that Self-Hone via Embodied Learning
[arXiv] 2026-05-14 | The Close Binary V486 Carinae
[arXiv] 2026-05-14 | Do Coding Agents Understand Least-Privilege Authorization?
[arXiv] 2026-05-14 | FactorizedHMR: A Hybrid Framework for Video Human Mesh Recovery
[arXiv] 2026-05-14 | Discrimination Is Generation: Unifying Ranking and Retrieval from a Tokenizer Perspective
[arXiv] 2026-05-14 | An integration-free approach for particle flow filtering
[arXiv] 2026-05-14 | IFPV: An Integrated Multi-Agent Framework for Generative Operational Planning and High-Fidelity Plan Verification
[arXiv] 2026-05-14 | The Complexity of Nested Reset Counter Systems
[arXiv] 2026-05-14 | MechVerse: Evaluating Physical Motion Consistency in Video Generation Models
[arXiv] 2026-05-14 | Multi-proposal Collaboration and Multi-task Training for Weakly-supervised Video Moment Retrieval
[arXiv] 2026-05-14 | Agentic AI and Human-in-the-Loop Interventions: Field Experimental Evidence from Alibaba's Customer Service Operations
[arXiv] 2026-05-14 | The Heisenberg-Weyl-parity group its coherent states and a unified Wigner-Weyl function
[arXiv] 2026-05-14 | Probing into Camera Control of Video Models
[arXiv] 2026-05-14 | Beyond AI as Assistants: Toward Autonomous Discovery in Cosmology
[arXiv] 2026-05-14 | AI-Driven Discovery of Information-Efficient Collider Observables for Interference Measurements
[arXiv] 2026-05-14 | MonoPRIO: Adaptive Prior Conditioning for Unified Monocular 3D Object Detection
[arXiv] 2026-05-14 | Peng's Q($λ$) for Conservative Value Estimation in Offline Reinforcement Learning
[arXiv] 2026-05-14 | On Numerical Semigroups with Fixed Quotient
[arXiv] 2026-05-14 | MediaClaw: Multimodal Intelligent-Agent Platform Technical Report
[arXiv] 2026-05-14 | Differentially private inference framework of Riemannian manifold data
[arXiv] 2026-05-14 | Selective Safety Steering via Value-Filtered Decoding
[arXiv] 2026-05-14 | Mechanical Enforcement for LLM Governance:Evidence of Governance-Task Decoupling in Financial Decision Systems
[arXiv] 2026-05-14 | Mostow rigidity for skew solenoidal manifolds
[arXiv] 2026-05-14 | UMo: Unified Sparse Motion Modeling for Real-Time Co-Speech Avatars
[arXiv] 2026-05-14 | Boundary-supported radial layering in Hoag-like ring galaxies
[arXiv] 2026-05-14 | IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation
[arXiv] 2026-05-14 | Generating HDR Video from SDR Video
[arXiv] 2026-05-14 | The Rate-Distortion-Polysemanticity Tradeoff in SAEs
[arXiv] 2026-05-14 | Decoherence of $q-$Deformed Photon Added Coherent State
[arXiv] 2026-05-14 | $π$-Bench: Evaluating Proactive Personal Assistant Agents in Long-Horizon Workflows
[arXiv] 2026-05-14 | Optimal Asymptotic Rates for (Stochastic) Gradient Descent under the Local PL-Condition: A Geometric Approach
[arXiv] 2026-05-14 | Scalable Solution of the Stochastic Multi-path Traveling Salesman Problem via Neural Networks
[arXiv] 2026-05-14 | Parametrization of the primordial power spectrum in loop quantum cosmology
[arXiv] 2026-05-14 | TERRA-CD: Multi-Temporal Framework for Multi-class and Semantic Change Detection
[arXiv] 2026-05-14 | Multiscale Topological Inference for Marked Point Processes via Euler Characteristic Envelopes
[arXiv] 2026-05-14 | Perfect transmission and parallel composition for quantum walks on graphs with two leads
[arXiv] 2026-05-14 | Teaching Large Language Models When Not to Know: Learning Temporal Critique for Ex-Ante Reasoning
[arXiv] 2026-05-14 | Documentation-Guided Agentic Codebase Migration from C to Rust
[arXiv] 2026-05-14 | SmartWalkCoach: An AI Companion for End-to-End Walking Guidance, Motivation, and Reflection
[arXiv] 2026-05-14 | Spectral extremal results for triangle-free graphs with chromatic number at least four
[arXiv] 2026-05-14 | Digital Twin Synchronization Over Mobile Embodied AI Network With Agentic Intelligence
[arXiv] 2026-05-14 | SliceGraph: Mapping Process Isomers in Multi-Run Chain-of-Thought Reasoning
[arXiv] 2026-05-14 | Development of an electrodynamic balance to study single levitated particles exposed to alkali-metal vapor
[arXiv] 2026-05-14 | A tree-free approach to 3D Yang-Mills Langevin dynamic. Analytic estimates and the existence of a model for a regularity structure
[arXiv] 2026-05-14 | In-IDE Toolkit for Developers of AI-Based Features
[arXiv] 2026-05-14 | NeuroTrain: Surveying Local Learning Rules for Spiking Neural Networks with an Open Benchmarking Framework
[arXiv] 2026-05-14 | FKPP fronts in quenched random media
[arXiv] 2026-05-14 | Synthesizing POMDP Policies: Sampling Meets Model-checking via Learning
[arXiv] 2026-05-14 | Semi-Streaming Algorithms for Submodular Maximization under Random Arrival Order
[arXiv] 2026-05-14 | Imaging without visibilities: FAST-Effelsberg scintillometry of PSR B1508+55
[arXiv] 2026-05-14 | DRL-STAF: A Deep Reinforcement Learning Framework for State-Aware Forecasting of Complex Multivariate Hidden Markov Processes
[arXiv] 2026-05-14 | Intelligence Impact Quotient (IIQ): A Framework for Measuring Organizational AI Impact
[arXiv] 2026-05-14 | Quasi-Polish spaces and spaces of filters in second-order arithmetic
[arXiv] 2026-05-14 | New Bounds for Integer Flows and Verma Modules, via Denormalized Lorentzian Laurent Series
[arXiv] 2026-05-14 | Nearest-Neighbor Radii under Dependent Sampling
[arXiv] 2026-05-14 | Quantifying and Mitigating Premature Closure in Frontier LLMs
[arXiv] 2026-05-14 | Hardness of Burning Number Problem on Regular Graphs
[arXiv] 2026-05-14 | Articraft: An Agentic System for Scalable Articulated 3D Asset Generation
[arXiv] 2026-05-14 | Quantitative Video World Model Evaluation for Geometric-Consistency
[arXiv] 2026-05-14 | Wormholes and Averaging over N
[arXiv] 2026-05-14 | SANA-WM: Efficient Minute-Scale World Modeling with Hybrid Linear Diffusion Transformer
[arXiv] 2026-05-14 | Modal group theory: homomorphisms
[arXiv] 2026-05-14 | RoSHAP: A Distributional Framework and Robust Metric for Stable Feature Attribution
[arXiv] 2026-05-14 | Causal Forcing++: Scalable Few-Step Autoregressive Diffusion Distillation for Real-Time Interactive Video Generation
[arXiv] 2026-05-14 | Limitations of Debye-Waller lattice temperature extraction under electronic excitation
[arXiv] 2026-05-14 | APWA: A Distributed Architecture for Parallelizable Agentic Workflows
