[2026-05-27 23:17:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-26
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605260000+TO+202605262359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-5-26 | Nash Equilibria in Uniform Price Auctions: Theory, Computation, and Market Insights
[IEEE] 2026-5-26 | MINISA: Minimal Instruction Set Architecture for Next-gen Reconfigurable Inference Accelerator
[IEEE] 2026-5-26 | Quantum Assisted Drug Discovery in Human Beings
[IEEE] 2026-5-26 | AI-Based Intrusion Detection System
[IEEE] 2026-5-26 | A Novel Torque Distribution Strategy Balancing Energy Consumption and Stability for Four-Wheel Independent Drive Electric Vehicles
[IEEE] 2026-5-26 | AI-Powered Movie Recommendation System
[IEEE] 2026-5-26 | A Use Case Development for Teaching Robots New Tasks with Edge AI Perception
[IEEE] 2026-5-26 | Single-Event Effects in Commecrical Photonic Transceivers
[IEEE] 2026-5-26 | Adaptive AI Financial Ecosystem: Proactive Crisis Prediction and Policy Simulation Using GNN and Reinforcement Learning
[IEEE] 2026-5-26 | A 28 nm 16 Mb Embedded RRAM IP with Hybrid Array Structure for OTA Update Application
[IEEE] 2026-5-26 | A Modified Approach for Multi-EV Vehicle-to-Grid Control to Enhance Grid Stability
[IEEE] 2026-5-26 | A Multi-Agent Reinforcement Learning Framework for Serendipitous Recommendation and Personalized Information Retrieval
[IEEE] 2026-5-26 | A Hybrid Physics-AI Framework for real-world Energy Consumption Prediction and Range Estimation in Electric Vehicles
[IEEE] 2026-5-26 | Performance Study of Artificial Neural Network Based Control for Electric Vehicle to Vehicle Energy Transfer
[IEEE] 2026-5-26 | Log What Matters: Safety-Aware Adaptive Logging for CAVs in Dynamic Conditions
[IEEE] 2026-5-26 | FYI: A Foundational Counter Architecture for Building CPI Stacks on Out-of-Order Processors
[IEEE] 2026-5-26 | Exploring the Energy Storage and Voltage Control Unit Design Space in Battery-Less IoT
[IEEE] 2026-5-26 | Fcdnets: Surface-Graph Neural Networks for Automated Detection of Focal Cortical Dysplasia on Multi-Contrast Mri Surface Maps
[IEEE] 2026-5-26 | Underrepresented in Foundation Model Pretraining Data? A One-Shot Probe
[IEEE] 2026-5-26 | A Multi-Threshold Based Framework for Urban Green Cover Assessment Using Satellite Imagery
[IEEE] 2026-5-26 | Security Analysis of Federated Learning in Healthcare
[IEEE] 2026-5-26 | Prompt-Based Emotion Detection and Story Generation
[IEEE] 2026-5-26 | Optimized Random Forest–Based Soft Computing Pipeline for Multi-Class DDoS Detection in Cloud Environments
[IEEE] 2026-5-26 | Enhancing Fraud Detection in Financial Transactions through a Hybrid Machine Learning Model
[IEEE] 2026-5-26 | Bi-Level Optimization-Based Intelligent Clinical Decision Support for Pharmacogenomic-Guided Antimicrobial Therapy
[IEEE] 2026-5-26 | A Deep Learning Framework for Multi-Class Lung Diseases Classification
[IEEE] 2026-5-26 | STCO Evaluation of High Bandwidth Storage for Cost-Efficient LLM Training
[IEEE] 2026-5-26 | Comparative Analysis of Single-Tuned Passive Filters for Harmonic Mitigation Under Inductive and Capacitive Nonlinear Loads
[IEEE] 2026-5-26 | Control of Electro-Mechanical Systems with Assistive Technology Devices — Advancing from Proof-of-Concept to Integration
[IEEE] 2026-5-26 | Novel EEG Autoencoding Framework using HSDBN with Adaptive Feature Learning for Health
[IEEE] 2026-5-26 | Integrating High-Cardinality Categorical Features and Graph Neural Networks for Customs Fraud Detection with Label Scarcity
[IEEE] 2026-5-27 | Scalable multiband-tunable laser enabled by heterogeneously-integrated InP gain regions on a single silicon photonic chip
[IEEE] 2026-5-27 | Pixel-Accurate Epipolar Guided Matching
[IEEE] 2026-5-26 | Finite-time optimal policy identification for the stochastic shortest path problem
[IEEE] 2026-5-27 | Computational Investigation of Magnetophoretic Separation of Blood-Cell-Inspired Particles in Serpentine Microchannels_supp1-3695600.mp4
[IEEE] 2026-5-27 | Africa and Tunisia [President’s Message]
[IEEE] 2026-5-27 | Surviving (and Thriving) as Organizational Newcomers: Technical Communicators and Proactive Socialization
[IEEE] 2026-5-26 | A Physically Interpretable Neural Optimization Solver for InSAR Phase Unwrapping
[IEEE] 2026-5-26 | Toward Low-Viscosity Transformer Oil: Transesterification of Natural Esters with Short-Chain Alcohol
[IEEE] 2026-5-27 | Distributed Optimal Control Using Interval-Excited Relative-Output Reinforcement Learning Algorithm
[IEEE] 2026-5-27 | Transient Modulation of the Nucleus Accumbens by Transcranial Temporal Interference Stimulation: An fMRI Study in Healthy Adults_supp1-3696618.docx
[IEEE] 2026-5-27 | MC-DiffNet: Mask-Constrained and Cycle-Consistent Diffusion Network for Unpaired Ultrasound Image Enhancement
[IEEE] 2026-5-27 | Tessellation GS: Neural Mesh Gaussians for Robust Monocular Reconstruction of Dynamic Objects
[IEEE] 2026-5-27 | Towards Single-Channel &amp; Single-Cycle EOG Based Multi-Directional Eye Tracking in Wearable System
[IEEE] 2026-5-27 | WIP: AI-Based Dynamic 5G Channel Optimization for TSN Over 5G Using MPNN-TD3
[IEEE] 2026-5-27 | Robust Frequency Regulation in Hybrid Power Systems Under False Data Injection Attacks Using Adaptive Event-Triggered Virtual Inertia Control
[IEEE] 2026-5-27 | Cloud-Native, AI-Augmented Fault Correlation and Root Cause Analysis for Multi-Vendor Networks
[IEEE] 2026-5-27 | Visibility-Aware Language Aggregation for Open-Vocabulary Segmentation in 3D Gaussian Splatting
[IEEE] 2026-5-26 | PASSNet: Perception-Aware Semantic Strengthening Network for Infrared Small Target Detection
[IEEE] 2026-5-26 | Fuzzy DES for accurate quantitative amplitude fluctuations in biomedical signals
[IEEE] 2026-5-27 | Optimizing Query-by-Example Spoken Term Detection with Audio-to-Token Sequence Clustering and Query-Guided Retrieval
[IEEE] 2026-5-27 | A Retrieval-Augmented Framework for Executable Context-Aware Data Quality Assessment
[IEEE] 2026-5-27 | ConTiCoM-3D: A Continuous-Time Consistency Model for 3D Point Cloud Generation
[IEEE] 2026-5-27 | Advertisements
[IEEE] 2026-5-27 | Uncertainty-Aware Hierarchical MHE–EKF for Joint Estimation of Vehicle Lateral Velocity and Road Friction
[IEEE] 2026-5-27 | CFR-Net: A Coarse-to-Fine Concatenated Dual Decoder Based on Frequency-Space-Structure Fusion for Robust Remote Sensing Change Detection
[IEEE] 2026-5-27 | CaricatureGS: Exaggerating 3D Gaussian Splatting Faces with Gaussian Curvature
[IEEE] 2026-5-27 | MAIR: A Modular AI-Ready Framework for Scalable Incident Response and Autonomous Governance in Next-Decade Cybersecurity
[IEEE] 2026-5-27 | Development of the Saponification System Using Recycled Oil Implementing Temperature and pH Fuzzy Control
[IEEE] 2026-5-27 | Harnessing Explainable AI and Biomarker Insights for Robust Breast Cancer Detection
[IEEE] 2026-5-26 | Personalizing Federated Learning for Hierarchical Edge Networks with Non-IID Data
[IEEE] 2026-5-27 | MO-Enstune++: Multi-Objective End-to-End Ensemble Optimization for Coastal Waste Risk Prediction
[IEEE] 2026-5-27 | 3D Scene Change Modeling With Consistent Multi-View Aggregation
[IEEE] 2026-5-27 | Impact of Motion Strategies on the Net Energy Gain of Solar Energy System
[IEEE] 2026-5-26 | A design of five-valued spectra (vectorial) Boolean functions and their use in constructing bent functions outside
                    <i>M</i>
                    <sup>#</sup>
[IEEE] 2026-5-27 | GNSS-Independent and Obstacle Avoidance for UAVs Using a Compact 360° Scanning Head
[IEEE] 2026-5-27 | EEG-to-Image Synthesis Using Swin Transformer Enhanced with Conditional GANs
[IEEE] 2026-5-27 | Energy-Economic-Environmental (3E) Analysis of Rooftop PV Systems for Tropical Universities
[IEEE] 2026-5-26 | Low-Complexity Snapshot Radio SLAM for UAV-RIS-Assisted ISAC Systems via Tensor Analysis
[IEEE] 2026-5-27 | The Bearing of Planetary Roller Screw Based on Pitch Error and Roller Deviation Specificity Analysis
[IEEE] 2026-5-27 | PI3DETR: Parametric Instance Detection of 3D Point Cloud Edges with a Geometry-Aware 3DETR
[IEEE] 2026-5-27 | An Intention-Driven Lane Change Framework Considering Heterogeneous Dynamic Cooperation in Mixed-Traffic Environments
[IEEE] 2026-5-27 | Leveraging Feature Alignment in Grassmannian Manifold for Multi-output Regression Tasks
[IEEE] 2026-5-26 | Transformer-Based NILM with Embedded Convolutional Layers for Sequence-to-Point Energy Disaggregation
[IEEE] 2026-5-27 | Development of a Secure Hybrid Deep Learning Model for Honeypot Security and Monitoring System Using Quantum Dilated Convolutional–Fuzzy–Maxout Network
[IEEE] 2026-5-27 | Transmission Performance on Digital Communication Signals of Low-Frequency Electromagnetic Waves Under Dynamic Plasma Channel
[IEEE] 2026-5-26 | A Method Of Damping Waveguide Eigenmodes For Solving Axisymmetric Difraction Problems
[IEEE] 2026-5-26 | Computational Complexity Analysis of the Holomorphic Embedding Method and Parallel Optimization Strategies for Improving Efficiency
[ACM] 2026-5-26 | Orchestrating the Schema
[IEEE] 2026-5-26 | Decision letter for "A Physics-Informed Convolutional Neural Network for Global Ocean PAR Reconstruction from Satellite Observations"
[IEEE] 2026-5-26 | CyberChain: Enhancing Document Security with Blockchain and AI
[IEEE] 2026-5-26 | Thermal Drift Correction of NV Current Sensors via Marine Predators Algorithm
[IEEE] 2026-5-26 | Implications of Higher Voltage Levels for Electric Vehicle Traction
[IEEE] 2026-5-26 | Transformer-Patch Networks for Accurate Remaining Useful Life Prediction in Electromechanical Systems
[IEEE] 2026-5-26 | Infrared Small Target Detection Method Based on Progressive Active Learning and Dynamic Negative Augmentation
[IEEE] 2026-5-26 | BFA-YOLO: Steel Surface Defect Detection with Bi-Level Routing Attention and Frequency-Aware Feature Fusion
[IEEE] 2026-5-26 | AnoDoc: Robust Anomaly-Based Document Forgery Detection
[IEEE] 2026-5-26 | Robotic Scanning Path Planning Based on K-Means Clustering and PSO
[IEEE] 2026-5-26 | Breast Cancer Classification from Medical Images Using AI Models: A Comprehensive Review
[IEEE] 2026-5-26 | Research on Dynamic Modeling and Control Strategy of a Novel Planar 2-DOF Parallel Robot
[IEEE] 2026-5-26 | Decentralized Trust Establishment for Digital Credentials using Blockchain Technology
[IEEE] 2026-5-26 | Robust Force Control for Omnidirectional Mobile Robots in Wall Grinding Tasks
[IEEE] 2026-5-26 | Comparison of HT and MT Intermittent Gait Patterns for a Self-Propelled Undulatory Hydrofoil
[IEEE] 2026-5-26 | Design Architecture Trade-Offs for Hybrid Bonded Array-Periphery VBL 3D-DRAM
[IEEE] 2026-5-26 | Beyond Latency: A System-Level Characterization of MPC and FHE for PPML
[IEEE] 2026-5-26 | A Reasoning-Based Robotic Bolt Fastening System with a Dexterous Hand
[IEEE] 2026-5-26 | Experimental Validation of a Novel Smart ASIC for X-Ray Spectroscopy
[IEEE] 2026-5-26 | Nimbusort: Advanced Detection of Ionospheric Disturbances Using EM Signatures
[IEEE] 2026-5-26 | Explainable Brain Tumor Classification in MRI Using VGG19 Transfer Learning and Grad-CAM Visualization
[IEEE] 2026-5-26 | Detecting Attribute Changes in Entity Records Using Cross-Attention Mechanisms
[IEEE] 2026-5-26 | RACER: A Caching Layer based Optimization for Accelerating Reinforcement Learning Workloads
[IEEE] 2026-5-26 | Optimizing Data-Driven Solutions for Power Quality Management in Africa: Addressing Unbalanced Datasets with Machine Learning
[IEEE] 2026-5-26 | Queue Monitoring and Occupancy Estimation Using Image Processing
[IEEE] 2026-5-26 | Noisy Pixels, Credible Decisions – A Robust, Edge-Ready Neuro-Symbolic Architecture for Rural (African) Clinics
[IEEE] 2026-5-26 | Design of an AI-Assisted Robotic Arm Workstation for Elderly Care
[IEEE] 2026-5-26 | Torque Reallocation Strategy Considering Thermal Derating Constraints for in-Wheel Motor EVs Under Extreme Conditions
[IEEE] 2026-5-26 | Evaluation of Sidewalls Properties in HZO-Based 3D Ferroelectric Capacitors
[IEEE] 2026-5-26 | Design of a Triple Band-Notched UWB MIMO Antenna with Mutual Coupling Reduction Using H-Shaped DGS
[IEEE] 2026-5-26 | Explainable Deep Reinforcement Learning for Scalable and Trustworthy Autonomous Decision Systems
[IEEE] 2026-5-26 | Incorporating Meteorological Data and Pesticide Usage for Crop Yield Prediction Using Machine Learning
[IEEE] 2026-5-26 | Deep Learning Model for Early Lung Nodule Classification
[IEEE] 2026-5-26 | California PM
                    <sub>2.5</sub>
                    : A Ground- and Satellite-Based Data Analysis and Policy Investigation
[IEEE] 2026-5-26 | SPHINX: An Agentic AI System for Automated Scientific Discovery in Computational Biology
[IEEE] 2026-5-26 | Emotion-Aware Multilingual Sign Language Interpretation Using Deep Learning
[IEEE] 2026-5-26 | IoT Enabled QR Code System for Automated Patient Health Monitoring
[IEEE] 2026-5-26 | The Ethics of Generative AI in Anonymous Spaces: A Case Study of 4chan's /pol/ Board
[IEEE] 2026-5-26 | Modeling and Measuring Redundancy in Multisource Multimodal Data for Autonomous Driving
[IEEE] 2026-5-26 | A Hybrid QGWO–PSO Based LET-Bounded RSU-Assisted QoS Routing Scheme for VANETs
[IEEE] 2026-5-26 | Research on Object Detection Using YOLOv5 in Haze Conditions
[IEEE] 2026-5-26 | Probing English and Spanish Syntax in Language Models
[IEEE] 2026-5-26 | Prompt Engineering for Competitive Programming: Improving o4-mini's Accuracy on Codeforces Tasks
[IEEE] 2026-5-26 | RL-Enabled LoS Blockage Avoidance for Visible Light Robot Localization
[IEEE] 2026-5-26 | An Experimental Analysis of Data Augmentation and Pretraining for Mammogram Image Classification
[IEEE] 2026-5-26 | A Decentralized Proof Framework for Digital Authorship and Ownership
[IEEE] 2026-5-26 | Archaeology Meets Materials Science, Chemistry, and Statistics: A Multidisciplinary Analysis of Ecuadorian Greenstone Beads
[IEEE] 2026-5-26 | Logical Scaling Beyond 4 Bit/Cell: Opportunities and Challenges
[IEEE] 2026-5-26 | A Unified Adsorption Performance Framework for Selecting Biochar-Nanoparticle Systems in Heavy Metal Water Filtration
[IEEE] 2026-5-26 | Automatic Detection of Cervical Cancer Cells via Residual Network
[IEEE] 2026-5-26 | Research on Laser Charging Technology for Aerial Networking of UAV Swarms
[IEEE] 2026-5-26 | Optimal Recloser Placement in Radial Distribution Networks Using LSTM-Based Fault Risk Pattern and Artificial Bee Colony Algorithm
[IEEE] 2026-5-26 | A Morphology-Aware Spatial-Frequency Network for High-Precision Bearing Defect Detection
[IEEE] 2026-5-26 | Compliant, High-Strain Capacitive Stretch Sensors for Soft Robotics and Wearable Electronics
[IEEE] 2026-5-26 | An Accessible Framework for Real-Time PM
                    <sub>2.5</sub>
                    Forecasting Using Neural Networks and Gaussian Plume Modeling
[IEEE] 2026-5-26 | Challenges in 2D Hybrid Non-Quasineutral Hall Thruster Simulation
[IEEE] 2026-5-26 | Zero-Shot Image Classification in Low-Resource Medical Image Diagnosis Using Fine-Tuning Transformer Models
[IEEE] 2026-5-26 | Pneumonia Detection Using a Hybrid CNN and Swin Transformer Architecture
[IEEE] 2026-5-26 | Firefighter Floor Positioning Algorithm Integrating Constrained EKF and Asymmetric Discrimination
[IEEE] 2026-5-26 | Liv-AR: A Web-Based Augmented Reality Platform for Immersive NCERT History Education
[IEEE] 2026-5-26 | Monolithic Integration of SiC Gate Driver and VDMOS with P-Bottom Isolation and Recess Contact
[IEEE] 2026-5-26 | Uncertainty Estimation and Risk Analysis in Hybrid Self-Attention LSTM Models for Insider Threat Detection towards Cyber Risk Management
[IEEE] 2026-5-26 | Autonomous Vision-Based Smart Ramp in Urban Infrastructure
[ACM] 2026-5-26 | LindormVector: A Distributed Vector Engine on a Cloud-Native Multi-Model NoSQL Database
[ACM] 2026-5-26 | Adda: An Agent-Driven in-Database Feature Generation System
[ACM] 2026-5-26 | Tenth Workshop on Human-In-the-Loop Data Analytics (HILDA)
[IEEE] 2026-5-26 | Imw 2026 Committees
[IEEE] 2026-5-26 | Table of Contents
[ACM] 2026-5-26 | Geographical Centralization Resilience in Ethereum's Block-Building Paradigms
[ACM] 2026-5-26 | On Abnormal Execution Timing of Conditional Jump Instructions
[IEEE] 2026-5-26 | An Edge-Guided Structural Transformer Network for SAR Time Series Land Cover Mapping
[IEEE] 2026-5-26 | Open-Source Client Modules Supporting Time Transfer with Satellite- and Decrypted Network-Based Precise Point Positioning [Roadmap for Measurement and Applications]
[IEEE] 2026-5-27 | Polarization-Insensitive Silicon-on-Insulator Arrayed Waveguide Grating Router with Bidirectional I/O
[IEEE] 2026-5-27 | Multistatic Radar Joint Range-Velocity Anti-Deceptive Jamming Methods Based on Information Geometry
[IEEE] 2026-5-26 | SINdex: Semantic INconsistency Index for Hallucination Detection in LLMs
[IEEE] 2026-5-27 | Implicit Preference Learning for Adaptive Human-Robot Collaboration Using Task Graphs
[IEEE] 2026-5-27 | Optimized Digital Filtering of EEG Signals for ERP Preservation and Noise Suppression
[IEEE] 2026-5-27 | A 3-bit Digitally-Reconfigurable Driving-Capability nW-Powered Three-Stage Fully-Synthesizable Inverter-Based OTA for Multi-Load/Applications
[IEEE] 2026-5-27 | Coherent Radar Networks: Terminology, Synchronization, and Applications
[IEEE] 2026-5-27 | Fabrication Defect Detection and Characterization of Semiconductor Devices from SEM Images Using Morphological Image Processing
[IEEE] 2026-5-27 | Enhancing Bangla Spam SMS Detection with BERT: A Deep Learning Perspective
[IEEE] 2026-5-27 | Fundamental-Frequency Switching Strategy for a Five-Level Cascaded H-Bridge Inverter Using Selective Harmonic Elimination
[IEEE] 2026-5-27 | Are Pose Estimators Ready for the Open World? STAGE: A GenAI Toolkit for Auditing 3D Human Pose Estimators
[IEEE] 2026-5-27 | A Deep Learning and Explainable Ai Framework to Rank Solar Irradiance Zones in Southern Bangladesh
[IEEE] 2026-5-27 | Noninvasive Assessment of Lung Fluid Accumulation Using Tetrapolar Impedance Measurement
[IEEE] 2026-5-27 | CAOA - Completion-Assisted Object-CAD Alignment
[IEEE] 2026-5-27 | RXV: Interpretable RF-Stacked CNNs for Brain Tumor MRI Classification
[IEEE] 2026-5-27 | Corrections to “Semi-Classical Monte Carlo Simulation of Quantum Confinement Effects in Si Nanosheet and Fin FETs in Industry Standard Orientation”
[IEEE] 2026-5-27 | Temperature-Based Hybrid Modeling for Heating Power Prediction and Fault Detection in Power Transformers
[IEEE] 2026-5-27 | Secrecy Analysis of Pinching-Antenna Systems
[IEEE] 2026-5-27 | Voltage-Dependent Dark Current Modeling in Thin-Film Solar Cells: Effects of Surface Recombination and Device Parameters
[IEEE] 2026-5-27 | Intelligent Heat Stress Management: Economic Impacts and Policy Strategies for Informal Women Workers
[IEEE] 2026-5-27 | PASTA: Controllable Part-Aware Shape Generation with Autoregressive Transformers
[IEEE] 2026-5-26 | Key-Driven Identity Protection and Secure Traceability for Face-Swapping
[IEEE] 2026-5-27 | Comprehensive Analysis and Noise Suppression of Real-World Mud Pulse Telemetry Using an Adaptive Signal Decomposition Method for Downhole Sensing
[IEEE] 2026-5-27 | Learning High-Fidelity Garment Deformation via Skinning-Free Image Transfer
[IEEE] 2026-5-27 | Masthead
[IEEE] 2026-5-27 | Knowledge-Driven Memetic Algorithm with Forgetting Mechanism for the Energy-Aware Flexible Job-Shop Scheduling Problem with Variable Machining Speeds
[IEEE] 2026-5-27 | Towards Real-Time Tea Leaf Disease Management: A Deep Learning Solution for Resource-Constrained Environments
[IEEE] 2026-5-27 | ClustRecNet: A Novel End-to-End Deep Learning Framework for Clustering Algorithm Recommendation
[IEEE] 2026-5-27 | Simulation-Based Modeling and Standing Stabilization of a Bird-Inspired Bipedal Robot with Multi-Joint Dynamics with Contact
[IEEE] 2026-5-27 | Integrating HTS Technology in Wind Energy Systems: A Case for Sustainable Power in Bangladesh
[IEEE] 2026-5-27 | Blood Cancer Classification from Microscopic Images via ViTResNetEnsemble with XAI
[IEEE] 2026-5-27 | Bengali Fake Shield: Developing an Efficient Transformer-based Fake News Detection System for Bengali Language
[IEEE] 2026-5-26 | Influence of geometry and polarization parameters on piezoelectric response of polypropylene piezoelectrets with an arch structure
[IEEE] 2026-5-26 | Joint Channel and AoA Estimation in OTFS System with Fractional Doppler Channels
[ACM] 2026-5-26 | A Variegated Look at Direct-to-Cell Satellites in the Wild
[ACM] 2026-5-26 | PPFedIT: Towards Privacy-Preserving Federated Instruction Tuning with Few-shot Local Examples
[ACM] 2026-5-26 | Demonstration of MultiVis-Agent: Interactively Generating Reliable Visualizations via Logic-Rule Agents
[IEEE] 2026-5-26 | Do Not Forget the Role of Address Mapping Policy in Achieving DRAM-Less SSD Performance
[IEEE] 2026-5-26 | Message from Program Chairs
[IEEE] 2026-5-26 | PLL-XO Codesign for Energy-Efficient and Ultra-Low Noise Frequency Synthesis
[IEEE] 2026-5-26 | AI-Assisted RFIC Design —State-of-the-Art and Challenges
[IEEE] 2026-5-26 | IoT-Enabled Smart Helmet for Real Time Rider Safety Monitoring and Automated Emergency Response System Technology
[IEEE] 2026-5-26 | Total Ionizing Dose Effects on Clock Systems and Peripheral Modules of the MSP430FR6989
[IEEE] 2026-5-26 | Rolling Bearing Domain Generalization Fault Diagnosis Method Based on CWT-MTNet
[IEEE] 2026-5-26 | Modeling and Experiment of Horizontal Vibration Isolation for Series-Connected Inverted Pendulum and Single-Chamber Pneumatic Spring
[IEEE] 2026-5-26 | Novel “S-Cut” Flows for Highly Uniform Multi-Tier Integrated Oxide Semiconductor DRAM
[IEEE] 2026-5-26 | Ensemble based Driver Behaviour Analysis and Accident Mitigation using CNN and LSTM
[IEEE] 2026-5-26 | An EfficientNetV2B3-Based Deep Learning Model for Accurate Diagnosis and Classification of Liver Tumors
[IEEE] 2026-5-26 | Design, Modeling and High-Performance MTPA Control of an Oil-Submersible PMSM
[IEEE] 2026-5-26 | An Intelligent Home Interior Design Suggestion System Using Deep Learning
[IEEE] 2026-5-26 | Detection of the Upper Surface Pose of Yarn Cones for Robot Gripping
[IEEE] 2026-5-26 | Section-Weighted Hybrid Approach for Legal Case Retrieval
[IEEE] 2026-5-26 | Best First Search based Control of Residential Appliance Load Demand
[IEEE] 2026-5-26 | Mitigating Context Loss in Legal RAG: A Metadata-Aware Chunking Strategy for Hierarchical Indian Statutes
[IEEE] 2026-5-26 | EnViD: A Predictive Vision Framework with Temporal Contrast for Efficient and Robust Video Analysis in Dynamic Visual Fields
[IEEE] 2026-5-26 | Personal Healthcare Assistant Using AI
[IEEE] 2026-5-26 | FPGA Realization of an Operand-Aware Dual-Mode Hybrid Arithmetic Unit for 64-Bit Embedded Systems
[IEEE] 2026-5-26 | Mechatronics-AI Collaboration: A Flexible Automated Testing Framework for Smart Home Devices Based on Multimodal Large Language Models
[IEEE] 2026-5-26 | An Explainable ML Framework for Predicting Booking Cancellations in the Hospitality Sector
[IEEE] 2026-5-26 | Light Weight MAMBA Based Deepfake Detection Model
[IEEE] 2026-5-26 | Vehicle Speed Estimation and Classification Using a Low-Cost Continuous-Wave Doppler Radar
[IEEE] 2026-5-26 | Comparison of Multi-Modal Sentiment and Behavior Analysis of Chat Applications Using Text and Emoji-Based Features
[IEEE] 2026-5-26 | A Geo-enabled Employment Platform for Connecting Rural Workforce to Rural Employers
[IEEE] 2026-5-26 | Data-Driven Predictive Maintenance Using Fuzzy Clustering Approaches for Oil Temperature Forecasting in 8E Electrical Locomotives
[IEEE] 2026-5-26 | Unified AI-Driven Multimodel Framework for Real-Time Lecture Understanding and Study Support
