[2025-12-23 09:14:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-22
正在获取论文...
[arXiv] 2025-12-22 | Fourier dimension of imaginary Gaussian multiplicative chaos
[arXiv] 2025-12-22 | Nuclear Physics Mid Term Plan at LNGS
[arXiv] 2025-12-22 | 6DAttack: Backdoor Attacks in the 6DoF Pose Estimation
[arXiv] 2025-12-22 | Quantum sensing of high-frequency gravitational waves with ion crystals
[arXiv] 2025-12-22 | The cyclicity of period annulus of cubic isochronous Hamiltonian systems
[arXiv] 2025-12-22 | Gravitational Production of Massive Spin-2 Particles During Reheating
[arXiv] 2025-12-22 | Locally interval graphs are circular-arc graphs
[arXiv] 2025-12-22 | Time-series Forecast for Indoor Zone Air Temperature with Long Horizons: A Case Study with Sensor-based Data from a Smart Building
[arXiv] 2025-12-22 | Elevating Intrusion Detection and Security Fortification in Intelligent Networks through Cutting-Edge Machine Learning Paradigms
[arXiv] 2025-12-22 | Recontextualization Mitigates Specification Gaming without Modifying the Specification
[arXiv] 2025-12-22 | DREAM: Dynamic Red-teaming across Environments for AI Models
[arXiv] 2025-12-22 | DramaBench: A Six-Dimensional Evaluation Framework for Drama Script Continuation
[arXiv] 2025-12-22 | Efficient Jailbreak Mitigation Using Semantic Linear Classification in a Multi-Staged Pipeline
[arXiv] 2025-12-22 | $Ω_1Ω_2$-$Λ$CDM: A promising natural extension of the standard model of cosmology
[arXiv] 2025-12-22 | Modular Layout Synthesis (MLS): Front-end Code via Structure Normalization and Constrained Generation
[arXiv] 2025-12-22 | Fragmenting Filaments and Evolving Cores -- Insights from Dust Polarisation Study of a filament in Northern Orion B
[arXiv] 2025-12-22 | On $\ell_1$ embeddings of finite metric spaces, and sphere-of-influence graphs
[arXiv] 2025-12-22 | Near-field-driven Radiative Thermal Dynamics in Aperiodic Nanostructures
[arXiv] 2025-12-22 | Light-ray Operators and the ${\rm w}_{1+\infty}$ Algebra
[arXiv] 2025-12-22 | Evolutionary Cooperation with Game Transitions via Markov Decision Chain in Networked Population
[arXiv] 2025-12-22 | FAS-RIS for V2X: Unlocking Realistic Performance Analysis with Finite Elements
[arXiv] 2025-12-22 | DVI: Disentangling Semantic and Visual Identity for Training-Free Personalized Generation
[arXiv] 2025-12-22 | Integrated Ring-based Quantum Key Distribution with Weak Measurement Enhanced Fiber-Optic Sensing Disturbance Magnitude and Location
[arXiv] 2025-12-22 | Photonic variational quantum eigensolver for NISQ-compatible quantum technology
[arXiv] 2025-12-22 | A solution to the problem of the existence of a dense plastic subset $X\subseteq\mathbb{R}$ of cardinality $|X|<\frak{c}$
[arXiv] 2025-12-22 | Finitely presented simple groups with no piecewise projective actions
[arXiv] 2025-12-22 | Interact2Ar: Full-Body Human-Human Interaction Generation via Autoregressive Diffusion Models
[arXiv] 2025-12-22 | 2D coherent spectroscopy signatures of exciton condensation in Ta$_2$NiSe$_5$
[arXiv] 2025-12-22 | Optimal-coupling-observer AV motion control securing comfort in the presence of cyber attacks
[arXiv] 2025-12-22 | WorldWarp: Propagating 3D Geometry with Asynchronous Video Diffusion
[arXiv] 2025-12-22 | Multimodal LLMs for Historical Dataset Construction from Archival Image Scans: German Patents (1877-1918)
[arXiv] 2025-12-22 | The Cone Conjecture for Primitive Symplectic Varieties over a Field of Characteristic Zero and an Application
[arXiv] 2025-12-22 | Finite-gap potentials as a semiclassical limit of the thermodynamic Bethe Ansatz
[arXiv] 2025-12-22 | Non-invertible defects from the Conway SCFT to K3 sigma models II: duality and Fibonacci defects
[arXiv] 2025-12-22 | Towards Reliable Connectivity: Measurement-Driven Assessment of Starlink and OneWeb Non-Terrestrial and 5G Terrestrial Networks
[arXiv] 2025-12-22 | A Markov Chain Modeling Approach for Predicting Relative Risks of Spatial Clusters in Public Health
[arXiv] 2025-12-22 | Search for Quadruplet Scalars using Boosted Decision Trees at the LHC
[arXiv] 2025-12-22 | Trapping and Tunneling of Hydrogen, Deuterium and Oxygen in Niobium
[arXiv] 2025-12-22 | Exponential-to-polynomial scaling of measurement overhead in circuit knitting via quantum tomography
[arXiv] 2025-12-22 | Exploring the features used for summary evaluation by Human and GPT
[arXiv] 2025-12-22 | Quantifying Decoherence
[arXiv] 2025-12-22 | Thermodynamics of large-scale chemical reaction networks
[arXiv] 2025-12-22 | Quantum circuit algorithm for topological invariants of second order topological many-body quantum magnets
[arXiv] 2025-12-22 | Scenario Reduction for the Two-Stage Stochastic Unit Commitment Problem
[arXiv] 2025-12-22 | No Data? No Problem: Robust Vision-Tabular Learning with Missing Values
[arXiv] 2025-12-22 | Input phase noise in Gaussian Boson sampling
[arXiv] 2025-12-22 | Period Change of the Binary System WR+O V444 Cyg: Updated Ephemeris Formula
[arXiv] 2025-12-22 | Extracting quantum field theory dynamics from an approximate ground state
[arXiv] 2025-12-22 | Neutron star crust and outer core equation of state from chiral effective field theory with quantified uncertainties
[arXiv] 2025-12-22 | srvar-toolkit: A Python Implementation of Shadow-Rate Vector Autoregressions with Stochastic Volatility
[arXiv] 2025-12-22 | Learning Generalizable Hand-Object Tracking from Synthetic Demonstrations
[arXiv] 2025-12-22 | Transient Vibroacoustic Control of a Shock-Loaded Inter-Connected Cylindrical Double Shell
[arXiv] 2025-12-22 | LIMOncello: Revisited IKFoM on the SGal(3) Manifold for Fast LiDAR-Inertial Odometry
[arXiv] 2025-12-22 | REALM: A Real-to-Sim Validated Benchmark for Generalization in Robotic Manipulation
[arXiv] 2025-12-22 | Well-posedness and long time dynamics for a quasi-geostrophic ocean-atmosphere model with radiation balance
[arXiv] 2025-12-22 | A Statistical Framework for Understanding Causal Effects that Vary by Treatment Initiation Time in EHR-based Studies
[arXiv] 2025-12-22 | Circular Disformal Kerr: An Exact Rotating Black Hole Beyond GR
[arXiv] 2025-12-22 | Learning Continuous Solvent Effects from Transient Flow Data: A Graph Neural Network Benchmark on Catechol Rearrangement
[arXiv] 2025-12-22 | Negations are powerful even in small depth
[arXiv] 2025-12-22 | New universal vertex algebras as glueings of the basic ones
[arXiv] 2025-12-22 | DK-STN: A Domain Knowledge Embedded Spatio-Temporal Network Model for MJO Forecast
[arXiv] 2025-12-22 | Strain-induced splitting of the CCDW-NCCDW phase transition in 1T-TaS$_2$
[arXiv] 2025-12-22 | Learning from sanctioned government suppliers: A machine learning and network science approach to detecting fraud and corruption in Mexico
[arXiv] 2025-12-22 | Rethinking Coupled Tensor Analysis for Hyperspectral Super-Resolution: Recoverable Modeling Under Endmember Variability
[arXiv] 2025-12-22 | Dynamic Stream Network for Combinatorial Explosion Problem in Deformable Medical Image Registration
[arXiv] 2025-12-22 | Transformer-Based Approach to Enhance Positron Tracking Performance in MEG II
[arXiv] 2025-12-22 | Analytical study of birefringent cavities for axion-like dark matter search
[arXiv] 2025-12-22 | A Large-Language-Model Framework for Automated Humanitarian Situation Reporting
[arXiv] 2025-12-22 | Low-redshift 3D Lyman-α Forest Correlations with China Space Station Telescope
[arXiv] 2025-12-22 | Fully Asynchronous Unsourced Random Access over Fading Channels
[arXiv] 2025-12-22 | Phase coexistence in thermo-responsive PNIPAM hydrogels triggered by mechanical forces
[arXiv] 2025-12-22 | Spectral Shinkage of Gaussian Entropic Optimal Transport
[arXiv] 2025-12-22 | SiamGPT: Quality-First Fine-Tuning for Stable Thai Text Generation
[arXiv] 2025-12-22 | A Rate-Distortion Perspective on the Emergence of Number Sense in Unsupervised Generative Models
[arXiv] 2025-12-22 | An alternative approach to well-posedness of McKean-Vlasov equations arising in Consensus-Based Optimization
[arXiv] 2025-12-22 | RAPID-LLM: Resilience-Aware Performance analysis of Infrastructure for Distributed LLM Training and Inference
[arXiv] 2025-12-22 | Energy dissipation mechanisms in an acoustically-driven slit
[arXiv] 2025-12-22 | The Best of Both Worlds: Hybridizing Neural Operators and Solvers for Stable Long-Horizon Inference
[arXiv] 2025-12-22 | Critical phenomenon inside asymptotically flat black holes with spontaneous scalarization
[arXiv] 2025-12-22 | Ground state solutions to the nonlinear Born-Infeld problem
[arXiv] 2025-12-22 | Orbital Magnetization Reveals Multiband Topology
[arXiv] 2025-12-22 | In-situ control of hole-spin driving mechanisms
[arXiv] 2025-12-22 | On the basin of attraction for the free boundary free elastic flow
[arXiv] 2025-12-22 | Sensitivity-Aware Mixed-Precision Quantization for ReRAM-based Computing-in-Memory
[arXiv] 2025-12-22 | Real-Time Streamable Generative Speech Restoration with Flow Matching
[arXiv] 2025-12-22 | Dynamics of clusters of galaxies in the presence of dark energy: Virgo cluster
[arXiv] 2025-12-22 | Fano profile in the resonance fluorescence spectrum of a solid-state quantum emitter coupled to phonons
[arXiv] 2025-12-22 | Hybrid Analytical-Machine Learning Framework for Ripple Factor Estimation in Cockcroft-Walton Voltage Multipliers with Residual Correction for Non-Ideal Effects
[arXiv] 2025-12-22 | Optimization of the characteristics of a relativistic electron beam based on laser wake-field acceleration using a non-symmetric gas target profile
[arXiv] 2025-12-22 | Critical Poisson hyperplane percolation in hyperbolic space has no unbounded cells
[arXiv] 2025-12-22 | On the small Schröder semigroup $\mathcal{SS}^{\prime}_{n}$
[arXiv] 2025-12-22 | Hölder regularity of doubly nonlinear nonlocal quasilinear parabolic equations in some mixed singular-degenerate regime
[arXiv] 2025-12-22 | Machine Learning of Temperature-dependent Chemical Kinetics Using Parallel Droplet Microreactors
[arXiv] 2025-12-22 | Symplectic Reservoir Representation of Legendre Dynamics
[arXiv] 2025-12-22 | Undecidability of theories of semirings with fixed points
[arXiv] 2025-12-22 | Tree tensor networks for many-body localization in two dimensions
[arXiv] 2025-12-22 | Real-Time Machine Learning for Embedded Anomaly Detection
[arXiv] 2025-12-22 | Berry phase polarization and orbital magnetization responses of insulators: Formulas for generalized polarizabilities and their application
[arXiv] 2025-12-22 | OmniMER: Indonesian Multimodal Emotion Recognition via Auxiliary-Enhanced LLM Adaptation
[arXiv] 2025-12-22 | Finding the best density functionals for water: benchmarking the forces
[arXiv] 2025-12-22 | Non-supersymmetric strings on AdS$_3$: a world-sheet perspective
[arXiv] 2025-12-22 | Measurement of Fifth- and Sixth-Order Fluctuations of (Net-)proton Number in Au+Au Collisions from Phase II of the Beam Energy Scan Program at RHIC
[arXiv] 2025-12-22 | Decoupling for Markov Chains
[arXiv] 2025-12-22 | VIGOR+: Iterative Confounder Generation and Validation via LLM-CEVAE Feedback Loop
[arXiv] 2025-12-22 | p-Groups in which kernels of the non-linear irreducible characters are of equal order
[arXiv] 2025-12-22 | Faster Distributed Inference-Only Recommender Systems via Bounded Lag Synchronous Collectives
[arXiv] 2025-12-22 | GANeXt: A Fully ConvNeXt-Enhanced Generative Adversarial Network for MRI- and CBCT-to-CT Synthesis
[arXiv] 2025-12-22 | An overdetermined problem related to the p-Laplacian on Riemannian manifolds
[arXiv] 2025-12-22 | Extended OpenTT Games Dataset: A table tennis dataset for fine-grained shot type and point outcome
[arXiv] 2025-12-22 | High dimensional matrix estimation through elliptical factor models
[arXiv] 2025-12-22 | A new family of maximum linear symmetric rank-distance codes
[arXiv] 2025-12-22 | A New Approach to Defining Cochain Complexes for Tri-dendriform algebra
[arXiv] 2025-12-22 | Neural Implicit Heart Coordinates: 3D cardiac shape reconstruction from sparse segmentations
[arXiv] 2025-12-22 | Binary Neural Network Implementation for Handwritten Digit Recognition on FPGA
[arXiv] 2025-12-22 | RMLer: Synthesizing Novel Objects across Diverse Categories via Reinforcement Mixing Learning
[arXiv] 2025-12-22 | Helios: A Foundational Language Model for Smart Energy Knowledge Reasoning and Application
[arXiv] 2025-12-22 | Optimal operating parameters for next-generation xenon gas time projection chambers
[arXiv] 2025-12-22 | Spectral Gap Estimation via Adiabatic Preparation
[arXiv] 2025-12-22 | Translating Flow to Policy via Hindsight Online Imitation
[arXiv] 2025-12-22 | Quantifying superluminal signalling in Schrödinger-Newton model
[arXiv] 2025-12-22 | Topology-based Conditions for Multiconsensus under the Signed Friedkin-Johnsen Model
[arXiv] 2025-12-22 | Machine Unlearning in the Era of Quantum Machine Learning: An Empirical Study
[arXiv] 2025-12-22 | From Black-Box Tuning to Guided Optimization via Hyperparameters Interaction Analysis
[arXiv] 2025-12-22 | VisionDirector: Vision-Language Guided Closed-Loop Refinement for Generative Image Synthesis
[arXiv] 2025-12-22 | Regression generation adversarial network based on dual data evaluation strategy for industrial application
[arXiv] 2025-12-22 | Observer, Not Player: Simulating Theory of Mind in LLMs through Game Observation
[arXiv] 2025-12-22 | Outburst Characteristics of Transient Low Mass X-ray Binary 4U 1608-52
[arXiv] 2025-12-22 | Quantum correlations curvature, memory functions, and fundamental bounds
[arXiv] 2025-12-22 | An asymptotically compatible unfitted finite element methods for nonlocal elliptic Interfaces: local limits and sharp error estimates
[arXiv] 2025-12-22 | The critical percolation window in growing random graphs
[arXiv] 2025-12-22 | When Less is More: 8-bit Quantization Improves Continual Learning in Large Language Models
[arXiv] 2025-12-22 | Migration of gold atoms into a thiol-bonded molecular self-assembled monolayer, forming a cluster exhibiting a Coulomb staircase
[arXiv] 2025-12-22 | LouvreSAE: Sparse Autoencoders for Interpretable and Controllable Style Transfer
[arXiv] 2025-12-22 | The Ensemble Schr{ö}dinger Bridge filter for Nonlinear Data Assimilation
[arXiv] 2025-12-22 | Partition Function Estimation Using Analog Quantum Processors
[arXiv] 2025-12-22 | Zero-shot Reconstruction of In-Scene Object Manipulation from Video
[arXiv] 2025-12-22 | An Adaptive Graphical Lasso Approach to Modeling Symptom Networks of Common Mental Disorders in Eritrean Refugee Population
[arXiv] 2025-12-22 | VA-$π$: Variational Policy Alignment for Pixel-Aware Autoregressive Generation
[arXiv] 2025-12-22 | QuSquare: Scalable Quality-Oriented Benchmark Suite for Pre-Fault-Tolerant Quantum Devices
[arXiv] 2025-12-22 | Birational geometry of del Pezzo surfaces of degree 4
[arXiv] 2025-12-22 | The effects of alloy disorder on strongly-driven flopping mode qubits in Si/SiGe
[arXiv] 2025-12-22 | Extremizing Measures of Magic on Pure States by Clifford-stabilizer States
[arXiv] 2025-12-22 | 4D Gaussian Splatting as a Learned Dynamical System
[arXiv] 2025-12-22 | Milstein-type Schemes for Hyperbolic SPDEs
[arXiv] 2025-12-22 | Subgroups of Cyclically Amalgamated Free Products
[arXiv] 2025-12-22 | Schwarzian quantum corrections to shear correlators of the near-extremal Reissner-Nordström-AdS black hole
[arXiv] 2025-12-22 | Testing for Conditional Independence in Binary Single-Index Models
[arXiv] 2025-12-22 | Counterexamples for FX Options Interpolations -- Part I
[arXiv] 2025-12-22 | KerJEPA: Kernel Discrepancies for Euclidean Self-Supervised Learning
[arXiv] 2025-12-22 | Static size-effects meet the dynamic scattering properties of finite-sized mechanical metamaterials: a relaxed micromorphic study with parameter identification via two-stage static-dynamic optimization
[arXiv] 2025-12-22 | Enhanced Permittivity in Wurtzite ScAlN through Nanoscale Sc Clustering
[arXiv] 2025-12-22 | A modified Brinkman penalization fictitious domain method for the unsteady Navier-Stokes equations
[arXiv] 2025-12-22 | Optimal Uncertainty Quantification under General Moment Constraints on Input Subdomains
[arXiv] 2025-12-22 | The Epistemological Consequences of Large Language Models: Rethinking collective intelligence and institutional knowledge
[arXiv] 2025-12-22 | On the Metric $f(R)$ gravity Viability in Accounting for the Binned Supernovae Data
[arXiv] 2025-12-22 | Towards Closed-Loop Embodied Empathy Evolution: Probing LLM-Centric Lifelong Empathic Motion Generation in Unseen Scenarios
[arXiv] 2025-12-22 | Ulrich complexity and Picard rank of bidouble Planes
[arXiv] 2025-12-22 | Finite time energy cascade for mixed $3-$ and $4-$wave kinetic equations
[arXiv] 2025-12-22 | Multi-Modal Soccer Scene Analysis with Masked Pre-Training
[arXiv] 2025-12-22 | Evolution of finite temperature Bose-Einstein Condensates: Some rigorous studies on condensate growth
[arXiv] 2025-12-22 | LacaDM: A Latent Causal Diffusion Model for Multiobjective Reinforcement Learning
[arXiv] 2025-12-22 | Toward Scalable and Valid Conditional Independence Testing with Spectral Representations
[arXiv] 2025-12-22 | Beyond Language Boundaries: Uncovering Programming Language Families for Code Language Models
[arXiv] 2025-12-22 | A Collimation System Baseline Design for the Electron Storage Ring at the Electron-Ion Collider
[arXiv] 2025-12-22 | Large deviations for stochastic evolution equations beyond the coercive case
[arXiv] 2025-12-22 | Transitive sets of derangements in primitive actions of PSL_2(q)
[arXiv] 2025-12-22 | High-dimensional normal approximations for sums of Langevin Markov chains
[arXiv] 2025-12-22 | Strong model-agnostic constraints for twin-star solutions
[arXiv] 2025-12-22 | Revealing the intricacies of radio galaxies and filaments in the merging galaxy cluster Abell 2255. II. Properties of filaments using multi-frequency radio data
[arXiv] 2025-12-22 | Epistemological Fault Lines Between Human and Artificial Intelligence
[arXiv] 2025-12-22 | A critical threshold for the cosmological Euler-Poisson system
[arXiv] 2025-12-22 | Causal Heterogeneous Graph Learning Method for Chronic Obstructive Pulmonary Disease Prediction
[arXiv] 2025-12-22 | Strong actuation and optomechanical application of mass loaded membranes
[arXiv] 2025-12-22 | Semantic Communication for Rate-Limited Closed-Loop Distributed Communication-Sensing-Control Systems
[arXiv] 2025-12-22 | Optimal stabilization rate for the wave equation with hyperbolic boundary condition
[arXiv] 2025-12-22 | Centralisers of semi-simple elements are semidirect products
[arXiv] 2025-12-22 | OmniMoGen: Unifying Human Motion Generation via Learning from Interleaved Text-Motion Instructions
[arXiv] 2025-12-22 | Classical billiards can compute
[arXiv] 2025-12-22 | RP-CATE: Recurrent Perceptron-based Channel Attention Transformer Encoder for Industrial Hybrid Modeling
[arXiv] 2025-12-22 | Asymmetric and chiral dynamics of two-component anyons with synthetic gauge flux
[arXiv] 2025-12-22 | The Snapshot Problem for Wave Equations on Homogeneous Trees
[arXiv] 2025-12-22 | D$^{2}$Stream: Decoupled Dual-Stream Temporal-Speaker Interaction for Audio-Visual Speaker Detection
[arXiv] 2025-12-22 | Stop saying LLM: Large Discourse Models (LDM) and Artificial Discursive Agent (ADA)?
[arXiv] 2025-12-22 | Reactive near-field subwavelength microwave imaging with a non-invasive Rydberg probe
[arXiv] 2025-12-22 | FC-MIR: A Mobile Screen Awareness Framework for Intent-Aware Recommendation based on Frame-Compressed Multimodal Trajectory Reasoning
[arXiv] 2025-12-22 | Timely Parameter Updating in Over-the-Air Federated Learning
[arXiv] 2025-12-22 | Physical Conditions for Synthesis of Sc, Ti, and V in Neutrino-driven Supernovae
[arXiv] 2025-12-22 | Field-induced anomaly in the anisotropic non-Fermi-liquid normal state of UBe$_{13}$
[arXiv] 2025-12-22 | DIVER-1 : Deep Integration of Vast Electrophysiological Recordings at Scale
[arXiv] 2025-12-22 | Low-Latency and Low-Complexity MLSE for Short-Reach Optical Interconnects
[arXiv] 2025-12-22 | Fermionic pole-skipping in de Sitter spacetime
[arXiv] 2025-12-22 | $γ(3,4)$ `Attention' in Cognitive Agents: Ontology-Free Knowledge Representations With Promise Theoretic Semantics
[arXiv] 2025-12-22 | CoDrone: Autonomous Drone Navigation Assisted by Edge and Cloud Foundation Models
[arXiv] 2025-12-22 | Optimal 3D Directional WPT Charging via UAV for 3D Wireless Rechargeable Sensor Networks
[arXiv] 2025-12-22 | The Milky Way Bulge Extra-Tidal Star Survey: NGC 6569
[arXiv] 2025-12-22 | Measurement of inclusive dijet cross-sections in proton-proton collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector
[arXiv] 2025-12-22 | Non-Dichroic Enantio-Sensitive Chiroptical Spectroscopy
[arXiv] 2025-12-22 | On the curvature operator in dimensions $4n$
