[2026-05-26 23:10:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-25
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605250000+TO+202605252359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-25 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[IEEE] 2026-5-26 | Reusing Demolished Concrete Waste in Pressed Concrete Brick Production
[IEEE] 2026-5-26 | Integrating High-Cardinality Categorical Features and Graph Neural Networks for Customs Fraud Detection with Label Scarcity
[IEEE] 2026-5-26 | Fcdnets: Surface-Graph Neural Networks for Automated Detection of Focal Cortical Dysplasia on Multi-Contrast Mri Surface Maps
[IEEE] 2026-5-26 | Enhancing Fraud Detection in Financial Transactions through a Hybrid Machine Learning Model
[ACM] 2026-5-26 | RIOT: Replicated Independently-Ordered Transactions
[ACM] 2026-5-26 | Building, Serving, and Growing a Conversational AI Assistant for Enterprise
[ACM] 2026-5-26 | 22
                    <i>
                      <sup>nd</sup>
                    </i>
                    International Workshop on Data Management on New Hardware (DaMoN)
[ACM] 2026-5-26 | LindormVector: A Distributed Vector Engine on a Cloud-Native Multi-Model NoSQL Database
[ACM] 2026-5-26 | Adda: An Agent-Driven in-Database Feature Generation System
[ACM] 2026-5-26 | Tenth Workshop on Human-In-the-Loop Data Analytics (HILDA)
[IEEE] 2026-5-25 | UAV Swarm-Based Dynamic Differential GNSS with Collaborative Multipath Mitigation: Low-Altitude Augmentation System for Emergency Positioning
[IEEE] 2026-5-25 | Enhancing Cell-Free SWIPT IoT Networks By Active RIS
[IEEE] 2026-5-25 | Tactile-Sensor-Embedded Treadmill for Deep Learning-Based Step-Length Measurement
[IEEE] 2026-5-25 | DB-CoGNN: A Dual-Branch Synergistic Contrastive Graph Neural Network for Robust Small-Signal Stability Assessment
[IEEE] 2026-5-25 | Compact High-Linearity and Wide-Range Permittivity Measurement Phase-Variation Sensor Based on Electronically Tunable Structure
[IEEE] 2026-5-25 | Digital Twin-Empowered Vehicle–Road Cooperation: A Perception and Virtualization Paradigm for Connected and Automated Vehicles
[IEEE] 2026-5-25 | Pathwise guessing in categorical time series with unbounded alphabets
[IEEE] 2026-5-25 | On the role of stubbornness in Nash equilibrium problems
[IEEE] 2026-5-25 | Feature Map Compression for Split Learning in Mobile Wireless Environment: Theory and Practice
[IEEE] 2026-5-25 | Stability and Performance Enhancement of IoT-Enabled Dual-Axis Solar Tracker Using Red Colobuses Monkey Optimization Algorithm
[IEEE] 2026-5-25 | Adaptive Feature Enhancement for SAR-based Ship Detection
[IEEE] 2026-5-25 | Scanpath Prediction in Panoramic Videos Via Expected Code Length Minimization
[IEEE] 2026-5-25 | IEEE CS Career Center
[ACM] 2026-5-25 | Participatory Design Back to its Political Roots : Insights from the Full Papers
[IEEE] 2026-5-25 | Improved YOLOv8-Based Small Target Defect Identification in Substations
[IEEE] 2026-5-25 | PQV Modeling and Voltage Regulation Strategy for Distributed Photovoltaic Systems Under Reverse Power Flow Conditions
[IEEE] 2026-5-25 | Novel Structure and Control Strategy for Electrolysis Hydrogen Powered by Offshore Wind Power
[IEEE] 2026-5-25 | Horizontal Transfer Strategy Based Collaborative Optimization for Power Grid Emergency Resource Scheduling
[IEEE] 2026-5-26 | Decision letter for "A Physics-Informed Convolutional Neural Network for Global Ocean PAR Reconstruction from Satellite Observations"
[ACM] 2026-5-26 | Orchestrating the Schema
[ACM] 2026-5-26 | Geographical Centralization Resilience in Ethereum's Block-Building Paradigms
[ACM] 2026-5-26 | On Abnormal Execution Timing of Conditional Jump Instructions
[IEEE] 2026-5-26 | RL-Enabled LoS Blockage Avoidance for Visible Light Robot Localization
[IEEE] 2026-5-26 | Thermal Drift Correction of NV Current Sensors via Marine Predators Algorithm
[IEEE] 2026-5-26 | RACER: A Caching Layer based Optimization for Accelerating Reinforcement Learning Workloads
[IEEE] 2026-5-26 | Monolithic Integration of SiC Gate Driver and VDMOS with P-Bottom Isolation and Recess Contact
[IEEE] 2026-5-26 | Infrared Small Target Detection Method Based on Progressive Active Learning and Dynamic Negative Augmentation
[IEEE] 2026-5-26 | Detecting Attribute Changes in Entity Records Using Cross-Attention Mechanisms
[IEEE] 2026-5-26 | A Reasoning-Based Robotic Bolt Fastening System with a Dexterous Hand
[IEEE] 2026-5-26 | Pneumonia Detection Using a Hybrid CNN and Swin Transformer Architecture
[IEEE] 2026-5-26 | BFA-YOLO: Steel Surface Defect Detection with Bi-Level Routing Attention and Frequency-Aware Feature Fusion
[IEEE] 2026-5-26 | Robotic Scanning Path Planning Based on K-Means Clustering and PSO
[IEEE] 2026-5-26 | Research on Object Detection Using YOLOv5 in Haze Conditions
[IEEE] 2026-5-26 | Optimal Recloser Placement in Radial Distribution Networks Using LSTM-Based Fault Risk Pattern and Artificial Bee Colony Algorithm
[IEEE] 2026-5-26 | Research on Laser Charging Technology for Aerial Networking of UAV Swarms
[IEEE] 2026-5-26 | Firefighter Floor Positioning Algorithm Integrating Constrained EKF and Asymmetric Discrimination
[IEEE] 2026-5-26 | A Morphology-Aware Spatial-Frequency Network for High-Precision Bearing Defect Detection
[IEEE] 2026-5-26 | Table of Contents
[IEEE] 2026-5-26 | Design of an AI-Assisted Robotic Arm Workstation for Elderly Care
[IEEE] 2026-5-26 | Liv-AR: A Web-Based Augmented Reality Platform for Immersive NCERT History Education
[IEEE] 2026-5-26 | Decentralized Trust Establishment for Digital Credentials using Blockchain Technology
[IEEE] 2026-5-26 | Deep Learning Model for Early Lung Nodule Classification
[IEEE] 2026-5-26 | Incorporating Meteorological Data and Pesticide Usage for Crop Yield Prediction Using Machine Learning
[IEEE] 2026-5-26 | Compliant, High-Strain Capacitive Stretch Sensors for Soft Robotics and Wearable Electronics
[IEEE] 2026-5-26 | An Accessible Framework for Real-Time PM
                    <sub>2.5</sub>
                    Forecasting Using Neural Networks and Gaussian Plume Modeling
[IEEE] 2026-5-26 | CyberChain: Enhancing Document Security with Blockchain and AI
[IEEE] 2026-5-26 | An Edge-Guided Structural Transformer Network for SAR Time Series Land Cover Mapping
[IEEE] 2026-5-25 | Mapping AI Literacy Expectations in Technical and Professional Communication: Evidence From 137 AI-Referenced Job Postings
[IEEE] 2026-5-26 | Open-Source Client Modules Supporting Time Transfer with Satellite- and Decrypted Network-Based Precise Point Positioning [Roadmap for Measurement and Applications]
[IEEE] 2026-5-25 | TwinRL-Onco: A World Model-Empowered Digital Twin Framework with Hierarchical Reinforcement Learning for Venetoclax Resistance Trajectory Prediction and Adaptive Therapy Optimization in Chronic Lymphocytic Leukemia
[IEEE] 2026-5-25 | LGIEA: A Local-Global Information Guided Evolutionary Algorithm for Influence Maximization
[IEEE] 2026-5-26 | SINdex: Semantic INconsistency Index for Hallucination Detection in LLMs
[IEEE] 2026-5-26 | Key-Driven Identity Protection and Secure Traceability for Face-Swapping
[IEEE] 2026-5-26 | Influence of geometry and polarization parameters on piezoelectric response of polypropylene piezoelectrets with an arch structure
[IEEE] 2026-5-26 | Beyond Latency: A System-Level Characterization of MPC and FHE for PPML
[IEEE] 2026-5-26 | Comparison of HT and MT Intermittent Gait Patterns for a Self-Propelled Undulatory Hydrofoil
[IEEE] 2026-5-26 | Robust Force Control for Omnidirectional Mobile Robots in Wall Grinding Tasks
[IEEE] 2026-5-26 | Explainable Deep Reinforcement Learning for Scalable and Trustworthy Autonomous Decision Systems
[IEEE] 2026-5-26 | Modeling and Measuring Redundancy in Multisource Multimodal Data for Autonomous Driving
[IEEE] 2026-5-26 | IoT Enabled QR Code System for Automated Patient Health Monitoring
[IEEE] 2026-5-26 | Evaluation of Sidewalls Properties in HZO-Based 3D Ferroelectric Capacitors
[IEEE] 2026-5-26 | Design Architecture Trade-Offs for Hybrid Bonded Array-Periphery VBL 3D-DRAM
[IEEE] 2026-5-26 | Research on Dynamic Modeling and Control Strategy of a Novel Planar 2-DOF Parallel Robot
[IEEE] 2026-5-26 | Automatic Detection of Cervical Cancer Cells via Residual Network
[IEEE] 2026-5-26 | Torque Reallocation Strategy Considering Thermal Derating Constraints for in-Wheel Motor EVs Under Extreme Conditions
[IEEE] 2026-5-26 | Imw 2026 Committees
[IEEE] 2026-5-26 | Logical Scaling Beyond 4 Bit/Cell: Opportunities and Challenges
[IEEE] 2026-5-26 | A Unified Adsorption Performance Framework for Selecting Biochar-Nanoparticle Systems in Heavy Metal Water Filtration
[IEEE] 2026-5-26 | The Ethics of Generative AI in Anonymous Spaces: A Case Study of 4chan's /pol/ Board
[IEEE] 2026-5-26 | Probing English and Spanish Syntax in Language Models
[IEEE] 2026-5-26 | Design of a Triple Band-Notched UWB MIMO Antenna with Mutual Coupling Reduction Using H-Shaped DGS
[IEEE] 2026-5-26 | Noisy Pixels, Credible Decisions – A Robust, Edge-Ready Neuro-Symbolic Architecture for Rural (African) Clinics
[IEEE] 2026-5-26 | A Decentralized Proof Framework for Digital Authorship and Ownership
[IEEE] 2026-5-26 | Nimbusort: Advanced Detection of Ionospheric Disturbances Using EM Signatures
[IEEE] 2026-5-26 | Archaeology Meets Materials Science, Chemistry, and Statistics: A Multidisciplinary Analysis of Ecuadorian Greenstone Beads
[IEEE] 2026-5-26 | Queue Monitoring and Occupancy Estimation Using Image Processing
[IEEE] 2026-5-26 | Transformer-Patch Networks for Accurate Remaining Useful Life Prediction in Electromechanical Systems
[IEEE] 2026-5-26 | California PM
                    <sub>2.5</sub>
                    : A Ground- and Satellite-Based Data Analysis and Policy Investigation
[IEEE] 2026-5-26 | Autonomous Vision-Based Smart Ramp in Urban Infrastructure
[IEEE] 2026-5-26 | Prompt Engineering for Competitive Programming: Improving o4-mini's Accuracy on Codeforces Tasks
[IEEE] 2026-5-26 | Optimizing Data-Driven Solutions for Power Quality Management in Africa: Addressing Unbalanced Datasets with Machine Learning
[IEEE] 2026-5-26 | Challenges in 2D Hybrid Non-Quasineutral Hall Thruster Simulation
[IEEE] 2026-5-26 | AnoDoc: Robust Anomaly-Based Document Forgery Detection
[IEEE] 2026-5-26 | Implications of Higher Voltage Levels for Electric Vehicle Traction
[IEEE] 2026-5-26 | Zero-Shot Image Classification in Low-Resource Medical Image Diagnosis Using Fine-Tuning Transformer Models
[IEEE] 2026-5-26 | Experimental Validation of a Novel Smart ASIC for X-Ray Spectroscopy
[IEEE] 2026-5-26 | Explainable Brain Tumor Classification in MRI Using VGG19 Transfer Learning and Grad-CAM Visualization
[IEEE] 2026-5-26 | SPHINX: An Agentic AI System for Automated Scientific Discovery in Computational Biology
[IEEE] 2026-5-26 | An Experimental Analysis of Data Augmentation and Pretraining for Mammogram Image Classification
[IEEE] 2026-5-26 | Uncertainty Estimation and Risk Analysis in Hybrid Self-Attention LSTM Models for Insider Threat Detection towards Cyber Risk Management
[IEEE] 2026-5-26 | A Hybrid QGWO–PSO Based LET-Bounded RSU-Assisted QoS Routing Scheme for VANETs
[IEEE] 2026-5-25 | Broadband and Wide-Angle Conformal Active Metasurface for Continuous and Dynamic RCS Modulation
[IEEE] 2026-5-26 | Breast Cancer Classification from Medical Images Using AI Models: A Comprehensive Review
[IEEE] 2026-5-26 | Joint Channel and AoA Estimation in OTFS System with Fractional Doppler Channels
[IEEE] 2026-5-26 | Emotion-Aware Multilingual Sign Language Interpretation Using Deep Learning
[IEEE] 2026-5-25 | EEG-Based Depression Detection with Temporal-Spectral and Graph Cross-Attention in a Sensor Signal-Processing Architecture
[IEEE] 2026-5-25 | Decomposition and Successive Decomposition Methods and Algorithms for Nonconvex Optimization
[IEEE] 2026-5-25 | Site-Specific Channel Modeling and Optimization of RIS-Assisted Multiuser MISO Systems
[IEEE] 2026-5-25 | Reconfigurable Magnetic Field Shaping via Current-Controlled Relay Coils for Wirelessly Powering Capsule Endoscopy
[IEEE] 2026-5-25 | Analysis of China's Dual Carbon Control Progress and Its Impacts on the Power System
[IEEE] 2026-5-25 | YOLOv8-EfficientViT for Robust Personnel Detection in Substation Operation Scenes
[IEEE] 2026-5-25 | Early Anomaly Detection of Wind Turbine Main Bearings Based on Multi-Head Self-Attention Network
[IEEE] 2026-5-25 | Research on Synergistic Optimization of Source-Load-Storage Based on Integrated Energy
[IEEE] 2026-5-25 | Harmonic-excited Closed-slot Brushless Wound Rotor Synchronous Machine with Reduced Torque Ripple
[IEEE] 2026-5-25 | Integrating Network and Attack Graphs for Service-Centric Impact Analysis
[IEEE] 2026-5-25 | Reliable Multi-Modal Object Re-Identification via Modality-Aware Graph Reasoning
[IEEE] 2026-5-25 | Autonomous Causal Discovery: Evaluating LLMs' Priors and Constraint Strategies for Reliability_supp1-3689960.pdf
[IEEE] 2026-5-25 | Mitigate Catastrophic Remembering via Continual Self-Paced Dual-Knowledge Purification for Noisy Lifelong Person Re-Identification_supp1-3693671.pdf
[IEEE] 2026-5-25 | BAPA-Net: Cross-Domain Few-Shot Object Detection in Remote Sensing via Background-Aligned Prototype Aggregation
[IEEE] 2026-5-25 | June Calendar
[ACM] 2026-5-26 | A Variegated Look at Direct-to-Cell Satellites in the Wild
[ACM] 2026-5-26 | PPFedIT: Towards Privacy-Preserving Federated Instruction Tuning with Few-shot Local Examples
[IEEE] 2026-5-26 | Modeling and Experiment of Horizontal Vibration Isolation for Series-Connected Inverted Pendulum and Single-Chamber Pneumatic Spring
[IEEE] 2026-5-26 | Best First Search based Control of Residential Appliance Load Demand
[IEEE] 2026-5-26 | Machine Learning-Based Analysis of Lithium-Ion Battery Ageing in Electric Vehicles Under Dynamic Conditions
[IEEE] 2026-5-26 | Message from Program Chairs
[IEEE] 2026-5-26 | Novel “S-Cut” Flows for Highly Uniform Multi-Tier Integrated Oxide Semiconductor DRAM
[IEEE] 2026-5-26 | Toward Robust Autonomous Driving in Rural and Off-Road Environments: A Perception Based Approach
[ACM] 2026-5-26 | Demonstration of MultiVis-Agent: Interactively Generating Reliable Visualizations via Logic-Rule Agents
[IEEE] 2026-5-26 | Section-Weighted Hybrid Approach for Legal Case Retrieval
[IEEE] 2026-5-26 | Mechatronics-AI Collaboration: A Flexible Automated Testing Framework for Smart Home Devices Based on Multimodal Large Language Models
[IEEE] 2026-5-26 | A Survey on Multilingual Fact-Checking
[IEEE] 2026-5-26 | PLL-XO Codesign for Energy-Efficient and Ultra-Low Noise Frequency Synthesis
[IEEE] 2026-5-26 | Climate-Driven Disease Dynamics: A Scoping Review of Machine Learning Applications in Predicting Vector-Borne, Tick-Borne, Airborne, and Waterborne Diseases
[IEEE] 2026-5-26 | Ensemble based Driver Behaviour Analysis and Accident Mitigation using CNN and LSTM
[IEEE] 2026-5-26 | Rolling Bearing Domain Generalization Fault Diagnosis Method Based on CWT-MTNet
[IEEE] 2026-5-26 | eBeeMetrics: An eBPF-based Library Framework for Feedback-free Observability of QoS Metrics
[IEEE] 2026-5-26 | Self-Supervised Representation Learning for Data-Efficient Crop Yield Estimation from Multi-Temporal Remote Sensing Data
[IEEE] 2026-5-26 | IoT-Enabled Smart Helmet for Real Time Rider Safety Monitoring and Automated Emergency Response System Technology
[IEEE] 2026-5-26 | Contact-Length Scaling and Carrier Injection in ML MoS
                    <sub>2</sub>
                    FETs with Hybrid Sb S/D Contacts
[IEEE] 2026-5-26 | Comprehensive Evaluation of Techniques for Autism Spectrum Disorder Detection: A Deep Analysis
[IEEE] 2026-5-26 | Detection of the Upper Surface Pose of Yarn Cones for Robot Gripping
[IEEE] 2026-5-26 | Optimization and Simulation of a Broadband Vibration Energy Harvester for Self-Powered Transmission Line Applications
[IEEE] 2026-5-26 | Design, Modeling and High-Performance MTPA Control of an Oil-Submersible PMSM
[IEEE] 2026-5-26 | An Explainable ML Framework for Predicting Booking Cancellations in the Hospitality Sector
[IEEE] 2026-5-26 | AI-Assisted RFIC Design —State-of-the-Art and Challenges
[IEEE] 2026-5-26 | Design and Performance Analysis of an Axial-Flux Permanent Magnet Motor Based on Halbach Array
[IEEE] 2026-5-26 | Hybrid Transformer-Statistical Framework for Explainable Anomaly Detection in Time-Series Data: Enhancing Operational Monitoring and Security
[IEEE] 2026-5-26 | Evaluating Logical Reasoning Ability of Large Language Models
[IEEE] 2026-5-26 | A Compact 3T1F FeRAM Compute Cell for In-Memory MAC Using Partial Polarization Switching
[IEEE] 2026-5-26 | Deep Learning-Based Sign Language Classification with IoT-Enabled Emergency Alert Support
[IEEE] 2026-5-26 | Unified AI-Driven Multimodel Framework for Real-Time Lecture Understanding and Study Support
[IEEE] 2026-5-26 | Heart Disease Prediction with Personalized Diet and Exercise Recommendation using Machine Learning
[IEEE] 2026-5-26 | Fail-Operational Architecture for ADAS-Integrated Lighting ECUs: Achieving ASIL-B with Triple Modular Redundancy
[IEEE] 2026-5-26 | Light Weight MAMBA Based Deepfake Detection Model
[IEEE] 2026-5-26 | Leaf-Based Health Assessment using CNN for NPK Deficiency Detection and IoT for Soil Analysis
[IEEE] 2026-5-26 | An EfficientNetV2B3-Based Deep Learning Model for Accurate Diagnosis and Classification of Liver Tumors
[IEEE] 2026-5-26 | Transformer-Enhanced ShuffleLinkNet with Adaptive Feature Fusion for Cyber-Attack Detection in Big Data Environments
