[2026-02-11 09:40:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[arXiv] 2026-02-10 | Cavity control of multiferroic order in single-layer NiI$_2$
[arXiv] 2026-02-10 | Assessment of jet inflow conditions on the development of supersonic jet flows
[arXiv] 2026-02-10 | LLM-FS: Zero-Shot Feature Selection for Effective and Interpretable Malware Detection
[arXiv] 2026-02-10 | Fully Differentiable Bidirectional Dual-Task Synergistic Learning for Semi-Supervised 3D Medical Image Segmentation
[arXiv] 2026-02-10 | Orbital Period Changes of Recurrent Nova T Pyxidis Demonstrate that M_ejecta >> 11.3xM_accreted and Is Not a Type Ia Supernova Progenitor
[arXiv] 2026-02-10 | Schrödinger operators with concentric $δ$--shell interactions
[arXiv] 2026-02-10 | Latent Poincaré Shaping for Agentic Reinforcement Learning
[arXiv] 2026-02-10 | A proof of Dolbeault geometric Langlands for $\GL_2$ with reduced spectral curves
[arXiv] 2026-02-10 | Data Sharing with Endogenous Choices over Differential Privacy Levels
[arXiv] 2026-02-10 | Quantum Correlation Dynamics Subjected to Quantum Reset-Driven Environment
[arXiv] 2026-02-10 | Digital Linguistic Bias in Spanish: Evidence from Lexical Variation in LLMs
[arXiv] 2026-02-10 | AgentCgroup: Understanding and Controlling OS Resources of AI Agents
[arXiv] 2026-02-10 | Stable Canonical Rules for Intuitionistic Modal Logics
[arXiv] 2026-02-10 | Hitting Probabilities of Finite Points for One-Dimensional Lévy Processes
[arXiv] 2026-02-10 | Measuring Dataset Diversity from a Geometric Perspective
[arXiv] 2026-02-10 | XMap: Fast Internet-wide IPv4 and IPv6 Network Scanner
[arXiv] 2026-02-10 | Revealing Gauge Constraints in LQG-Inspired Yang-Mills Theory
[arXiv] 2026-02-10 | Performance Comparison of CNN and AST Models with Stacked Features for Environmental Sound Classification
[arXiv] 2026-02-10 | GAFR-Net: A Graph Attention and Fuzzy-Rule Network for Interpretable Breast Cancer Image Classification
[arXiv] 2026-02-10 | Clarifying Shampoo: Adapting Spectral Descent to Stochasticity and the Parameter Trajectory
[arXiv] 2026-02-10 | On A Parameterized Theory of Dynamic Logic for Operationally-based Programs
[arXiv] 2026-02-10 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[arXiv] 2026-02-10 | Positive-Unlabelled Active Learning to Curate a Dataset for Orca Resident Interpretation
[arXiv] 2026-02-10 | Towards an OSF-based Registered Report Template for Software Engineering Controlled Experiments
[arXiv] 2026-02-10 | A Trainable-Embedding Quantum Physics-Informed Framework for Multi-Species Reaction-Diffusion Systems
[arXiv] 2026-02-10 | Improved Parallel Repetition for GHZ-Supported Games via Spreadness
[arXiv] 2026-02-10 | Disambiguating Anthropomorphism and Anthropomimesis in Human-Robot Interaction
[arXiv] 2026-02-10 | Submodularity of the expected information gain in infinite-dimensional linear inverse problems
[arXiv] 2026-02-10 | X-Mark: Saliency-Guided Robust Dataset Ownership Verification for Medical Imaging
[arXiv] 2026-02-10 | Bayesian network approach to building an affective module for a driver behavioural model
[arXiv] 2026-02-10 | AlignTune: Modular Toolkit for Post-Training Alignment of Large Language Models
[arXiv] 2026-02-10 | With Argus Eyes: Assessing Retrieval Gaps via Uncertainty Scoring to Detect and Remedy Retrieval Blind Spots
[arXiv] 2026-02-10 | On the Hilbert depth of the quotient ring of the edge ideal of a complete bipartite graph
[arXiv] 2026-02-10 | Clifford algebras, meson algebras and higher order generalisations
[arXiv] 2026-02-10 | Hand2World: Autoregressive Egocentric Interaction Generation via Free-Space Hand Gestures
[arXiv] 2026-02-10 | Highly suppressed tensor-to-scalar ratio from a modified Lennard-Jones inflationary potential
[arXiv] 2026-02-10 | Why the Counterintuitive Phenomenon of Likelihood Rarely Appears in Tabular Anomaly Detection with Deep Generative Models?
[arXiv] 2026-02-10 | Topological constraints suppress shear localization in granular chain ensembles
[arXiv] 2026-02-10 | Preference Aligned Visuomotor Diffusion Policies for Deformable Object Manipulation
[arXiv] 2026-02-10 | Amplitude-Phase Separation toward Optimal and Fast-Forwardable Simulation of Non-Unitary Dynamics
[arXiv] 2026-02-10 | Higher Hardness Results for the Reconfiguration of Odd Matchings
[arXiv] 2026-02-10 | ECG-IMN: Interpretable Mesomorphic Neural Networks for 12-Lead Electrocardiogram Interpretation
[arXiv] 2026-02-10 | Optimal Control of Microswimmers for Trajectory Tracking Using Bayesian Optimization
[arXiv] 2026-02-10 | Observational Constraints and Geometric Diagnostics of Barboza-Alcaniz and Logarithmic Dark Energy Parametrizations
[arXiv] 2026-02-10 | ReSIM: Re-ranking Binary Similarity Embeddings to Improve Function Search Performance
[arXiv] 2026-02-10 | Scalpel: Fine-Grained Alignment of Attention Activation Manifolds via Mixture Gaussian Bridges to Mitigate Multimodal Hallucination
[arXiv] 2026-02-10 | Tensor CUR Decomposition under the Linear-Map-Based Tensor-Tensor Multiplication
[arXiv] 2026-02-10 | UniARM: Towards a Unified Autoregressive Reward Model for Multi-Objective Test-Time Alignment
[arXiv] 2026-02-10 | Autoregressive Direct Preference Optimization
[arXiv] 2026-02-10 | Split, Skip and Play: Variance-Reduced ProxSkip for Tomography Reconstruction is Extremely Fast
[arXiv] 2026-02-10 | Attention to details, logits to truth: visual-aware attention and logits enhancement to mitigate hallucinations in LVLMs
[arXiv] 2026-02-10 | Invariance Galoisienne des zéros centraux de fonctions L
[arXiv] 2026-02-10 | Structure-aware imitation dynamics on higher-order networks
[arXiv] 2026-02-10 | Where-to-Unmask: Ground-Truth-Guided Unmasking Order Learning for Masked Diffusion Language Models
[arXiv] 2026-02-10 | Rigorous no-go theorems for heralded linear-optical state generation tasks
[arXiv] 2026-02-10 | Robust Trust
[arXiv] 2026-02-10 | XLB: A High Performance Layer-7 Load Balancer for Microservices using eBPF-based In-kernel Interposition
[arXiv] 2026-02-10 | Realistic tight-binding model for V2Se2O-family altermagnets
[arXiv] 2026-02-10 | SpotAgent: Grounding Visual Geo-localization in Large Vision-Language Models through Agentic Reasoning
[arXiv] 2026-02-10 | Gravitational wave signatures from periodic orbits around a Schwarzschild-Bertotti-Robinson black hole
[arXiv] 2026-02-10 | Look-Ahead and Look-Back Flows: Training-Free Image Generation with Trajectory Smoothing
[arXiv] 2026-02-10 | SWE-AGI: Benchmarking Specification-Driven Software Construction with MoonBit in the Era of Autonomous Agents
[arXiv] 2026-02-10 | P1-VL: Bridging Visual Perception and Scientific Reasoning in Physics Olympiads
[arXiv] 2026-02-10 | Three-dimensional real-space electron dynamics in graphene driven by strong laser fields
[arXiv] 2026-02-10 | Fine-T2I: An Open, Large-Scale, and Diverse Dataset for High-Quality T2I Fine-Tuning
[arXiv] 2026-02-10 | Understanding and Enhancing Encoder-based Adversarial Transferability against Large Vision-Language Models
[arXiv] 2026-02-10 | LARV: Data-Free Layer-wise Adaptive Rescaling Veneer for Model Merging
[arXiv] 2026-02-10 | Selective Disclosure in Overlapping Generations
[arXiv] 2026-02-10 | Historical Debates over the Physical Reality of the Wave Function
[arXiv] 2026-02-10 | Sparse Layer Sharpness-Aware Minimization for Efficient Fine-Tuning
[arXiv] 2026-02-10 | Spectroscopic He I 1083 nm prominence eruption observations in the middle corona with MLSO/UCoMP
[arXiv] 2026-02-10 | Contractual Deepfakes: Can Large Language Models Generate Contracts?
[arXiv] 2026-02-10 | BiasScope: Towards Automated Detection of Bias in LLM-as-a-Judge Evaluation
[arXiv] 2026-02-10 | Quantum Multiple Rotation Averaging
[arXiv] 2026-02-10 | ConsID-Gen: View-Consistent and Identity-Preserving Image-to-Video Generation
[arXiv] 2026-02-10 | Minimal Freeze-in Dark Matter: Reviving electroweak doublet dark matter with Boltzmann suppressed freeze-in
[arXiv] 2026-02-10 | ST4VLA: Spatially Guided Training for Vision-Language-Action Models
[arXiv] 2026-02-10 | Minimax properties of gamma kernel density estimators under $L^p$ loss and $β$-Hölder smoothness of the target
[arXiv] 2026-02-10 | VideoWorld 2: Learning Transferable Knowledge from Real-world Videos
[arXiv] 2026-02-10 | Quantum-Audit: Evaluating the Reasoning Limits of LLMs on Quantum Computing
[arXiv] 2026-02-10 | Simulating superconductivity in mixed-dimensional $t_\parallel$-${J}_\parallel$-${J}_\perp$ bilayers with neural quantum states
[arXiv] 2026-02-10 | Canonical strong coupling spin wave expansion of Kondo lattice magnets. II. Itinerant ferromagnets and topological magnon bands
[arXiv] 2026-02-10 | Allocation Proportionality of OWA--Based Committee Scoring Rules
[arXiv] 2026-02-10 | Anagent For Enhancing Scientific Table & Figure Analysis
[arXiv] 2026-02-10 | Can Image Splicing and Copy-Move Forgery Be Detected by the Same Model? Forensim: An Attention-Based State-Space Approach
[arXiv] 2026-02-10 | PySlice: Routine Vibrational Electron Energy Loss Spectroscopy Prediction with Universal Interatomic Potentials
[arXiv] 2026-02-10 | Early warning signals for phase transitions in networks
[arXiv] 2026-02-10 | Maximizing Diversity in (near-)Median String Selection
[arXiv] 2026-02-10 | Long Chain-of-Thought Compression via Fine-Grained Group Policy Optimization
[arXiv] 2026-02-10 | Fake-HR1: Rethinking reasoning of vision language model for synthetic image detection
[arXiv] 2026-02-10 | Resilient Topology-Aware Coordination for Dynamic 3D UAV Networks under Node Failure
[arXiv] 2026-02-10 | Degrees-of-Freedom Approximations for Conditional-Mean Inference in Random-Lot Stability Analysis
[arXiv] 2026-02-10 | MEVER: Multi-Modal and Explainable Claim Verification with Graph-based Evidence Retrieval
[arXiv] 2026-02-10 | METTLE: Efficient Streaming Erasure Code with Peeling Decodability
[arXiv] 2026-02-10 | ADORA: Training Reasoning Models with Dynamic Advantage Estimation on Reinforcement Learning
[arXiv] 2026-02-10 | Discovering High Level Patterns from Simulation Traces
[arXiv] 2026-02-10 | Answer First, Reason Later: Aligning Search Relevance via Mode-Balanced Reinforcement Learning
[arXiv] 2026-02-10 | The supernova remnant J0450.4-7050 possesses a jets-shaped point-symmetric morphology
[arXiv] 2026-02-10 | Acoustic Drone Package Delivery Detection
[arXiv] 2026-02-10 | Infusion: Shaping Model Behavior by Editing Training Data via Influence Functions
[arXiv] 2026-02-10 | Coupled Inference in Diffusion Models for Semantic Decomposition
[arXiv] 2026-02-10 | Thin-Film-Engineered Self-Assembly of 3D Coaxial Microfluidics with a Tunable Polyimide Membrane for Bioelectronic Power
[arXiv] 2026-02-10 | Graded Betti numbers of the Jacobian algebra of surfaces in $\mathbb P^3$
[arXiv] 2026-02-10 | Closing Reasoning Gaps in Clinical Agents with Differential Reasoning Learning
[arXiv] 2026-02-10 | Why Do AI Agents Systematically Fail at Cloud Root Cause Analysis?
[arXiv] 2026-02-10 | VersaViT: Enhancing MLLM Vision Backbones via Task-Guided Optimization
[arXiv] 2026-02-10 | SARS: A Novel Face and Body Shape and Appearance Aware 3D Reconstruction System extends Morphable Models
[arXiv] 2026-02-10 | Disentangling orbital and confinement contributions to $g$-factor in Ge/SiGe hole quantum dots
[arXiv] 2026-02-10 | Dissipative phase transitions of the Dicke-Ising model
[arXiv] 2026-02-10 | Tucker iterative quantum state preparation
[arXiv] 2026-02-10 | Self-Regulated Reading with AI Support: An Eight-Week Study with Students
[arXiv] 2026-02-10 | Protection of quantum steering ellipsoids in non-Markovian environments
[arXiv] 2026-02-10 | Remarks on modules of finite projective dimension
[arXiv] 2026-02-10 | Eve-positional languages: putting order into Büchi automata
[arXiv] 2026-02-10 | TriPilot-FF: Coordinated Whole-Body Teleoperation with Force Feedback
[arXiv] 2026-02-10 | Grouped Stirling complexes
[arXiv] 2026-02-10 | AdaTSQ: Pushing the Pareto Frontier of Diffusion Transformers via Temporal-Sensitivity Quantization
[arXiv] 2026-02-10 | Framework for (non-)adiabatic chiral state conversion: from non-Hermitian Hamiltonians to Liouvillians
[arXiv] 2026-02-10 | Equilibrium contrastive learning for imbalanced image classification
[arXiv] 2026-02-10 | Construction of the full logical Clifford group for high-rate quantum Reed-Muller codes using only transversal and fold-transversal gates
[arXiv] 2026-02-10 | Scalable and Reliable State-Aware Inference of High-Impact N-k Contingencies
[arXiv] 2026-02-10 | Revealing the Challenges of Attention-FFN Disaggregation for Modern MoE Models and Hardware Systems
[arXiv] 2026-02-10 | CompSplat: Compression-aware 3D Gaussian Splatting for Real-world Video
[arXiv] 2026-02-10 | Cross-Project Flakiness: A Case Study of the OpenStack Ecosystem
[arXiv] 2026-02-10 | Dynamical Dark Energy Signatures from a New Transition $Om(z)$ Parametrization in Flat FLRW Cosmology
[arXiv] 2026-02-10 | Geometric Analysis of Blind User Identification for Massive MIMO Networks
[arXiv] 2026-02-10 | A characterisation of all vertex-transitive finite graphs of connectivity < 5
[arXiv] 2026-02-10 | Symmetric preferences, asymmetric outcomes: Tipping dynamics in an open-city segregation model
[arXiv] 2026-02-10 | Olaf-World: Orienting Latent Actions for Video World Modeling
[arXiv] 2026-02-10 | Learning on the Manifold: Unlocking Standard Diffusion Transformers with Representation Encoders
[arXiv] 2026-02-10 | Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning
[arXiv] 2026-02-10 | Resummed energy loss in extreme-mass-ratio scattering using critical orbits
[arXiv] 2026-02-10 | Theory for enzymatic degradation of semi-crystalline polymer particles
[arXiv] 2026-02-10 | Effects of Numerical Resolution on Simulated Cloud-Wind Interactions
[arXiv] 2026-02-10 | Beyond a Single Queue: Multi-Level-Multi-Queue as an Effective Design for SSSP problems on GPUs
[arXiv] 2026-02-10 | Some conditions implying if P=NP then P=PSPACE
[arXiv] 2026-02-10 | Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets
[arXiv] 2026-02-10 | Few-particle lepton bound states in variational approach
[arXiv] 2026-02-10 | Dark Energy Survey Year 6 Results: Cosmological Constraints from Cosmic Shear
[arXiv] 2026-02-10 | Chain of Mindset: Reasoning with Adaptive Cognitive Modes
[arXiv] 2026-02-10 | Vendi Novelty Scores for Out-of-Distribution Detection
[arXiv] 2026-02-10 | Convergence to equilibrium for a class of coagulation-fragmentation equations without detailed balance
[arXiv] 2026-02-10 | The Architecture of Illusion: Network Opacity and Strategic Escalation
[arXiv] 2026-02-10 | Conformal Prediction Sets for Instance Segmentation
[arXiv] 2026-02-10 | Operational Mass Measurement for Flyby Reconnaissance Missions of Potentially Hazardous Asteroid
[arXiv] 2026-02-10 | A Collision-Free Sway Damping Model Predictive Controller for Safe and Reactive Forestry Crane Navigation
[arXiv] 2026-02-10 | Optimal Bounds-Only Pruning for Spatial AkNN Joins
[arXiv] 2026-02-10 | Doubly Robust Estimation of Desirability of Outcome Ranking (DOOR) Probability with Application to MDRO Studies
[arXiv] 2026-02-10 | A Collaborative Safety Shield for Safe and Efficient CAV Lane Changes in Congested On-Ramp Merging
[arXiv] 2026-02-10 | ViSpeechFormer: A Phonemic Approach for Vietnamese Automatic Speech Recognition
[arXiv] 2026-02-10 | Faster-GS: Analyzing and Improving Gaussian Splatting Optimization
[arXiv] 2026-02-10 | Popularity Feedback Constrains Innovation in Cultural Markets
[arXiv] 2026-02-10 | Learning to Choose Branching Rules for Nonconvex MINLPs
[arXiv] 2026-02-10 | ORCHID: Fairness-Aware Orchestration in Mission-Critical Air-Ground Integrated Networks
[arXiv] 2026-02-10 | Online Monitoring Framework for Automotive Time Series Data using JEPA Embeddings
[arXiv] 2026-02-10 | The Parameterized Complexity of Geometric 1-Planarity
[arXiv] 2026-02-10 | Split Representations and Bubble Resummation for Massive de Sitter Correlators
[arXiv] 2026-02-10 | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning
[arXiv] 2026-02-10 | Incentive Pareto Efficiency in Monopoly Insurance Markets with Adverse Selection
[arXiv] 2026-02-10 | List and total colorings of multiset permutation graphs
[arXiv] 2026-02-10 | Statistical-Computational Trade-offs in Learning Multi-Index Models via Harmonic Analysis
[arXiv] 2026-02-10 | Doppler Effect: Analyses and Applications in Wireless Sensing and Communications
[arXiv] 2026-02-10 | Bladder Vessel Segmentation using a Hybrid Attention-Convolution Framework
[arXiv] 2026-02-10 | The Catastrophic Failure of The k-Means Algorithm in High Dimensions, and How Hartigan's Algorithm Avoids It
[arXiv] 2026-02-10 | Safe Feedback Optimization through Control Barrier Functions
[arXiv] 2026-02-10 | The Increasing Gap Dynamics in a General Spatial Matching Model
[arXiv] 2026-02-10 | A Detailed Study of the Physical and Orbital Characteristics, and Eclipse Timing Variations of the Post Common Envelope Binary DD CrB
[arXiv] 2026-02-10 | Operationalizing Human Values in the Requirements Engineering Process of Ethics-Aware Autonomous Systems
[arXiv] 2026-02-10 | Focus Session: LLM4PQC -- An Agentic Framework for Accurate and Efficient Synthesis of PQC Cores
[arXiv] 2026-02-10 | On the minimum number of entries in a pair of maximal orthogonal partial Latin squares
[arXiv] 2026-02-10 | Safeguarding Privacy: Privacy-Preserving Detection of Mind Wandering and Disengagement Using Federated Learning in Online Education
[arXiv] 2026-02-10 | The quantum multinomial distribution: a combinatorial formulation of multiphoton interference
[arXiv] 2026-02-10 | Stemphonic: All-at-once Flexible Multi-stem Music Generation
[arXiv] 2026-02-10 | Schur $σ$-groups of type $(3,3)$ for $p=3$
[arXiv] 2026-02-10 | Geometric differentiation of simplicial manifolds
[arXiv] 2026-02-10 | Polycontrolled PROPs for Qudit Circuits: A Uniform Complete Equational Theory For Arbitrary Finite Dimension
[arXiv] 2026-02-10 | CoFEH: LLM-driven Feature Engineering Empowered by Collaborative Bayesian Hyperparameter Optimization
[arXiv] 2026-02-10 | Robust Processing and Learning: Principles, Methods, and Wireless Applications
[arXiv] 2026-02-10 | Kelix Technique Report
[arXiv] 2026-02-10 | How Do People Quantify Naturally: Evidence from Mandarin Picture Description
[arXiv] 2026-02-10 | Investigating the Nested Structure of the Outflow from the Low Luminosity Protostar IRAS 16253-2429 using JWST and ALMA
[arXiv] 2026-02-10 | First explicit reciprocity law for unitary Friedberg--Jacquet periods
[arXiv] 2026-02-10 | SAKED: Mitigating Hallucination in Large Vision-Language Models via Stability-Aware Knowledge Enhanced Decoding
[arXiv] 2026-02-10 | Large time decay of the Oseen flow in exterior domains subject to the Navier slip-with-friction boundary condition
[arXiv] 2026-02-10 | Time-marching representation based quantum algorithms for the Lattice Boltzmann model of the advection-diffusion equation
[arXiv] 2026-02-10 | Symbolic Pattern Temporal Numeric Planning with Intermediate Conditions and Effects
[arXiv] 2026-02-10 | GHS-TDA: A Synergistic Reasoning Framework Integrating Global Hypothesis Space with Topological Data Analysis
[arXiv] 2026-02-10 | Multilevel DFT Response Theory
[arXiv] 2026-02-10 | Intensity-based Segmentation of Tissue Images Using a U-Net with a Pretrained ResNet-34 Encoder: Application to Mueller Microscopy
[arXiv] 2026-02-10 | Circuit Fingerprints: How Answer Tokens Encode Their Geometrical Path
[arXiv] 2026-02-10 | Why Linear Interpretability Works: Invariant Subspaces as a Result of Architectural Constraints
[arXiv] 2026-02-10 | Explainability in Generative Medical Diffusion Models: A Faithfulness-Based Analysis on MRI Synthesis
[arXiv] 2026-02-10 | Characterisation of an EXor outburst SPICY 97589
[arXiv] 2026-02-10 | Diverse Skill Discovery for Quadruped Robots via Unsupervised Learning
[arXiv] 2026-02-10 | Partition Frequency Moments: Modularity and Congruences
[arXiv] 2026-02-10 | Giant thermopower changes related to the resistivity maximum and colossal magnetoresistance in EuCd2P2
[arXiv] 2026-02-10 | A Dual Belief-Driven Bayesian-Stackelberg Framework for Low-Complexity and Secure Near-Field ISAC Systems
[arXiv] 2026-02-10 | Comprehensive Study of 3D Liquid Flow Fields in Additive Manufactured Structures for SMART Reactors Using Large-Scale Vertical Magnetic Resonance Imaging and Computational Fluid Dynamics
[arXiv] 2026-02-10 | Linear Model Extraction via Factual and Counterfactual Queries
[arXiv] 2026-02-10 | Darboux first integrals of Kolmogorov systems with invariant $n$-sphere
[arXiv] 2026-02-10 | Testing Exotic Electron-Electron Interactions with the Helium Ionization-Energy Anomaly
[arXiv] 2026-02-10 | Commutators of Fractional Integrals with $\operatorname{BMO}^β$ Functions
[arXiv] 2026-02-10 | High-Harmonic Spin and Charge Pumping in Altermagnets
[arXiv] 2026-02-10 | Toward Fine-Grained Facial Control in 3D Talking Head Generation
[arXiv] 2026-02-10 | Mathematical Foundation for the Generalised Brillouin zone of m-banded Toeplitz operators
[arXiv] 2026-02-10 | AI-Assisted Scientific Assessment: A Case Study on Climate Change
[arXiv] 2026-02-10 | BRAVA-GNN: Betweenness Ranking Approximation Via Degree MAss Inspired Graph Neural Network
[arXiv] 2026-02-10 | Stroke3D: Lifting 2D strokes into rigged 3D model via latent diffusion models
[arXiv] 2026-02-10 | PiTPM: Partially Interactive Signatures for Multi-Device TPM Operations
[arXiv] 2026-02-10 | Maastricht University at AMIYA: Adapting LLMs for Dialectal Arabic using Fine-tuning and MBR Decoding
[arXiv] 2026-02-10 | On very badly approximable numbers
[arXiv] 2026-02-10 | Power with Respect to Generalized Spheres and Radical Surfaces in $\mathbf{H}^n$
[arXiv] 2026-02-10 | A Deep Precursor-Dip-Main Superoutburst Sequence in VW Hydri Observed with TESS: High-Cadence Constraints on the Thermal-Tidal Instability Model
[arXiv] 2026-02-10 | Real time filtering algorithms
[arXiv] 2026-02-10 | Administrative Law's Fourth Settlement: AI and the Capability-Accountability Trap
[arXiv] 2026-02-10 | Sharp Sobolev and Moser-Trudinger inequalities on noncompact Riemannian manifolds with Ricci curvature bounded below
[arXiv] 2026-02-10 | X-ray reflection: a FLUKA model and its application in the design of synchrotron light beamlines and CERN's Future Circular Collider
[arXiv] 2026-02-10 | First observation of the $η_{c}\toΞ^{0} \barΞ^{0}$ decay
[arXiv] 2026-02-10 | LDG method for solving spatial and temporal fractional nonlinear convection-diffusion equations
[arXiv] 2026-02-10 | Population-scale Ancestral Recombination Graphs with tskit 1.0
[arXiv] 2026-02-10 | MATA: Multi-Agent Framework for Reliable and Flexible Table Question Answering
[arXiv] 2026-02-10 | Entanglement suppression for $ΩΩ$ scattering
[arXiv] 2026-02-10 | Parallel Composition for Statistical Privacy
[arXiv] 2026-02-10 | MILE-RefHumEval: A Reference-Free, Multi-Independent LLM Framework for Human-Aligned Evaluation
[arXiv] 2026-02-10 | AGMark: Attention-Guided Dynamic Watermarking for Large Vision-Language Models
[arXiv] 2026-02-10 | Comet 73P/Schwassmann-Wachmann 3's Dust Trail as a Source of Pickup Ions
[arXiv] 2026-02-10 | Device-independent quantum key distribution over 100 km with single atoms
[arXiv] 2026-02-10 | Super Black Boxes Revisited
[arXiv] 2026-02-10 | X-ray Timing and Spectral studies of bare AGN Mrk 110
[arXiv] 2026-02-10 | Optimization Problems with Nearly Convex Objective Functions and Nearly Convex Constraint Sets
[arXiv] 2026-02-10 | Ore meets homothetic extensions
[arXiv] 2026-02-10 | Advancing Block Diffusion Language Models for Test-Time Scaling
[arXiv] 2026-02-10 | High Dimensional Mean Test for Shrinking Random Variables with Applications to Backtesting
[arXiv] 2026-02-10 | A joint QoL-Survival framework with debiased estimation under truncation by death
