[2026-04-07 22:38:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-06
正在获取论文...
[arXiv] 2026-04-06 | Strongly Correlated Superconductivity in Twisted Bilayer Graphene: A Gutzwiller Study
[arXiv] 2026-04-06 | Latent Profiles of AI Risk Perception and Their Differential Association with Community Driving Safety Concerns: A Person-Centered Analysis
[arXiv] 2026-04-06 | InfBaGel: Human-Object-Scene Interaction Generation with Dynamic Perception and Iterative Refinement
[arXiv] 2026-04-06 | E-VLA: Event-Augmented Vision-Language-Action Model for Dark and Blurred Scenes
[arXiv] 2026-04-06 | Rapid convergence of tempering chains to multimodal Gibbs measures
[arXiv] 2026-04-06 | Study of the molecular Properties of the $P_c$ and $P_{cs}$ States
[arXiv] 2026-04-06 | ANX: Protocol-First Design for AI Agent Interaction with a Supporting 3EX Decoupled Architecture
[arXiv] 2026-04-06 | Coexistence of CHSH Nonlocality and KCBS Contextuality in a Single Quantum State
[arXiv] 2026-04-06 | LiveFact: A Dynamic, Time-Aware Benchmark for LLM-Driven Fake News Detection
[arXiv] 2026-04-06 | Diffusion of PeV Cosmic Rays in the Turbulent and Multiphase Interstellar Medium
[arXiv] 2026-04-06 | AnyUser: Translating Sketched User Intent into Domestic Robots
[arXiv] 2026-04-06 | Rank-Based Sparse Regression in Principal Components Space under Measurement Error
[arXiv] 2026-04-06 | Unpacking .zip: A First Look at Domain and File Name Confusion
[arXiv] 2026-04-06 | Glueballs, Constituent Gluons and Instantons
[arXiv] 2026-04-06 | Forgetting to Witness: Efficient Federated Unlearning and Its Visible Evaluation
[arXiv] 2026-04-06 | Multi-Scaled Unscented Kalman Filter
[arXiv] 2026-04-06 | A Quantum Search Approach to Magic Square Constraint Problems with Classical Benchmarking
[arXiv] 2026-04-06 | Optimal $C^{1,α}$ regularity up to the boundary for fully nonlinear elliptic equations with double phase degeneracy
[arXiv] 2026-04-06 | Community Driving-Safety Deterioration as a Push Factor for Public Endorsement of AI Driving Capability
[arXiv] 2026-04-06 | Constraining the PeV gamma-ray emission zone of Cygnus X-3 with contemporaneous GeV timing and spectral observations
[arXiv] 2026-04-06 | What quantum computer to buy?
[arXiv] 2026-04-06 | Your Agent, Their Asset: A Real-World Safety Analysis of OpenClaw
[arXiv] 2026-04-06 | Think in Strokes, Not Pixels: Process-Driven Image Generation via Interleaved Reasoning
[arXiv] 2026-04-06 | Lighting Up or Dimming Down? Exploring Dark Patterns of LLMs in Co-Creativity
[arXiv] 2026-04-06 | Beyond Hard Negatives: The Importance of Score Distribution in Knowledge Distillation for Dense Retrieval
[arXiv] 2026-04-06 | Subtleties in non-equilibrium horizon thermodynamics of modified gravity theories
[arXiv] 2026-04-06 | Two-Channel Allen-Dynes Framework for Superconducting Critical Temperatures: Blind Predictions Across Five Orders of Magnitude and a Quantum-Metric No-Go Result
[arXiv] 2026-04-06 | Gromov-Hausdorff limits of the Chern-Ricci flow on smooth Hermitian minimal models of general type
[arXiv] 2026-04-06 | Tschirnhausen bundles of sextic covers of $\mathbb{P}^1$
[arXiv] 2026-04-06 | BiST: A Gold Standard Bangla-English Bilingual Corpus for Sentence Structure and Tense Classification with Inter-Annotator Agreement
[arXiv] 2026-04-06 | ShieldNet: Network-Level Guardrails against Emerging Supply-Chain Injections in Agentic Systems
[arXiv] 2026-04-06 | HandDreamer: Zero-Shot Text to 3D Hand Model Generation using Corrective Hand Shape Guidance
[arXiv] 2026-04-06 | Justified or Just Convincing? Error Verifiability as a Dimension of LLM Quality
[arXiv] 2026-04-06 | An Alternating Primal Heuristic for Nonconvex MIQCQP with Dynamic Convexification and Parallel Local Branching
[arXiv] 2026-04-06 | Structured Causal Video Reasoning via Multi-Objective Alignment
[arXiv] 2026-04-06 | Relative Density Ratio Optimization for Stable and Statistically Consistent Model Alignment
[arXiv] 2026-04-06 | MolDA: Molecular Understanding and Generation via Large Language Diffusion Model
[arXiv] 2026-04-06 | Anomalies in family unification models from bordism classification
[arXiv] 2026-04-06 | Compressible Softmax-Attended Language under Incompressible Attention
[arXiv] 2026-04-06 | CPT: Controllable and Editable Design Variations with Language Models
[arXiv] 2026-04-06 | Profinite tensor powers
[arXiv] 2026-04-06 | A comparison of three neodymium atomic data sets for kilonova modeling
[arXiv] 2026-04-06 | GROUNDEDKG-RAG: Grounded Knowledge Graph Index for Long-document Question Answering
[arXiv] 2026-04-06 | Spatially-Weighted CLIP for Street-View Geo-localization
[arXiv] 2026-04-06 | ReFinE: Streamlining UI Mockup Iteration with Research Findings
[arXiv] 2026-04-06 | Generation of fission yield covariance matrices and its application in uncertainty analysis of decay heat
[arXiv] 2026-04-06 | Adversarial Robustness Analysis of Cloud-Assisted Autonomous Driving Systems
[arXiv] 2026-04-06 | Trace-Guided Synthesis of Effectful Test Generators
[arXiv] 2026-04-06 | Replacing Gaussian Processes with Neural Networks in Pulsar Timing Array Inference of the Gravitational-Wave Background
[arXiv] 2026-04-06 | GENSERVE: Efficient Co-Serving of Heterogeneous Diffusion Model Workloads
[arXiv] 2026-04-06 | Light-Bound Transformers: Hardware-Anchored Robustness for Silicon-Photonic Computer Vision Systems
[arXiv] 2026-04-06 | Soft Tournament Equilibrium
[arXiv] 2026-04-06 | How Well Do Agentic Skills Work in the Wild: Benchmarking LLM Skill Usage in Realistic Settings
[arXiv] 2026-04-06 | Hall-Littlewood-positive harmonic functionals on the algebra of symmetric functions
[arXiv] 2026-04-06 | Neutron star with dark matter using vector portal
[arXiv] 2026-04-06 | MPC and System Identification with Differentiable Physics: Fluid System and Particle Beam Control
[arXiv] 2026-04-06 | From NVSS to RACS: Identifying truly Compact and Steep spectrum Radio sources
[arXiv] 2026-04-06 | Strengthening Human-Centric Chain-of-Thought Reasoning Integrity in LLMs via a Structured Prompt Framework
[arXiv] 2026-04-06 | On the Haagerup property for partial crossed products
[arXiv] 2026-04-06 | Minimising Willmore Energy via Neural Flow
[arXiv] 2026-04-06 | Boltzmann-Loschmidt dispute reloaded quantum 150 years later
[arXiv] 2026-04-06 | Harnessing the VO2 Phase Transition for Automatic Gain Control in Transimpedance Amplifiers
[arXiv] 2026-04-06 | Automatically Generating Hard Math Problems from Hypothesis-Driven Error Analysis
[arXiv] 2026-04-06 | Vanast: Virtual Try-On with Human Image Animation via Synthetic Triplet Supervision
[arXiv] 2026-04-06 | Beyond the Final Actor: Modeling the Dual Roles of Creator and Editor for Fine-Grained LLM-Generated Text Detection
[arXiv] 2026-04-06 | LoMa: Local Feature Matching Revisited
[arXiv] 2026-04-06 | TriAttention: Efficient Long Reasoning with Trigonometric KV Compression
[arXiv] 2026-04-06 | Categorical Perspectives on Chemical Reaction Networks
[arXiv] 2026-04-06 | Dominating Set with Quotas: Balancing Coverage and Constraints
[arXiv] 2026-04-06 | Morse functions with regular level sets consisting of $2$-dimensional spheres, $2$-dimensional tori, or Klein Bottles
[arXiv] 2026-04-06 | FileGram: Grounding Agent Personalization in File-System Behavioral Traces
[arXiv] 2026-04-06 | Rethinking Exploration in RLVR: From Entropy Regularization to Refinement via Bidirectional Entropy Modulation
[arXiv] 2026-04-06 | Driving Quantum Heat Engines Beyond Classical Limits through Multilevel Coherence
[arXiv] 2026-04-06 | StatsClaw: An AI-Collaborative Workflow for Statistical Software Development
[arXiv] 2026-04-06 | Tracing the origin of tropical North Atlantic Sargassum blooms to West Africa
[arXiv] 2026-04-06 | Beyond the Global Scores: Fine-Grained Token Grounding as a Robust Detector of LVLM Hallucinations
[arXiv] 2026-04-06 | Outlier-Robust Nonlinear Moving Horizon Estimation using Adaptive Loss Functions
[arXiv] 2026-04-06 | The entropy production is not always monotone in the space-homogeneous Boltzmann equation
[arXiv] 2026-04-06 | Modeling the non-Markovian Brownian motion of an optomechanical resonator
[arXiv] 2026-04-06 | Assessing Large Language Models for Stabilizing Numerical Expression in Scientific Software
[arXiv] 2026-04-06 | A note on Bremner's conjecture and uniformity
[arXiv] 2026-04-06 | Do No Harm: Exposing Hidden Vulnerabilities of LLMs via Persona-based Client Simulation Attack in Psychological Counseling
[arXiv] 2026-04-06 | MERIT: Multilingual Expert-Reward Informed Tuning for Chinese-Centric Low-Resource Machine Translation
[arXiv] 2026-04-06 | On Relative Invariant Subalgebra Rigidity Property
[arXiv] 2026-04-06 | Cryptanalysis of the Legendre Pseudorandom Function over Extension Fields
[arXiv] 2026-04-06 | Hybrid Fourier Neural Operator for Surrogate Modeling of Laser Processing with a Quantum-Circuit Mixer
[arXiv] 2026-04-06 | Plausibility as Commonsense Reasoning: Humans Succeed, Large Language Models Do not
[arXiv] 2026-04-06 | Assessment of PLATO Science Performance
[arXiv] 2026-04-06 | Selecting Decision-Relevant Concepts in Reinforcement Learning
[arXiv] 2026-04-06 | SkillX: Automatically Constructing Skill Knowledge Bases for Agents
[arXiv] 2026-04-06 | Galaxy Populations in Groups and Clusters: II. Conditional Luminosity Functions at Redshifts from z ~ 1 to z ~ 0
[arXiv] 2026-04-06 | How Far Are We? Systematic Evaluation of LLMs vs. Human Experts in Mathematical Contest in Modeling
[arXiv] 2026-04-06 | GPU Acceleration of TFHE-Based High-Precision Nonlinear Layers for Encrypted LLM Inference
[arXiv] 2026-04-06 | Exponentially Long Evaporation of Noncommutative Black Hole
[arXiv] 2026-04-06 | A comparative study on power delivery aspects of compute-in/near-memory approaches using DRAM
[arXiv] 2026-04-06 | Regime Mapping of Oscillatory States in Balanced Spiking Networks with Multiple Time Scales
[arXiv] 2026-04-06 | Optimal Lower Bounds for Symmetric Modular Circuits
[arXiv] 2026-04-06 | Data-Driven Reachability Analysis with Optimal Input Design
[arXiv] 2026-04-06 | Toward Self-Organizing Production Logistics in Circular Factories: A Multi-Agent Approach
[arXiv] 2026-04-06 | DeepStack: Scalable and Accurate Design Space Exploration for Distributed 3D-Stacked AI Accelerators
[arXiv] 2026-04-06 | AI Trust OS -- A Continuous Governance Framework for Autonomous AI Observability and Zero-Trust Compliance in Enterprise Environments
[arXiv] 2026-04-06 | Scaling limit and density conjecture for activated random walk on the complete graph
[arXiv] 2026-04-06 | Hallucination Basins: A Dynamic Framework for Understanding and Controlling LLM Hallucinations
[arXiv] 2026-04-06 | Fine-Tuning Integrity for Modern Neural Networks: Structured Drift Proofs via Norm, Rank, and Sparsity Certificates
[arXiv] 2026-04-06 | Metaphors We Compute By: A Computational Audit of Cultural Translation vs. Thinking in LLMs
[arXiv] 2026-04-06 | A Complete Characterization of Convexity in Flow Games
[arXiv] 2026-04-06 | Ranking Constraints via Topological Dual-Directional Search in Evolutionary Multi-Objective Optimization
[arXiv] 2026-04-06 | Individual and Combined Effects of English as a Second Language and Typos on LLM Performance
[arXiv] 2026-04-06 | Don't Waste Bits! Adaptive KV-Cache Quantization for Lightweight On-Device LLMs
[arXiv] 2026-04-06 | Transforming Discarded Thermoelectrics into High-Performance HER Catalysts
[arXiv] 2026-04-06 | Hardware-Level Governance of AI Compute: A Feasibility Taxonomy for Regulatory Compliance and Treaty Verification
[arXiv] 2026-04-06 | MUXQ: Mixed-to-Uniform Precision MatriX Quantization via Low-Rank Outlier Decomposition
[arXiv] 2026-04-06 | Who is the author? A legal and normative view of authorship in Generative AI-aided academic works
[arXiv] 2026-04-06 | 3D Gaussian Splatting for Annular Dark Field Scanning Transmission Electron Microscopy Tomography Reconstruction
[arXiv] 2026-04-06 | Is a Picture Worth a Thousand Words? Adaptive Multimodal Fact-Checking with Visual Evidence Necessity
[arXiv] 2026-04-06 | Gap theorems and achirality for automorphisms of K3 surfaces and Enriques surfaces
[arXiv] 2026-04-06 | LRC codes over characteristic $2$
[arXiv] 2026-04-06 | Towards protein folding pathways by reconstructing protein residue networks with a policy-driven model
[arXiv] 2026-04-06 | Healthcare App Design in Low-Resource Contexts: Challenges, Practices, and Opportunities
[arXiv] 2026-04-06 | ROSClaw: A Hierarchical Semantic-Physical Framework for Heterogeneous Multi-Agent Collaboration
[arXiv] 2026-04-06 | On the transformation of the Maxwell-Boltzmann Distribution to a Power-Law
[arXiv] 2026-04-06 | Grokking as Dimensional Phase Transition in Neural Networks
[arXiv] 2026-04-06 | On Ambiguity: The case of fraction, its meanings and roles
[arXiv] 2026-04-06 | Training-Free Refinement of Flow Matching with Divergence-based Sampling
[arXiv] 2026-04-06 | Edge-Oriented Orchestration of Energy Services Using Graph-Driven Swarm Intelligence
[arXiv] 2026-04-06 | Effective Bethe Ansatz for Spin-1 Non-integrable Models
[arXiv] 2026-04-06 | New Almost Universal Metrics
[arXiv] 2026-04-06 | A Convergent Hybridizable Discontinuous Galerkin Method for Einstein--Scalar Equations
[arXiv] 2026-04-06 | Computational Microwave Imaging Relying on Orbital Angular Momentum Transmitarrays for Improved Diversity
[arXiv] 2026-04-06 | Predictions of Modular Symmetry Fixed Points on Neutrino Masses, Mixing, and Leptogenesis
[arXiv] 2026-04-06 | Rigid triaxiality has the SU(3) symmetry: $^{166}$Er as an example
[arXiv] 2026-04-06 | On the structure of approximate rings
[arXiv] 2026-04-06 | Beyond Fixed Tests: Repository-Level Issue Resolution as Coevolution of Code and Behavioral Constraints
[arXiv] 2026-04-06 | Physics-informed automated surface reconstructing via low-energy electron diffraction based on Bayesian optimization
[arXiv] 2026-04-06 | Digital Privacy in IoT: Exploring Challenges, Approaches and Open Issues
[arXiv] 2026-04-06 | Generative Modeling under Non-Monotonic MAR Missingness via Approximate Wasserstein Gradient Flows
[arXiv] 2026-04-06 | PassiveQA: A Three-Action Framework for Epistemically Calibrated Question Answering via Supervised Finetuning
[arXiv] 2026-04-06 | NBI-Slurm: Simplified submission of Slurm jobs with energy saving mode
[arXiv] 2026-04-06 | Safe and Near-Optimal Gate Control: A Case Study from the Danish West Coast
[arXiv] 2026-04-06 | Low-regularity global well-posedness for the Boltzmann equation near vacuum
[arXiv] 2026-04-06 | G-EDF-Loc: 3D Continuous Gaussian Distance Field for Robust Gradient-Based 6DoF Localization
[arXiv] 2026-04-06 | Pinching Antenna Systems (PASS): Enabling Reconfigurable and Controllable Wireless Channels -- A Comprehensive Survey
[arXiv] 2026-04-06 | Linear Exact Repair in MDS Array Codes: A General Lower Bound and Its Attainability
[arXiv] 2026-04-06 | Unified Mixture Sampler for State-Space Models: Application to Stochastic Conditional Duration Models
[arXiv] 2026-04-06 | SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems
[arXiv] 2026-04-06 | Adapting ILC detector concepts to other facilities
[arXiv] 2026-04-06 | Epitaxial MgSnN2 on 4H-SiC (0001): An Earth-Abundant Nitride for Green Optoelectronics and Photovoltaics
[arXiv] 2026-04-06 | Veo-Act: How Far Can Frontier Video Models Advance Generalizable Robot Manipulation?
[arXiv] 2026-04-06 | Random gas motions inside sub-parsec scale supercritical filaments
[arXiv] 2026-04-06 | Saliency-R1: Enforcing Interpretable and Faithful Vision-language Reasoning via Saliency-map Alignment Reward
[arXiv] 2026-04-06 | Multi-field oscillons/I-balls in the Friedberg-Lee-Sirlin model
[arXiv] 2026-04-06 | SLaB: Sparse-Lowrank-Binary Decomposition for Efficient Large Language Models
[arXiv] 2026-04-06 | An effective version of the Stone duality
[arXiv] 2026-04-06 | RAVEN: Radar Adaptive Vision Encoders for Efficient Chirp-wise Object Detection and Segmentation
[arXiv] 2026-04-06 | Training-Free Image Editing with Visual Context Integration and Concept Alignment
[arXiv] 2026-04-06 | Reply to: Comment on: Discontinuous codimension-two bifurcation in a Vlasov equation (arXiv:2603.22066)
[arXiv] 2026-04-06 | MVis-Fold: A Three-Dimensional Microvascular Structure Inference Model for Super-Resolution Ultrasound
[arXiv] 2026-04-06 | Discrete Prototypical Memories for Federated Time Series Foundation Models
[arXiv] 2026-04-06 | DP-OPD: Differentially Private On-Policy Distillation for Language Models
[arXiv] 2026-04-06 | Mathematical and numerical studies on ground states of the extended Gross-Pitaevskii equation with the Lee-Huang-Yang correction
[arXiv] 2026-04-06 | Nonparametric Identification and Estimation of Production Functions Invariant to Productivity Dynamics
[arXiv] 2026-04-06 | Modeling and Analysis of Air-to-Ground Cellular KPIs in a 5G Testbed using Android Smartphones
[arXiv] 2026-04-06 | Beyond Few-Step Inference: Accelerating Video Diffusion Transformer Model Serving with Inter-Request Caching Reuse
[arXiv] 2026-04-06 | The Bott Metric: A Real-Space Bridge Between Topology and Quantum Metric
[arXiv] 2026-04-06 | TinyNina: A Resource-Efficient Edge-AI Framework for Sustainable Air Quality Monitoring via Intra-Image Satellite Super-Resolution
[arXiv] 2026-04-06 | Collective Electrostatics and Band Alignment in Janus MoSTe nanotubes
[arXiv] 2026-04-06 | The Co-Pricing Factor Zoo
[arXiv] 2026-04-06 | Delay-Controlled Heterogeneous Nucleation in Adaptive Dynamical Networks
[arXiv] 2026-04-06 | Is Prompt Selection Necessary for Task-Free Online Continual Learning?
[arXiv] 2026-04-06 | Rigidity for a semilinear Neumann problem with exponential nonlinearity in the large diffusion limit
[arXiv] 2026-04-06 | NAIMA: Semantics Aware RGB Guided Depth Super-Resolution
[arXiv] 2026-04-06 | GUIDE: Interpretable GUI Agent Evaluation via Hierarchical Diagnosis
[arXiv] 2026-04-06 | BiTDiff: Fine-Grained 3D Conducting Motion Generation via BiMamba-Transformer Diffusion
[arXiv] 2026-04-06 | On the Viscosity Solutions of Parabolic p-Laplacian Equations with Capillary-Type Boundary Conditions
[arXiv] 2026-04-06 | Direct stroke measurement of Piezos for cavity frequency tuner of the ILC prototype cryomodule using a Laser Displacement Sensor
[arXiv] 2026-04-06 | Relativistic Toda lattice of type B and quantum $K$-theory of type C flag variety
[arXiv] 2026-04-06 | Polynomial iteration complexity of a path-following smoothing Newton method for symmetric cone programming
[arXiv] 2026-04-06 | Context is All You Need
[arXiv] 2026-04-06 | Developing Authentic Simulated Learners for Mathematics Teacher Learning: Insights from Three Approaches with Large Language Models
[arXiv] 2026-04-06 | Geometry of the tt*-Toda equations I: universal centralizer and symplectic groupoids
[arXiv] 2026-04-06 | Domain-Contextualized Inference: A Computable Graph Architecture for Explicit-Domain Reasoning
[arXiv] 2026-04-06 | Implementing surrogate goals for safer bargaining in LLM-based agents
[arXiv] 2026-04-06 | Boosted Distributional Reinforcement Learning: Analysis and Healthcare Applications
[arXiv] 2026-04-06 | GA-GS: Generation-Assisted Gaussian Splatting for Static Scene Reconstruction
[arXiv] 2026-04-06 | Stingray Patterns of Dominant Weights
[arXiv] 2026-04-06 | Elucidating Au-C Bonding via Laser Spectroscopy of Gold Monocarbide
[arXiv] 2026-04-06 | D-instanton Effects on the Holographic Weyl Semimetals
[arXiv] 2026-04-06 | Comprehensive determination of Burgers vectors of threading dislocations in GaN substrates by combining reflection and transmission synchrotron-radiation x-ray topography
[arXiv] 2026-04-06 | Learning from Equivalence Queries, Revisited
[arXiv] 2026-04-06 | Beyond Standard Benchmarks: A Systematic Audit of Vision-Language Model's Robustness to Natural Semantic Variation Across Diverse Tasks
[arXiv] 2026-04-06 | Topological Phase Transitions and Their Thermodynamic Fate in Arbitrary-$S$ Pyrochlore Spin Ice
[arXiv] 2026-04-06 | Efficient Multi-Objective Planning with Weighted Maximization Using Large Neighbourhood Search
[arXiv] 2026-04-06 | Comprehensive Analysis of Cellular Uplink Performance in a Dense Stadium Deployment
[arXiv] 2026-04-06 | On Generalized Token Graphs
[arXiv] 2026-04-06 | Visual Prompt Based Reasoning for Offroad Mapping using Multimodal LLMs
[arXiv] 2026-04-06 | HUKUKBERT: Domain-Specific Language Model for Turkish Law
[arXiv] 2026-04-06 | A Muon-Accelerated Algorithm for Low Separation Rank Tensor Generalized Linear Models
[arXiv] 2026-04-06 | Connection between the contextuality breaking and incompatibility breaking qubit channels
[arXiv] 2026-04-06 | Interaction-free measurement of multiple objects using a universal integrated photonic processor
[arXiv] 2026-04-06 | iLBA: An R package for confidentially disseminating aggregated frequency tables
[arXiv] 2026-04-06 | Learning, Potential, and Retention: An Approach for Evaluating Adaptive AI-Enabled Medical Devices
[arXiv] 2026-04-06 | Twin hypercharges
[arXiv] 2026-04-06 | On special values of Koshliakov zeta functions
[arXiv] 2026-04-06 | Identification for Colored Gaussian Channels
[arXiv] 2026-04-06 | Quantum affine vertex algebra at root of unity
[arXiv] 2026-04-06 | Sharp regularity of a weighted Sobolev space over $ \mathbb{T}^n $ and its relation to finitely differentiable KAM theory
[arXiv] 2026-04-06 | Anticipatory Reinforcement Learning: From Generative Path-Laws to Distributional Value Functions
[arXiv] 2026-04-06 | Springdrift: An Auditable Persistent Runtime for LLM Agents with Case-Based Memory, Normative Safety, and Ambient Self-Perception
[arXiv] 2026-04-06 | Determinant Dynamics under Low-Rank Perturbations: A Unified Framework for Singular Systems
[arXiv] 2026-04-06 | Collective spin excitations in trilayer nickelate La$_4$Ni$_3$O$_{10}$
[arXiv] 2026-04-06 | WaterSplat-SLAM: Photorealistic Monocular SLAM in Underwater Environment
