[2026-06-23 23:08:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Lift4D: Harmonizing Single-View 3D Estimation for 4D Reconstruction In-the-Wild
[arXiv] 2026-06-22 | VideoLatent: Video-Language Learning via Latent Self-Forcing
[arXiv] 2026-06-22 | Modulating radiative heat and momentum transfer via the thermal Purcell effect
[arXiv] 2026-06-22 | Stage-dependent integer-binary encoding in factorization-machine black-box optimization
[arXiv] 2026-06-22 | Turán numbers of $4$-uniform tight even cycles minus one edge
[arXiv] 2026-06-22 | Optimal Estimating Equations for Compact-Memory Hawkes Processes
[arXiv] 2026-06-22 | Provable Benefits of RLVR over SFT for Reasoning Models: Learning to Backtrack Efficiently
[arXiv] 2026-06-22 | Sparsity-Cone SDP Relaxations and Applications to Variable Fixing for Sparse Quadratic Programs
[arXiv] 2026-06-22 | Industrial electrification in the era of data centers: A Bayesian Optimization approach for grid-aware large load allocation
[arXiv] 2026-06-22 | A Greatest Common Divisor Criterion of Certain Binomial Coefficients
[arXiv] 2026-06-22 | EchoFlow: A Workload-Aware Parameter Tuning Method for Blockchain Systems
[arXiv] 2026-06-22 | Partial Automation of Verification Condition Proving for Reflex Programs (Draft)
[arXiv] 2026-06-22 | Influence of mass transfer stability on the formation of post-common-envelope binaries
[arXiv] 2026-06-22 | EnerInfer: Energy-Aware On-Device LLM Inference
[arXiv] 2026-06-22 | Hierarchical Reinforcement Learning for Sparse-Reward Search in Commutative Algebra
[arXiv] 2026-06-22 | Target-Aware Linear Regression Under Distribution Shift
[arXiv] 2026-06-22 | Parallelized contraction of tensor trains or matrix product operators
[arXiv] 2026-06-22 | Structural symmetry effects on the competition of density waves and superconductivity in bilayer nickelates
[arXiv] 2026-06-22 | Input-driven analysis in predicting nuclear charge radii using Monte Carlo dropout Bayesian neural network
[arXiv] 2026-06-22 | First analytical coverage bounds of a fully specified nested sampling algorithm
[arXiv] 2026-06-22 | Mode Collapse in Nested Sampling
[arXiv] 2026-06-22 | HADES: Privacy-Preserving Federated Learning via Selective Feature Encryption and Hybrid Model Fusion
[arXiv] 2026-06-22 | PanoVine: Whole-Body Visuomotor Control for Soft Growing Vine Robot
[arXiv] 2026-06-22 | Chaos Generation and Control with Molecular Optomechanical System
[arXiv] 2026-06-22 | Cyclic Graphs and Memoization in Pure $λ$-Calculus
[arXiv] 2026-06-22 | From Fragments to Paths: Task-Level Context Recovery for Large Industrial Codebases
[arXiv] 2026-06-22 | On Connectivity of Comaximal Subgroup Graph
[arXiv] 2026-06-22 | On the equivalence of BV notions in metric measure spaces
[arXiv] 2026-06-22 | Coherent seeding and control of dynamical ferroelectricity by phonon anharmonicity
[arXiv] 2026-06-22 | X-shooter spectroscopy of giant stars in the nuclear star cluster
[arXiv] 2026-06-22 | Priority-Aware Learning-Unlearning Correction for Dynamic Decentralized LoRA Fine-Tuning
[arXiv] 2026-06-22 | Full-Body Golf Swing Kinematic Reconstruction From a Smartwatch IMU
[arXiv] 2026-06-22 | SpotAttention: Plug-In Block-Sparse Routing for Pretrained Long-Context Transformers
[arXiv] 2026-06-22 | Twisting Small-$x$ Gluon Tomography with Orbital Angular Momentum
[arXiv] 2026-06-22 | Tensor Train Decomposition-based 3D Implicit Full Waveform Inversion with Multi-scale Structural Similarity
[arXiv] 2026-06-22 | HiL-ResRL: A Model-Agnostic Finetuning Adapter via Human-in-the-loop Residual Reinforcement Learning
[arXiv] 2026-06-22 | Twisted Jacquet modules associated to maximal parabolic subgroups and cuspidal representations of $GL(n, q)$
[arXiv] 2026-06-22 | RLM-Cascade: Response-Level Speculative Decoding for Cost-Efficient LLM API Serving
[arXiv] 2026-06-22 | MINCE: Shrinking LLM Evaluation Datasets via Few-Model Monte Carlo Calibration
[arXiv] 2026-06-22 | Connectivity for slice-projections of connected polymatroids
[arXiv] 2026-06-22 | Surface brightness-color relations for red giant branch stars: Observational constraints on metallicity effects using the ARD method
[arXiv] 2026-06-22 | SelPE: Progressive Selection for Private Structured Text Synthesis
[arXiv] 2026-06-22 | Exact Harmonic Dimensional Reduction and Conformal Lifting for Multicomponent $(3+1)$ Nonlinear Schrödinger Systems
[arXiv] 2026-06-22 | Learning Adaptive Dynamical Features via Multi-$τ$ Liquid-Mamba for All-in-one Image Restoration
[arXiv] 2026-06-22 | Does the Same Token Mean the Same State? MoE Routing as Signal for Reasoning Control
[arXiv] 2026-06-22 | A Formula-Driven Survey and Research Agenda for On-Policy Distillation
[arXiv] 2026-06-22 | The Origins of Stochasticity: Comprehensive Investigations on Uncertainty Quantification for Large Language Models
[arXiv] 2026-06-22 | Learning Filters with Certainty
[arXiv] 2026-06-22 | Explainable AI for Mental Health Prediction in Drug-Affected Populations with Dragonfly Algorithm and GAN Oversampling
[arXiv] 2026-06-22 | HAKARI-Bench: A Lightweight Benchmark for Comparing Retrieval Architectures and Efficiency Settings under Unified Conditions
[arXiv] 2026-06-22 | Weak Quadruple Comparison and Structure Theory Beyond Alexandrov Geometry
[arXiv] 2026-06-22 | Statistical Matching via Schrödinger Bridge beyond Conditional Independence
[arXiv] 2026-06-22 | Asymmetric fractional coupled magnetizable piezoelectric beams with infinite viscoelastic memory: polynomial decay and sharpness of the decay rate
[arXiv] 2026-06-22 | On the action of the center in the $\ell$-adic categorical Langlands program
[arXiv] 2026-06-22 | PA-User: Simulating Trust and Verification under AI-Generated Content
[arXiv] 2026-06-22 | All-optical Implementation of Generalized Quantum Teleportation
[arXiv] 2026-06-22 | Generalizing Laplace's method by means of Mellin transforms
[arXiv] 2026-06-22 | Cantor Spectrum via a Reducibility-Duality Bridge for the Mosaic Almost Mathieu Operator
[arXiv] 2026-06-22 | Spacetime torsion fixes the mass and spin of gravitationally produced dark matter
[arXiv] 2026-06-22 | Leveraging Similarities in Multi-Armed Bandits
[arXiv] 2026-06-22 | Finite difference methods for a continuous-time heterogeneous agent model with recursive utility
[arXiv] 2026-06-22 | Differential Spectral Damping Gap Adaptive Regularization for Ill-Conditioned Kernel Methods
[arXiv] 2026-06-22 | OptChain: Achieving Optimal Throughput of Permissionless Blockchains
[arXiv] 2026-06-22 | Physics-Informed Modeling for Wood Thermal Analysis and Prediction
[arXiv] 2026-06-22 | Dosimetric Quantification of a Commercial Dual-Tube kV X-Ray System for Preclinical FLASH Research
[arXiv] 2026-06-22 | Automated Semantic Fault Localization in SysML v2: A Human-in-the-Loop Framework Using Knowledge-Graph Augmented LLMs
[arXiv] 2026-06-22 | Do LLM Embedding Spaces Recover Expert Structure?
[arXiv] 2026-06-22 | Self-Stigma Is Not a Monolith, but Generic Empathy Is: Persona-Conditioned LLM Support for People Who Use Drugs
[arXiv] 2026-06-22 | Near-Lipschitz stability of the Kim--Milman flow map
[arXiv] 2026-06-22 | Local stable and unstable sets for random dynamical systems
[arXiv] 2026-06-22 | Impurity-Preserved Density Matrix Embedding Theory for Local Electronic Excitations
[arXiv] 2026-06-22 | Population-based eigenstates of the SU(d) spin-exchange model for high-spin fermions in optical lattices
[arXiv] 2026-06-22 | Star-Shaped Nakajima Quiver Varieties, Parabolic Higgs Bundle Moduli Spaces, and their Holomorphic Symplectic Structures
[arXiv] 2026-06-22 | A kinetic-diffusion Monte Carlo-based particle-level fluid-kinetic decomposition for neutral transport simulations
[arXiv] 2026-06-22 | Convergence of Gradient Descent for General Neural Network Architectures Beyond the NTK Regime
[arXiv] 2026-06-22 | RT-DocLayout: Real-Time End-to-End Document Layout Analysis with Reading Order in the Wild
[arXiv] 2026-06-22 | Partial Observation of Linear Systems with the Mori-Zwanzig Formalism
[arXiv] 2026-06-22 | A Graphical Calculus for Induction and Restriction on Temperley-Lieb Modules
[arXiv] 2026-06-22 | Eulerian Lagrangian relations in decaying two dimensional incompressible Navier Stokes fluids across initial vorticity packing and Reynolds number
[arXiv] 2026-06-22 | WaveDetect: Robust Framework for Machine-Generated Text Detection via Wavelet Transform
[arXiv] 2026-06-22 | The Watermark Shortcut: How Provenance Marking Sabotages Audio Deepfake Detection
[arXiv] 2026-06-22 | Tmax: A simple recipe for terminal agents
[arXiv] 2026-06-22 | Positivity and log-Hölder Continuity of Lyapunov Exponents for Multi-Frequency Skew-Shift Schrödinger Operators
[arXiv] 2026-06-22 | From Pixels to Concepts: Growing Rich 3D Semantic Scene Graph Forests utilizing Foundation Models
[arXiv] 2026-06-22 | Primordial Black Holes from Vector-Induced Curvature Perturbations Sourced by Primordial Magnetic Fields
[arXiv] 2026-06-22 | Non-asymptotic estimates of the minimal risk in statistical learning
[arXiv] 2026-06-22 | Flow Games with Public Arcs: the Least Core and the Nucleolus
[arXiv] 2026-06-22 | Towards Root Memories: Benchmarking and Enhancing Implicit Logical Memory Retrieval for Personalized LLMs
[arXiv] 2026-06-22 | Safe Few-Step Generation via Velocity Editing
[arXiv] 2026-06-22 | Jacobi exceptional orthogonal polynomials for extended Scarf I potentials with position-dependent mass
[arXiv] 2026-06-22 | Tuning Quantum MPS
[arXiv] 2026-06-22 | Hadronisation of in-medium $c\bar c$ pairs to the exotic $X(3872)$
[arXiv] 2026-06-22 | Solving Approximate Agreement on continuous and discrete spaces
[arXiv] 2026-06-22 | Explicit Formula for Inverse and Determinant in Geometric Algebras over Odd-dimensional Vector Spaces
[arXiv] 2026-06-22 | Reduced-Alphabet QUBO/Ising Formulation for Constraint-Driven Cyclic Peptide Sequence Design
[arXiv] 2026-06-22 | A mass-type invariant for smooth metric measure spaces and its relation with the fractional Yamabe problem
[arXiv] 2026-06-22 | When Suspicion Becomes Detection. Folk Deception Cues and Detection Strategies in Online Dating Romance Scams
[arXiv] 2026-06-22 | A First-Order Mean Field Control Analysis of Transformer Layers under Cross-Entropy Training
[arXiv] 2026-06-22 | Judgment-Grounded Expansion for Peer Review Generation
[arXiv] 2026-06-22 | Acoustic Landmark Detector based on Conformer and HuBERT
[arXiv] 2026-06-22 | A unified perspective on wavelength selection for molecular composition inference from diffuse spectroscopy
[arXiv] 2026-06-22 | A Route to Harris ergodicity for Non-Feller Markov Kernels
[arXiv] 2026-06-22 | RS-Gen: A Multi-Stage Agentic Framework for Reasoning and Search-Augmented Image Generation
[arXiv] 2026-06-22 | Where Is My Physics Wrong? Localized and Identifiable Discovery of Model Discrepancy
[arXiv] 2026-06-22 | Efficient Network Inference via Hardware-Aware Architecture Search, Model Pruning & Quantization
[arXiv] 2026-06-22 | Parametrizing the projected wind fields of ultra-hot Jupiters in thermal emission: an application to GCM spectra of WASP-76b
[arXiv] 2026-06-22 | Unmasking LAION-5B: Age, Gender, Race, and Emotion Biases in Large-Scale Image Datasets
[arXiv] 2026-06-22 | Quantum Advantage in Tolerant Junta Testing
[arXiv] 2026-06-22 | StreamPPG: Low-Latency rPPG Estimation via Consistent Privileged Learning
[arXiv] 2026-06-22 | Rotating Zeeman field as a tool for Majorana zero mode detection in topological superconducting wire
[arXiv] 2026-06-22 | Interpretable Probabilistic Medical Image Segmentation via Gaussian Process with Explicit Modelling of Annotation Bias and Variability
[arXiv] 2026-06-22 | The Language Blind Spot: How Query Language and Brand Recognition Tier Shape AI-Constructed Brand Reputation Across Twelve European Languages
[arXiv] 2026-06-22 | Toward in-situ/operando X-ray absorption spectroscopy and electrochemical characterization of solid oxide fuel cells
[arXiv] 2026-06-22 | On the Intractability of the Minimum Distance Problem for Regular LDPC Codes
[arXiv] 2026-06-22 | On the assessment of the disk truncation and detection of type-II bursts from the accreting millisecond X-ray Pulsar IGR J17062-6143
[arXiv] 2026-06-22 | Asymmetric physics enables efficient learning in quadrupedal robot swarms
[arXiv] 2026-06-22 | Unconventional topological Hall response and anisotropic magnetotransport properties of a helical magnet EuAuAs
[arXiv] 2026-06-22 | Audio Editing in the Era of Foundation Models: A Survey
[arXiv] 2026-06-22 | T-VSS: Test-Time Visual Subspace Steering for Adversarial Robustness of Vision-Language Models
[arXiv] 2026-06-22 | Expert Consensus on Criteria for the Automated Assessment of Laparoscopic Camera Navigation
[arXiv] 2026-06-22 | PRIDE: Privileged Information-enhanced Distillation for Empathetic Dialogue Generation
[arXiv] 2026-06-22 | Temporal-Spectral Alignment with Frequency Adaptation for Source-Free Time-Series Adaptation
[arXiv] 2026-06-22 | LUMINA-26: Low-Light Understanding for Modeling and Interpreting Night-time Actions
[arXiv] 2026-06-22 | Angular-time evolution and edge-spin dynamics in the Haldane phase of the S=1 bilinear-biquadratic chain
[arXiv] 2026-06-22 | Self-Evolution for Multi-Turn Tool-Calling Agents via Divergence-Point Preference Learning
[arXiv] 2026-06-22 | LOLLA: Deep Reinforcement Learning for Closed-Loop Link Adaptation Towards a GPU-Accelerated AI-RAN
[arXiv] 2026-06-22 | The natural extension of the $(-β)$-transformation
[arXiv] 2026-06-22 | Table Problem Revisited
[arXiv] 2026-06-22 | Local and Charge-Transfer Excitation of Pentacene-Buckminsterfullerene complexes
[arXiv] 2026-06-22 | Stable Image Reconstruction via Two-Parameter Power-Scale Variation Minimization
[arXiv] 2026-06-22 | Understanding the Stealthy BGP Hijacking Risk in the ROV Era
[arXiv] 2026-06-22 | Rethinking Prototype-based Similarity Learning for Few-Shot Object Detection
[arXiv] 2026-06-22 | Polarization States and Effective Stress Energy Tensor of Gravitational Waves in Metric $f(R)$ Gravity
[arXiv] 2026-06-22 | SPAR: Semantic-Pixel Self-Alignment and Adaptive Routing for Unified Multimodal Models
[arXiv] 2026-06-22 | EvoRubrics: Dynamic Rubrics as Rewards via Adversarial Co-Evolution for LLM Reinforcement Learning
[arXiv] 2026-06-22 | A Stackelberg Framework for Resource-Aware LLM Agents: Learning, Repair, and Conditional Guarantees
[arXiv] 2026-06-22 | Boosting Neural Video Codec via Scale-Driven Online Flow Refinement
[arXiv] 2026-06-22 | The Bojanov--Naidenov inequality for quartics and second derivatives
[arXiv] 2026-06-22 | Hierarchical Bayes meets hierarchical forecasting: A flexible framework for level-focused forecasts
[arXiv] 2026-06-22 | ISOPoT: Imaging Sonar Odometry by Point Tracking
[arXiv] 2026-06-22 | VCT: A Verifiable Transcript System for LLM Conversations
[arXiv] 2026-06-22 | TEXEDO : Test Time Scaling for Controller-aware Language-conditioned Humanoid Motion Generation
[arXiv] 2026-06-22 | Characterising transiting exoplanets at long orbital period: lessons learned for PLATO from 10 years of monitoring the HIP41378 system
[arXiv] 2026-06-22 | Group-Graph Policy Optimization for Long-Horizon Agentic Reinforcement Learning
[arXiv] 2026-06-22 | Powder Spreading and Layer Deposition in Metal Powder Bed Fusion
[arXiv] 2026-06-22 | Can Single-View Mesh Reconstruction Generalize to Robot Camera Rotation?
[arXiv] 2026-06-22 | LiveServe: Interaction-Aware Serving for Real-Time Omni-Modal LLMs
[arXiv] 2026-06-22 | Computation of the Fourier transform for a continuous integrable function via NFFT
[arXiv] 2026-06-22 | DT-GOL: Dual-Track Geometric Online Learning in Nonstationary Environment with Label Delay
[arXiv] 2026-06-22 | When do correlations reflect biological similarity in ecological dynamics?
[arXiv] 2026-06-22 | Improved convergence rates and larger initial data for the 3D-2D asymptotics of the rotating magnetohydrodynamicand rotating fluids systems
[arXiv] 2026-06-22 | RAD@home discovery of a bow-and-arrow radio galaxy tracing a ~560 kpc bow-shock structure in a multi-halo environment
[arXiv] 2026-06-22 | Statistical Physics of Planar Carroll Systems
[arXiv] 2026-06-22 | Exposing the Illusion of Erasure in Knowledge Editing for LLMs
[arXiv] 2026-06-22 | ShotcreteDepth: A Bi-modal Dataset for Robust Robotic Depth Perception in Shotcrete Construction Environments
[arXiv] 2026-06-22 | Nonlinear Static Screening of Positive Charges in an Electron Gas: Contact Hartree Energy
[arXiv] 2026-06-22 | Thermal and rotational effects of giant impacts during terrestrial planet accretion
[arXiv] 2026-06-22 | Evaluation Awareness Is Not One Capability: Evidence from Open Language Models
[arXiv] 2026-06-22 | Causal Inference with Multiple Misclassified Exposures: A Control Variate-Adjusted Calibration Weighting Approach
[arXiv] 2026-06-22 | Differential measurement of the branching fraction and $C\!P$ asymmetry of the decay $B^\pm\to π^\pmμ^+μ^-$
[arXiv] 2026-06-22 | On moduli spaces of vector bundles on $K3^{[n]}$-type IHS manifolds
[arXiv] 2026-06-22 | Group Selection Promotes Prosocial Prompts in Populations of LLM Agents
[arXiv] 2026-06-22 | GRINQH: Graded Input-based Quantization Hierarchy for Efficient LLM Generation
[arXiv] 2026-06-22 | Connecting vertex sets to walls
[arXiv] 2026-06-22 | The EVerest Dataset for Secure Software Engineering
[arXiv] 2026-06-22 | Error Highways: Scaling Predictive Coding to Very Deep Networks
[arXiv] 2026-06-22 | Scheduling Thoughts: Learning the Order of Thought in Diffusion Language Models
[arXiv] 2026-06-22 | Codimensions one and two cohomology of Hecke congruence subgroups
[arXiv] 2026-06-22 | Muown Implicitly Performs Angular Step-size Decay
[arXiv] 2026-06-22 | Learning to Compute on Dirty Paper
[arXiv] 2026-06-22 | Active Inference as the Test-Time Scaling Law for Physical AI Agents
[arXiv] 2026-06-22 | Field-level weak lensing cosmology with $<100$ simulations using multifidelity simulation-based inference
[arXiv] 2026-06-22 | Flow as Flow: Modeling Robot Velocity Fields as Probability Velocity Fields for Flow-Based Object Manipulation
[arXiv] 2026-06-22 | DrivingVoxels: Compositional Sparse Voxel Rasterization for Dynamic Driving Scene Reconstruction
[arXiv] 2026-06-22 | Clutch: High Performance Vector-Scalar Comparison using DRAM via Chunked Temporal Coding
[arXiv] 2026-06-22 | Long-time existence of the pluriclosed flow on some fibrations
[arXiv] 2026-06-22 | EML Trees Are Universal Approximators
[arXiv] 2026-06-22 | Kreiss stability analysis of Hagstrom-Warburton nonreflecting boundary conditions for the first-order time-dependent Maxwell equations
[arXiv] 2026-06-22 | Financial Frequency Combs
[arXiv] 2026-06-22 | Little Red Dots on FIRE: Exploring the formation and observational signatures of ultra-compact early galaxies
[arXiv] 2026-06-22 | Rank Amplification for Shifted Equal Values of Euler's Totient Function
[arXiv] 2026-06-22 | Effective hyperuniformity in time-integrated stochastic Turing patterns
[arXiv] 2026-06-22 | The Table Says Otherwise: Testing LLMs with Counterfactual Relational Data
[arXiv] 2026-06-22 | A Reduced Order Model for Emergent Mechanics in Woven Systems
[arXiv] 2026-06-22 | Resolving support-mismatch by local basis rotation in variational Monte Carlo
[arXiv] 2026-06-22 | Dynamic estimation of slowly varying sequences
[arXiv] 2026-06-22 | Equatorial Periodic Orbits and Gravitational Wave Phenomenology around Spherically-symmetric vacuum solution in Freund-Nambu scalar-tensor gravity
[arXiv] 2026-06-22 | Two-dimensional stealthy hyperuniform polycrystalline disk packings
[arXiv] 2026-06-22 | Discovering Latent Groups for Robust Classification
[arXiv] 2026-06-22 | Scaling Linear Mode Connectivity and Merging to Billion Parameter Pretrained Transformers
[arXiv] 2026-06-22 | Formation of singularities for a family of one-dimensional quasilinear wave equations beyond the variational case
[arXiv] 2026-06-22 | Real-Time Multimodal Activity-Aware Error Detection in Robot-Assisted Surgery
[arXiv] 2026-06-22 | Solve for the Hyperparameter, Skip the Search: Kolmogorov-Optimal Scaling Laws for Spline Regression
[arXiv] 2026-06-22 | An Infinitary Lambda Calculus with Global Trace Condition (Extended Abstract)
[arXiv] 2026-06-22 | INCARBench: A Benchmark for Scientific Configuration in VASP INCAR by Large Language Models
[arXiv] 2026-06-22 | Patient-Aware Contrastive Learning Preserves Per-Patient Structure in RR-Interval Representations
[arXiv] 2026-06-22 | High Speed High Signal-to-Noise Ratio Antenna Measurements -- Demonstration for UAV-Based Near-Field Measurements of Modulated Terrestrial Navigation Signals
[arXiv] 2026-06-22 | Electrochemical DNA Hairpin Sensors for Differentiating Small Molecule Intercalation from Minor Groove Binding
[arXiv] 2026-06-22 | Regime-Switching Volterra Operators: Modal Stability and Quenched Amplification
[arXiv] 2026-06-22 | Protection Switching in Hybrid Hollow-Core and Single-Mode Fiber Networks: Challenges, Analysis, and Mitigation Strategies
[arXiv] 2026-06-22 | UI-LIC: A Unified Framework for Evaluating Learned Image Compression Models
[arXiv] 2026-06-22 | VeriEvol: Scaling Multimodal Mathematical Reasoning via Verifiable Evol-Instruct
[arXiv] 2026-06-22 | Linear time sampling of Pólya trees
[arXiv] 2026-06-22 | Rethinking Object-Centric Representations for Video Dynamics Modeling
[arXiv] 2026-06-22 | Phase-space averaging for stellar convection II. Maximum-entropy closures for mixed radiative-convective envelopes
[arXiv] 2026-06-22 | Disambiguation of magnetic sensors in ITER
[arXiv] 2026-06-22 | Interpretable Kolmogorov-Arnold Network with Feature-Isolated Temporal Attention Mechanism for Electricity Load Forecasting
[arXiv] 2026-06-22 | Hopf bifurcation and stochastic spiking in an antiferromagnetic FitzHugh--Nagumo normal form
[arXiv] 2026-06-22 | When do perturbed Chebyshev--Lobatto points remain Chebyshev?
[arXiv] 2026-06-22 | A Compositional Language for Property Graphs
[arXiv] 2026-06-22 | High-Order Invariant-Domain Preserving Continuous Finite Elements via Graph-Poisson Convex Limiting
[arXiv] 2026-06-22 | Measuring & Mitigating Over-Alignment for LLMs in Multilingual Criminal Law Courts
[arXiv] 2026-06-22 | TSD: A Physics-Inspired Trajectory Saliency Detector for Efficient Imitation Learning
[arXiv] 2026-06-22 | FlexServe: A Fast and Secure LLM Serving System for Mobile Devices with Flexible Resource Isolation
[arXiv] 2026-06-22 | Asymmetry PRISM: A CPU/GPU Portfolio Optimization Engine for Deadline-Bounded Institutional Rebalancing
[arXiv] 2026-06-22 | Monte Carlo_Based Beam Dynamics Study of a Compact Linear Accelerator for Localized X_ray Generation
[arXiv] 2026-06-22 | Optimal Poisson subsampling for quantile regression with large-scale longitudinal data
[arXiv] 2026-06-22 | Ultra-Peripheral Collisions as a Nuclear-Structure Interferometer with Interpretable Multitask Deep Learning
[arXiv] 2026-06-22 | Fixed-density profiles for the semi-induced 4-vertex star
[arXiv] 2026-06-22 | Beyond the Margin: Targeted Conservation and Household Water Demand
[arXiv] 2026-06-22 | Hexagonal Boron Nitride Spin Defects for Quantum Photonics: Annealing-Free Generation by Krypton Ion Implantation
[arXiv] 2026-06-22 | Scattering Observables from Few-Body Densities and Application in Light Nuclei
[arXiv] 2026-06-22 | Degeneracy-reshaped spin squeezing in high-spin Fermi-Hubbard systems weakly coupled to light
[arXiv] 2026-06-22 | Reactive Force Field for P/Sn/I System: Atomistic Insight into the Early Stage of Black Phosphorus and Phosphorene Synthesis Process
[arXiv] 2026-06-22 | The adaptive nature of confirmation bias
[arXiv] 2026-06-22 | Bounds on nonlinear electrodynamics via resummed relative entropy
