[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[arXiv] 2026-04-02 | AA-SVD : Anchored and Adaptive SVD for Large Language Model Compression
[arXiv] 2026-04-02 | FlatAttention: Dataflow and Fabric Collectives Co-Optimization for Large Attention-Based Model Inference on Tile-Based Accelerators
[arXiv] 2026-04-02 | HyVGGT-VO: Tightly Coupled Hybrid Dense Visual Odometry with Feed-Forward Models
[arXiv] 2026-04-02 | A Case For Host Code Guided GPU Data Race Detector
[arXiv] 2026-04-02 | Lithium Droplet Transport in Tokamak Edge Plasmas
[arXiv] 2026-04-02 | Chiral-scale effective field theory for dense and thermal systems
[arXiv] 2026-04-02 | Importance sampling for Bayesian inference: polynomial-dimension dependent error bounds
[arXiv] 2026-04-02 | On Ramsey number of $K_{2,n}$ versus even cycles
[arXiv] 2026-04-02 | Gaussian closure and dynamical mean-field theory for self-avoiding heteropolymers
[arXiv] 2026-04-02 | Automated Functional Testing for Malleable Mobile Application Driven from User Intent
[arXiv] 2026-04-02 | A time grating approach to ultrahigh-Q guided mode resonance
[arXiv] 2026-04-02 | Optimal skyrmion stability in antisymmetric ultrathin ferromagnetic bilayers
[arXiv] 2026-04-02 | Network Structure in UK Payment Flows: Evidence on Economic Interdependencies and Implications for Real-Time Measurement
[arXiv] 2026-04-02 | Tracking the emergence of linguistic structure in self-supervised models learning from speech
[arXiv] 2026-04-02 | A Fenchel Theorem for the Gauss maps and uniqueness of minimizers of nonlocal curvature energies
[arXiv] 2026-04-02 | Perspectives in and on Quantum Theory
[arXiv] 2026-04-02 | The Axion Helical Misalignment Mechanism
[arXiv] 2026-04-02 | Tree-independence number and forbidden induced subgraphs: excluding a $6$-vertex path and a $(2,t)$-biclique
[arXiv] 2026-04-02 | Systems with discrete singular $φ$-Laplacian and maximal monotone boundary conditions
[arXiv] 2026-04-02 | MTLSI-Net: A Linear Semantic Interaction Network for Parameter-Efficient Multi-Task Dense Prediction
[arXiv] 2026-04-02 | Curia-2: Scaling Self-Supervised Learning for Radiology Foundation Models
[arXiv] 2026-04-02 | ATLAS and CMS measurements of the $t\bar{t}$ cross section, including off-shell and near threshold
[arXiv] 2026-04-02 | Equivalence of toral Chern-Simons and Reshetikhin-Turaev theories
[arXiv] 2026-04-02 | Exponential Asymptotics for Dark Solitons of the Discrete NLS Model
[arXiv] 2026-04-02 | Semi-explicit entropic solution to a generalised Riemann problem in some hydrological context
[arXiv] 2026-04-02 | SDesc3D: Towards Layout-Aware 3D Indoor Scene Generation from Short Descriptions
[arXiv] 2026-04-02 | Revisiting Conservativeness in Fluid Dynamics: Failure of Non-Conservative PINNs and a Path-Integral Remedy
[arXiv] 2026-04-02 | Abnormal Head Movements in Neurological Conditions: A Knowledge-Based Dataset with Application to Cervical Dystonia
[arXiv] 2026-04-02 | Output Corridor Impulsive Control of First-order Continuous System with Non-local Attractivity Analysis
[arXiv] 2026-04-02 | Learn by Surprise, Commit by Proof
[arXiv] 2026-04-02 | annbatch unlocks terabyte-scale training of biological data in anndata
[arXiv] 2026-04-02 | Lead-free antiperovskite derivatives Ba$_3$MA$_3$ (M = P, As, Sb, Bi; A = Cl, Br, I): Next-gen materials for optoelectronics
[arXiv] 2026-04-02 | ImplicitBBQ: Benchmarking Implicit Bias in Large Language Models through Characteristic Based Cues
[arXiv] 2026-04-02 | Enhancing Medical Visual Grounding via Knowledge-guided Spatial Prompts
[arXiv] 2026-04-02 | The Rank and Gradient Lost in Non-stationarity: Sample Weight Decay for Mitigating Plasticity Loss in Reinforcement Learning
[arXiv] 2026-04-02 | Gaussian Process Inference of Stochastic Magneto-Active Dynamics and Viscosity in Swift J1727.8-1613
[arXiv] 2026-04-02 | FTPFusion: Frequency-Aware Infrared and Visible Video Fusion with Temporal Perturbation
[arXiv] 2026-04-02 | Atomistic theory of the phonon angular momentum Hall effect
[arXiv] 2026-04-02 | Bayesian Elicitation with LLMs: Model Size Helps, Extra "Reasoning" Doesn't Always
[arXiv] 2026-04-02 | SHARC: Reference point driven Spherical Harmonic Representation for Complex Shapes
[arXiv] 2026-04-02 | ProVG: Progressive Visual Grounding via Language Decoupling for Remote Sensing Imagery
[arXiv] 2026-04-02 | GS^2: Graph-based Spatial Distribution Optimization for Compact 3D Gaussian Splatting
[arXiv] 2026-04-02 | A3R: Agentic Affordance Reasoning via Cross-Dimensional Evidence in 3D Gaussian Scenes
[arXiv] 2026-04-02 | Towards Intrinsically Calibrated Uncertainty Quantification in Industrial Data-Driven Models via Diffusion Sampler
[arXiv] 2026-04-02 | MAR-MAER: Metric-Aware and Ambiguity-Adaptive Autoregressive Image Generation
[arXiv] 2026-04-02 | Chromatic Noshift
[arXiv] 2026-04-02 | Efficient Constraint Generation for Stochastic Shortest Path Problems
[arXiv] 2026-04-02 | Can Large Language Models Model Programs Formally?
[arXiv] 2026-04-02 | Retrieval-aligned Tabular Foundation Models Enable Robust Clinical Risk Prediction in Electronic Health Records Under Real-world Constraints
[arXiv] 2026-04-02 | On the equivalence of the integrability obstructions for transitive Lie algebroids
[arXiv] 2026-04-02 | GAP-URGENet: A Generative-Predictive Fusion Framework for Universal Speech Enhancement
[arXiv] 2026-04-02 | Physics Informed Reinforcement Learning with Gibbs Priors for Topology Control in Power Grids
[arXiv] 2026-04-02 | SafeRoPE: Risk-specific Head-wise Embedding Rotation for Safe Generation in Rectified Flow Transformers
[arXiv] 2026-04-02 | Quasi-1D Planar Magnetic Topological Heterostructure
[arXiv] 2026-04-02 | A review of compactness methods for cross-diffusion systems seen as Wasserstein gradient flows
[arXiv] 2026-04-02 | Hausdorff compactness and regularity for classes of open sets under geometric constraints
[arXiv] 2026-04-02 | Stability of the Timoshenko Beam Equation with One Weakly Degenerate Local Kelvin-Voigt Damping
[arXiv] 2026-04-02 | The cohesive and stable Ramsey theorems and proof size over a weak base theory
[arXiv] 2026-04-02 | SN2024abfl: A Low-Luminosity Type IIP Supernova at the Low-Mass End of Core Collapse
[arXiv] 2026-04-02 | A deep learning pipeline for PAM50 subtype classification using histopathology images and multi-objective patch selection
[arXiv] 2026-04-02 | Low-Temperature Asymptotics of the Poincaré and the log-Sobolev Constants for Łojasiewicz Potentials
[arXiv] 2026-04-02 | Exclusive semileptonic and nonleptonic $J/ψ$ decays
[arXiv] 2026-04-02 | Cuspidal endo-support and strong beta extensions
[arXiv] 2026-04-02 | Preferential Bayesian Optimization with Crash Feedback
[arXiv] 2026-04-02 | Spectroscopic Case Studies of Four Long-duration Transition-region Explosive Events
[arXiv] 2026-04-02 | Improving Operational Feasibility in Large-Scale Power System Planning
[arXiv] 2026-04-02 | DriveDreamer-Policy: A Geometry-Grounded World-Action Model for Unified Generation and Planning
[arXiv] 2026-04-02 | Analysis of Efficient Transmission Methods of Grid Maps for Intelligent Vehicles
[arXiv] 2026-04-02 | Functional relations in renormalization group methods for a class of ordinary differential equations
[arXiv] 2026-04-02 | Liouville integrable Lotka-Volterra systems
[arXiv] 2026-04-02 | Eyes Can't Always Tell: Fusing Eye Tracking and User Priors for User Modeling under AI Advice Conditions
[arXiv] 2026-04-02 | DDCL: Deep Dual Competitive Learning: A Differentiable End-to-End Framework for Unsupervised Prototype-Based Representation Learning
[arXiv] 2026-04-02 | Setup-Independent Full Projector Compensation
[arXiv] 2026-04-02 | From BM25 to Corrective RAG: Benchmarking Retrieval Strategies for Text-and-Table Documents
[arXiv] 2026-04-02 | Phase-Shifted Pilot Design for NOMA-Empowered Uplink ISAC Systems
[arXiv] 2026-04-02 | On expectations and variances in the hard-core model
[arXiv] 2026-04-02 | OpenGo: An OpenClaw-Based Robotic Dog with Real-Time Skill Switching
[arXiv] 2026-04-02 | Semiring identities in the semigroup $B_2$
[arXiv] 2026-04-02 | Can Video Diffusion Models Predict Past Frames? Bidirectional Cycle Consistency for Reversible Interpolation
[arXiv] 2026-04-02 | Bond-density-wave orders induced by geometric frustration in the kagome metal CeRu3Si2
[arXiv] 2026-04-02 | The Integral Chow Ring of Smooth Non-strict Toric Stacks
[arXiv] 2026-04-02 | GPA: Learning GUI Process Automation from Demonstrations
[arXiv] 2026-04-02 | HOT: Harmonic-Constrained Optimal Transport for Remote Photoplethysmography Domain Adaptation
[arXiv] 2026-04-02 | Unusually Hot Interiors Could Reconcile the Missing Methane Problem for Warm-to-Hot Exoplanets with Hydrogen Atmospheres
[arXiv] 2026-04-02 | PRCCF: A Persona-guided Retrieval and Causal-aware Cognitive Filtering Framework for Emotional Support Conversation
[arXiv] 2026-04-02 | Femtoscopy of Strange Baryons in Heavy-ion Collisions at RHIC-STAR
[arXiv] 2026-04-02 | What Do Claim Verification Datasets Actually Test? A Reasoning Trace Analysis
[arXiv] 2026-04-02 | ThinknCheck: Grounded Claim Verification with Compact, Reasoning-Driven, and Interpretable Models
[arXiv] 2026-04-02 | MonoSAOD: Monocular 3D Object Detection with Sparsely Annotated Label
[arXiv] 2026-04-02 | Contextualizing Sink Knowledge for Java Vulnerability Discovery
[arXiv] 2026-04-02 | Grounding AI-in-Education Development in Teachers' Voices: Findings from a National Survey in Indonesia
[arXiv] 2026-04-02 | RefinementEngine: Automating Intent-to-Device Filtering Policy Deployment under Network Constraints
[arXiv] 2026-04-02 | OSCAR: Orchestrated Self-verification and Cross-path Refinement
[arXiv] 2026-04-02 | NEMESIS: Noise-suppressed Efficient MAE with Enhanced Superpatch Integration Strategy
[arXiv] 2026-04-02 | On Relative Ulrich Bundle and Generalized Clifford Algebra
[arXiv] 2026-04-02 | MM-ReCoder: Advancing Chart-to-Code Generation with Reinforcement Learning and Self-Correction
[arXiv] 2026-04-02 | Learning from the Right Rollouts: Data Attribution for PPO-based LLM Post-Training
[arXiv] 2026-04-02 | Chiral Superconductivity in Periodically Driven Altermagnet/Superconductor Heterostructures
[arXiv] 2026-04-02 | ThinkTwice: Jointly Optimizing Large Language Models for Reasoning and Self-Refinement
[arXiv] 2026-04-02 | Single-Pass Streaming CSPs via Two-Tier Sampling
[arXiv] 2026-04-02 | When is cumulative dose response monotonic? Analysis of incoherent feedforward motifs
[arXiv] 2026-04-02 | Does Your Optimizer Care How You Normalize? Normalization-Optimizer Coupling in LLM Training
[arXiv] 2026-04-02 | ZEUS: Accelerating Diffusion Models with Only Second-Order Predictor
[arXiv] 2026-04-02 | Prototype-Based Low Altitude UAV Semantic Segmentation
[arXiv] 2026-04-02 | Accelerated Patient-Specific Hemodynamic Simulations with Hybrid Physics-Based Neural Surrogates
[arXiv] 2026-04-02 | Anomalous scaling in redirection networks
[arXiv] 2026-04-02 | Geometric origin of the cosmological constant from Einstein-Chern-Simons gravity compactified to four dimensions
[arXiv] 2026-04-02 | Read More, Think More: Revisiting Observation Reduction for Web Agents
[arXiv] 2026-04-02 | Validating Computational Markers of Depressive Behavior: Cross-Linguistic Speech-Based Depression Detection with Neurophysiological Validation
[arXiv] 2026-04-02 | A Determinantal Approach to a Sharp $\ell^1-\ell^\infty-\ell^2$ Norm Inequality
[arXiv] 2026-04-02 | Why Instruction-Based Unlearning Fails in Diffusion Models?
[arXiv] 2026-04-02 | On Integral Linear Constraints on Convex Cones
[arXiv] 2026-04-02 | Feedforward Density-Driven Optimal Control for Tracking Time-Varying Distributions with Guaranteed Stability
[arXiv] 2026-04-02 | Identifying and Estimating Causal Direct Effects Under Unmeasured Confounding
[arXiv] 2026-04-02 | The Weak Signal Cultivation Model: A Human-Centric Framework for Frontline Risk Detection, Signal Tracking, and Proactive Organizational Resilience
[arXiv] 2026-04-02 | MOVis: A Visual Analytics Tool for Surfacing Missed Patches Across Software Variants
[arXiv] 2026-04-02 | Impacts of Voids, Line of Sight Interactions, and Local Emission Environment on Detectability of Gamma-Ray AGN
[arXiv] 2026-04-02 | Cesàro summability of Hölder functions and Talbot effect on rank one Riemannian symmetric spaces of compact type
[arXiv] 2026-04-02 | Lemniscate phase trajectories for high-fidelity GHZ state preparation in trapped-ion chains
[arXiv] 2026-04-02 | AdamFlow: Adam-based Wasserstein Gradient Flows for Surface Registration in Medical Imaging
[arXiv] 2026-04-02 | Unifying Group-Relative and Self-Distillation Policy Optimization via Sample Routing
[arXiv] 2026-04-02 | GECAM discovery of a peculiar magnetar X-ray burst (MXB 221120) from SGR J1935+2154 associated with a fast radio burst
[arXiv] 2026-04-02 | Retrieval-Augmented Question Answering over Scientific Literature for the Electron-Ion Collider
[arXiv] 2026-04-02 | Best-Arm Identification with Noisy Actuation
[arXiv] 2026-04-02 | SPAR: Single-Pass Any-Resolution ViT for Open-vocabulary Segmentation
[arXiv] 2026-04-02 | Search for dark photons at future e$^+$e$^-$ colliders
[arXiv] 2026-04-02 | UAV-Track VLA: Embodied Aerial Tracking via Vision-Language-Action Models
[arXiv] 2026-04-02 | Fluid perturbations from expanding bubbles in first-order phase transitions
[arXiv] 2026-04-02 | Generative AI Spotlights the Human Core of Data Science: Implications for Education
[arXiv] 2026-04-02 | Do Emotions in Prompts Matter? Effects of Emotional Framing on Large Language Models
[arXiv] 2026-04-02 | Subquadratic Counting via Perfect Marginal Sampling
[arXiv] 2026-04-02 | Explicit constructions of mutually unbiased bases via Hadamard matrices
[arXiv] 2026-04-02 | On the Convexity of the Solution Set of Linear Complementarity Problem over Tensor Spaces
[arXiv] 2026-04-02 | Gravitational null rays: Covariant Quantization and the Dressing Time
[arXiv] 2026-04-02 | When to ASK: Uncertainty-Gated Language Assistance for Reinforcement Learning
[arXiv] 2026-04-02 | High-bandwidth Coherence Cloning using Optical-Phase-Locking Feedforward
[arXiv] 2026-04-02 | Universal Hypernetworks for Arbitrary Models
[arXiv] 2026-04-02 | Phase estimation with autoregressive padding (PEAP): addressing inaccuracies and biases in EEG analysis
[arXiv] 2026-04-02 | Prosodic ABX: A Language-Agnostic Method for Measuring Prosodic Contrast in Speech Representations
[arXiv] 2026-04-02 | Beyond Logit Adjustment: A Residual Decomposition Framework for Long-Tailed Reranking
[arXiv] 2026-04-02 | Nonparametric regression of spatio-temporal data using infinite-dimensional covariates
[arXiv] 2026-04-02 | Hedging market risk and uncertainty via a robust portfolio approach
[arXiv] 2026-04-02 | Mining Instance-Centric Vision-Language Contexts for Human-Object Interaction Detection
[arXiv] 2026-04-02 | IndoorCrowd: A Multi-Scene Dataset for Human Detection, Segmentation, and Tracking with an Automated Annotation Pipeline
[arXiv] 2026-04-02 | Steerable Visual Representations
[arXiv] 2026-04-02 | A floating body with no preferred orientation: an experimental realization
[arXiv] 2026-04-02 | Non-minimally coupled quintessence with sign-switching interaction
[arXiv] 2026-04-02 | CoRegOVCD: Consistency-Regularized Open-Vocabulary Change Detection
[arXiv] 2026-04-02 | Mitigating Implicit Inconsistencies in Patch Porting
[arXiv] 2026-04-02 | BBC: Improving Large-k Approximate Nearest Neighbor Search with a Bucket-based Result Collector
[arXiv] 2026-04-02 | MAVFusion: Efficient Infrared and Visible Video Fusion via Motion-Aware Sparse Interaction
[arXiv] 2026-04-02 | Optimization Opportunities for Cloud-Based Data Pipeline Infrastructures
[arXiv] 2026-04-02 | Qiana: A First-Order Formalism to Quantify over Contexts and Formulas with Temporality
[arXiv] 2026-04-02 | A Self supervised learning framework for imbalanced medical imaging datasets
[arXiv] 2026-04-02 | PAC-Bayesian Reward-Certified Outcome Weighted Learning
[arXiv] 2026-04-02 | Rethinking Representations for Cross-Domain Infrared Small Target Detection: A Generalizable Perspective from the Frequency Domain
[arXiv] 2026-04-02 | Quantum-Inspired Geometric Classification with Correlation Group Structures and VQC Decision Modeling
[arXiv] 2026-04-02 | A new framework for atom-resolved decomposition of second-harmonic generation in nonlinear-optical crystals
[arXiv] 2026-04-02 | Mitigation of Incoherent Spectral Lines via Adaptive Coherence Analysis for Continuous Gravitational-Wave Searches
[arXiv] 2026-04-02 | Universal critical timescales in slow non-Hermitian dynamics
[arXiv] 2026-04-02 | SURE: Synergistic Uncertainty-aware Reasoning for Multimodal Emotion Recognition in Conversations
[arXiv] 2026-04-02 | A Weak Notion of Symmetry for Dynamical Systems
[arXiv] 2026-04-02 | On the uncertainty from the first-stage estimation of prognostic covariate adjustment in randomized controlled trials
[arXiv] 2026-04-02 | Phonon Thermal Hall Effect in quartz and its absence in silica
[arXiv] 2026-04-02 | Combating Data Laundering in LLM Training
[arXiv] 2026-04-02 | Sharp spectral estimates for free boundary problems arising in plasma physics
[arXiv] 2026-04-02 | When does learning pay off? A study on DRL-based dynamic algorithm configuration for carbon-aware scheduling
[arXiv] 2026-04-02 | Symmetries and Critical Dimensions of Tensionless Branes
[arXiv] 2026-04-02 | GeoAI Agency Primitives
[arXiv] 2026-04-02 | Free rigid commutative algebras
[arXiv] 2026-04-02 | Towards the $p$-adic Hodge parameters in semistable representations of $\mathrm{GL}_n(\mathrm{Q}_p)$
[arXiv] 2026-04-02 | CANDI: Curated Test-Time Adaptation for Multivariate Time-Series Anomaly Detection Under Distribution Shift
[arXiv] 2026-04-02 | Investigating Permutation-Invariant Discrete Representation Learning for Spatially Aligned Images
[arXiv] 2026-04-02 | Ranking-Guided Semi-Supervised Domain Adaptation for Severity Classification
[arXiv] 2026-04-02 | Language-Pretraining-Induced Bias: A Strong Foundation for General Vision Tasks
[arXiv] 2026-04-02 | STRIVE: Structured Spatiotemporal Exploration for Reinforcement Learning in Video Question Answering
[arXiv] 2026-04-02 | The scaling Pomeron
[arXiv] 2026-04-02 | Gruenberg-Kegel graphs with four edges of finite solvable cut groups
[arXiv] 2026-04-02 | Morphoelastic Growth in the Presence of Nutrients at Small Strains
[arXiv] 2026-04-02 | Bond-Length-Driven Magnetic Transition in Quasi-One-Dimensional CrSb$X_3$ ($X$=S, Se)
[arXiv] 2026-04-02 | Multi-Mode Pinching-Antenna Systems: Polarization-Aware Full-Wave Modeling and Optimization
[arXiv] 2026-04-02 | Bridging Deep Learning and Integer Linear Programming: A Predictive-to-Prescriptive Framework for Supply Chain Analytics
[arXiv] 2026-04-02 | State-constrained optimal control of the continuity equation and infinite-dimensional viscosity solutions
[arXiv] 2026-04-02 | FSKD: Monocular Forest Structure Inference via LiDAR-to-RGBI Knowledge Distillation
[arXiv] 2026-04-02 | FourierMoE: Fourier Mixture-of-Experts Adaptation of Large Language Models
[arXiv] 2026-04-02 | T5Gemma-TTS Technical Report
[arXiv] 2026-04-02 | Spike-PTSD: A Bio-Plausible Adversarial Example Attack on Spiking Neural Networks via PTSD-Inspired Spike Scaling
[arXiv] 2026-04-02 | Ultrasound-CLIP: Semantic-Aware Contrastive Pre-training for Ultrasound Image-Text Understanding
[arXiv] 2026-04-02 | Unifying UAV Cross-View Geo-Localization via 3D Geometric Perception
[arXiv] 2026-04-02 | Detecting Toxic Language: Ontology and BERT-based Approaches for Bulgarian Text
[arXiv] 2026-04-02 | AeroTherm-GPT: A Verification-Centered LLM Framework for Thermal Protection System Engineering Workflows
[arXiv] 2026-04-02 | Koopman-Based Nonlinear Identification and Adaptive Control of a Turbofan Engine
[arXiv] 2026-04-02 | LiteInception: A Lightweight and Interpretable Deep Learning Framework for General Aviation Fault Diagnosis
[arXiv] 2026-04-02 | End-to-End Shared Attention Estimation via Group Detection with Feedback Refinement
[arXiv] 2026-04-02 | Rigidity of the timelike marked length spectrum and length-twist coordinates of singular de-Sitter tori
[arXiv] 2026-04-02 | CV-18 NER: Augmented Common Voice for Named Entity Recognition from Arabic Speech
[arXiv] 2026-04-02 | On the intersection of $\mathfrak{F}$-maximal subgroups of a finite group
[arXiv] 2026-04-02 | Computing the Exact Pareto Front in Average-Cost Multi-Objective Markov Decision Processes
[arXiv] 2026-04-02 | Grey-Box Bayesian Optimization for ISAC in Fluid-Antenna Assisted Air-Ground Network
[arXiv] 2026-04-02 | Power laws, anisotropy and center-of-mass conservation in mass transport processes
[arXiv] 2026-04-02 | One can almost never hear the shape of a digraph
[arXiv] 2026-04-02 | Transformer-Accelerated Interpolated Data-Driven Reachability Analysis from Noisy Data
[arXiv] 2026-04-02 | Definitive Assessment of the Accuracy, Variationality, and Convergence of Relativistic Coupled Cluster and Density Matrix Renormalization Group in 100-Orbital Space
[arXiv] 2026-04-02 | Stable and Efficient Algorithms for the Fermion Determinant
[arXiv] 2026-04-02 | Cross-Modal Visuo-Tactile Object Perception
[arXiv] 2026-04-02 | Topographic Modulation of Martian Near-Surface Winds: Insights from Perseverance Measurements and CFD Modeling in Jezero Crater
[arXiv] 2026-04-02 | Boundedness and decay for the conformal wave equation in Schwarzschild-AdS under dissipative boundary conditions
[arXiv] 2026-04-02 | Constrained Quantum Optimization via Iterative Warm-Start XY-Mixers
[arXiv] 2026-04-02 | Photonic qubit encoding interconversion for heterogeneous quantum networking
[arXiv] 2026-04-02 | Isometric rigidity and Fraïssé properties of Orlicz sequence spaces
[arXiv] 2026-04-02 | PLUME: Latent Reasoning Based Universal Multimodal Embedding
[arXiv] 2026-04-02 | Fixed-time-stable ODE Representation of Lasso
[arXiv] 2026-04-02 | CompassAD: Intent-Driven 3D Affordance Grounding in Functionally Competing Objects
[arXiv] 2026-04-02 | Ouroboros: Dynamic Weight Generation for Recursive Transformers via Input-Conditioned LoRA Modulation
[arXiv] 2026-04-02 | BidirLM: From Text to Omnimodal Bidirectional Encoders by Adapting and Composing Causal LLMs
[arXiv] 2026-04-02 | Stable Hermite transforms via the Golub-Welsch algorithm
[arXiv] 2026-04-02 | Rare-Aware Autoencoding: Reconstructing Spatially Imbalanced Data
[arXiv] 2026-04-02 | Balancing Morality and Economics: Population Games with Herding and Inertia
[arXiv] 2026-04-02 | Why Gaussian Diffusion Models Fail on Discrete Data?
[arXiv] 2026-04-02 | Systematic Analyses of Reinforcement Learning Controllers in Signalized Urban Corridors
[arXiv] 2026-04-02 | Optimizing Interventions for Agent-Based Infectious Disease Simulations
[arXiv] 2026-04-02 | Test-Time Adaptation for Height Completion via Self-Supervised ViT Features and Monocular Foundation Models
[arXiv] 2026-04-02 | Apriel-Reasoner: RL Post-Training for General-Purpose and Efficient Reasoning
[arXiv] 2026-04-02 | ProDiG: Progressive Diffusion-Guided Gaussian Splatting for Aerial to Ground Reconstruction
[arXiv] 2026-04-02 | How and why does deep ensemble coupled with transfer learning increase performance in bipolar disorder and schizophrenia classification?
[arXiv] 2026-04-02 | Resetting optimized competitive first-passage outcomes in non-Markovian systems
[arXiv] 2026-04-02 | Interactive Tracking: A Human-in-the-Loop Paradigm with Memory-Augmented Adaptation
[arXiv] 2026-04-02 | Determining $\mathbb R$-Rank in Semisimple Lie Groups via uniform approximate Lattice arising as Regular Model Sets
[arXiv] 2026-04-02 | Ego-Grounding for Personalized Question-Answering in Egocentric Videos
[arXiv] 2026-04-02 | Human-Guided Reasoning with Large Language Models for Vietnamese Speech Emotion Recognition
[arXiv] 2026-04-02 | High-resolution ultra-low-field MRI with SNRAware denoising
[arXiv] 2026-04-02 | Chung-type laws of the iterated logarithm for $m$-fold weighted integrated fractional processes
[arXiv] 2026-04-02 | Dehn filling and the knot group II: Ubiquity of persistent elements
[arXiv] 2026-04-02 | A Graph Neural Network Approach for Solving the Ranked Assignment Problem in Multi-Object Tracking
[arXiv] 2026-04-02 | Electrochemical doping in H-terminated diamond films: Impact of O-functionalization and insights from in-situ Raman spectro electrochemistry
[arXiv] 2026-04-02 | MiCA Learns More Knowledge Than LoRA and Full Fine-Tuning
[arXiv] 2026-04-02 | From Understanding to Erasing: Towards Complete and Stable Video Object Removal
[arXiv] 2026-04-02 | Quantum-Information Measure of Electron Localization
[arXiv] 2026-04-02 | AromaGen: Interactive Generation of Rich Olfactory Experiences with Multimodal Language Models
[arXiv] 2026-04-02 | Isolated extended states and anomalous critical behavior in the generalized SSH model
[arXiv] 2026-04-02 | LivingWorld: Interactive 4D World Generation with Environmental Dynamics
[arXiv] 2026-04-02 | Fragile Reasoning: A Mechanistic Analysis of LLM Sensitivity to Meaning-Preserving Perturbations
[arXiv] 2026-04-02 | DWDP: Distributed Weight Data Parallelism for High-Performance LLM Inference on NVL72
[arXiv] 2026-04-02 | CRaFT: Circuit-Guided Refusal Feature Selection via Cross-Layer Transcoders
[arXiv] 2026-04-02 | Assertain: Automated Security Assertion Generation Using Large Language Models
[arXiv] 2026-04-02 | Simulation and Analysis of Multifractional Stochastic Processes with R Package Rmfrac
[arXiv] 2026-04-02 | Thinking While Listening: Fast-Slow Recurrence for Long-Horizon Sequential Modeling
[arXiv] 2026-04-02 | AI-Assisted Hardware Security Verification: A Survey and AI Accelerator Case Study
[arXiv] 2026-04-02 | Boosting Vision-Language-Action Finetuning with Feasible Action Neighborhood Prior
[arXiv] 2026-04-02 | VideoZeroBench: Probing the Limits of Video MLLMs with Spatio-Temporal Evidence Verification
[arXiv] 2026-04-02 | AnchorVLA: Anchored Diffusion for Efficient End-to-End Mobile Manipulation
[arXiv] 2026-04-02 | A Unified Performance-Cost Landscape of Parallel p-bit Ising Machines Based on Update Dynamics
[arXiv] 2026-04-02 | Designing for Patient Voice in Interactive Health
