[2026-06-13 23:04:29] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-12 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[IEEE] 2026-6-12 | Graph Neural Transformer with Structural Attention Bias for Robust Multi-Disease Soybean Leaf Classification
[IEEE] 2026-6-12 | Deep Intelligent Optimized Privacy Preserving in Internet of Things Cloud System
[IEEE] 2026-6-12 | Smart Transit: Real-Time Monitoring for Optimized Public Transportation
[IEEE] 2026-6-12 | FinFET based Breath Analyzer for Rapid Detection of Respiratory Infections
[IEEE] 2026-6-12 | ACVA: An Intelligent Voice-Enabled Agricultural Chatbot Using Deep Learning and NLP for Sustainable Farming Support
[IEEE] 2026-6-12 | Researching the Efficiency of Source Code Defect Prediction Using a Modified XGBoost Algorithm
[ACM] 2026-6-12 | Proceedings of the 12th ACM SIGPLAN International Workshop on Libraries, Languages and Compilers for Array Programming
[ACM] 2026-6-12 | Otherness as a Quality in Designing Expressive Robotic Touch
[ACM] 2026-6-12 | Beyond Project Time: Multiple Years of Living with a Slow Technology Research Product
[ACM] 2026-6-12 | Care in Pieces: Unpacking Experiences of Using LLMs for Self-management of Endometriosis and PCOS
[ACM] 2026-6-12 | Conceptualizing How to Design for AI Literacy through Game Artifacts
[ACM] 2026-6-12 | Shifting Narrative Salience: Fine-Tuning LLMs as a Design Intervention in Generative Design Fiction
[ACM] 2026-6-12 | Refined Remora: Constraining Array Shapes
[ACM] 2026-6-12 | An Evolutionary Black-Box Framework for Adversarial Prompt Generation in Large Language Models
[ACM] 2026-6-12 | Homes as Repositories of Alternative Potentials: Designing in, for and alongside Everyday Life
[IEEE] 2026-6-12 | Comprehensive Dynamic Modeling and Control of the Flexible Foundation-Active Magnetic Bearings-Rotor System
[IEEE] 2026-6-12 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-6-12 | RA-SSU: Towards Fine-Grained Audio-Visual Learning with Region-Aware Sound Source Understanding
[IEEE] 2026-6-12 | RD-VTA: Rule-Data Guided Video-to-Audio Generation for Fine-Grained Footstep Sound
[IEEE] 2026-6-12 | Deep Learning-Based Classification of Crack Propagation in Asphalt Mixtures Using Cyclic SCB Tests Under Varying Temperature and Notch Depth
[IEEE] 2026-6-12 | A novel compact pneumatic turbine-driven transducer for MR Elastography_supp1-3701175.pdf
[IEEE] 2026-6-12 | Adsorption Performance and Numerical Simulation of Charged Particle Trajectory of IFD Electrostatic Filter Under Electric-Flow Multi-Physical Coupling Fields
[IEEE] 2026-6-12 | An Optimal Design of Time-of-Use Tariff to Mitigate Overloads From Residential Electric Vehicle Charging on Distribution Networks
[IEEE] 2026-6-12 | Exosystem-Based Dynamic Input Control Strategy for Load Mitigation in Variable-Speed Wind Turbines Under Above-Rated Wind Conditions
[IEEE] 2026-6-12 | Real-to-Sim-to-Real: Learning Agile and Robust Recovery Skills with Terrain Imagination via Adversarial Imitation
[IEEE] 2026-6-12 | Table of Contents
[ACM] 2026-6-13 | Reinforcement Learning-Based Clustered Multi-Application Charging Optimization for Underwater Wireless Sensor Networks
[ACM] 2026-6-13 | Cluster-wise Analysis of 3D Gaussian Splatting Point Clouds Using Spherical Harmonics and Attribute Features
[ACM] 2026-6-13 | Performance Estimation of IPFS-based Distributed Storage Using Idle Computing Resources and Secret Sharing
[ACM] 2026-6-13 | Physio-Digital Twin for Human-Centered IoT Mobility: A Proof-of-Concept Implementation on the E-Bike Platform
[ACM] 2026-6-13 | A Processual Model of Artifact-Mediated Controversy in Public Speculative Design
[ACM] 2026-6-13 | The Matter of Making: Designing Embodied Interaction Tools for Visual Creation with Generative AI
[ACM] 2026-6-13 | Wolfborn: Silent Emotional Catharsis and Empathy via Pseudo-Vocalized Embodiment
[ACM] 2026-6-13 | From Guided Tours to BYOD Self-Guides in Living Heritage: A Service Design Framework and Longitudinal Field Deployment
[ACM] 2026-6-13 | When Acceptance Doesn’t Travel: Measurement (Non-)Invariance in Acceptance Models of AI Assistants for Privacy Management
[ACM] 2026-6-12 | Designing Policy with Last-Mile Stakeholders: Connecting Ground-Level Farmer Insights to Indian Agrarian Policymakers with NLP
[ACM] 2026-6-12 | MediMate: Co-Crafting Patient-Centered Medical Explanations Using LLMs as a Rehearsal Partner
[IEEE] 2026-6-12 | Gradient Design and Verification of Lightweight High-Temperature Thermal Protection Components
[IEEE] 2026-6-12 | An Explainable Hierarchical Reinforcement Learning Approach for Personalized and Health-Constrained Meal Recommendation
[IEEE] 2026-6-12 | IoT-Enabled Real-Time Power Quality Anomaly Detection and Disturbance Classification for Ghana/Zambia Distribution Networks
[IEEE] 2026-6-12 | Sequence Modeling Architectures: Foundations [Special Issue on the Mathematics of Deep Learning]
[IEEE] 2026-6-12 | Comparative Analysis of Detection and Segmentation Architectures using YOLO Variants and Deep Segmentation Models for Gastrointestinal Polyp Detection and Segmentation
[IEEE] 2026-6-12 | AI-Transparency and Algorithmic Trust in Smart LMS Adoption: An Explainable-AI Extended TAM Model
[ACM] 2026-6-12 | Creating Empowering Counter-Narratives through Collective Digital Art by Disabled People
[ACM] 2026-6-12 | Exploring Modular Wearable Strategies for Motor Impairments: Insights from Design Probe Workshops with Rehabilitation Clinicians
[ACM] 2026-6-12 | Revealed or Reinforced: How Assistive Technologies Shape the Experience with Dark Patterns for Blind and Low-Vision Users
[IEEE] 2026-6-12 | Dynamic Load-Aware Task Scheduling Method for Aerospace Situation Simulation with DMA-LSTM Prediction
[IEEE] 2026-6-12 | CSI-RS Overhead Reduction in 6G
[IEEE] 2026-6-12 | A Soft Voting Ensemble Approach for Early Prediction of Cardiovascular Disease Risk
[IEEE] 2026-6-12 | Technical Advancements and Strategic Frameworks for the Maintenance and Repair of Civil Infrastructure Using Fiber-Reinforced Polymer (FRP) Materials
[IEEE] 2026-6-12 | Automated System for Assessing the Degree of Deterioration of Road Markings Based on Deep Learning and Multiparametric Aggregation
[IEEE] 2026-6-12 | Numerical Simulations of Particles Fluidization and Transportation in the Asteroid Sample
[IEEE] 2026-6-12 | Drag Free and Attitude Control System design for gravitational wave detection satellites
[IEEE] 2026-6-12 | Methodology for Studying Noise in Digital Cameras
[ACM] 2026-6-12 | SVGraffiti: Remixing the Web with Vector Illustrations
[ACM] 2026-6-12 | MorphHat: A Humanoid Robot Interpreter for Enhancing Multilingual Collaboration
[ACM] 2026-6-12 | “How do I matter as a heritage building?” Exploring Heritage Building Agency in the Technology Era through a More-than-Human Lens
[ACM] 2026-6-12 | Leaky Apps: Targeted Deanonymization on Mobile Phones
[IEEE] 2026-6-12 | Title Page
[IEEE] 2026-6-12 | Copyright Page
[IEEE] 2026-6-12 | A Current-Driven SSHI for Piezoelectric Vibration Energy Harvesters
[IEEE] 2026-6-12 | An Integrated Simulation-Experimental Framework for Prediction of Pollution Flashover on Railway Catenary Insulators_supp1-3702664.mp4
[IEEE] 2026-6-12 | PositiveAssist: Energy-Gated Control for Positive Power Assistance of Exoskeleton in Walking, Running, and Stair Climbing
[IEEE] 2026-6-12 | Relative Pose Estimation for Nonholonomic Robot Formation With UWB-IO Measurements
[IEEE] 2026-6-12 | DDGA: Domain Distance Guided Active Domain Adaptation for Unpaired Super-Resolution
[IEEE] 2026-6-12 | STFD-SNN: A Physics-Constrained Spiking Neural Network Framework for Maritime Radio Environment Map Reconstruction
[IEEE] 2026-6-12 | Embroidery Actuator Utilizing Embroidery Patterns to Generate Diverse Fabric Deformations
[IEEE] 2026-6-12 | A CUDA-Accelerated Iterative Inversion Framework for High-Resolution Brain MRI Reconstruction
[IEEE] 2026-6-12 | Development of Software for Calculating Nuclear Reactor Components Using the Finite Element Method
[IEEE] 2026-6-12 | Design of a Virtual Testbed for Modeling and Simulating a Small USV Dynamics in Waves
[IEEE] 2026-6-12 | A Multi-Segment Logarithmic Spiral Continuum Robot With a Stretchable Central Backbone: Design and Coupled Kinematic Modeling
[IEEE] 2026-6-12 | RIS Element Phase-Offset Calibration based on RSRP Reports
[IEEE] 2026-6-12 | Design of a Spaceborne Phased Array Antenna for Ultra-Low Orbit
[IEEE] 2026-6-12 | A Privacy-Preserving Federated Learning Framework for Intrusion Detection
[IEEE] 2026-6-12 | Enhancing ACO Stability and Performance for Urban VRP via Clustering and Intersection Penalty
[ACM] 2026-6-13 | Analysis and Optimization of Leakage Magnetic Field Shielding for Wireless Charging of Electronic Gadgets
[ACM] 2026-6-13 | Artificial Intelligence (AI) Adoption in Higher Education: A New Perspective, AI Adoption Concern, and Influences of AI Characteristics
[ACM] 2026-6-12 | Work-in-Progress: Experimentation with Clustering Analysis on Industrial Control Systems
[ACM] 2026-6-13 | Personal 3D Printing without Visual Dependency in the Generative AI Era: Opportunities and Challenges
[ACM] 2026-6-13 | Fovy: Spatializing the "Work-to-Learn" Ecology through Interactive Skill Topologies
[ACM] 2026-6-13 | Empathy Illusion: Behavioral Contingency and the Feeling of Being Understood in AI-Responsive Spaces
[ACM] 2026-6-13 | Can Robots Be Azatoi?: Designing Calculatedly Cute Social Robot Behaviors through Cross-Cultural Participatory Visualization
[IEEE] 2026-6-12 | Mixed-Integer Programming for Multi-Agent Motion Planning and Encirclement of Moving Targets in 3D Space
[IEEE] 2026-6-12 | Business Intelligence Systems as a Strategic Driver of Digital Innovation
[IEEE] 2026-6-12 | Evaluating the Performance of Machine Learning Frameworks for Operating in Secure Enclaves
[IEEE] 2026-6-12 | Fuzzy Logic-Based Congestion Estimation in Network-on-Chip Routers Under Video Object Plane Decoder Traffic
[IEEE] 2026-6-12 | A Comparative Study of Modern Object Detectors for Robust Apple Detection in Orchard Imagery
[ACM] 2026-6-12 | Digital Twin-based Out-of-Distribution Detection in Autonomous Vessels
[IEEE] 2026-6-12 | Sentiment Forecasting By Data-Driven Models
[IEEE] 2026-6-12 | Physics–Learning Hybrid Adaptive Control for Soft Continuum Robots via ANCF Model and Sparse Online Learning Methods
[IEEE] 2026-6-12 | Super-Resolution Assisted Mask-Aware Face Recognition for Low-Quality CCTV Surveillance
[ACM] 2026-6-12 | DepthScape: Authoring 2.5D Designs via Depth Estimation, Semantic Understanding, and Geometry Extraction
