[2026-09-12 23:46:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609110000+TO+202609112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[IEEE] 2026-9-11 | Bandwidth Enhancement of Connected Array Antennas Using Controlled Reflection
[IEEE] 2026-9-11 | MOSAIC-1M: A Large-Scale Multi-Modal Dataset with Automated Semantic Annotations for Visual Content Understanding
[IEEE] 2026-9-11 | End-to-End GNSS Interference Classification Using CNNs with Neural Engine Acceleration
[IEEE] 2026-9-11 | Women in Antennas and Propagation: A European Perspective
[IEEE] 2026-9-11 | A Compact Dual-Polarized Aperture-in-Aperture Antenna for Concurrent GPS L1 and Ka-Band UAV Application
[IEEE] 2026-9-11 | CITPT: A Concurrency-Induced Throughput Phase Transition in Blocking Client–Server Architectures under Extreme Concurrency: An A-MAPSS Based Experimental Study
[IEEE] 2026-9-11 | Co-identification of Vibration, Structural Looseness, and Surface Damage in Industrial Equipment Operation Videos
[IEEE] 2026-9-11 | A Noise-Free Method for Generating Speech Adversarial Examples Against ASR Systems
[IEEE] 2026-9-11 | A Formal Approach to LLM Hallucination Detection and Mitigation
[IEEE] 2026-9-11 | A High-Throughput and Low-Overhead FPGA Design and Implementation of a Quasi-Cyclic LT Concatenated Decoder
[IEEE] 2026-9-11 | Integrated Machine Learning–Based SOC Prediction, Regenerative Energy Optimization, and Battery Health Assessment for Urban Logistics Electric Vehicles
[IEEE] 2026-9-11 | Comparative Study on PSO and Improved Cuckoo-Incremental Conductance for Multi-Peak PV MPPT
[IEEE] 2026-9-11 | Research on Low Probability of Intercept Technology for Netted LPI Radar System Based on Deep Learning
[IEEE] 2026-9-11 | Sequential Pattern Mining of Fire Incident Escalation and High-Damage Precursors in Central Luzon: a Provincial and Municipal Scale Analysis
[IEEE] 2026-9-11 | A Technology Difference Identification Method Based on BERTopic and Cosine Similarity
[IEEE] 2026-9-11 | Smart Integration of Electric Vehicle Charging Infrastructure within Hybrid Renewable Microgrids
[IEEE] 2026-9-11 | Experimental Validation of FR2 RIS-Assisted Dual-Stream Multi-User OFDMA Communication Testbed
[IEEE] 2026-9-11 | Quantifying Trapped-Charge Evolution in High-Temperature β-Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    MOSFETs Using the Charge-Neutrality Point
[IEEE] 2026-9-11 | Small Object Detection Using Improved YOLOv11n
[IEEE] 2026-9-11 | Beyond UHF RFID: Broadband Characterization of Passive RFID ICs for Application in Reconfigurable Electromagnetic Systems
[IEEE] 2026-9-11 | A Physics-Grounded Hybrid Framework for Statistical Prediction of Cavity Scattering Under Interior Uncertainty
[IEEE] 2026-9-11 | An Adaptive Dispatching Method for Call-Handling Intelligent Agents Based on Multidimensional Features
[IEEE] 2026-9-11 | Joint Prediction of SOC and Traction Load for Hybrid Locomotives Based on Multi-task BiLSTM-Attention
[IEEE] 2026-9-11 | Disentanglement Multi-Task Learning Based on Hyperbolic Space for Multimodal Sentiment Analysis
[IEEE] 2026-9-11 | Design and Analysis of an Ultrawideband Probe-Fed Conformal Array Antenna for High-Power RF Applications
[IEEE] 2026-9-11 | Ultrawideband Electromagnetic Interference Shielding Using a Frequency Selective Surface
[IEEE] 2026-9-11 | A Novel Dual-Polarization, Ultra-Thin, Air-Gap-Free Energy-Selective Surface
[ACM] 2026-9-11 | DeFT: Maintaining Determinism and Extracting Unit Tests for Autonomous Driving Planning
[IEEE] 2026-9-11 | Reliable 7-DOF Manipulator Execution Via Arm-Angle Selection and Trajectory Retiming_supp1-3732902.mp4
[IEEE] 2026-9-11 | Hierarchical Bilinear Scattering Transformer for Remote-Sensing Image Scene Classification
[IEEE] 2026-9-11 | Title Page
[IEEE] 2026-9-11 | Copyright Page
[IEEE] 2026-9-11 | Front Matter
[IEEE] 2026-9-11 | RELOAD: Robust Elliptic Localization via low-rank structure of Observation and Adjoint Distance matrices
[IEEE] 2026-9-11 | Enhancing Practical Domain Generalization via Partially Shared Features
[IEEE] 2026-9-11 | Data-Physics Fusion-Driven Engineering-Constraint-Aware Inverse Design of FSS
[IEEE] 2026-9-11 | Learning burr-related temporal patterns from cutting force sensor signals for burr severity classification
[ACM] 2026-9-11 | FlowScope: Non-Intrusive Distributed Tracing with Method-Level Delay Estimation for Microservices Troubleshooting
[ACM] 2026-9-11 | Is My RPC Response Reliable? Detecting RPC Bugs in Blockchain Client under Context
[ACM] 2026-9-11 | XRFix: Exploring Performance Bug Repair of Extended Reality Applications with Large Language Models
[ACM] 2026-9-11 | HarnessLLM: Rust Verification Harness Generation with Large Language Models
[ACM] 2026-9-11 | Fine-Grained Analyses for Evolution-Aware Runtime Verification
[ACM] 2026-9-11 | Agent-Based Ensemble Reasoning for Repository-Level Issue Resolution
[IEEE] 2026-9-11 | Algorithm-Assisted Propagation-Domain Decoupling Scheme for MIMO Arrays in 5 G V2X Full-Duplex Links
[IEEE] 2026-9-11 | Palm and Coir Fiber Composite Mat for Wide-Linear-Range Flexible Piezoresistive Pressure Sensing
[IEEE] 2026-9-11 | Reinforcement Learning-Based Graph Neural Network for Cyber Risk Mitigation in Edge Networks
[IEEE] 2026-9-11 | A Digital-Intelligent Evaluation System for College Entrance Examination Scoring Based on Cloud Computing and Big Data Analysis - Empowering Secondary School Teaching Practice
[IEEE] 2026-9-11 | Metasurface-Enhanced Wideband Patch Antenna Phased Array with Reconfigurable Polarization
[IEEE] 2026-9-11 | Memristor Array-Level DCT Feature Extraction Architecture for Compressed Domain Image Classification
[IEEE] 2026-9-11 | Systematic and Fast Synthesis of Multi-Row Standard Cells for Advanced Technology Nodes
[IEEE] 2026-9-11 | Simulations of Implant Epitaxy 4H-SiC MOSFET Designs for 1.5-1.9kV Power Electronics Applications
[IEEE] 2026-9-11 | Intelligent Interaction at a Glance: The Future of Gaze-Aware Systems
[IEEE] 2026-9-11 | Cloud Application Deployment and Automation
[IEEE] 2026-9-11 | Additive Manufacturing of Millimeter-Wave TT&amp;C Components for LEO Constellations
[IEEE] 2026-9-11 | Efficiency and Error Optimizations in ADI-FDTD-Particle-In-Cell Model for Wave-Particle Interactions and Slow-Wave Effects in THz Gap
[IEEE] 2026-9-11 | Stack Selection for Multilayer Huygens' Meta-Atoms and Accurate Inverse Design with a Hybrid Semianalytical and Deep Learning Framework
[IEEE] 2026-9-11 | A Gate Driver Design Method for Crosstalk Suppression and Power Stage Loss Reduction
[IEEE] 2026-9-11 | Near-Field Amplitude Manipulation of Dual-Polarized Antenna Using Parasitic Elements
[IEEE] 2026-9-11 | X-band Angular Filter with Linear-to-Circular Polarization Conversion Capability
[IEEE] 2026-9-11 | Aspect-Based Sentiment Analysis of Student Evaluation of Teaching Texts: A Big Data-Driven Empirical Study
[IEEE] 2026-9-11 | A Single-Input Dual-Output Time-Interleaving Multi-Step Switched-Capacitor DC-DC Boost Converter for Energy Harvesting Applications
[IEEE] 2026-9-11 | A 200-GHz BiCMOS Traveling-Wave Planar Beamforming Array
[IEEE] 2026-9-11 | Technical Debt Principal Prediction by Deep Learning
[IEEE] 2026-9-11 | Dual-Band Polarisation-Selective RIS for 5G NR N77 and 5 GHz Wi-Fi Applications
[IEEE] 2026-9-11 | A Dual-Polarized Phased Array for Harmonic and Non-Harmonic Triple-Band Operation Using Mode-Adaptive Current Element
[IEEE] 2026-9-11 | All-Metal Circular Corrugated Waveguide Leaky-Wave Antenna
[IEEE] 2026-9-11 | GS-SBL: Bridging Greedy Pursuit and Sparse Bayesian Learning for Efficient 3D Wireless Channel Modeling
[IEEE] 2026-9-11 | Research on the Dual Residual Alternating Projection Algorithm for Array Synthesis Applications
[IEEE] 2026-9-11 | Comparative Evaluation of Immersive Virtual Reality and Document-Based Training for Industrial Gas Leak Response
[IEEE] 2026-9-11 | Reliable Loss Tangent Extraction of Low-Loss Materials in WR15 and WR10 Bands Using MCK Setup
[IEEE] 2026-9-11 | An FPGA-Accelerated Audio CNN for Alzheimer’s Disease Detection Using Hardware–Software Co-Design
[IEEE] 2026-9-11 | Leveraging Physics-Guided Decoupled Neural Networks for Cryo-CMOS Device Modeling
[IEEE] 2026-9-11 | Design and Implementation of an IoT-Based Intelligent Terrarium Environmental Control System Using Dual-MCU Architecture
[IEEE] 2026-9-11 | Designing Sensory Metaphors in Virtual Reality for Understanding Building Acoustic
[IEEE] 2026-9-11 | A MIPI Transmitter with Adaptive Image Pre-Processing for CMOS Image Sensors
[IEEE] 2026-9-11 | Autonomous Vehicle Acceptance and Construct-Level Fragmentation: Mapping Measurement Architecture in TAM- and UTAUT-Based Studies
[IEEE] 2026-9-11 | A Novel QCA Circuit Placement Method: PCS-Aware Genetic Algorithm
[IEEE] 2026-9-11 | Transient Maxwell-Quantum Transport Simulation of Nanoscale Devices in the THz Regime
[IEEE] 2026-9-11 | Towards Explainable Model Fingerprints: A Saliency-Bound Multi-Bit Watermarking Framework
[IEEE] 2026-9-11 | SRD-YOLO: Self-Referential Deviation Learning for Tiny Defect Detection on Printed Circuit Boards
[IEEE] 2026-9-11 | Analog Front-End Design for AC Magnetic Field Measurement Using Hall-Effect Sensor
[IEEE] 2026-9-11 | A Compact 2F1T FeFET CIM Array for Energy-Efffcient Binary Neural Network Inference
[IEEE] 2026-9-11 | Layered-Recording Time-Reversal Holography for Dual-Depth Near-Field Communication
[IEEE] 2026-9-11 | Heal Sole: A Smart Insole Platform for Physiological Monitoring and Active Ankle Rehabilitation
[IEEE] 2026-9-11 | Wearable System for Knee Rehabilitation Monitoring with Near Real-time Feedback
[IEEE] 2026-9-11 | Technical Analysis of Customer-Based and Grid-Topology-Aware Load Shifting in an Industrial Zone
[IEEE] 2026-9-11 | Maximizing Electromagnetic Degrees of Freedom in Scattering Channels via Topology-Engineered Scatterers and Domain Decomposition
[IEEE] 2026-9-11 | Multi-Agent Deep Reinforcement Learning for Distributed Energy Management and Demand Response in Residential Microgrids
[IEEE] 2026-9-11 | Electric Vehicle Charging Infrastructure in Türkiye: An Integrated Socio-Technical Framework for Network Readiness, Standards and Energy Justice
[IEEE] 2026-9-11 | Planar Ultra-wideband Modular Antenna (PUMA) based Phased Array with WAIM Sheets Embedded with Metasurface for Improved Performance
[IEEE] 2026-9-11 | Fast Analysis of Metastructures Using Multimodal Circuit-Based Surrogate Models
[IEEE] 2026-9-11 | Development and Evaluation of VR-based Therapy for Public Speaking Anxiety
[IEEE] 2026-9-11 | Efficient Parallel Fast Direct Solver for Large-Scale Phased Array Analysis
[IEEE] 2026-9-11 | Electrically Small Frequency-Agile Antenna with Enhanced Radiation Efficiency
[IEEE] 2026-9-11 | Research on Ethical Risks and Governance Strategies in the Transformation of Scientific Data into New Quality Productive Forces
[ACM] 2026-9-11 | SWE-Debate: Competitive Multi-Agent Debate for Software Issue Resolution
[ACM] 2026-9-11 | Towards Scalable and Interpretable Mobile App Risk Analysis via Large Language Models
[ACM] 2026-9-11 | One Size Does Fit All: Kernel-Assisted Fine-Grained Debloating and Layout Randomization for Shared Libraries
[ACM] 2026-9-11 | BTreeFuzz: Enhanced Feedback Mechanism for ROS Program Fuzzer Based on Behavior Tree
[ACM] 2026-9-11 | Views on Internal and External Validity in Empirical Software Engineering: 10 Years Later and Beyond
[ACM] 2026-9-11 | MioHint: LLM-Assisted Request Mutation for Whitebox REST API Testing
[ACM] 2026-9-11 | From Code Changes to Quality Gains: An Empirical Study in Python ML Systems with PyQu
[IEEE] 2026-9-11 | Optimizing Distributed Transaction Performance through Adaptive Replica Provision
[IEEE] 2026-9-11 | Few-MIA: Few-Shot Membership Inference Attacks on Retrieval-Augmented Generation
[IEEE] 2026-9-11 | Probabilistic Learning-Based Attitude Controller with Histogram-Valued Data (PLAC-HVD) for Spacecraft Control
[ACM] 2026-9-11 | The Landscape of Cyber-Physical Systems Education
[IEEE] 2026-9-11 | Federated Prototype Learning for Cardiovascular Diseases Recognition Under Non-Independent and Non-Identically Distributed Heart Sounds
[IEEE] 2026-9-11 | Barrier Function-Based Adaptive Sliding Mode Control for Wireless Motor Systems with WPT-Motor Coupling
[IEEE] 2026-9-11 | High-Sensitivity Zero-Crosstalk Three-Sided Polished Coreless Fiber Gas Sensor Based on Surface Plasmon Resonance (SPR) for Simultaneous Detection of Methane, Hydrogen and Hydrogen Sulfide
[IEEE] 2026-9-11 | ScaRF-SLAM: Scale-Consistent Reconstruction with Feed-Forward Models and Classical Visual SLAM_supp1-3732836.mp4
[IEEE] 2026-9-11 | IEEE Transactions on Intelligent Transportation Systems Publication Information
[IEEE] 2026-9-11 | Notes
[IEEE] 2026-9-11 | Understanding Cross-Language Bug Fixing: An Empirical Study with CodeLMs and LLMs
[IEEE] 2026-9-11 | Algebraic Non-CORDIC Systolic Arrays for Jacobi-Based Singular Value Decomposition
[IEEE] 2026-9-11 | Air-Coupled Ultrasonic Image Enhancement for Metal–Rubber Debonding Defect Detection
[IEEE] 2026-9-11 | Wireless Power Transfer Using a Cavity-Enclosed Impedance Metawire Structure
[IEEE] 2026-9-11 | ZKBrainScape: A Deployment-Oriented Framework for Multimodal EEG Foundation Models
[IEEE] 2026-9-11 | Benchmarking Deep Learning Models for Anomaly Detection in Real-World Cloud Telemetry
[IEEE] 2026-9-11 | Efficient Pauli Operator Generation via Hierarchical Matrix Compression for Quantum-Ready Electromagnetic Solvers
[IEEE] 2026-9-11 | Environmental Reconnaissance Method in the Context of Multi-Mission Areas
[IEEE] 2026-9-11 | Prediction of Tea Quality Based on Data Mining
[IEEE] 2026-9-11 | Shadow-Resilient Gravel Road Segmentation with Chromatic and Texture Features for Unmarked Rural Environments
[IEEE] 2026-9-11 | A Compact 2.45-GHz High-Efficiency Rectifier with Wide Input-Power Range for Wearable WPT
[IEEE] 2026-9-11 | Design and Fabrication of Alumina Gradient-Refractive INdex Lenses for High-Power Applications
[IEEE] 2026-9-11 | Dynamic Dataset Augmentation and Intelligent Computing for Nanyang Rock Art Image Recognition
[IEEE] 2026-9-11 | A Distributed Photovoltaic Cluster Partition Method Based on Nonnegative Matrix Factorization
[IEEE] 2026-9-11 | Impact of Vehicle Modeling Fidelity on Deterministic Electromagnetic Propagation in Underground Tunnels Using Digital Twins
[IEEE] 2026-9-11 | Leakage-Aware Optimization of Integrated Charge Pumps for Ultra-Low-Power Applications
[IEEE] 2026-9-11 | High-Fidelity Dynamic 3D Scene Spatiotemporal Prediction Fusing Implicit Neural Fields and Controllable Deformation Fields
[IEEE] 2026-9-11 | Design of a RF CMOS Switch-Based Dual-Linearly Polarized Reconfigurable Reflectarray
[IEEE] 2026-9-11 | A Low-Cost Dielectric Grating Planar Array Antenna for Broadband Sub-THz Systems
[IEEE] 2026-9-11 | G1DMULT and G2DMULT Algorithms: An Approach for Calculating Green's Functions of Multilayer Structures
[IEEE] 2026-9-11 | Graph Topology-Driven Adaptive Optimization Stitching Method for Multi-Strip UAV Imagery
[IEEE] 2026-9-11 | A Reconfigurable MAFSS with Angular and Polarization Stability for Radiation Jamming
[IEEE] 2026-9-11 | Flexible F-Shaped Patch Antenna on Rubber Substrates for Wearable Applications
[IEEE] 2026-9-11 | Post-Quantum Safe and Side Channel Attack Resilient ARM Cortex M4 Satellite Uplink
[IEEE] 2026-9-11 | Tunable Active Resistor for Emerging Applications
[IEEE] 2026-9-11 | Multimodal Behavioral Analysis Guided by Marxist Values: A Framework for Assessing Adolescents' Moral Literacy Through Video and Speech Signal Fusion
[IEEE] 2026-9-11 | AI-Accelerated Robust Chamber-Reflection-Aware Position Selection for MIMO RTS OTA Measurements
[IEEE] 2026-9-11 | Flexible Hf
                    <sub>0.5</sub>
                    Zr
                    <sub>0.5</sub>
                    O
                    <sub>2</sub>
                    Ferroelectric Synaptic Devices with Multilevel States for Neuromorphic Computing
[IEEE] 2026-9-11 | CP Performance of Radiation from Meta Currents
[IEEE] 2026-9-11 | Experimental Demonstration of Generating a Structured RF Beam from a Dual Ring Antenna Array
[IEEE] 2026-9-11 | Conditional Diffusion Model for Microwave Imaging: Reconstructing Permittivity from Low-Resolution Difraction Tomography Profiles
[IEEE] 2026-9-11 | A Programmable Graphene Millimeter-Wave Metasurface with Triple Square Split-Ring Resonators
