[2026-04-18 22:36:07] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[IEEE] 2026-4-17 | Downscaling Method for Ground Flash Density in Transmission Line Corridors Considering Terrain Effects
[IEEE] 2026-4-17 | HSD: Hough-Based Structure-Aware Detection of B-Lines in Lung Ultrasound
[IEEE] 2026-4-17 | AttriReBoost: A Gradient-Free Propagation Optimization Method for Cold-Start Mitigation in Attribute Missing Graphs_supp1-3681613.pdf
[IEEE] 2026-4-17 | A Review of Active Thermal Control for Power Devices: Advances, Challenges, and Applicability in Intelligent Power Modules
[IEEE] 2026-4-17 | Leveraging Graph Attention Embedding and Mutual Prompting for CSI Drift Suppression Localization
[IEEE] 2026-4-17 | Battery-Assisted Backscatter Devices: Energy Management and Outage Performance Analysis
[IEEE] 2026-4-17 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks_supp1-3682154.pdf
[IEEE] 2026-4-17 | Surface Water Mapping and Flood Dynamics Monitoring Using CYGNSS and Deep Learning
[IEEE] 2026-4-17 | Nodal Frequency Nadir Chance-Constrained Economic Dispatch Considering Contingency Frequency Service from Hydrogen Electrolysis
[IEEE] 2026-4-17 | Contrastive Feature Reasoning for EEG Classification in Asynchronous BCI-Controlled Humanoid Robot
[IEEE] 2026-4-17 | Reverberation-based Features for Sound Event Localization and Detection with Distance Estimation
[IEEE] 2026-4-17 | Autonomous Design of Micro-Calorimetric Flow Sensors: A Bayesian-Optimized Machine Learning Framework_supp1-3680338.pdf
[IEEE] 2026-4-17 | A Compact Via-Assisted Dual-Band Circularly Polarized Antenna With Dual-Mode Radiation for Health Monitoring Devices
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Dual-Probability-Frequency Fast Successive Cancellation (DPF-FSC) decoding of non-binary polar code
[IEEE] 2026-4-17 | Design and ATEX-Aware Kinematic Analysis of a Multi-Body Robot for Gas Pipeline Inspection
[IEEE] 2026-4-17 | Binaural Beat Stimulation for Cognitive and Psychological Enhancement in Alzheimer's Disease: A Pilot Study
[IEEE] 2026-4-17 | Transformer-Based Context Informed Incremental Learning with sDTW Alignment Unlocks Fast and Precise Regression-Based Myoelectric Control
[ACM] 2026-4-17 | Modelling and Solving Problems in Communications and Network Security Elegantly Using a Unified Framework for Intelligence and Intelligent Systems
[IEEE] 2026-4-17 | A Deep Learning Lora-Based Indoor Localization Technique
[IEEE] 2026-4-17 | Design and Simulation of Printed Force Sensitive Resistor for Wearable Electronics
[IEEE] 2026-4-17 | Social Media Analysis Using LSTM and Bi-LSTM for Automated Identification of Depression Cancer Patients
[IEEE] 2026-4-17 | Iterative Complex-Valued Quadratic-Cone Programming for Implementing Phase Equalizers
[IEEE] 2026-4-17 | Cloud Computing Resource Load Prediction Model Based on TCN-PatchTST
[IEEE] 2026-4-17 | Enhancing Fault Tolerance in Microblaze V Soft-Core Processors: Performance and Reliability Assessment with ESA Benchmark Applications
[IEEE] 2026-4-17 | Monolithic Integrated GaN Complementary Logic Circuits Using AlON/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Bilayer Gate Dielectric
[IEEE] 2026-4-17 | Energy-Efficient Air-Ground Cooperative Detection for UAV-Enabled ISAC Systems
[IEEE] 2026-4-17 | Guaranteed Payoffs Resource Allocation Problem with Application to Countering Reinforced Eavesdropping
[IEEE] 2026-4-17 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-4-17 | Stress Field Engineering for Ultra-Low Birefringence in Trench-Assisted Multi-Core Fibers
[IEEE] 2026-4-17 | Directivity Enhancement of Movable Antenna Arrays with Mutual Coupling
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | The AI Research Assistant: Promise, Peril, and a Proof of Concept_supp1-3683758.pdf
[IEEE] 2026-4-17 | Development of a Realistic physical Phantom for laparoscopic and robotic Assisted Sacrocolpopexy Training and Associated_supp1-3684747.pdf
[IEEE] 2026-4-17 | HiPo-Gait: Hierarchical Pose model decoupling for Gait Recognition
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp6-3683863.mp4
[IEEE] 2026-4-17 | Dynamic Event-Triggered Target Encirclement Control for Heterogeneous UAV/UGV Swarm Based on Finite-Time Distributed Target Observation
[IEEE] 2026-4-17 | Multi-Taper FFT-based Full-Spectrum Phase Demodulation for High-Precision GaAs F-P Temperature Sensors
[IEEE] 2026-4-17 | Frequency-Guided Lightweight Network for Unsupervised Spectral Demosaicing
[IEEE] 2026-4-17 | Existence of asynchronous and synchronous behaviour in a neuromorphic Josephson Junction network
[ACM] 2026-4-17 | Dataset Ownership Protection Method Based on Maximizing Distribution Discrepancy
[IEEE] 2026-4-17 | Lightweight TinyML NIDS For IoT Devices
[IEEE] 2026-4-17 | Effects of Rain Rate With Various Integration Times on ITU-R P530-18 Attenuation Prediction
[IEEE] 2026-4-17 | Case Study: The High-Level Synthesis-Based Firmware Upgrade for the Digital Trigger Back-End System of the ATLAS Liquid Argon Calorimeter
[IEEE] 2026-4-17 | Case Study: A Uniform Benchmarking of RISC-V Cores on FPGA — Performance, Power, and Area Analysis
[IEEE] 2026-4-17 | Design and Implementation of a Lightweight Simulation Testing Tool for Automatic Train Supervision (ATS) Systems in Intelligent Transportation Systems
[IEEE] 2026-4-17 | Scatter Search, Ejection Chains, and Filter-and-Fan for Vehicle Routing: A Unified Framework
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp4-3683863.mp4
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp1-3683863.mp4
[IEEE] 2026-4-17 | AI-Tuned Smart Potentiometric based Sensor for Chloride Concentration Assessment in Sweat
[IEEE] 2026-4-17 | Rotation-symmetric bent functions outside the completed Maiorana-McFarland class
[IEEE] 2026-4-17 | Spatial Distribution of Impulse Bandwidth of a Graphene/Silicon Schottky Photodetector_supp1-3684821.docx
[IEEE] 2026-4-17 | IEEE Vehicular Technology Society Information
[IEEE] 2026-4-17 | MFEFNet: An Efficient Network for Infrared Small Target Detection with Multi-View Feature Extraction and Multi-Scale Attention Fusion
[IEEE] 2026-4-17 | Kinetic Energy Based Power Smoothing Method for High-Inertia Wind Turbines Using ESO-MFPCC
[IEEE] 2026-4-17 | A Dual-Event-Driven Fusion Estimation Method for Road Friction Coefficient Based on Image and Vehicle Dynamics
[IEEE] 2026-4-17 | Improved Prediction of Secondary Flows in a Square Duct for Blanket First Wall Using a Nonlinear Eddy-Viscosity Model
[IEEE] 2026-4-17 | DECOR+: Energy-Balanced Representation Enhancement for Long-Tailed Remote Sensing Scene Recognition
[IEEE] 2026-4-17 | Lateral Dynamics Modeling and Analysis in Electric Vehicles according to the Battery Pack Arrangement
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | PrivTI: Efficient End-to-End Privacy-Preserving Inference for Transformer-based Models in MLaaS
[IEEE] 2026-4-17 | Decentralized Real-Time Train-to-Grid Control by Smoothly Homotopic Trajectory Transition
[IEEE] 2026-4-17 | Rep-MMB: Bridging Mobile CNN and Transformer for Sensor-Based Human Activity Recognition
[IEEE] 2026-4-17 | An Electrolytic-Capacitorless Integrated LDC/V2L Converter for Hybrid Electric Vehicles
[IEEE] 2026-4-17 | Forward-Secure Identity-Based Signcryption with Equality Test for Social Recommendation on Smart IoT Devices
[IEEE] 2026-4-17 | Covert Communication in Federated Learning
[IEEE] 2026-4-17 | Vegetation Health Prediction Using RGB Images from UAV with Deep Learning
[IEEE] 2026-4-17 | 2026 IEEE 27th Latin American Test Symposium (LATS)
[IEEE] 2026-4-17 | A Novel Design of Pulsed Magnet for Repetitive Magnetic Field
[IEEE] 2026-4-17 | Supraharmonic Measurement Based on Windowed Compressive Sensing and Orthogonal Matching Pursuit
[IEEE] 2026-4-17 | Enhancing Wireless Guitar Audio Signal Transmission Using a Flexible Metamaterial-Based Frequency Selective Surface
[IEEE] 2026-4-17 | Self-Detection of Diabetic Foot Ulcer Using Thermography and Deep Learning
[IEEE] 2026-4-17 | A Cryptographically-Linked Metadata Schema for Academic Credential Interoperability: The ILMEQ Model
[IEEE] 2026-4-17 | Design and Performance Analysis of Energy-Efficient Atmospheric Water Generators for Standalone Applications
[IEEE] 2026-4-17 | 5G-NR Resource Management in Multi-Orbit Non-Terrestrial Systems with Multi-Connectivity
[IEEE] 2026-4-17 | On Addressing Bias and Fairness in Large Language Models for Responsible Innovation in Gender Contexts
[IEEE] 2026-4-17 | A Lightweight Hybrid Deep Learning Model with Squeeze-And-Excitation for Big Energy Data Analytics in Smart Homes
[IEEE] 2026-4-17 | Improving Patent Document Retrieval with Customized Large Language Model
[IEEE] 2026-4-17 | Detection of Human Trafficking Risks Using Machine Learning
[ACM] 2026-4-17 | Corrigendum: One Model for All: Large Language Models Are Domain-Agnostic Recommendation Systems
[IEEE] 2026-4-17 | AgentChain: Blockchain-empowered Multi-agent Coordination for Trustworthy LLM Question-answering Systems
[IEEE] 2026-4-17 | Resource Optimization with Uplink RSMA for Multibeam LEO Satellite IoT Systems in the FBL Regime
[IEEE] 2026-4-17 | Digital Transformation Readiness in University Operations: A Product-Service System Approach to Readiness-as-a-Service
[ACM] 2026-4-18 | Quality Diversity Time-Use Optimisation for Health
[IEEE] 2026-4-17 | Design of a Low-Power High-Density Analog in-Memory Computing Accelerator Using 18 Nm FD-SOI Phase-Change Memory
[IEEE] 2026-4-17 | Quantum Entanglement and Distance: A Performance Study of Long-Distance Networks
[IEEE] 2026-4-17 | Object Detection and Localization Sight to Sound Framework for Visually Impaired Community
[IEEE] 2026-4-17 | Copyright Page
[IEEE] 2026-4-17 | Geometry Aware Meta-Learning Neural Network for Joint Phase and Precoder Optimization in RIS_supp1-3684280.pdf
[IEEE] 2026-4-17 | Beyond Score Changes: Adversarial Attack on No-Reference Image Quality Assessment from Two Perspectives
[IEEE] 2026-4-17 | PAHPA: Revolutionizing Kubernetes Autoscaling with Integrated Predictive Analytics and Real-Time Monitoring
[IEEE] 2026-4-17 | MGMIN-FSA: A Multi-Granularity Multimodal Interaction Network for Sentiment Analysis of Financial Review Videos_supp1-3681783.pdf
[IEEE] 2026-4-17 | A 16× Interleaved 32-GS/s 8b Hybrid ADC With Self-Tracking Inter-Stage Gain Achieving 44.3-dB SFDR at 20.9-GHz Input
[IEEE] 2026-4-17 | Quantum-Driven Intelligent Controller Design for DC–DC Boost Converters
[IEEE] 2026-4-17 | A Cloud-Native Alternative Correction for Landsat-8/9 Collection 2 Surface Reflectance over Inland Waters
[IEEE] 2026-4-17 | Novel Three-Segment Steerable Continuum Needle Manipulator for Minimally Invasive Surgery_supp1-3679362.mp4
[IEEE] 2026-4-17 | Development of an Insulation Lifetime Model under Varied Pressure and Voltage Conditions for More Electric Aircraft Applications
[IEEE] 2026-4-17 | Analyzing the Impact of TiO
                    <sub>2</sub>
                    Nanoparticles in Transformer Oil-Based Nanofluids Through Dissolved Gas Analysis
[ACM] 2026-4-17 | A Graph-Enhanced Defense Framework for Explainable Fake News Detection with LLM
[IEEE] 2026-4-17 | Hierarchical Power Flow Control Strategy for CHB-based APQC-ESS of Railway System Under Unbalanced Grid
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-4-17 | A Latin American Institution&amp;#x2019;s Journey in Digital Systems Education: From Breadboards to FPGA and RISC-V Design_supp1-3684367.pdf
[IEEE] 2026-4-17 | A Compact Frequency Comb Generator Implementation on RFSoC for MKIDs
[IEEE] 2026-4-17 | High-Efficiency 1-D Scanning Solar Arrays with High SCs Coverage Ratio Based on a Hybrid Transparent Dielectric Resonator Antenna
[IEEE] 2026-4-17 | Indirect and Direct Multiuser Hybrid Beamforming for Far-Field and Near-Field Communications: A Deep Learning Approach
[IEEE] 2026-4-17 | Prior-Embedded Policy Optimization for Multipoint Weak Leakage Localization in Energy Transportation Systems
[IEEE] 2026-4-17 | IoT-Oriented Uplink Multi-User Digital Semantic Communication System Based on Model Division Multiple Access
[IEEE] 2026-4-17 | Half Title Page: Table of Contents
[IEEE] 2026-4-17 | Deep Learning-Based Recommendation System to Address Challenges in Providing Electronic Services
[IEEE] 2026-4-17 | Global Trends in Digital Financial Inclusion for Women: A Decade-Long Bibliometric Review (2014-2024)
[IEEE] 2026-4-17 | Energy Efficient Power Control in 6G Networks for Smart Grid Wide Area Network Using Deep Reinforcement Learning
[IEEE] 2026-4-17 | Efficient Design of Fronthaul-Constrained Uplink Reception for Cell-Free XL-MIMO
[IEEE] 2026-4-17 | Digital Gender Divide Among Teenagers: Analysing Disparities in Access to Technology and Internet Connectivity
[ACM] 2026-4-18 | DRAR: Diffusion-Based Relation Augmentation for Knowledge-aware Recommendation
[ACM] 2026-4-17 | Efficient Addition-Based Sparse GEMM for Fast Ternary Large Language Model Inference on Edge Devices
[ACM] 2026-4-17 | TCSS: Traceable Contributory Secret Sharing for Secure Multi-Tenant AI Model Serving
[IEEE] 2026-4-17 | Proceedings
[IEEE] 2026-4-17 | Nonlinear Adaptive Distortion-Free Denoising of Position Signal for Real-Time High-Dynamic Position Control in Manufacturing
[IEEE] 2026-4-17 | MSDCN-LSTF: A Multiscale and Multidimensional Collaboration Network for Land Surface Temperature Spatiotemporal Fusion Based on Transformer and Convolution
[IEEE] 2026-4-17 | Weakly Supervised Composed Object Re-Identification With Large Models
[IEEE] 2026-4-17 | PromptReg: Interactive Registration by “Corresponding Prompts” for Segment Anything Model (SAM)
[IEEE] 2026-4-17 | Meet Some Girls: Encoding Heteronormativity into the History of Computing
[IEEE] 2026-4-17 | An Emulated LEO Satellite Laser Communication with Four 10-cm Triplet-Lens Receivers and a Maximum Ratio Combining Scheme
[IEEE] 2026-4-17 | Study of Optimization for Traffic Information Estimation using LiDAR Data Under Mixed Traffic Flow with Human Driven and Automated Vehicle
[IEEE] 2026-4-17 | Enhancing Cross-Project Defect Prediction for Automated Software Fault Detection
[IEEE] 2026-4-17 | A Markov-Augmented CNN-LSTM-Attention Model for Exchange Rate Forecasting
[IEEE] 2026-4-17 | Bridging MLOps and Infrastructure: A Workflow-Agnostic Reference Architecture for Reusable, On-Premises AI Platforms
[IEEE] 2026-4-17 | Enhancing Swine Farm Profitability with PINILI-PIG: A Digital Swine Inventory and Sales Management System
[IEEE] 2026-4-17 | Soft Error Mitigation in a Real-Time Control System Through Hardware Protection on an SRAM-Based FPGA
[IEEE] 2026-4-17 | Can Multimodal Large Language Models Understand Graphic Design? A Comparative Study
[IEEE] 2026-4-17 | IEEE Open Access Publishing
[IEEE] 2026-4-17 | Dust Acoustic Waves With Arbitrary Dust Polarity and Regularized Kappa Distributed Electrons
[IEEE] 2026-4-17 | Design and Vibration Resistance Performance Analysis of Gallium–Indium Liquid Metal Interconnect Structures at Board Level
[IEEE] 2026-4-17 | WRNN and CAT based few-shot learning fault diagnosis for bearing
[IEEE] 2026-4-17 | Study on Pulse-taking Pressure Sensor based on Surface Acoustic Wave
[IEEE] 2026-4-17 | Multi-View Stereo with Holistic Guidance of Collaborative Geometric Priors
[IEEE] 2026-4-17 | Message from the Program Chair
[IEEE] 2026-4-17 | IEEE IWCIA2025 Author Index
[ACM] 2026-4-17 | Analyzing Sustainability Messaging in Large-Scale Corporate Social Media
[IEEE] 2026-4-17 | Spectral Vs. Spatial Pruning: Fault Resilience Analysis for Extremely Sparse DNNs
[IEEE] 2026-4-17 | Emulating SDC-1 Hardware Faults Through Application Level Bit-Flip Injections in QNNs
[IEEE] 2026-4-17 | M-EL2N: Data-Efficient Fault Injection Through Sample Difficulty Analysis
[IEEE] 2026-4-17 | Thermoelectric Generator Optimisation for Electrical Oven Waste Heat Recovery at Low Temperatures
[IEEE] 2026-4-17 | Facial Images Dataset for Early Screening of Autism Children Using Convolutional Neural Network
[IEEE] 2026-4-17 | Uplink Rate Splitting Multiple Access Based Multi-AUV Data Transmission Strategy for Advanced Underwater Acoustic Communication
[IEEE] 2026-4-17 | Digital Technologies in Diagnosing Maternal and Child Nutrition Deficiencies for Improved Health Outcome
[IEEE] 2026-4-17 | Empowering Rural Women Through Technology: The Voice Rozgar Sakhi Fellowship Program
[IEEE] 2026-4-17 | An Interpretable CNN-Attention Model for Student Performance Prediction and Factor Analysis in Cloud-Based Digital Reading Systems
[ACM] 2026-4-18 | Understanding Visual Saliency of Outlier Items in Product Search
[ACM] 2026-4-17 | A Cross-Domain Authentication and Key Agreement Scheme for Industrial IoT
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-4-17 | A Constant-Gain Equation-Error Framework for Airliner Aerodynamic Monitoring Using QAR Data
[IEEE] 2026-4-17 | A Wireless Microwave Monitoring System for Measuring the Pollutants of Triclosan and Glyphosate in Water
[IEEE] 2026-4-17 | A Piezoelectric MFC Enabled Active Micro-Force Sensor with High Range-to-Resolution Ratio for Cross-Scale Robotic Cell Micromanipulation
[IEEE] 2026-4-17 | Oscillation Mechanism and Cooperative Optimization Control Strategy for MMC-HVDC and DC Voltage Divider
[IEEE] 2026-4-17 | PCS-UNETR: A Physically Constrained SwinUNETR Model for Robust Seismic First Arrival Picking
[IEEE] 2026-4-17 | Benchmarking Multimodal Large Language Models for Forensic Sciences: A Comprehensive Dataset and Evaluation Framework
[IEEE] 2026-4-17 | Preface: ICCBDCS 2025
[IEEE] 2026-4-17 | Message from the Chairman
[ACM] 2026-4-17 | LOOL: Low-Overhead, Optimization-Log-Guided Compiler Fuzzing
[IEEE] 2026-4-17 | The Influence of Financial Performance on Women Representation in Films: A Supervised Machine Learning Approach to Analyzing Bechdel Test Outcomes
[IEEE] 2026-4-17 | Empowering Women Through Next-Generation Connectivity: Analyzing the Impact of 5G Networks on Women's Economic and Social Development in Kerala
[IEEE] 2026-4-17 | Empirical Insights into Female Gen Z's Perception and the Factors Influencing the Adoption of AI-Powered Customer Service Chatbots
[IEEE] 2026-4-17 | Empowering Rural Women Through Sustainable Cooking Solutions: A Human-Centric Approach to Clean Energy in Kalakrai, India
[IEEE] 2026-4-17 | A Low Profile S-Band Antenna for 1U CubeSat Communication Systems
[IEEE] 2026-4-17 | Minimax-Type Band-Pass Filters with Full-Band Center-Frequency Tuning and Narrow Transition-Band
[IEEE] 2026-4-17 | Satellite Reliability Analysis Using Mathematical Prediction Models: A Case Study of Satellite Anomalies
[ACM] 2026-4-17 | Visual Consistency in Formal Modeling: An Empirical Evaluation
[IEEE] 2026-4-17 | A Dual-Band Antenna System Based on Decoupling Structure Reuse Strategy
[IEEE] 2026-4-17 | BiDepNet: A Bidirectional Enhancement Network for Depression Detection via Facial Expression Analysis
[IEEE] 2026-4-17 | Privacy-Preserving Task Offloading Scheme Based on Blockchain Federated Learning in End-Edge-Cloud Computing Environments
[IEEE] 2026-4-17 | Smooth Collision Avoidance Decision-Making Method for Unmanned Surface Vehicles Under Marine Environmental Disturbances
[IEEE] 2026-4-17 | Susceptibility Evaluation of Layout-Based 2:1 Multiplexer Topologies
[IEEE] 2026-4-17 | Comparison of Efficientnet B3 and Inception V3 Architecture Performance in Heart Disease Arrhythmia Image Classification
[IEEE] 2026-4-17 | An Intelligent Movie Recommender System Based on Deep Reinforcement Learning
[IEEE] 2026-4-17 | Integrating Large Language Models and Vector Databases for Podcast Semantic Search
[IEEE] 2026-4-17 | Reliability Assessment of Deep Neural Networks and Accelerators Across Design Stages
[IEEE] 2026-4-17 | A Descriptive Mixed-Methods Approach to Activity Evaluation Using Natural Language Processing
[IEEE] 2026-4-17 | Design and Evaluation of Uniform and Nonuniform Planar Arrays Geometries Using Rectangular Patch Antennas
[IEEE] 2026-4-17 | The Intersection of Fintech and Homebased Women Entrepreneurship: Opportunities and Challenges
[IEEE] 2026-4-17 | Women Versus Men: Comparative Analysis of Physical Activity and Mobile Phone Usage on Cognitive Performance
[IEEE] 2026-4-17 | List of Reviewers
[IEEE] 2026-4-17 | Integrated Stereo Vision and Compliance Control With an Underwater Manipulator for Hydraulic Structure Inspection and Maintenance
[IEEE] 2026-4-17 | LLM-based User-Customizable Economic MPC for Consumer Unmanned Surface Vehicle Path Planning
[IEEE] 2026-4-17 | Sensorless Sequential Model Predictive Direct Speed Control for Induction Motor Drives
[IEEE] 2026-4-17 | Generic and Flexible Digital Model of DAB Converters With Various Topologies and Control for Efficient Optimal Design
[IEEE] 2026-4-17 | Fabrication of VS/MXene heterostructure electrode-based micro-supercapacitor for on-chip energy source applications_supp1-3684739.docx
[IEEE] 2026-4-17 | Conference Committee: ICCBDCS 2025
[IEEE] 2026-4-17 | Publication Contact
[IEEE] 2026-4-17 | Vehicle Dynamics Learning from Physics Priors with Model-Structured Neural Networks
[IEEE] 2026-4-17 | Front Cover
[IEEE] 2026-4-17 | TIG-IM: a Two-Stage Inductive GNN with Multi-Task Learning for Influential Node Identification in Complex Networks_supp1-3681944.pdf
[IEEE] 2026-4-17 | Asymptotic Information-Theoretic Optimality of Channel Model Substitution by Monte Carlo Sampling
[IEEE] 2026-4-17 | G2-SDF: Geometry-Guided Neural Signed Distance Field for Space Target Reconstruction
[IEEE] 2026-4-17 | Multi-View Images Suffice 3D Reasoning Through Chain-of-Thought Selection and Question-Guided Fusion
[IEEE] 2026-4-17 | DFLBN: A Dynamic Fuzzy Learnable Brain Network for Brain Age Estimation
[IEEE] 2026-4-17 | Wafer-Level Micromachined All-Glass Atomic Vapor Cells
[IEEE] 2026-4-17 | LLM-Enhanced Multi-Agent Reinforcement Learning with Expert Workflow for Real-Time P2P Energy Trading
[IEEE] 2026-4-17 | Constraint-Adaptive Reinforcement Learning for Large-Scale Power System Planning
[IEEE] 2026-4-17 | HybridSphere: Enhancing Hybrid Meetings with Avatar-Based VR Environments_supp1-3679908.mp4
[IEEE] 2026-4-17 | Zero-Shot Open Circuit Fault Diagnosis of Converter Based on Prior-Knowledge Injected Dual Bayesian Network With Attention Mechanism
[ACM] 2026-4-17 | Malware Image Classification Based on Lightweight VisionTransformer and Progressive FocalLoss
[ACM] 2026-4-17 | DLKD-FL: Dynamic Layer-wise Aggregation with Knowledge Distillation for Personalized Federated Learning
[ACM] 2026-4-17 | Energy-Efficient Resource Management in Microservices-Based Fog and Edge Computing: State-of-the-Art and Future Directions
[IEEE] 2026-4-17 | Influence of Dust Storm Cell Size on the Microwave Attenuation Prediction Method
[IEEE] 2026-4-17 | Photonic Crystal Based Biosensor for Early Detection of Breast Cancer Using Genetic Approach: A Review
[IEEE] 2026-4-17 | Bridging the Gap: Exploring Gender Differences in eSanjeevani Adoption in Kerala
[IEEE] 2026-4-17 | Inventory Control Using a Drifted Poisson Process: Applicability to Actual Intermittent Demand Data
[ACM] 2026-4-17 | FHE-MENNs: Opportunities and Pitfalls for Accelerating Fully Homomorphic Private Inference with Multi-Exit Neural Networks
[IEEE] 2026-4-17 | Adaptive Quantum-Based Least Mean Fourth Control for Multisource Isolated Three-Phase Microgrids: Experimental Analysis and Performance Evaluation
[IEEE] 2026-4-17 | Heterogeneous Privacy-Preserving Federated Learning for Edge Intelligence
[IEEE] 2026-4-17 | Toward Multi-Dimensional Quality Assessment of AI-Generated Images via Prompt-Guided Relational Learning
[IEEE] 2026-4-17 | Exploring MLLMs Perception of Network Visualization Principles_supp1-3681983.pdf
[IEEE] 2026-4-17 | Reduced Maximum Curvature-Based Linear Path Smoothing Method with Enhanced Kinematic Performance for 6R Robot Manipulators
[IEEE] 2026-4-17 | Reducing annotation effort in patient-ventilator asynchrony detection with distance-based clustering
[IEEE] 2026-4-17 | Design and Analysis of a Novel In-Wheel Machine-Based Powertrain for HTS Maglev Systems
[IEEE] 2026-4-17 | Beam Squint Mitigation in Wideband Hybrid Beamformers: Full-TTD, Sparse-TTD, or Non-TTD?
[IEEE] 2026-4-17 | Design and Performance of a 10 GHz HTS He-FIB JJ Mixer on LSAT Substrate
[IEEE] 2026-4-17 | eXAI-CodeDebug: Towards Reliable, Trustworthy, and Explainable LLM-Based Coding for Production Systems
[IEEE] 2026-4-17 | A Cost-Efficient LDO Regulator Using a Dual-Loop Low-Impedance Buffer and a PT-Compensated Bias based on the Current-Subtraction Technique
[IEEE] 2026-4-17 | Investigating Cryptocurrency-Enabled Illicit Activities on the Arabic Deep/Dark Web
[IEEE] 2026-4-17 | Error-Driven Prompt Optimization for Arithmetic Reasoning
                    <i>A Code Generation Approach Using On-Premises Small Language Models on Tabular Data</i>
