[2026-03-03 09:29:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-02
正在获取论文...
[arXiv] 2026-03-02 | Bimanual XR Specification of Relative and Absolute Assembly Hierarchies for Teleoperation
[arXiv] 2026-03-02 | $\mathcal{H}$-EFTCAMB: A Cobaya-Integrated, Python-Wrapped Extension of EFTCAMB for Covariant Horndeski Gravity
[arXiv] 2026-03-02 | Influence of Bubble Lifetime on the Drying of Catalytically Active Sessile Droplets
[arXiv] 2026-03-02 | FreeGNN: Continual Source-Free Graph Neural Network Adaptation for Renewable Energy Forecasting
[arXiv] 2026-03-02 | Shaping frequency-tunable single photons for quantum networking in waveguide QED
[arXiv] 2026-03-02 | Towards an understanding of magnesium in a biological environment: A density functional theory study
[arXiv] 2026-03-02 | Covariant Cherenkov Radiation and its Friction Force
[arXiv] 2026-03-02 | Measurement of the $e^+e^-\toπ^+π^-π^0$ cross section in the energy region from 0.56 to 1.1 GeV with the SND detector
[arXiv] 2026-03-02 | Episode-wise spectro-polarimetry of GRB 220107A: Testing the hypothesis of evolving radiation mechanisms
[arXiv] 2026-03-02 | TeraPool: A Physical Design Aware, 1024 RISC-V Cores Shared-L1-Memory Scaled-up Cluster Design with High Bandwidth Main Memory Link
[arXiv] 2026-03-02 | Information-Theoretic Digital Twins for Stealthy Attack Detection in Industrial Control Systems: A Closed-Form KL Divergence Approach
[arXiv] 2026-03-02 | A lift of the colored Jones polynomial of a knot
[arXiv] 2026-03-02 | What Helps -- and What Hurts: Bidirectional Explanations for Vision Transformers
[arXiv] 2026-03-02 | Time Resolved Study of Laser Induced Ultrafast Alloying Processes in Au/Pd Core Shell Nanorods
[arXiv] 2026-03-02 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
[arXiv] 2026-03-02 | The logic of bunched implications is undecidable
[arXiv] 2026-03-02 | FAST-DIPS: Adjoint-Free Analytic Steps and Hard-Constrained Likelihood Correction for Diffusion-Prior Inverse Problems
[arXiv] 2026-03-02 | IDProxy: Cold-Start CTR Prediction for Ads and Recommendation at Xiaohongshu with Multimodal LLMs
[arXiv] 2026-03-02 | InterCoG: Towards Spatially Precise Image Editing with Interleaved Chain-of-Grounding Reasoning
[arXiv] 2026-03-02 | Superfluid Vortex Lines-Magnetic Flux Tubes Interaction and Braking Indices of Pulsars
[arXiv] 2026-03-02 | KERV: Kinematic-Rectified Speculative Decoding for Embodied VLA Models
[arXiv] 2026-03-02 | From strong interactions to Dark Matter: the non-perturbative QCD sphaleron rate
[arXiv] 2026-03-02 | Weiner's theory for exactly solvable Schrödinger equation with symmetric double well potential
[arXiv] 2026-03-02 | Beyond Length Scaling: Synergizing Breadth and Depth for Generative Reward Models
[arXiv] 2026-03-02 | Rate-Distortion Signatures of Generalization and Information Trade-offs
[arXiv] 2026-03-02 | Investigating Group Relative Policy Optimization for Diffusion Transformer based Text-to-Audio Generation
[arXiv] 2026-03-02 | From Secure Agentic AI to Secure Agentic Web: Challenges, Threats, and Future Directions
[arXiv] 2026-03-02 | Percolation-driven $β$ -relaxation enables resonant acceleration of crystallization in amorphous phase-change materials
[arXiv] 2026-03-02 | S5-HES Agent: Society 5.0-driven Agentic Framework to Democratize Smart Home Environment Simulation
[arXiv] 2026-03-02 | Testing Hooke-like isotropic hyper-/hypo-elastic material models under finite simple shear deformations
[arXiv] 2026-03-02 | A cross-dimensional discrete Boltzmann framework for fluid dynamics
[arXiv] 2026-03-02 | Deep-ultraviolet Cherenkov radiation in all-normal-dispersion waveguide enabled by spatial-temporal dynamics
[arXiv] 2026-03-02 | Logarithmic Equigeneric Smoothing and Maximal Nodal Degenerations
[arXiv] 2026-03-02 | CLEAR: Null-Space Projection for Cross-Modal De-Redundancy in Multimodal Recommendation
[arXiv] 2026-03-02 | Better Matching, Less Forgetting: A Quality-Guided Matcher for Transformer-based Incremental Object Detection
[arXiv] 2026-03-02 | Training Dynamics of Softmax Self-Attention: Fast Global Convergence via Preconditioning
[arXiv] 2026-03-02 | The Expressive Limits of Diagonal SSMs for State-Tracking
[arXiv] 2026-03-02 | A Simulation Study to Compare Inferential Properties when Modelling Ordinal Outcomes: The Case for the (Plain but Robust) Proportional Odds Model
[arXiv] 2026-03-02 | Explanation-Guided Adversarial Training for Robust and Interpretable Models
[arXiv] 2026-03-02 | From Variance to Invariance: Qualitative Content Analysis for Narrative Graph Annotation
[arXiv] 2026-03-02 | A note on Jerabek's paper "A simplified lower bound for implicational logic"
[arXiv] 2026-03-02 | Fast Entropy Decoding for Sparse MVM on GPUs
[arXiv] 2026-03-02 | Zero-shot Low-Field MRI Enhancement via Diffusion-Based Adaptive Contrast Transport
[arXiv] 2026-03-02 | Theory of the Uhlmann Phase in Quasi-Hermitian Quantum Systems
[arXiv] 2026-03-02 | Visual Bias in Simulated Users: The Impact of Luminance and Contrast on Reinforcement Learning-based Interaction
[arXiv] 2026-03-02 | A z$\sim$1 galactic-scale outflow transversally mapped to $\sim$50 kpc through gravitational-arc tomography
[arXiv] 2026-03-02 | CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection
[arXiv] 2026-03-02 | Tide: A Customisable Dataset Generator for Anti-Money Laundering Research
[arXiv] 2026-03-02 | Local approach to entropy production in the nonequilibrium dynamics of open quantum systems
[arXiv] 2026-03-02 | Multiresolution Adaptive Block-Coordinate Forward-Backward for Image Reconstruction
[arXiv] 2026-03-02 | Decoupling of topology and texture in optical skyrmions under turbulence
[arXiv] 2026-03-02 | Let the Agent Search: Autonomous Exploration Beats Rigid Workflows in Temporal Question Answering
[arXiv] 2026-03-02 | Identifying field-tunable surface resonance states on black phosphorus
[arXiv] 2026-03-02 | LEAR: Learning Edge-Aware Representations for Event-to-LiDAR Localization
[arXiv] 2026-03-02 | Time discretization of BSDEs with singular terminal condition using asymptotic expansion
[arXiv] 2026-03-02 | Consistent initialization of mixed-dimensional multiphysics models for fractured reservoirs under geomechanical constraints and field measurements
[arXiv] 2026-03-02 | Fueter equations and the search for a higher dimensional Hamiltonian Floer theory I: analytical foundations and compactness
[arXiv] 2026-03-02 | On the Eigenvalues of the Biharmonic Steklov Problem on a Thin Set
[arXiv] 2026-03-02 | Asymptotics of Ruin Probabilities in a Subordinated Cramér-Lundberg Model
[arXiv] 2026-03-02 | Near-Field Focusing Operators for Planar Multi-Static Microwave Imaging Using Back-Projection in the Spatial Domain
[arXiv] 2026-03-02 | A universal brown dwarf desert formed between planets and stars
[arXiv] 2026-03-02 | Influence of Turbulence Length Scale and Platform Surge Motion on Wake Dynamics in Tandem Floating Wind Turbines
[arXiv] 2026-03-02 | Non-verbal Real-time Human-AI Interaction in Constrained Robotic Environments
[arXiv] 2026-03-02 | Phase-Type Variational Autoencoders for Heavy-Tailed Data
[arXiv] 2026-03-02 | Asymptotic stability threshold of the 2-D monotone shear flow with no-slip boundary condition
[arXiv] 2026-03-02 | GAM-RAG: Gain-Adaptive Memory for Evolving Retrieval in Retrieval-Augmented Generation
[arXiv] 2026-03-02 | D3LM: A Discrete DNA Diffusion Language Model for Bidirectional DNA Understanding and Generation
[arXiv] 2026-03-02 | Beyond the Resumé: A Rubric-Aware Automatic Interview System for Information Elicitation
[arXiv] 2026-03-02 | Engineering topology in waveguide arrays
[arXiv] 2026-03-02 | Distinguishing thermal and pseudothermal light by testing the Siegert relation
[arXiv] 2026-03-02 | Importance sampling and active subspace method in quasi-Monte Carlo
[arXiv] 2026-03-02 | Modular Memory is the Key to Continual Learning Agents
[arXiv] 2026-03-02 | HiFi-Inpaint: Towards High-Fidelity Reference-Based Inpainting for Generating Detail-Preserving Human-Product Images
[arXiv] 2026-03-02 | Reasoning Core: A Scalable Procedural Data Generation Suite for Symbolic Pre-training and Post-Training
[arXiv] 2026-03-02 | Analytical Exploration of Spatial Audio Cues: A Differentiable Multi-Sphere Scattering Model
[arXiv] 2026-03-02 | Partial Causal Structure Learning for Valid Selective Conformal Inference under Interventions
[arXiv] 2026-03-02 | Tool Verification for Test-Time Reinforcement Learning
[arXiv] 2026-03-02 | Predicting Gaia astrometry's ability to constrain the populations of circumbinary planets
[arXiv] 2026-03-02 | Anomalous Diffusion and Superdiffusion in Integrable Spin Chains via a Hard-Rod Gas Mapping
[arXiv] 2026-03-02 | SageBwd: A Trainable Low-bit Attention
[arXiv] 2026-03-02 | $\mathrm{L}^p$-based Sobolev theory on closed manifolds of minimal regularity: Scalar Elliptic Equations
[arXiv] 2026-03-02 | Bridging the gap between Performance and Interpretability: An Explainable Disentangled Multimodal Framework for Cancer Survival Prediction
[arXiv] 2026-03-02 | Setwise Hierarchical Variable Selection and the Generalized Linear Step-Up Procedure for False Discovery Rate Control
[arXiv] 2026-03-02 | Scaling Retrieval Augmented Generation with RAG Fusion: Lessons from an Industry Deployment
[arXiv] 2026-03-02 | Is Bigger Always Better? Efficiency Analysis in Resource-Constrained Small Object Detection
[arXiv] 2026-03-02 | Possible and impossible conditionals for team logics
[arXiv] 2026-03-02 | SimRecon: SimReady Compositional Scene Reconstruction from Real Videos
[arXiv] 2026-03-02 | Elucidating different $NO_{2}$ sensing mechanisms in oxidized PbS nanocrystals
[arXiv] 2026-03-02 | Pencil Puzzle Bench: A Benchmark for Multi-Step Verifiable Reasoning
[arXiv] 2026-03-02 | Robometer: Scaling General-Purpose Robotic Reward Models via Trajectory Comparisons
[arXiv] 2026-03-02 | Recursive Models for Long-Horizon Reasoning
[arXiv] 2026-03-02 | Horizontal Kakeya maximal operators in finite Heisenberg groups: Exact exponents and applications
[arXiv] 2026-03-02 | A Template-Based Search for Large-Scale-Structure--Correlated Anisotropy in the Nanohertz Gravitational-Wave Background Using the Public NANOGrav 15-Year Data Set
[arXiv] 2026-03-02 | Coexact $1$-form spectral gaps of hyperbolic rational homology spheres
[arXiv] 2026-03-02 | Learning from Synthetic Data Improves Multi-hop Reasoning
[arXiv] 2026-03-02 | Scalable tight-binding model for strained graphene
[arXiv] 2026-03-02 | Trident: Adaptive Scheduling for Heterogeneous Multimodal Data Pipelines
[arXiv] 2026-03-02 | Polynomial Turnpike Property for a Class of Infinite-Dimensional Oscillating Systems
[arXiv] 2026-03-02 | The ALMA Survey of Gas Evolution of PROtoplanetary Disks (AGE-PRO): Constraints on disk turbulence, fragmentation velocity, and inner pebble fluxes
[arXiv] 2026-03-02 | OpenRad: a Curated Repository of Open-access AI models for Radiology
[arXiv] 2026-03-02 | Radio Study of Vela X Cocoon
[arXiv] 2026-03-02 | Expanding LLM Agent Boundaries with Strategy-Guided Exploration
[arXiv] 2026-03-02 | Photometric Modulations on Intermediate Timescales in the Symbiotic Binaries
[arXiv] 2026-03-02 | Ricci curvature and metric in causal spacetimes
[arXiv] 2026-03-02 | Revealing Combinatorial Reasoning of GNNs via Graph Concept Bottleneck Layer
[arXiv] 2026-03-02 | PonderLM-3: Adaptive Token-Wise Pondering with Differentiable Masking
[arXiv] 2026-03-02 | Analysis of Stepped-Wedge Randomised Cluster Trial using a generalized pairwise comparison approach : a simulation study
[arXiv] 2026-03-02 | Hybrid ROM-PINN Framework for Closure Modeling in Convection-Dominated Systems
[arXiv] 2026-03-02 | Does Travel Stage Matter? How Leisure Travellers Perceive Their Privacy Attitudes Towards Personal Data Sharing Before, During, and After Travel
[arXiv] 2026-03-02 | Search for massive, long-lived particles in events with displaced vertices and displaced muons in $pp$ collisions at $\sqrt{s}=13.6$ TeV with the ATLAS experiment
[arXiv] 2026-03-02 | Wasserstein-based identification of metastable states in time series data via change point detection and segment clustering
[arXiv] 2026-03-02 | Cavity-enhanced optical readout and control of nuclear spin qubits
[arXiv] 2026-03-02 | Core-envelope coupling of gravito-inertial waves in pre-main-sequence solar-type stars
[arXiv] 2026-03-02 | Halo Occupation Distribution estimation performance for LSST data
[arXiv] 2026-03-02 | Layer-polarized Transport via Gate-defined 1D and 0D PN Junctions in Double Bilayer Graphene
[arXiv] 2026-03-02 | Engineering edge states in topoelectric circuits
[arXiv] 2026-03-02 | Adam Converges Without Any Modification On Update Rules
[arXiv] 2026-03-02 | Kruskal-EDS: Edge Dynamic Stratification
[arXiv] 2026-03-02 | On a fractional stochastic heat equation arising from the disordered pinning model
[arXiv] 2026-03-02 | Algebra of Path Integrals on Digraphs
[arXiv] 2026-03-02 | Topological Gyromorphs
[arXiv] 2026-03-02 | Quantum algorithm for the lattice Boltzmann method with applications on real quantum devices
[arXiv] 2026-03-02 | High-quality, high-information dataset for universal atomistic machine learning
[arXiv] 2026-03-02 | Maximal subspaces of strong continuity for composition semigroups
[arXiv] 2026-03-02 | Local integrals of motion encoded in a few eigenstates
[arXiv] 2026-03-02 | Goal-Oriented Access Optimization for ISAC-Enabled Digital Twins
[arXiv] 2026-03-02 | A Leibniz rule of distributional pairing and hyperforce sum rule
[arXiv] 2026-03-02 | A moment-based approach to the injective norm of random tensors
[arXiv] 2026-03-02 | Single impurity-induced localization transitions in electronic systems
[arXiv] 2026-03-02 | Gender-Specific Effects of Prenatal Famine Exposure on Educational Attainment: Accounting for Selective Mortality
[arXiv] 2026-03-02 | Radiometrically Consistent Gaussian Surfels for Inverse Rendering
[arXiv] 2026-03-02 | SCATR: Mitigating New Instance Suppression in LiDAR-based Tracking-by-Attention via Second Chance Assignment and Track Query Dropout
[arXiv] 2026-03-02 | A domain in $\mathbb C^4$ and its connection with $μ$-synthesis problem
[arXiv] 2026-03-02 | A SUPERB-Style Benchmark of Self-Supervised Speech Models for Audio Deepfake Detection
[arXiv] 2026-03-02 | Conversational Speech Naturalness Predictor
[arXiv] 2026-03-02 | Production-Grade AI Coding System for Client-Side Development
[arXiv] 2026-03-02 | PhysFormer: A Physics-Embedded Generative Model for Physically Self-Consistent Spectral Synthesis
[arXiv] 2026-03-02 | Generalized quantum master equation from memory kernel coupling theory
[arXiv] 2026-03-02 | Power Echoes: Investigating Moderation Biases in Online Power-Asymmetric Conflicts
[arXiv] 2026-03-02 | Modified Teukolsky formalism: Null testing and numerical benchmarking
[arXiv] 2026-03-02 | SEAnet: A Deep Learning Architecture for Data Series Similarity Search
[arXiv] 2026-03-02 | The Semantic Arrow of Time, Part I: From Eddington to Ethernet
[arXiv] 2026-03-02 | Decoding Answers Before Chain-of-Thought: Evidence from Pre-CoT Probes and Activation Steering
[arXiv] 2026-03-02 | PhysGraph: Physically-Grounded Graph-Transformer Policies for Bimanual Dexterous Hand-Tool-Object Manipulation
[arXiv] 2026-03-02 | Probing a Fifth Force in Muonic Atoms through Lamb Shifts and Hyperfine Structure
[arXiv] 2026-03-02 | SciDER: Scientific Data-centric End-to-end Researcher
[arXiv] 2026-03-02 | Tackling multiphysics problems via finite element-guided physics-informed operator learning
[arXiv] 2026-03-02 | Quasar: Quantized Self-Speculative Acceleration for Rapid Inference via Memory-Efficient Verification
[arXiv] 2026-03-02 | Destruction of wall-bounded vortices using synthetic jet actuators
[arXiv] 2026-03-02 | Toward Graph-Tokenizing Large Language Models with Reconstructive Graph Instruction Tuning
[arXiv] 2026-03-02 | Time-Domain Photometry and Activity Evolution of Interstellar Comet 3I/ATLAS with BHTOM
[arXiv] 2026-03-02 | Scattering for the quintic generalized Benjamin-Bona-Mahony equation
[arXiv] 2026-03-02 | Behavioral Outcomes of Human Cognitive Security within an Integrative Modeling Framework
[arXiv] 2026-03-02 | Constructing Synthetic Instruction Datasets for Improving Reasoning in Domain-Specific LLMs: A Case Study in the Japanese Financial Domain
[arXiv] 2026-03-02 | Dual canonical bases of quantum groups and $\imath$quantum groups II: geometry
[arXiv] 2026-03-02 | UTICA: Multi-Objective Self-Distllation Foundation Model Pretraining for Time Series Classification
[arXiv] 2026-03-02 | SubstratumGraphEnv: Reinforcement Learning Environment (RLE) for Modeling System Attack Paths
[arXiv] 2026-03-02 | Causal Effects with Unobserved Unit Types in Interacting Human-AI Systems
[arXiv] 2026-03-02 | Some properties of uaw-Dunford-Pettis operators
[arXiv] 2026-03-02 | Generator Histories and Parity-Odd Curvature in Lorentzian Topology Change
[arXiv] 2026-03-02 | Discrete World Models via Regularization
[arXiv] 2026-03-02 | Jacob's ladders and the equivalent of the Fermat-Wiles theorem generated by the Hardy-Littlewood formula (1921)
[arXiv] 2026-03-02 | Rethinking Policy Diversity in Ensemble Policy Gradient in Large-Scale Reinforcement Learning
[arXiv] 2026-03-02 | KMT-2025-BLG-1314 and KMT-2025-BLG-1392: two microlensing planetary/brown-dwarf candidates analyzed with differentiable code
[arXiv] 2026-03-02 | LOTUS: A Warm-Start Framework for Powering Dual Decomposition in Large-Scale Two-Stage Stochastic Programs
[arXiv] 2026-03-02 | Bootstrapping Embeddings for Low Resource Languages
[arXiv] 2026-03-02 | Decentralized Federated Learning by Partial Message Exchange
[arXiv] 2026-03-02 | Learning Domain-Aware Task Prompt Representations for Multi-Domain All-in-One Image Restoration
[arXiv] 2026-03-02 | Light-cone sum rules with $B$-meson distribution amplitudes for the $B\to p$ form factors in $B$-mesogenesis models
[arXiv] 2026-03-02 | Local Gaussian copula inference with structural breaks: testing dependence predictability
[arXiv] 2026-03-02 | Preoperative-to-intraoperative Liver Registration for Laparoscopic Surgery via Latent-Grounded Correspondence Constraints
[arXiv] 2026-03-02 | Changes in Manuscript Length, Research Team Size, and International Collaboration in the Post-2022 Period: Evidence from PLOS ONE
[arXiv] 2026-03-02 | Energy Efficiency Maximization for Integrated Sensing and Communications in Satellite-UAV MIMO Systems
[arXiv] 2026-03-02 | A Safety-Aware Shared Autonomy Framework with BarrierIK Using Control Barrier Functions
[arXiv] 2026-03-02 | Planet-forming disks and their environment across regions and time from the full NIR census
[arXiv] 2026-03-02 | A speciation simulation that partly passes open-endedness tests
[arXiv] 2026-03-02 | Towards Principled Dataset Distillation: A Spectral Distribution Perspective
[arXiv] 2026-03-02 | NMR Determination of the Low-Field Magnetic Structure of the Cu-Based Mineral Rouaite Cu$_2$(OH)$_3$NO$_3$
[arXiv] 2026-03-02 | CoopDiff: A Diffusion-Guided Approach for Cooperation under Corruptions
[arXiv] 2026-03-02 | A Monotone Operator Approach to Separable Mean-Field Games with Mixed Boundary Conditions
[arXiv] 2026-03-02 | Overcolored Partition Restricted by Parity of the Parts
[arXiv] 2026-03-02 | Gain-induced spectral non-degeneracy in type-II parametric down-conversion
[arXiv] 2026-03-02 | CeProAgents: A Hierarchical Agents System for Automated Chemical Process Development
[arXiv] 2026-03-02 | Exact controllability of two-dimensional hydroelastic waves
[arXiv] 2026-03-02 | Learning to Draft: Adaptive Speculative Decoding with Reinforcement Learning
[arXiv] 2026-03-02 | Atmospheric-Pressure Ar/Air Plasma Jet-Induced Degradation of Azo Dyes in Aqueous Solutions: Kinetic and Mechanistic Insights
[arXiv] 2026-03-02 | DeLo: Dual Decomposed Low-Rank Experts Collaboration for Continual Missing Modality Learning
[arXiv] 2026-03-02 | No More Hooks in the Surface Code: Distance-Preserving Syndrome Extraction for Arbitrary Layouts at Minimum Depth
[arXiv] 2026-03-02 | Towards OOD Generalization in Dynamic Graphs via Causal Invariant Learning
[arXiv] 2026-03-02 | Mapping properties of the $S$-operator
[arXiv] 2026-03-02 | CARE: Towards Clinical Accountability in Multi-Modal Medical Reasoning with an Evidence-Grounded Agentic Framework
[arXiv] 2026-03-02 | Synchronization-based image reconstruction for three-dimensional wide-field confocal imaging of periodically moving objects beyond the frame rate
[arXiv] 2026-03-02 | Preference Score Distillation: Leveraging 2D Rewards to Align Text-to-3D Generation with Human Preference
[arXiv] 2026-03-02 | TQCodec: Towards neural audio codec for high-fidelity music streaming
[arXiv] 2026-03-02 | Markovian ODE-guided scoring can assess the quality of offline reasoning traces in language models
[arXiv] 2026-03-02 | Cryo-Bench: Benchmarking Foundation Models for Cryosphere Applications
[arXiv] 2026-03-02 | DualSentinel: A Lightweight Framework for Detecting Targeted Attacks in Black-box LLM via Dual Entropy Lull Pattern
[arXiv] 2026-03-02 | Ostwald's Rule of Stages in One-Dimension
[arXiv] 2026-03-02 | Quantum Thermal Machines Improved by Internal Coupling: From Equilibrium to Non-equilibrium Limit Cycles
[arXiv] 2026-03-02 | Pri4R: Learning World Dynamics for Vision-Language-Action Models with Privileged 4D Representation
[arXiv] 2026-03-02 | Training-Free Spatio-temporal Decoupled Reasoning Video Segmentation with Adaptive Object Memory
[arXiv] 2026-03-02 | The Intrinsic Multiplicity Distribution of Exoplanets Revealed from the Radial Velocity Method. II. Constraints on Giant Planet Multiplicity from Different Surveys
[arXiv] 2026-03-02 | On the Intrinsic Link between Gradient Strengthening and Passivation Onset in Single Crystal Plasticity
[arXiv] 2026-03-02 | Threshold Cusp Structures in the Presence of Isospin Symmetry Breaking
[arXiv] 2026-03-02 | A two-steps tensor eigenvector centrality for nodes and hyperedges in hypergraphs
[arXiv] 2026-03-02 | A hyperelastic theory for nonlinear hydrogel diffusiophoresis
[arXiv] 2026-03-02 | Characterizing Information Accuracy in Timeliness-Based Gossip Networks
[arXiv] 2026-03-02 | Comparative Analysis of Spatiotemporal Volatility Models: An Empirical Study on Financial Network Series
[arXiv] 2026-03-02 | Symbol-Equivariant Recurrent Reasoning Models
[arXiv] 2026-03-02 | Multi-Head Low-Rank Attention
[arXiv] 2026-03-02 | Improving the Estimation of Ship Length via ISAR
[arXiv] 2026-03-02 | Kiwi-Edit: Versatile Video Editing via Instruction and Reference Guidance
[arXiv] 2026-03-02 | How Small Can 6G Reason? Scaling Tiny Language Models for AI-Native Networks
[arXiv] 2026-03-02 | Near-Optimal Regret for KL-Regularized Multi-Armed Bandits
[arXiv] 2026-03-02 | Weighted Norm Inequalities for the Strichartz Fourier transform on the Heisenberg Group
[arXiv] 2026-03-02 | Generative AI in Software Testing: Current Trends and Future Directions
[arXiv] 2026-03-02 | NextAds: Towards Next-generation Personalized Video Advertising
[arXiv] 2026-03-02 | Socio-Spatial Patterns of Suicide Mortality in the United States
[arXiv] 2026-03-02 | Stereo-Inertial Poser: Towards Metric-Accurate Shape-Aware Motion Capture Using Sparse IMUs and a Single Stereo Camera
[arXiv] 2026-03-02 | Weighted boundedness for the maximal operator associated with matrices
[arXiv] 2026-03-02 | A 3D mesh convolution-based autoencoder for geometry compression
[arXiv] 2026-03-02 | An estimate for incomplete mixed character sums and applications
[arXiv] 2026-03-02 | Obstacles to Continuous Quantum Error Correction via Parity Measurements
