[2026-06-26 23:06:21] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[arXiv] 2026-06-25 | Memory Depth, Not Memory Access: Selective Parametric Consolidation for Long-Running Language Agents
[arXiv] 2026-06-25 | SSI-Policy: Learning Structured Scene Interfaces for Vision-Language Robotic Manipulation
[arXiv] 2026-06-25 | Validating the ICCF-Cut Method with Simultaneous Photometric and Spectroscopic H$α$ Reverberation Mapping of NGC 4151 and UGC 3374
[arXiv] 2026-06-25 | Groups of type $\mathrm{E}_8$ over rings via TKK-algebras and their extremal elements
[arXiv] 2026-06-25 | AIGP: An LLM-Based Framework for Long-Term Value Alignment in E-Commerce Pricing
[arXiv] 2026-06-25 | Avalanche homology of digraphs via sandpile dynamics
[arXiv] 2026-06-25 | Event-based Gaze Control System for Accurate Real-time Spin Estimation in Professional Ball Games
[arXiv] 2026-06-25 | LearniBridge: Learnable Calibration of Feature Caching for Diffusion Models Acceleration
[arXiv] 2026-06-25 | Evaluation Pitfalls and Challenges in Multimedia Event Extraction
[arXiv] 2026-06-25 | ProtoKV: Streaming Video Understanding under Delayed Query with Summary-State Memory
[arXiv] 2026-06-25 | EGG: An Expert-Guided Agent Framework for Kernel Generation
[arXiv] 2026-06-25 | Capacity-Controlled Multi-View Stylization of 3D Gaussian Splatting
[arXiv] 2026-06-25 | Global analysis of a minimally extended scotogenic model
[arXiv] 2026-06-25 | Giant Second-Harmonic Generation in 3R-MoS2/MLM Hybrid Metasurfaces Cavities
[arXiv] 2026-06-25 | Evolving edge weights via local entropy flow and cohesion flow on graphs
[arXiv] 2026-06-25 | Structure Before Collapse: Transient semantic geometry in next-token prediction
[arXiv] 2026-06-25 | Do Image Editing Models Understand Lighting?
[arXiv] 2026-06-25 | Robust Onion: Peeling Open Vocab Object Detectors Under Noise
[arXiv] 2026-06-25 | Development and Characterization of Low-Scattering Vanadium Nanoparticle Targets for Short-Range Interaction Searches
[arXiv] 2026-06-25 | A search for Fast Radio Bursts from globular clusters in M49 with FAST
[arXiv] 2026-06-25 | Cross-correlation transmission spectroscopy of ultra-hot Jupiters WASP-189b, HAT-P-57b, KELT-17b, and KELT-21b with GIANO-B
[arXiv] 2026-06-25 | On the resonant Carleson-Radon transform in all dimensions. The degree one resonant case
[arXiv] 2026-06-25 | Quantum group codes for non-Clifford logic: enhanced decoding, addressability and parallelizability
[arXiv] 2026-06-25 | On $R$-sequenceability of odd ordered groups
[arXiv] 2026-06-25 | Selflessness for twisted group C*-algebras of amenable groups and their inclusions
[arXiv] 2026-06-25 | On some components of $L(ρ)\otimes L(ρ)$ associated with rooted trees for symmetrizable Kac-Moody algebras
[arXiv] 2026-06-25 | HALO II: Constraining Hubble constant $H_{0}$ through continuum delay fitting of Fairall 9
[arXiv] 2026-06-25 | Signed Total Roman Domination and Domatic Numbers: Degree Three and Complete Multipartite Graphs
[arXiv] 2026-06-25 | A non-convergence phenomenon for the CR Yamabe flow
[arXiv] 2026-06-25 | StringSpinner 2.0: Enabling quark spin effects in PYTHIA for $e^+e^-$ annihilation
[arXiv] 2026-06-25 | Riemannian Penrose Inequality for Manifolds with Corners via Non-Linear Potential Theory
[arXiv] 2026-06-25 | OpenRCA 2.0: From Outcome Labels to Causal Process Supervision
[arXiv] 2026-06-25 | Endogenous Reinsurance Pricing in Large Competitive Insurance Markets: Finite-Player and Mean Field Analysis
[arXiv] 2026-06-25 | On the Effects of Decentralized Moderation on Network Robustness and Information Diffusion in Mastodon
[arXiv] 2026-06-25 | PAMAE: Phase-Aware-MoE Action Experts Towards Reliable Flow-Matching Vision-Language-Action Policies
[arXiv] 2026-06-25 | Bilinear rough singular integrals under a fractional geometric condition
[arXiv] 2026-06-25 | fTNN: a tensor neural network for fractional PDEs
[arXiv] 2026-06-25 | Unraveling Internal Friction in a Coarse-Grained Protein Model
[arXiv] 2026-06-25 | FlameVQA: A Physically-Grounded UAV Wildfire VQA Benchmark with Radiometric Thermal Supervision
[arXiv] 2026-06-25 | Kolmogorov Arnold networks (KAN) for aerodynamic prediction: a comparison with MLPs and GNNs
[arXiv] 2026-06-25 | Automorphism Groups of Uniform Dessins d'Enfants of Genus at Least Two
[arXiv] 2026-06-25 | Cross-Head Attention Uplift Network with Inverse Propensity Score under Unobserved Confounding
[arXiv] 2026-06-25 | The Riddle Riddle: Testing Flexible Reasoning in Large Language Models and Humans
[arXiv] 2026-06-25 | Pretrained Time-Series Foundation Models for Financial Return Forecasting
[arXiv] 2026-06-25 | Learning Climate Variability from Scarce Data with Diffusion Models: A Test Case for ENSO
[arXiv] 2026-06-25 | zQR: A Verifiable QR-Driven zkSNARK Proof Verification Framework for Mobile Platforms
[arXiv] 2026-06-25 | Inequalities among higher-order difference sets, or, remarks on a construction of Ruzsa
[arXiv] 2026-06-25 | Efficient Proton Relay Orchestrated by Covalent Bond Switching of Active Amino Acids in Protein Channels
[arXiv] 2026-06-25 | ATGBuilder: Feature-Assisted Graph Learning for Activity Transition Graph Construction with Seed Supervision
[arXiv] 2026-06-25 | Urban Context and Travel Experience Events: An Exploratory Comparison of Two German Cities
[arXiv] 2026-06-25 | Performance of Low Mode Averaging on Twisted-Mass Fermion Ensembles at the physical pion mass point
[arXiv] 2026-06-25 | Floor Raiser or Ceiling Limiter? Differential Storytelling Outcomes with a Child-Centric GenAI System Across Individual Differences
[arXiv] 2026-06-25 | Non-topological solitons in biadjoint scalar field theory
[arXiv] 2026-06-25 | An infinite family of counterexamples to a question of Camina
[arXiv] 2026-06-25 | Quintom Model Perturbations
[arXiv] 2026-06-25 | Optical observations of candidate host galaxies of eight fast X-ray transients
[arXiv] 2026-06-25 | Physical Layer Authentication With Channel Knowledge Maps in Indoor Environments
[arXiv] 2026-06-25 | RelAfford6D: Relational 6D Affordance Graphs for Constraint-Driven Robotic Manipulation
[arXiv] 2026-06-25 | In-plane vector-field imaging of propagating surface phonon polaritons
[arXiv] 2026-06-25 | Symplectic Neural Networks for learning Generalized Hamiltonians
[arXiv] 2026-06-25 | Cohen, Levitzki, Hilbert Basis, and Lasker-Noether Theorems for Nil-S-Noetherian Rings
[arXiv] 2026-06-25 | MinGram: A Minimalist Unigram Tokenizer with High Compression and Competitive Morphological Alignment
[arXiv] 2026-06-25 | RolloutPipe: Overlapping Pipelined Rollout and Training in Disaggregated On-Policy LLM Reinforcement Learning
[arXiv] 2026-06-25 | Modeling Adaptive Visual Search in Semantically Hierarchical Layouts
[arXiv] 2026-06-25 | Socratic agents for autonomous scientific discovery in high-dimensional physical systems
[arXiv] 2026-06-25 | MLFFM-SegDiff: A Multi-Level Feature Fusion Diffusion Model for Skin Lesion Segmentation
[arXiv] 2026-06-25 | Mask to Concept: Auto-Promptable SAM3 via Efficient Test-Time Concept Embedding Search for Few-Shot Annotation
[arXiv] 2026-06-25 | Kalman Prototypical Networks for Few-shot Fault Detection in Combined Cycle Gas Turbines
[arXiv] 2026-06-25 | Beyond Logical Forms: LLM-Extracted Patterns for Fallacy Classification
[arXiv] 2026-06-25 | Thermal Rectification from Size-Dependent Phonon Confinement in Nanoparticle Assemblies
[arXiv] 2026-06-25 | Search for Seeds of The Cradle of Stars: Study of The Evolution From Atomic to Molecular Hydrogen Clouds with 1000 AU Scale Resolution
[arXiv] 2026-06-25 | Attributed, But Not Incremental: Cannibalization-Corrected Attribution for Large-Scale Advertising
[arXiv] 2026-06-25 | How Can Size and Ceiling Bounds Affect the Complexity of Nonuniform Automata Families?
[arXiv] 2026-06-25 | Testing Equivalence to the Hamiltonian Cycle Polynomial
[arXiv] 2026-06-25 | LayersReg: A Layer-by-Layer Progressive Regressor for Reliable Intraoperative 3D/2D Registration
[arXiv] 2026-06-25 | An Evaluation of Decentralized Group Formation Techniques for Flying Light Specks
[arXiv] 2026-06-25 | Position Rebinding Cache Reuse: Replay-Free Visual Revisiting for Interleaved Multimodal Reasoning
[arXiv] 2026-06-25 | Reviving Reflection-in-Action: Instilling Designerly Thinking in AI-Supported Ideation through Multimodal Prompting
[arXiv] 2026-06-25 | $λ$-PSD: Scalable Approximate SNR-Optimised Polynomial Stein Discrepancies
[arXiv] 2026-06-25 | Discovering Millions of Interpretable Features with Sparse Autoencoders
[arXiv] 2026-06-25 | A Closed-Form 4-DoF Inter-Robot Pose Estimator using Bearing-only Measurements
[arXiv] 2026-06-25 | Moebius: Serving Mixture-of-Expert Models with Seamless Runtime Parallelism Switch
[arXiv] 2026-06-25 | Fast Computation and Optimization for Opinion-Based Quantities of Friedkin-Johnsen Model
[arXiv] 2026-06-25 | Holographic light-quark energy loss in a spinning plasma
[arXiv] 2026-06-25 | Unified study of hyperon semileptonic decays in a relativistic three-quark model
[arXiv] 2026-06-25 | LLM-based Models for Detecting Emerging Topics in Service Feedback
[arXiv] 2026-06-25 | Content-Based Smart E-Mail Dispatcher Using Large Language Models
[arXiv] 2026-06-25 | Three-Objective Integral R2 Subset Selection: NP-Hardness and Submodular Approximation
[arXiv] 2026-06-25 | Preference Optimization Drives Monoculture in LLM Prediction Markets
[arXiv] 2026-06-25 | Co-Designing Community-Centered AI Education for Adults: A Midwestern Case Study
[arXiv] 2026-06-25 | SpaceRipple: Lightweight Semantic Delivery for Mission-Oriented LEO Earth Observation Satellite Networks
[arXiv] 2026-06-25 | Coarse-to-Fine: A Hybrid Self-Supervised Method for Non-rigid 3D Shape Matching
[arXiv] 2026-06-25 | Topological phase transition driven by in-plane spin rotation
[arXiv] 2026-06-25 | VoiceTTA: Enhancing Zero-Shot Text-to-Speech via Reinforcement Learning-Based Test-Time Adaptation
[arXiv] 2026-06-25 | Integrable pentagram-type maps on polyhedra via partial difference operators
[arXiv] 2026-06-25 | VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills
[arXiv] 2026-06-25 | Regularity of global attractors for beam equations with fractional damping and memory
[arXiv] 2026-06-25 | Duality-covariant particles and exotic branes
[arXiv] 2026-06-25 | Order-2 bygone-state opacity of labeled finite-state automata
[arXiv] 2026-06-25 | A semi-analytic model of the bouncing barrier for protoplanetary dust aggregates
[arXiv] 2026-06-25 | Soft Token Alignment for Cross-Lingual Reasoning
[arXiv] 2026-06-25 | Weak-Flow Induced Dielectric Axes Rotation in Dipolar Suspensions
[arXiv] 2026-06-25 | BOWConnect: Parallel Bayesian Optimization over Windows with Learned Local Cost Maps for Sample-Efficient Kinodynamic Motion Planning
[arXiv] 2026-06-25 | Recovering Governing Equations from Solution Data: Identifiability Bounds for Linear and Nonlinear ODEs
[arXiv] 2026-06-25 | Resource-Aware Neuro-Symbolic Reasoning for Local Small Language Models
[arXiv] 2026-06-25 | MLC for parabolically bounded primitive renormalization
[arXiv] 2026-06-25 | Ribbon: Scalable Approximation and Robust Uncertainty Quantification
[arXiv] 2026-06-25 | Revised orbital parameters of the gamma2 Velorum system
[arXiv] 2026-06-25 | Adaptive Iterative Numerical Homogenization for Quasilinear Nonmonotone Elliptic PDE
[arXiv] 2026-06-25 | Advancing Omnimodal Embodied Agents from Isolated Skills to Everyday Physical Autonomy
[arXiv] 2026-06-25 | HumanoidUMI: Bridging Robot-Free Demonstrations and Humanoid Whole-Body Manipulation
[arXiv] 2026-06-25 | LMs as Task-Specific Knowledge Bases: An Interpretability Analysis
[arXiv] 2026-06-25 | Bridging Talk and Thought: Understanding Dialogue Dynamics Across Collaborative Problem-Solving Contexts
[arXiv] 2026-06-25 | Quasi-Feynman formulas that provide fast converging Chernoff approximations to solution of parabolic differential equation on the real line
[arXiv] 2026-06-25 | On some $p$-approximation properties of exact discrete groups and $\ell^p$ uniform Roe algebras
[arXiv] 2026-06-25 | Non-Hermitian Bloch Oscillations
[arXiv] 2026-06-25 | Don't Settle at the Mode! Mitigating Diversity Collapse in Pretrained Flow Models via Feature Self-Guidance
[arXiv] 2026-06-25 | Hidden-ordered Dirac fermions
[arXiv] 2026-06-25 | Accessing both electrochemical SEIRA and SERS with ultrasensitive metamaterials for enhanced molecular identification
[arXiv] 2026-06-25 | $\mathrm{W}^*$-algebraic Integration Theory
[arXiv] 2026-06-25 | PhysiFormer: Learning to Simulate Mechanics in World Space
[arXiv] 2026-06-25 | Beyond the equation of state: a second-order diagnostic for dynamical dark energy
[arXiv] 2026-06-25 | Continual Robot Policy Learning via Variational Neural Dynamics
[arXiv] 2026-06-25 | Bridging Performance and Generalization in Reinforcement Learning for Agile Flight
[arXiv] 2026-06-25 | Coquasi-bialgebroids and cocycle twisting
[arXiv] 2026-06-25 | Jet impingement cooling with multi-stage ducted electroaerodynamic actuators
[arXiv] 2026-06-25 | Empowering GUI Agents via Autonomous Experience Exploration and Hindsight Experience Utilization for Task Planning
[arXiv] 2026-06-25 | Hallucination in World Models is Predictable and Preventable
[arXiv] 2026-06-25 | Kolmogorov equations for stochastic convective Brinkman-Forchheimer equations forced by Lévy Noise and its application to infinite horizon problems
[arXiv] 2026-06-25 | An Instruction Set Architecture for IMPLY-based Memristive Processing-in-Array
[arXiv] 2026-06-25 | Automated Galerkin time stepping in Irksome
[arXiv] 2026-06-25 | Multilingual Reasoning Cascades Need More Context
[arXiv] 2026-06-25 | The $^{229}$Th Isomer: Nuclear Structure, Clocks, and Tests of Fundamental Physics
[arXiv] 2026-06-25 | On Fourier Phase Retrieval from Differential Intensity Measurements with Applications to Wavefront Sensing
[arXiv] 2026-06-25 | Local stability for a class of Saint-Venant type inequalities
[arXiv] 2026-06-25 | Calibration and Performance of proANUBIS: A proof-of-concept detector for the ANUBIS experiment
[arXiv] 2026-06-25 | Quantitative uniform resolvent estimates
[arXiv] 2026-06-25 | Field theories for Laplacian Growth
[arXiv] 2026-06-25 | Chemical Complexity in the Early Stages of Star Formation in the SKAO Era
[arXiv] 2026-06-25 | TraMP-LLaMA: Generative Interpretability with Decoupled Instruction Tuning for Facial Expression Quality Assessment
[arXiv] 2026-06-25 | Numerical analysis of first-order mean field games under displacement monotonicity
[arXiv] 2026-06-25 | Light-driven active phase separation and droplet division
[arXiv] 2026-06-25 | High temperature transitions in Ruddlesden-Popper nickelates La$_{n+1}$Ni$_{n}$O$_{3n+1}$
[arXiv] 2026-06-25 | Target-Aware Bandit Allocation for Scalable Surrogate Optimization in Chemical Space
[arXiv] 2026-06-25 | Scalable Message-Passing Quantum Graph Neural Networks in the Weisfeiler-Leman Hierarchy
[arXiv] 2026-06-25 | Theoretical determination of the binding energies of methanol and related species onto amorphous solid water ice
[arXiv] 2026-06-25 | Low-energy model for doped graphene nanoribbons
[arXiv] 2026-06-25 | High order harmonic Optical Reconstruction by delayed time-depeNdent Ellipticity perturbaTion: HORNET
[arXiv] 2026-06-25 | The gauge invariance of non-perturbative vertex prescriptions
[arXiv] 2026-06-25 | A Precompactness theorem for Einstein metrics on homogeneous torus bundles
[arXiv] 2026-06-25 | Laplace Space for Cosmological Correlators
[arXiv] 2026-06-25 | A 0.651-approximation to quantum Max Cut via Rydberg atoms
[arXiv] 2026-06-25 | Results on Cartesian $1$-capacity of graphs
[arXiv] 2026-06-25 | Origins of Cosmic Rays in the Galactic-extragalactic Transition Energy Range
[arXiv] 2026-06-25 | DroidBreaker: Practical and Functional Problem-Space Attacks on Machine-Learning Android Malware Detectors
[arXiv] 2026-06-25 | Forecasting With LLMs: Improved Generalization Through Feature Steering
[arXiv] 2026-06-25 | Can Large Language Models Reliably Code Qualitative Humanitarian Data? A Benchmark Study Against Human Expert Adjudication
[arXiv] 2026-06-25 | Hypercups: Flipping Cups With More Than Two Sides
[arXiv] 2026-06-25 | Congruent copies of finite patterns in planar point sets
[arXiv] 2026-06-25 | From Holst to Carroll Gravity, a Hamiltonian point of view
[arXiv] 2026-06-25 | Regularization of the metric generalized inverse in Banach spaces and the dichotomy phenomenon
[arXiv] 2026-06-25 | Physical Neural Networks Need Nonlinearity, Amplification, and Suppression for Learning
[arXiv] 2026-06-25 | Mostly Automatic Translation of Language Interpreters from C to Safe Rust
[arXiv] 2026-06-25 | Vis4GS: A Visual Analytic Tool for 3D Gaussian Splatting Reconstruction
[arXiv] 2026-06-25 | RoPEMover: Depth-Aware Object Relocation via Positional Embeddings
[arXiv] 2026-06-25 | On automorphisms of $\mathscr{B}$-admissible and related subshifts
[arXiv] 2026-06-25 | SKA VLBI survey of the Southern sky for astrometry, geodesy, and astrophysics
[arXiv] 2026-06-25 | Paved with True Intents: Intent-Aware Training Improves LLM Safety Classification Across Training Regimes
[arXiv] 2026-06-25 | Counting equitable $k$-colorings in graphs of bounded clique-width
[arXiv] 2026-06-25 | Effective Covariance Dynamics in Solvable High-Dimensional GANs
[arXiv] 2026-06-25 | Isoregular theories, accessible 2-categories, and free constructions
[arXiv] 2026-06-25 | Ask, Solve, Generate: Self-Evolving Unified Multimodal Understanding and Generation via Self-Consistency Rewards
[arXiv] 2026-06-25 | Scalable Behavior Cloning with Open Data, Training, and Evaluation
[arXiv] 2026-06-25 | Paying More Attention to Visual Tokens in Self-Evolving Large Multimodal Models
[arXiv] 2026-06-25 | Dirac fermions in non-Hermitian magnetic fields: Zero modes and index theorem
[arXiv] 2026-06-25 | Reinforcement Learning without Ground-Truth Solutions can Improve LLMs
[arXiv] 2026-06-25 | The Effect of Topological Defects and Magnetic Flux on Fully-Heavy Tetraquarks and Mass Spectra of Heavy Quarkonia Using the Analytical Exact Iteration Method
[arXiv] 2026-06-25 | Hall Geometry and Auslander-Reiten Quiver
[arXiv] 2026-06-25 | Autoregressive Boltzmann Generators
[arXiv] 2026-06-25 | Error-Conditioned Neural Solvers
[arXiv] 2026-06-25 | All you need is log
[arXiv] 2026-06-25 | On the deformation theory of chiral quantizations
[arXiv] 2026-06-25 | SAM2Matting: Generalized Image and Video Matting
[arXiv] 2026-06-25 | The IKKT renormalization group flow is IIB: toward zero-d holography
[arXiv] 2026-06-25 | Weighted Fruit Diophantine Equations and Hyperelliptic Curves
[arXiv] 2026-06-25 | Beyond the Hard Budget: Sparsity Regularizers for More Interpretable Top-k Sparse Autoencoders
[arXiv] 2026-06-25 | Elastic Time: Dynamic Frame Rate Bottlenecks for Neural Audio Coding
[arXiv] 2026-06-25 | A Verification Theorem for an Optimal Control Problem Governed by the Convective Brinkman--Forchheimer Equations
[arXiv] 2026-06-25 | Universal Lichnerowicz Lifting of Near-Horizon Soft Modes
[arXiv] 2026-06-25 | A Multi-Fidelity Convolutional Autoencoder-Transfer Learning Framework for Guided-Wave-Based Damage Diagnosis Using Large Simulated and Limited Experimental Datasets
[arXiv] 2026-06-25 | Designing Reward Signals for Portable Query Generation: A Case Study in Industrial Semantic Job Search
[arXiv] 2026-06-25 | When Does Combining Language Models Help? A Co-Failure Ceiling on Routing, Voting, and Mixture-of-Agents Across 67 Frontier Models
[arXiv] 2026-06-25 | Simulation-based inference for rapid Bayesian parameter estimation in epidemiological models: a comparison with MCMC
[arXiv] 2026-06-25 | "Everyone Says Them": Deception Typologies, Probabilistic Trust, and Grassroots Safety Knowledge Among Gay Dating App Users in China
[arXiv] 2026-06-25 | Exact and Deterministic Patch Descriptor Retrieval via Hierarchical Normalization
[arXiv] 2026-06-25 | Linear Spaces over Perfect Idylls
[arXiv] 2026-06-25 | Codex Mutabilis: Preserving The Reasons For Changes In Scientific Names
[arXiv] 2026-06-25 | E-TTS: A New Embodied Test-Time Scaling Framework for Robotic Manipulation
[arXiv] 2026-06-25 | A modified Euler-Maruyama method to simulate a one-dimensional sticky diffusion
[arXiv] 2026-06-25 | A Shortest-Path Anisotropy Diagnostic for Black-Hole Graph Geometries
[arXiv] 2026-06-25 | Characteristic Lightcone Sources in SO(1,3) Yang-Mills Theory
[arXiv] 2026-06-25 | Evaluating Architectural Trade-offs in CGRAs: The Impact of Scratchpad Memory and Heterogeneity on Compute-Intensive Kernels
[arXiv] 2026-06-25 | Endpoint Control of Thermodynamic Topological Classes for Fixed Charge \texorpdfstring{$d$}{d}-dimensional Reissner--Nordström Black Holes in a Cavity
[arXiv] 2026-06-25 | From Celebrities to Anyone: Characterizing AI Nudification Content, Technology, and Community Dynamics on 4chan
[arXiv] 2026-06-25 | Spin-orbit coupling driven topological superconductivity in twisted bilayer graphene-WSe$_2$ heterostructures
[arXiv] 2026-06-25 | Hyperiax and Phylogenetic Inference from Shape Data
[arXiv] 2026-06-25 | Reproducibility Study of "AlphaEdit: Null-Space Constrained Knowledge Editing for Language Models"
[arXiv] 2026-06-25 | Anatomy-Guided Residual Motion Diffusion for Controllable 4D Cardiac MRI Synthesis
[arXiv] 2026-06-25 | Fast Robust Regression via Orthogonal Block Updates
[arXiv] 2026-06-25 | RouterVLA: Turning Smoke Tests into Supervision for Heterogeneous VLA Selection
[arXiv] 2026-06-25 | Hunting for extreme high-energy-peaked BL Lacs: Rare to find and difficult to classify
[arXiv] 2026-06-25 | Refractive indices of Y$_2$SiO$_5$ in the near-infrared
[arXiv] 2026-06-25 | Economic complexity at subnational level: A consistency analysis
[arXiv] 2026-06-25 | Asymptotic solutions: glancing trajectories, Lagrangian singularities, and Bessel cylinders
[arXiv] 2026-06-25 | Toward Agentic SysAdmin: Rethinking System Administration with AI Agents
[arXiv] 2026-06-25 | Solving Shifted Systems for Quasiseparable Matrices
[arXiv] 2026-06-25 | Non-Uniform and Weighted Crossing Gates in Two-Dimensional Sandpiles
[arXiv] 2026-06-25 | Distributed Massive MIMO with 1-Bit Radio-over-Fiber Fronthaul: Uplink Spectral Efficiency and Power Control
[arXiv] 2026-06-25 | Jailbreaking for the Average Jane: Choosing Optimal Jailbreaks via Bandit Algorithms for Automatically Enhanced Queries
[arXiv] 2026-06-25 | Where Do CoT Training Gains Land in LLM based Agents?
[arXiv] 2026-06-25 | Unraveling the mysteries of supernovae with SKA+VLBI
[arXiv] 2026-06-25 | Battery thermal-safety reserve erosion by mandatory cabin ventilation in shared-cooling electric vehicles
[arXiv] 2026-06-25 | When the Timetable Breaks: Physics-Anchored Scientific Machine Learning for Cold-Wave-Robust Battery-Electric Bus Operations
[arXiv] 2026-06-25 | A Givens-exchange ansatz for molecular variational eigensolvers
[arXiv] 2026-06-25 | An ultralow-loss integrated photonic platform for discrete-variable quantum information processing
[arXiv] 2026-06-25 | Qwen-Image-Agent: Bridging the Context Gap in Real-World Image Generation
[arXiv] 2026-06-25 | Collision-resistant multi-channel M-ASPM configurations with shared single detection channel
[arXiv] 2026-06-25 | Asymptotically Optimal Learning for Parametric Prophet Inequalities
[arXiv] 2026-06-25 | Accelerated sampling using SamAdams variable timesteps and position-adaptive Langevin dynamics
[arXiv] 2026-06-25 | On Lefschetz's point-free periodicity
[arXiv] 2026-06-25 | Rashba and Electrostatic Control of Charge-Visible Spin Demons in Two-Dimensional d-Wave Altermagnets
[arXiv] 2026-06-25 | Quantum Physics-Informed Neural Networks for Solving Integro and Fractional PDEs
[arXiv] 2026-06-25 | Curvatures of curves in $\mathbb{R}^{2}$ endowed with a canonical linear connection
[arXiv] 2026-06-25 | LCAi: Life Cycle Assessment with big data fusion and retrieval-augmented generation-assisted interpretation
[arXiv] 2026-06-25 | Appearance-Preserving Refinement of Generated 3D Assets for Monochromatic Fabrication
[arXiv] 2026-06-25 | SpikeTimer: Exploring Active Copyright Protection in Spiking Neural Networks via Temporal Backdoor Regularization
[arXiv] 2026-06-25 | Ordinal Neural Collapse as a Representation Prior for Visual Navigation
[arXiv] 2026-06-25 | Precision luminosity measurement in proton-proton collisions at a center-of-mass energy of 13 TeV with the CMS detector at the Large Hadron Collider
[arXiv] 2026-06-25 | Distance-Ladder Measurements of the Hubble Constant: Recent Progress, Systematics, and Prospects
[arXiv] 2026-06-25 | Learning Adversarial Augmentation Policies for Robust Garlic Seedling Detection
[arXiv] 2026-06-25 | Emergence of Gamma-Type Upward-Phase Statistics in the Collatz Map: An Effective Poisson Process Mechanism
[arXiv] 2026-06-25 | Giant and Broadband Circular Dichroism from Particle-Hole Symmetry Breaking in Weyl Semimetals
[arXiv] 2026-06-25 | Homology of configuration spaces in positive characteristic via point-set constructions
[arXiv] 2026-06-25 | NaviCache: Test-Time Self-Calibration Caching for Video Generation
[arXiv] 2026-06-25 | MIRROR: Novelty-Constrained Memory-Guided MCTS Red-Teaming for Agentic RAG
[arXiv] 2026-06-25 | ResilPhase: Plug-and-Play Phase Mapping and Noise-Resilient Macro-Trajectory Extrapolation for Diffusion Acceleration
[arXiv] 2026-06-25 | Effective Resistance-Based Graph Sparsification and Community Detection
