[2026-04-02 22:32:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-01
正在获取论文...
[arXiv] 2026-04-01 | Grothendieck's Equality vs Voevodsky's Equality
[arXiv] 2026-04-01 | Tube-Based Safety for Anticipative Tracking in Multi-Agent Systems
[arXiv] 2026-04-01 | Nonlinear Lattice Framework for Inflation: Bridging stochastic inflation and the $δ{N}$ formalism
[arXiv] 2026-04-01 | Flow-based Policy With Distributional Reinforcement Learning in Trajectory Optimization
[arXiv] 2026-04-01 | On the Effectless Cut Method for Laplacian Eigenvalues in any dimensions
[arXiv] 2026-04-01 | Maximal regularity for a compressible fluid-structure interaction system with Navier-slip boundary conditions
[arXiv] 2026-04-01 | An Integrated Soft Robotic System for Measuring Vital Signs in Search and Rescue Environments
[arXiv] 2026-04-01 | The Varieties of Ought-Implies-Can and Deontic STIT Logic
[arXiv] 2026-04-01 | Mean-Field Control of Adherence in Participation-Coupled Vehicle Rebalancing Systems
[arXiv] 2026-04-01 | A Visionary Look at Vibe Researching
[arXiv] 2026-04-01 | Auditing the Reliability of Multimodal Generative Search
[arXiv] 2026-04-01 | On distance and proximity between Dummett and Brouwer
[arXiv] 2026-04-01 | EmoScene: A Dual-space Dataset for Controllable Affective Image Generation
[arXiv] 2026-04-01 | PsychAgent: An Experience-Driven Lifelong Learning Agent for Self-Evolving Psychological Counselor
[arXiv] 2026-04-01 | Positional Cognitive Specialization: Where Do LLMs Learn To Comprehend and Speak Your Language?
[arXiv] 2026-04-01 | Orthogonal Learner for Estimating Heterogeneous Long-Term Treatment Effects
[arXiv] 2026-04-01 | The $\mathbb{Z}_N^{\times 3}$ symmetry protected boundary modes in two-dimensional Potts paramagnets
[arXiv] 2026-04-01 | Site-specific ILC Detector Installation Plan
[arXiv] 2026-04-01 | The origin of KPZ-scaling in arrays of polariton condensates
[arXiv] 2026-04-01 | Enumerating Two-Orbit Graphs
[arXiv] 2026-04-01 | Adversarial Attenuation Patch Attack for SAR Object Detection
[arXiv] 2026-04-01 | KUET at StanceNakba Shared Task: StanceMoE: Mixture-of-Experts Architecture for Stance Detection
[arXiv] 2026-04-01 | Doctor-RAG: Failure-Aware Repair for Agentic Retrieval-Augmented Generation
[arXiv] 2026-04-01 | Policy Improvement Reinforcement Learning
[arXiv] 2026-04-01 | Sparkle: A Robust and Versatile Representation for Point Cloud based Human Motion Capture
[arXiv] 2026-04-01 | Perturb-and-Restore: Simulation-driven Structural Augmentation Framework for Imbalance Chromosomal Anomaly Detection
[arXiv] 2026-04-01 | MotionGrounder: Grounded Multi-Object Motion Transfer via Diffusion Transformer
[arXiv] 2026-04-01 | PanoAir: A Panoramic Visual-Inertial SLAM with Cross-Time Real-World UAV Dataset
[arXiv] 2026-04-01 | One neutron triaxial halo candidates in aluminum isotopes from reaction observables
[arXiv] 2026-04-01 | Minors of plane digraphs
[arXiv] 2026-04-01 | Steering through Time: Blending Longitudinal Data with Simulation to Rethink Human-Autonomous Vehicle Interaction
[arXiv] 2026-04-01 | Learning to Learn-at-Test-Time: Language Agents with Learnable Adaptation Policies
[arXiv] 2026-04-01 | Continual Vision-Language Learning for Remote Sensing: Benchmarking and Analysis
[arXiv] 2026-04-01 | Deconfounding Scores and Representation Learning for Causal Effect Estimation with Weak Overlap
[arXiv] 2026-04-01 | Revisiting Human-in-the-Loop Object Retrieval with Pre-Trained Vision Transformers
[arXiv] 2026-04-01 | Stern-Gerlach interferometry in three dimensions: the role of transverse fields
[arXiv] 2026-04-01 | Unsupervised End-to-End Array Calibration for Multi-Target Integrated Sensing and Communication
[arXiv] 2026-04-01 | Euclid preparation. Impact of redshift distribution uncertainties on the joint analysis of photometric galaxy clustering and weak gravitational lensing
[arXiv] 2026-04-01 | Off-shell Chiral Dynamics in the $Λ(1405)$ Resonance and $K^-p$ Femtoscopic Correlations
[arXiv] 2026-04-01 | Valency Classification of Mapudungun Verbal Roots. Established by the language's own morphotactics
[arXiv] 2026-04-01 | A P-Adaptive Hybridizable Discontinuous Galerkin Spectral Element Method for Electrostatic Particle-in-Cell Simulations
[arXiv] 2026-04-01 | From Baselines to Preferences: A Comparative Study of LoRA/QLoRA and Preference Optimization for Mental Health Text Classification
[arXiv] 2026-04-01 | Tensionless hybrid strings in $\rm AdS_3\times S^3\times S^3\times S^1$: Free field realisation
[arXiv] 2026-04-01 | Lower Bounds on Coherent State Rank
[arXiv] 2026-04-01 | Coherent frames with zero Beurling density
[arXiv] 2026-04-01 | PrivHAR-Bench: A Graduated Privacy Benchmark Dataset for Video-Based Action Recognition
[arXiv] 2026-04-01 | A wearable haptic device for edge and surface simulation
[arXiv] 2026-04-01 | Slip-link simulations of long-fiber networks under uniaxial compression
[arXiv] 2026-04-01 | HippoCamp: Benchmarking Contextual Agents on Personal Computers
[arXiv] 2026-04-01 | Beaming of polarized radiation in subcritical X-ray pulsars
[arXiv] 2026-04-01 | Regularity theorems for random elliptic operators on domains
[arXiv] 2026-04-01 | From Validity to Inter-Subjectivity: An Argument for Reliability Signals in Search Environments
[arXiv] 2026-04-01 | Polyelectrolyte adsorption at the solid-liquid interface favors receding contact line instability
[arXiv] 2026-04-01 | Screening Is Enough
[arXiv] 2026-04-01 | Varieties of electrically charged physical states in SU(2)$\times$U(1) lattice gauge Higgs theory
[arXiv] 2026-04-01 | Affine Normal Directions via Log-Determinant Geometry: Scalable Computation under Sparse Polynomial Structure
[arXiv] 2026-04-01 | Reasoning Shift: How Context Silently Shortens LLM Reasoning
[arXiv] 2026-04-01 | Machine learning methods for finite population parameter estimation in survey sampling
[arXiv] 2026-04-01 | Frequency-dependent capacitance matrix formulation for Fabry-Pérot resonances. Part I: One-dimensional finite systems
[arXiv] 2026-04-01 | $Λ_c N$ correlation functions with leading-order covariant chiral interactions
[arXiv] 2026-04-01 | The localized phase of pinning models with correlated Gaussian disorder
[arXiv] 2026-04-01 | Cosmological Wavefunctions as Amplitudes: Dual Shuffle Factorization and Uniqueness from New Hidden Zeros
[arXiv] 2026-04-01 | ReinDriveGen: Reinforcement Post-Training for Out-of-Distribution Driving Scene Generation
[arXiv] 2026-04-01 | Paper Reconstruction Evaluation: Evaluating Presentation and Hallucination in AI-written Papers
[arXiv] 2026-04-01 | Reconsidering Dependency Networks from an Information Geometry Perspective
[arXiv] 2026-04-01 | ProTPS: Prototype-Guided Text Prompt Selection for Continual Learning
[arXiv] 2026-04-01 | A Distributed SOS Program For Local Stability Analysis of Polynomial PDEs in the PIE Representation
[arXiv] 2026-04-01 | A Framework for Coalgebraic Reward-Sensitive Bisimulation (Extended Version)
[arXiv] 2026-04-01 | Escaping Flatland: A Placement Flow for Enabling 3D FPGAs
[arXiv] 2026-04-01 | Quantum ergodicity in the Benjamini--Schramm limit for locally symmetric spaces
[arXiv] 2026-04-01 | Uniaxial Compression-Induced Anisotropy and Electronic Dimensionality in the Iron-Based Superconductor FeSe
[arXiv] 2026-04-01 | Data-Model Co-Driven Continuous Channel Map Construction: A Perceptive Foundation for Embodied Intelligent Agents in 6G Networks
[arXiv] 2026-04-01 | PHASOR: Anatomy- and Phase-Consistent Volumetric Diffusion for CT Virtual Contrast Enhancement
[arXiv] 2026-04-01 | Secure Network Function Computation for General Target and Security Functions
[arXiv] 2026-04-01 | A global dataset of continuous urban dashcam driving
[arXiv] 2026-04-01 | ONE-SHOT: Compositional Human-Environment Video Synthesis via Spatial-Decoupled Motion Injection and Hybrid Context Integration
[arXiv] 2026-04-01 | Fast and Accurate Probing of In-Training LLMs' Downstream Performances
[arXiv] 2026-04-01 | Transfer learning for nonparametric Bayesian networks
[arXiv] 2026-04-01 | Two Linear Passes Are Necessary for Sum-Exclude-Self Under Sublinear Space
[arXiv] 2026-04-01 | Customizing Large Vision Model-Guided Low-Rank Approximation for Ground-Roll Denoise
[arXiv] 2026-04-01 | A Posteriori Error Analysis of Runge-Kutta Discontinuous Galerkin Schemes with SIAC Post-Processing for Nonlinear Convection-Diffusion Systems
[arXiv] 2026-04-01 | Distilling Unitary Operations: A No-Go Theorem and Minimal Realization
[arXiv] 2026-04-01 | The functional impact of myofiber macroscopic organization and disarray in computational models of the murine heart
[arXiv] 2026-04-01 | Neural Ordinary Differential Equations for Modeling Socio-Economic Dynamics
[arXiv] 2026-04-01 | On the equivalence of generalized solution concepts for systems of hyperbolic conservations laws in fluid dynamics
[arXiv] 2026-04-01 | Using predefined vector systems to speed up neural network multimillion class classification
[arXiv] 2026-04-01 | Cohomological invariants of hermitian forms that detect hyperbolicity
[arXiv] 2026-04-01 | Convex cocompact groups with three-dimensional limit sets
[arXiv] 2026-04-01 | Breadth-First Search Trees with Many or Few Leaves
[arXiv] 2026-04-01 | Dynkin diagrams, generalized Nahm sums and 2d CFTs
[arXiv] 2026-04-01 | High-symmetry ill-fitting subunits in 3D form aggregates of all dimensions
[arXiv] 2026-04-01 | Ground-state solution of quantum droplets in Bose-Bose mixtures
[arXiv] 2026-04-01 | Topological algebra of symplectic geometry of symmetric powers
[arXiv] 2026-04-01 | Bridging the Simulation-to-Experiment Gap with Generative Models using Adversarial Distribution Alignment
[arXiv] 2026-04-01 | Round-efficient Fully-scalable MPC algorithms for k-Means
[arXiv] 2026-04-01 | $t\bar t$ production as a probe of dimension-6 SMEFT at higher orders
[arXiv] 2026-04-01 | Global asteroseismology of 19,000 red giants in the TESS Continuous Viewing Zones
[arXiv] 2026-04-01 | EvolveTool-Bench: Evaluating the Quality of LLM-Generated Tool Libraries as Software Artifacts
[arXiv] 2026-04-01 | DeePC vs. Koopman MPC for Pasteurization: A Comparative Study
[arXiv] 2026-04-01 | Lipschitz Dueling Bandits over Continuous Action Spaces
[arXiv] 2026-04-01 | G-Drift MIA: Membership Inference via Gradient-Induced Feature Drift in LLMs
[arXiv] 2026-04-01 | Oscillations in a scalar differential equation coupled to a diffusive field
[arXiv] 2026-04-01 | Benchmarking and Mechanistic Analysis of Vision-Language Models for Cross-Depiction Assembly Instruction Alignment
[arXiv] 2026-04-01 | Role of anisotropic electronic friction in laser-driven hydrogen recombination on copper
[arXiv] 2026-04-01 | Enhancing REST API Fuzzing with Access Policy Violation Checks and Injection Attacks
[arXiv] 2026-04-01 | Between proper and square colorings of planar graphs with maximum degree at most four
[arXiv] 2026-04-01 | Explicit minimal generating sets of a family of prime ideals with unbounded minimal number of generators in a three-dimensional power series ring
[arXiv] 2026-04-01 | A Residual Minimization approach for Nonlinear Partial Differential Equations set in Banach spaces
[arXiv] 2026-04-01 | Denoising distances beyond the volumetric barrier
[arXiv] 2026-04-01 | Engineering a Phase-Noise-Based Quantum Random Number Generator for Real-Time Secure Applications: Design, Validation, and Scalability
[arXiv] 2026-04-01 | STCALIR: Semi-Synthetic Test Collection for Algerian Legal Information Retrieval
[arXiv] 2026-04-01 | The Cointegrated Matrix Autoregressive Model
[arXiv] 2026-04-01 | Characterizations of fractional operators via integral transforms
[arXiv] 2026-04-01 | Pointed integral coalgebras and R-local homotopy theory
[arXiv] 2026-04-01 | AfrIFact: Cultural Information Retrieval, Evidence Extraction and Fact Checking for African Languages
[arXiv] 2026-04-01 | G-ICSO-NAS: Shifting Gears between Gradient and Swarm for Robust Neural Architecture Search
[arXiv] 2026-04-01 | Learning to Hint for Reinforcement Learning
[arXiv] 2026-04-01 | Inverse-Free Sparse Variational Gaussian Processes
[arXiv] 2026-04-01 | A comparison of the spin-phonon behaviour of Fe$_2$P-based magnetocaloric materials
[arXiv] 2026-04-01 | Uniform-in-time diffusion approximations for multiscale stochastic systems
[arXiv] 2026-04-01 | Performance of Neural and Polynomial Operator Surrogates
[arXiv] 2026-04-01 | OmniVoice: Towards Omnilingual Zero-Shot Text-to-Speech with Diffusion Language Models
[arXiv] 2026-04-01 | Analytical Probabilistic Power Flow Approximation Using Invertible Neural Networks
[arXiv] 2026-04-01 | Moment-preserving particle merging via non-negative least squares
[arXiv] 2026-04-01 | A comparison of pendulum models for large-amplitude longitudinal prominence oscillations
[arXiv] 2026-04-01 | Hyperon non-leptonic decays in relativistic Chiral Perturbation Theory with resonances
[arXiv] 2026-04-01 | Covariance Matrix Estimation for High-Dimensional Interval-Valued Data with Positive Definiteness
[arXiv] 2026-04-01 | Quantitative central limit theorem for an integrated periodogram via the fourth moment theorem
[arXiv] 2026-04-01 | Nonlinearity-Induced Thouless Pumping in Quasiperiodic Lattices
[arXiv] 2026-04-01 | The Critical Patch Size Problem in Random Graphs
[arXiv] 2026-04-01 | Generating intense attosecond pulses and vectorizing polarization states from laser-plasma interactions
[arXiv] 2026-04-01 | Efficiency of a smoke curtain in a ventilated tunnel
[arXiv] 2026-04-01 | Misaligned rings around minor planets with moons
[arXiv] 2026-04-01 | The fitness landscape of overlapping genes
[arXiv] 2026-04-01 | Toward Robust Semantic Communications: Proactive Importance-Ordered Restructuring for Enhanced Unequal Error Protection
[arXiv] 2026-04-01 | UniMixer: A Unified Architecture for Scaling Laws in Recommendation Systems
[arXiv] 2026-04-01 | Single-Waveguide Multiple-Pinching-Antenna Systems: OMA versus NOMA
[arXiv] 2026-04-01 | Hausdorff Dimension of Growth Rate Level Sets in $θ$-expansions
[arXiv] 2026-04-01 | More Human, More Efficient: Aligning Annotations with Quantized SLMs
[arXiv] 2026-04-01 | Representation choice shapes the interpretation of protein conformational dynamics
[arXiv] 2026-04-01 | Discovery of Symbolic Hamiltonian Expressions with Buckingham-Symplectic Networks
[arXiv] 2026-04-01 | Nonequilibrium phase transition of dissipative fermionic superfluids: Case study of multi-terminal Josephson junctions
[arXiv] 2026-04-01 | CRLB Minimization for ISAC Systems with Segmented Waveguide-Enabled Pinching Antenna
[arXiv] 2026-04-01 | Beyond Beryllium: AI-Accelerated Materials Discovery for Interstellar Spacecraft Shielding
[arXiv] 2026-04-01 | Dual-Select FMA Butterfly for FFT: Eliminating Twiddle Factor Singularities with Bounded Precomputed Ratios
[arXiv] 2026-04-01 | FecalFed: Privacy-Preserving Poultry Disease Detection via Federated Learning
[arXiv] 2026-04-01 | Ontology-Constrained Neural Reasoning in Enterprise Agentic Systems: A Neurosymbolic Architecture for Domain-Grounded AI Agents
[arXiv] 2026-04-01 | TF-SSD: A Strong Pipeline via Synergic Mask Filter for Training-free Co-salient Object Detection
[arXiv] 2026-04-01 | FreqPhys: Repurposing Implicit Physiological Frequency Prior for Robust Remote Photoplethysmography
[arXiv] 2026-04-01 | AceTone: Bridging Words and Colors for Conditional Image Grading
[arXiv] 2026-04-01 | Magnetoelectric Control of Toroidal Moment in Ferroaxial Crystal PbMn$_{2}$Ni$_{6}$Te$_{3}$O$_{18}$
[arXiv] 2026-04-01 | Stochastic GW with the Orthogonalized Projector Augmented Wave Method
[arXiv] 2026-04-01 | Polynomial Stability for Weakly Coupled System with Partial Controls
[arXiv] 2026-04-01 | Learnability-Guided Diffusion for Dataset Distillation
[arXiv] 2026-04-01 | Quantum Oppenheimer-Snyder primordial black holes as all the dark matter
[arXiv] 2026-04-01 | MOON3.0: Reasoning-aware Multimodal Representation Learning for E-commerce Product Understanding
[arXiv] 2026-04-01 | A Decoupled Basis-Vector-Driven Generative Framework for Dynamic Multi-Objective Optimization
[arXiv] 2026-04-01 | Organic Electrochemical Transistor Arrays with Integrated Lipid-Sealed Femtolitre Chambers for Simultaneous Electrical and Optical Detection of Membrane Protein Activity
[arXiv] 2026-04-01 | The QuadSoft: Design, Construction, and Experimental Validation of a Soft and Actuated Quadrotor
[arXiv] 2026-04-01 | ARGS: Auto-Regressive Gaussian Splatting via Parallel Progressive Next-Scale Prediction
[arXiv] 2026-04-01 | Magnetoelastic instabilities in kagome antiferromagnet Mn3-xGa
[arXiv] 2026-04-01 | Standard Quantum Phase Estimation Detects All Eigenvalues via Randomized Initial States
[arXiv] 2026-04-01 | Phase space integrity in neural network models of Hamiltonian dynamics: A Lagrangian descriptor approach
[arXiv] 2026-04-01 | Not My Truce: Personality Differences in AI-Mediated Workplace Negotiation
[arXiv] 2026-04-01 | Extending Quotients of Knot Groups over Surfaces in $B^4$
[arXiv] 2026-04-01 | In-vivo entropy production of A. subaru
[arXiv] 2026-04-01 | Morse diagrams, Murasugi sums, and the mapping class group
[arXiv] 2026-04-01 | Price of Anarchy of Algorithmic Monoculture
[arXiv] 2026-04-01 | Execution-Verified Reinforcement Learning for Optimization Modeling
[arXiv] 2026-04-01 | Secretary, Prophet, and Stochastic Probing via Big-Decisions-First
[arXiv] 2026-04-01 | Internal State-Based Policy Gradient Methods for Partially Observable Markov Potential Games
[arXiv] 2026-04-01 | Certificate-Driven Closed-Loop Multi-Agent Path Finding with Inheritable Factorization
[arXiv] 2026-04-01 | Making Array-Based Translation Practical for Modern, High-Performance Buffer Management
[arXiv] 2026-04-01 | Set systems containing no singleton intersection and the Delsarte number
[arXiv] 2026-04-01 | Decision-Centric Design for LLM Systems
[arXiv] 2026-04-01 | Structured detection microscopy
[arXiv] 2026-04-01 | Explainable Functional Relation Discovery for Battery State-of-Health Using Kolmogorov-Arnold Network
[arXiv] 2026-04-01 | How to Forage for a Mate?
[arXiv] 2026-04-01 | GUIDE: Reinforcement Learning for Behavioral Action Support in Type 1 Diabetes
[arXiv] 2026-04-01 | Demand response potential evaluation of a zero carbon hydrogen metallurgy system considering shaft furnace's flexibility
[arXiv] 2026-04-01 | On a Keller--Segel System with Density-Suppressed Motility, Indirect Signal Production, and External Sources
[arXiv] 2026-04-01 | Existence of free boundaries for overdetermined value problems: Sharp conditions, regularity, and physical applications
[arXiv] 2026-04-01 | In harmony with gpt-oss
[arXiv] 2026-04-01 | Adjacent vertices of small degree in minimal matching covered graphs
[arXiv] 2026-04-01 | A large misalignment between continuous jet and discrete ejecta in microquasar GRS 1915+105 during its obscured phase
[arXiv] 2026-04-01 | Spatiotemporal Characterization of Overdose Mortality in Georgia, USA Using Spectral and Nonlinear Interaction Analysis, 2003-2021
[arXiv] 2026-04-01 | Any six points on the Riemann sphere can be split into three pairs by a triple of disjoint discs
[arXiv] 2026-04-01 | Go Big or Go Home: Simulating Mobbing Behavior with Braitenbergian Robots
[arXiv] 2026-04-01 | Ultrasonic Brain Computer Interfaces for Enhancing Human-Machine Cognition
[arXiv] 2026-04-01 | When Career Data Runs Out: Structured Feature Engineering and Signal Limits for Founder Success Prediction
[arXiv] 2026-04-01 | Predicting reaction observables for the two-neutron halo candidates $^{31}$F and $^{39}$Na
[arXiv] 2026-04-01 | 20 years of monitoring: PKS 2155-304 and PKS 1510-089 in the eyes of Swift and Fermi. I. The case of PKS 2155-304
[arXiv] 2026-04-01 | Conditions for 3-partite and 4-partite genuine entanglement
[arXiv] 2026-04-01 | From Pluralistic Ignorance to Common Knowledge with Social Assurance Contracts
[arXiv] 2026-04-01 | Optimal Anchor Placement for Wireless Localization in Mixed LOS and NLOS Scenarios
[arXiv] 2026-04-01 | Shape Representation using Gaussian Process mixture models
[arXiv] 2026-04-01 | A MIDAS-based Data Acquisition System for Gaseous Detectors
[arXiv] 2026-04-01 | Disentangling to Re-couple: Resolving the Similarity-Controllability Paradox in Subject-Driven Text-to-Image Generation
[arXiv] 2026-04-01 | Quantum Simulation of Cranked Zirconium Isotopes: A Fixed-N Approach with a Structured Number-Conserving Ansatz
[arXiv] 2026-04-01 | Proactive Agent Research Environment: Simulating Active Users to Evaluate Proactive Assistants
[arXiv] 2026-04-01 | Fokker-Planck Analysis and Invariant Laws for a Continuous-Time Stochastic Model of Adam-Type Dynamics
[arXiv] 2026-04-01 | Bridging RL and MPC for mixed-integer optimal control with application to Formula 1 race strategies
[arXiv] 2026-04-01 | Fractal hierarchy enables exponential scaling of topological boundary states
[arXiv] 2026-04-01 | Unitary Encoding of Thermal States via Thermofield Dynamics on Quantum Computers
[arXiv] 2026-04-01 | MIRANDA: MId-feature RANk-adversarial Domain Adaptation toward climate change-robust ecological forecasting with deep learning
[arXiv] 2026-04-01 | Multimodal Language Models Cannot Spot Spatial Inconsistencies
[arXiv] 2026-04-01 | Emergent Weyl Nodes and Berry Curvature in Bose Polarons via $p$-Wave Feshbach Coupling
[arXiv] 2026-04-01 | HICT: High-precision 3D CBCT reconstruction from a single X-ray
[arXiv] 2026-04-01 | UK AISI Alignment Evaluation Case-Study
[arXiv] 2026-04-01 | The Rise of Language Models in Mining Software Repositories: A Survey
[arXiv] 2026-04-01 | Lax convergence theorems and error estimates of a finite element method for the incompressible Euler system
[arXiv] 2026-04-01 | First principles study of thermoelectric properties of $\text{Nb}_2\text{Co}_2\text{InSb}$ and $\text{Nb}_2\text{Co}_2\text{GaSb}$ double half-Heuslers
