[2026-03-05 09:30:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[arXiv] 2026-03-04 | When Safety Becomes a Vulnerability: Exploiting LLM Alignment Homogeneity for Transferable Blocking in RAG
[arXiv] 2026-03-04 | Ultrabubble enumeration via a lowest common ancestor approach
[arXiv] 2026-03-04 | Angular distribution of Kα x rays following nonradiative double electron capture in relativistic collisions of Xe54+ ions with Kr and Xe atoms
[arXiv] 2026-03-04 | PatchDecomp: Interpretable Patch-Based Time Series Forecasting
[arXiv] 2026-03-04 | Competitive tumor growth modeling and optimal radiotherapy control via logistic equations
[arXiv] 2026-03-04 | Remote Plasma Polymers of Iron (II) Phthalocyanine in Polyacrylonitrile-Derived Carbon Electrospun Fibers as Electrode for Supercapacitors
[arXiv] 2026-03-04 | IROSA: Interactive Robot Skill Adaptation using Natural Language
[arXiv] 2026-03-04 | Thermal modeling of runaway electron induced damage in the SPARC tokamak
[arXiv] 2026-03-04 | A novel network for classification of cuneiform tablet metadata
[arXiv] 2026-03-04 | Numerical evaluation of Casimir forces using the discontinuous Galerkin time-domain method
[arXiv] 2026-03-04 | Leptogenesis from the Dirac CP-violating phase in the minimal left-right symmetric model
[arXiv] 2026-03-04 | Lubin's conjecture for height-one $p$-adic dynamical systems over $(p^2-p)$-tame extensions
[arXiv] 2026-03-04 | Two-phase quadratic integrate-and-fire neurons: Exact low-dimensional description for ensembles of finite-voltage neurons
[arXiv] 2026-03-04 | Catching jumps of metric-valued mappings with Lipschitz functions
[arXiv] 2026-03-04 | Performance of Conventional EEG Biomarkers Across Different Clinical Phases of Major Depressive Disorder: A Comprehensive Evaluation
[arXiv] 2026-03-04 | A Sensitivity Analysis of Multi-Event Audio Grounding in Audio LLMs
[arXiv] 2026-03-04 | Steady State Distribution and Stability Analysis of Random Differential Equations with Uncertainties and Superpositions: Application to a Predator Prey Model
[arXiv] 2026-03-04 | Local vs global dynamics in a dissipative qubit-impurity system
[arXiv] 2026-03-04 | Non-Invasive Reconstruction of Cardiac Activation Dynamics Using Physics-Informed Neural Networks
[arXiv] 2026-03-04 | Large-Margin Hyperdimensional Computing: A Learning-Theoretical Perspective
[arXiv] 2026-03-04 | Structure-aware Prompt Adaptation from Seen to Unseen for Open-Vocabulary Compositional Zero-Shot Learning
[arXiv] 2026-03-04 | Video-rate volumetric chemical imaging via mid-infrared photothermal optical diffraction tomography
[arXiv] 2026-03-04 | Vector-Quantized Soft Label Compression for Dataset Distillation
[arXiv] 2026-03-04 | Adaptive Enhancement and Dual-Pooling Sequential Attention for Lightweight Underwater Object Detection with YOLOv10
[arXiv] 2026-03-04 | Zero-Knowledge Proof (ZKP) Authentication for Offline CBDC Payment System Using IoT Devices
[arXiv] 2026-03-04 | Variational Gibbs State Preparation on Trapped-Ion Devices
[arXiv] 2026-03-04 | Equi-Baire One Families of Möbius Transformations and One-Parameter Subgroups of $\mathrm{PSL}(2,\mathbb{C}$)
[arXiv] 2026-03-04 | Linear codes arising from geometrical operation
[arXiv] 2026-03-04 | Bounded Multilinear Functionals and Multicontinuous Functions on n-Normed Spaces
[arXiv] 2026-03-04 | Skyrmion generation via Laguerre-Gaussian beam irradiation in frustrated magnets
[arXiv] 2026-03-04 | IntroductionDMD-augmented Unpaired Neural Schrödinger Bridge for Ultra-Low Field MRI Enhancement
[arXiv] 2026-03-04 | Cognition to Control - Multi-Agent Learning for Human-Humanoid Collaborative Transport
[arXiv] 2026-03-04 | Learning Approximate Nash Equilibria in Cooperative Multi-Agent Reinforcement Learning via Mean-Field Subsampling
[arXiv] 2026-03-04 | Tannakian duality and Gauss-Manin connections for a family of curves
[arXiv] 2026-03-04 | MOOSE-Star: Unlocking Tractable Training for Scientific Discovery by Breaking the Complexity Barrier
[arXiv] 2026-03-04 | Separation induced transition in a low pressure turbine under varying compressibility
[arXiv] 2026-03-04 | Evolution of Time-Lags of Swift J1727.8-1613 during the Rising Phase of Its Discovery Outburst
[arXiv] 2026-03-04 | Non-Orthogonal HARQ-CC over SDR: A GNU Radio-Based Implementation
[arXiv] 2026-03-04 | DAGE: Dual-Stream Architecture for Efficient and Fine-Grained Geometry Estimation
[arXiv] 2026-03-04 | ErrorLLM: Modeling SQL Errors for Text-to-SQL Refinement
[arXiv] 2026-03-04 | A Generalist Model Including Evolved Star Mass and Age
[arXiv] 2026-03-04 | Method of regions for dual conformal integrals
[arXiv] 2026-03-04 | Why Do Unlearnable Examples Work: A Novel Perspective of Mutual Information
[arXiv] 2026-03-04 | Soft Semi-active Back Support Device with Adaptive Force Profiles using Variable-elastic Actuation and Weight Feedback
[arXiv] 2026-03-04 | Polarized superspecial abelian varieties over $\mathbb{F}_p$ via hermitian lattices
[arXiv] 2026-03-04 | On the Spectrum of OTFS/VOFDM Signals: PSD Analysis and Bandwidth Allocation
[arXiv] 2026-03-04 | LDP-Slicing: Local Differential Privacy for Images via Randomized Bit-Plane Slicing
[arXiv] 2026-03-04 | Semistable intrinsic reduction loci for the iterations of non-archimedean quadratic rational functions
[arXiv] 2026-03-04 | Scalable and Convergent Generalized Power Iteration Precoding for Massive MIMO Systems
[arXiv] 2026-03-04 | Stellar Chromospheric Activity Database of Solar-like Stars Based on the LAMOST Low-Resolution Spectroscopic Survey III. Calibrating the Chromospheric Basal Flux and the Connection to Stellar Rotation
[arXiv] 2026-03-04 | Frequency Security-Aware Production Scheduling of Utility-Scale Off-Grid Renewable P2H Systems Coordinating Heterogeneous Electrolyzers
[arXiv] 2026-03-04 | CONCUR: Benchmarking LLMs for Concurrent Code Generation
[arXiv] 2026-03-04 | MAGE: Meta-Reinforcement Learning for Language Agents toward Strategic Exploration and Exploitation
[arXiv] 2026-03-04 | Photon Spheres and shadow of Schwarzschild black hole on the EUP framework
[arXiv] 2026-03-04 | Effect of magnetic drift on the stability structure of the ambipolar condition
[arXiv] 2026-03-04 | Mozi: Governed Autonomy for Drug Discovery LLM Agents
[arXiv] 2026-03-04 | Searching for ALP Lepton Flavor Violation via ALP Decays at the LHC
[arXiv] 2026-03-04 | Bridging Pedagogy and Play: Introducing a Language Mapping Interface for Human-AI Co-Creation in Educational Game Design
[arXiv] 2026-03-04 | Exploring Multiple Converged States of Network Configurations
[arXiv] 2026-03-04 | Magnetic Signature of Chiral Phonons Revealed by Neutron Spectroscopy in Ferrimagnetic Fe$_{1.75}$Zn$_{0.25}$Mo$_3$O$_8$
[arXiv] 2026-03-04 | An approach to non-equilibrium Markov chains through cycle matrices
[arXiv] 2026-03-04 | Local Safety Filters for Networked Systems via Two-Time-Scale Design
[arXiv] 2026-03-04 | Scrambler: Mixed Boolean Arithmetic Obfuscation Tool Using E-graph and Equality Expansion
[arXiv] 2026-03-04 | Extension of results on generalized Pólya's urns for polynomially self-repelling walks
[arXiv] 2026-03-04 | Candidate Moderation under Instant Runoff and Condorcet Voting: Evidence from the Cooperative Election Survey
[arXiv] 2026-03-04 | RAGTrack: Language-aware RGBT Tracking with Retrieval-Augmented Generation
[arXiv] 2026-03-04 | Tracking Feral Horses in Aerial Video Using Oriented Bounding Boxes
[arXiv] 2026-03-04 | Detection and Identification of Penguins Using Appearance and Motion Features
[arXiv] 2026-03-04 | Hybrid Belief Reinforcement Learning for Efficient Coordinated Spatial Exploration
[arXiv] 2026-03-04 | NMR evidence of spin supersolid and Pomeranchuk effect behaviors in the triangular-lattice antiferromagnet Rb$_2$Ni$_2$(SeO$_3$)$_3$
[arXiv] 2026-03-04 | Post-inflationary axion constraints from the Lyman-$α$ forest
[arXiv] 2026-03-04 | Accurate and Efficient Hybrid-Ensemble Atmospheric Data Assimilation in Latent Space with Uncertainty Quantification
[arXiv] 2026-03-04 | A framework for missing-energy searches with anomalous light vectors
[arXiv] 2026-03-04 | Unital $3$-dimensional structurable algebras: classification, properties and $\rm{AK}$-construction
[arXiv] 2026-03-04 | The Gaussian Wave for Graphs of Finite Cone Type
[arXiv] 2026-03-04 | TaxonRL: Reinforcement Learning with Intermediate Rewards for Interpretable Fine-Grained Visual Reasoning
[arXiv] 2026-03-04 | Formalization in Lean of faithfully flat descent of projectivity
[arXiv] 2026-03-04 | $τ$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge
[arXiv] 2026-03-04 | Volumetric effects in viscous flows in circular and annular tubes with wavy walls
[arXiv] 2026-03-04 | Dissecting Quantization Error: A Concentration-Alignment Perspective
[arXiv] 2026-03-04 | Pointer-CAD: Unifying B-Rep and Command Sequences via Pointer-based Edges & Faces Selection
[arXiv] 2026-03-04 | What Does Flow Matching Bring To TD Learning?
[arXiv] 2026-03-04 | Study on the Effect of Annealing on Ga$_2$O$_3$ Thin Films Deposited on Silicon by RF Sputtering
[arXiv] 2026-03-04 | Hunting for methanol in the water rich, planet forming disk around HL Tau
[arXiv] 2026-03-04 | MOO: A Multi-view Oriented Observations Dataset for Viewpoint Analysis in Cattle Re-Identification
[arXiv] 2026-03-04 | CRESTomics: Analyzing Carotid Plaques in the CREST-2 Trial with a New Additive Classification Model
[arXiv] 2026-03-04 | Activation Outliers in Transformer Quantization: Reproduction, Statistical Analysis, and Deployment Tradeoffs
[arXiv] 2026-03-04 | Dual Diffusion Models for Multi-modal Guided 3D Avatar Generation
[arXiv] 2026-03-04 | Perception-Aware Time-Optimal Planning for Quadrotor Waypoint Flight
[arXiv] 2026-03-04 | The Company You Keep: How LLMs Respond to Dark Triad Traits
[arXiv] 2026-03-04 | Hanle lineshapes and spin-rotation signatures from in-plane anisotropic spin relaxation in heterogeneous spin devices
[arXiv] 2026-03-04 | Gaussian Wardrobe: Compositional 3D Gaussian Avatars for Free-Form Virtual Try-On
[arXiv] 2026-03-04 | IPD: Boosting Sequential Policy with Imaginary Planning Distillation in Offline Reinforcement Learning
[arXiv] 2026-03-04 | A multi-center analysis of deep learning methods for video polyp detection and segmentation
[arXiv] 2026-03-04 | The effect of chemical vapor infiltration process parameters on flexural strength of porous α-SiC: A numerical model
[arXiv] 2026-03-04 | Maintenance optimization of a two-component system with mixed observability
[arXiv] 2026-03-04 | Continuity of Magnitude at Skew Finite Subsets of $\ell_1^N$
[arXiv] 2026-03-04 | Joint tomographic measurement of thermal Sunyaev Zeldovich and the cosmic infrared background
[arXiv] 2026-03-04 | Atmospheric effects on cosmic-ray muon rate at high latitude (78.9°N)
[arXiv] 2026-03-04 | Atmospheric neutrino constraints on Lorentz invariance violation with the first six detection units of KM3NeT/ORCA
[arXiv] 2026-03-04 | Cluster-Level Experiments using Temporal Switchback Designs: Precision Gains in Pricing A/B Tests at LATAM Airlines
[arXiv] 2026-03-04 | FeedAIde: Guiding App Users to Submit Rich Feedback Reports by Asking Context-Aware Follow-Up Questions
[arXiv] 2026-03-04 | Optomicrofluidic measurement of particle-encapsulated droplet system
[arXiv] 2026-03-04 | Minimum Weight Decoding in the Colour Code is NP-hard
[arXiv] 2026-03-04 | Semi-Supervised Generative Learning via Latent Space Distribution Matching
[arXiv] 2026-03-04 | Constructing Arbitrary Coherent Rearrangements in Optical Lattices
[arXiv] 2026-03-04 | Arnold tongues in the forced Kuramoto model with matrix coupling
[arXiv] 2026-03-04 | On the defect in the generalized Grunwald--Wang problem
[arXiv] 2026-03-04 | Excursion-set for Primordial Black Holes I: white noise and moving barrier
[arXiv] 2026-03-04 | On Hamilton Jacobi equations with time measurable Hamiltonians posed on a 1-dimensional junction
[arXiv] 2026-03-04 | Scalable Join Inference for Large Context Graphs
[arXiv] 2026-03-04 | A baryon-calibrated unified quark-diquark effective mass formalism for heavy multiquarks
[arXiv] 2026-03-04 | Degradation-based augmented training for robust individual animal re-identification
[arXiv] 2026-03-04 | Representation theorems for actual and alpha powers over two-agent general concurrent game frames
[arXiv] 2026-03-04 | New Robotic Telescope: The big eye to observe the transient Universe
[arXiv] 2026-03-04 | Nine-element machine-learned interatomic potentials for multiphase refractory alloys
[arXiv] 2026-03-04 | HBRB-BoW: A Retrained Bag-of-Words Vocabulary for ORB-SLAM via Hierarchical BRB-KMeans
[arXiv] 2026-03-04 | Generating Exceptional Knots and Links with Arbitrary Braiding Topology
[arXiv] 2026-03-04 | Atomic-scale Stark-shift spectroscopy and microscopy of organic molecules
[arXiv] 2026-03-04 | Precise measurement of the form factors in $D^0\rightarrow K^*(892)^-\ell^+ν_{\ell}$ and observation of $D^0\rightarrow K_2^*(1430)^-\ell^+ν_{\ell}$
[arXiv] 2026-03-04 | Two-Stage Photovoltaic Forecasting: Separating Weather Prediction from Plant-Characteristics
[arXiv] 2026-03-04 | Mask-Guided Attention Regulation for Anatomically Consistent Counterfactual CXR Synthesis
[arXiv] 2026-03-04 | Irradiation Studies of TGC Electronics Components for the ATLAS Experiment at High-Luminosity LHC
[arXiv] 2026-03-04 | Sharp regularity near the grazing set for kinetic Fokker-Planck equations
[arXiv] 2026-03-04 | An analytical-numerical coupled model of liquid droplet impact on solid material surfaces
[arXiv] 2026-03-04 | Understanding Sources of Demographic Predictability in Brain MRI via Disentangling Anatomy and Contrast
[arXiv] 2026-03-04 | A trick to ensure positive Mordell-Weil rank
[arXiv] 2026-03-04 | Extrinsic bi-Conformal Heat Flow and its smoothness
[arXiv] 2026-03-04 | Breaking Bad Email Habits: Bounding the Impact of Simulated Phishing Campaigns
[arXiv] 2026-03-04 | Lyapunov characterization of boundedness of reachability sets for infinite-dimensional systems
[arXiv] 2026-03-04 | Reducing hyperparameter sensitivity in measurement-feedback based Ising machines
[arXiv] 2026-03-04 | CLIP-Guided Multi-Task Regression for Multi-View Plant Phenotyping
[arXiv] 2026-03-04 | Wasserstein Gradient Flows of semi-discret energies: evolution of urban areas anduniform quantization
[arXiv] 2026-03-04 | Features of Spacetime-Symmetry Breaking and the Standard-Model Extension in Riemann-Cartan Geometry
[arXiv] 2026-03-04 | Modified-gradient methods for exact divergence-free in meshless magnetohydrodynamics
[arXiv] 2026-03-04 | Deterministic Quantum Jump (DQJ) Method for Weakly Dissipative Systems
[arXiv] 2026-03-04 | Online Order Fulfillment with Replenishment
[arXiv] 2026-03-04 | Signed graphs with exactly two main eigenvalues: The unicyclic case
[arXiv] 2026-03-04 | Differential Goppa Codes
[arXiv] 2026-03-04 | Stationary axisymmetric systems that allow for a separability structure
[arXiv] 2026-03-04 | A new ultrafilter proof of Van der Waerden's theorem
[arXiv] 2026-03-04 | Morphologies for DECaLS Galaxies through a combination of non-parametric indices and machine learning methods: A comprehensive catalog using the Galaxy Morphology Extractor (galmex) code
[arXiv] 2026-03-04 | DQE-CIR: Distinctive Query Embeddings through Learnable Attribute Weights and Target Relative Negative Sampling in Composed Image Retrieval
[arXiv] 2026-03-04 | Invariant measures and traces on groupoid $\mathrm{C}^\ast$-algebras
[arXiv] 2026-03-04 | Principal Typing for Intersection Types, Forty-Five Years Later
[arXiv] 2026-03-04 | A Core Calculus for Type-safe Product Lines of C Programs
[arXiv] 2026-03-04 | Two Remarks about Game Semantics of Classical Logic
[arXiv] 2026-03-04 | Uniform Realizability Interpretations
[arXiv] 2026-03-04 | Training-Free Rate-Distortion-Perception Traversal With Diffusion
[arXiv] 2026-03-04 | Spectral Surgery: Training-Free Refinement of LoRA via Gradient-Guided Singular Value Reweighting
[arXiv] 2026-03-04 | Specialization of softmax attention heads: insights from the high-dimensional single-location model
[arXiv] 2026-03-04 | Radiative-channel valley topological laser
[arXiv] 2026-03-04 | Dynamics of Charge-Density-Wave puddles in 2$H$-NbSe$_2$
[arXiv] 2026-03-04 | Variance-Driven Mean Temperature Reduction in Nonuniformly Heated Radiative-Conductive Systems
[arXiv] 2026-03-04 | Right in Time: Reactive Reasoning in Regulated Traffic Spaces
[arXiv] 2026-03-04 | Dual-Solver: A Generalized ODE Solver for Diffusion Models with Dual Prediction
[arXiv] 2026-03-04 | Spectral radius and rainbow Hamiltonicity in bipartite graphs
[arXiv] 2026-03-04 | Adaptive Modular Geometric Control of Robotic Manipulators
[arXiv] 2026-03-04 | Localized locally convex topologies
[arXiv] 2026-03-04 | ArthroCut: Autonomous Policy Learning for Robotic Bone Resection in Knee Arthroplasty
[arXiv] 2026-03-04 | Forecasting of Multiple Seasonal Categorical Time Series Using Fourier Series with Application to AQI Data of Kolkata
[arXiv] 2026-03-04 | Effects of neoclassical toroidal viscosity on plasma flow evolution in the presence of resonant magnetic perturbation in a tokamak
[arXiv] 2026-03-04 | The influence of galaxy mergers, black-hole growth, and gas processes on the evolution of the stellar mass-gas metallicity relation of galaxies in different cosmic environments
[arXiv] 2026-03-04 | Imaginary-time evolution of interacting spin systems in the truncated Wigner approximation
[arXiv] 2026-03-04 | The SIS Competition Model for Conflicting Rumors
[arXiv] 2026-03-04 | Spatial Causal Prediction in Video
[arXiv] 2026-03-04 | Lightweight Visual Reasoning for Socially-Aware Robots
[arXiv] 2026-03-04 | Joint Channel Estimation and Beamforming for Reconfigurable Intelligent Surface Aided MIMO Systems: Sparsity-Based Approach
[arXiv] 2026-03-04 | Multivariate Data-dependent Partition of Unity based on Moving Least Squares method
[arXiv] 2026-03-04 | N-gram Injection into Transformers for Dynamic Language Model Adaptation in Handwritten Text Recognition
[arXiv] 2026-03-04 | Resource State Distillation via Stabilizer Channels
[arXiv] 2026-03-04 | Cyclostationarity Analysis as a Complement to Self-Supervised Representations for Speech Deepfake Detection
[arXiv] 2026-03-04 | BD-Merging: Bias-Aware Dynamic Model Merging with Evidence-Guided Contrastive Learning
[arXiv] 2026-03-04 | Fast proton transport and neutron production in proton therapy using Fourier neural operators
[arXiv] 2026-03-04 | From Threat Intelligence to Firewall Rules: Semantic Relations in Hybrid AI Agent and Expert System Architectures
[arXiv] 2026-03-04 | Measuring Privacy vs. Fidelity in Synthetic Social Media Datasets
[arXiv] 2026-03-04 | Architecture and evaluation protocol for transformer-based visual object tracking in UAV applications
[arXiv] 2026-03-04 | Translational dynamics of diatomic molecule in magnetic quadrupole trap
[arXiv] 2026-03-04 | On Cauchy problem and stability of inversion-free feedforward control of piecewise monotonic Krasnoselskii-Pokrovskii hysteresis
[arXiv] 2026-03-04 | A sign-reversing involution for the antipode of Schur functions
[arXiv] 2026-03-04 | CzechTopic: A Benchmark for Zero-Shot Topic Localization in Historical Czech Documents
[arXiv] 2026-03-04 | Plug-and-Play blind super-resolution of real MRI images for improved multiple sclerosis diagnosis
[arXiv] 2026-03-04 | Empirical Studies on Adversarial Reverse Engineering with Students
[arXiv] 2026-03-04 | Towards Practical Quantum Federated Learning: Enhancing Efficiency and Noise Tolerance
[arXiv] 2026-03-04 | Nuclear Matter Properties and Neutron Star Structures from an Extended Linear Sigma Model
[arXiv] 2026-03-04 | Advances in List Decoding of Polynomial Codes
[arXiv] 2026-03-04 | Influence of Inter-Pulse Delay and Geometric Constraints on Damage and Optical Characteristics in thin Metal Targets Irradiated by Double Ultrashort Laser Pulses
[arXiv] 2026-03-04 | Climate Downscaling with Stochastic Interpolants (CDSI)
[arXiv] 2026-03-04 | SkillVLA: Tackling Combinatorial Diversity in Dual-Arm Manipulation via Skill Reuse
[arXiv] 2026-03-04 | BMW/DMZ calculation of the hadronic vacuum polarisation for the muon magnetic moment
[arXiv] 2026-03-04 | In-Context Environments Induce Evaluation-Awareness in Language Models
[arXiv] 2026-03-04 | Direct Bayesian Additive Regression Trees for Conditional Average Treatment Effects in Regression Discontinuity Designs
[arXiv] 2026-03-04 | Approximate Amplitude Encoding with the Adaptive Interpolating Quantum Transform
[arXiv] 2026-03-04 | Unsupervised Surrogate-Assisted Synthesis of Free-Form Planar Antenna Topologies for IoT Applications
[arXiv] 2026-03-04 | Enhancing Variational Quantum Eigensolvers for SU(2) Lattice Gauge Theory via Systematic State Preparation
[arXiv] 2026-03-04 | Phase-Sensitive Nonlinear X-Ray Response in a Charge-Density-Wave Quantum Material
[arXiv] 2026-03-04 | T2S-Bench & Structure-of-Thought: Benchmarking and Prompting Comprehensive Text-to-Structure Reasoning
[arXiv] 2026-03-04 | Small Object Detection in Complex Backgrounds with Multi-Scale Attention and Global Relation Modeling
[arXiv] 2026-03-04 | Imaging asymmetric Coulomb blockade phenomena across metallic nanoislands
[arXiv] 2026-03-04 | Inverse Contextual Bandits without Rewards: Learning from a Non-Stationary Learner via Suffix Imitation
[arXiv] 2026-03-04 | Representations of the modular shifted super Yangian $Y_{1|1}(σ)$
[arXiv] 2026-03-04 | On large bandwidth matrix values kernel smoothed estimators for multi-index models
[arXiv] 2026-03-04 | JANUS: Structured Bidirectional Generation for Guaranteed Constraints and Analytical Uncertainty
[arXiv] 2026-03-04 | Ultralow and Tunable Thermal Conductivity of Parylene C for Thermal Insulation in Advanced Packaging
[arXiv] 2026-03-04 | The Ghost in the Datacenter: Link Flapping, Topology Knowledge Failures, and the FITO Category Mistake
[arXiv] 2026-03-04 | Characterization and Correlation of Robotic Snake Scale Friction and Locomotion Speed
[arXiv] 2026-03-04 | HyperParallel: A Supernode-Affinity AI Framework
[arXiv] 2026-03-04 | QD-PCQA: Quality-Aware Domain Adaptation for Point Cloud Quality Assessment
[arXiv] 2026-03-04 | Small ball probability of collision local time for symmetric stable processes
[arXiv] 2026-03-04 | Tractable infinite-dimensional model for long-term environmental impact assessment of long-memory processes
[arXiv] 2026-03-04 | Large-Language-Model-Guided State Estimation for Partially Observable Task and Motion Planning
[arXiv] 2026-03-04 | Coulomb interaction unlocks Majorana-mediated electron teleportation between Quantum dots
[arXiv] 2026-03-04 | X-ray magnetic circular dichroism evidence of intrinsic $d$-wave altermagnetism in rutile-structure NiF$_2$
[arXiv] 2026-03-04 | A degeneration of the generalized Zwegers' $μ$-function according to the Ramanujan difference equation
[arXiv] 2026-03-04 | AI4S-SDS: A Neuro-Symbolic Solvent Design System via Sparse MCTS and Differentiable Physics Alignment
[arXiv] 2026-03-04 | Mathematicians in the age of AI
[arXiv] 2026-03-04 | EvoPrune: Early-Stage Visual Token Pruning for Efficient MLLMs
[arXiv] 2026-03-04 | STARDIS: Strategic Scheduling and Deceptive Signaling for Satellite Intrusion Detection System Deployment
[arXiv] 2026-03-04 | MIND: Unified Inquiry and Diagnosis RL with Criteria Grounded Clinical Supports for Psychiatric Consultation
[arXiv] 2026-03-04 | Minimal hypersurfaces in spheres generated by isoparametric foliations
[arXiv] 2026-03-04 | Inclusive Mobile Learning: How Technology-Enabled Language Choice Supports Multilingual Students
[arXiv] 2026-03-04 | Automated Analysis of Ripple-Scale Gravity Wave Structures in the Mesosphere Using Convolutional Neural Networks
[arXiv] 2026-03-04 | Can LLM Aid in Solving Constraints with Inductive Definitions?
[arXiv] 2026-03-04 | ORION: Intent-Aware Orchestration in Open RAN for SLA-Driven Network Management
[arXiv] 2026-03-04 | Machine Pareidolia: Protecting Facial Image with Emotional Editing
[arXiv] 2026-03-04 | Principled Learning-to-Communicate with Quasi-Classical Information Structures
[arXiv] 2026-03-04 | Purely optical macroscopic trap for alkaline-earth and similar atoms
[arXiv] 2026-03-04 | Adaptive Sensing of Continuous Physical Systems for Machine Learning
[arXiv] 2026-03-04 | Mitigating many-body quantum crosstalk with tensor-network robust control
[arXiv] 2026-03-04 | Goal-Driven Risk Assessment for LLM-Powered Systems: A Healthcare Case Study
[arXiv] 2026-03-04 | A relation between the HOMFLY-PT and Kauffman polynomials via characters
[arXiv] 2026-03-04 | Touch2Insert: Zero-Shot Peg Insertion by Touching Intersections of Peg and Hole
[arXiv] 2026-03-04 | Negative Curvature Methods with High-Probability Complexity Guarantees for Stochastic Nonconvex Optimization
[arXiv] 2026-03-04 | Extending Neural Operators: Robust Handling of Functions Beyond the Training Set
[arXiv] 2026-03-04 | Modelling Visuo-Haptic Perception Change in Size Estimation Tasks
[arXiv] 2026-03-04 | A Dual-Helix Governance Approach Towards Reliable Agentic AI for WebGIS Development
[arXiv] 2026-03-04 | Super-decomposable pure-injective modules over some Jacobian algebras
[arXiv] 2026-03-04 | Synthetic disk-integrated absorption lines isolating stellar granulation for high-precision RV studies
