[2026-02-21 09:18:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-20
正在获取论文...
[ACM] 2026-2-20 | Wildfire@Home: Personalized Immersive Training for Household Situation Awareness
[IEEE] 2026-2-20 | A Legacy of Community in Conferences
[IEEE] 2026-2-20 | Expert System for Computer Damage Diagnosis with Hybrid Natural Language Processing and Knowledge Base
[IEEE] 2026-2-20 | Fine-Tuning GPT-4o-Mini to Detect and Extract Teachers’ Opportunity-to-Respond Quotes in Noisy Classroom Transcripts
[IEEE] 2026-2-20 | Ensemble Learning for Robust Anomaly Detection in Banking Fraud
[IEEE] 2026-2-20 | Hybrid AI-Based Detection of High Impedance Faults Using Time-Frequency Features and Adaptive Thresholding in Distribution Systems
[IEEE] 2026-2-20 | Hybrid Quantum-Classical Machine Learning for Software Requirement Risk Classification
[IEEE] 2026-2-20 | Multi-Agent Orchestration Protocol for Generative AI Systems
[IEEE] 2026-2-20 | α-aggregator SegLoss: A Novel Loss Function for Medical Image Segmentation
[IEEE] 2026-2-20 | FedROCK: A Federated Learning Framework with Region-Oriented Cultural Knowledge Distillation for Recommendations
[IEEE] 2026-2-20 | AI-Powered Early Diagnosis for Autism Spectrum Disorder and Progress Monitoring
[IEEE] 2026-2-20 | Space Data Centers Come of Age
[IEEE] 2026-2-20 | Decoupling Control of Multivariable Systems Using Eigenstructure Assignment
[IEEE] 2026-2-20 | Corrosion Classification With Synthetic and Real Images: A Comparative Study
[IEEE] 2026-2-20 | Benchmarking Few-Shot Learning Techniques for Steel Surface Defect Detection
[IEEE] 2026-2-20 | Digital Twin-Enabled Urban Management: Multi-Modal Data Fusion for Real-Time City Simulation and Prediction
[IEEE] 2026-2-20 | Hybrid Energy System Based on Five-Level Reduced Switch Multilevel Inverter
[IEEE] 2026-2-20 | Distributed Economic Optimization Scheduling Based on Neural Dynamics Optimization
[IEEE] 2026-2-20 | Remote Industrial Technician Training Through Real-Time XR Assistance
[IEEE] 2026-2-20 | Automatic Generation of Operation Scenarios with Fixed Section Power for Stability Control Strategy Analysis
[IEEE] 2026-2-20 | Efficient Deep Learning-Based Multimodal Liver Disease Detection
[IEEE] 2026-2-20 | Research on Primary Frequency Regulation Strategy Based on Hybrid Energy Storage Technology
[IEEE] 2026-2-20 | Comparative Analysis of the MPPT Techniques for Optimized Power Flow of Fuel Cell Integrated Boost Converter
[IEEE] 2026-2-20 | GHOST: Generating Hidden Obfuscated Samples from Benign Traffic to Evade SD-IoT Intrusion Detection Systems
[IEEE] 2026-2-20 | Predictive Modeling of Grid Power Loss in EV Charging Systems Using Ensemble and Neural Networks
[IEEE] 2026-2-20 | Robust Industrial Localization of Dot-Pattern Data Matrix Codes on Metallic Surfaces
[IEEE] 2026-2-20 | A Frequency Regulation Control Strategy for Hybrid MTDC Power System Based on MPC
[IEEE] 2026-2-20 | Performance Analysis of Target Motion Analysis System based on IMM with Maneuvering Point Detection
[IEEE] 2026-2-20 | Closed-form Analytical Expression for Moment of Inertia of Switched Reluctance Machine Rotors
[IEEE] 2026-2-20 | Exploring the Electrical Behavior of AlGaN HEMTs: a Parametric Analysis on the Barrier Layer Composition
[IEEE] 2026-2-20 | Quantum-Enhanced Predictive Analytics for Loan Default and Repayment Behavior
[IEEE] 2026-2-20 | Shunt Reactor Configuration for 220kV Offshore Wind Farms Based on Power Quality and Overvoltage
[IEEE] 2026-2-20 | Adaptive and Secure Three-Level Steganography Scheme with Random Distribution and Parity Coding
[IEEE] 2026-2-20 | On-chip Processing Assisted TinyML for Heart Rate Monitoring Using Non-Contact Ballistocardiogram-Based Bed Sensor
[IEEE] 2026-2-20 | TerseChain: A Stateless UTXO-Based Blockchain with Sharding Support_supp1-3662399.pdf
[IEEE] 2026-2-20 | Navigation Without Localization Using Stable Cycles
[IEEE] 2026-2-20 | Multistatic Tracking With the Precision Kalman Filter
[IEEE] 2026-2-20 | DRL-Based Wireless-Powered UAVs Trajectories Planning for Fair Communication_supp1-3664292.pdf
[IEEE] 2026-2-20 | Federated Learning in the Shuffle Model of Differential Privacy: A Communication-Efficient and Maliciously Secure Realization_supp1-3663543.pdf
[IEEE] 2026-2-20 | 2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT)
[IEEE] 2026-2-20 | 2025 International Conference on Computing and Communications (COMPUTINGCON)
[IEEE] 2026-2-20 | Hardware-Aware Neural Architecture Search for Encrypted Traffic Classification on Resource-Constrained Devices
[IEEE] 2026-2-20 | HRADP: A Heat-Recirculation-Aware Data Placement Approach for Energy-Efficient Cloud Data Centers
[IEEE] 2026-2-20 | Multi-Modal Environment Semantics Information Aided UAV Beam Alignment
[IEEE] 2026-2-20 | Temporally-Similar Structure-Aware Spatiotemporal Fusion of Satellite Images
[IEEE] 2026-2-20 | ScalCom 2025 Organizing Committee
[IEEE] 2026-2-20 | Message from SWC 2025 Steering Chairs
[IEEE] 2026-2-20 | A Method for Identifying the Source of Second Traveling Wave Under Breakage Fault in Non-Bounded VSC-HVDC Grid with New Energy Access
[IEEE] 2026-2-20 | Research on the Abnormality of Single-Phase Grounding of 66 kV System and the Abnormality of Coupling Voltage of the Same Tower Double-Loop Line
[IEEE] 2026-2-20 | Dynamic Music Recommender Based on User Mood and Affect Using Machine Learning
[IEEE] 2026-2-20 | Improve Smart Surveillance Systems with Convolutional Neural Networks (CNNs): Integrate Fog Computing and IoT for Real-Time Threat Detection and Response
[IEEE] 2026-2-20 | Fast Moving System Warning for Two Wheelers
[IEEE] 2026-2-20 | Design of Miniaturized 3.8-GHz Shorted Patch Antenna for Sub-6 GHz 5G Applications
[IEEE] 2026-2-20 | Smart Glasses for the Blind: A Real-Time AI-Odriven Wearable System for Autonomous Navigation
[IEEE] 2026-2-20 | Design and Simulation of a Basic IoT Network Using MQTT and CoAP Protocols
[IEEE] 2026-2-20 | A Gate Signal Feedback Method for Dynamic Delay Estimation and Dead Time Correction in Parallel GaN MOSFETs
[IEEE] 2026-2-20 | Effective Security Administration Interface in 6G Using Virtual and Immersive Reality
[IEEE] 2026-2-20 | Post Quantum Secure Framework for IoT Based EV Battery Swapping Stations in Sustainable Transport Networks
[IEEE] 2026-2-20 | AG-MPBS: a Mobility-Aware Prediction and Behavior-Based Scheduling Framework for Air-Ground Unmanned Systems
[IEEE] 2026-2-20 | A DC Bias Suppression Strategy of Three Phase DAB-LLC DC Converter
[IEEE] 2026-2-20 | AI-Powered Plant Disease Detection System Using CNN for Precision Agriculture -Geospatial Data
[IEEE] 2026-2-20 | Synthesis of Inverse Optimal Regulator for Uncertain Neutral Time-Delay Systems
[IEEE] 2026-2-20 | A Method for Medium and Long-term Power Generation Assessment of Offshore Wind Power Based on AE-GRU Considering Volatility and Extreme Weather Effects
[IEEE] 2026-2-20 | AI Augmented IoT Framework for Precision Coal Wagon Loading Using STM32 and Cloud Based Weight Control
[IEEE] 2026-2-20 | Simulating a ZPD-based Knowledge Tracing Model for Enhanced Adaptive Practicing
[IEEE] 2026-2-20 | A Systematic Evaluation of Non-IID Estimation Methods in Federated Learning
[IEEE] 2026-2-20 | SolarSalt: Phase-Change Sodium-Based Battery for 24/7 Renewable Energy Storage
[IEEE] 2026-2-20 | Analysis of Micro-Sized THz Graphene and Copper Antennas Implemented in 6G and Counterterrorism Armaments
[IEEE] 2026-2-20 | Hybrid Algorithm for CFAR Detection in Non-Homogeneous Environments
[IEEE] 2026-2-20 | Understanding the Effect of Measurement Noise in Fast Pulse-Based Impedance Spectroscopy
[IEEE] 2026-2-20 | Web-Based Flood Management System Enhancing Monitoring and Mitigation
[IEEE] 2026-2-20 | Lyapunov-Based Reward Function Design for Reinforcement Learning Control of Grid-Connected Multilevel Inverters: A PUC5 Case Study
[IEEE] 2026-2-20 | A Cloud-Based Generative AI Architecture for Integrated Multimodal Content Analysis and Automated Documentation
[IEEE] 2026-2-20 | FPGA-Based Real-Time Vehicle Monitoring System Using Licence Plate Detection
[IEEE] 2026-2-20 | 2D Vibration-Damped Transfer of a 1DOF Overhead Traveling Crane Under Open-Loop Finite-Time Settling Control Using Half-Odd-Integer Trigonometric Functions with Two-Step Acceleration/Deceleration
[IEEE] 2026-2-20 | Soft Computing Solutions for Efficient Fault Detection in Transmission Lines
[IEEE] 2026-2-20 | PPG To ECG Conversion Device
[IEEE] 2026-2-20 | Comparative Analysis of Optimization Algorithms for Deep Learning-Based Medical Image Classification
[IEEE] 2026-2-20 | IoT-Based Emergency Tracking System for Women Safety with Real-Time Location Alerts and Panic Button Activation
[IEEE] 2026-2-20 | Fuzzy Logic Controller based Torque Ripple Minimization in Tesla Cybertruck’s PMSM Drive
[IEEE] 2026-2-20 | LSTM &amp; Transfer Learning for Stock Market Bitcoin Price Prediction: An AI-Driven Channel Estimation and Prediction
[IEEE] 2026-2-20 | A Novel Soft Deep Learning Technique to Enhance Fashion Image Retrieval from Text Query
[IEEE] 2026-2-20 | Review of Deep Learning and Explainable AI Approaches for Skin Cancer Detection in Embedded Biomedical Systems
[IEEE] 2026-2-20 | Machine Learning in Safety-Critical Applications: Beyond Traditional Worst-Case Design
[IEEE] 2026-2-20 | Considering Safety Boundary Mapping and Safety-Economy Optimization of the Electricity-Hydrogen-Ammonia-Methanol Integrated Energy System
[IEEE] 2026-2-20 | The Computational Kosmoplex: A Principia for Engineers in the Age of AI
[IEEE] 2026-2-20 | Synergistic Automation of Helpdesk Incident Management in Supply Chain Platforms via Contextual Vector Retrieval
[IEEE] 2026-2-20 | A Comprehensive Review on Multilevel PFC Rectifier Topologies for EV Applications
[IEEE] 2026-2-20 | A Prediction Method for Lithium Battery Charging and Discharging Curves based on the Battery Physical Model
[IEEE] 2026-2-20 | Blockchain-Federated Learning Framework for Secure and Privacy-Aware IoT-Enabled Wireless Sensor Networks in Smart Cities
[IEEE] 2026-2-20 | A Review and Comparison of Virtual Impedance and Virtual Frame Method in Microgrid Systems
[IEEE] 2026-2-20 | The Impact of Influencer Marketing on Brand Authenticity in Digital Campaigns
[IEEE] 2026-2-20 | Performance Analysis of Cluster-Based Routing Protocols under Propagation and Mobility Variants in Wireless Sensor Networks
[IEEE] 2026-2-20 | Improved Plant Disease Recognition Using MobileNet and Regularization Techniques
[IEEE] 2026-2-20 | Robust and Transparent IoT Anomaly Detection via Feature Selection and Explainable Machine Learning
[IEEE] 2026-2-20 | An Efficient IoT Security Prediction Framework
[IEEE] 2026-2-20 | Dispatch of Electricity-Hydrogen-Ammonia-Methanol Integrated Energy System Based on Constrained Diffusion Actor-Critic with Entropy Regulator
[ACM] 2026-2-20 | E-Democracy or E-Disillusionment? Digital Participation and the Crisis of Trust in the Balkans and Eastern Europe
[ACM] 2026-2-20 | Lost in Translation: How Hungarian Media Framed Netflix's Adolescence and Failed to Promote Awareness on Cyberbullying
[ACM] 2026-2-20 | The Power and Pitfalls of Scarcity Messaging in Online Travel Booking
[IEEE] 2026-2-20 | Transfer learning with U-Swin transformer for adaptive ground roll attenuation in seismic records from Sabkha environments
[IEEE] 2026-2-20 | Solving Multi-Depots Pickup and Delivery Problem Based on Heterogeneous Collaborative Multi-Attention Mechanism
[IEEE] 2026-2-20 | Flying in Clutter on Monocular RGB by Learning in 3D Radiance Fields with Domain Adaptation_supp1-3666383.mp4
[IEEE] 2026-2-20 | Non-invasive and ultrasensitive glucose detection via electrolyte-gated IGZO thin-film transistors_supp1-3661008.docx
[IEEE] 2026-2-20 | Table of Contents
[IEEE] 2026-2-20 | Title Page
[IEEE] 2026-2-20 | 2025 IEEE International Microwave and Antenna Symposium (IMAS)
[IEEE] 2026-2-20 | Reviewers
[IEEE] 2026-2-20 | Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning
[IEEE] 2026-2-20 | Dual Representations and $H_{\infty }$-Optimal Control of Partial Differential Equations
[IEEE] 2026-2-21 | IEEE Collabratec
[IEEE] 2026-2-21 | Radiation Total Dose for PRIMA: Cold Exposure with Alpha Particles
[ACM] 2026-2-20 | Breathing Space: Spatial Mapping of Breath and Cardiac Biofeedback for Affective State Representation and Coherence Training in Viscereality
[IEEE] 2026-2-20 | Evolution of the CTMM model in the university context supported by AI_supp1-3666426.pdf
[IEEE] 2026-2-20 | Multi-Period Multi-Depot Vehicle Routing Problem for Mobile Center-based Last Mile Delivery
[IEEE] 2026-2-20 | In-Orbit Thruster Calibration Methods for Satellite Attitude Determination and Control
[IEEE] 2026-2-20 | Dynamic Precision-Tunable Multiplier For Image Processing Applications
[IEEE] 2026-2-20 | Innovative Hybrid Deep Learning for Precise Spatiotemporal Analysis of Oral Diseases
[IEEE] 2026-2-20 | Impact of Digital Human Resource Management on Organizational Efficiency from AI perspective
[IEEE] 2026-2-20 | Privacy-enhanced and Time-efficient Human Activity Recognition using Decentralized Federated Learning
[IEEE] 2026-2-20 | Perceiving Generative AI in Teacher Practice: A Design-Based Case Study in a Graduate Course
[IEEE] 2026-2-20 | A Review on Disease Prediction in Plants and Fertilizer Recommendation Using CNN &amp; LSTM
[IEEE] 2026-2-20 | Multilevel Inverters for Electric Vehicle Applications: Recent Trends and Technological Advancements
[IEEE] 2026-2-20 | Wi-Flow: Multimodal Human Action Recognition Based on Dynamic Features in WiFi CSI and Optical Flow
[IEEE] 2026-2-20 | Enhanced APT Attack Detection Using Convolutional Neural Networks and Deep Learning Models
[IEEE] 2026-2-20 | Edge Computing for Real-Time Process Optimisation in Factories
[IEEE] 2026-2-20 | Cardiovascular Disease Prediction Using SHAP-Based Feature Selection and PSO-Optimized XGBoost
[IEEE] 2026-2-20 | Comprehensive Review of Reactive Power Challenges in Distribution Systems and Advanced Mitigation Strategies
[IEEE] 2026-2-20 | Accessible Communication through Object Detection: A Deep Learning Model for Differently Abled People
[IEEE] 2026-2-20 | A Systematic Review of Artificial Intelligence Applications in Alzheimer’s Disease: Advances and Research Gaps in Latin America
[IEEE] 2026-2-20 | Compact Three-Stage SIW Bandpass Filter Based on Circular CSRRs for 4.7 GHz Wireless Systems
[IEEE] 2026-2-20 | A Power Transformer Condition Assessment Method Based on Multi-Source Information Fusion
[IEEE] 2026-2-20 | Edge AI based Real -Time Classification of Underwater Target in Images using YOLO Deep Learning Algorithm
[IEEE] 2026-2-20 | The Influence of Space-Time Geometrical Channel Models on Spatial Data Focusing
[IEEE] 2026-2-20 | A Novel Distribution System State Estimation Framework for Non-Gaussian Measurement Noise
[IEEE] 2026-2-20 | Variable Voltage Strategy for Minimum Current Operation in the Flux Weakeing Region of DI-WRIM Drive
[IEEE] 2026-2-20 | Adaptive Edge AI Orchestrator for Real Time Data Analysis and Process Control in Manufacturing Lines
[IEEE] 2026-2-20 | Towards Efficient Power Control in Fuel Cell Electric Vehicles with Braking Energy Recovery
[IEEE] 2026-2-20 | IoT and AI for Real-Time Monitoring in Substation Automation
[IEEE] 2026-2-20 | Twitter Sentiment Mining for Marketing Decision-Making in Blockchain-Based Digital Assets
[IEEE] 2026-2-20 | UniRisk-PCa: A Federated Self-Training Multimodal Spatio-Radiomic Network for the Prediction of Prostate Cancer Risk
[IEEE] 2026-2-20 | Multiagent Reinforcement Learning for Coordinated Cyber Defense Against Advanced Persistent Threats
[IEEE] 2026-2-20 | Analytical Model for the Early Detection of Undersea Seismic Activity – A Tsunami Precursor
[IEEE] 2026-2-20 | Machine Learning and Deep Learning Approaches for Stroke Classification Using Multi-Muscle Upper Limb EMG Features Across Functional Reaching Tasks
[IEEE] 2026-2-20 | Cyber Risk Prediction and Management Using Random Forest-Based Risk Scoring Models
[IEEE] 2026-2-20 | Low-SAR MIMO Antenna with High-Isolation High-Efficiency for Smartphones
[IEEE] 2026-2-20 | Robust Normal-Gamma Distribution Based Kalman Filter For MEMS/UWB Indoor Localization in the NLOS Scenario
[IEEE] 2026-2-20 | Reconstructing CT Scan Images with SADNN: A Promising Approach for Medical Imaging
[IEEE] 2026-2-20 | Hybrid LSTM–Random Forest Model for Forecasting Lettuce Leaf Growth in Hydroponic Systems During the Rainy Season
[IEEE] 2026-2-20 | SolarPredict: A Lightweight Machine Learning Model for Hourly Rooftop Solar Energy Forecasting Using Weather and Temporal Features
[IEEE] 2026-2-20 | Development of Secure-by-Design RISC-V Architectures with Embedded Hardware Roots-of-Trust for Next-Generation Smart Devices
[IEEE] 2026-2-20 | An Interpretable Sparse Fourier-Based Convolutional Neural Network (SpFFT-CNN) for Eccentricity Faults Classification
[IEEE] 2026-2-20 | A Delta-Operator-Based Decoupled Periodic Output Feedback Control for Multivariable Systems
[IEEE] 2026-2-20 | LanPerAct: A Framework for Language-Driven Perception and Robotic Manipulation
[IEEE] 2026-2-20 | Real-Time Micro-Stress Detection for Remote Managers Using AI
[IEEE] 2026-2-20 | An Ensemble Stacking Approach for Reliable Type 1 Diabetes Prediction
[IEEE] 2026-2-20 | Development of a cost-effective and user-friendly skin potential acquisition module for emotion detection
[IEEE] 2026-2-20 | Towards Reliable Microgrids: Investigation and Mitigation of Power Quality Disturbances
[IEEE] 2026-2-20 | A Low-Carbon Planning and Configuration Method for Electricity-Hydrogen-Methanol-Ammonia Multi-Energy System Considering Full Life-Cycle Assessment
[IEEE] 2026-2-20 | Modulation Doping Techniques for AlGaAs/GaAs HEMTs: a Comparative Analysis
[IEEE] 2026-2-20 | Intelligent Diagnosis Method for High-Voltage Transmission Line Short-Circuit Faults Based on Fault Feature Identification and Case-Based Reasoning
[IEEE] 2026-2-20 | LLM PhishGuard: A GPT-3.5–Driven Framework with Heuristics, VirusTotal Reputation, and OCR for SME Email Security
[IEEE] 2026-2-20 | Enhancing Underwater Sonar Target Recognition using Non-linear Wavelet Transforms
[IEEE] 2026-2-20 | Multimodal Deepfake Detection: A Scalable AI Pipeline Combining Audio-Visual Analysis
[IEEE] 2026-2-20 | Hybrid Deep Learning Framework for PCOS Detection Using MobileNetV2 and Clinical Features
[IEEE] 2026-2-20 | Miniature Flexible Dualband Antenna for 5G NR Applications
[IEEE] 2026-2-20 | Direct hybridization of fuel cells with batteries for urban and suburban transport: a small-scale study
[IEEE] 2026-2-20 | Financial Performance Evaluation: Comparing Islamic and Conventional Banks Between 2013-2022
[IEEE] 2026-2-20 | The End of Pretraining for Large Language Models: The Future of Agentic and AI Reasoning Beyond Peak Data
[IEEE] 2026-2-20 | In Memoriam: George E. Smith (1930–2025) [Obituary]
[IEEE] 2026-2-20 | SYMPOL 2025 Ad Page
[IEEE] 2026-2-20 | Table of Contents
[IEEE] 2026-2-20 | On Informative State Vectors for Discrete Dynamic Estimation in Switched Systems Using the Model-Based Minimum Distance Method
[IEEE] 2026-2-20 | Tensorial Multi-view Clustering via Alternative Rank Minimization and Inter-view Alignment
[IEEE] 2026-2-20 | IEEE Transactions on Computer
[IEEE] 2026-2-20 | Performance Degradation and Reliability of 4H-SiC MOSFETs at Extreme Low Temperatures
[IEEE] 2026-2-20 | RTCache: An Efficient Remapping Table Cache for NVM Wear-Leveling
[IEEE] 2026-2-20 | Error Bounds for Radial Network Topology Learning from Quantized Measurements
[IEEE] 2026-2-20 | Toward Realism: Sparse Matrix Statistics in the North American and Synthetic Electric Grid Models
[IEEE] 2026-2-20 | Multimode Composite Continuum Robot: Coupled Static Modeling and Verification
[IEEE] 2026-2-20 | Synchronous Vibration Suppression for Active Magnetic Bearing Systems With Induced Current and Stiffness Variation
[IEEE] 2026-2-20 | Copyright Page
[IEEE] 2026-2-20 | A SPICE Simulation Study of Stacked Inverters and Transistors Type D Flip-Flop Designs with 16-nm CMOS Technology
[IEEE] 2026-2-20 | Blockchain-Based Self-Sovereign Identity for Digital Security
[IEEE] 2026-2-20 | Predictive Modeling of BPSK Bit Recovery Using Machine Learning in Underwater Acoustic Communication
[IEEE] 2026-2-20 | Online state of charge estimation of supercapacitor considering uncertain bias compensation
[IEEE] 2026-2-20 | Research on Collaborative Scheduling Strategy for Electric Vehicle Charging Stations Based on Spatiotemporal Demand Gradient
[IEEE] 2026-2-20 | Feasibility Study of a DC Networking and Transmission Scheme for Large-scale Wind Power Bases
[IEEE] 2026-2-20 | Integration of Gaussian Plume Dispersion Modeling and UAV Monitoring for Power Plant Carbon Emission Inversion
[IEEE] 2026-2-20 | Life Prediction of Hydrogen Fuel Cells Based on Particle Filter Optimized by Grey Wolf Optimizer
[IEEE] 2026-2-20 | A Practical Optimization Framework for Joint Sizing and Speed Planning of Electric Tractors
[IEEE] 2026-2-20 | Android Malware Classification based on Image Feature Extraction using CNN and LightGBM
[IEEE] 2026-2-20 | Distributed Bias Equalization Double Layer Control Algorithm for Multi Flywheel Energy Storage Matrix After Primary Frequency Modulation
[IEEE] 2026-2-20 | Hybrid Energy System Performance Enhancement by Implementing Artificial Bee Colony Optimization
[IEEE] 2026-2-20 | AI and Big Data for Optimizing Indonesia’s Oil Trade Balance
[IEEE] 2026-2-20 | Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid
[IEEE] 2026-2-20 | Microgrid Planning with Enhanced EV Hosting Using Marine Predators Optimization Algorithm
[IEEE] 2026-2-20 | Leveraging Deep Learning for High-Accuracy Eye Disease Detection and Severity Classification
[IEEE] 2026-2-20 | Stability Evaluation of Offshore Wind Power Transmission Systems Based on the Improved Multi-Infeed Short-Circuit Ratio
[IEEE] 2026-2-20 | Double-Integral Sliding-Mode Control for DAB Converters in V2V Energy Sharing
[IEEE] 2026-2-20 | Review of Microgrid Optimal Scheduling Research: Models, Methods and Prospects
[IEEE] 2026-2-20 | Mid- to Long-Term Probabilistic Photovoltaic Power Forecasting Method for Plateau Regions Based on MTL-CNN-LSTM
