[2026-08-10 22:36:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-09
正在获取论文...
[IEEE] 2026-8-10 | 190VPP High-Voltage Capacitive Piezoelectric Ceramic Drive Circuit Design
[IEEE] 2026-8-10 | Efficient Modeling of RF Transmitters Integrating Physics-Based Feature Engineering and Deep Learning
[IEEE] 2026-8-10 | Consensus-Driven Distillation for Trustworthy Explanations in Self-Interpretable GNNs
[IEEE] 2026-8-10 | Fine-Grained Semantic-Guided Image Super-Resolution
[IEEE] 2026-8-10 | Design and Implementation of a Cloud-Based Remote Monitoring and Prediction System for Greenhouse Environments
[ACM] 2026-8-10 | BB-CIM: A Back-Bias Tuned Analog Compute In-Memory in 22nm FD-SOI for Improved Power-efficiency
[ACM] 2026-8-10 | Nest: Adaptive Tree-Graph Vector Database for Energy-Constrained Edge Devices
[ACM] 2026-8-10 | Exploiting Data Truncation for Lifetime Extension in ORB Accelerators
[IEEE] 2026-8-10 | Vertical GaN Trench MOSFET at Cryogenic Temperatures: Interface Engineering and Physics-Based Modeling
[IEEE] 2026-8-10 | Simulation and Characterization of Cooled Silicon Bolometers for the B-BOP SPICA Polarimetric Camera Instrument
[IEEE] 2026-8-10 | Table of Contents
[IEEE] 2026-8-10 | DACT: A Dual-Attention Encoder with Calendar Tokens for Microgrid Load and Import Forecasting
[IEEE] 2026-8-10 | A Coverage Path Planning Algorithm Intergrated with Reinforcement Learning
[IEEE] 2026-8-10 | HGKAN: Hypergraph Kolmogorov-Arnold Networks for Interpretable Prediction of Herb–Symptom Associations
[IEEE] 2026-8-10 | Research and design of multimodal data-driven AI Intelligent diagnosis system for tongue diagnosis of traditional Chinese Medicine
[IEEE] 2026-8-10 | A Method for Automatic Recommendation of AI Course Inquiry Templates on the Power Grid PC Platform Based on Multimodal Semantic Parsing
[IEEE] 2026-8-10 | Designing an Optimized Metaverse for Immersive Johor Cultural Heritage Tourism
[IEEE] 2026-8-10 | An Adaptive VMD Method for Single-Channel Underdetermined Blind Source Separation Guided by K-Means Clustering
[IEEE] 2026-8-10 | Scan-Specific Hash-Based Parallel MRI Reconstruction Network
[IEEE] 2026-8-10 | High Frame Rate iToF-Flow-Based Depth Imaging Enabled by Local Linear Transfer
[IEEE] 2026-8-10 | CPAD: Cross-Modal Physics-Aware Disentanglement for Robust Acoustic Sensing in Gesture Recognition
[IEEE] 2026-8-10 | Drone Sound Source Localization Using Distributed Microphone Arrays
[IEEE] 2026-8-10 | Data Augmentation and Vision-Language Pre-trained Model Transfer for Data-Scarce Disaster Scene Image Classification
[IEEE] 2026-8-10 | Real-Time Water-Surface Floating Object Detection on RV1126
[IEEE] 2026-8-10 | A fault detection and location method for HVDC transmission lines based on distributed multi-pulse sources
[IEEE] 2026-8-10 | Simultaneous State and ZMP Tracking Model Predictive Control for Balanced Quadrupedal Gaits
[IEEE] 2026-8-10 | Research on vehicle safety early warning technology in intelligent transportation system
[IEEE] 2026-8-10 | Geo-Distributed Workload Scheduling of Cloud Data Centers through Consensus-Based Asynchronous Decentralized Algorithm_supp1-3721771.pdf
[IEEE] 2026-8-10 | A Data-Driven State-Derivative-Aware Neural Controlled Differential Equation Framework for Multi-Sensor Bearing Fault Diagnosis
[IEEE] 2026-8-10 | PGFDepth: Prompt-guided Gated Fusion for Robust Depth Estimation
[ACM] 2026-8-10 | Open Challenges for Secure and Scalable Wi-Fi Connectivity in Rural Areas
[IEEE] 2026-8-10 | GCR-RL: Gradient Control Reward Shaping for Reinforcement Learning
[IEEE] 2026-8-10 | Methodology and Case Study of Energy Efficiency Retrofit Measurement and Verification (M&amp;V) for Data Centers Based on Standard Framework
[IEEE] 2026-8-10 | Physics-Guided FE Surrogate CDNN with Grouped Attention and Monotonicity Constraints for Solder Joint Thermal Fatigue Life Prediction
[IEEE] 2026-8-10 | An Alternating Iterative Optimization Method for Sparse Arrays in Distributed Arrays
[IEEE] 2026-8-10 | A Model Predictive PI Control Strategy for CC/CV Charging in a LCC-LCC Compensated EV Static Wireless Power Transfer System
[IEEE] 2026-8-10 | On Asynchronous Bipartite Consensus Over Quasi-Structurally Balanced Signed Networks
[IEEE] 2026-8-10 | Copyright Page
[IEEE] 2026-8-10 | Real-Time Traffic Data Acquisition, Transmission, and Visualization Test System Based on Physical-Virtual Integration
[IEEE] 2026-8-10 | Conditional Denoising Diffusion Probabilistic Models for Indoor Scene Generation: A Comparative Study on the Habitat Dataset
[IEEE] 2026-8-10 | Query Optimization: Lightweight Reinforcement Learning for SQL Join Optimization
[IEEE] 2026-8-10 | Zero-Output Temperature Compensation Method for a MEMS Electric-Field Sensor Based on GA-LSSVM
[IEEE] 2026-8-10 | ML approach for predicting the properties of ceramic products
[IEEE] 2026-8-10 | Understanding the Behavioral Intention of Generative AI among Art and Design Students: An Integrated Framework of Self-Determination Theory and Technology Acceptance Model
[IEEE] 2026-8-10 | p-Type Sensing in Sulfur-Doped SnO
                    <sub>2</sub>
                    Quantum Dot Films for Sensitive and Selective NH
                    <sub>3</sub>
                    Detection at Room Temperature
[ACM] 2026-8-10 | From Trust to Lock-In: Human-Centered AI for Understanding Investment Fraud Narratives in Indian Digital Communities
[IEEE] 2026-8-10 | Lifecycle Energy Reduction for Spatio Temporal GNNs via Sparse Aware Training and Continual Learning
[IEEE] 2026-8-10 | An Adaptive Dead-Time Control Strategy for Soft-Switching Three-Phase Inverter Based on SiC MOSFET Turn-Off Transient Model
[IEEE] 2026-8-10 | A Knowledge Distillation Framework for Edge-Aware Optimization of Intelligent Data
[IEEE] 2026-8-10 | Research on Industrial Weld Defect Detection Based on EfficientNetB0 and Spatial Attention Mechanism
[IEEE] 2026-8-10 | Self-Supervised Hybrid Vision Transformer with Adaptive Token Selection for Early Lung and Colon Cancer Detection
[IEEE] 2026-8-10 | TinyCAN-LLM: A Lightweight Language Model Framework for CAN Bus Intrusion Detection in Internet of Vehicles
[IEEE] 2026-8-10 | Lightweight Convolutional Neural Networks for Wheat Disease Detection and Classification: A Review and Comparative Study from Field to Storage
[IEEE] 2026-8-10 | Intellectual Smart Hybrid AI System for Real-Time Threat Intelligence in the Internet
[IEEE] 2026-8-10 | A DSL-Based Agent Framework for Reliable LLM Arithmetic using Model Context Protocol
[IEEE] 2026-8-10 | Federated Learning Computational Cost Analysis
[IEEE] 2026-8-10 | Automated Heuristic Generation with Large Language Models for 3D UAV Inspection Routing
[IEEE] 2026-8-10 | Non-Reciprocal RIS-Aided Self-Interference Cancellation in Full-Duplex Communications
[IEEE] 2026-8-10 | DCE: Dual Clustering for Temporal Heterogeneity and Channel Correlation in Multivariate Time Series Forecasting
[IEEE] 2026-8-10 | Free Component Analysis-Based Non-Invasive Power Decomposition for Enhanced Grid Situation Awareness
[IEEE] 2026-8-10 | TGFS-YOLONet: Frequency–Spatial Dual-Enhancement Network for Tea Geometrid Detection in Complex Tea Plantation Backgrounds
[IEEE] 2026-8-10 | Adapting FlexLLMGen to Qwen3 Dense and Mixture-of-Experts Models
[IEEE] 2026-8-10 | Steering Committee
[IEEE] 2026-8-10 | Data-Driven Collaborative Perception and Predictive Control for Humanoid Robot Swarms in Unstructured Environments
[IEEE] 2026-8-10 | A Study on the Optimization of the XGBoost Model for Short-Term Traffic Flow Forecasting
[IEEE] 2026-8-10 | Event-Triggered Output Feedback Lyapunov-Based Distributed Model Predictive Control for Large-Scale Nonlinear Systems
[IEEE] 2026-8-10 | An Optimal Configuration Method of the Hybrid Energy Storage System for Zero-Carbon Power Systems Based on Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-8-10 | Pathfinder: Efficient Snow Depth, Stratigraphy and Uncertainty Determination From Radar Measurements
[IEEE] 2026-8-10 | Bidirectional Resonance Wireless Power Transfer Module for Portable Devices
[IEEE] 2026-8-10 | Towards Breathable Distributed Systems: An Architecture for Cross-Platform Task Migration
[IEEE] 2026-8-10 | AI-Assisted Radio-Frequency and mm-Wave Layout Using Electromagnetic Surrogates and Frequency-Adaptive Rules
[IEEE] 2026-8-10 | A multi-modal missing bearing fault diagnosis method based on missing proxy and multi-constraint learning
[IEEE] 2026-8-10 | Gain Improvement of Antenna-Radome System Based on Phase Compensation Scheme Using Transmissive Metasurface
[IEEE] 2026-8-10 | Industrial Big Data-Oriented Missing-Aware Intelligent Fault Diagnosis Under Incomplete Vibration Signals
[IEEE] 2026-8-10 | Distilling Domain Knowledge into Smaller LLMs using RAG-Assisted Fine-Tuning
[IEEE] 2026-8-10 | Extending the Linear Modulation Range of a Nine-Level Inverter Drive Fed From a Quasi-Square Wave Inverter and a Switched Capacitor Sourced Inverter From the Other End as a Harmonic Filter
[IEEE] 2026-8-10 | YOLOv11s-ARC: A Lightweight Detector for Insulators and Anomalies on Transmission Lines
[IEEE] 2026-8-10 | Derivative-Free Emergent Optimization via Local Rules and Cellular Automata
[IEEE] 2026-8-10 | Skeleton-Based Action Recognition for Complex Dance Motion Using Graph Neural Networks
[IEEE] 2026-8-10 | Single-Phase Power Electronics Transformer with Wide Input Range Voltage Regulation and High Power Density Capability
[IEEE] 2026-8-10 | Explainability-Driven Decision Gating for Risk-Controlled Algorithmic Trading
[ACM] 2026-8-10 | Vector-Space Projection and Unified Complex-Valued Acceleration for Scaling Matrix-Based Brain-Inspired Representations
[IEEE] 2026-8-10 | Design of an 80-Channel High-Precision Frequency Meter Based on FPGA Quadrature Phase Interpolation
[IEEE] 2026-8-10 | Knowledge Distillation and Improved ViT Based Disease Recognition of Apple Leaf
[IEEE] 2026-8-10 | TriPST-Net: Phase-Aware Lightweight Tri-Branch Spatio-Temporal Graph Neural Networks for Traffic Sequence Forecasting
[ACM] 2026-8-10 | Demo Abstract: An Energy-Efficient Crossbar-Free Oscillatory Neural Network Accelerator for Near-Sensor Edge AI
[IEEE] 2026-8-10 | Low-Profile Circularly Polarized Dielectric Patch Antenna and Array for Millimeter-Wave Bands
[IEEE] 2026-8-10 | MoneyQuest: A Gamified Life-Scale Personal Finance Platform with AI Driven Coaching and Embedded Tax Compliance
[IEEE] 2026-8-10 | Alert: An Augmented Reality Intelligent Learning System for Environmental Robotics Education
[IEEE] 2026-8-10 | Guest Editorial: T-ED Special Issue on Reliability of Advanced Nodes
[IEEE] 2026-8-10 | IEEE Open Access Publishing
[IEEE] 2026-8-10 | Three-Dimensional Surrogate Modeling and Extrapolation Based on Physics-Aware Machine Learning
[IEEE] 2026-8-10 | DeepBSS++: A Hybrid Framework Integrating Transfer Learning, Spatiotemporal Transformers, and Graph Neural Networks for Blind Source Separation of Electroencephalogram Signals
[IEEE] 2026-8-10 | EDRIC: Embracing 1D Autoencoder for Real-time Lossy LiDAR Reflectance Compression_supp1-3719469.pdf
[IEEE] 2026-8-10 | Compact High Turns Ratio Superconducting Transformer: Comparison between Cu and REBCO winding materials
[IEEE] 2026-8-10 | Slant-Precoded OTFS-Like Waveform for PAPR Reduction under Affine Doppler Drift
[IEEE] 2026-8-10 | Quantitative synthetic aperture radar inversion
[ACM] 2026-8-10 | Steering AI Tutors Through System Prompts: A Crossover Study on Self-Regulated Learning and Cognitive Engagement Scaffolds in CS1
[ACM] 2026-8-10 | Recursion vs Iteration: Activity-Sensitive differences across Use–Modify–Create Tasks in CS1
[ACM] 2026-8-10 | The Impact of Introducing a Computer Science Course in Flemish Secondary Education on the Prior Programming Knowledge of Engineering Students
[IEEE] 2026-8-10 | Design and Implementation of a PD Controller on an STM32 Microcontroller for a Dual-Rotor Thrust-Balancing Platform
[IEEE] 2026-8-10 | Fronthaul Compression and RIS Beamforming Design for Cloud-RAN: Active RIS vs. Passive RIS
[IEEE] 2026-8-10 | Task-Oriented Intelligent Bundle Protocol in Large-Scale Heterogeneous Satellite Networks: A Large Language Model Approach
[IEEE] 2026-8-10 | Research on Initial Alignment of Maritime Ships Based on Active Disturbance Rejection Control Technology
[IEEE] 2026-8-10 | Message from the Program Chairs
[IEEE] 2026-8-10 | Rapidity and Stability Control Strategy of PMSM Based on a Novel B-ADRC
[IEEE] 2026-8-10 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework
[IEEE] 2026-8-10 | AESS Engineering_Scholarship Recipients
[IEEE] 2026-8-10 | IEEE Open Access Publishing
[IEEE] 2026-8-10 | Development of an In-Situ Permanent Magnet Switching System for Ferrofluid Robot Locomotion and Deformation Control_supp2-3715362.mp4
[IEEE] 2026-8-10 | On the Low-Frequency Limit of Widescreen Aperture Compact Range
[IEEE] 2026-8-10 | A Novel Highly Selectivity Full-Frequency Protection Ultra-Wideband Polarization, Frequency, and Energy Selectivity Integrated Surface
[IEEE] 2026-8-10 | Energy Efficiency of SIMD-Vectorized Li-ion Battery Cluster Simulation on a Hybrid-Core CPU
[IEEE] 2026-8-10 | Multi-Terminal Secure Transmission Method for Due Diligence Data Based on the Present Block Cipher
[IEEE] 2026-8-10 | Sparsity-and-Variance Driven Neural Network Algorithm for Large-scale Task Scheduling
[IEEE] 2026-8-10 | Reusable Battery-Free Hand Warming Gloves Based on Exothermic Crystallisation
[IEEE] 2026-8-10 | Low-cost closed-loop speed control for a Coreless motor using MT6816 magnetic encoder
[IEEE] 2026-8-10 | Direct Position Determination Algorithm Based on Matrix Reconstruction for Decorrelation
[IEEE] 2026-8-10 | Research on Non-Interruption Ice Melting Method for Distribution Network Based on Heat-Resistant Conductors
[IEEE] 2026-8-10 | YOLOv8s with Deep-Stage Multi-Head Self-Attention and Bayesian Optimization for Caries Localization in Periapical Radiographs
[IEEE] 2026-8-10 | Kernel Based Grid Search SVM in FO Integrated Medical Devices for Maintenance in Hospital
[IEEE] 2026-8-10 | Blank Page
[IEEE] 2026-8-10 | Characterizing Functions of Pseudo-$n$-Uninorms with Continuous Underlying Functions
[IEEE] 2026-8-10 | Guest Editorial: Introducton to the 2025 EMBC Special Issue of the IEEE Transactions on Biomedical Engineering
[IEEE] 2026-8-10 | A Hybrid Deep Learning and Forensic Feature Analysis Framework for Automated Currency Authentication
[IEEE] 2026-8-10 | Resource Allocation in Multi-Fog/Cloud Systems Using Reinforcement Learning
[IEEE] 2026-8-10 | In-Vehicle OTA Systems: Update Schemes, and Recall Analysis Under Evolving E/E Architectures
[IEEE] 2026-8-10 | Stacking Ensemble Network Intrusion Detection Model Based on 1D-CNN and Attention Mechanism
[IEEE] 2026-8-10 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization
[IEEE] 2026-8-10 | Observer-Based Adaptive Estimation for Time Delay Hyperbolic PDE Systems With Application to Traffic Dynamics
[IEEE] 2026-8-10 | Adaptive Task Scheduling for Edge Large Language Models Based on Multi-Source Sensing Context
[IEEE] 2026-8-10 | Fuzzy C-Means Based Dropout Layer for Deep Neural Networks
[IEEE] 2026-8-10 | Comparative Study on NBIS Reliability of Top-Gate a-IGZO TFTs with Different Gate Insulator Processes
[IEEE] 2026-8-10 | Hierarchical Intent-Aware Shared Control for RCM-Constrained Surgical Robot Manipulation
[IEEE] 2026-8-10 | From Pneumonia to Multi-Disease: Interpretable and Uncertainty-Aware Semi-Supervised Learning Strategies for Chest X-Ray Classification
[IEEE] 2026-8-10 | Automated Image Restoration via Blind PnP-ADMM and Structural-Weighted Residual Refinement
[IEEE] 2026-8-10 | A lightweight Vision Transformer with enhanced Background Suppression for GPR-Based Pavement Interlayer Distress classification
[IEEE] 2026-8-10 | Research on Planning Layout of Phase Modification Retrofit for Thermal Power Units and Power Grid Stability Improvement
[IEEE] 2026-8-10 | ICBDSE 2026 Cover Page
[IEEE] 2026-8-10 | EMG-based personalization of robotic ankle-foot orthosis assistance using Human-in-the-Loop optimization during squatting
[IEEE] 2026-8-10 | CARE: A Calibration-Aware Framework for Cyberbullying Detection Under Distribution Shift
[IEEE] 2026-8-10 | Data-Driven Visual Perception and Trajectory Planning for AprilTag-Based Precision Landing of eVTOL Aircraft
[IEEE] 2026-8-10 | Enhanced Dual-Compensation Tracking Differentiator for Linear Active Disturbance Rejection Control of PMSM Position Servo System
[IEEE] 2026-8-10 | EITCE 2026 Author Information Page
[IEEE] 2026-8-10 | Transmission Line Equipment Defect Detection Based on an Improved RT-DETR
[ACM] 2026-8-10 | The Use of Computational Thinking Skills, Difficulties, and Strategies of Introductory Programming Students Solving Bebras Tasks
[IEEE] 2026-8-10 | A Path-Frequency Unit Prediction Method for Microwave QR-Code Structures
[IEEE] 2026-8-10 | Cyberbullying Detection on Social Media: Benchmarking Multiple Models
[IEEE] 2026-8-10 | Camera-RFID Fusion for Robust Asset Tracking in Forested Environments
[IEEE] 2026-8-10 | Incorporating Reflection Mechanism into Multi-Modal Reasoning for MLLMs
[IEEE] 2026-8-10 | A Co-driven Digital Twin Modelling Approach for Distribution Networks Based on AMI Measurement Data and Physical Models
[IEEE] 2026-8-10 | SOH Estimation for Lithium Metal Batteries Across Different Charging Rates Based on Transfer Learning and Channel Attention Mechanism
[IEEE] 2026-8-10 | A Current Source Rectifier-Based Modular Battery Charger Topology for Battery Swapping Systems
[IEEE] 2026-8-10 | Region-Aware QoS Prediction in UAV-Assisted Edge Computing Networks
[IEEE] 2026-8-10 | Design of a Virtual Reality–Based Framework for ACT Delivery in Chronic Post-Stroke Pain
[IEEE] 2026-8-10 | Vessel Classification in Maritime Security Using Fractional Factorial Design and ANOVA
[IEEE] 2026-8-10 | Passive Multi-Target Multiple Hypothesis Tracking Based on Joint Bearing-Frequency-SNR Consistency
[IEEE] 2026-8-10 | An Unsupervised Annotation Framework for Primitive States in Non-Intrusive Load Monitoring
[IEEE] 2026-8-10 | A Spiking Neural Network-Based Pixel-Level Visual Dynamic Navigation Localization Algorithm for High-Speed Aerial Vehicles
[IEEE] 2026-8-10 | Research on Cascade Failure and Resilience Dynamic Evolution of Urban Power Grids under Complex Typhoon Disturbance Fields
[IEEE] 2026-8-10 | Phase Difference Characteristics of Electrode-Pair Antenna and Magnetic Antenna under the Air--Seawater Critical Interface Condition
[IEEE] 2026-8-10 | A Method-Centric and Structured Review of Artificial Intelligence Based Cuffless Blood Pressure Estimation Using ECG and PPG
[IEEE] 2026-8-10 | Diagnosis and Analysis of Down Conductor Overheating in Ground Wire Ice-Melting Operation on UHV Transmission Lines
[IEEE] 2026-8-10 | Development of a Combined Introductory Course on Circuits and Electronics with a Problem-Based Laboratory
[IEEE] 2026-8-10 | Conformal Prediction for Zero-Inflated Blood Demand: Uncertainty-Aware Forecasting in Sparse Veterinary Networks
[IEEE] 2026-8-10 | RAG Enabled AI Based Healthcare Assistant for Cardiovascular Symptom Analysis and Recommendation
[IEEE] 2026-8-10 | Classification of Tex10-Deficient Spermatogenesis Using Deep Learning
[IEEE] 2026-8-10 | Security Analysis and Optimization Strategies for Searchable Encryption in Cloud Environments
[IEEE] 2026-8-10 | Automated Aviation Knowledge Extraction and Decision Support Method for Flight Test Monitoring
[IEEE] 2026-8-10 | A TDOA-Based Joint Localization and Clock Bias Estimation Method for Acoustic Targets
[IEEE] 2026-8-10 | Controlling Smart Environments with Mobile Augmented Reality and Recommender Systems
[IEEE] 2026-8-10 | Frequency Security Constrained Grid-Forming Energy Storage Planning for Renewable Power Systems
[IEEE] 2026-8-10 | PROSE: Probability-Driven Cluster Selection for Partition-Based Approximate Nearest Neighbor Search
[IEEE] 2026-8-10 | Dual-Branch Augmented Transformer Framework for Hyperspectral Image Classification
[IEEE] 2026-8-10 | Transformer DGA Fault Diagnosis Method Based on Hybrid Feature Selection and IDOA-CatBoost
[IEEE] 2026-8-10 | EITCE 2026 Cover Page
[IEEE] 2026-8-10 | New Construction of Flexible Binary 2D Sparse GCASs for Omnidirectional MIMO Systems
[IEEE] 2026-8-10 | AI-Enabled Drone-Based Precision Pollination System for Palm Tree Orchards
[IEEE] 2026-8-10 | Branching Deep Q-Network Enhanced Memetic Algorithm for Skilled-Worker Constrained Flexible Job Shop Scheduling Problem
[IEEE] 2026-8-10 | Cognitive Surrender and Strategic Orthodoxy: Reimagining Leadership Formation for the Age of Algorithmic Agency
[IEEE] 2026-8-10 | Low-Profile Broadband Circularly Polarized Stacked Magneto-Electric Dipole Antenna and Its Array for Ka-Band Satellite Communications
[IEEE] 2026-8-10 | Experimental Demonstration of Nonlinear Photoconductive Gain in N-Doped β-Ga₂O₃ Devices
[IEEE] 2026-8-10 | Wideband Transmit Beamforming for Spatial SIC with Hardware Impairments in In-Band Full-Duplex Phased Array Systems
[IEEE] 2026-8-10 | Hyperspectral Calibration Detection: A Novel Concept For Change Detection With Unsupervised Incremental Safe Pseudo-Labeling Implementation
[IEEE] 2026-8-10 | Front Cover
[ACM] 2026-8-10 | COSMOS: Designing Energy-Efficient Context-Aware Multimodal Cognitive Systems
[IEEE] 2026-8-10 | PRECEPT: Power-Efficient Field-of-View Prediction for VR Video Streaming
[IEEE] 2026-8-10 | An underwater intelligent command and operation method based on improved deep reinforcement learning
[IEEE] 2026-8-10 | Design and Implementation of a Deep Learning-Based Adaptive Retrieval-Augmented Generation System for Unstructured Text Processing
[IEEE] 2026-8-10 | Mapping Future Digital and Managerial Competencies: Aligning Emerging Technologies and HEI Curricula
[IEEE] 2026-8-10 | ICBDSE 2026 TOC
[ACM] 2026-8-10 | A Current Mode Wireless Power Transfer with Deficit Energy Quantifier for Implanted Medical Devices
[IEEE] 2026-8-10 | Research on Behavioral Clustering and Guidance Strategies for High-Frequency Electric Vehicle Charging Users in Vehicle-to-Grid Interaction Scenarios
[IEEE] 2026-8-10 | Charb-SCNet for Robust Dual-Domain Self-Supervised Image Compressed Sensing
[IEEE] 2026-8-10 | Table of Contents
[IEEE] 2026-8-10 | Equipment MDM Solution and Application Based on TOGAF Architecture and SOA
[IEEE] 2026-8-10 | A deconvolution method for stabilizing magnetic field reconstruction under probe-induced blur
[IEEE] 2026-8-10 | BHTE: A Stacked Hybrid Tree Ensemble for Robust Fraud Detection in Offline CBDC Systems
[IEEE] 2026-8-10 | ISAEECE 2026 Author Information Page
[IEEE] 2026-8-10 | Author Index
[ACM] 2026-8-10 | HotBa: A Heterogeneous Mamba Accelerator with Δ-Guided Early Rejection for Speculative Decoding
[IEEE] 2026-8-10 | Front Cover
[IEEE] 2026-8-10 | Specific Emitter Identification via Active Learning
[IEEE] 2026-8-10 | Toward Stronger 3D Human Action Representation Learning Via Efficient Spatiotemporal Decoupling
[IEEE] 2026-8-10 | A Comparative Study of Intrusion Detection Performance on CIC-IDS-2017 and BCCC-CIC-IDS-2017
[IEEE] 2026-8-10 | Institutional Decision Support System Framework for Higher Education Ecosystem Using Machine Learning Model
[IEEE] 2026-8-10 | Research on Enhanced State Estimation for UAVs Based on Residual Compensation Fusion and Edge Deployment
[IEEE] 2026-8-10 | Game Theory-Based Adaptive Human-Machine Joint Learning for Online MI-BCI Decoding
[IEEE] 2026-8-10 | Stability and Robustness of Tensor-Coupled Flow-Conservation Dynamical Systems on Hypergraphs
[IEEE] 2026-8-10 | Coupled Synchronization Control of Complex-Real Heterogeneous Chaotic Systems
[IEEE] 2026-8-10 | A Cost-Effective Rack-Level Balancing Architecture for Centralized Battery Energy Storage Systems Based on Voltage Compensation Control
[IEEE] 2026-8-10 | LASAD-YOLO: Localization and Adaptive Spatial Attention Distillation for Dense Object Detection
[IEEE] 2026-8-10 | A Cyber-Physical ROS2 Laboratory Platform for Robotics and Automation Education
[IEEE] 2026-8-10 | Dual-Frequency Ultrasonic Phase Continuity Correction and Inter-Segment Jump Suppression for Real-Time ASAT
[IEEE] 2026-8-10 | Analysis of Intermediate State Ferroelectric Properties of 30% ScAlN, Impacts on Piezoelectric Performance, and Ferroelectric Dead Layer Effect in PMUT Devices
[IEEE] 2026-8-10 | Methodological Evaluation of Field and Laboratory NIR Acquisition Geometry for Grapevine Leaf Spectral Analysis
[IEEE] 2026-8-10 | CMAF-DDI: A Knowledge-Enhanced Cross-Modal Fusion Method Leveraging Protein Representation for Multi-Class Drug-Drug Interactions
[IEEE] 2026-8-10 | Development of an In-Situ Permanent Magnet Switching System for Ferrofluid Robot Locomotion and Deformation Control_supp3-3715362.mp4
[IEEE] 2026-8-10 | Broadband Matching Method for Magnetostrictive Transducer Based on Seventh-Order π-Type Topology and HPSO-GA Optimization
[IEEE] 2026-8-10 | Rock Type Identification from AVIRIS-NG Hyperspectral Data Using a Bidirectional Gated Attention Convolutional Transformer
[IEEE] 2026-8-10 | The Impact of Generative AI-based Information Overload and AI Literacy on Individual Innovation Capability
