[2026-07-11 22:48:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-10
正在获取论文...
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[IEEE] 2026-7-10 | Radar Micro-Doppler Rotor Feature Extraction Based on Hybrid Cost Function and Dwell Penalty Mechanism
[IEEE] 2026-7-10 | Short-Packet Covert Communication in Underlay Cognitive Radio Networks With Multiple Wardens
[IEEE] 2026-7-10 | Monitoring of Upper-Limb Functional Movements After Stroke: Optimizing Threshold-Based Detection with Inertial Measurement Units
[IEEE] 2026-7-10 | Integrated Sensing and Communication in 6G: A Comprehensive Survey of Use Cases, Enabling Technologies, Standardization Roadmap, and Monetization Frameworks
[ACM] 2026-7-10 | A Comparative Study of Model Selection Criteria for Symbolic Regression
[ACM] 2026-7-10 | Proceedings of the Genetic and Evolutionary Computation Conference
[IEEE] 2026-7-10 | Grid-Forming Characterization in DC Microgrids
[IEEE] 2026-7-10 | Planning Relay Networks That Avoid Enemy Line-of-Sight and Maximize Angles Between Links and Enemies
[IEEE] 2026-7-10 | Detection of Cercospora Leaf Spot in Okra Using Deep Learning
[IEEE] 2026-7-10 | ShallowNet: A Lightweight Neural Network Approach for Efficient Flow-Level DDoS Detection
[IEEE] 2026-7-10 | Characterisation of Emissions and Impedances up to 150 kHz of Power Electronics-Based DC Loads for Low-Voltage DC Grids
[IEEE] 2026-7-10 | Automated Selective Color-wise Colony Counting on Spread Plates using Deep Learning and Human-in-the-loop Integration
[IEEE] 2026-7-10 | Noise Source Localization with Sparse Magnitude-Only Magnetic Field Measurements Using KNN Algorithm
[IEEE] 2026-7-10 | Influence of Geometric Parameters on MRI Gradient-Field Heating: A Simulation Study on Size and Shape Effects
[ACM] 2026-7-11 | SIVF: GPU-Resident IVF Index for Streaming Vector Analytics
[ACM] 2026-7-11 | POLAR-PIC: A Holistic Framework for Matrixized PIC with Co-Designed Compute, Layout, and Communication
[IEEE] 2026-7-10 | Adaptive Strategic Intelligence Enabled by Machine Learning in Dynamic Markets
[IEEE] 2026-7-10 | Operator-User Cost Trade-offs in Sweden’s Future EV Charging System
[IEEE] 2026-7-10 | Comparative study of quantum-based parallel and coordinated distributed temporal aggregation for capacity expansion planning
[IEEE] 2026-7-10 | A Hybrid LSTM-Based Model for Stock Price Prediction Using Sentiment Analysis and Volatility Features
[IEEE] 2026-7-10 | Machine Learning Based Integrated Solution for Smart Pepper Farming in Sri Lanka
[IEEE] 2026-7-10 | Feature Extraction and Classification Algorithm for Identification of Ball Fault of Bearing in Induction Motor
[IEEE] 2026-7-10 | Design of GaN HEMT ANPC Power Module with Low Parasitic Inductances
[IEEE] 2026-7-10 | Experimental Measurement of Magnetic Flux Exposure on Dielectric Material Structure
[IEEE] 2026-7-10 | Simple Equational Modeling and Swarm Intelligence Based 3D Path Planning Over Large-Scale Complex Mountain Terrain with Irregular Topology
[IEEE] 2026-7-10 | Fault Model-Driven Formal Verification of Cryptographic Hardware Against Fault Attacks
[IEEE] 2026-7-10 | Investing in Batteries or Choosing Tolling? Storage Strategies for Risk-Aware PPA Portfolios in Renewable Energy Communities
[IEEE] 2026-7-10 | Taking flexibility into account when optimally assigning actors to collective self-consumption communities
[IEEE] 2026-7-10 | Economic Analysis of Demand Management Strategies Using HOMER Pro® Deferrable Load: Case Study of a Productive Use of Energy Microgrid in Kwale Island Tanzania
[IEEE] 2026-7-10 | Optimizing Hydropower Scheduling in Nordic Electricity Markets through Deep Learning
[IEEE] 2026-7-10 | A Unified Multimodal Edge AI Smart Assistive Stick for Visually Impaired Users
[IEEE] 2026-7-10 | Data-Driven Insights into Sleep Quality and Health Using Bioinformatics
[IEEE] 2026-7-10 | Investment strategies for energy infrastructure on the southern Norwegian Continental Shelf
[IEEE] 2026-7-10 | Research on Bidirectional Active Balancing System for Large-Capacity Lithium Battery Pack Based on DAB Converter
[IEEE] 2026-7-10 | Implementation and Performance Evaluation of a 100 Gbps Network Link on Thailand’s National Research and Education Network
[IEEE] 2026-7-10 | Technical Standards for Grid-Forming Control of MVDC Converter Stations in Urban Distribution Networks
[IEEE] 2026-7-10 | Optimizing Charging Station Deployment in Croatia to Support EV Growth and EU Regulations
[IEEE] 2026-7-10 | A Resonant Mechanism Study for the Impact of Stent Length on MRI RF-Induced Heating
[IEEE] 2026-7-10 | Answer Set Programming for Bus Route Finding: A Case Study in Bangkok, Thailand
[IEEE] 2026-7-10 | Personalized Nutrition Recommendation Based on Ayurveda Using Semi-Supervised Learning
[IEEE] 2026-7-10 | From Flash Density to Field Reliability: A Population-Weighted Distance Effect Model for Lightning-Induced Surge Exposure Characterization
[IEEE] 2026-7-10 | Explainable NLP-Based Depression Detection from Social Media Text Using Machine Learning and LIME Interpretability
[IEEE] 2026-7-10 | Energy Router for Multi-ASD DC Buses
[IEEE] 2026-7-10 | Do EPAD Prices Reflect Zonal Price Spreads? A Panel Mincer–Zarnowitz Analysis of the Nordic Market
[IEEE] 2026-7-10 | Strategic BESS Operation under Uncertainty: Balancing Immediate Revenue Capture against Longterm Degradation in the Spanish Market
[IEEE] 2026-7-10 | Uncertainty Evaluation of Calibration Factor for Magnetic Field Probe Under Microstrip Line
[IEEE] 2026-7-10 | Mission-Aware SBOM Vulnerability Triage with KEV/EPSS and LLM-Based VEX Drafting
[IEEE] 2026-7-10 | Integrating Electrified Ports into the Power Grid: The Impact of Grid Tariffs and Flexibility
[ACM] 2026-7-11 | What’s in a Benchmark? The Case of SWE-Bench in Automated Program Repair
[ACM] 2026-7-10 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
[ACM] 2026-7-10 | Bayesian Optimal Stopping with Maximum Value Knowledge
[ACM] 2026-7-10 | <scp>MuseKG:</scp>
                    An Interactive Knowledge Graph Over Museum Collections
[ACM] 2026-7-10 | User Activity Modeling under Inflated Distribution
[ACM] 2026-7-10 | Human Agency and Skill in AI-Supported Work: Countering Cognitive Offloading
[ACM] 2026-7-10 | Bias Beneath the Tone: Empirical Characterisation of Tone Bias in LLM-Driven UX Systems
[ACM] 2026-7-10 | BPMN-T: A Timed–Probabilistic Extension of BPMN with Formal Semantics
[ACM] 2026-7-10 | Structural Bias in Multi-objective Optimization
[ACM] 2026-7-10 | Anytime Analysis on BinVal: Adaptive Parameters Help
[ACM] 2026-7-10 | Dual-Layer Synchronous Ring Cellular UMDA Based On Anisotropic RBF Surrogate for High-Dimensional Evolutionary Optimization in Energy Management
[IEEE] 2026-7-10 | FOCUS: Outdoor Transmitter Localization Exploiting the Mobility of a Single Drone
[IEEE] 2026-7-10 | Online Generation of Collision-Free Trajectories in Dynamic Environments_supp5-3711837.txt
[IEEE] 2026-7-10 | Sharp Decay Rate of Semi-discrete Scheme for 1-D Wave Equation with Boundary Damping*
[IEEE] 2026-7-10 | Dielectric properties of polyimide-based composites with boron nitride surface covering under high-energy electron beam radiation_supp1-3711572.docx
[IEEE] 2026-7-10 | Enhanced Unified Graph Learning and Weighted Tensor Schatten -Norm Approximation for Multi-View Clustering_supp1-3702584.pdf
[IEEE] 2026-7-10 | Haptic Feedback in Virtual Reality: A Systematic Review and Tutorial for Practitioners
[IEEE] 2026-7-10 | Facilitating Fuzzing-based Simulation Testing of Autonomous Driving System through Inter-Vehicle Interaction Modeling
[IEEE] 2026-7-10 | Maximizing the Secrecy Energy Efficiency of Artificial Noise-Assisted Full-Duplex Cooperative NOMA Network with Non-Colluding Eavesdroppers: A Deep Learning Based Approach
[IEEE] 2026-7-10 | UniTransAD: Unified Translation Framework for Anomaly Detection in Brain MRI
[IEEE] 2026-7-10 | Human–Robot Interaction Based Finite-Time Coordination Tracking of Networked Robot Manipulators for Industry 5.0
[IEEE] 2026-7-10 | JCSSE 2026 Ad Page
[IEEE] 2026-7-10 | 2026 22nd International Conference on the European Energy Market (EEM)
[IEEE] 2026-7-10 | EEM 2026 Breaker Page
[ACM] 2026-7-10 | ReNeuIR at SIGIR 2026: The Fifth Workshop on Reaching Efficiency in Neural Information Retrieval
[ACM] 2026-7-10 | RecGPT-Mobile: On-Device Large Language Models for User Intent Understanding in Taobao Feed Recommendation
[ACM] 2026-7-10 | MedNQS: Medical State-Aware Dual-Stage Next-Turn Question Suggestion for Online Medical Consultations
[ACM] 2026-7-10 | <scp>SimEval-IR:</scp>
                    A Unified Toolkit and Benchmark Suite for Evaluating User Simulators and Search Sessions
[ACM] 2026-7-10 | Beyond Fluency: Toward Reliable Trajectories in Agentic IR
[ACM] 2026-7-10 | Query Performance Prediction under Corpus Growth in Dense Retrieval
[ACM] 2026-7-10 | Analysis of the Impact of Tournament Size on Coevolutionary Search
[ACM] 2026-7-10 | Dropout-Inspired Strategies For Enhanced Exploration In Evolutionary Algorithms
[ACM] 2026-7-11 | Group versus Individual Review Requests: Tradeoffs in Speed and Quality at Mozilla Firefox
[IEEE] 2026-7-10 | A 14dBm 2.4GHz Power Amplifier with Digitally Controlled Tuning in 12nm FinFET CMOS Technology
[IEEE] 2026-7-10 | CELSIUS: Contrastive self-supervised learning for improved household load disaggregation and demand-side flexibility modeling
[IEEE] 2026-7-10 | Design of a 8-Stage RF Step Attenuator for Variable Gain Amplifiers
[IEEE] 2026-7-10 | Techno-Economic Optimal Sizing of Pumped Hydro Storage for Energy Price Arbitrage: Insights from the Italian Market
[IEEE] 2026-7-10 | Improved Collateral Management in Long-term Flowbased Allocation of Transmission Rights
[IEEE] 2026-7-10 | An Enhanced Conducted EMI Noise Prediction Method for Vienna PFC-LLC Converter
[IEEE] 2026-7-10 | LegalVision: A Knowledge-Driven AI Framework for Legal Understanding and Trust Assessment
[ACM] 2026-7-11 | GICC: A High-Performance Runtime for GPU-Initiated Communication and Coordination in Modern HPC Systems
[ACM] 2026-7-11 | Omnia: Efficient RAG Serving through Speculative Scheduling
[ACM] 2026-7-11 | Scalable Quantum Circuit Simulation via Circuit Cutting and FPGA Acceleration
[ACM] 2026-7-11 | CARBS: Compiler Autotuning via Randomized Biased Search
[ACM] 2026-7-11 | Modernizing VPIC-Kokkos I/O: From Legacy Binary Output to Adaptive HDF5 Workflows
[IEEE] 2026-7-10 | Bridging the Synchronous Gap: Design and Performance Analysis of the Offline Off-the-Record (O2TR) Protocol
[IEEE] 2026-7-10 | DC-Side Grid-Forming-Based Control Coordination in a Hybrid DC/AC Microgrid for AI Data Centers
[IEEE] 2026-7-10 | myNRC-OCR: A Hybrid OCR Framework for Handwritten Myanmar NRCs Integrating YOLOv8, Tesseract LSTM, TrOCR, and Post-OCR Correction
[IEEE] 2026-7-10 | Multimodal Skin Lesion Classification using CNN and MLP Feature Fusion
[IEEE] 2026-7-10 | Competing Flexibility Options and How They Impact Cost Recovery in Electricity Markets
[IEEE] 2026-7-10 | Is Hydrogen an Electrically Small Antenna?
[IEEE] 2026-7-10 | Beyond Fingerprints: Systematic Design of APUFs for Batch Identification
[IEEE] 2026-7-10 | Adaptive Complexity Reduction of Network Constraints for Large-Scale Power System Optimization Models
[IEEE] 2026-7-10 | Randomized Optimal Control Problem via Reinforcement Learning Under Knightian Uncertainty: Presenting a Unified Analytical Framework
[IEEE] 2026-7-10 | AI-Driven Social Media Marketing Assistant Using Agentic Workflows and Long-Term Memory
[IEEE] 2026-7-10 | Microstrip Patch Antennas for Creeping-Wave Excitation
[IEEE] 2026-7-10 | Simulation-Based Assessment of Flexibility in Low-Voltage Distribution Networks
[IEEE] 2026-7-10 | Hierarchical EMFI Analysis on a RISC-V SoC
[IEEE] 2026-7-10 | A 22-kV SiC Super-Cascode Switch With Controlled Turn-Off Voltage Distribution for Active Capacitor Discharge
[IEEE] 2026-7-10 | An Empirical Evaluation for Linux Security Tasks via Local LLM
[IEEE] 2026-7-10 | Short-Utterance Authentication using Lexical Challenge and Speaker Verification
[IEEE] 2026-7-10 | Building up the future hydrogen economy: On the implications of agent failure risks for prices and quantities
[IEEE] 2026-7-10 | Investigation on the Susceptibility to RF Interference of LDO Voltage Regulators
[IEEE] 2026-7-10 | Predicting the past: Consequence analysis during fire &amp; explosion investigations
[IEEE] 2026-7-10 | Thermal Spread Characterization of Seeg Leads During RF Ablation
[IEEE] 2026-7-10 | A Wideband All-Metal Evanescent-Mode Filter Featuring Strong Upper-Stopband Rejection
[IEEE] 2026-7-10 | Safe Storage at Home: A Co-Simulation Approach for Short Circuit Current Characterisation
[IEEE] 2026-7-10 | Influence of Grid Topology on Effectiveness of a Dynamic Grid Scarcity Signal
[IEEE] 2026-7-10 | Fine-Grained Zero-Shot Vehicle Make and Model Recognition: A Survey and Future Directions
[IEEE] 2026-7-10 | MANJU: A Multi-Agent Framework for Natural Just-in-Time Understanding in Thai
[ACM] 2026-7-10 | Extending Silicon Lifetime: A Review of Design Techniques for Reliable Integrated Circuits
[IEEE] 2026-7-10 | Mathematical Modeling and Simulation of Packet Scheduling for High-Speed Networks
[IEEE] 2026-7-10 | Boundary-Aware Deep Learning Framework for Breast Cancer Image Segmentation: Enhancing Tumor Delineation Through Biou-Driven Evaluation
[IEEE] 2026-7-10 | Prediction of Shielding Effectiveness in Graphene Composites Based on Microstructural Characteristics
[IEEE] 2026-7-10 | Data-Driven Jitter Estimation in PLL-to-HBM3E Chip-Level Clock Path
[ACM] 2026-7-11 | Lustre Query: Periodic Offline Metadata Monitoring from MDT Backups
[ACM] 2026-7-11 | ATLAS: Efficient Out-of-Core Inference for Billion-Scale Graph Neural Networks
[ACM] 2026-7-11 | SAGA: State-Aware Graph Analytics for Combinatorial Optimization on Dynamic Graphs
[ACM] 2026-7-11 | DPIO: A Unified I/O Architecture for Heterogeneous CPU and DPU NVMeoF
[IEEE] 2026-7-10 | Capacity-affecting Extreme Events in Stochastic Energy System Optimisation
[IEEE] 2026-7-10 | IoT-Enabled Smart Blind Stick for Intelligent Navigation Assistance of Visually Impaired Individuals
[IEEE] 2026-7-10 | The Impact of Human–AI Interaction on eLearning Quality: The Mediating Role of Cognitive Presence in Higher Education
[IEEE] 2026-7-10 | Climate Change and Energy Systems: when do signals emerge from the noise?
[IEEE] 2026-7-10 | Interleaved Coupled-Inductor Boost Converter for Regenerative DC Microgrid Loads
[ACM] 2026-7-10 | Labadain Chat: A Conversational Agent for the Tetun Language
[ACM] 2026-7-10 | Purifying Multimodal Retrieval: Fragment-Level Evidence Selection for RAG
[ACM] 2026-7-10 | Temporal Information Retrieval and Extraction: From Foundations to RAG
[ACM] 2026-7-10 | Toward a Telugu Question Answering Dataset for Agricultural IR to Serve Marginal Farmers in Drought-Prone Rayalaseema: A Gap Analysis and Roadmap
[ACM] 2026-7-10 | UX Requirements Engineering for COSE Platforms: A Cultural Perspective
[ACM] 2026-7-10 | Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation
[ACM] 2026-7-10 | Who Is Shopping With You? How Persona Design Shapes Cognitive and Social Engagement in AI Shopping Agents
[ACM] 2026-7-10 | Unsupervised 2D Image-Based 3D Model Retrieval via Decision Boundary Alignment and Graph Semantic Propagation
[ACM] 2026-7-10 | Making Indecent Persuasion Visible: How Evaluation Metrics Shape UX Designers' Ethical Reasoning
[ACM] 2026-7-10 | Towards Modeling IoT Applications: Specification, Animation and Reasoning in Anemone
[ACM] 2026-7-10 | Building a Production Shopping Agent at Scale
[ACM] 2026-7-10 | OxygenREC: An Instruction-Following Generative Framework for E-commerce Recommendation
[IEEE] 2026-7-10 | Out-of-Coverage Synchronization Enhancement for Multi-Hop NR V2X: From 3GPP Standard Analysis to Algorithm Design
[IEEE] 2026-7-10 | Efficient Minimum -Truss Search: A Decomposition-Based Approach_supp1-3701433.pdf
[IEEE] 2026-7-10 | Pretraining in Actor-Critic Reinforcement Learning for Locomotion_supp1-3711838.mp4
[IEEE] 2026-7-10 | JCSSE 2026 Committees
[IEEE] 2026-7-10 | Benchmarking neural network personalized musculoskeletal hand models against current personalization standards using experimental magnetic resonance imaging and fine-wire electromyography
[IEEE] 2026-7-10 | Multi-Modal Trajectory Prediction With Frenet Trajectory Translation
[IEEE] 2026-7-10 | Design and Characterization of a Multi-Layer FPC Eddy-Current Sensor for Micrometric Distance Measurement Applications Exploiting a Low-Cost Commercial Converter
[IEEE] 2026-7-10 | Aspect Dependency Graph Network: Inferring Latent Sentiment beyond Mention for Aspect-Based Sentiment Analysis
[IEEE] 2026-7-10 | Topology-Evolving Neural Network for Digital Predistortion of RF Power Amplifiers
[IEEE] 2026-7-10 | Retraction-Free Optimization over the Stiefel Manifold for the LoRA Fine-Tuning_supp1-3711595.pdf
[IEEE] 2026-7-10 | Language-4D Cross-Boosting for Generalized Zero-Shot 6DoF Tracking and 3D Reconstruction_supp1-3711593.pdf
[ACM] 2026-7-10 | Benchmarking Evolutionary and Machine Learning Algorithms: The SIREN Challenge of Emergency Medical Services
[ACM] 2026-7-10 | Digital Red Queen: Adversarial Program Evolution in Core War with LLMs
[ACM] 2026-7-10 | Multi-Objective Evolution of Patch Tokens for Tabular Transformers
[IEEE] 2026-7-10 | Optimisation-Based Flexibility Management for EV Charging Hubs
[IEEE] 2026-7-10 | Enhancement by Forgery Detection of Multi-Party Secret Sharing Scheme Using Encoded Shares
[IEEE] 2026-7-10 | Behavioral Modeling of Common-Mode Chokes Based on Auto-Circuit Grey-Wolf Optimization
[IEEE] 2026-7-10 | Physics-Informed Neural Networks for High-Accuracy Fault Diagnosis in Energy Router
[IEEE] 2026-7-10 | Uncertainty in Broadband Shielding Effectiveness Measurements Using the Coaxial Line Method
[IEEE] 2026-7-10 | A Construction of Timed Automata to Model ISO/IEC 29110 Software Implementation (SI) Process
[IEEE] 2026-7-10 | Co-Creation and Urban Exploration: A Log-Based Comparison of Two In-the-Wild Deployments
[IEEE] 2026-7-10 | Agrivoltaic System Design under Feed-in Premium Considering Self-Consumption by Greenhouses
[IEEE] 2026-7-10 | CottonLeafVision: An Explainable and Robust Deep Learning Framework for Cotton Leaf Disease Classification
[IEEE] 2026-7-10 | Fairness-Aware Reallocation of Internal Exchanges in Energy Communities
[IEEE] 2026-7-10 | An Ultra-fast Hybrid DC Circuit Breaker Based on Natural Commutation of Arc Voltage
[IEEE] 2026-7-10 | A Trust-Aware Cloud Security Model Using GenAI and Reinforcement Learning
[IEEE] 2026-7-10 | Photovoltaic (PV) Module Product Safety/Certification Qualification: Standards Revision Impact
[IEEE] 2026-7-10 | Application and Effect of Reinforcement Learning Algorithms in Automatic Translation Quality Evaluation
[IEEE] 2026-7-10 | TDsReCAM: Time-Domain sensing for reliable ReRAM-based Content Addressable Memory
[IEEE] 2026-7-10 | Shadowing Effects in Radar Applications and Emc Related Probability Considerations
[IEEE] 2026-7-10 | Data-Driven Case-based Grid Segmentation for Local Flexibility Markets
[ACM] 2026-7-11 | Vision Language Model-based Testing of Industrial Autonomous Mobile Robots
[ACM] 2026-7-11 | CASCADE: LLM-powered JavaScript Deobfuscator at Google
[ACM] 2026-7-11 | OpenDerisk: An Industrial Framework for AI-Driven SRE, with Design, Implementation, and Case Studies
[ACM] 2026-7-10 | Why Advanced Encoders Lag on Sparse Retrieval? The Answer and an Approach to Bridging Vocabulary Gaps
[ACM] 2026-7-10 | Beyond Unimodal Perspectives: Generative Retrieval with Multimodal Semantics
[ACM] 2026-7-10 | Universal Item Tokenization for Transferable Generative Recommendation
[ACM] 2026-7-10 | Hierarchical Cluster-based Open-World Graph Active Learning
[ACM] 2026-7-10 | MLLMRec: A Preference Reasoning Paradigm with Graph Refinement for Multimodal Recommendation
[ACM] 2026-7-10 | Simple Lambda Lifting: Formalisation in Lean and a new efficient algorithm
[ACM] 2026-7-10 | Impact of Chatbot Role on Perceived Support in a Collaborative Problem-Solving Task
[ACM] 2026-7-10 | PrivAuto: Practical Insights of On-Device Privacy-Preserving Agentic Systems for Mobile GUI Automation
[ACM] 2026-7-10 | Virtual Avatars for Accessible Consumer Services: A Rapid Review of Design Patterns and Challenges
[ACM] 2026-7-10 | Improving Interpretability of Cognitive Diagnosis Models with LLM-based Semantic Augmentation
[ACM] 2026-7-10 | How Far Are We from Automatically Identifying Violations of the Data Minimization Principle in Privacy Policies?
[ACM] 2026-7-10 | ERASE - A Real-World Aligned Benchmark for Unlearning in Recommender Systems
[ACM] 2026-7-10 | GASP: GPU-Accelerated Shortest Path for Graph Analytics
[ACM] 2026-7-10 | Towards Structurally Robust Cross-Device Federated Recommendation
[ACM] 2026-7-11 | Inkly: A Data-Informed and Context-Aware System for HPC Job Execution
[ACM] 2026-7-11 | GLANCED-IO: Taming I/O Optimization for Deep Learning at Scale
[IEEE] 2026-7-10 | An Integrated AI Based Framework for Regulatory Governance and Privacy-Preserving Data Protection in Enterprise Systems
[IEEE] 2026-7-10 | Use of GitHub Copilot Agent Mode for Automated Development in R&amp;D Data Engineering
[IEEE] 2026-7-10 | Subtracting the Norm: An Orthogonal Projection Framework for Weakly Supervised Video Anomaly Detection
[IEEE] 2026-7-10 | Consensus-Based Coordination of Customer Owned Energy Storage Systems for Local Grid Services
[IEEE] 2026-7-10 | Image-based and LiDAR BEV-based Representations for Object Detection under Real Adverse Weather Conditions
[IEEE] 2026-7-10 | Vision-based Hand Gesture Virtual Keyboard-Mouse framework with Bilingual Next-word prediction
[IEEE] 2026-7-10 | Micro-XRF-Based Enamel Mineral Analysis for Early Caries Detection
[IEEE] 2026-7-10 | Transistor-Level Morris Sensitivity Analysis for Variation-Aware Delay Optimization in CMOS Full Adder
[IEEE] 2026-7-10 | Energy Communities in Portugal: A Multi-Dimensional Assessment
[IEEE] 2026-7-10 | Predicting Alternating Conductive-Radiative Bands with a Full-Energy ULPC
[IEEE] 2026-7-10 | Design of Broadband Low-RCS Conical Beam Antenna Based on a PB-Phase Coding Metasurface
[IEEE] 2026-7-10 | Staged Curriculum Learning for Chromosome Detection in Data-Scarce Regimes: Enhancing Model Performance through Difficulty Scoring
[ACM] 2026-7-10 | Robust Evolutionary Optimization for Demand-Balanced Railway Route Design
[ACM] 2026-7-10 | Landscape-aware Automated Algorithm Design: An Efficient Framework for Real-world Optimization
[IEEE] 2026-7-10 | Robust State Estimation for Distribution Systems Based on Reinforcement-Learning-Assisted Memory-Augmented Deep Kalman Filter
[IEEE] 2026-7-10 | Additive Manufactured Millimeter-Wave Power Amplifier Package with Embedded Heat Spreader
[IEEE] 2026-7-10 | Impact of Dynamic Electricity Pricing on CostOptimal Dimensioning of Building Energy Systems
[IEEE] 2026-7-10 | Integrated and Scalable Multimodal Sensing for Exteroception and Proprioception in Soft Robotic Ciliary Arrays_supp1-3711868.mp4
[IEEE] 2026-7-10 | AdaGuard: Location-Aware Adaptive Defense against Adversarial Patch Attacks in Vision Transformers_supp1-3710546.pdf
[IEEE] 2026-7-10 | Multi-Modal Beamforming with Model Compression and Modality Generation for V2X Networks
[IEEE] 2026-7-10 | Enforcing Mixed State-Input Constraints with Multiple Backup Control Barrier Functions: A Projection-based Approach
[IEEE] 2026-7-10 | Adaptive Shared Autonomy with Haptic Feedback for Multi-DoF Robot Swarm Control
[IEEE] 2026-7-10 | A De-stylized Expanded Domain Sample Generation Network for Hyperspectral Image Cross-Domain Classification
[IEEE] 2026-7-10 | Novel Holonomic Driving Wheel Mechanism for Omnidirectional Motion in Two-Wheeled Robots
[IEEE] 2026-7-10 | Economic Penalty for Unfulfilled Delivery in the Norwegian mFRR Energy Activation Market
[IEEE] 2026-7-10 | Electromagnetic Leakage Characterization of Brushless DC Motor Modules in Unmanned Aerial Vehicles
[IEEE] 2026-7-10 | Vision Transformers and Convolutional Neural Networks for Global Context Modeling in Fibrous Root Segmentation
[IEEE] 2026-7-10 | Capacity expansion prospects of small modular light water reactors for electricity and district heat production in Europe
[IEEE] 2026-7-10 | Introduction to Post Quantum Cryptography for Resource Constrained Systems
[IEEE] 2026-7-10 | Label-Flipping Poisoning Attack Against ML-Based NIDS: A Comparative Analysis
[IEEE] 2026-7-10 | PhishBlock: Real-Time Phishing Detection Browser Extension with Monitoring System Using Hybrid Datasets Machine Learning Models
