[2026-02-19 09:33:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-18
正在获取论文...
[arXiv] 2026-02-18 | Measuring Mid-2025 LLM-Assistance on Novice Performance in Biology
[arXiv] 2026-02-18 | Bibby AI -- AI Latex Editor writing assistant for researchers vs Overleaf Alternative vs OpenAI Prism. (Bibby AI Latex Editor)
[arXiv] 2026-02-18 | A remark on staircase laminates in restricted sets
[arXiv] 2026-02-18 | A Class of algebras admitting infinitely many norm topologies
[arXiv] 2026-02-18 | Effective local differential topology of algebraic varieties over local fields of positive characteristics
[arXiv] 2026-02-18 | Localized $^{18}$O production in white dwarf mergers
[arXiv] 2026-02-18 | Orbital integral bounds the character for cuspidal representations of $GL_n(\mathbb{F}_{\ell}((t)))$
[arXiv] 2026-02-18 | Partially observed controlled Markov chains and optimal control of the Wonham filter
[arXiv] 2026-02-18 | Enhancing delocalization and entanglement in asymmetric discrete-time quantum walks
[arXiv] 2026-02-18 | Solving the Mysteries of Quantum Mechanics: Why Nature Abhors a Continuum
[arXiv] 2026-02-18 | Label-Consistent Data Generation for Aspect-Based Sentiment Analysis Using LLM Agents
[arXiv] 2026-02-18 | Experimental and Numerical Study of the Transient Response of a Cantilever Beam with a Piezoelectric Disc Sensor
[arXiv] 2026-02-18 | AI-Driven Structure Refinement of X-ray Diffraction
[arXiv] 2026-02-18 | Markerless 6D Pose Estimation and Position-Based Visual Servoing for Endoscopic Continuum Manipulators
[arXiv] 2026-02-18 | System Identification under Constraints and Disturbance: A Bayesian Estimation Approach
[arXiv] 2026-02-18 | Articulated 3D Scene Graphs for Open-World Mobile Manipulation
[arXiv] 2026-02-18 | Liouvillian interpolation of the self-energy of cluster dynamical mean-field theories
[arXiv] 2026-02-18 | Heat Equation driven by mixed local-nonlocal operators with non-regular space-dependent coefficients
[arXiv] 2026-02-18 | Load Balanced Parallel Node Generation for Meshless Numerical Methods
[arXiv] 2026-02-18 | Multi-Agent Meta-Advisor for UAV Fleet Trajectory Design in Vehicular Networks
[arXiv] 2026-02-18 | Markov processes forced on a subspace by a large drift, with applications to population genetics
[arXiv] 2026-02-18 | Large-Time Asymptotics for Heat and Fractional Heat Equations on the Lattice and General Finite Subgraphs
[arXiv] 2026-02-18 | The invariance of the Auslander-Reiten Formula for hereditary algebras
[arXiv] 2026-02-18 | Machine Learning Driven Prediction of the Behavior of Biohybrid Actuators
[arXiv] 2026-02-18 | Hypercontractivity for a family of quantum Ornstein-Uhlenbeck semigroups
[arXiv] 2026-02-18 | Wearable AR for Restorative Breaks: How Interactive Narrative Experiences Support Relaxation for Young Adults
[arXiv] 2026-02-18 | End-user validation of BRIGHT with custom-developed graphical user interface applied to cervical cancer brachytherapy
[arXiv] 2026-02-18 | A resolution of the Ito-Stratonovich debate in quantum stochastic processes
[arXiv] 2026-02-18 | Randomized Zero Forcing
[arXiv] 2026-02-18 | Fast KV Compaction via Attention Matching
[arXiv] 2026-02-18 | Tomographically-nonlocal entanglement
[arXiv] 2026-02-18 | Lyapunov Spectral Analysis of Speech Embedding Trajectories in Psychosis
[arXiv] 2026-02-18 | Impact of Preprocessing on Neural Network-Based RSS/AoA Positioning
[arXiv] 2026-02-18 | On the Lie noncommutative integrability
[arXiv] 2026-02-18 | Structured Unitary Tensor Network Representations for Circuit-Efficient Quantum Data Encoding
[arXiv] 2026-02-18 | Autonomous and non-autonomous fixed-time leader-follower consensus for second-order multi-agent systems
[arXiv] 2026-02-18 | HAL-MLE Log-Splines Density Estimation (Part I: Univariate)
[arXiv] 2026-02-18 | SeaSpoofFinder -- Potential GNSS Spoofing Event Detection Using AIS
[arXiv] 2026-02-18 | Concentration Phenomena for $(p,N)$-Laplace Equation Under Discontinuous Nonlinearities and Penalization Method
[arXiv] 2026-02-18 | Pinching Antennas-Aided Integrated Sensing and Multicast Communication Systems
[arXiv] 2026-02-18 | Are LLMs Ready to Replace Bangla Annotators?
[arXiv] 2026-02-18 | Propagation Characteristics of the April 21, 2023 CME
[arXiv] 2026-02-18 | EasyControlEdge: A Foundation-Model Fine-Tuning for Edge Detection
[arXiv] 2026-02-18 | Coexistence of Rashba and Ising Spin-Singlet Pairings in Two-Dimensional IrTe$_{2}$
[arXiv] 2026-02-18 | Near-optimal population protocols on bounded-degree trees
[arXiv] 2026-02-18 | Reinterpreting the sunward electron deficit: Implications for solar wind acceleration and core population formation
[arXiv] 2026-02-18 | Graph neural network for colliding particles with an application to sea ice floe modeling
[arXiv] 2026-02-18 | Equity in auction design with unit-demand agents and non-quasilinear preferences
[arXiv] 2026-02-18 | A Note on Ordinal Submodularity
[arXiv] 2026-02-18 | On cyclic invariants of the free associative algebra
[arXiv] 2026-02-18 | On the Enestrom-Kakeya Theorem for polynomials of an octonionic variable
[arXiv] 2026-02-18 | Inverse Engineering of Optical Constants in Photochromic Micron-Scale Hybrid Films
[arXiv] 2026-02-18 | Image Measurement Method for Automatic Insertion of Forks into Inclined Pallet
[arXiv] 2026-02-18 | HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents
[arXiv] 2026-02-18 | LLMs Exhibit Significantly Lower Uncertainty in Creative Writing Than Professional Writers
[arXiv] 2026-02-18 | Dislocation-ledge coupling drives non-conservative migration of semicoherent precipitate interfaces
[arXiv] 2026-02-18 | ASPEN: Spectral-Temporal Fusion for Cross-Subject Brain Decoding
[arXiv] 2026-02-18 | Ratio Covers of Convex Sets and Optimal Mixture Density Estimation
[arXiv] 2026-02-18 | Investigating Ionospheric TEC Variations in Solar and Geomagnetic Influences Across Solar Activity Phases
[arXiv] 2026-02-18 | Oscillation Criteria in Large-Scale Gene Regulatory Networks with Intrinsic Fluctuations
[arXiv] 2026-02-18 | Martin Boundary and the Nonlinear Multiplicative Heat Equation in Weak disorder
[arXiv] 2026-02-18 | LLM-Driven Intent-Based Privacy-Aware Orchestration Across the Cloud-Edge Continuum
[arXiv] 2026-02-18 | Quantifying and Attributing Submodel Uncertainty in Stochastic Simulation Models and Digital Twins
[arXiv] 2026-02-18 | Automated Histopathology Report Generation via Pyramidal Feature Extraction and the UNI Foundation Model
[arXiv] 2026-02-18 | Long-Tail Knowledge in Large Language Models: Taxonomy, Mechanisms, Interventions and Implications
[arXiv] 2026-02-18 | Effects of Symmetron on growth and RSD multipoles
[arXiv] 2026-02-18 | Mapping tuberculosis fatalities by region and age group in South Korea: A dataset for targeted health policy optimization
[arXiv] 2026-02-18 | Introducing the b-value: combining unbiased and biased estimators from a sensitivity analysis perspective
[arXiv] 2026-02-18 | Testing non-circular black hole spacetime with X-ray reflection
[arXiv] 2026-02-18 | Learning Situated Awareness in the Real World
[arXiv] 2026-02-18 | Six-dimensional GKM manifolds with four fixed points
[arXiv] 2026-02-18 | Fully sign-changing Nehari constraint vs sign-changing solutions of a competitive Schrödinger system
[arXiv] 2026-02-18 | On generating functions and automata associated to reflections in Coxeter systems
[arXiv] 2026-02-18 | E-Graphs as a Persistent Compiler Abstraction
[arXiv] 2026-02-18 | Growth and crystallographic structure of TiTe$_2$ on Au(111): From sub-monolayer structures to single- and multi-layer films
[arXiv] 2026-02-18 | Enhanced Diffusion Sampling: Efficient Rare Event Sampling and Free Energy Calculation with Diffusion Models
[arXiv] 2026-02-18 | Illustration of Barren Plateaus in Quantum Computing
[arXiv] 2026-02-18 | Reinforcement Learning for Parameterized Quantum State Preparation: A Comparative Study
[arXiv] 2026-02-18 | Functional Decomposition and Shapley Interactions for Interpreting Survival Models
[arXiv] 2026-02-18 | Numerical analysis of Lyapunov Times for Trans-Neptunian Objects and Main-Belt Asteroids: stability, accuracy, and methodological comparisons
[arXiv] 2026-02-18 | Mind the Gap: Evaluating LLMs for High-Level Malicious Package Detection vs. Fine-Grained Indicator Identification
[arXiv] 2026-02-18 | Money-Back Tontines for Retirement Decumulation: Neural-Network Optimization under Systematic Longevity Risk
[arXiv] 2026-02-18 | The Validity of Coreference-based Evaluations of Natural Language Understanding
[arXiv] 2026-02-18 | Temporal Panel Selection in Ongoing Citizens' Assemblies
[arXiv] 2026-02-18 | SIT-LMPC: Safe Information-Theoretic Learning Model Predictive Control for Iterative Tasks
[arXiv] 2026-02-18 | On Toric Ideals Arising from the Chip-Firing Game
[arXiv] 2026-02-18 | Discrete Stochastic Localization for Non-autoregressive Generation
[arXiv] 2026-02-18 | Muon with Spectral Guidance: Efficient Optimization for Scientific Machine Learning
[arXiv] 2026-02-18 | Discovering Unknown Inverter Governing Equations via Physics-Informed Sparse Machine Learning
[arXiv] 2026-02-18 | Global dynamic stability of contact lines in fluids: 2-D droplet problem
[arXiv] 2026-02-18 | Differentially Private Non-convex Distributionally Robust Optimization
[arXiv] 2026-02-18 | Null controllability of one-dimensional quasilinear parabolic equations via multiplicative controls
[arXiv] 2026-02-18 | Uncertainty-Aware Neural Multivariate Geostatistics
[arXiv] 2026-02-18 | Missing-by-Design: Certifiable Modality Deletion for Revocable Multimodal Sentiment Analysis
[arXiv] 2026-02-18 | Godel Implication on Finite Chains: Truth Tables and Catalan-Bracketing Enumerations
[arXiv] 2026-02-18 | CHAI: CacHe Attention Inference for text2video
[arXiv] 2026-02-18 | Reactive Slip Control in Multifingered Grasping: Hybrid Tactile Sensing and Internal-Force Optimization
[arXiv] 2026-02-18 | Rethinking ANN-based Retrieval: Multifaceted Learnable Index for Large-scale Recommendation System
[arXiv] 2026-02-18 | Enhanced Graphene-Water Thermal Transport via Edge Functionalization without Compromising In-Plane Thermal Conductivity
[arXiv] 2026-02-18 | Feature-based morphological analysis of shape graph data
[arXiv] 2026-02-18 | In-Situ Analysis of Vibration and Acoustic Data in Additive Manufacturing
[arXiv] 2026-02-18 | Hiding in Plain Sight: Understanding the Everyday Practices and Challenges of Car Dwellers
[arXiv] 2026-02-18 | Surrogate-Based Prevalence Measurement for Large-Scale A/B Testing
[arXiv] 2026-02-18 | Algorithm-Based Pipeline for Reliable and Intent-Preserving Code Translation with LLMs
[arXiv] 2026-02-18 | Local and Multi-Scale Strategies to Mitigate Exponential Concentration in Quantum Kernels
[arXiv] 2026-02-18 | TeCoNeRV: Leveraging Temporal Coherence for Compressible Neural Representations for Videos
[arXiv] 2026-02-18 | Knowledge-Embedded Latent Projection for Robust Representation Learning
[arXiv] 2026-02-18 | Reinforced Fast Weights with Next-Sequence Prediction
[arXiv] 2026-02-18 | Numerical study of non-relativistic quantum systems and small oscillations induced in a helically twisted geometry
[arXiv] 2026-02-18 | Synthetic-Powered Multiple Testing with FDR Control
[arXiv] 2026-02-18 | On the Hardness of Approximation of the Fair k-Center Problem
[arXiv] 2026-02-18 | VETime: Vision Enhanced Zero-Shot Time Series Anomaly Detection
[arXiv] 2026-02-18 | Intermodal quantum key distribution over an 18 km free-space channel with adaptive optics and room-temperature detectors
[arXiv] 2026-02-18 | Ab Initio Auxiliary-Field Quantum Monte Carlo in the Thermodynamic Limit
[arXiv] 2026-02-18 | Comparison of Pauli projection and supersymetric transformation methods for three-body nuclear structure and reactions
[arXiv] 2026-02-18 | Neighborhood Stability as a Measure of Nearest Neighbor Searchability
[arXiv] 2026-02-18 | Cantor sets in higher dimensions II: Optimal dimension constraint for stable intersections
[arXiv] 2026-02-18 | Align Once, Benefit Multilingually: Enforcing Multilingual Consistency for LLM Safety Alignment
[arXiv] 2026-02-18 | Updated Constraints on Infrared Cutoff Models and Implications for Large-Scale CMB Anomalies
[arXiv] 2026-02-18 | Amplification of bosonic interactions through squeezing in the presence of decoherence
[arXiv] 2026-02-18 | Towards Autonomous Robotic Kidney Ultrasound: Spatial-Efficient Volumetric Imaging via Template Guided Optimal Pivoting
[arXiv] 2026-02-18 | Active RIS-Assisted MIMO System for Vital Signs Extraction: ISAC Modeling, Deep Learning, and Prototype Measurements
[arXiv] 2026-02-18 | Understanding the influence of yttrium on the dominant twinning mode and local mechanical field evolution in extruded Mg-Y alloys
[arXiv] 2026-02-18 | Can Wearable Exoskeletons Reduce Gender and Disability Gaps in the Construction Industry?
[arXiv] 2026-02-18 | Fluctuation-induced acceleration of inter-ligand exciton transfer in bis(dipyrrinato)Zn(II) complex
[arXiv] 2026-02-18 | Causal and Compositional Abstraction
[arXiv] 2026-02-18 | FlowPrefill: Decoupling Preemption from Prefill Scheduling Granularity to Mitigate Head-of-Line Blocking in LLM Serving
[arXiv] 2026-02-18 | Sensor Query Schedule and Sensor Noise Covariances for Accuracy-constrained Trajectory Estimation
[arXiv] 2026-02-18 | Why Thinking Hurts? Diagnosing and Rectifying the Reasoning Shift in Foundation Recommender Models
[arXiv] 2026-02-18 | Ground state energy of the dilute Bose-Hubbard gas on Bravais lattices
[arXiv] 2026-02-18 | A Scalable Approach to Solving Simulation-Based Network Security Games
[arXiv] 2026-02-18 | Continuous and discontinuous realizations of first-order phase transitions
[arXiv] 2026-02-18 | RIDER: 3D RNA Inverse Design with Reinforcement Learning-Guided Diffusion
[arXiv] 2026-02-18 | The Quantum Symmetric Simple Exclusion Process in the Continuum and Free Processes
[arXiv] 2026-02-18 | Laboratory observation of collective beam-plasma instabilities in a relativistic pair jet
[arXiv] 2026-02-18 | A higher order pressure-stabilized virtual element formulation for the Stokes-Poisson-Boltzmann equations
[arXiv] 2026-02-18 | Spectral Conditions for the Ingleton Inequality
[arXiv] 2026-02-18 | New self-consistent theoretical descriptions for mass-loss rates of O-type stars
[arXiv] 2026-02-18 | Capacity-constrained demand response in smart grids using deep reinforcement learning
[arXiv] 2026-02-18 | PL conditions do not guarantee convergence of gradient descent-ascent dynamics
[arXiv] 2026-02-18 | Small molecule retrieval from tandem mass spectrometry: what are we optimizing for?
[arXiv] 2026-02-18 | Interpretability-by-Design with Accurate Locally Additive Models and Conditional Feature Effects
[arXiv] 2026-02-18 | Quantum-classical correspondence for spins at finite temperatures with application to Monte Carlo simulations
[arXiv] 2026-02-18 | Fast and Scalable Analytical Diffusion
[arXiv] 2026-02-18 | The OU number and Reidemeister moves of type III for link diagrams
[arXiv] 2026-02-18 | Nonequilibrium Casimir-Polder Force: Motion-induced Thermal-like Effect
[arXiv] 2026-02-18 | SRFed: Mitigating Poisoning Attacks in Privacy-Preserving Federated Learning with Heterogeneous Data
[arXiv] 2026-02-18 | High Energy Nuclear Optics of polarized nucleons and nuclei: research at complex Nuclotron M- NICA
[arXiv] 2026-02-18 | Reactive Motion Generation With Particle-Based Perception in Dynamic Environments
[arXiv] 2026-02-18 | Visual Self-Refine: A Pixel-Guided Paradigm for Accurate Chart Parsing
[arXiv] 2026-02-18 | All-path-length and sub-eikonal corrections to momentum broadening in the opacity expansion approach
[arXiv] 2026-02-18 | Enhanced Connectivity in Ambient Backscatter Communications via Fluid Antenna Readers
[arXiv] 2026-02-18 | Multiscale Hyperbolic-Parabolic Models for Nonlinear Reactive Transport in Heterogeneously Fractured Porous Media
[arXiv] 2026-02-18 | Logarithmic Hurwitz Spaces in Mixed and Positive Characteristic with Wild Ramification
[arXiv] 2026-02-18 | The Penrose-Rindler equation and horizon thermodynamics of stationary black holes
[arXiv] 2026-02-18 | Quasi-two-body decays $B^+\to D_s^+ (R\to) K^+K^-$ in the perturbative QCD approach
[arXiv] 2026-02-18 | SELEBI: Percussion-aware Time Stretching via Selective Magnitude Spectrogram Compression by Nonstationary Gabor Transform
[arXiv] 2026-02-18 | Reconstruction of Piecewise-Constant Sparse Signals for Modulo Sampling
[arXiv] 2026-02-18 | The Astronomical Telescope of the University of Stuttgart (ATUS): Development, Optimization, and Lessons Learned
[arXiv] 2026-02-18 | Transition between one- and two-dimensional topology in a Chern insulator of finite width
[arXiv] 2026-02-18 | Inequalities For The Growth Of Rational Functions With Prescribed Poles
[arXiv] 2026-02-18 | Towards Secure and Interoperable Data Spaces for 6G: The 6G-DALI Approach
[arXiv] 2026-02-18 | A Formal Theory for Finite-Dimensional Possibilistic Quantum Mechanics
[arXiv] 2026-02-18 | How Reliable is Your Service at the Extreme Edge? Analytical Modeling of Computational Reliability
[arXiv] 2026-02-18 | Docking and Persistent Operations for a Resident Underwater Vehicle
[arXiv] 2026-02-18 | Optical Inversion and Spectral Unmixing of Spectroscopic Photoacoustic Images with Physics-Informed Neural Networks
[arXiv] 2026-02-18 | SCAR: Satellite Imagery-Based Calibration for Aerial Recordings
[arXiv] 2026-02-18 | The Implicit Bias of Adam and Muon on Smooth Homogeneous Neural Networks
[arXiv] 2026-02-18 | Subtractive Modulative Network with Learnable Periodic Activations
[arXiv] 2026-02-18 | A Self-Supervised Approach for Enhanced Feature Representations in Object Detection Tasks
[arXiv] 2026-02-18 | One-factorizations of complete multipartite graphs with distance constraints
[arXiv] 2026-02-18 | CADEvolve: Creating Realistic CAD via Program Evolution
[arXiv] 2026-02-18 | MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks
[arXiv] 2026-02-18 | Markerless Robot Detection and 6D Pose Estimation for Multi-Agent SLAM
[arXiv] 2026-02-18 | Dynamic and Streaming Algorithms for Union Volume Estimation
[arXiv] 2026-02-18 | Finite elements for the space approximation of a differential model for salts crystallization
[arXiv] 2026-02-18 | Multi-agent cooperation through in-context co-player inference
[arXiv] 2026-02-18 | Characterization of an MPPC-Based Scintillator Telescope and Measurement of Cosmic Muon Angular Distribution
[arXiv] 2026-02-18 | Aladdin-FTI @ AMIYA Three Wishes for Arabic NLP: Fidelity, Diglossia, and Multidialectal Generation
[arXiv] 2026-02-18 | What Kind of World Supports Darwinian Evolution? Quantum Foundational Options
[arXiv] 2026-02-18 | Intersections of special cycles on Shimura curves and Siegel Maass forms
[arXiv] 2026-02-18 | Toward Scalable Verifiable Reward: Proxy State-Based Evaluation for Multi-turn Tool-Calling LLM Agents
[arXiv] 2026-02-18 | HyPCA-Net: Advancing Multimodal Fusion in Medical Image Analysis
[arXiv] 2026-02-18 | Rotating Black Holes with Primary Scalar Hair: Shadow Signatures in Beyond Horndeski Gravity
[arXiv] 2026-02-18 | DistributedEstimator: Distributed Training of Quantum Neural Networks via Circuit Cutting
[arXiv] 2026-02-18 | Nonparametric estimation of linear multiplier for processes driven by a Hermite process
[arXiv] 2026-02-18 | $p$-wave magnet driven field-free Josephson diode effect
[arXiv] 2026-02-18 | Nonlocal prediction of quantum measurement outcomes
[arXiv] 2026-02-18 | Graphon Mean-Field Subsampling for Cooperative Heterogeneous Multi-Agent Reinforcement Learning
[arXiv] 2026-02-18 | Quantum Cellular Automata: The Group, the Space, and the Spectrum
[arXiv] 2026-02-18 | Dynamic Modeling and MPC for Locomotion of Tendon-Driven Soft Quadruped
[arXiv] 2026-02-18 | Riemannian foliations on CROSSes
[arXiv] 2026-02-18 | When to Identify Is to Control: On the Controllability of Combinatorial Optimization Problems
[arXiv] 2026-02-18 | A zero-one law for improvements to Dirichlet's theorem in arbitrary dimension
[arXiv] 2026-02-18 | Computing Equilibria in Games with Stochastic Action Sets
[arXiv] 2026-02-18 | General formalism, classification, and demystification of the current warp-drive spacetimes
[arXiv] 2026-02-18 | Designing Production-Scale OCR for India: Multilingual and Domain-Specific Systems
[arXiv] 2026-02-18 | UCTECG-Net: Uncertainty-aware Convolution Transformer ECG Network for Arrhythmia Detection
[arXiv] 2026-02-18 | Geometric Neural Operators via Lie Group-Constrained Latent Dynamics
[arXiv] 2026-02-18 | Cryptographic Applications of Twisted Goppa Codes
[arXiv] 2026-02-18 | Training-Free Adaptation of Diffusion Models via Doob's $h$-Transform
[arXiv] 2026-02-18 | Beyond Learning: A Training-Free Alternative to Model Adaptation
[arXiv] 2026-02-18 | Conjugate Learning Theory: Uncovering the Mechanisms of Trainability and Generalization in Deep Neural Networks
[arXiv] 2026-02-18 | Reinforcement learning for path integrals in quantum statistical physics
[arXiv] 2026-02-18 | Self-Organized Bioelectricity via Collective Pump Alignment: Physical Origin of Chemiosmosis
[arXiv] 2026-02-18 | Proof of Miyanishi's conjecture on endomorphisms of varieties
[arXiv] 2026-02-18 | Emotion Collider: Dual Hyperbolic Mirror Manifolds for Sentiment Recovery via Anti Emotion Reflection
[arXiv] 2026-02-18 | Uncertainty-Guided Inference-Time Depth Adaptation for Transformer-Based Visual Tracking
[arXiv] 2026-02-18 | Quantum modularity of signatures in TQFT and generalized Dedekind sums
[arXiv] 2026-02-18 | Peeking Ahead of the Field Study: Exploring VLM Personas as Support Tools for Embodied Studies in HCI
[arXiv] 2026-02-18 | Weak Zero-Knowledge and One-Way Functions
[arXiv] 2026-02-18 | Energy-Efficient p-Bit-Based Fully-Connected Quantum-Inspired Simulated Annealer with Dual BRAM Architecture
[arXiv] 2026-02-18 | Empirical Cumulative Distribution Function Clustering for LLM-based Agent System Analysis
[arXiv] 2026-02-18 | Graph--Based Event Fingerprints for Classifying Geomagnetic Storm--Driven Forbush Decreases
[arXiv] 2026-02-18 | The nonlinear Schrödinger equation with combined nonlinearities in 1D
[arXiv] 2026-02-18 | Flat-top solitons and anomalous interactions in media with even-order dispersions and competing nonlinearities
[arXiv] 2026-02-18 | Federated Graph AGI for Cross-Border Insider Threat Intelligence in Government Financial Schemes
[arXiv] 2026-02-18 | Advancing Industry 4.0: Multimodal Sensor Fusion for AI-Based Fault Detection in 3D Printing
[arXiv] 2026-02-18 | GPSBench: Do Large Language Models Understand GPS Coordinates?
[arXiv] 2026-02-18 | On the discrete Heine-Shephard problem for four lattice polygons
[arXiv] 2026-02-18 | Axle Sensor Fusion for Online Continual Wheel Fault Detection in Wayside Railway Monitoring
[arXiv] 2026-02-18 | Collaborative Zone-Adaptive Zero-Day Intrusion Detection for IoBT
[arXiv] 2026-02-18 | IndicEval: A Bilingual Indian Educational Evaluation Framework for Large Language Models
[arXiv] 2026-02-18 | The Complexity Landscape of Two-Stage Robust Selection Problems with Budgeted Uncertainty
[arXiv] 2026-02-18 | Quantitative study of Silicon Waveguides for the Generation of Quantum Correlated Photon Pairs Bridging Mid-Infrared and Telecom Bands
[arXiv] 2026-02-18 | An Integrated Ultralow Noise Spiral Interferometric Laser
[arXiv] 2026-02-18 | On the uniqueness and structural stability of Couette-Poiseuille flow in a channel for arbitrary values of the flux
[arXiv] 2026-02-18 | Continuous Fluid Antenna Sampling for Channel Estimation in Cell-Free Massive MIMO
[arXiv] 2026-02-18 | On coefficients, potentially abelian quotients, and residual irreducibility of compatible systems
[arXiv] 2026-02-18 | GICDM: Mitigating Hubness for Reliable Distance-Based Generative Model Evaluation
[arXiv] 2026-02-18 | Hensel minimality, $p$-adic exponentiation and Tate uniformization
[arXiv] 2026-02-18 | Cohomological support varieties of certain monomial ideals
[arXiv] 2026-02-18 | Dynamical generation of fermion mass in a scalar-fermion theory with $λφ^4$ interaction
[arXiv] 2026-02-18 | Combined dynamic-kinematic validation of droplet-wall impact modeling
[arXiv] 2026-02-18 | Online Single-Channel Audio-Based Sound Speed Estimation for Robust Multi-Channel Audio Control
[arXiv] 2026-02-18 | Positive Charts of Toric Varieties
[arXiv] 2026-02-18 | Three dimensional contractile droplet under confinement
[arXiv] 2026-02-18 | Primal-dual dynamical systems with closed-loop control for convex optimization in continuous and discrete time
[arXiv] 2026-02-18 | Easy Data Unlearning Bench
[arXiv] 2026-02-18 | Deepest ever photographed Geminid with small but not negligible terminal mass
[arXiv] 2026-02-18 | On Harish-Chandra's integrability theorem in positive characteristic
[arXiv] 2026-02-18 | Computing Tarski Fixed Points in Financial Networks
[arXiv] 2026-02-18 | Asymptotic Freedom of V-A Fermi Interaction
