[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[arXiv] 2026-08-12 | Some Reverse Hardy-Littlewood-Sobolev Type Inequalities
[arXiv] 2026-08-12 | Lithography-free patterning of SrTiO$_3$-based two-dimensional electron gases using direct atomic layer processing
[arXiv] 2026-08-12 | Silent Updates: Measuring and Closing the Post-Deployment Disclosure Gap
[arXiv] 2026-08-12 | Spatial coherence enabled sensorless adaptive optical imaging
[arXiv] 2026-08-12 | TRACE: A Modular Framework for RIS-Assisted Channel Estimation and Differential Channel-Aware Reconfiguration
[arXiv] 2026-08-12 | Toward Meaningful Transparency for AI Chatbots: Disclosing Persuasive Intent Reduces Persuasion
[arXiv] 2026-08-12 | RaStream: Edge-Deployable Streaming Human Mesh Recovery from mmWave Radar
[arXiv] 2026-08-12 | High-Order Liquid Evidence Encoding for Gradual GNSS Spoofing Detection in Autonomous Driving
[arXiv] 2026-08-12 | VOLA: Improving Open-World Driving by VLM-Based Semantic Attribute Prediction
[arXiv] 2026-08-12 | Radio flares and X-ray hardening embedded in the long soft state of 4U 1543-475
[arXiv] 2026-08-12 | Diagnosis Before Recovery: Turning Agent Failures into Selective Self-Correction
[arXiv] 2026-08-12 | Dual Modality Prompted Diffusion Priors for Zero Shot Hyperspectral Pansharpening
[arXiv] 2026-08-12 | Magnetic noise of a dark exciton Bose-Einstein condensate
[arXiv] 2026-08-12 | ContactIPM: A Structure-Exploiting Interior-Point Solver for Contact-Implicit Trajectory Optimization
[arXiv] 2026-08-12 | The critical exponent for semilinear wave equations with damped oscillations
[arXiv] 2026-08-12 | High-dimensional Multi-objective Bayesian Optimization with Learned Variable Interactions
[arXiv] 2026-08-12 | How to Beat FCFS
[arXiv] 2026-08-12 | Trapped surface formation via radial boosts
[arXiv] 2026-08-12 | Making Your LLMs More Objective: Stabilizing LLM Safety Behavior Across Traits with Trait-Invariant Safety Tuning
[arXiv] 2026-08-12 | STAR: A Spatial-Topology Aware Routing Framework for Generalizable 3D Scene Understanding
[arXiv] 2026-08-12 | Boundary-Enhanced Segmentation of Pig Point Clouds in Commercial Housing Environments
[arXiv] 2026-08-12 | Altered Cosmic Organics as Venus' Ultraviolet Absorbers
[arXiv] 2026-08-12 | Development and Initial Performance of an Upgraded NaI(Tl) Crystal Encapsulation for COSINE-100U
[arXiv] 2026-08-12 | FunnelCausalNet: Funnel-aware Joint Conversion-Revenue Uplift for Multi-tier Coupon Allocation
[arXiv] 2026-08-12 | Sparse Rotatable Arrays (SRA): Unifying Array Aperture and Antenna Directivity for Wireless Communications
[arXiv] 2026-08-12 | Forbidden-Total-Size Nim
[arXiv] 2026-08-12 | Confucius4-TTS: Transcript-Free Cross-Lingual Zero-Shot TTS with a Learnable Speaker Encoder
[arXiv] 2026-08-12 | Robustness of AI-Art Detectors under Generator Shift
[arXiv] 2026-08-12 | Uniform Local Asymptotics for Lévy Processes with Subexponential Jumps
[arXiv] 2026-08-12 | Full-Stack High-Volume Quantum Networking Architecture based on Photonic-Integrated Tin Vacancy Centers in Diamond
[arXiv] 2026-08-12 | Easper: An Accessible ASR Pipeline for Language Documentation
[arXiv] 2026-08-12 | Organizational Technology Ladders: Remote Work and Generative AI Adoption
[arXiv] 2026-08-12 | Dynamic Trajectory Analysis of Meteoroids Showing Minimal Deceleration
[arXiv] 2026-08-12 | Semiorthogonal indecomposability for Hilbert schemes of points on integral locally planar curves
[arXiv] 2026-08-12 | How Can Driving World Models Do Counterfactual Prediction?
[arXiv] 2026-08-12 | An AoI-oriented Time-Frequency Distributed Access Mechanism in Wireless Sensor Networks with Spectrum Division
[arXiv] 2026-08-12 | Small Language Model enabled Autonomous agent for Language-Conditioned Cognitive Radar
[arXiv] 2026-08-12 | Robust Multi-Tier Infant-Centered Audio Understanding with Whisper via Structured Speaker Conditioning
[arXiv] 2026-08-12 | Higher Regularity of Homogeneous Gradient Compositions for $p$-Laplace-Type Equations
[arXiv] 2026-08-12 | EnterpriseRAG: Benchmarking LLM Instruction Adherence and Robustness under Non-Ideal Enterprise Retrieval
[arXiv] 2026-08-12 | A Hybrid Framework of Vision Transformer and Gated Recurrent Unit for Detection of Mosquito Diseases
[arXiv] 2026-08-12 | Dialogue-Aware Video-to-Music Generation Using Public Domain Film Collections
[arXiv] 2026-08-12 | Minkowski Polytopes of Spherical Designs: High-Order Isotropy and Quantitative Sphericity
[arXiv] 2026-08-12 | From Synthesis to Removal: Physics-Grounded Reflection Simulation and Diffusion-Based Video Dereflection
[arXiv] 2026-08-12 | A Helium-shell Burning Blue Horizontal Branch Star Produced from Common Envelope Evolution
[arXiv] 2026-08-12 | Certifying What Helps Customer-Return Timing: A Screen-and-Confirm Test for Conditioning Signals, and Why Decay Is Nearly Enough
[arXiv] 2026-08-12 | Tripartite Zarankiewicz numbers and norm graphs
[arXiv] 2026-08-12 | CT-$Δ$Bench: A Benchmark for Longitudinal 3D Medical Imaging Difference Reporting with Vision-Language Models
[arXiv] 2026-08-12 | On Weak Bisimilarities in CCSK
[arXiv] 2026-08-12 | How to Identify a Majoron: Effective Field Theories of Spontaneous Lepton Number Breaking
[arXiv] 2026-08-12 | New Orthogonal Multiwavelet Filters Derived by Matrix Spectral Factorization
[arXiv] 2026-08-12 | A Framework for Designing Reward Functions: From Objectives to Features to Human-Aligned Reward Functions
[arXiv] 2026-08-12 | The finite basis problem for the flat semirings $S(W)$
[arXiv] 2026-08-12 | Large Language Model-Driven Small-Capitalization Trading: Integrating Financial News Sentiment, Macroeconomic Indicators, and Technical Signals
[arXiv] 2026-08-12 | CHANG-ES XL: Magnetic Field Structures in the Disk and Halo of NGC 891
[arXiv] 2026-08-12 | An $L^p$-Theory for Time-Periodic Mixed-Order Partial Differential Equations under General Boundary Conditions
[arXiv] 2026-08-12 | Measurement of third-order elastic constants using thermal modulation of ultrasonic waves
[arXiv] 2026-08-12 | Domain-Aware Lightweight Spectral-Grouped Convolutions for Hyperspectral Fish Freshness Classification
[arXiv] 2026-08-12 | The traveling wave solutions of the 1D hyperbolic Keller-Segel equations
[arXiv] 2026-08-12 | Higher-order variation and pathwise Ito calculus on manifolds
[arXiv] 2026-08-12 | Effects of Soret Diffusion and Radiative Heat Loss on the Evolution of Buoyant Flame Kernels in Ultra-Lean Hydrogen-Air Mixture
[arXiv] 2026-08-12 | SCOUT: Unlocking Enhanced Spatial Reasoning via Structured Chain-of-Thought and Multi-Objective Process Reward
[arXiv] 2026-08-12 | ScreenShot: A Foundation Model for Few-Shot Combination Drug Screening
[arXiv] 2026-08-12 | Parity Mapping for Quantum Optimization on Frustrated Ising Rings
[arXiv] 2026-08-12 | The Hajnal-Szemerédi theorem in digraphs revisited
[arXiv] 2026-08-12 | Nielsen classes in outer automorphism groups of free groups
[arXiv] 2026-08-12 | NetlistBench: Evaluating LLM Reliability in SPICE Netlist Recognition and Manipulation
[arXiv] 2026-08-12 | M-Net: Integrating Spectral Features and Physical Field Operators into Deep Learning for Medical Image Segmentation
[arXiv] 2026-08-12 | HYDRA: Hyperbolic Dynamic Representation Architecture for Kolmogorov-Arnold Networks
[arXiv] 2026-08-12 | LIGO Detector Characterization in the Second and Third Parts of the Fourth Observing Run
[arXiv] 2026-08-12 | Lectures on ultrathin film ferromagnetism
[arXiv] 2026-08-12 | Floquet-Resolved Dissipation Selects Entanglement Beyond Population Spectroscopy
[arXiv] 2026-08-12 | Harmonic Ranking for Edge-Weighted Oblivious Matching
[arXiv] 2026-08-12 | Empirical likelihood confidence regions for ordered bivariate means
[arXiv] 2026-08-12 | Strongly Polynomial Parallel Maximum Flow Revisited
[arXiv] 2026-08-12 | Models of a point particle in a three-dimensional AdS universe
[arXiv] 2026-08-12 | Autonomous Telerehabilitation via Skeletal Motion Prediction and Joint-Level Performance Assessment
[arXiv] 2026-08-12 | Lorentz Symmetry Breaking Traversable Wormhole Models Supported by Einasto Dark Matter
[arXiv] 2026-08-12 | Macroscopic fluctuation theory for the multi-time statistics of current in non-stationary diffusive systems
[arXiv] 2026-08-12 | Attractor Image-Based Deep Learning of Arterial Pulse Waves for Age Classification
[arXiv] 2026-08-12 | Structuring the Space of Perspectives
[arXiv] 2026-08-12 | RT-SEMamba: Real-Time Speech Enhancement Mamba via Progressive Knowledge Distillation
[arXiv] 2026-08-12 | Thermoelastic Harvesting Outperforming Thermoelectric Generators Below 100 °C
[arXiv] 2026-08-12 | Task- and dataset-specific information in protein language models
[arXiv] 2026-08-12 | Look What the Probes Dragged In! Real-World Chest X-ray Shortcuts in MedCLIP
[arXiv] 2026-08-12 | Polynomial-Time Singular Witnesses for Non-SNS Sign Patterns
[arXiv] 2026-08-12 | On ${\rm b}^{\ast}$-Coloring and $z$-Coloring of graphs with high girth
[arXiv] 2026-08-12 | Preference Tree Optimization: Enhancing Goal-Oriented Dialogue with Look-Ahead Simulations
[arXiv] 2026-08-12 | A Multiscale Primal-Dual Interior-Point Relaxation Method for Large-Scale Optimal Transport Problems
[arXiv] 2026-08-12 | Deviation inequalities for U-processes of growing order, with applications to half-space depth
[arXiv] 2026-08-12 | Probing Impurity Quantum Criticality with Entanglement Witnesses
[arXiv] 2026-08-12 | The Role Specialization Model (RSM): Coordinating LLM-Based Tools in Agentic Software Development - An Exploratory Case Study
[arXiv] 2026-08-12 | A contiguity approach to replica symmetric marginals
[arXiv] 2026-08-12 | Constructing Dynamic Master Logic Models as Knowledge Graphs for Complex System Diagnostics Using Retrieval-Augmented Large Language Models
[arXiv] 2026-08-12 | Characterizing Nonlinearities in IM-DD Links via the Best Linear Approximation: Distortion Analysis and Modulation Optimization
[arXiv] 2026-08-12 | Measure-free Koopman-von Neumann Dynamics and Noncommutative Geometry
[arXiv] 2026-08-12 | Robust Ambiguity Detection (RAD) From Model- and Feature-Space Consistency
[arXiv] 2026-08-12 | Understanding Content Moderation in Large Language Models through Restricted Books: From Refusal to Warning
[arXiv] 2026-08-12 | Towards Genuine Coexistence: Per-Satellite Emission and Radiation Limits to Protect Radio Astronomy and Geodetic VLBI at 1-14 GHz from Satellite Constellations
[arXiv] 2026-08-12 | Energy-Dependent Dechanneling in Cu: Insights from Monte Carlo Channeling Simulations
[arXiv] 2026-08-12 | Static multipolar Einstein-vector-Gauss-Bonnet black holes
[arXiv] 2026-08-12 | Warping Earth Observations for better ice labeling in the Marginal Marginal Ice Zone
[arXiv] 2026-08-12 | Hasse-Witt invariants for trace forms of Jacobi polynomials
[arXiv] 2026-08-12 | Height lower bounds for elements of highly composite rings
[arXiv] 2026-08-12 | LookBack: Where and How to Score LVLM Responses via Visual Reference Usage
[arXiv] 2026-08-12 | Numerical methods for the simulation of quantum walks and quantum annealing
[arXiv] 2026-08-12 | On $2$-blocks with quaternion defect groups
[arXiv] 2026-08-12 | Hyperbolicity and obstructions to PL actions of the circle
[arXiv] 2026-08-12 | Physics of the Electron-Ion Collider in China
[arXiv] 2026-08-12 | Coherent quantum geometry: de Sitter spacetime in different foliations
[arXiv] 2026-08-12 | A determination of the backscattering probability of low-energy antiprotons
[arXiv] 2026-08-12 | Efficient Compilation for Hamiltonian Simulation via Global Binary Symplectic Form Simplification
[arXiv] 2026-08-12 | Quintic surfaces with 18 cusps
[arXiv] 2026-08-12 | Eigenstate Preparation Through Near-Optimal Eigenprobability Filtering
[arXiv] 2026-08-12 | Draw This First
[arXiv] 2026-08-12 | CoDiR: Confidence-Guided Diffusion Refinement for Semi-Supervised Histopathology Segmentation
[arXiv] 2026-08-12 | Disco in the Dust: Reflected light at the bow shock around Betelgeuse's companion explains its observed luminosity
[arXiv] 2026-08-12 | Hamilton-Zero: A Neural Tensor-Network Foundation Model for Ground States of Arbitrary Quadratic Qubit Hamiltonians
[arXiv] 2026-08-12 | Long-window 4DVar for reanalysis using a differentiable weather model
[arXiv] 2026-08-12 | Orientation, not magnitude: the causal structure of task-vector interference in merged language models
[arXiv] 2026-08-12 | GRPO for Financial Advice Generation: Outperforming Commercial LLMs under CATE Evaluation
[arXiv] 2026-08-12 | Coarsening Latent-Class Probabilities: Directional Distortion and Coverage Loss
[arXiv] 2026-08-12 | Proof-Valid Caching under Premise Erasures: Local Structural Limits and Shared-Workload Gains
[arXiv] 2026-08-12 | The Sleeping Agent: What Gist-Based Context Compression Loses and Why
[arXiv] 2026-08-12 | Achieving Near-Zero-Overhead Multi-Model Hierarchical Classification in Real-Time Detection Pipelines
[arXiv] 2026-08-12 | Cherenkov light as a mechanism for light flashes seen by astronauts in space
[arXiv] 2026-08-12 | Tight Nonasymptotic Local Convergence of Sinkhorn-Knopp
[arXiv] 2026-08-12 | AWARe: Mitigating Catastrophic Forgetting via Activation-Weighted Adaptive REtention
[arXiv] 2026-08-12 | Complete characterization of the differential spectrum of a Niho type power function
[arXiv] 2026-08-12 | G0.5: One Autoregressive Stream for Robot Reasoning and Action
[arXiv] 2026-08-12 | Plaintext Recovery Against Post-Filtering Access Control
[arXiv] 2026-08-12 | Kakeya sets and dimension compression in compact Lie groups
[arXiv] 2026-08-12 | The Wording Effect: Quantifying Two-Way Drift in LLM Benchmark Performance
[arXiv] 2026-08-12 | Learning from Multimodal Pseudo-Labels for Robust Open-Vocabulary Instance and Panoptic Segmentation
[arXiv] 2026-08-12 | AgenticTwin: An Agentic LLM Framework Integrated with Digital Twin for Anomaly Detection
[arXiv] 2026-08-12 | GCPO: Diagnosing and Constraining Subspace Geometry in Rollout RL for LLMs
[arXiv] 2026-08-12 | An improved finite bound for oriented trees in tournaments
[arXiv] 2026-08-12 | Is Per-Agent Policy Composition Safe? Rethinking Successor-Feature Transfer in Cooperative Multi-Agent Reinforcement Learning
[arXiv] 2026-08-12 | Continuous-Latent Predictive Modeling with Semantic Alignment for EEG-Language Foundation Models
[arXiv] 2026-08-12 | FM-LLM: A frequency-enhanced mixture-of-experts framework for adapting LLMs to time series forecasting
[arXiv] 2026-08-12 | KANResDiff: Learning Local Residual Diffusion via Kolmogorov-Arnold Network for Ambiguous Medical Image Segmentation
[arXiv] 2026-08-12 | Integrated Sensing and Communication in 3GPP: Evolution from 5G-Advanced to 6G
[arXiv] 2026-08-12 | Foresight Without Seeing: Latent Futures for World Action Models
[arXiv] 2026-08-12 | Learning from Online User Feedback for Shopping Agents
[arXiv] 2026-08-12 | Luna-TTS Family Technical Report
[arXiv] 2026-08-12 | Localizing Safety Alignment: MLP Layers and Mid-Network Blocks Encode Refusal Behavior in Large Language Models
[arXiv] 2026-08-12 | RAGE-Vis:A Relation-Aware Generative Editing Interface for Natural Language-Based Chart Editing
[arXiv] 2026-08-12 | Uni-SFU: Algorithm-HW Co-Design for Universal SFUs via Mixed-Degree Piecewise Approximation
[arXiv] 2026-08-12 | Spherical CR uniformizations of a sequence of hyperbolic 3-manifolds
[arXiv] 2026-08-12 | Improved quantum sampling methods for molecular simulations
[arXiv] 2026-08-12 | Alignment of Similarity-Transformed Images Based on Fourier--Mellin Transform Using Auxiliary Function Method
[arXiv] 2026-08-12 | Spatially Resolving the Pre-Thermal Anatomy of a Driven Bosonic Fluid
[arXiv] 2026-08-12 | When Offline Evaluation Misleads: A Diagnostic Protocol for Reward and Policy Selection in Delayed-Feedback Contextual Bandits
[arXiv] 2026-08-12 | Simulating Ionic Liquid Fragmentation in Electrospray Thrusters with Foundation Models
[arXiv] 2026-08-12 | Class Activation Mapping in Explainable Computer Vision: A Method-Centered Review of CNN, Transformer, and Foundation-Model-Era Visual Explanations
[arXiv] 2026-08-12 | When should one stop the most exciting game? Sequential Inference for win-martingales
[arXiv] 2026-08-12 | XYZFlow:Scaling Multi dimensional Shortcut Flows for Efficient Generative Modeling
[arXiv] 2026-08-12 | A Neighborhood Attention Transformer Network for Enhanced 3D Segmentation of the Left Anterior Descending Artery
[arXiv] 2026-08-12 | Earth observation embeddings are effective sub-grid descriptors for probabilistic weather downscaling
[arXiv] 2026-08-12 | Digital Twin Networks for 6G Wireless Systems: Architecture, Enabling Technologies, Intelligent Control, and Open Challenges
[arXiv] 2026-08-12 | Normalized skew Schur polynomials are Lorentzian
[arXiv] 2026-08-12 | Diagram-MMU: A Multi-Modal Benchmark for Scientific Diagrams
[arXiv] 2026-08-12 | A systematic comparison of green valley selection criteria across multiparameter spaces using a homogeneous ultraviolet-optical dataset
[arXiv] 2026-08-12 | Calibration Bets on the Past: Post-Training Quantization for Financial Time-Series Forecasting
[arXiv] 2026-08-12 | Power sums and Siegel-type zero-free regions for L-functions
[arXiv] 2026-08-12 | Evidence for the First Globular Cluster Stellar Stream beyond the Milky Way
[arXiv] 2026-08-12 | Sharp Berry-Esseen Bounds for the Log Determinant of a Gaussian Sample Correlation Matrix
[arXiv] 2026-08-12 | ScaleVid: Geometry-Aware Video Object Scaling with Mesh-Free Inference
[arXiv] 2026-08-12 | High-energy neutrino signatures of embedded GRB jets in AGN disks: a dynamic jet-propagation framework
[arXiv] 2026-08-12 | Finding black hole spins efficiently during a numerical binary evolution
[arXiv] 2026-08-12 | Derivation and application of sheath boundary conditions for drift-kinetic simulations in a linear plasma device based on a gyromoment approach
[arXiv] 2026-08-12 | Parallel covering a rhombus with equilateral triangles
[arXiv] 2026-08-12 | How to Spend Your Oracle Budget: Practical Guidance for Protein Structure Prediction Models
[arXiv] 2026-08-12 | Economic Distance Structures Urban Mobility in 109 U.S. Cities
[arXiv] 2026-08-12 | Shadowing in the presence of singularities: oriented versus standard shadowing, entropy and the structure of recurrent sets
[arXiv] 2026-08-12 | Understanding Why Foundation Models Work for Diffusion-Generated Image Detection
[arXiv] 2026-08-12 | Shortcuts to Parameter Sweeps
[arXiv] 2026-08-12 | Halving the size of skew-symmetric eigenvalue problems via the polar decomposition
[arXiv] 2026-08-12 | The electrical transport of intrinsic two-dimensional ferroelectric metal PtBi2
[arXiv] 2026-08-12 | The Average Singular Value of a Real Square Gaussian Random Matrix Strictly Increases with Dimension
[arXiv] 2026-08-12 | RoutePack: Expert Placement and Attention-Aware Data Packing for MoE Reinforcement Learning
[arXiv] 2026-08-12 | FQTree: Fine-grained Quantization and Hardware Generation of Boosted Decision Trees
[arXiv] 2026-08-12 | Tolls for Dynamic Equilibrium Flows
[arXiv] 2026-08-12 | GUIDE: Governed Unified Intelligence for Document-to-Artifact Generation in Enterprise Settings
[arXiv] 2026-08-12 | Twist-Reconfigurable van der Waals Moiré Photonic Crystals
[arXiv] 2026-08-12 | Avatar-Forever: Decoupled Parallel Training for High-Quality Real-Time Infinite Avatars
[arXiv] 2026-08-12 | A non-orderable overtwisted contact structure on the sphere
[arXiv] 2026-08-12 | Confidence Calibration of Deep Learning Systems
[arXiv] 2026-08-12 | Complexity rank one implies real rank zero
[arXiv] 2026-08-12 | Parallel Machine Scheduling with a Singler Server and Loading-Unloading Operations
[arXiv] 2026-08-12 | Faithful, Sufficient and Understandable: Rethinking Graph Counterfactual Explanations via Discrete Diffusion Inversion
[arXiv] 2026-08-12 | Rethinking Language Model-Based Generative Speech Enhancement in the Latent Space of a Neural Audio Codec
[arXiv] 2026-08-12 | Better Slots, Better Worlds: Representation Quality & Robustness in Object-Centric World Models
[arXiv] 2026-08-12 | Real-time topological rate at non-zero momentum in quenched QCD
[arXiv] 2026-08-12 | Learning Loco-Manipulation From SMPC Demonstrations With Sparse Offline-to-Online RL
[arXiv] 2026-08-12 | Phonon anomalies and critical scaling in the spin-$1/2$ trimer chain Na$_2$Cu$_3$Ge$_4$O$_{12}$
[arXiv] 2026-08-12 | Secure Coverage Enhancement in Aerial Reconfigurable Intelligent Surface-Assisted High-Speed Train Communication Systems
[arXiv] 2026-08-12 | Localizing to Debias: A Patch-Level Benchmark and Baseline for Weakly Supervised Spatial Anomaly Detection
[arXiv] 2026-08-12 | How Far from Clinical Deployment? Evaluating the Complete Unsupervised Domain Adaptation Pipeline in Medical Imaging
[arXiv] 2026-08-12 | Efficient Assembly of a Defect-Free Quantum Register of 1024 Neutral-Atom Qubits
[arXiv] 2026-08-12 | RealisticTritonBench: A Benchmark for Triton-Kernel Generation in Real-World AI Frameworks
[arXiv] 2026-08-12 | CTBench: Evaluating Troubleshooting Capabilities of AI Agents in Realistic Telecom Network Operations
[arXiv] 2026-08-12 | Remote Sensing and Machine Learning-Based Analysis of Land Use and Vegetation Change in Dhaka District, Bangladesh
[arXiv] 2026-08-12 | AFDM-ISAC With Fractional Delay-Doppler Coupling
[arXiv] 2026-08-12 | Latent variable models for simultaneous EOV identification and removal in population-based SHM
[arXiv] 2026-08-12 | Perfect State Transfer on Oriented Circulant Graphs: A Complete Classification
[arXiv] 2026-08-12 | Variational Principles and Rearrangement Inequalities for asymmetric Operators on Periodic Lattices
[arXiv] 2026-08-12 | Modules over the Takiff Block type Lie algebra
[arXiv] 2026-08-12 | Universality in the deswelling of tangentially active polymer chains in dilute solutions
[arXiv] 2026-08-12 | TESLA: Taylor Expansion of Sinusoidal Learnable Activations
[arXiv] 2026-08-12 | Blandford-Znajek Scaling in a Power-Law Rotating Kalb-Ramond Geometry: Magnetic-Flux Systematics and Bayesian Identifiability
[arXiv] 2026-08-12 | New constraints on the binary system HD 327083 and its gaseous and dusty environments
[arXiv] 2026-08-12 | An improved bond-associated peridynamic model and its adaptive coupling with CCM for fracture analysis
[arXiv] 2026-08-12 | Surfsvr: 2D Surface Priors as 3D Geometric Regularizers for Sparse Voxel Reconstruction
[arXiv] 2026-08-12 | Twitter and disability activism: leadership and relevant topics in the online conversation
[arXiv] 2026-08-12 | LODESTAR: Trustworthy Entropy Is Navigated, Not Merely Measured -- Reinforced Polarizer Keeps a Frozen LLM from Being Confidently Misled by the Wrong Evidence
[arXiv] 2026-08-12 | Products of Two Integers Avoiding Perfect Powers
[arXiv] 2026-08-12 | HarmoniDPO: Video-guided Audio Generation via Preference-Optimized Diffusion
[arXiv] 2026-08-12 | Disentangling the Expressivity of RoPE
[arXiv] 2026-08-12 | Do You See What You Draw? A Semantic Closed-Loop Framework for Holistic Evaluation of Unified Multimodal Models
[arXiv] 2026-08-12 | End-to-End Modelling of Earthquake-Induced Polarisation Perturbations in Submarine Optical Fibres
[arXiv] 2026-08-12 | Do Text-to-Music Models Really Follow Instructions? A Counterfactual Evaluation of Key and Beat Grouping
[arXiv] 2026-08-12 | Continuous Linear Surjections from $C_p(X)$ onto Symmetric Sequence Ideals in $c_0$
[arXiv] 2026-08-12 | The optimization landscape of peaked-circuit generation
[arXiv] 2026-08-12 | Bivariate quaternionic factorizations and surfaces that decompose into two circles
[arXiv] 2026-08-12 | D3D-GEN: Robot-Aware Domain-Grounded Interactive 3D World Generation for Social Robotics
[arXiv] 2026-08-12 | Self-similar Delone sets and Pisot numbers
[arXiv] 2026-08-12 | Two-Stage Deformable-Convolutional Inverse Design of Nanophotonic Absorbers from Optical Spectra
[arXiv] 2026-08-12 | Taiji Resolving Power for the Transverse Scalar Mode of Gravitational Waves
[arXiv] 2026-08-12 | BoltNet: An Ultra-Lightweight Convolutional Network for On-Device Plant Species Identification
[arXiv] 2026-08-12 | Air Quality Station Simulation via LSTM and Attention-Based Modelling
[arXiv] 2026-08-12 | TD-VAD: Breaking Visual Dependence in Video Anomaly Detection with Text-Driven Learning
