[2026-06-09 23:17:23] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | ContextShift: A Controlled Benchmark for Context Dependence in Object Detection
[arXiv] 2026-06-08 | ERBench: A Benchmark and Testsuite for Equation Discovery Algorithms
[arXiv] 2026-06-08 | Reverse Stress Testing for Multivariate Scenarios: A Conditional Framework for Stressed Time Series
[arXiv] 2026-06-08 | O'Neil-type inequalities in Morrey spaces on the set T^n
[arXiv] 2026-06-08 | VGP-Nav: Metric-Aware Visual Geometric Perception for Robot Navigation
[arXiv] 2026-06-08 | Non-Bloch band theory of boundary-controlled magnon edge modes in an antiferromagnetic chain
[arXiv] 2026-06-08 | Physics-Guided Sequence-Based Generative Framework for Acoustic Metamaterial Inverse Design
[arXiv] 2026-06-08 | Curvature-guided topology and self-assembly in chiral nematics and liquid-crystal colloids
[arXiv] 2026-06-08 | A Poisson Kernel for a Non-Symmetric Elliptic Operator in a Bounded Domain
[arXiv] 2026-06-08 | SOMA: From Surface Observations to Muscle Anatomy
[arXiv] 2026-06-08 | Closing the Indexing-Decoding Gap in Multimodal Generative Retrieval via Prefix Retention Optimization
[arXiv] 2026-06-08 | On topological indices of random caterpillar graphs
[arXiv] 2026-06-08 | TinyContainer: Container Runtime Middleware Enabling Multi-tenant Microcontrollers with Built-in Security
[arXiv] 2026-06-08 | Minimal Solvers for Full-DoF Motion Estimation from Asynchronous Differential SfM
[arXiv] 2026-06-08 | MotionWAM: Towards Foundation World Action Models for Real-Time Humanoid Loco-Manipulation
[arXiv] 2026-06-08 | Insufficiency of the algebraic Brauer--Manin obstruction for homogeneous spaces
[arXiv] 2026-06-08 | Frequent Itemset Mining with Quantum Computing
[arXiv] 2026-06-08 | The Injection Paradox: Brand-Level Suppression in Safety-Trained LLM Recommendations via RAG Context Injection
[arXiv] 2026-06-08 | Resource-aware Computation-Communication Overlap for multi-GPU ML Workloads
[arXiv] 2026-06-08 | Equivariant deformations of isolated singularities and applications
[arXiv] 2026-06-08 | Compact Optical-Resolution Photoacoustic Microscopy System with Reflective Objective-Based Transducer Integration
[arXiv] 2026-06-08 | CP4D: Compositional Physics-aware 4D Scene Generation
[arXiv] 2026-06-08 | Topological complexity for closed 1-forms
[arXiv] 2026-06-08 | A Differentiable Simulation of the Eye for Patient-Specific Strabismus Surgery Planning
[arXiv] 2026-06-08 | Muon Learns More Robust and Transferable Features than Adam
[arXiv] 2026-06-08 | Beyond Accuracy: Community Perspectives on Machine Translation
[arXiv] 2026-06-08 | MAVIS: Multi-Agent Video Retrieval via Structured Video Understanding
[arXiv] 2026-06-08 | Blowing star formation away in AGN hosts (BAH) -- V: The Feeding-Feedback Cycle in local AGNs as reveled by their stellar populations
[arXiv] 2026-06-08 | Entanglement Generation through Coherent and Non-Coherent Control
[arXiv] 2026-06-08 | ARTGEL: A temperature-regulated electrophoresis platform for quantitative studies of reversible association in gels
[arXiv] 2026-06-08 | Seeing the Hivemind: A Consensus-Aware Interaction Technique for Mitigating AI Homogenization
[arXiv] 2026-06-08 | Pressure-robust and quasioptimal Discontinuous Galerkin discretisations of the $p$-Stokes problem
[arXiv] 2026-06-08 | A characterization of Projective and Weakly Projective Boolean Algebras
[arXiv] 2026-06-08 | TABVERSE: Benchmarking Cross-Format Table Understanding in LLMs and VLMs
[arXiv] 2026-06-08 | k-Means Clustering in Fingerprint-Based Configuration Selection for Fitting Interatomic Potentials
[arXiv] 2026-06-08 | Search for new physics using single-lepton events with high multiplicities of jets and b jets in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-06-08 | Nonlinear oscillations of the amplitude of energetic-particle induced geodesic acoustic modes
[arXiv] 2026-06-08 | Integrating gene regulatory priors into Transformer attention with scTransformer for interpretable scRNA-seq analysis
[arXiv] 2026-06-08 | Scaling Behaviors of Work Cumulants in Slow Isothermal Processes
[arXiv] 2026-06-08 | An Adaptive Coherent Interferometric Oscillator Based on an Optoelectronic Magnonic Parametric Oscillator
[arXiv] 2026-06-08 | A VideoMAE-v2 Approach to Zero-Shot Traffic Accident Anticipation
[arXiv] 2026-06-08 | A Continuification Approach to CAV Control in Mixed Traffic via Variable Speed Limits
[arXiv] 2026-06-08 | Interpretable Crisis Behavior Analysis Using Mobility and Social Media Data
[arXiv] 2026-06-08 | Hybrid Metaheuristic Combining the Dragonfly Algorithm and Tabu Search for the Traveling Salesman Problem
[arXiv] 2026-06-08 | Relocate and Emulate: Re-Hosting Android's Application Layer
[arXiv] 2026-06-08 | Control problem in millimeter-wave adaptive optics
[arXiv] 2026-06-08 | Local Search on Vertex Coloring for Bipartite Graphs
[arXiv] 2026-06-08 | Guaranteed Fast Implementation of the Split Covariance Intersection Filter: Nested Newton Method Thanks to the Fourth-Order Convexity of w-Optimization
[arXiv] 2026-06-08 | Spectral distortion anisotropies from photon to dark photon conversions
[arXiv] 2026-06-08 | Scaling laws and local enhancements of buoyancy flux in stratified turbulent flows
[arXiv] 2026-06-08 | LangRetrieval: Language-Guided Self-Evolving Satellite-to-Radar Retrieval via CSI-Driven Reward
[arXiv] 2026-06-08 | Memory Beyond Recall: A Dual-Process Cognitive Memory System for Self-Evolving LLM Agents
[arXiv] 2026-06-08 | Optical Music Recognition for Real-World Manuscripts with Synthetic Data
[arXiv] 2026-06-08 | Goal Sets, Not Goal States: Queryable Robot Goals through Goal-Set Hindsight Relabeling
[arXiv] 2026-06-08 | Parameter Sensitivity Analysis of Hierarchical Spatial Economy: Trade Strategy around Brexit
[arXiv] 2026-06-08 | Hardware-Aware QAOA for Honeypot Traffic Partitioning on 100+ Qubit IBM Quantum Processors
[arXiv] 2026-06-08 | Tuning Dispatch Thresholds for Fixed Last-Mile Routes: A Simulation-Based Pareto Analysis of a Production Policy
[arXiv] 2026-06-08 | Dense Force Estimation with an Event-based Optical Tactile Sensor
[arXiv] 2026-06-08 | The macroscopic Kaehler metric of Geometric Thermodynamics versus the microscopic one on the Event Manifold: Exact Partition Functions on CV manifolds. Extended Souriau temperatures and spontaneous magnetizations
[arXiv] 2026-06-08 | Leveraging Optimal Information-Power Flow for Transmission Switching in AC/MTDC Grids
[arXiv] 2026-06-08 | MUDIDI: A Two-Stage Framework for Multilingual Dictionary Digitization with Language Models
[arXiv] 2026-06-08 | Model of Flavors
[arXiv] 2026-06-08 | Sharp Bounds for Guiduli-Type Hereditary Spectral Problems
[arXiv] 2026-06-08 | Synthetic but Not Realistic: The Evaluation Challenge in Generative Modelling for Structured Electronic Medical Records
[arXiv] 2026-06-08 | FAME: Forecastability-Aware Mixture of Experts for Heterogeneous Time Series Forecasting
[arXiv] 2026-06-08 | Optimal Regret Exponents for Bayesian Statistical Decision Problems
[arXiv] 2026-06-08 | RSMA Technique for Multi-User Downlink Single-Waveguide Multi-Pinching Antenna Systems
[arXiv] 2026-06-08 | Supervised Low-Rank Structure Discovery for Developmental Epigenetic Aging in Ultra-High-Dimensional DNA Methylation Data
[arXiv] 2026-06-08 | DynaOD: Dynamic Origin-Destination Flow Generation with Discrete-to-Continuous Temporal Semantic Modeling
[arXiv] 2026-06-08 | Teach Multimodal Recommendation Model to See via Personalized Visual Extraction and Adaptive Learning
[arXiv] 2026-06-08 | FlashMemory-DeepSeek-V4: Lightning Index Ultra-Long Context via Lookahead Sparse Attention
[arXiv] 2026-06-08 | Local centralizer rigidity for twisted Weyl chamber flows
[arXiv] 2026-06-08 | A Unifying Lens on Reward Uncertainty in RLHF
[arXiv] 2026-06-08 | Fairness-Aware and Latency-Controllable Scheduling for Chunked-Prefill LLM Serving
[arXiv] 2026-06-08 | Stage-1 Controls the Entropy Regime, Not the Outcome
[arXiv] 2026-06-08 | A Hybrid Generative Reduced-Order Model for the Minimal Flow Unit
[arXiv] 2026-06-08 | DynaCF: Mitigating Shortcut Learning in Reward Models via Dynamic Counterfactual Sensitivity
[arXiv] 2026-06-08 | CRANE: Knowledge Editing for Reasoning MLLMs
[arXiv] 2026-06-08 | Personal Salience: Highlighting Is Social, but Individuality Lives in Selection
[arXiv] 2026-06-08 | Sparse Convexification for High-Dimensional Constrained Regression
[arXiv] 2026-06-08 | On an $n-$Dimensional Travel Time Tomography Problem
[arXiv] 2026-06-08 | TLDR: Compressing Audio Tokens for Efficient Autoregressive Text-to-Speech
[arXiv] 2026-06-08 | Beyond Averages: Evaluating LLMs on Human Survey Replication at the Distributional Level
[arXiv] 2026-06-08 | JAX-AMG: A GPU-Accelerated Differentiable Sparse Linear Solver Library for JAX
[arXiv] 2026-06-08 | Relativistic Effects in Spin Correlations Induced by QED Scattering and Wigner Rotations
[arXiv] 2026-06-08 | Language-Aware Token Boosting: LLM Language Confusion Reduction Without Tuning
[arXiv] 2026-06-08 | LEAF: A Learning-Enabled ADMM Framework for Accelerated Convex Optimization
[arXiv] 2026-06-08 | From Characters to Matrices: An Elementary Construction of Irreducible Representations of Finite Groups
[arXiv] 2026-06-08 | Structure-Aware Modeling of Multiple-Choice Questions Improves Automatic Difficulty Estimation
[arXiv] 2026-06-08 | Heterophily-Aware Adaptive Knowledge Distillation for Hypergraph Neural Networks
[arXiv] 2026-06-08 | Three-dimensional Fundamental Diagrams of Five-neighbor Particle Cellular Automata
[arXiv] 2026-06-08 | The complex kinematics of the young stars orbiting the supermassive black hole in the Galactic center can be explained by the presence of an intermediate mass companion of Sgr A$^\star$
[arXiv] 2026-06-08 | Hardening Agent Benchmarks with Adversarial Hacker-Fixer Loops
[arXiv] 2026-06-08 | From inverse problems to neural operators: prediction, mechanism, and generalization of data-driven models
[arXiv] 2026-06-08 | Nuclear matrix element of $2νββ$ decay of $^{76}$Ge: roles of high-lying states and two-body currents
[arXiv] 2026-06-08 | Design of a multifunctional Doppler backscattering diagnostic for the Pegasus-III Experiment
[arXiv] 2026-06-08 | Multilingual Sentiment Aware Text Summarization A Reinforcement Learning Approach for Consistency Maintenance
[arXiv] 2026-06-08 | PACT: Learning Diverse Diagnostic Strategies via Privileged Synthesis and Branch Consensus
[arXiv] 2026-06-08 | Uniformly recurrent subalgebras in finite von Neumann algebras
[arXiv] 2026-06-08 | Quantifying isochrone-based age uncertainties for rapidly rotating A-type stars
[arXiv] 2026-06-08 | Braided cohomology of quasi-triangular bialgebras and braided Morita invariance
[arXiv] 2026-06-08 | Decoy-Calibrated Failure Audits for Language Models
[arXiv] 2026-06-08 | Complexity-driven transitions in quantum observation
[arXiv] 2026-06-08 | A study on the impact of region specific data on the performance of Indic ASR
[arXiv] 2026-06-08 | Higher-dimensional operators and Polyakov loop in hot Scalar QED from the heat kernel
[arXiv] 2026-06-08 | NNLO QCD predictions for $t\bar t W$ production at hadron colliders
[arXiv] 2026-06-08 | Optimising ultra-light dark matter searches with ground-based interferometers
[arXiv] 2026-06-08 | The origin of WHAM Point Source~46
[arXiv] 2026-06-08 | Clinically Grounded Privacy Evaluation of Medical LMs
[arXiv] 2026-06-08 | Online Learning with Recency: Algorithms for Sliding-window Streaming Multi-armed Bandits
[arXiv] 2026-06-08 | Justification and structure- and asymptotic-preserving discretizations of a hyperbolized Cahn-Hilliard equation
[arXiv] 2026-06-08 | Correlation Is Not Enough: Embedding Human Metadata for Individual Causal Discovery
[arXiv] 2026-06-08 | An implicit octree-based adaptive Material Point Method
[arXiv] 2026-06-08 | Dynamics in a Low-Rank Separable Field Cellular Automaton
[arXiv] 2026-06-08 | Percolation and clustering in ecological communities: A dynamical theory
[arXiv] 2026-06-08 | Inflationary interpretation of the gravitational-wave signal in the European Pulsar Timing Array DR2 with constraints
[arXiv] 2026-06-08 | Finite Massless Pentaboxes
[arXiv] 2026-06-08 | Decoding Pedestrian Crossing Intention from Egocentric Vision via Vision Language Models
[arXiv] 2026-06-08 | Bernoulli Filtering for Multi-Sensor Tracking with Thresholded Measurements
[arXiv] 2026-06-08 | Volatility Forecasting and Return Prediction under Market Regimes: Evidence from High-Frequency Chinese Equity Data
[arXiv] 2026-06-08 | FF-JEPA: Long-Horizon Planning in World Models with Latent Planners
[arXiv] 2026-06-08 | Topological Triplons in the Pinwheel Valence Bond Solid on the Kagome Lattice
[arXiv] 2026-06-08 | Range-controlled entanglement in Lindbladian skin states of monitored fermions
[arXiv] 2026-06-08 | Strict-Priority Packet Delay in Switches with Transmit-Ring Buffering
[arXiv] 2026-06-08 | Multi-Armed Bandits with Arriving Arms: Sequential Screening, Dynamic Regret, and Sublinear Guarantees
[arXiv] 2026-06-08 | Emergence of Context Characteristics Sensitivity in Large Language Models
[arXiv] 2026-06-08 | OpenBibleTTS: Large-Scale Speech Resources and TTS Models for Low-Resource Languages
[arXiv] 2026-06-08 | Emergent alignment and the projectability of ethical personas
[arXiv] 2026-06-08 | FMplex: Model Virtualization for Serving Extensible Foundation Models
[arXiv] 2026-06-08 | A differentiable forward model for weakly perturbed stellar streams: substructure forecasts from density and kinematics spectra
[arXiv] 2026-06-08 | Sharp Bounds and Inference in Sample Selection Models with Treatment Endogeneity
[arXiv] 2026-06-08 | Almost-perfect packings and Tuza's conjecture in the random geometric graph
[arXiv] 2026-06-08 | Leveraging Landau-Zener-Stückelberg interference for accelerating diabatic quantum annealing
[arXiv] 2026-06-08 | Learning to Attack and Defend: Adaptive Red Teaming of Language Models via GRPO
[arXiv] 2026-06-08 | Rethinking the Divergence Regularization in LLM RL
[arXiv] 2026-06-08 | Echo-Memory: A Controlled Study of Memory in Action World Models
[arXiv] 2026-06-08 | Bandits for Efficient Experimentation: Adapting to Control Group, Preferences, and Context Drifts
[arXiv] 2026-06-08 | SynManDex: Synthesizing Human-like Dexterous Grasps from Synthetic Human Pre-Grasps
[arXiv] 2026-06-08 | Actions, semidirect products and crossed semimodules in the category of small categories with a fixed set of objects
[arXiv] 2026-06-08 | Neutron stars in Poincaré gauge gravity with quadratic torsion
[arXiv] 2026-06-08 | Topological defects and scalar field modes in warped geometries
[arXiv] 2026-06-08 | Who Earns the Safety? Intervention-Aware Quantum Predictive Control with Safety Attribution
[arXiv] 2026-06-08 | Mapping Interstellar Ice Inventory toward Class 0 Protostars in Star-forming Region Orion A with JWST Data
[arXiv] 2026-06-08 | Linear Stability of the Lamb-Chaplygin Dipole
[arXiv] 2026-06-08 | All-multiplicity monodromy and KLT relations for AdS string integrals
[arXiv] 2026-06-08 | RPA as a Hessian Closure: Effective Functionals and Source-Variable Duality Across DFT, LR-TDDFT, 1RDMFT, and MBPT
[arXiv] 2026-06-08 | Preserving Plasticity in Continual Learning via Dynamical Isometry
[arXiv] 2026-06-08 | $\mathbb Z$-Ramsey ultrafilters
[arXiv] 2026-06-08 | Suppressing the Motion of Rydberg Atoms in Inhomogeneous Electric Fields via Stark Echo
[arXiv] 2026-06-08 | Multi-Turn Evaluation of Deep Research Agents Under Process-Level Feedback
[arXiv] 2026-06-08 | ProbeAct: Probe-Guided Training-Free Failure Recovery in Vision-Language-Action Models
[arXiv] 2026-06-08 | The Neutral Mask: How RLHF Provides Shallow Alignment while Leaving Partisan Structure Intact in a Large Language Model
[arXiv] 2026-06-08 | A Scaling Relation of LRDs between Broad H$α$ and Bolometric Luminosities: Enhanced Broad H$α$ Emission Relative to Low-$z$ Type 1 AGN
[arXiv] 2026-06-08 | Disentanglement with Holographic Reduced Representations
[arXiv] 2026-06-08 | A Bell-State Extension of Loop-Back Quantum Key Distribution
[arXiv] 2026-06-08 | PTA-Compatible Domain Walls at LISA and Taiji: Bayesian Reconstruction and Multiband Inference
[arXiv] 2026-06-08 | Nearest zero-critical point distances for Gaussian SU(2) polynomials
[arXiv] 2026-06-08 | Proxy Reward Internalization and Mechanistic Exploitation: A Learned Precursor to Reward Hacking and Its Generalization
[arXiv] 2026-06-08 | BrainSurgery: Reproducible and Reliable Declarative Weight Manipulations for Model Editing and Upcycling
[arXiv] 2026-06-08 | Geometric Dissipation Constraints in Stochastic Reaction Dynamics: A Variational Observable for Hidden Kinetic Structure in Energy Landscapes
[arXiv] 2026-06-08 | Claude Code-Driving Scenario Mining for the Argoverse 2 Challenge
[arXiv] 2026-06-08 | Time-Varying Perturbations of Contractive Systems With an Application to Safe Stabilization
[arXiv] 2026-06-08 | Understanding Quantization-Aware Training: Gradients at Quantized Weights Bias to the Low-Loss Basin
[arXiv] 2026-06-08 | PROBE-Web: An Interactive System for Probing Evaluation Landscapes of Knowledge Graph Completion Models
[arXiv] 2026-06-08 | Generalized Rank-based Evaluation for Knowledge Graph Completion: Perspectives, Framework, and Analyses
[arXiv] 2026-06-08 | Chemical tuning of magnetic ordering and cryogenic magnetocaloric response in zircon-type Gd1-xErxVO4
[arXiv] 2026-06-08 | Impact of the Unruh effect on the estimation precision of Gaussian channel parameters
[arXiv] 2026-06-08 | One-dimensional first return maps for the two-dimensional border-collision normal form with a zero determinant
[arXiv] 2026-06-08 | Symmetry Regularization of 1D Generalized Coulomb Problems
[arXiv] 2026-06-08 | Mock Catalogs of Strongly Lensed Gravitational Waves via a Halo Model Approach with Space-borne Detectors
[arXiv] 2026-06-08 | A multi-agent system for spine MRI report generation from multi-sequence imaging
[arXiv] 2026-06-08 | Are Reasoning Vision-Language Models Robust to Semantic Visual Distractions?
[arXiv] 2026-06-08 | Polynomial Corners Over finite Fields
[arXiv] 2026-06-08 | Silicon Photonics Testing: Design for Testability, Fault Detection, and Manufacturing Variation Analysis in Photonic Integrated Circuits
[arXiv] 2026-06-08 | Benchmarking Deep Time Series Models for Equity Portfolios
[arXiv] 2026-06-08 | Advanced simulation framework for AC/MTDC power systems
[arXiv] 2026-06-08 | SAILS: Surrogate-based Analysis of Interactions via Local Effect Smooths
[arXiv] 2026-06-08 | Colocalizing subcategories on differentially graded algebras
[arXiv] 2026-06-08 | Empirical Study for Structured Output Control in LLMs for Software Engineering
[arXiv] 2026-06-08 | Kling-Gupta linear regression
[arXiv] 2026-06-08 | Distilling Safe LLM Systems via Soft Prompts for On Device Settings
[arXiv] 2026-06-08 | ReGIL: Retrieval-Guided Imitation Learning from a Single Demonstration
[arXiv] 2026-06-08 | Entanglement-assisted continuous-variable concatenated codes for encoding qubits or oscillators
[arXiv] 2026-06-08 | Precision Is Not Faithfulness: Coverage-Aware Evaluation of Grounded Generation with a Complete Oracle
[arXiv] 2026-06-08 | Algebraic characterizations of paired operators on model spaces
[arXiv] 2026-06-08 | Is Text All You Need? Text as a Universal Information Bottleneck for Speech LLMs
[arXiv] 2026-06-08 | Revisiting urban heat indices in Switzerland using low-cost measurement networks
[arXiv] 2026-06-08 | Second order Taylor-like topological expansion with multiple holes
[arXiv] 2026-06-08 | Bespoke-Card: Why Tune When You Can Generate? Synthesizing Workload-Specific Cardinality Estimators
[arXiv] 2026-06-08 | Rethinking Depth: A study of the Recursive-Transformer for Speech Recognition
[arXiv] 2026-06-08 | Leveraging Structural Constraints for Diffusion-based Neural TSP Solvers
[arXiv] 2026-06-08 | Conan-embedding-v3: Fusing Modality-Specific Models for Omni-Modal Embedding
[arXiv] 2026-06-08 | Dynamic XR Rendering Offloading Based on Feature-Based Quality Assessment
[arXiv] 2026-06-08 | Semi-local transformation for compressible wall turbulence via elliptic equations
[arXiv] 2026-06-08 | Proof of Conjecture 19 of Ballantine, Beck, Merca, and Sagan on Elementary Symmetric Partitions
[arXiv] 2026-06-08 | Anything2Skill: Compiling External Knowledge into Reusable Skills for Agents
[arXiv] 2026-06-08 | High-Efficiency Broadband Mid-Infrared Absorption in Asymmetrically Matched Metallic Meanders: Development of Ti40V60 Alloy based LEKIDs for Mid-Far IR
[arXiv] 2026-06-08 | Reason Twice: Segmentation via Candidate Discovery and Comparative Reasoning
[arXiv] 2026-06-08 | Are the Parker and Focused Transport Equations Equivalent for Galactic Cosmic Ray Modulation?
[arXiv] 2026-06-08 | Virtual-point-based Solutions to Handle Generalized Absolute Pose Problem
[arXiv] 2026-06-08 | Dual Quaternion-Based Unscented Kalman Filter with Visual Inertial Odometry for Navigation in GPS-Denied Environments
[arXiv] 2026-06-08 | Global Ab initio Neutrino Mass Limits from Neutrinoless Double-Beta Decay
[arXiv] 2026-06-08 | Internalizing Geometric Law: Learning from Solver Residuals for Precision-Critical Generation
[arXiv] 2026-06-08 | Layer-parity-defined surface polarization in Nb$_3$Cl$_8$ for excitonic modulation at van der Waals interfaces
