[2026-06-03 23:43:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-02
正在获取论文...
[arXiv] 2026-06-02 | Wave-mean decomposition of scale-dependent kinetic energy from surface drifters
[arXiv] 2026-06-02 | AnyAudio-Judge: A Dynamic Rubric-Based Benchmark and Evaluator for Audio Instruction Following
[arXiv] 2026-06-02 | FAF-CD: Frequency-Aware Fusion for Change Detection under Imperfect Multimodal Remote Sensing
[arXiv] 2026-06-02 | Zero-Shot 3D Question Answering via Hierarchical View-to-Token Transportation
[arXiv] 2026-06-02 | The Shadow Price of Reasoning: Economic Perspective on Optimal Budget Allocation for LLMs
[arXiv] 2026-06-02 | Constitutional On-Policy Safe Distillation
[arXiv] 2026-06-02 | On higher extensions of quiver representations over $\mathbb{F}_1$
[arXiv] 2026-06-02 | Multi-component Causal Tracing in Large Language Models
[arXiv] 2026-06-02 | Magnetic Symmetries and the Structure of Correlation Functions in Quantum Field Theory
[arXiv] 2026-06-02 | Observer-Based Control of Linear Systems with Mismatched Input and Output Delays
[arXiv] 2026-06-02 | Regret Pre-training: Bridging Prior and Posterior Views for Enhanced Knowledge Grounding
[arXiv] 2026-06-02 | G^2C-MT: Graph-Guided Context Selection for Document-Level Machine Translation
[arXiv] 2026-06-02 | TGV-KV: Text-Grounded KV Eviction for Vision-Language Models
[arXiv] 2026-06-02 | RMPrior: Bridging Propagation Priors and Diffusion Refinement for Efficient Radio Map Construction
[arXiv] 2026-06-02 | Loop Space Splittings for Codimensional Sphere Bundles
[arXiv] 2026-06-02 | Comprehensive Analysis of Optical brightness and Color Variability of Blazars in the ZTF Survey DR22
[arXiv] 2026-06-02 | ZX-Calculus:Trace-Indexed Dependent Types and Epistemic Semantics
[arXiv] 2026-06-02 | Rethinking Molecular Text Representations for LLMs: An Empirical Study
[arXiv] 2026-06-02 | The Pion Gravitational Form Factors and the Trace Anomaly in QCD Factorization
[arXiv] 2026-06-02 | ZK-Flex: A Flexible and Scalable Framework for Accelerating Zero-Knowledge Proofs
[arXiv] 2026-06-02 | The Geometry of LLM-as-Judge: Why Inter-LLM Consensus Is Not Human Alignment
[arXiv] 2026-06-02 | Will Accurate Fields Mislead Photonic Design? FromGlobal Accuracy to Port Readout
[arXiv] 2026-06-02 | RIFTES: An RTM- and iteration-free temperature-emissivity separation framework for accurate and efficient clear-sky land surface temperature retrieval
[arXiv] 2026-06-02 | SkillGuard: A Permission Framework for Agent Skills
[arXiv] 2026-06-02 | Fault-Aware Design for Reconfigurable Holographic Surface-Aided ISAC Systems
[arXiv] 2026-06-02 | The decay rate of metastable cosmic strings beyond the thin-string approximation
[arXiv] 2026-06-02 | Exact equivariance, kept through training, buys zero-shot generalisation across the symmetry group
[arXiv] 2026-06-02 | CoughSense: Five-Class Respiratory Disease Classification via Whisper Encoder Fine-Tuning and Dual-Encoder Cross-Attention Fusion with Balanced Contrastive Learning
[arXiv] 2026-06-02 | TransportBench: A Comprehensive Benchmark for Non-Equilibrium Flow Transport
[arXiv] 2026-06-02 | Machine-Learning Prediction of Quantum Fisher Information from Collective Spin and Spectral Features
[arXiv] 2026-06-02 | Dust On, Dust Off: HST Observations of the Newly Dormant Jupiter Co-orbital Comet P/2023 V6 (PANSTARRS)
[arXiv] 2026-06-02 | Predicting Inference-Time Scaling Gains from Labeled Validation-Set Output Statistics
[arXiv] 2026-06-02 | Towards Compact Autonomous Driving Perception with Balanced Learning and Multi-sensor Fusion
[arXiv] 2026-06-02 | A Benchmarking Framework for Multimodal User Interface Toolkits: Comparing Modality Coverage, Developer Workflow, and Experimental Support
[arXiv] 2026-06-02 | Diagonal Condition in Multiplication Table of $\displaystyle {\, \mathbb{Z} [i] / (α) }$
[arXiv] 2026-06-02 | From Explanation to Diagnosis: Next Generation Interactive Video Coach with Misstep Awareness
[arXiv] 2026-06-02 | Hybrid Dynamics Modeling for a Flexible 2-DoF Robotic Arm
[arXiv] 2026-06-02 | Models of exponential and power-law acceleration of the Universe in Horndeski theory without ghosts and Laplace instabilities
[arXiv] 2026-06-02 | Drag-induced skin effect in a Bose-Fermi mixture
[arXiv] 2026-06-02 | Causal Evidence of Stack Representations in Modeling Counter Languages Using Transformers
[arXiv] 2026-06-02 | Human-AI Collaboration and the Transformation of Software Engineering Work
[arXiv] 2026-06-02 | Spectral duality for some modal and residuated groupoid expansions of De Morgan algebras
[arXiv] 2026-06-02 | A Recursive Domain- and Objective-Adaptive Frank-Wolfe Algorithm
[arXiv] 2026-06-02 | eMEM: A Hybrid Spatio-Temporal Memory System For Embodied Agents
[arXiv] 2026-06-02 | A calculus of types in Isbell nuclei
[arXiv] 2026-06-02 | EntSQL: A Benchmark for Grounding Text-to-SQL in Long-Context Enterprise Knowledge
[arXiv] 2026-06-02 | Emerging and established topics in drone research: Citation impact and knowledge flows across China, the United States, the EU, Ukraine, and Russia (2020-2025)
[arXiv] 2026-06-02 | The Huang--Yang formula for a two-dimensional Fermi gas: upper bound
[arXiv] 2026-06-02 | RogueMerge: Robust and Unified Attacks against LLM Model Merging
[arXiv] 2026-06-02 | Autonomous Navigation System for Library Service Robot Based on Unitree Go2 Edu
[arXiv] 2026-06-02 | A class of half-BPS boundary conditions for $A_{K-1}$ circular quivers
[arXiv] 2026-06-02 | IdEst: Assessing Self-Supervised Learning Representations via Intrinsic Dimension
[arXiv] 2026-06-02 | A Graph Foundation Model with Spectral Parsing and Prototype-Guided Spatial Propagation
[arXiv] 2026-06-02 | Area Theorems and Quasiconformal Extensions of Harmonic Mappings with a Pole
[arXiv] 2026-06-02 | The Reliability Gap in Benchmark Auditing: Distribution Shift and Scale as Failure Modes of Contamination Detection
[arXiv] 2026-06-02 | SagaQA: A Multi-hop Reasoning Benchmark for Long-form Narrative Understanding in TV Series
[arXiv] 2026-06-02 | GROSS: German Rail Open-Source SUMO Scenario
[arXiv] 2026-06-02 | Hessian-recovery-based C0 finite element methods for non-divergence form elliptic equations
[arXiv] 2026-06-02 | VistaHop: Benchmarking Multi-hop Visual Reasoning for Visual DeepSearch
[arXiv] 2026-06-02 | Agentic Relationship Harm: Benchmarking and Gating Relational Manipulation in AI Agents
[arXiv] 2026-06-02 | Are Common Substructures Transferable? Riemannian Graph Foundation Model with Neural Vector Bundles
[arXiv] 2026-06-02 | Distilling Answer-Set Programming Rules from LLMs for Neurosymbolic Visual Question Answering
[arXiv] 2026-06-02 | A nine-member protostellar system forming via filament fragmentation in the high mass protocluster NGC 6334-43
[arXiv] 2026-06-02 | Beyond "To whom it may concern": Tailoring Machine Translation to Audience and Intent
[arXiv] 2026-06-02 | Linear Stability Analysis of convective flows in Rotating Baroclinic Annulus with Localized Peripheral Heating: A Floquet-BiGlobal Approach
[arXiv] 2026-06-02 | PSViT: A Methodology for Structurally Pruning Spiking Vision Transformers
[arXiv] 2026-06-02 | Black-Hole Echo Resonance Spectra and Source Dependence in a Controlled Transfer-Function Model
[arXiv] 2026-06-02 | MariData: One-Step Unpaired Image Translation for Maritime Environments
[arXiv] 2026-06-02 | Lorentz-violating signatures in quasi-periodic oscillations from a magnetised Kalb-Ramond black hole
[arXiv] 2026-06-02 | Right Makes Might: Aligning Verified Hidden States Empowers RL Reasoning
[arXiv] 2026-06-02 | Perturbative results for fractional quantum mechanics
[arXiv] 2026-06-02 | VirtualMLE: A Virtual ML Engineer that Optimizes Sequential Recommenders
[arXiv] 2026-06-02 | Highly sensitive detection for infrared photons by non-degenerate two-photon absorption under mid-infrared pumping
[arXiv] 2026-06-02 | Geometric Bounds on the Finite-Time Performance of Active Machines
[arXiv] 2026-06-02 | MedCUA-Bench: A Screenshot-Only Benchmark for Clinical Computer-Use Agents
[arXiv] 2026-06-02 | A convenient model category for bicategories
[arXiv] 2026-06-02 | Towards a Hybrid Quantum Enhanced Solution for Densest k-Subgraph Problem
[arXiv] 2026-06-02 | Generation and time evolution of anomalous Floquet Majorana flat edge modes in two-dimensional noncolinear magnet-superconductor heterostructures
[arXiv] 2026-06-02 | Logarithmic Sobolev inequality and hypercontractivity for the Navier-Stokes Fokker-Planck operator
[arXiv] 2026-06-02 | HyperPatch: Sequential Knowledge Editing Under n-ary Structural Drift
[arXiv] 2026-06-02 | ConTrack: Constrained Hand Motion Tracking with Adaptive Trade-off Control
[arXiv] 2026-06-02 | Ask When It Pays: Cost-Aware Open-Ended Interaction for Instance Goal Navigation
[arXiv] 2026-06-02 | Spin-Dependent Electron Transport through Bacterial Cell Surface Multiheme Electron Conduits
[arXiv] 2026-06-02 | JAVEDIT: Joint Audio-Visual Instruction-Guided Video Editing with Agentic Data Curation
[arXiv] 2026-06-02 | Weighted variational inequalities for the fractional Dunkl heat semigroup
[arXiv] 2026-06-02 | Wheel-Mounted/GNSS Fusion with AI-Aided Position Updates
[arXiv] 2026-06-02 | Sparse Tree-Based Aggregation for Time Series Regressions
[arXiv] 2026-06-02 | Quantum-Classical Equivalence for AND-Functions
[arXiv] 2026-06-02 | Bondal's conjecture in dimension five
[arXiv] 2026-06-02 | Flowing with Displacements and Tilts: Surface Operators in $O(N)$ Models
[arXiv] 2026-06-02 | Black-box, Adaptive, Efficient, Transferable, Harmful, Applicable... Attacks Are All You Need to Break LLMs
[arXiv] 2026-06-02 | A Geometric Lens on Physics-Aligned Data Compression
[arXiv] 2026-06-02 | Hierarchies of Calibration: Classification meets Regression
[arXiv] 2026-06-02 | Predictively-Oriented Kalman Filtering
[arXiv] 2026-06-02 | Fast Organic Crystal Structure Prediction with Unit Cell Flow Matching
[arXiv] 2026-06-02 | Towards Non-Monotonic Entailment in Propositional Defeasible Standpoint Logic
[arXiv] 2026-06-02 | Asymptotics of complex $b$-$6j$ symbols
[arXiv] 2026-06-02 | Application of polynomial algebras to non-linear equation solvers
[arXiv] 2026-06-02 | A variable-coefficient model for decay of isotropic turbulence capturing effects of finite cascade time and Reynolds number
[arXiv] 2026-06-02 | StepFinder: A Temporal Semantic Framework for Failure Attribution in Multi-Agent Systems
[arXiv] 2026-06-02 | Informational completeness of qubit measurements and IC preservability of qubit channels: Characterization and Quantification
[arXiv] 2026-06-02 | Characterizing quantum channels from local-unitary invariants
[arXiv] 2026-06-02 | Quantum Matter Makes Lightcones Quantum
[arXiv] 2026-06-02 | Soliton crystal formation in Kerr cavities with an avoided mode crossing: a theoretical study
[arXiv] 2026-06-02 | Uncrowding the 5-Vertex Model: RSK and Crystal Structures
[arXiv] 2026-06-02 | Ulam stability for classes of nuclear C*-algebras
[arXiv] 2026-06-02 | Denoise First, Orthogonalize Later: Understanding Momentum in Muon via Spectral Filtering
[arXiv] 2026-06-02 | Topological Weyl Phase of an Ideal Spin-Gapless Semiconductor KCrSe
[arXiv] 2026-06-02 | Wasserstein stability and the nonsingular Borel lifting problem
[arXiv] 2026-06-02 | Game, Set, Quantum: Parameterized Quantum Circuit for Correlated Equilibrium in Bayesian Games
[arXiv] 2026-06-02 | Planes in quadratic 4-space and associated shapes of lattices
[arXiv] 2026-06-02 | Libra: Efficient Resource Management for Agentic RL Post-Training
[arXiv] 2026-06-02 | The Impact of Configuring Agentic AI Coding Tools on Build-vs-Buy Decisions: A Study Protocol
[arXiv] 2026-06-02 | Final-state rescattering mechanism of the $Δ(1232)^{++}$ production in $Λ^+_c \to K^- π^+ p$ decay
[arXiv] 2026-06-02 | Structure-Preserving Quantum Method of Lines for Evolutionary PDEs with Mixed Boundary Conditions
[arXiv] 2026-06-02 | Towards Characterizing Scientific Image Utility and Upgradability
[arXiv] 2026-06-02 | OpenEAI-Platform: An Open-source Embodied Artificial Intelligence Hardware-Software Unified Platform
[arXiv] 2026-06-02 | When Model Merging Breaks Routing: Training-Free Calibration for MoE
[arXiv] 2026-06-02 | Operationalizing Cyber Attack Prediction: A Gap-Prioritized Framework with Dataset and Model Selection Guidelines
[arXiv] 2026-06-02 | Energy-selective quantum search with Ising Hamiltonian phase oracles
[arXiv] 2026-06-02 | See, Infer, Intervene: Proactive World Modeling for Goal-Oriented Social Intelligence
[arXiv] 2026-06-02 | Automating Information Extraction and Retrieval for Industrial Spare Parts Pooling
[arXiv] 2026-06-02 | Everywhere $\mathcal{I}$ sets
[arXiv] 2026-06-02 | Speech Emotion Recognition using Attention-based LSTM-Network with Residual Connection
[arXiv] 2026-06-02 | APIC: Amortized Physics-Informed Calibration using Neural Processes
[arXiv] 2026-06-02 | Reflective Numeration Systems I: a Global Standpoint
[arXiv] 2026-06-02 | Navigating the unknown in large-scale operational transformation programs: The "Sirius Days" framework as a 'pilot-organization' for characterizing emerging issues
[arXiv] 2026-06-02 | Beyond Semantics: Modeling Factual and Affective Perceptual Experiences from Vision-Language Data
[arXiv] 2026-06-02 | Cross-Modality Feature Fusion Based on Structured State Space Duality for Multimodal Image Registration Network
[arXiv] 2026-06-02 | Calibration Data Trade-offs Across Capability Dimensions: Why Multi-Source Mixing Matters for High-Sparsity LLM Pruning
[arXiv] 2026-06-02 | The Gains, Effective Areas and Equivalent Areas of a Multiport Antenna Array
[arXiv] 2026-06-02 | Non-Gaussianity and Strong-Coupling Problem in a Two-Field DHOST Bouncing Model
[arXiv] 2026-06-02 | Classification of independent sets in signed Johnson graphs and applications to kissing arrangements
[arXiv] 2026-06-02 | SplitAdapter: Load-Aware Humanoid Loco-Manipulation via Factorized Adaptation
[arXiv] 2026-06-02 | Message Tuning Outshines Graph Prompt Tuning: A Prismatic Space Perspective
[arXiv] 2026-06-02 | Privilege Risk Evolution for Non-Human Identities: A Temporal Fiber Model for Cloud IAM
[arXiv] 2026-06-02 | BA-T: An Iterative Transformer for Two-View Bundle Adjustment
[arXiv] 2026-06-02 | SpeakerCard-1M: An Evidence-Grounded Speaker Card Corpus for In-the-Wild Speaker Verification
[arXiv] 2026-06-02 | Distributed Optimal Resource Allocation Search: A Dynamic Event-Triggered Algorithm
[arXiv] 2026-06-02 | Reduced Order Model for a Convective Rotating Annulus with Localized Forcing
[arXiv] 2026-06-02 | Valence Ionization Of Water Clusters Formed Inside Helium Nanodroplets
[arXiv] 2026-06-02 | How long can an atomic nucleus remain standing ? -- a fundamental quantum question
[arXiv] 2026-06-02 | Characterization and chromatic number of triangle-free graphs with diameter 2
[arXiv] 2026-06-02 | Thermodynamical phase structures and particle emission rate of charged AdS black hole surrounded by string cloud and quintessence via shadow formalism
[arXiv] 2026-06-02 | Multi-Agent Framework Leveraging Knowledge Graphs for Virtual Commissioning Models
[arXiv] 2026-06-02 | AirDreamer: Generalist Drone Navigation with World Models
[arXiv] 2026-06-02 | Structures Facilitate Retrieve, Rerank, and Generate
[arXiv] 2026-06-02 | Benchmarking Speech-to-Speech Translation Models
[arXiv] 2026-06-02 | Solipsistic Superintelligence is Unlikely to be Cooperative
[arXiv] 2026-06-02 | Cassini's identity for k-bonacci numbers
[arXiv] 2026-06-02 | COSMOS2025: Machine Learning Classification of Early- and Late-type Galaxies at 0 < z < 3
[arXiv] 2026-06-02 | BotDirector: Robot Storytelling Across the Symmetrical Reality with Multi-modal Interactions
[arXiv] 2026-06-02 | WebRISE: Requirement-Induced State Evaluation for MLLM-Generated Web Artifacts
[arXiv] 2026-06-02 | A Less Conservative Sufficient Condition for PID Stabilization of Scalar Second-Order Nonlinear Uncertain Systems
[arXiv] 2026-06-02 | Private Embedding Lookup with Encrypted Compact Queries under Fully Homomorphic Encryption
[arXiv] 2026-06-02 | A note on the pluriclosed flow on balanced manifolds with $c_1=0$
[arXiv] 2026-06-02 | Nuclear Recoil Migdal Effect in Liquid Xenon Dark Matter Experiments
[arXiv] 2026-06-02 | The ratio of reduced cross-sections in $eA$ processes at Electron-Ion Colliders at $x_{\mathrm{min}}=Q^2/s$
[arXiv] 2026-06-02 | SketchSong: Hierarchical Song Generation with Sketch Planning and Fine-Grained Multi-Track Modeling
[arXiv] 2026-06-02 | Pulse Focus: Validation of the Focus Performance Score as a Behavioral Signal for Human Attentional State Modeling Toward Attention-Aware AI
[arXiv] 2026-06-02 | Mind the Gap in the Mining Game
[arXiv] 2026-06-02 | Quantum Optimization Algorithms for Strongly Correlated Many-Body Systems
[arXiv] 2026-06-02 | PsychoPass: Geometric Profiling of Multi-Turn Adversarial LLM Conversations
[arXiv] 2026-06-02 | Rethinking Neural Width for Alternating Current Optimal Power Flow Proxies
[arXiv] 2026-06-02 | KC-3DGS: Kurtosis-Constrained Gaussian Splatting for High-Fidelity View Synthesis
[arXiv] 2026-06-02 | GuidedBridge: Training-freely Improving Bridge Models with Prior Guidance
[arXiv] 2026-06-02 | Learning Local Optimal Controller for a Class of Nonlinear Systems via Impulse-Supervised Exploration
[arXiv] 2026-06-02 | On the multi-frequency electromagnetic emission from a rotating charged dielectric disk made of isotropic media
[arXiv] 2026-06-02 | Small RL Controller, Large Language Model: RL-Guided Adaptive Sampling for Test-Time Scaling
[arXiv] 2026-06-02 | Betti numbers of split graphs
[arXiv] 2026-06-02 | A Variational Shape Optimisation Approach to Multi-region Relaxed Magnetohydrodynamic Equilibria
[arXiv] 2026-06-02 | AI Assistance for Discretionary Work: Increasing Feedback Provision in Higher Education
[arXiv] 2026-06-02 | BAHSD: Bridging the Long-tail Gap via Adaptive Distillation in Black-box Sequential Recommendation
[arXiv] 2026-06-02 | Learning to Solve, Forgetting to Retain: Correct-Set Turnover in RLVR
