[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[ACM] 2026-9-22 | Adaptive GPU Sharing for Real-time LLM Serving with Best-effort Workloads
[ACM] 2026-9-22 | ZWAN: Leveraging Zone Random Write Area (ZRWA) for Avoiding WAL Tax in LSM-tree
[ACM] 2026-9-22 | GraceSSD: Per-File Reliability Hints for Error-Tolerant Machine Learning Storage
[ACM] 2026-9-22 | Caching with Calibrated Predictions
[ACM] 2026-9-22 | To Migrate or Not to Migrate: KOxI, an Evidence-Gated Pipeline for Rust-for-Linux Storage Drivers
[IEEE] 2026-9-22 | Decoupling Physical and Statistical Shifts in Cross-domain Fault Diagnosis using a Wavelet Scale-Equivariant Network with Test-Time Adaptation
[IEEE] 2026-9-22 | A Secure and Parallel IoT Automation Architecture for Centralized Control of Multiple Computers
[IEEE] 2026-9-22 | CIML 2026 Cover Page
[IEEE] 2026-9-22 | Artificial Intelligence-Enabled Feature Recognition and Prediction Model for the Development of Intangible Cultural Heritage Industries
[IEEE] 2026-9-22 | Reasoning Introduces New Poisoning Attacks Yet Makes Them More Complicated
[IEEE] 2026-9-22 | A 180nm CMOS Rectifier with Adaptive Self- Biasing for High-Efficiency RF Energy Harvesting
[IEEE] 2026-9-22 | Ultra-Short-Term Wind Speed Forecasting Integrating Multi-Scale Temporal Modeling and Wake-Effect Physical Constraints
[IEEE] 2026-9-22 | ICSSIP 2025 Content Announcement Page
[IEEE] 2026-9-22 | Multi-Objective Optimal Dispatch of Microgrids Considering Demand Response: An Economic-Flexibility Tradeoff Approach
[IEEE] 2026-9-22 | Algorithms for Space GNSS Guaranteed Positioning: Integrity for the Space Corridor (ISCO) - Experimentation Results
[IEEE] 2026-9-22 | Similarity-Aware ML Model Selection for Network-Device Collaboration
[IEEE] 2026-9-22 | Multimodal Urban Mobility Recommendation Using Graph-Based Routing and Dynamic Time Filtering
[IEEE] 2026-9-22 | Smartphone-Based Road Roughness Index Estimation Using MLP With Hard-Example Mining: A Vehicle-Specific Multi-Platform Study
[IEEE] 2026-9-22 | Monostatic Radar Cross Section Study of a Low-Cost Composite Wing for Quasi-Stealth UAV
[IEEE] 2026-9-22 | Influence of Processing Defects on Low-Resistance Stress Grading Tape Before and After Epoxy Resin Application
[IEEE] 2026-9-22 | Design and Implementation of a Testbed Network for IPswen Development
[IEEE] 2026-9-22 | Secure Signal Design for Co-located Legitimate and Eavesdropping Nodes
[IEEE] 2026-9-22 | An Object Detection Algorithm for River Pollutants Based on Indigenously Developed AI Modules and Slow-Speed, Miniature Aerial Platforms
[IEEE] 2026-9-22 | Equilibrium-Oriented Strategic Bidding for Generation Companies in Coupled Electricity and Carbon Markets
[IEEE] 2026-9-22 | A Study of Power Electronic Topologies for High-Power Inductive Power Transfer System with Passive Rectification
[IEEE] 2026-9-22 | Random Forest-Based Prediction of Brain Tumor Risk and Treatment Effectiveness
[IEEE] 2026-9-22 | Design and Implementation of an Intelligent Compliance Risk Identification System for Emerging Power Industries
[IEEE] 2026-9-22 | Multistage Distributed Generation Capacity Planning with an Explicit Reliability Formulation Considering Regional Islanded Restoration
[IEEE] 2026-9-22 | Vascular Morphology Motivated Progressive Structure-Enhanced Restoration for Sparse-view 3D-DSA
[IEEE] 2026-9-22 | Enhanced Wireless Sensor Network Security Through Machine Learning-Based Data-Driven Intrusion Detection
[IEEE] 2026-9-22 | Dynamic-Consistency-Residual-Based Fault Detection Method for DC Ring-Bus Microgrids
[IEEE] 2026-9-22 | Detecting Non-Optimal Decisions of Embodied Agents via Diversity-Guided Metamorphic Testing
[IEEE] 2026-9-22 | A Compact UWB GaAs Power Amplifier MMIC for V- and W-Band Applications
[IEEE] 2026-9-22 | A Spatio-Temporal Contribution Analysis-Based Identification of Key Meteorological Factors in Multi-Variable and Location for PV Power Generation
[IEEE] 2026-9-22 | Worst-User End-to-End Delay Minimization for OFDMA-Based Mobile Edge Computing Systems
[IEEE] 2026-9-22 | Evaluating and Enhancing Ionospheric Models for LEO-PNT Simulation Applications: Towards a Machine Learning–Enhanced NeQuick2 Framework
[IEEE] 2026-9-22 | Analysis of Total Ionizing Dose Effect on a Linear RF Power Amplifier
[IEEE] 2026-9-22 | Can Open-Weight LLMs Detect Flawed Exam Questions? A Lecturer-in-the-Loop Benchmark for Technical Higher Education
[IEEE] 2026-9-22 | Zombie APIs: Detecting Runtime-Reachable but Deprecated Endpoints
[IEEE] 2026-9-22 | A Dataset Preparation and Augmentation Method for Improving Infrared Small-Object Detection Algorithms Based on Neural Networks
[IEEE] 2026-9-22 | Capacity Optimization of Shared Energy Storage in Industrial Parks Considering Extreme Weather Conditions: A Bi-Level Approach
[IEEE] 2026-9-22 | Lightweight Deep Learning Model Architecture for Affective State Recognition from Wearable Physiological Sensors
[IEEE] 2026-9-22 | IEEE Antennas and Wireless Propagation Letters
[IEEE] 2026-9-22 | Applicability Analysis of Model Scaling and CBAM for Insulator Detection in Power Inspection Scenarios
[IEEE] 2026-9-22 | Preface
[IEEE] 2026-9-22 | Photovoltaic Power Forecasting Based on Temporally Improved Deep Embedded Clustering and Dual State Control Soft Mixture of Experts
[IEEE] 2026-9-22 | Robust Misalignment Tolerance Assessment of a Regulated EV WPT System Under Voltage and Current Constraints
[IEEE] 2026-9-22 | FlexSnow: A flexible snow optics model framework integrating diverse snow microstructures and light-absorbing constituent mixtures in multiple layers
[IEEE] 2026-9-22 | Dynamic Flood Limited Water Level Control for Hydropower-New Energy Complementarity
[IEEE] 2026-9-22 | An Interactive AI-Copilot Platform for Power System Resilience Enhancement
[IEEE] 2026-9-22 | Rectifier model for optimal Matching Network design in Wireless Power Transfer Systems
[ACM] 2026-9-22 | Gaussian Partially Observable Inventory Control
[ACM] 2026-9-22 | Optimization and Analysis of Resource Allocation in Quantum-Centric Supercomputing Environments
[ACM] 2026-9-22 | Token Write Amplification in LLM-Mediated State Stores
[ACM] 2026-9-22 | MQSim 2.0: A Framework for Realistic Studies of AI-Era SSDs and Disaggregated Storage
[IEEE] 2026-9-22 | TESSA: An Efficient Streaming Accelerator for Time-Synchronized Event Stereo
[IEEE] 2026-9-22 | Study on the Low-Temperature Characteristics of Key Materials for Interturn Insulation of Dry-Type Air-Core Reactors Under Extreme Cold Conditions
[IEEE] 2026-9-22 | Transformer Aging-Aware Predictive Coordinated Control for Active Distribution Networks with High Renewable Penetration
[IEEE] 2026-9-22 | Fronthaul Resiliency in Latency Constrained C-RAN
[IEEE] 2026-9-22 | Multi-Equipment Collaborative Operation and Energy-Saving Control of Air Conditioning Systems in Industrial Plants Under Dynamic Production Loads
[IEEE] 2026-9-22 | A Compact Mixed-Integer Linear Programming Formulation for Non-Intrusive Load Monitoring with Startup Linking and Normalized Power Variables
[IEEE] 2026-9-22 | A Coordinated Operation Strategy for Wind Power Producer and Demand Response Customer
[IEEE] 2026-9-22 | Distance Adaptive Cascaded XGBoost Method for Series Arc Fault Detection in Photovoltaic Systems
[IEEE] 2026-9-22 | Modeling Through the Soil Wireless Transfer System with Empirical Validation
[IEEE] 2026-9-22 | Development and Field Implementation of Transient Torsional Torque Protection for Turbine Generators
[IEEE] 2026-9-22 | WPTCE 2026 Copyright Page
[IEEE] 2026-9-22 | A Prediction Model to Forecast Ragi Price in Southern Parts of India Using Time Series and Machine Learning Algorithm
[IEEE] 2026-9-22 | Compact Dual-Port Nested Co-Aperture Implantable Antenna for Multi-Band Biomedical IoMT Nodes
[IEEE] 2026-9-22 | Characteristics of Single-Shunt Rectifiers Under Negative-Voltage Conditions
[IEEE] 2026-9-22 | A Novel Privacy-Preserving Wind Power Forecasting Method Considering Regional Spatio-Temporal Correlations
[IEEE] 2026-9-22 | Safe but not Robust: Security Evaluation of VLM by Jailbreaking MSTS
[IEEE] 2026-9-22 | Synergizing 5G-uRLLC Connectivity and Low-Loss Magneto-Dielectric Antenna Systems for Resilient Autonomous Vehicles and UAVs
[IEEE] 2026-9-22 | Replication of a Three-Phase 200-kW Dynamic Wireless Power Transfer Pilot System for Standards-Oriented Testing
[IEEE] 2026-9-22 | Poisoning-Resilient Federated Load Forecasting for Smart Grids
[IEEE] 2026-9-22 | MPLNet: Multimorphology Power Line Instance Detection Network
[IEEE] 2026-9-22 | Data-Driven Embedded Learning Observer for Model-Free Control of a Multi-Phase Interleaved Step-Down Fuel Cell Converter
[IEEE] 2026-9-22 | Real-Time Deepfake Detection on IoT Edge Devices via Lightweight CNN and WebRTC Integration
[IEEE] 2026-9-22 | ESC Enables Protection of an Accelerator Superconducting Magnet With $&gt;$5 kA/mm$^{2}$ Copper Current Density
[IEEE] 2026-9-22 | Scaling SDN Control Planes with Multi-Agent Reinforcement Learning
[IEEE] 2026-9-22 | Constructing a Physics-Driven Dataset for Underwater Acoustic Signal Generation using Diffusion Models
[IEEE] 2026-9-22 | A Growth-Prior-Informed Forest Age Estimation Method Using Overlapping ICESat/GLAS and GEDI Footprints with Reduced Dependence on Field Calibration Data_supp1-3735540.docx
[IEEE] 2026-9-22 | Bi-Level Low-Carbon Optimal Scheduling for Distribution Networks Integrated with Distributed Generators
[IEEE] 2026-9-22 | Cavity-Enhanced Multilevel Nonvolatile Photonic Memory with Phase-change Nanobeam Cavities for In-memory Computing
[IEEE] 2026-9-22 | Model Predictive Control-Based Coordinated Control of Circulating Cooling Water Flow and Temperature in a Circulation Station
[IEEE] 2026-9-22 | Sideband Reduction in Pulse-Width Time-Modulated Arrays for WPT scenarios
[IEEE] 2026-9-22 | Nanocrystalline Core Structure Design for Non-Polarised IPT Pads
[IEEE] 2026-9-22 | Mambafolio: a Negative-Result Study of Modular Predict-Then-Optimize Portfolios Under Realistic Frictions
[IEEE] 2026-9-22 | Semi-Supervised Fast Food Classification Using Vision Transformers and FixMatch
[IEEE] 2026-9-22 | A SHA-256 Driven Tent Map and Dynamic S-Box Based Secure MRI Image Encryption Framework for Healthcare IoT Systems
[IEEE] 2026-9-22 | A Siamese DenseNet121 Framework with Contrastive Learning for Offline Signature Forgery Detection
[IEEE] 2026-9-22 | Facial Expression Recognition Using Capped Adaptive Ensemble of Deep Learning Models
[IEEE] 2026-9-22 | Key Information Extraction and Automated Compliance Comparison of Financial Contracts via Neuro-Symbolic Agentic Frameworks
[IEEE] 2026-9-22 | A Wide-Area Rural Renewable Energy Accommodation Strategy Accounting for Spatiotemporal Flexibility of Urban-Rural Transportation
[IEEE] 2026-9-22 | TPS Modulated DAB-CLLC Converter for Wireless Charging of Light Electric Vehicles
[IEEE] 2026-9-22 | Teacher-free Latent Self-distillation and Class-separable Representations for Lightweight IoT Attack Detection
[IEEE] 2026-9-22 | Development of A Dual-Mode Electromagnet-Based EMAT with Halbach Array Configuration
[IEEE] 2026-9-22 | On the Influence of Objectives, Constraints, and Material Interpolation Schemes in the Topology Optimization of Ferrite Plates for WPT Systems
[ACM] 2026-9-22 | On the Stability of Large MJQM With Correlated Arrivals
[ACM] 2026-9-22 | Single-Server Size-Aware Scheduling with Abandonment
[ACM] 2026-9-22 | Bridging CPU and GPU I/O with a Device-Resident File System
[ACM] 2026-9-22 | InfiniLoRA: Disaggregated Multi-LoRA Serving for Large Language Models
[IEEE] 2026-9-22 | Design and Operational Study of an Integrated Coal-Power-Chemical-Computing Recycling System Based on the Reuse of Abandoned Mines
[IEEE] 2026-9-22 | LSOAF-YOLO: A Lightweight Small Object Detector with Attention Fusion for Aerial Remote Sensing Imagery
[IEEE] 2026-9-22 | SAFe-Mix: Active
                    <u>S</u>
                    trategies for Energy-
                    <u>A</u>
                    ware
                    <u>F</u>
                    ault Tol
                    <u>e</u>
                    rance in
                    <u>Mix</u>
                    ed-Criticality Systems
[IEEE] 2026-9-22 | Analysis of Methods for Underwater Electromagnetic Field Sensing Against Low-frequency Marine Environmental Interference
[IEEE] 2026-9-22 | A Method for Retrieving Surface Displacement by Integrating Simulated Ascending and Descending InSAR Observations
[IEEE] 2026-9-22 | Steering Committee
[IEEE] 2026-9-22 | A Dual-Bundle PCB Litz Coil Achieving 1 kW, 6.78 MHz WPT with 97.8 % AC-AC Efficiency
[IEEE] 2026-9-22 | Genetic Algorithm-Based Optimization for Litz-Wire Aspect Ratio in Wireless Power Transfer Coils of Electric Vehicle
[IEEE] 2026-9-22 | Research on Integrated Oil Cooling Structure of Flat Wire Motor for High-Speed Vehicles
[IEEE] 2026-9-22 | Probability Assessment of Voltage Violations and Bidirectional Overloads in Distribution Networks with Large-Scale DGs Integration
[IEEE] 2026-9-22 | NLP-enhanced Hybrid Construction of CIM Ontology: A Path to Semantic Interoperability
[IEEE] 2026-9-22 | Off-The-Shelf Image-to-Image Models Are All You Need To Defeat Image Protection Schemes
[IEEE] 2026-9-22 | A Security-Constrained Optimization Model with Coordinated Frequency Support from Renewable Energy and Energy Storage
[IEEE] 2026-9-22 | Three-Phase Isolated Matrix Rectifier Based on Asymmetric Fault-Tolerant Structure for Highreliability Energy Storage Systems
