[2026-02-18 09:33:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-17
正在获取论文...
[arXiv] 2026-02-17 | A Content-Based Framework for Cybersecurity Refusal Decisions in Large Language Models
[arXiv] 2026-02-17 | LuxMT Technical Report
[arXiv] 2026-02-17 | Scaling solutions in three-form cosmology
[arXiv] 2026-02-17 | Polynomial-time isomorphism test for $k$-generated extensions of abelian groups
[arXiv] 2026-02-17 | Generalized Geometric Brownian motion and the Infinite Ergodicity concept
[arXiv] 2026-02-17 | Efficient Approximate Nearest Neighbor Search under Multi-Attribute Range Filter
[arXiv] 2026-02-17 | How to Detect Information Voids Using Longitudinal Data from Social Media and Web Searches
[arXiv] 2026-02-17 | Coronal Non-Thermal and Doppler Plasma Flows Driven by Photospheric Flux in 28 Active Regions
[arXiv] 2026-02-17 | Conformal Metrics on the Disk with Prescribed Negative Gaussian Curvature and Boundary Geodesic Curvature
[arXiv] 2026-02-17 | Electric-field-tuned consecutive topological phase transitions between distinct correlated insulators in moire MoTe2/WSe2 heterobilayer
[arXiv] 2026-02-17 | Hydrostatic Pressure-enhanced correlated magnetism and Chern insulator in moir'e WSe2
[arXiv] 2026-02-17 | Subgroups with all finite lifts isomorphic are conjugate
[arXiv] 2026-02-17 | A Universal Neural Receiver that Learns at the Speed of Wireless
[arXiv] 2026-02-17 | In Agents We Trust, but Who Do Agents Trust? Latent Source Preferences Steer LLM Generations
[arXiv] 2026-02-17 | Perturbative calculations of nucleon-deuteron elastic scattering in chiral effective field theory
[arXiv] 2026-02-17 | Molecular Design beyond Training Data with Novel Extended Objective Functionals of Generative AI Models Driven by Quantum Annealing Computer
[arXiv] 2026-02-17 | The First Instrumentally Documented Fall of an Iron Meteorite: atmospheric trajectory and ground impact
[arXiv] 2026-02-17 | Measuring Social Integration Through Participation: Categorizing Organizations and Leisure Activities in the Displaced Karelians Interview Archive using LLMs
[arXiv] 2026-02-17 | Fano varieties with split tangent sheaf
[arXiv] 2026-02-17 | Particle production, absorption, scattering, and geodesics in a Schwarzschild--Hernquist black hole
[arXiv] 2026-02-17 | A Robust Truncated-Domain Approach for Cone--Jet Simulations in Electrospinning and Electrospraying
[arXiv] 2026-02-17 | Social Life of Code: Modeling Evolution through Code Embedding and Opinion Dynamics
[arXiv] 2026-02-17 | Residue-Enhanced Pion-Rho Mixing as the Origin of Nonmonotonic Charged Pion Mass in Magnetic Fields
[arXiv] 2026-02-17 | Joint Enhancement and Classification using Coupled Diffusion Models of Signals and Logits
[arXiv] 2026-02-17 | One Agent to Guide Them All: Empowering MLLMs for Vision-and-Language Navigation via Explicit World Representation
[arXiv] 2026-02-17 | Hybrid F' and ROS2 Architecture for Vision-Based Autonomous Flight: Design and Experimental Validation
[arXiv] 2026-02-17 | Dual thermodynamic ensembles, relative entropies, and excess free energy
[arXiv] 2026-02-17 | Improving LLM Reliability through Hybrid Abstention and Adaptive Detection
[arXiv] 2026-02-17 | Bayesian Nonparametrics for Gene-Gene and Gene-Environment Interactions in Case-Control Studies: A Synthesis and Extension
[arXiv] 2026-02-17 | Automatic Funny Scene Extraction from Long-form Cinematic Videos
[arXiv] 2026-02-17 | Self-dual Stacked Quantum Low-Density Parity-Check Codes
[arXiv] 2026-02-17 | From PhysioNet to Foundation Models -- A history and potential futures
[arXiv] 2026-02-17 | MarkSweep: A No-box Removal Attack on AI-Generated Image Watermarking via Noise Intensification and Frequency-aware Denoising
[arXiv] 2026-02-17 | Automated Multi-Source Debugging and Natural Language Error Explanation for Dashboard Applications
[arXiv] 2026-02-17 | CREMD: Crowd-Sourced Emotional Multimodal Dogs Dataset
[arXiv] 2026-02-17 | Machine learning electronic structure and atomistic properties from the external potential
[arXiv] 2026-02-17 | Prescriptive Scaling Reveals the Evolution of Language Model Capabilities
[arXiv] 2026-02-17 | Realizing a Universal Quantum Gate Set via Double-Braiding of SU(2)k Anyon Models
[arXiv] 2026-02-17 | Bayesian Inference for Joint Tail Risk in Paired Biomarkers via Archimedean Copulas with Restricted Jeffreys Priors
[arXiv] 2026-02-17 | Enhancing Computational Efficiency in NetLogo: Best Practices for Running Large-Scale Agent-Based Models on AWS and Cloud Infrastructures
[arXiv] 2026-02-17 | Training-Free Zero-Shot Anomaly Detection in 3D Brain MRI with 2D Foundation Models
[arXiv] 2026-02-17 | The general Brannan coefficient conjecture and Watson's lemma
[arXiv] 2026-02-17 | Intellicise Wireless Networks Meet Agentic AI: A Security and Privacy Perspective
[arXiv] 2026-02-17 | AI Sessions for Network-Exposed AI-as-a-Service
[arXiv] 2026-02-17 | Visual Persuasion: What Influences Decisions of Vision-Language Models?
[arXiv] 2026-02-17 | Compact Q-balls and Q-shells within a $CP^N$ Skyrme-Faddeev type model
[arXiv] 2026-02-17 | When Remembering and Planning are Worth it: Navigating under Change
[arXiv] 2026-02-17 | Ensemble-size-dependence of deep-learning post-processing methods that minimize an (un)fair score: motivating examples and a proof-of-concept solution
[arXiv] 2026-02-17 | Perceptive Humanoid Parkour: Chaining Dynamic Human Skills via Motion Matching
[arXiv] 2026-02-17 | Connection formulas for Askey--Wilson polynomials and related expansions
[arXiv] 2026-02-17 | Separable C*-algebras Without the Countable Axiom of Choice
[arXiv] 2026-02-17 | Entanglement in the Dicke subspace
[arXiv] 2026-02-17 | On Graham's rearrangement conjecture
[arXiv] 2026-02-17 | Meteorological data and Sky Images meets Neural Models for Photovoltaic Power Forecasting
[arXiv] 2026-02-17 | *-PLUIE: Personalisable metric with Llm Used for Improved Evaluation
[arXiv] 2026-02-17 | New Challenges in Plasma Accelerators: Final Focusing for Wakefield Colliders
[arXiv] 2026-02-17 | NeRFscopy: Neural Radiance Fields for in-vivo Time-Varying Tissues from Endoscopy
[arXiv] 2026-02-17 | ViTaB-A: Evaluating Multimodal Large Language Models on Visual Table Attribution
[arXiv] 2026-02-17 | Power monoids and their arithmetic: a survey
[arXiv] 2026-02-17 | Hierarchical Decomposition of Separable Workflow-Nets
[arXiv] 2026-02-17 | Language and Geometry Grounded Sparse Voxel Representations for Holistic Scene Understanding
[arXiv] 2026-02-17 | Generalised Exponential Kernels for Nonparametric Density Estimation
[arXiv] 2026-02-17 | Weak mixing for area preserving flows on surfaces
[arXiv] 2026-02-17 | On the existence of a morphism between certain Artin-Schreier curves
[arXiv] 2026-02-17 | Controlled oscillation modeling using port-Hamiltonian neural networks
[arXiv] 2026-02-17 | Analytical Nuclear Gradients of State-Averaged Configuration Interaction Singles Variants: Application to Conical Intersections
[arXiv] 2026-02-17 | Upper bounds for logarithmic Gromov-Witten invariants of projective space
[arXiv] 2026-02-17 | Relative and lax volutive categories
[arXiv] 2026-02-17 | The stability of Yang-Mills connections on $δ$-pinched manifolds
[arXiv] 2026-02-17 | Generalized GMP Algebra for Three-Dimensional Quantum Hall Fluids of Extended Objects
[arXiv] 2026-02-17 | Entropy production reveals hidden dynamical constraints rather than stochastic disorder
[arXiv] 2026-02-17 | Self-phoretic oscillatory motion in a one-dimensional channel
[arXiv] 2026-02-17 | Beyond ReLU: Bifurcation, Oversmoothing, and Topological Priors
[arXiv] 2026-02-17 | SpecFuse: A Spectral-Temporal Fusion Predictive Control Framework for UAV Landing on Oscillating Marine Platforms
[arXiv] 2026-02-17 | Steenrod operations and symplectic arithmetic duality
[arXiv] 2026-02-17 | Magnetically assisted spin-resolved electron diffraction: Coherent control of spin population and spatial filtering
[arXiv] 2026-02-17 | Fast computation of temperature and polarization coupling matrices
[arXiv] 2026-02-17 | Aligned and misaligned metallicity gradients in young stars and star-forming regions in the EAGLE discs
[arXiv] 2026-02-17 | Influence of the Inhalation Route on Tracheal Flow Structures in Patient-Specific Airways using 3D PTV
[arXiv] 2026-02-17 | Hyperbolicity of Fermat-type curves and their complements
[arXiv] 2026-02-17 | Four fermion soft emission in QCD hard scattering
[arXiv] 2026-02-17 | Origin of a shallow electron pocket: $β$-band in Co$_{1/3}$TaS$_2$ studied by angle-resolved photoemission spectroscopy
[arXiv] 2026-02-17 | Algorithmic differentiation for domain specific languages in C++ with expression templates
[arXiv] 2026-02-17 | Charm and strange meson fragmentation functions
[arXiv] 2026-02-17 | Binge Watch: Reproducible Multimodal Benchmarks Datasets for Large-Scale Movie Recommendation on MovieLens-10M and 20M
[arXiv] 2026-02-17 | A discrete gradient scheme for preserving QSR-dissipativity
[arXiv] 2026-02-17 | On the efficiency of pairwise Hamiltonian control to desynchronize the higher-order Kuramoto model
[arXiv] 2026-02-17 | A Scalable Curiosity-Driven Game-Theoretic Framework for Long-Tail Multi-Label Learning in Data Mining
[arXiv] 2026-02-17 | EventMemAgent: Hierarchical Event-Centric Memory for Online Video Understanding with Adaptive Tool Use
[arXiv] 2026-02-17 | SCENE OTA-FD: Self-Centering Noncoherent Estimator for Over-the-Air Federated Distillation
[arXiv] 2026-02-17 | AgriWorld:A World Tools Protocol Framework for Verifiable Agricultural Reasoning with Code-Executing LLM Agents
[arXiv] 2026-02-17 | Revisiting the Sparse Matrix Compression Problem
[arXiv] 2026-02-17 | Near-real-time Solutions for Online String Problems
[arXiv] 2026-02-17 | What Do Neurons Listen To? A Neuron-level Dissection of a General-purpose Audio Model
[arXiv] 2026-02-17 | Sparse Additive Model Pruning for Order-Based Causal Structure Learning
[arXiv] 2026-02-17 | Hybrid Federated and Split Learning for Privacy Preserving Clinical Prediction and Treatment Optimization
[arXiv] 2026-02-17 | EAA: Automating materials characterization with vision language model agents
[arXiv] 2026-02-17 | A Projection Approach to Nonparametric Significance and Conditional Independence Testing
[arXiv] 2026-02-17 | State Feedback Control of State-Delayed LPV Systems using Dynamics IQCs
[arXiv] 2026-02-17 | Accelerating Large-Scale Dataset Distillation via Exploration-Exploitation Optimization
[arXiv] 2026-02-17 | To boost or not to boost, that's the question
[arXiv] 2026-02-17 | Intracoronary Optical Coherence Tomography Image Processing and Vessel Classification Using Machine Learning
[arXiv] 2026-02-17 | Accelerated Predictive Coding Networks via Direct Kolen-Pollack Feedback Alignment
[arXiv] 2026-02-17 | "What Are You Doing?": Effects of Intermediate Feedback from Agentic LLM In-Car Assistants During Multi-Step Processing
[arXiv] 2026-02-17 | Scenario Approach with Post-Design Certification of User-Specified Properties
[arXiv] 2026-02-17 | Either a Confidence Interval Covers, or It Doesn't (Or Does It?): A Model-Based View of Ex-Post Coverage Probability
[arXiv] 2026-02-17 | Fixed-Horizon Self-Normalized Inference for Adaptive Experiments via Martingale AIPW/DML with Logged Propensities
[arXiv] 2026-02-17 | A Counterexample to Matkowski's Conjecture for Quasi Graph-Additive Functions
[arXiv] 2026-02-17 | Optimal Classification of Three-Qubit Entanglement with Cascaded Support Vector Machine
[arXiv] 2026-02-17 | Homeomorphisms between compact subsets of real numbers
[arXiv] 2026-02-17 | Improved regularity for a composite functional equation stemming from the theory of means
[arXiv] 2026-02-17 | Advanced Acceptance Score: A Holistic Measure for Biometric Quantification
[arXiv] 2026-02-17 | Quantifying construct validity in large language model evaluations
[arXiv] 2026-02-17 | Improving MLLMs in Embodied Exploration and Question Answering with Human-Inspired Memory Modeling
[arXiv] 2026-02-17 | From Coils to Surface Recession: Fully Coupled Simulation of Ablation in ICP Wind Tunnels
[arXiv] 2026-02-17 | The Equalizer: Introducing Shape-Gain Decomposition in Neural Audio Codecs
[arXiv] 2026-02-17 | Uniform Narrow Excitonic Spectrum in Large-Area Suspended WSe2 Monolayers
[arXiv] 2026-02-17 | Evaluating Federated Learning for Cross-Country Mood Inference from Smartphone Sensing Data
[arXiv] 2026-02-17 | The Skeletal Trap: Mapping Spatial Inequality and Ghost Stops in Ankara's Transit Network
[arXiv] 2026-02-17 | Students' understanding of the 2D Heat Equation: An APOS approach
[arXiv] 2026-02-17 | Static black holes in an external uniform electromagnetic field: Reissner-Nordstrom accelerating in Bertotti-Robinson
[arXiv] 2026-02-17 | Benchmarking IoT Time-Series AD with Event-Level Augmentations
[arXiv] 2026-02-17 | Relations for partitions with distinct even parts except the largest part which is even
[arXiv] 2026-02-17 | Photoionization of temperature-controlled nanoparticles in a beam: Accurate and efficient determination of ionization energies and work functions
[arXiv] 2026-02-17 | GaiaFlow: Semantic-Guided Diffusion Tuning for Carbon-Frugal Search
[arXiv] 2026-02-17 | Dolbeault-Dirac operators on compact Kähler manifolds in Banach noncommutative geometry
[arXiv] 2026-02-17 | Memory Reallocation with Polylogarithmic Overhead
[arXiv] 2026-02-17 | Framed null curves and timelike surfaces via Lorentzian harmonic maps into de-Sitter 2-space
[arXiv] 2026-02-17 | Singularities on timelike minimal surfaces in Lorentzian Heisenberg group
[arXiv] 2026-02-17 | Hennessy-Milner Logic in CSLib, the Lean Computer Science Library
[arXiv] 2026-02-17 | Constant curvature rotational nets and periodic Bäcklund transforms
[arXiv] 2026-02-17 | Fairness over Equality: Correcting Social Incentives in Asymmetric Sequential Social Dilemmas
[arXiv] 2026-02-17 | Development and validation of a sharp interface immersed boundary method for high-speed flows
[arXiv] 2026-02-17 | Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching
[arXiv] 2026-02-17 | MEV in Binance Builder
[arXiv] 2026-02-17 | Fractional-Order Federated Learning
[arXiv] 2026-02-17 | Asymptotic Tightness of the Pigeonhole Bound for Large-Order Davenport-Schinzel Sequences
[arXiv] 2026-02-17 | Tailoring multiple scattering acoustic media with perfect transmission for non-Abelian braiding and beyond
[arXiv] 2026-02-17 | Semantics-Aware Denoising: A PLM-Guided Sample Reweighting Strategy for Robust Recommendation
[arXiv] 2026-02-17 | From Blaschke--Santaló-type inequalities to uniform contractions
[arXiv] 2026-02-17 | Hidden Structural Control of Solvent Transport under Soft Jamming
[arXiv] 2026-02-17 | On basic $r$-ball polyhedra
[arXiv] 2026-02-17 | Effective and Robust Multimodal Medical Image Analysis
[arXiv] 2026-02-17 | ER-MIA: Black-Box Adversarial Memory Injection Attacks on Long-Term Memory-Augmented Large Language Models
[arXiv] 2026-02-17 | Lifelong Scalable Multi-Agent Realistic Testbed and A Comprehensive Study on Design Choices in Lifelong AGV Fleet Management Systems
[arXiv] 2026-02-17 | QwaveMPS: An efficient open-source Python package for simulating non-Markovian waveguide-QED using matrix product states
[arXiv] 2026-02-17 | CrispEdit: Low-Curvature Projections for Scalable Non-Destructive LLM Editing
[arXiv] 2026-02-17 | Finite Free Information Inequalities
[arXiv] 2026-02-17 | Stabilizing Test-Time Adaptation of High-Dimensional Simulation Surrogates via D-Optimal Statistics
[arXiv] 2026-02-17 | Developing AI Agents with Simulated Data: Why, what, and how?
[arXiv] 2026-02-17 | Avey-B
[arXiv] 2026-02-17 | FAST-EQA: Efficient Embodied Question Answering with Global and Local Region Relevancy
[arXiv] 2026-02-17 | Task-Agnostic Continual Learning for Chest Radiograph Classification
[arXiv] 2026-02-17 | Decision Quality Evaluation Framework at Pinterest
[arXiv] 2026-02-17 | The dimension of the tangent bundle and the universality of the vertical lift
[arXiv] 2026-02-17 | The Geometry of Alignment Collapse: When Fine-Tuning Breaks Safety
[arXiv] 2026-02-17 | Surface Block Identity Controls Transport of Symmetric Diblock Copolymer Through Nanopores
[arXiv] 2026-02-17 | Service Orchestration in the Computing Continuum: Structural Challenges and Vision
[arXiv] 2026-02-17 | Displacement general solutions in strain gradient elasticity: review and analysis
[arXiv] 2026-02-17 | This human study did not involve human subjects: Validating LLM simulations as behavioral evidence
[arXiv] 2026-02-17 | Context-aware Skin Cancer Epithelial Cell Classification with Scalable Graph Transformers
[arXiv] 2026-02-17 | Deep Learning for Point Spread Function Modeling in Cosmology
[arXiv] 2026-02-17 | GlobeDiff: State Diffusion Process for Partial Observability in Multi-Agent Systems
[arXiv] 2026-02-17 | Efficient Densest Flow Queries in Transaction Flow Networks (Complete Version)
[arXiv] 2026-02-17 | Generic neck pinch singularities along 2D Lagrangian mean curvature flow
[arXiv] 2026-02-17 | More uses for Thermal Models
[arXiv] 2026-02-17 | A Note on Non-Composability of Layerwise Approximate Verification for Neural Inference
[arXiv] 2026-02-17 | RaCo: Ranking and Covariance for Practical Learned Keypoints
[arXiv] 2026-02-17 | Under-resourced studies of under-resourced languages: lemmatization and POS-tagging with LLM annotators for historical Armenian, Georgian, Greek and Syriac
[arXiv] 2026-02-17 | Temperley-Lieb modules and local operators for critical ADE models
[arXiv] 2026-02-17 | Beyond Labels: Information-Efficient Human-in-the-Loop Learning using Ranking and Selection Queries
[arXiv] 2026-02-17 | NYUSIM: A Roadmap to AI-Enabled Statistical Channel Modeling and Simulation
[arXiv] 2026-02-17 | Learning to Retrieve Navigable Candidates for Efficient Vision-and-Language Navigation
[arXiv] 2026-02-17 | Microscopic Rydberg electron orbit manipulation with optical tweezers
[arXiv] 2026-02-17 | ToaSt: Token Channel Selection and Structured Pruning for Efficient ViT
[arXiv] 2026-02-17 | Rethinking Metrics for Lexical Semantic Change Detection
[arXiv] 2026-02-17 | A Knaster--Reichbach type theorem for graph structures
[arXiv] 2026-02-17 | Relating biomarkers and phenotypes using dynamical trap spaces
[arXiv] 2026-02-17 | The Next Paradigm Is User-Centric Agent, Not Platform-Centric Service
[arXiv] 2026-02-17 | Decompactification Limits of Non-Compact Gauge Theory
[arXiv] 2026-02-17 | Revisiting Northrop Frye's Four Myths Theory with Large Language Models
[arXiv] 2026-02-17 | Complexity and Misspecification
[arXiv] 2026-02-17 | The COHERENT Experiment: 2026 Update
[arXiv] 2026-02-17 | Continuous-Time Piecewise-Linear Recurrent Neural Networks
[arXiv] 2026-02-17 | Bayesian parameter study of the Seyfert-starburst composite galaxies NGC 1068 and NGC 7469
[arXiv] 2026-02-17 | Reinforcement Learning in Real Option Models
[arXiv] 2026-02-17 | On the discriminant and index of a certain class of polynomials
[arXiv] 2026-02-17 | Neural-POD: A Plug-and-Play Neural Operator Framework for Infinite-Dimensional Functional Nonlinear Proper Orthogonal Decomposition
[arXiv] 2026-02-17 | Meflex: A Multi-agent Scaffolding System for Entrepreneurial Ideation Iteration via Nonlinear Business Plan Writing
[arXiv] 2026-02-17 | Controlling correlations of a polaritonic Luttinger liquid by engineered cross-Kerr nonlinearity
[arXiv] 2026-02-17 | Deformation and orientation of a capsule with viscosity contrast in linear flows: a theoretical study
[arXiv] 2026-02-17 | Partial desingularization in characteristic 0
[arXiv] 2026-02-17 | Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution
[arXiv] 2026-02-17 | Morphological variations of solar granules in the presence of magnetic fields
[arXiv] 2026-02-17 | Adjusted Scores for Discrete Langevin Algorithms
[arXiv] 2026-02-17 | Magnetic Hardy inequalities with singular integral weights
[arXiv] 2026-02-17 | Beyond Binary Classification: Detecting Fine-Grained Sexism in Social Media Videos
[arXiv] 2026-02-17 | Random Wavelet Features for Graph Kernel Machines
[arXiv] 2026-02-17 | SecCodeBench-V2 Technical Report
[arXiv] 2026-02-17 | Operationalising the Superficial Alignment Hypothesis via Task Complexity
[arXiv] 2026-02-17 | Tunable microwave frequency synthesis with optically-derived spectral purity
[arXiv] 2026-02-17 | Nearest Neighbour-Based Statistics for 21cm-Galaxy Cross-Correlations in the Epoch of Reionization
[arXiv] 2026-02-17 | Deformed Heisenberg algebra and its Hilbert space representations
[arXiv] 2026-02-17 | Quantitative local recovery of Kerr-de Sitter parameters from high-frequency equatorial quasinormal modes
[arXiv] 2026-02-17 | GLM-5: from Vibe Coding to Agentic Engineering
[arXiv] 2026-02-17 | Slow focus sensor for the Keck I laser guide star adaptive optics system using focal plane wavefront sensing
[arXiv] 2026-02-17 | Unraveling Entangled Feeds: Rethinking Social Media Design to Enhance User Well-being
[arXiv] 2026-02-17 | MRC-GAT: A Meta-Relational Copula-Based Graph Attention Network for Interpretable Multimodal Alzheimer's Disease Diagnosis
[arXiv] 2026-02-17 | A sequence of elastic patterns in a sheared bent sheet
[arXiv] 2026-02-17 | Causal Effect Estimation with Latent Textual Treatments
[arXiv] 2026-02-17 | Revealing 3D Strain and Carbide Architectures in Additively Manufactured Ni Superalloys
[arXiv] 2026-02-17 | Thermodynamic Topology of 4D Charged AdS Black Holes with $F^{αβ}F^{γλ}R_{αγβλ}$ Coupling
[arXiv] 2026-02-17 | Outer Diversity of Structured Domains
[arXiv] 2026-02-17 | Privacy-Preserving and Secure Spectrum Sharing for Database-Driven Cognitive Radio Networks
[arXiv] 2026-02-17 | How to Disclose? Strategic AI Disclosure in Crowdfunding
[arXiv] 2026-02-17 | Reproducibility and Statistical Methodology
[arXiv] 2026-02-17 | On the intersections of projected Hamiltonian orbits in cotangent bundles
[arXiv] 2026-02-17 | Flexoelectricity-driven softening of bend elasticity leads to spontaneous chiral symmetry breaking in a polar fluid
[arXiv] 2026-02-17 | Minimizing Volatility: Optimal Adjustment with Evolving Feasibility Constraints
[arXiv] 2026-02-17 | Estimating Human Muscular Fatigue in Dynamic Collaborative Robotic Tasks with Learning-Based Models
[arXiv] 2026-02-17 | A universal LLM Framework for General Query Refinements
[arXiv] 2026-02-17 | Leicester's Tale: Another Perspective on the EPL 2015/16 Through Expected Goals (xG) Modelling
[arXiv] 2026-02-17 | Dosimetric Study of Lung Modulation and Motion Effects in Carbon ion Therapy for Lung Cancer
[arXiv] 2026-02-17 | Can Recommender Systems Teach Themselves? A Recursive Self-Improving Framework with Fidelity Control
[arXiv] 2026-02-17 | Spectroscopic analysis and RHD modeling of the first Ca II H and H-epsilon flare spectra from DKIST/ViSP
[arXiv] 2026-02-17 | A Novel Public Dataset for Strawberry (Fragaria x ananassa) Ripeness Detection and Comparative Evaluation of YOLO-Based Models
[arXiv] 2026-02-17 | Generating quantum entanglement from sunlight
[arXiv] 2026-02-17 | UniTAF: A Modular Framework for Joint Text-to-Speech and Audio-to-Face Modeling
[arXiv] 2026-02-17 | Concept-Enhanced Multimodal RAG: Towards Interpretable and Accurate Radiology Report Generation
[arXiv] 2026-02-17 | Planar Structures of Medium-Sized Gold Clusters Become Ground States upon Ionization
[arXiv] 2026-02-17 | Spatially-Aware Adaptive Trajectory Optimization with Controller-Guided Feedback for Autonomous Racing
[arXiv] 2026-02-17 | Latency-aware Human-in-the-Loop Reinforcement Learning for Semantic Communications
[arXiv] 2026-02-17 | Equilibrium statistical mechanics of waves in inhomogeneous moving media
[arXiv] 2026-02-17 | The Stationarity Bias: Stratified Stress-Testing for Time-Series Imputation in Regulated Dynamical Systems
[arXiv] 2026-02-17 | Expansion operators in spherically symmetric loop quantum gravity
[arXiv] 2026-02-17 | Integral and arithmetic structures of alternating (zigzag) numbers $A_n$
[arXiv] 2026-02-17 | STAPO: Stabilizing Reinforcement Learning for LLMs by Silencing Rare Spurious Tokens
[arXiv] 2026-02-17 | DNN-Enabled Multi-User Beamforming for Throughput Maximization under Adjustable Fairness
[arXiv] 2026-02-17 | Searching for Axion-like particle Dark Matter with Time-domain Polarization: Constraints from a protoplanetary disk
[arXiv] 2026-02-17 | Agent-based macroeconomics for the UK's Seventh Carbon Budget
[arXiv] 2026-02-17 | Time-Certified and Efficient NMPC via Koopman Operator
[arXiv] 2026-02-17 | Uni-Flow: a unified autoregressive-diffusion model for complex multiscale flows
[arXiv] 2026-02-17 | Uniform error bounds for quantized dynamical models
[arXiv] 2026-02-17 | An Industrial Dataset for Scene Acquisitions and Functional Schematics Alignment
[arXiv] 2026-02-17 | The lattice of smooth sublocales as a Bruns-Lakser completion
[arXiv] 2026-02-17 | Clinically Inspired Symptom-Guided Depression Detection from Emotion-Aware Speech Representations
[arXiv] 2026-02-17 | The physics of crêpes: Elasto-gravity control of soft folding
[arXiv] 2026-02-17 | Neural Network-Based Parameter Estimation of a Labour Market Agent-Based Model
[arXiv] 2026-02-17 | Efficient Road Renovation Scheduling under Uncertainty using Lower Bound Pruning
[arXiv] 2026-02-17 | Latent Regularization in Generative Test Input Generation
[arXiv] 2026-02-17 | VLM-DEWM: Dynamic External World Model for Verifiable and Resilient Vision-Language Planning in Manufacturing
[arXiv] 2026-02-17 | Efficient Knowledge Transfer for Jump-Starting Control Policy Learning of Multirotors through Physics-Aware Neural Architectures
[arXiv] 2026-02-17 | GenAI-LA: Generative AI and Learning Analytics Workshop (LAK 2026), April 27--May 1, 2026, Bergen, Norway
[arXiv] 2026-02-17 | Adaptive Selection of Codebook Using Assistance Information and Artificial Intelligence for 6G Systems
[arXiv] 2026-02-17 | Universal entanglement-inspired correlations
[arXiv] 2026-02-17 | Enroll-on-Wakeup: A First Comparative Study of Target Speech Extraction for Seamless Interaction in Real Noisy Human-Machine Dialogue Scenarios
[arXiv] 2026-02-17 | A Model Order Reduction Method for Seismic Applications Using the Laplace Transform
[arXiv] 2026-02-17 | Anomalous transport in the Fermi-Pasta-Ulam-Tsingou model: a review and open problems
[arXiv] 2026-02-17 | Upper atmosphere dynamics and drivers of volatiles loss from terrestrial-type (exo)planets
[arXiv] 2026-02-17 | RPT-SR: Regional Prior attention Transformer for infrared image Super-Resolution
[arXiv] 2026-02-17 | Reflecting on 1,000 Social Media Journeys: Generational Patterns in Platform Transition
[arXiv] 2026-02-17 | Bottleneck Transformer-Based Approach for Improved Automatic STOI Score Prediction
[arXiv] 2026-02-17 | Quantum Reservoir Computing for Statistical Classification in a Superconducting Quantum Circuit
[arXiv] 2026-02-17 | POP: Prior-fitted Optimizer Policies
[arXiv] 2026-02-17 | Cluster Ising quantum batteries can mimic super-extensive charging power
[arXiv] 2026-02-17 | Fractional optical skyrmions
[arXiv] 2026-02-17 | Emergent Morphing Attack Detection in Open Multi-modal Large Language Models
[arXiv] 2026-02-17 | A Quantum Genetic Algorithm with application to Cosmological Parameters Estimation
[arXiv] 2026-02-17 | Nonlocality without entanglement in exclusion of quantum states
[arXiv] 2026-02-17 | Household size can explain 40% of the variance in cumulative COVID-19 incidence across Europe
[arXiv] 2026-02-17 | Logit Distance Bounds Representational Similarity
