[2026-08-23 10:21:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[ACM] 2026-8-22 | Chinese Painting Semantic Resource for Resolution-Aware Digitisation and Structured Heritage Access
[ACM] 2026-8-22 | Simulation modeling and Experimental Validation of Cranial Electric Fields Based on Temporal Interference Stimulation
[ACM] 2026-8-22 | Turning Parser Errors into Suggestions for REPL-Driven DSLs (Functional Pearl)
[ACM] 2026-8-22 | How Does Motion-to-Photon Latency Influence the Perception-Action Loop
[ACM] 2026-8-22 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[ACM] 2026-8-22 | Digital Twin-Driven OCT Probe Guidance via Group-Relative Soft Actor-Critic
[ACM] 2026-8-22 | LHMM-Net: A Lightweight Hybrid Multi-scale Mamba Network with 2.5D Representation for Early Alzheimer' s Disease Diagnosis
[ACM] 2026-8-22 | MsOrgDet: A Multi-scale Progressive Fusion Network for Organoid Object Detection
[ACM] 2026-8-22 | Spatiotemporal Feature Learning via Transformer and LSTM for Affective Computing Using fNIRS
[ACM] 2026-8-22 | Comparative Genomic Analysis of Human- and Swine-Origin Staphylococcus aureus ST398: Revealing Host Adaptation Characteristics and Cross-Species Transmission Patterns
[ACM] 2026-8-22 | Source-Space Phase-Amplitude Coupling During Drug Cue Induction in Abstinent Patients with Methamphetamine Use Disorder
[ACM] 2026-8-22 | An AI-Enhanced MRI Morphometry Framework for Neuro-psychiatric Symptom Stratification: Application to Parkinson' s Disease
[ACM] 2026-8-22 | WPD-PyrSENet: A Wavelet Packet Decomposition-Based Pyramid Squeeze-and-Excitation Network for Automated EEG Seizure Detection
[ACM] 2026-8-22 | GNN-LS: An Information-Enhanced Method for Label Scarcity on Graphs
[ACM] 2026-8-22 | Two-stage Electrode Shift Adaptive Correction Method for Electromyographic Hand Gesture Recognition
[ACM] 2026-8-22 | DAF-Net: Dynamic Alignment and Filtering Network for Polyp Segmentation
[ACM] 2026-8-22 | Multi-model Knowledge Graph for NIPT Testing Time Optimization and Fetal Abnormality Determination
[ACM] 2026-8-22 | From Standardization to Intelligence: The Evolution of Automated Genetic Circuit Design
[ACM] 2026-8-22 | TFS-Diff-RED: Improved Tri-modal Medical Image Fusion and Super-Resolution via RDB, LCIF, and Edge-Aware Loss -- TFS-DIFF-RED: TRI-MODAL FUSION &amp; SUPER-RESOLUTION
[ACM] 2026-8-22 | Against Political Polarization: A Unified Framework for Tracing Evolving Political Ideologies on Social Media
[ACM] 2026-8-22 | How Does Gamification Affect Virtual Reality Nature Experience?
[ACM] 2026-8-22 | scGraphPilot: Functionally Guided Graph Transfer for Robust Cross-Patient Cell Type Annotation
[ACM] 2026-8-22 | Readmission Prediction Based on Temporal Gout Treatment Data
[ACM] 2026-8-22 | GBCN: 3D-Guided Brownian Bridge Diffusion for Clothed Human Reconstruction via Normal Integration
[ACM] 2026-8-22 | Efficient, Accurate and Interpretable Drug-Drug Interaction Prediction Using Group Graph-Based Models
[ACM] 2026-8-22 | SBPR-Net: Synchronous Bidirectional Pyramid Registration Network for Medical Image Registration
[ACM] 2026-8-22 | CFR-Net:Connection Filtering Refining Network for Retinal Vessel Segmentation
[ACM] 2026-8-22 | Evaluating Shrinking (Experience Report)
[ACM] 2026-8-22 | Active Health ECG Monitoring System Using CNN-BiLSTM-SE and IoT
[ACM] 2026-8-22 | Multi-Head Self-Attention Mechanism-Based Model for Predicting Lung Injury Risk in Pediatric One-Lung Ventilation
[ACM] 2026-8-22 | ConvVM-Net: A Dual-Branch Network with ConvNeXt and VMamba for Liver Tumor Segmentation
[ACM] 2026-8-22 | GL-Mamba UNet: Global-to-Local Context-Guided Vision Mamba for Medical Image Segmentation
[ACM] 2026-8-22 | Research on Classification and Prediction of Biological Data Using Supervised and Semi-Supervised Machine Learning Algorithms
[ACM] 2026-8-22 | Machine Learning Ensemble Methods for Obesity Risk Prediction
[ACM] 2026-8-22 | Proceedings of the 2026 6th International Conference on Bioinformatics and Intelligent Computing
[ACM] 2026-8-22 | Physical Prior-Guided Diffusion Model for Surgical Smoke Removal
[ACM] 2026-8-22 | Mechanism of Cucurbitacin B (CuB) Targeting BCL2 for Endometrial Carcinoma: Network Pharmacology and Molecular Dynamics Simulation
[ACM] 2026-8-22 | Semantic Prior Embedding for Language-Guided Medical Image Reconstruction Quality Enhancement
[ACM] 2026-8-22 | AI-Based Multimodal Data Fusion Analysis of Tumor Markers
[ACM] 2026-8-22 | CSM-WNet: A Multi-modal Feature Fusion Network for MRI Brain Tumor Segmentation
[ACM] 2026-8-22 | A Multi-Omics Data Analysis Method for Cancer Susceptibility Genes Based on Graph Neural Networks
[ACM] 2026-8-22 | Optimization of Testing Time and Identification of Fetal Abnormalities in Non-Invasive Prenatal Testing Based on a Generalized Additive Model
[ACM] 2026-8-22 | Evolutionary Dynamics of the UAU-SIQRS Model with Higher-Order Interactions
[ACM] 2026-8-22 | A Study on the Load Characteristics and Stability Coupling Mechanism of Knee and Ankle Joints during the Takeoff and Landing Phases of Volleyball Blocking
[ACM] 2026-8-22 | S2GNN: Adaptive Structure-Semantic Gated Fusion via Common Metapaths for Biomedical Link Prediction
[ACM] 2026-8-22 | Real-Time Prony Series Haptic Rendering for Viscoelastic Lung Modeling in Virtual Surgery
[ACM] 2026-8-22 | SMOAgent: A Hierarchical Scientific Agent for Spatial Multi-Omics Integration with Agentic Optimization
[ACM] 2026-8-22 | Construction of a Postoperative Recurrence Prediction Model for Thyroid Cancer Using Interpretable Machine Learning and Counterfactual Inference
[ACM] 2026-8-22 | A Cost-Aware Probability Monad for Liquid Haskell
[ACM] 2026-8-22 | Refining Gelfond’s Rationality Principle: Towards More Comprehensive Foundational Principles for Answer Set Semantics
[ACM] 2026-8-22 | Study on a PCA-Based Identification Method for Bioaerosols Using Fluorescence Spectroscopy
[ACM] 2026-8-22 | TCBASyn: a framework predicting synergistic drug combinations based on the Transformer and CNN-BiLSTM-Attention hybrid models
[ACM] 2026-8-22 | Structure-Aware Inexact Entropic Proximal Gradient Method for Binary Linear Systems
[ACM] 2026-8-22 | Research on a mobile real-time detection system for rice pests and diseases based on ShuffleNetV2 optimized YOLOv5
[ACM] 2026-8-22 | Cerebral Stroke Medical Image Classification System
[ACM] 2026-8-22 | A Grape Leaf Disease Detection Method Based on Improved YOLOv10n
[ACM] 2026-8-22 | A New Beginning of Rational Design in the Age of Large Language Models of Synthetic Biology
[ACM] 2026-8-22 | Ask, Then Perceive: Question-Guided Cross-Modal Perception for Audio-Visual Question Answering
[ACM] 2026-8-22 | Imaging-guided radiotherapy with precise regulation based on radiobiological molecular characteristics
[ACM] 2026-8-22 | Predicting the Adhesion Properties of Short Peptides on Different Surfaces Using Machine Learning and Umbrella Sampling
[ACM] 2026-8-22 | Multi-Center Medical Data Collaborative Analysis Framework Based on Vertical Federated Learning and Differential Privacy Protection
[ACM] 2026-8-22 | Enhancing Mirror-Image Peptide Bond Cleavage Prediction via Attention-Based Feature Fusion
[ACM] 2026-8-22 | Research on an Artificial Intelligence-Based Auscultation System for Early Screening of Congenital Heart Disease in the Lishui Region
[ACM] 2026-8-22 | ShapeLib: Designing a library of programmatic 3D shape abstractions with Large Language Models
[ACM] 2026-8-22 | Lessons from a Culturally Sustaining and Revitalizing Computer Science Research–Practice Partnership for Teachers Across Disciplines in Indigenous-Serving Schools
[ACM] 2026-8-22 | Interval Scheduling Games with Color-Based Concurrent Jobs
[ACM] 2026-8-22 | A Survey on Centrality and Importance Measures in Hypergraphs: Categorization and Empirical Insights
[ACM] 2026-8-22 | Multi-Bin Batching for Increasing LLM Inference Throughput
[ACM] 2026-8-22 | Computational Neural Decoding of Auditory Spatial Decisions Using Choice Probability and Machine Learning
[ACM] 2026-8-22 | SnakeMamba: A Lightweight CNN-Mamba Model for Interventional Device Segmentation in X-ray Fluoroscopy
[ACM] 2026-8-22 | Machine Learning-Enabled Personalized Stroke Risk Estimation with Visual Interpretation for Middle-Aged and Older Adults in China
[ACM] 2026-8-22 | A Survey on Human-AI Collaboration with Large Foundation Models
[ACM] 2026-8-22 | Proximal Policy Optimization for Latency-Aware Service Function Chain Placement in Edge-Enabled Networks
[ACM] 2026-8-22 | Bioinformatics in Viral Genome Research -- A Case Study of the Novel Coronavirus (SARS-CoV-2)
[ACM] 2026-8-22 | BCellCLIP: Cross-modal representation learning of B cell receptor repertoires and single-cell transcriptomes
[ACM] 2026-8-22 | A Simple SimNIBS-Compatible Mouse Head Model Construction Method and Its Application in TMS Simulation
[ACM] 2026-8-22 | Multi-scale Dilated Contrastive Feature Fusion Learning Based on Graph and Image Convolutions for Spatial Domain Identification in Spatial Transcriptomics (MFF)
[ACM] 2026-8-22 | YOLOv9-Based Anomaly Detection for Student Health-Related Behaviors Using Heterogeneous Campus Data
[ACM] 2026-8-22 | Deep Learning-Assisted Identification of Post-Translational Modification Regulatory Networks in Myocardial Fibrosis
[ACM] 2026-8-22 | Research on stem cell-like embryonic models based on artificial intelligence: technical approach, applications and prospects
[ACM] 2026-8-22 | HGFuzzer: Directed Greybox Fuzzing via Large Language Model
[ACM] 2026-8-22 | Objective Major Depressive Disorder Classification from Multi-site Resting-State fMRI Using a Signed Dual-Branch Graph Convolutional Network
[ACM] 2026-8-22 | Subtype-Specific Causal Brain Network Mechanisms in ADHD Using Directed Visibility Graphs
[ACM] 2026-8-22 | Evidence-Based Study on Low-Burden Digital Phenotyping for Precision Screening of Oral Anti-Obesity Drug Efficacy
[ACM] 2026-8-22 | Intelligent Computing-Based Prediction of Anatomy Course Learning Performance and Personalized Teaching
[ACM] 2026-8-22 | Edge-Enhanced Graph Attention Networks for Interpretable Molecular Toxicity Prediction
[ACM] 2026-8-22 | A Survey on Clustered Federated Learning: Taxonomy, Analysis and Applications
[ACM] 2026-8-22 | UMM: A Universal Medical Image Segmentation and Classification Model Integrating Spatial-Frequency Consistency Inpainting and Cross-Branch Feature Fusion
[ACM] 2026-8-22 | A Visual Analysis of Research Trends and a Comparative Review of Algae Removal Methods
[ACM] 2026-8-22 | Proceedings of the 19th ACM SIGPLAN International Haskell Symposium
[ACM] 2026-8-22 | Toward Explaining Large Language Models in Software Engineering Tasks
[ACM] 2026-8-22 | Pre-Exposure Prophylaxis Access Navigator: Creating a Comprehensive 'Application Cheat Sheet' for the Trillium Drug Program
[ACM] 2026-8-22 | Automatic Sleep Staging Method Based on Cardiopulmonary Features
[ACM] 2026-8-22 | Cooperation Regulation in Coupled Populations via Dynamic Aspiration and Justice Strategy
[ACM] 2026-8-22 | Visualization Analysis of Research Hotspots and Trends of TCM Constitution in Diabetic Patients Based on Clustering Algorithm
[ACM] 2026-8-22 | Compliance Challenges in International Medical Data Collaboration Projects: Focusing on US-EU-China Standard Differences
[ACM] 2026-8-22 | Research on Gallstone Prediction and Management System Based on Explainable Machine Learning and Counterfactual Inference
[ACM] 2026-8-22 | DEM Simulation of Carrier Particle Delivery and Deposition in the Respiratory Tract
[ACM] 2026-8-22 | A Data-Driven Computational Framework for Multi-Target Mechanism Discovery of the Xiakucao-Zhebeimu-Sanqi Herb Pair in Hyperthyroidism
[ACM] 2026-8-22 | MPSAM: A Cardiac Ultrasound Four-Chamber Segmentation Model Based on the Fusion of MedSAM2 and Path Aggregation Network
[ACM] 2026-8-22 | Effects of Different Treatments with Ganoderma lucidum and Rhodococcus glutinis on the Fermentation of Stems: A PCA- and Clustering-Based Multivariate Analysis
[ACM] 2026-8-22 | Protein Language Models for Synthetic Biology: Transformer Paradigms and DBTL-Oriented Engineering Workflows
[ACM] 2026-8-22 | Clinical Prediction of Digestive System Diseases using Large Language Model Instruction Tuning
[ACM] 2026-8-22 | Coercive Subtyping for Implicit Functorial Programming
[ACM] 2026-8-22 | What Needs Attention? Prioritizing Drivers of Developers’ Trust and Adoption of Generative AI
[ACM] 2026-8-22 | The Next 700 Block-Based Editors (Keynote)
[ACM] 2026-8-22 | A Cache Modeling Framework for Accelerator Systems
[ACM] 2026-8-22 | Structure-Based Optimization Strategies for Enhancing Targeting Specificity of Small-Molecule Immunomodulators
[ACM] 2026-8-22 | TransE-MDTI: A Few-Shot Transfer Learning Framework for Mutation-Sensitive Drug-Target Interaction Prediction
[ACM] 2026-8-22 | Construction of an Exploratory Diagnostic Model for Long COVID Based on Single-cell Transcriptomics and Machine Learning
[ACM] 2026-8-22 | Decoupling Spatial Appearance and Temporal Physiological Dynamics for Remote Photoplethysmography
[ACM] 2026-8-22 | ProtMS: Multi-level Structural Representation Learning for Protein Inverse Folding via Selective Space Graph Networks
[ACM] 2026-8-22 | Dynamic study of plant community adaptation to drought under nonlinear programming model
[ACM] 2026-8-22 | Automatic Epileptic Seizure Detection Using a Non-overlapping Dilated Attention-based 1D Convolutional Neural Network
[ACM] 2026-8-22 | Feature Generation and In-Context Learning for Incomplete Multimodal Survival Analysis
[ACM] 2026-8-22 | CloudMicroHaskell
[ACM] 2026-8-22 | AutoTRIBE: the integrated software for analysis of RNA edits
[ACM] 2026-8-22 | DNA Logic Gates Based on the Strategy of Assembling DNAzyme Catalytic Core
[ACM] 2026-8-22 | Unveiling the Link: A Comprehensive Bioinformatics Analysis of Shared Pathogenic Genes and Mechanisms Between Periodontitis and Depression
[ACM] 2026-8-22 | A Study on Prognostic Evaluation Methods for Severe Pediatric Pneumonia Based on Retrospective Data Analysis
[ACM] 2026-8-22 | Transformer Model-Driven Targeted Sequencing Data Mining for Pathogens in Childhood Community-Acquired Pneumonia (CAP)
[ACM] 2026-8-22 | Comorbidity Recognition Research Based on Feature Selection
[ACM] 2026-8-22 | Facing Yourself: A Proxemic Approach to Self-Dyadic Interactions in VR
[ACM] 2026-8-22 | LAMDA: Leveraging Large Language Models for Better API Misuse Detection via Multi-Agent Collaboration
[ACM] 2026-8-22 | What Have We Learned about Dependently Typed Programming from Haskell? (Keynote)
[ACM] 2026-8-22 | Design of an Early Warning Model for Severe Sepsis Based on Temporal Feature Mining
[ACM] 2026-8-22 | Unveiling the Landscape of Biobank Usage in Academic research: A Comprehensive Text Analysis
[ACM] 2026-8-22 | Optimizing the Timing of NIPT and Fetal Abnormality Assessment Based on Statistical Models
[ACM] 2026-8-22 | SGL-UNet: Pushing the Boundary of Extreme Lightweight Segmentation for Point-of-Care Biliary Atresia Screening
[ACM] 2026-8-22 | Cross-Model Collaboration for Enhancing LLM-Based Code Generation
[ACM] 2026-8-22 | From Explanations to Architecture: Explainability-Driven CNN Refinement for Brain Tumor Classification in MRI
[ACM] 2026-8-22 | Site Selection for High-Grade Glioma Clinical Drug Trials Using Multi-Criteria Decision Analysis
[ACM] 2026-8-22 | Quantifying and Filtering MDA-Introduced Chimeric Artifacts to Improve Structural Variation Detection in Single-Cell Genomics
[ACM] 2026-8-22 | Transcriptomic and Immune Infiltration Analysis Reveals the Role of SPI1/CTSS Co-activation in Defining a Myeloid Inflammatory State and Its Associated IFN-γ-related Immune Modules in Lower-Grade Glioma
[ACM] 2026-8-22 | A Genome-Wide Association Analysis of Resistant Starch and Related Traits in 383 Populations of Wheat (Triticum aestivum L.) from China and Pakistan
[ACM] 2026-8-22 | CEQ-IVA-Based Method for Artifact Suppression in Deep Sleep Stage EEG
[ACM] 2026-8-22 | Design and Application of an Intelligent Integrated Management Platform for Operating Rooms in Smart Hospitals
[ACM] 2026-8-22 | Tri-Modal Transformer Network with Clinical-Guided Multi-Scale Fusion for Alzheimer' s Disease Classification
[ACM] 2026-8-22 | Investigating the Specificity of Acupuncture on Jianshi and Zhigou: Evidence from a Resting-State fMRI Study on Functional Connectivity
[ACM] 2026-8-22 | Memory-Safe Hierarchical Planning for Hybrid-Parallel Transformer Training
[ACM] 2026-8-22 | Evaluation of Feature Selection Methods for High-Dimensional Gene Expression Data with Small Sample Sizes
[ACM] 2026-8-22 | A Study on the Impact of Continuous Nursing Intervention Based on Risk Stratification Algorithm on Self-Care Ability of Stoma Patients
[ACM] 2026-8-22 | Research of Electromyographic Signal Features during Upper Limb Movement in Post-Stroke Patients
[ACM] 2026-8-22 | ZC3HAV1 as a Novel Prognostic Biomarker and Potential Therapeutic Target for Esophageal Cancer
[ACM] 2026-8-22 | Single-Cell Transcriptomic Profiling Reveals Systemic Immune Dysregulation in Peripheral Blood Mononuclear Cells of Pancreatic Ductal Adenocarcinoma Patients
[ACM] 2026-8-22 | A Reproducible R Pipeline for Traumatic Brain Injury Burden Analytics in China Using GBD 1990-2021
[ACM] 2026-8-22 | Simulation of Neuronal Spiking Models in the Primary Auditory Cortex
[ACM] 2026-8-22 | A Matrix-Addressable Microneedle System for Controlled Drug Release
[ACM] 2026-8-22 | An Oral Microbiome Antimicrobial Peptide Resource via Large-Scale Genome Mining and Multi-Property Screening
[ACM] 2026-8-22 | Lightweight Single-Channel EEG Sleep Stage Classification Based on the Mamba Module and Bidirectional RNN
[ACM] 2026-8-22 | Exploration of Medication Regularities of Patented Chinese Medicinal Compound Prescriptions Containing Thorowax Root for Depression
[ACM] 2026-8-22 | MultiGAI: Global Attention-Based Integration of Single-Cell Multi-Omics with Batch-Effects Correction
[ACM] 2026-8-22 | A Survey on Cybersecurity Threats in Industrial and Information Technology Environments: Advancements and Resilience Through Network Steganographic Techniques
[ACM] 2026-8-22 | Research on Dynamic Regulation of T Cell Immune Signaling Pathways Based on Deep Reinforcement Learning
[ACM] 2026-8-22 | Exploring the Impact of MDA-Introduced Chimeras on Structural Variation Detection in Single-Cell Long-Read Sequencing
[ACM] 2026-8-22 | A Coarse-to-Fine SFF-Transformer 3D Registration Algorithm for Intraoperative Image Navigation in Spine Surgery
[ACM] 2026-8-22 | A CiteSpace-Based Visual Analysis on Traditional Chinese Medicine Regulating Gut Microbiota for Disease Treatment
[ACM] 2026-8-22 | Design of Intelligent Medical Laboratory Data Management System Based on IoT
[ACM] 2026-8-22 | State-Aware Dynamic Graph Learning with Mamba-Based Temporal Modeling for ASD Classification
[ACM] 2026-8-22 | A Prediction Model for Optimal Sampling Timing in Male Fetal NIPT Integrating Dual-Feature K-Means Clustering and CNN-LSTM Time Series Modeling
[ACM] 2026-8-22 | In Silico Discovery of Novel SARS-CoV-2 Mpro Inhibitors through Virtual Screening
[ACM] 2026-8-22 | Multi-scale Teacher Distillation for Ultra-lightweight Skin Lesion Segmentation in Mobile Scenarios
[ACM] 2026-8-22 | TEFNet: Texture-Edge-Frequency Guided Lightweight Network for Medical Image Classification
[ACM] 2026-8-22 | DGRNA: a long-context RNA foundation model with bidirectional attention Mamba2
[ACM] 2026-8-22 | Designing for Nature, Time and History: Novel Locative Technologies for Multilayered Heritage
[ACM] 2026-8-22 | Structure-Derived Bottleneck-Aware Scheduling for Multitasking MCM-GPUs
[ACM] 2026-8-22 | Pain-Adapter: A Parameter-Efficient Adaptation Network for Facial Video-based Pain Assessment
[ACM] 2026-8-22 | Research on AI-based Clinical Decision Support System for TCM Diagnosis and Treatment of Diabetic Kidney Disease (DKD)
共写入 184 条记录，保存到 papers/paper2026-08-22.json。
论文获取成功，文件路径: papers/paper2026-08-22.json
正在筛选、翻译并发送邮件...
[NO] 1/184 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[NO] 2/184 | A SERF-OPM Magnetocardiography Feature-Based Model for Early Post-PCI Recovery Assessment in Unstable Angina -- From high-dimensional MCG features to an interpretable continuous recovery score
[NO] 3/184 | Toll-like Receptor and Gut Microbiome Interactions: A CiteSpace and VOSviewer-based Bibliometric Analysis (2005-2024)
[NO] 4/184 | CAM-Guided Radiology Report Generation
[NO] 5/184 | Research on Adaptive Motion Control of Snake-Inspired Soft Actuation in Upper Limb Rehabilitation Exoskeletons
[NO] 6/184 | Constructive characterisations of the
                    <scp>must</scp>
                    -preorder for asynchrony
[NO] 7/184 | Decentralised and Dynamic Reputation Management Model For Smart Mobility Using A Smart Contract
[NO] 8/184 | Medical Large Language Model Based on Dynamic Retrieval-Augmented Generation Strategy
[NO] 9/184 | PDDock: High-Accuracy Blind Protein-Ligand Docking via Dynamic Pocket Prediction and Adaptive Coordinate Refinement
[NO] 10/184 | Design of Smart Infusion Assistance System Based on STM32
[NO] 11/184 | Prediction of protein structure based on CNN-BiLstm
[NO] 12/184 | Evaluation System of Home Pulmonary Rehabilitation Effectiveness for Patients with COPD Based on Wearable Inertial Sensors and Remote Monitoring Platform
[NO] 13/184 | MFDA-Net: A Multi-scale Frequency-aware Denoising Attention Network for EEG Signal Denoising
[NO] 14/184 | Interpretable Multi-horizon Risk Stratification for Alzheimer' s Disease: A Clinical Feature-Based Approach Without Neuroimaging
[NO] 15/184 | Two-Sample Mendelian Randomization Study on Anxiety Disorders and Angina Pectoris Based on Computational Biology Methods
[NO] 16/184 | ICER: A Universal Clinical Dual-Loop Agent for Adaptive Evidence Refinement in Long-Context EHRs
[NO] 17/184 | Chinese Painting Semantic Resource for Resolution-Aware Digitisation and Structured Heritage Access
[NO] 18/184 | Simulation modeling and Experimental Validation of Cranial Electric Fields Based on Temporal Interference Stimulation
[NO] 19/184 | Turning Parser Errors into Suggestions for REPL-Driven DSLs (Functional Pearl)
[NO] 20/184 | How Does Motion-to-Photon Latency Influence the Perception-Action Loop
[NO] 21/184 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[NO] 22/184 | Digital Twin-Driven OCT Probe Guidance via Group-Relative Soft Actor-Critic
[NO] 23/184 | LHMM-Net: A Lightweight Hybrid Multi-scale Mamba Network with 2.5D Representation for Early Alzheimer' s Disease Diagnosis
[NO] 24/184 | MsOrgDet: A Multi-scale Progressive Fusion Network for Organoid Object Detection
[NO] 25/184 | Spatiotemporal Feature Learning via Transformer and LSTM for Affective Computing Using fNIRS
[NO] 26/184 | Comparative Genomic Analysis of Human- and Swine-Origin Staphylococcus aureus ST398: Revealing Host Adaptation Characteristics and Cross-Species Transmission Patterns
[NO] 27/184 | Source-Space Phase-Amplitude Coupling During Drug Cue Induction in Abstinent Patients with Methamphetamine Use Disorder
[NO] 28/184 | An AI-Enhanced MRI Morphometry Framework for Neuro-psychiatric Symptom Stratification: Application to Parkinson' s Disease
[NO] 29/184 | WPD-PyrSENet: A Wavelet Packet Decomposition-Based Pyramid Squeeze-and-Excitation Network for Automated EEG Seizure Detection
[NO] 30/184 | GNN-LS: An Information-Enhanced Method for Label Scarcity on Graphs
[NO] 31/184 | Two-stage Electrode Shift Adaptive Correction Method for Electromyographic Hand Gesture Recognition
[NO] 32/184 | DAF-Net: Dynamic Alignment and Filtering Network for Polyp Segmentation
[NO] 33/184 | Multi-model Knowledge Graph for NIPT Testing Time Optimization and Fetal Abnormality Determination
[NO] 34/184 | From Standardization to Intelligence: The Evolution of Automated Genetic Circuit Design
[NO] 35/184 | TFS-Diff-RED: Improved Tri-modal Medical Image Fusion and Super-Resolution via RDB, LCIF, and Edge-Aware Loss -- TFS-DIFF-RED: TRI-MODAL FUSION &amp; SUPER-RESOLUTION
[NO] 36/184 | Against Political Polarization: A Unified Framework for Tracing Evolving Political Ideologies on Social Media
[NO] 37/184 | How Does Gamification Affect Virtual Reality Nature Experience?
[NO] 38/184 | scGraphPilot: Functionally Guided Graph Transfer for Robust Cross-Patient Cell Type Annotation
[NO] 39/184 | Readmission Prediction Based on Temporal Gout Treatment Data
[NO] 40/184 | GBCN: 3D-Guided Brownian Bridge Diffusion for Clothed Human Reconstruction via Normal Integration
[NO] 41/184 | Efficient, Accurate and Interpretable Drug-Drug Interaction Prediction Using Group Graph-Based Models
[NO] 42/184 | SBPR-Net: Synchronous Bidirectional Pyramid Registration Network for Medical Image Registration
[NO] 43/184 | CFR-Net:Connection Filtering Refining Network for Retinal Vessel Segmentation
[NO] 44/184 | Evaluating Shrinking (Experience Report)
[NO] 45/184 | Active Health ECG Monitoring System Using CNN-BiLSTM-SE and IoT
[NO] 46/184 | Multi-Head Self-Attention Mechanism-Based Model for Predicting Lung Injury Risk in Pediatric One-Lung Ventilation
[NO] 47/184 | ConvVM-Net: A Dual-Branch Network with ConvNeXt and VMamba for Liver Tumor Segmentation
[NO] 48/184 | GL-Mamba UNet: Global-to-Local Context-Guided Vision Mamba for Medical Image Segmentation
[NO] 49/184 | Research on Classification and Prediction of Biological Data Using Supervised and Semi-Supervised Machine Learning Algorithms
[NO] 50/184 | Machine Learning Ensemble Methods for Obesity Risk Prediction
[NO] 51/184 | Proceedings of the 2026 6th International Conference on Bioinformatics and Intelligent Computing
[NO] 52/184 | Physical Prior-Guided Diffusion Model for Surgical Smoke Removal
[NO] 53/184 | Mechanism of Cucurbitacin B (CuB) Targeting BCL2 for Endometrial Carcinoma: Network Pharmacology and Molecular Dynamics Simulation
[NO] 54/184 | Semantic Prior Embedding for Language-Guided Medical Image Reconstruction Quality Enhancement
[NO] 55/184 | AI-Based Multimodal Data Fusion Analysis of Tumor Markers
[NO] 56/184 | CSM-WNet: A Multi-modal Feature Fusion Network for MRI Brain Tumor Segmentation
[NO] 57/184 | A Multi-Omics Data Analysis Method for Cancer Susceptibility Genes Based on Graph Neural Networks
[NO] 58/184 | Optimization of Testing Time and Identification of Fetal Abnormalities in Non-Invasive Prenatal Testing Based on a Generalized Additive Model
[NO] 59/184 | Evolutionary Dynamics of the UAU-SIQRS Model with Higher-Order Interactions
[NO] 60/184 | A Study on the Load Characteristics and Stability Coupling Mechanism of Knee and Ankle Joints during the Takeoff and Landing Phases of Volleyball Blocking
[NO] 61/184 | S2GNN: Adaptive Structure-Semantic Gated Fusion via Common Metapaths for Biomedical Link Prediction
[NO] 62/184 | Real-Time Prony Series Haptic Rendering for Viscoelastic Lung Modeling in Virtual Surgery
[NO] 63/184 | SMOAgent: A Hierarchical Scientific Agent for Spatial Multi-Omics Integration with Agentic Optimization
