[2026-01-16 09:15:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-15
正在获取论文...
[arXiv] 2026-01-15 | Are Language Models Models?
[arXiv] 2026-01-15 | Complex scalar relativistic field as a probability amplitude
[arXiv] 2026-01-15 | On refinements of two-term Machin-like formulas
[arXiv] 2026-01-15 | Global minimizers for a two-sided biharmonic Alt-Caffarelli problem
[arXiv] 2026-01-15 | Two dimensional covering systems and possible prime producing $a^m-b^n$
[arXiv] 2026-01-15 | Design, Fabrication and Testing of a D-Shaped High Temperature Superconducting Magnet
[arXiv] 2026-01-15 | Updated electrical design of the Diagnostic Neutral Beam Injector in RFX-mod2
[arXiv] 2026-01-15 | Atelier à la conférence IHM 2025 : RA Permanente
[arXiv] 2026-01-15 | High-Contrast Transmission Resonances for the Lamé System
[arXiv] 2026-01-15 | Cycle dependence of helioseismic oscillations above the acoustic cut-off frequency
[arXiv] 2026-01-15 | Optimisation of the lowest Robin eigenvalue in exterior domains of the hyperbolic plane
[arXiv] 2026-01-15 | Selecting and Testing Asset Pricing Models: A Stepwise Approach
[arXiv] 2026-01-15 | Queueing-Aware Optimization of Reasoning Tokens for Accuracy-Latency Trade-offs in LLM Servers
[arXiv] 2026-01-15 | Nonadiabatic couplings drive ultrafast, mode-selective intramolecular vibrational energy redistribution in flavins
[arXiv] 2026-01-15 | Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders
[arXiv] 2026-01-15 | Transmission Mask Analysis for Range-Doppler Sensing in Half-Duplex ISAC
[arXiv] 2026-01-15 | Evolving with AI: A Longitudinal Analysis of Developer Logs
[arXiv] 2026-01-15 | TRIM: Hybrid Inference via Targeted Stepwise Routing in Multi-Step Reasoning Tasks
[arXiv] 2026-01-15 | Gravitational lensing beyond the eikonal approximation
[arXiv] 2026-01-15 | Ramsey number of a cycle versus a graph of a given size
[arXiv] 2026-01-15 | Fundamental Limitations of Favorable Privacy-Utility Guarantees for DP-SGD
[arXiv] 2026-01-15 | A flower theorem in $\mathbb{C}^n$
[arXiv] 2026-01-15 | Inconsistency of Reinhardt cardinals with $\mathsf{ZF}$
[arXiv] 2026-01-15 | Volume penalization method for simulating flows around a rotating solid with multiple reference frame and sliding mesh
[arXiv] 2026-01-15 | A Unified Dynamical Field Theory of Learning, Inference, and Emergence
[arXiv] 2026-01-15 | Agentic Pipelines in Embedded Software Engineering: Emerging Practices and Challenges
[arXiv] 2026-01-15 | Biharmonic and Interpolating Sesqui-Harmonic Vector Fields with Respect to the varphi-Sasakian Metric
[arXiv] 2026-01-15 | Topo-RAG: Topology-aware retrieval for hybrid text-table documents
[arXiv] 2026-01-15 | PADER: Paillier-based Secure Decentralized Social Recommendation
[arXiv] 2026-01-15 | Terrain-Adaptive Mobile 3D Printing with Hierarchical Control
[arXiv] 2026-01-15 | Outlier eigenvalues and eigenvectors of generalized Wigner matrices with finite-rank perturbations
[arXiv] 2026-01-15 | ELITE: Efficient Gaussian Head Avatar from a Monocular Video via Learned Initialization and TEst-time Generative Adaptation
[arXiv] 2026-01-15 | HUMANLLM: Benchmarking and Reinforcing LLM Anthropomorphism via Human Cognitive Patterns
[arXiv] 2026-01-15 | Physically Unclonable Functions Based on Single-Walled Carbon Nanotubes: A Scalable and Inexpensive Method toward Unique Identifiers
[arXiv] 2026-01-15 | From Physical Degradation Models to Task-Aware All-in-One Image Restoration
[arXiv] 2026-01-15 | How does downsampling affect needle electromyography signals? A generalisable workflow for understanding downsampling effects on high-frequency time series
[arXiv] 2026-01-15 | Service Provisioning and Path Planning with Obstacle Avoidance for Low-Altitude Wireless Networks
[arXiv] 2026-01-15 | Observation Timelines for the Potential Lunar Impact of Asteroid 2024 YR4
[arXiv] 2026-01-15 | Optimal universal bounds for waves with varied coherence based on supremum and infimum coherence spectra
[arXiv] 2026-01-15 | Sporadic Creutzfeldt Jakob disease presenting with cerebral atrophy following traumatic brain injury mimicking hydrocephalus a case report and literature review
[arXiv] 2026-01-15 | Boundary treatment algorithms for meshfree RANS turbulence modeling
[arXiv] 2026-01-15 | Uniform stability of the inverse Sturm-Liouville problem on a star-shaped graph
[arXiv] 2026-01-15 | One-Shot Broadcast Joint Source-Channel Coding with Codebook Diversity
[arXiv] 2026-01-15 | Michael-Simon inequality for anisotropic energies close to the area via multilinear Kakeya-type bounds
[arXiv] 2026-01-15 | Emergent electric field induced by dissipative sliding dynamics of domain walls in a Weyl magnet
[arXiv] 2026-01-15 | Parametric RDT approach to computational gap of symmetric binary perceptron
[arXiv] 2026-01-15 | Dynamics of Late time cosmology in $f(Q,L_{m})$ Gravity with Constraints from DESI DR2 BAO Data
[arXiv] 2026-01-15 | Source localisation in simple random walks
[arXiv] 2026-01-15 | Massless-Massive Amplitude Correspondence I: Helicity-chirality Matching and On-shell Higgsing
[arXiv] 2026-01-15 | A Bayesian Discrete Framework for Enhancing Decision-Making Processes in Clinical Trial Designs and Evaluations
[arXiv] 2026-01-15 | The directedness of the Rudin-Keisler order at measurable cardinals
[arXiv] 2026-01-15 | On the Physical Origins of the Millimeter Fundamental Plane in Active Galactic Nuclei
[arXiv] 2026-01-15 | Local times and excursions for self-similar Markov trees
[arXiv] 2026-01-15 | Multi-Objective Pareto-Front Optimization for Efficient Adaptive VVC Streaming
[arXiv] 2026-01-15 | Schur--Horn type inequalities for hyperbolic polynomials
[arXiv] 2026-01-15 | Action100M: A Large-scale Video Action Dataset
[arXiv] 2026-01-15 | Be Your Own Red Teamer: Safety Alignment via Self-Play and Reflective Experience Replay
[arXiv] 2026-01-15 | Mitigating GIL Bottlenecks in Edge AI Systems
[arXiv] 2026-01-15 | HST Observations of HD 166620 and Tau Ceti: First UV Spectra of a Magnetic Grand Minimum Star and the Extent of Tau Ceti's Astrosphere
[arXiv] 2026-01-15 | Jordan-Segmentable Masks: A Topology-Aware definition for characterizing Binary Image Segmentation
[arXiv] 2026-01-15 | Hydrodynamic Limit with a Weierstrass-type result
[arXiv] 2026-01-15 | Generative AI collective behavior needs an interactionist paradigm
[arXiv] 2026-01-15 | Rapid post-merger signal of circularly polarized gravitational wave from magnetic black hole superradiance: novel approach to detect magnetic monopole
[arXiv] 2026-01-15 | Enhancing the quality of gauge images captured in smoke and haze scenes through deep learning
[arXiv] 2026-01-15 | SVII-3D: Advancing Roadside Infrastructure Inventory with Decimeter-level 3D Localization and Comprehension from Sparse Street Imagery
[arXiv] 2026-01-15 | Coarsening Causal DAG Models
[arXiv] 2026-01-15 | Learning from Brain Topography: A Hierarchical Local-Global Graph-Transformer Network for EEG Emotion Recognition
[arXiv] 2026-01-15 | BikeActions: An Open Platform and Benchmark for Cyclist-Centric VRU Action Recognition
[arXiv] 2026-01-15 | From rough to multifractal multidimensional volatility: A multidimensional Log S-fBM model
[arXiv] 2026-01-15 | sponchpop II: Population Synthesis to Investigate Volatile Sulfur as a Fingerprint of Gas Giant Formation Histories
[arXiv] 2026-01-15 | Growth and Morphology of InN Nanowires on Si<111> and Si<100> at Back-End-Of-Line Compatible Temperatures
[arXiv] 2026-01-15 | Effects of Integrated Heatsinking on Superconductivity in Tantalum Nitride Nanowires at the 300 Millimeter Scale
[arXiv] 2026-01-15 | Quantum Theory and Unusual Dielectric Functions of Graphene
[arXiv] 2026-01-15 | On Generalized Strong and Norm Resolvent Convergence
[arXiv] 2026-01-15 | Positive Damping Region: A Graphic Tool for Passivization Analysis with Passivity Index
[arXiv] 2026-01-15 | On the projective dimension of some deformations of Weyl arrangements
[arXiv] 2026-01-15 | MitoFREQ: A Novel Approach for Mitogenome Frequency Estimation from Top-level Haplogroups and Single Nucleotide Variants
[arXiv] 2026-01-15 | Stable Differentiable Modal Synthesis for Learning Nonlinear Dynamics
[arXiv] 2026-01-15 | TOI-3862 b: A dense super-Neptune deep in the hot Neptune desert
[arXiv] 2026-01-15 | Lunar-G2R: Geometry-to-Reflectance Learning for High-Fidelity Lunar BRDF Estimation
[arXiv] 2026-01-15 | Linear identities for partition pairs with $4$-cores
[arXiv] 2026-01-15 | Analyzing intermittent stochastic gravitational wave background I:Effect of detector response
[arXiv] 2026-01-15 | Algebraic functional equation for big Galois representations over multiple $\mathbb{Z}_p$-extensions
[arXiv] 2026-01-15 | Positivity of Schur forms for Griffiths positive vector bundles of rank three over complex threefolds
[arXiv] 2026-01-15 | CtD: Composition through Decomposition in Emergent Communication
[arXiv] 2026-01-15 | Credit C-GPT: A Domain-Specialized Large Language Model for Conversational Understanding in Vietnamese Debt Collection
[arXiv] 2026-01-15 | Computing Statistical Properties of Velocity Fields on Current Quantum Hardware
[arXiv] 2026-01-15 | Alignment Pretraining: AI Discourse Causes Self-Fulfilling (Mis)alignment
[arXiv] 2026-01-15 | Electric field effects in one-dimensional spin-1/2 $K_1J_1Γ_1Γ_1^\prime K_2J_2$ model with ferromagnetic Kitaev coupling
[arXiv] 2026-01-15 | MMPG: MoE-based Adaptive Multi-Perspective Graph Fusion for Protein Representation Learning
[arXiv] 2026-01-15 | LOOKAT: Lookup-Optimized Key-Attention for Memory-Efficient Transformers
[arXiv] 2026-01-15 | Bridging Superconducting and Neutral-Atom Platforms for Efficient Fault-Tolerant Quantum Architectures
[arXiv] 2026-01-15 | Effect of hole pitch reduction on electron transport and diffusion: A comparative simulation study of Triple GEM detectors
[arXiv] 2026-01-15 | LaViT: Aligning Latent Visual Thoughts for Multi-modal Reasoning
[arXiv] 2026-01-15 | A Generalizable Framework for Building Executable Domain-Specific LLMs under Data Scarcity: Demonstration on Semiconductor TCAD Simulation
[arXiv] 2026-01-15 | Bulk viscosity of quark matter across the QCD phase transitions
[arXiv] 2026-01-15 | Calabi affine maximal surfaces and centroaffine Bernstein problems
[arXiv] 2026-01-15 | Deriving Character Logic from Storyline as Codified Decision Trees
[arXiv] 2026-01-15 | P-norm based Fractional-Order Robust Subband Adaptive Filtering Algorithm for Impulsive Noise and Noisy Input
[arXiv] 2026-01-15 | Optimal qudit overlapping tomography and optimal measurement order
[arXiv] 2026-01-15 | An Efficient Constant-Coefficient MSAV Scheme for Computing Vesicle Growth and Shrinkage
[arXiv] 2026-01-15 | Anomalous transport in quasiperiodic lattices: emergent exceptional points at band edges and log-periodic oscillations
[arXiv] 2026-01-15 | Emergency Department Patient Flow Optimization with an Alternative Care Threshold Policy
[arXiv] 2026-01-15 | What Understanding Means in AI-Laden Astronomy
[arXiv] 2026-01-15 | EmplifAI: a Fine-grained Dataset for Japanese Empathetic Medical Dialogues in 28 Emotion Labels
[arXiv] 2026-01-15 | Structured Personality Control and Adaptation for LLM Agents
[arXiv] 2026-01-15 | Time Aggregation Features for XGBoost Models
[arXiv] 2026-01-15 | Continuous-Depth Transformers with Learned Control Dynamics
[arXiv] 2026-01-15 | SocraticKG: Knowledge Graph Construction via QA-Driven Fact Extraction
[arXiv] 2026-01-15 | Hybrid Quantum Algorithms for Computational Chemistry: Application to the Pyridine-Li ion Complex
[arXiv] 2026-01-15 | EditEmoTalk: Controllable Speech-Driven 3D Facial Animation with Continuous Expression Editing
[arXiv] 2026-01-15 | Corrected Forecast Combinations
[arXiv] 2026-01-15 | Brief but Impactful: How Human Tutoring Interactions Shape Engagement in Online Learning
[arXiv] 2026-01-15 | Polynomially effective equidistribution for unipotent orbits in products of $\mathrm{SL}_2$ factors
[arXiv] 2026-01-15 | Performance of AI agents based on reasoning language models on ALD process optimization tasks
[arXiv] 2026-01-15 | Chinese Labor Law Large Language Model Benchmark
[arXiv] 2026-01-15 | Topological textures and emergent altermagnetic signatures in ultrathin BiFeO3
[arXiv] 2026-01-15 | Interfacing Superconductor and Semiconductor Digital Electronics
[arXiv] 2026-01-15 | Derivations for the Cumulative Standardized Binomial EWMA (CSB-EWMA) Control Chart
[arXiv] 2026-01-15 | A Sustainable AI Economy Needs Data Deals That Work for Generators
[arXiv] 2026-01-15 | Probabilistic heterogeneous Stirling numbers and Bell polynomials
[arXiv] 2026-01-15 | Near-Unity-Efficiency Gas Gratings for Ultraviolet, Visible, and Infrared High-Power Lasers
[arXiv] 2026-01-15 | Stochastic systems with Bose-Hubbard interactions: Effects of bias on particles on a random comb
[arXiv] 2026-01-15 | Private Information Retrieval for Graph-based Replication with Minimal Subpacketization
[arXiv] 2026-01-15 | Parallelizing the Variational Quantum Eigensolver: From JIT Compilation to Multi-GPU Scaling
[arXiv] 2026-01-15 | Quantitative Supercritical Bounds for Disconnection in Bernoulli Site Percolation
[arXiv] 2026-01-15 | Interpolation-Based Optimization for Enforcing lp-Norm Metric Differential Privacy in Continuous and Fine-Grained Domains
[arXiv] 2026-01-15 | Modeling conflicting incentives in engineering senior capstone projects: A multi-player game theory approach
[arXiv] 2026-01-15 | Unbounded symbols, heat flow, and Toeplitz operators
[arXiv] 2026-01-15 | Finite-momentum Cooper plasmons in superconducting terahertz microcavities
[arXiv] 2026-01-15 | Mitigating nonlinear transduction noise in high-cooperativity cavity optomechanics
[arXiv] 2026-01-15 | An Extension-Based Accessibility Framework for Making Blockly Accessible to Blind and Low-Vision Users
[arXiv] 2026-01-15 | Energy Correlators in Warped Geometries
[arXiv] 2026-01-15 | Single-Stage Huffman Encoder for ML Compression
[arXiv] 2026-01-15 | Real characters and real classes of $\mathrm{GL}_2$ and $\mathrm{GU}_2$ over discrete valuation rings
[arXiv] 2026-01-15 | Discrete-time maximally superintegrable systems and deformed symmetry algebras: the Calogero-Moser case
[arXiv] 2026-01-15 | Quantum Monte Carlo study of systems interacting via long-range interactions mediated by a cavity
[arXiv] 2026-01-15 | CoCoPlan: Adaptive Coordination and Communication for Multi-robot Systems in Dynamic and Unknown Environments
[arXiv] 2026-01-15 | Remarks on the convex integration technique applied to singular stochastic partial differential equations
[arXiv] 2026-01-15 | Structure and Diversity Aware Context Bubble Construction for Enterprise Retrieval Augmented Systems
[arXiv] 2026-01-15 | The Static Heavy Quark-Antiquark Potential within String Theory in Arbitrary Stationary Backgrounds
[arXiv] 2026-01-15 | Stable evaluation of derivatives for barycentric and continued fraction representations of rational functions
[arXiv] 2026-01-15 | Hyperkähler Degenerations from Parabolic $\mathrm{SL}(2,\mathbb{C})$-Higgs Bundles Moduli Spaces on the Punctured Sphere to Hyperpolygon Spaces
[arXiv] 2026-01-15 | Symmetries of Borcherds algebras
[arXiv] 2026-01-15 | Converse Bounds for Sun-Jafar-type Weak Private Information Retrieval
[arXiv] 2026-01-15 | Adjusted Similarity Measures and a Violation of Expectations
[arXiv] 2026-01-15 | CoMoVi: Co-Generation of 3D Human Motions and Realistic Videos
[arXiv] 2026-01-15 | Circumplanetary Disk Candidate in the Disk of HD 163296 Traced by Localized Emission from Simple Organics
[arXiv] 2026-01-15 | Fair Regression under Demographic Parity: A Unified Framework
[arXiv] 2026-01-15 | Molmo2: Open Weights and Data for Vision-Language Models with Video Understanding and Grounding
[arXiv] 2026-01-15 | iTIMO: An LLM-empowered Synthesis Dataset for Travel Itinerary Modification
[arXiv] 2026-01-15 | A user subscription model in mobile radio access networks with network slicing
[arXiv] 2026-01-15 | Unifying soft and hard dynamics: The hard current algebra in celestial holography
[arXiv] 2026-01-15 | Procedural Fairness in Multi-Agent Bandits
[arXiv] 2026-01-15 | Quantum solver for single-impurity Anderson models with particle-hole symmetry
[arXiv] 2026-01-15 | ProbFM: Probabilistic Time Series Foundation Model with Uncertainty Decomposition
[arXiv] 2026-01-15 | Form and Meaning in Intrinsic Multilingual Evaluations
[arXiv] 2026-01-15 | Superfluid Density, Penetration Depth, Condensate Density
[arXiv] 2026-01-15 | Origins of the UV continuum and Balmer emission lines in Little Red Dots: observational validation of dense gas envelope models enshrouding the AGN
[arXiv] 2026-01-15 | Deterministic and scalable generation of large Fock states
[arXiv] 2026-01-15 | Enhancing Mobile Ad Hoc Networks (MANETs) with Software-Defined Networking (SDN): A Balanced Approach
[arXiv] 2026-01-15 | Inference-time Physics Alignment of Video Generative Models with Latent World Models
[arXiv] 2026-01-15 | Unleashing the Capabilities of Large Vision-Language Models for Intelligent Perception of Roadside Infrastructure
[arXiv] 2026-01-15 | Flat-band Ferromagnetism of SU$(N)$ Hubbard Model on the Kagome Lattices
[arXiv] 2026-01-15 | A Propagation Framework for Network Regression
[arXiv] 2026-01-15 | PERM: Psychology-grounded Empathetic Reward Modeling for Large Language Models
[arXiv] 2026-01-15 | On the suboptimality of linear codes for binary distributed hypothesis testing
[arXiv] 2026-01-15 | Discovery of the First Five Carbon-Enhanced Metal-Poor Stars in the LMC
[arXiv] 2026-01-15 | Scalable Algorithms for Approximate DNF Model Counting
[arXiv] 2026-01-15 | A New Construction Structure on Multi-access Coded Caching with Linear Subpacketization: Cyclic Multi-Access Non-Half-Sum Disjoint Packing
[arXiv] 2026-01-15 | The incompatibility of the Condorcet winner and loser criteria with positive involvement and resolvability
[arXiv] 2026-01-15 | The emergence of our Universe
[arXiv] 2026-01-15 | mergetune: Continued fine-tuning of vision-language models
[arXiv] 2026-01-15 | Communication-Efficient Federated Learning by Exploiting Spatio-Temporal Correlations of Gradients
[arXiv] 2026-01-15 | Finite lattice kinetic equations for bosons, fermions, and discrete NLS
[arXiv] 2026-01-15 | Panning for Gold: Expanding Domain-Specific Knowledge Graphs with General Knowledge
[arXiv] 2026-01-15 | A Riemannian Autocorrelation Function and its Application to Non-Local Isoperimetric Energies
[arXiv] 2026-01-15 | Contextual StereoSet: Stress-Testing Bias Alignment Robustness in Large Language Models
[arXiv] 2026-01-15 | The Wiener Wintner and Return Times Theorem Along the Primes
[arXiv] 2026-01-15 | LangLasso: Interactive Cluster Descriptions through LLM Explanation
[arXiv] 2026-01-15 | Energy-Efficient Probabilistic Semantic Communication Over Visible Light Networks With Rate Splitting
[arXiv] 2026-01-15 | Islands of shape coexistence for Z=38-84 in a non-relativistic mean-field approach using Hartree-Fock-Bogoliubov theory
[arXiv] 2026-01-15 | Chasing Opportunity: Spillovers and Drivers of U.S. State Population Growth
[arXiv] 2026-01-15 | Development of Ontological Knowledge Bases by Leveraging Large Language Models
[arXiv] 2026-01-15 | Aletheia-Probe: A Tool for Automated Journal Assessment
[arXiv] 2026-01-15 | Active interrogation of underground piezoelectric fabrics using high energy muon beams propagating across seismogenic faults
[arXiv] 2026-01-15 | Reduction of thermodynamic uncertainty by a virtual qubit
[arXiv] 2026-01-15 | Unifying Quantum and Classical Dynamics
[arXiv] 2026-01-15 | On 3-Connected Planar Graphs with Unique Orientable Circuit Double Covers
[arXiv] 2026-01-15 | DecisionLLM: Large Language Models for Long Sequence Decision Exploration
[arXiv] 2026-01-15 | Actors, Frames and Arguments: A Multi-Decade Computational Analysis of Climate Discourse in Financial News using Large Language Models
[arXiv] 2026-01-15 | M^4olGen: Multi-Agent, Multi-Stage Molecular Generation under Precise Multi-Property Constraints
[arXiv] 2026-01-15 | Fairness Driven Multi-Agent Path Finding Problem
[arXiv] 2026-01-15 | Beyond Single Prompts: Synergistic Fusion and Arrangement for VICL
[arXiv] 2026-01-15 | Repository Intelligence Graph: Deterministic Architectural Map for LLM Code Assistants
[arXiv] 2026-01-15 | MathDoc: Benchmarking Structured Extraction and Active Refusal on Noisy Mathematics Exam Papers
[arXiv] 2026-01-15 | FlowAct-R1: Towards Interactive Humanoid Video Generation
[arXiv] 2026-01-15 | InfoSculpt: Sculpting the Latent Space for Generalized Category Discovery
[arXiv] 2026-01-15 | On the Computation and Approximation of Backward Reachable Sets for Max-Plus Linear Systems using Polyhedras
[arXiv] 2026-01-15 | State of AI: An Empirical 100 Trillion Token Study with OpenRouter
[arXiv] 2026-01-15 | Pseudomode approach to Fano effect in dissipative cavity quantum electrodynamics
[arXiv] 2026-01-15 | Line-search and Adaptive Step Sizes for Nonconvex-strongly-concave Minimax Optimization
[arXiv] 2026-01-15 | CALM-IT: Generating Realistic Long-Form Motivational Interviewing Dialogues with Dual-Actor Conversational Dynamics Tracking
[arXiv] 2026-01-15 | Sparse-RL: Breaking the Memory Wall in LLM Reinforcement Learning via Stable Sparse Rollouts
[arXiv] 2026-01-15 | A $p$-adic interpolation of the Cogdell lift
[arXiv] 2026-01-15 | Transport equation theory in the Triebel-Lizorkin spaces and its applications to the ideal fluid flows
[arXiv] 2026-01-15 | Comparative Evaluation of Deep Learning-Based and WHO-Informed Approaches for Sperm Morphology Assessment
[arXiv] 2026-01-15 | Interference-governed electromagnetic-thermal coupling and heat transport in pulse EUV-irradiated multilayer nanofilms
[arXiv] 2026-01-15 | Dirac mass matrix textures and the lightest right-handed neutrino mass scale in Type I seesaw leptogenesis
[arXiv] 2026-01-15 | Microwave Linear Analog Computer (MiLAC)-aided Multiuser MISO: Fundamental Limits and Beamforming Design
[arXiv] 2026-01-15 | Comparative study of equilibrium and non-equilibrium predictions by different models for a hypersonic cone at high-altitude
[arXiv] 2026-01-15 | Multi-Sender Disclosure with Costs
[arXiv] 2026-01-15 | Privacy Enhanced PEFT: Tensor Train Decomposition Improves Privacy Utility Tradeoffs under DP-SGD
[arXiv] 2026-01-15 | Event-Driven Deep RL Dispatcher for Post-Storm Distribution System Restoration
[arXiv] 2026-01-15 | Towards Minimal Fault-tolerant Error-Correction Sequence with Quantum Hamming Codes
[arXiv] 2026-01-15 | Effects of parallel magnetic fields on sheaths near biased electrodes in a highly collisional Z-pinch plasma
[arXiv] 2026-01-15 | FilDeep: Learning Large Deformations of Elastic-Plastic Solids with Multi-Fidelity Data
[arXiv] 2026-01-15 | BPE: Behavioral Profiling Ensemble
[arXiv] 2026-01-15 | Hybrid superinductance with Al/InAs
[arXiv] 2026-01-15 | Rotational Memory Function of SPC/E water
[arXiv] 2026-01-15 | CAFEDistill: Learning Personalized and Dynamic Models through Federated Early-Exit Network Distillation
[arXiv] 2026-01-15 | Möbius-Type Structures in Non-Orientable Singular Semi-Riemannian Manifolds
[arXiv] 2026-01-15 | The Knowable Future: Mapping the Decay of Past-Future Mutual Information Across Forecast Horizons
[arXiv] 2026-01-15 | Average pairing correlation properties and effective pairing residual interactions
[arXiv] 2026-01-15 | Holographic entropy inequalities pass the majorization test
[arXiv] 2026-01-15 | Statistical-noise-enhanced multi-photon interference
[arXiv] 2026-01-15 | A Control Theoretic Approach to Decentralized AI Economy Stabilization via Dynamic Buyback-and-Burn Mechanisms
[arXiv] 2026-01-15 | On the Leaky Private Information Retrieval with Side Information
[arXiv] 2026-01-15 | Planar Site Percolation, End Structure, and the Benjamini-Schramm Conjecture
[arXiv] 2026-01-15 | Directed strongly regular graphs and divisible design graphs from Tatra association schemes
[arXiv] 2026-01-15 | OT-Drive: Out-of-Distribution Off-Road Traversable Area Segmentation via Optimal Transport
[arXiv] 2026-01-15 | Ultra-low magnetization and hysteresis loss in APC Nb3Sn superconductors
[arXiv] 2026-01-15 | Placement Delivery Array for Cache-Aided MIMO Systems
[arXiv] 2026-01-15 | ErrEval: Error-Aware Evaluation for Question Generation through Explicit Diagnostics
[arXiv] 2026-01-15 | Reshaping Neural Representation via Associative, Presynaptic Short-Term Plasticity
[arXiv] 2026-01-15 | Multi-Temporal Frames Projection for Dynamic Processes Fusion in Fluorescence Microscopy
[arXiv] 2026-01-15 | Regularization of linear inverse problems by rational Krylov methods
[arXiv] 2026-01-15 | Phase Space structure on Clifford Algebras
[arXiv] 2026-01-15 | Gene genealogies in diploid populations evolving according to sweepstakes reproduction
[arXiv] 2026-01-15 | Testing the correlation between bending angle and polarization properties of bent radio galaxies
[arXiv] 2026-01-15 | Enhanced multi-parameter metrology in dissipative Rydberg atom time crystals
[arXiv] 2026-01-15 | C-GRASP: Clinically-Grounded Reasoning for Affective Signal Processing
[arXiv] 2026-01-15 | Meta Dynamic Graph for Traffic Flow Prediction
[arXiv] 2026-01-15 | ROMA: Real-time Omni-Multimodal Assistant with Interactive Streaming Understanding
[arXiv] 2026-01-15 | An Efficient Long-Context Ranking Architecture With Calibrated LLM Distillation: Application to Person-Job Fit
[arXiv] 2026-01-15 | Molecular electrostatic potentials from machine learning models for dipole and quadrupole predictions
[arXiv] 2026-01-15 | ADVOSYNTH: A Synthetic Multi-Advocate Dataset for Speaker Identification in Courtroom Scenarios
[arXiv] 2026-01-15 | Multilinguality as Sense Adaptation
[arXiv] 2026-01-15 | The Straight and Narrow: Do LLMs Possess an Internal Moral Path?
[arXiv] 2026-01-15 | DanQing: An Up-to-Date Large-Scale Chinese Vision-Language Pre-training Dataset
[arXiv] 2026-01-15 | Model-Driven GPR Inversion Network With Surrogate Forward Solver
[arXiv] 2026-01-15 | How Intrinsic Motivation Underlies Embodied Open-Ended Behavior
[arXiv] 2026-01-15 | On a general identity and a resulting class of umbral operators
[arXiv] 2026-01-15 | In-Context Source and Channel Coding
[arXiv] 2026-01-15 | An Ensemble of Evolutionary Algorithms With Both Crisscross Search and Sparrow Search for Processing Inferior Individuals
[arXiv] 2026-01-15 | An Exact Energy Conservation Law for Magneto-Optical Nanoparticles
[arXiv] 2026-01-15 | NoReGeo: Non-Reasoning Geometry Benchmark
[arXiv] 2026-01-15 | Updated Results for Kinematic Factors in Double Beta Decays
[arXiv] 2026-01-15 | Large-scale time-series spectroscopy for stellar ages
[arXiv] 2026-01-15 | Proactive Local-Minima-Free Robot Navigation: Blending Motion Prediction with Safe Control
[arXiv] 2026-01-15 | A Unified Framework for Kinematic Simulation of Rigid Foldable Structures
[arXiv] 2026-01-15 | Quantitative approach for the Dicke-Ising chain with an effective self-consistent matter Hamiltonian
