[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[arXiv] 2026-07-20 | MEVION: Low-Cost Open-Source Data Collection System for Powerful and High-Speed Dual-Arm Manipulation
[arXiv] 2026-07-20 | A multiplicity theorem for a class of nonlocal elliptic equations involving even nonlinearities
[arXiv] 2026-07-20 | Privacy-preserving causal mediation analysis using distributed electronic health record networks
[arXiv] 2026-07-20 | Dynamical system for PageRank with a time-dependent memory
[arXiv] 2026-07-20 | Coadjoint averaging and cross-scale fluxes in a fast-slow stochastic Euler-Arnold system on $SU(N)$
[arXiv] 2026-07-20 | Comparing explicit likelihood and likelihood-free simulation-based inference for weak lensing cosmic shear
[arXiv] 2026-07-20 | On the use of equilibrium models to describe dynamic adsorption regimes
[arXiv] 2026-07-20 | PRIME: Plasticity Recovery in Multi-Agent Environments for UAV-Assisted Emergency Communication Networks
[arXiv] 2026-07-20 | Sensing relativistic quantum fields with minimally perturbing local measurements
[arXiv] 2026-07-20 | Femtosecond-to-millisecond holographic imaging of laser ablation dynamics
[arXiv] 2026-07-20 | Localized crystallization of Ce:YIG thin films on Si using CO2 laser annealing for integrated nonreciprocal photonic device applications
[arXiv] 2026-07-20 | Nonlinear Dynamics of Current-Carrying ELM Filaments: Spiral Vorticity, Rotation, and Velocity Suppression
[arXiv] 2026-07-20 | Mixture-of-Experts Serving
[arXiv] 2026-07-20 | Entanglement geometry separates circuit cutting, classical hardness, and trainability
[arXiv] 2026-07-20 | Spatio-kinematical structure of the Galactic Nuclear Stellar Disk revealed in VLBI astrometry of circumstellar masers
[arXiv] 2026-07-20 | Black hole spin-mass correlation and vector resonant relaxation in gaseous star clusters: the origin of GW231123?
[arXiv] 2026-07-20 | Integrable Volterra hierarchies over nonabelian algebras
[arXiv] 2026-07-20 | Physically Consistent Outflow Boundary Conditions for Global Stability Analysis of Bluff Body Wakes
[arXiv] 2026-07-20 | First Observation of an Exotic Reggeon
[arXiv] 2026-07-20 | From Blind Search to Memory-Aware Evolution: Efficient DBMS Tuning via Collaborative Diagnosis and Utility-Aware Retrieval
[arXiv] 2026-07-20 | When a Name Is Not a Name: A Benchmark Dataset and Distilled Reasoning for Culturally Entangled Bangla Homographs in Low-Resource LLMs
[arXiv] 2026-07-20 | Spin relaxation in $X$-wave magnets with $X=p, d, f, g, i$
[arXiv] 2026-07-20 | DESTINY: a new binding-energy-resolved astrochemical framework. Self-Consistent Competitiveness using Branched Absorbing Markov Chains
[arXiv] 2026-07-20 | Minimizers and Weak Solutions for Singular Born--Infeld Type Functionals
[arXiv] 2026-07-20 | ReViV: Reconstructing the Viewer and the View in 4D from Monocular Egocentric Video
[arXiv] 2026-07-20 | BrainNext: A General-Purpose Self-Supervised Foundation Model for Brain MRI Analysis
[arXiv] 2026-07-20 | Persona-as-Configuration: Generative Stakeholder Reporting for Agricultural Floods
[arXiv] 2026-07-20 | Limiting Stationarity of Regularized Gap-Function Reformulations for Bilevel Optimization with Unbounded Multipliers
[arXiv] 2026-07-20 | Generalize and Guide: Decomposing Rewards for Few-Shot Inverse Reinforcement Learning
[arXiv] 2026-07-20 | Ah-SCDFT:A general approach for superconductivity with an-harmonic corrections
[arXiv] 2026-07-20 | Performance Enhancement of Gas Electron Multipliers Using an Optimized Single-Conical Hole Geometry for Different Charged Particles
[arXiv] 2026-07-20 | Moment duality and an improved lower bound for Korenblum's constant
[arXiv] 2026-07-20 | Semantically Similar, Logically Distinct: Diagnosing the Semantic-Answerability Gap in Table RAG
[arXiv] 2026-07-20 | Observable Consequences of Mental Accounting
[arXiv] 2026-07-20 | Light-Cone Scaling of In-Circuit Noise in Randomized Measurements
[arXiv] 2026-07-20 | On Mixtures of Three Homoscedastic Gaussian Densities: An Unconditional Sharper Bound on the Number of Modes
[arXiv] 2026-07-20 | Mean-field equilibrium price formation under single-default risk
[arXiv] 2026-07-20 | Unique inversion of smooth nonlinearity in semilinear wave equations on Lorentzian manifolds
[arXiv] 2026-07-20 | Simultaneous inference of isotropic and anisotropic polarization rotation angles for next-generation cosmic microwave background experiments
[arXiv] 2026-07-20 | Diverge-Merge Formation and MAC Control in Structured Airspace
[arXiv] 2026-07-20 | Patch Policy: Efficient Embodied Control via Dense Visual Representations
[arXiv] 2026-07-20 | It's Not What You Say, It's How You Say It: Evaluating LLM Responses to Expressions of Belief
[arXiv] 2026-07-20 | FM-VLA: Force-based Memory for Vision-Language-Action Models in Contact-Rich Manipulation
[arXiv] 2026-07-20 | Breaking the $f_{\text{NL}}$--$b_φ$ degeneracy with the time evolution of tracer number counts
[arXiv] 2026-07-20 | Vector Search As Nearest Neighbor Matching: RAG-based Policy Learning in Causal Inference
[arXiv] 2026-07-20 | Nonexistence of Simultaneously EF1 and Pareto Optimal Allocations for Submodular Valuations
[arXiv] 2026-07-20 | Search for continuous gravitational waves from the pulsar J0435+3233
[arXiv] 2026-07-20 | Position-dependent tight-binding model for Li impurities in monolayer and bilayer graphene
[arXiv] 2026-07-20 | Contrasting $Γ$- and K-Valley Moiré Physics in Twisted Monolayer/Bilayer WSe$_2$
[arXiv] 2026-07-20 | Unveiling Invariant and Transferable Latent Factors Across Heterogeneous Environments via ATLAS
[arXiv] 2026-07-20 | Benchmarking wall velocities in cosmological phase transitions: Fluid Ansatz and WallGo
[arXiv] 2026-07-20 | Learning Adaptive Safety Margins for Visual Navigation
[arXiv] 2026-07-20 | Hardware Robustness of Sample-Based Quantum Diagonalization
[arXiv] 2026-07-20 | anyakrakusuma: A Python Library for Entropic Schrödinger Bridges on Idealized Geometries
[arXiv] 2026-07-20 | Machine Learning Potential-Driven Molecular Dynamics Simulations of Dehydrogenation in Pristine and Doped MgH$_2$
[arXiv] 2026-07-20 | BCover: An Electronic Structure-Based Scoring Suite for Reaction-Aware Covalent Docking
[arXiv] 2026-07-20 | An approach to systemic risks of AI through the lens of emergence, collective action problems, and externalities
[arXiv] 2026-07-20 | TRIM: Reducing AI-Generated CodeSlop via Agent Trajectory Minimization
[arXiv] 2026-07-20 | jina-reranker-v3.5: An Efficient Listwise Reranker with Hybrid Attention and Self-Distillation
[arXiv] 2026-07-20 | Plenoptic Condensation: A Novel Approach to Generalized Scene Reconstruction
[arXiv] 2026-07-20 | Totally Positive Matrices and the Highest-Order Coefficients of the Characteristic Polynomial
[arXiv] 2026-07-20 | LLMs and Agentic AI Systems for Smart Grids: A Tutorial on Architectures and Applications
[arXiv] 2026-07-20 | The realization graph of every degree sequence has a Hamilton path
[arXiv] 2026-07-20 | An Unsupervised Search for Novel Instrumental Glitches in LIGO O4a: Multi-Scale Sensitization, Empirical Physical Vetoes, and Rate Upper Limits
[arXiv] 2026-07-20 | Physics-Guided Spectral Parametric Reduced-Order Modeling for Transient Prediction of Controlled Dynamical Systems
[arXiv] 2026-07-20 | Manifold-Constrained Hyper-Connections for Parameter-Efficient Finetuning
[arXiv] 2026-07-20 | CutBackdoor: A Circuit Cut Triggered Backdoor Attack on Variational Quantum Algorithms
[arXiv] 2026-07-20 | Quantifying the Information Gain from Future High-Precision Radius Measurements for Identifying Twin Neutron Stars
[arXiv] 2026-07-20 | Exact generalized Turán number of vertex-disjoint paths of length two
[arXiv] 2026-07-20 | Superconductivity in MgHCu3 perovskite revisited
[arXiv] 2026-07-20 | Occlusion-Aware Panoptic Segmentation with Joint Position Embedding and Occlusion-Level Attention
[arXiv] 2026-07-20 | GARAGE: Characterizing the Automation Boundary in LLM-based Attack Graph Generation
[arXiv] 2026-07-20 | FinSAgent: Corpus-Aligned Multi-Agent RAG Framework for Evidence-Grounded SEC Filing Question Answering
[arXiv] 2026-07-20 | Can We Break LLMs Out of Self-Loops? Fine-Grained Reasoning Control with Activation Steering
[arXiv] 2026-07-20 | DFT+U+V is equivalent to DFT+U with density-dependent hybridized projectors
[arXiv] 2026-07-20 | The Brownian loop-catcher
[arXiv] 2026-07-20 | Human Grounded Evaluation of Large Language Models for Optical Network Automation
[arXiv] 2026-07-20 | Foundry CMOS platform for multimodal quantum materials characterization
[arXiv] 2026-07-20 | Co-addition and Subtraction of Undersampled Images
[arXiv] 2026-07-20 | New bound on $S_{1}\times S_{2}$-setting Bell locality of a nonseparable Werner state
[arXiv] 2026-07-20 | Determinant values on lattices
[arXiv] 2026-07-20 | Euler-Poisson equations with velocity-dependent damping
[arXiv] 2026-07-20 | Benchmarking NACTI Species Recognition in Long-Tailed Regimes
[arXiv] 2026-07-20 | Universal Dynamic Scaling of 2D Quantum Ising Transition on the Fuzzy Sphere
[arXiv] 2026-07-20 | Modeling rare-earth and energy materials supply chains under theoretical China-outer-Mongolia political reunification scenarios
[arXiv] 2026-07-20 | Uniform-in-time rational approximation of the matrix exponential with real poles
[arXiv] 2026-07-20 | MADA-RL: Multi-Agent Debate-Aware Reinforcement Learning for Parameter-Efficient Reasoning in Compact Models
[arXiv] 2026-07-20 | Mirror vs. inversion symmetry breaking in mesogenic dimers: NTB vs. NF phase
[arXiv] 2026-07-20 | Skew CRT codes and their decoding in poly skew metric
[arXiv] 2026-07-20 | KernelDiag: Agent-Based Root Cause Diagnosis for Kernel Crashes
[arXiv] 2026-07-20 | PC-Seg: Progressive Cross-View Consistency for 3D OCT Segmentation from Sparse 2D Annotations
[arXiv] 2026-07-20 | Emergent odd response in active chiral films
[arXiv] 2026-07-20 | Image Classification on IBM Quantum Computers
[arXiv] 2026-07-20 | Measuring Computational Thinking Self-Efficacy (CT-SEI): Instrument development and preliminary evaluation
[arXiv] 2026-07-20 | Suppression of Non-Hermitian Skin Effect by Pseudomagnetic Field in Honeycomb Lattice
[arXiv] 2026-07-20 | Generalized Reynolds Analogy for Compressible Turbulent Boundary Layers: Unified Velocity-Temperature Relations from Mean to Fluctuating Field
[arXiv] 2026-07-20 | A Globally Calibrated Bayesian Optimal Phase II Design for Adaptive Enrichment Trials
[arXiv] 2026-07-20 | Luminosity-Adaptive Contrast Enhancement Using CLAHE for Retinal Fundus Images with Quantitative Validation and Comparative Analysis
[arXiv] 2026-07-20 | d-band filling dictates magnetic stability in Mn- and Co-substituted FeRh alloys
[arXiv] 2026-07-20 | Monotonicity and Frank-Wolfe Dynamics in Atomic Splittable Congestion Games
[arXiv] 2026-07-20 | Tilted Anisotropic Dirac Fermions in an Exponentially Decaying Magnetic Field
[arXiv] 2026-07-20 | Uncovering Latent Reasoning Strategies in Language Models
[arXiv] 2026-07-20 | Ambiguity Function Analysis of Pilot-Embedded Random OFDM Signals
[arXiv] 2026-07-20 | Harmonic oscillation and orbital morphology for spinning charged quantum corrected black hole
[arXiv] 2026-07-20 | OrientSAM: Mitigating Camera-Centric Shortcut in Multimodal Spatial Reasoning via Orientation-Aware Spatial Alignment
[arXiv] 2026-07-20 | LFM: Leveraging Foundation Models for Source-Free Universal Domain Adaptation
[arXiv] 2026-07-20 | Informal Learning Emerges in Everyday Human-LLM Interaction
[arXiv] 2026-07-20 | Verify, Repair, Repeat, or Stop? Robust Stopping for Noisy Verify-Repair Loops in LLM Agents
[arXiv] 2026-07-20 | A Digital Twin-Based Method for Evaluating Local Collective Tariffs in Distribution-Level Energy Systems
[arXiv] 2026-07-20 | Reviving Ancient Paintings via Poem: A Colorization Framework for Aligning Cultural Semantics
[arXiv] 2026-07-20 | MixDiffusion: Mixing Diffusion-based Uni-condition Text-to-Image Generation Models for Multi-condition Image Synthesis
[arXiv] 2026-07-20 | TypiCore: A Hybrid Active Query Strategy for Class-Incremental Learning on Time Series
[arXiv] 2026-07-20 | Waveform Design for OTFS Assisted Simultaneous Acoustic Information and Power Transfer
[arXiv] 2026-07-20 | It Matters How You Say It: Exploring Rhetorical Patterns for AI-Assisted Information Evaluation
[arXiv] 2026-07-20 | Insecure Coding Preferences in Long-Term Memory: Security Risks for LLM-based Code Generation
[arXiv] 2026-07-20 | Spatial nonlocality imaging via metasurface
[arXiv] 2026-07-20 | On the Separation Between the Brightest Cluster Galaxy and the Intracluster Light
[arXiv] 2026-07-20 | Two-stage Adaptive Testing of Large-scale Mediation Hypotheses
[arXiv] 2026-07-20 | pyHB: an open-source automatic-differentiation-enhanced semi-analytical solver for nonlinear dynamics
[arXiv] 2026-07-20 | Cross-Domain Acceleration of Open Modification Search: From Commodity Platforms to Emerging Memory and Storage Devices
[arXiv] 2026-07-20 | CoCurve: Cross-Module Co-Pruning Curvature for Training-Free Structured LLM Pruning
[arXiv] 2026-07-20 | The Intrinsic Multiphase Gas--Black Hole Connection across Scales in IllustrisTNG
[arXiv] 2026-07-20 | ZifaMem: Structured Memory for Persona, Preference, and Emotional Continuity in AI Companions
[arXiv] 2026-07-20 | Self-Directed Spectrum Allocation Framework for Integrated TN-NTN 6G Networks
[arXiv] 2026-07-20 | Consumption and Investment in Incomplete Markets with Epstein-Zin Preferences in Infinite Horizon
[arXiv] 2026-07-20 | First double red giant Algol system with active mass transfer
[arXiv] 2026-07-20 | Latin Squares whose transversals intersect in unusual ways
[arXiv] 2026-07-20 | Predicting Grasping Compliance in Robotic Hands through Analytical-Model-Informed Neural Networks
[arXiv] 2026-07-20 | Salience Induction against Multi-Hop RAG Agents: Threat and Defense
[arXiv] 2026-07-20 | Non-equilibrium Effects in Vibrational Modes Pumped by Inelastic Tunneling
[arXiv] 2026-07-20 | GeoWorldAD: Geometry World Action Model for Autonomous Driving
[arXiv] 2026-07-20 | Generalized BCH Codes and Twisted Goppa Codes Attaining Their Designed Distances
[arXiv] 2026-07-20 | Extending Elle for Transaction Workloads with Duplicate Values
[arXiv] 2026-07-20 | After the Euclidean Highway: Hyperbolic Expert AI as the Next Innovation
[arXiv] 2026-07-20 | ShadowPickle: Evading Machine Learning Model Scanners via Stealthy Pickle Deserialization Attacks
[arXiv] 2026-07-20 | Vector mesons leading-twist longitudinal distribution amplitudes and related semi-leptonic decays within QCD sum rules
[arXiv] 2026-07-20 | CADMM-Prox: A Bi-level Consensus ADMM for Non-smooth Non-convex Distributed Consensus Optimization
[arXiv] 2026-07-20 | Finite Potential Energy for Entire Solutions of the Planar Ginzburg--Landau Equation
[arXiv] 2026-07-20 | Chiral Analysis of Smart Contracts: Detecting Vulnerabilities from Relational Inconsistencies Across Business Paths
[arXiv] 2026-07-20 | Distilling Global Traversability Priors for Image-based Affordance Prediction in Off-road Environments
[arXiv] 2026-07-20 | Information-Based Exploration via Random Features for Reinforcement Learning
[arXiv] 2026-07-20 | Counting Lattice Rectangles in $O(n\log n)$ Operations
[arXiv] 2026-07-20 | The Art of Not Forgetting
[arXiv] 2026-07-20 | The Aura in the Machine: Genealogy and the Status of the Work of Art in the Generative Era
[arXiv] 2026-07-20 | DeLIVeR: Decomposed Learning for Information-grounded Veracity Recognition via Reinforced Knowledge Graph Exploration
[arXiv] 2026-07-20 | Engineering Social Networks: How Initial Group Assignment Shapes Student Social Interactions
[arXiv] 2026-07-20 | Quantum numbers of excited $Ξ_c^\prime$ and $Ω_c$ baryons and the $P$-wave $Σ_c$ spectrum
[arXiv] 2026-07-20 | On dimonoids of small order
[arXiv] 2026-07-20 | Transition to chaos in two-dimensional Rayleigh-Bénard convection: the role of the magnetic field
[arXiv] 2026-07-20 | Packet-Loss Robust 3D Gaussian Compression via Atomic Packaging and GNN-based Error Concealment
[arXiv] 2026-07-20 | Reflected Schrodinger Bridge Problem over Sub-Riemannian Manifold
[arXiv] 2026-07-20 | Harness TTS: Towards Context-Aware Expressive Speech Synthesis with Harness Layer
[arXiv] 2026-07-20 | Beyond Car Sharing: Uncertainty-Aware Pooling of Vehicular Compute at the Network Edge
[arXiv] 2026-07-20 | Thermal management optimization of Battery Electric Vehicles via hierarchical NMPC with CMO-trained Neural Models
[arXiv] 2026-07-20 | Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworthy Enterprise AI
[arXiv] 2026-07-20 | Task-Oriented Precoding for Edge Inference over Large-Scale MIMO Systems
[arXiv] 2026-07-20 | Dynamical Timelike Entanglement Entropy in an Evaporating Schwarzschild--AdS Black Hole
[arXiv] 2026-07-20 | An Augmented Load-Frequency Control Block Diagram for Power Systems
[arXiv] 2026-07-20 | Almost sure spatial decay and almost sure nonlinear smoothing of some stochastic dispersive equations
[arXiv] 2026-07-20 | Massive MIMO-OFDM ISAC for Sparse ISAR Imaging: Joint Power and Subcarrier Allocation
[arXiv] 2026-07-20 | ConceptTree: Bringing Semantic Transparency to Black-Box Decision Making for Robotic Manipulation
[arXiv] 2026-07-20 | CRT*: Conditional Randomization Testing with Heterogeneous External and Unlabeled Data
[arXiv] 2026-07-20 | Molecular chirality controls droplet division and helical fiber formation in liquid crystal emulsions
[arXiv] 2026-07-20 | High-frequency dual-channel lock-in detection via rapidly oscillating driving
[arXiv] 2026-07-20 | Consistent Feature Transport for Image Relighting
[arXiv] 2026-07-20 | Multisine electrochemical impedance spectroscopy for Li-ion battery characterisation
[arXiv] 2026-07-20 | A Gate-and-Menu Theory of Collective Tourism Brand Value
[arXiv] 2026-07-20 | Photonic Memory as a Dynamical Phase for Neuromorphic Computing: A Unified Framework with Experimental Realization
[arXiv] 2026-07-20 | Revealing a multi-zone circumnuclear dust response in UGC~11487 through phase-resolved WISE W1--W2 diagnostics
[arXiv] 2026-07-20 | A2RL V\textsubscript{max}: The A2RL autonomous racing dataset for long-range, high-speed perception and multi-vehicle interaction
[arXiv] 2026-07-20 | Vis2Reg: Visibility-Aware Landmark-Free Geometric 3D--2D Registration for Liver Laparoscopy
[arXiv] 2026-07-20 | Graphs with zero as a main eigenvalue of the signless Laplacian
[arXiv] 2026-07-20 | Stochastic Pauli-path simulator for large-scale quantum optimization
[arXiv] 2026-07-20 | Impurity-induced Inverse Faraday Effect
[arXiv] 2026-07-20 | Binary White Dwarfs as Gravitational Wave Sources for LISA
[arXiv] 2026-07-20 | Simplicial arrangements with special vertex
[arXiv] 2026-07-20 | Feature Attribution-Based Explainability Analysis of Deep Learning Models in Predictive Process Monitoring
[arXiv] 2026-07-20 | ETAS: An Effect-Typed Language for Agent Systems
