[2026-09-18 23:54:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-17
正在获取论文...
[arXiv] 2026-09-17 | Converging Naming Styles, Persistent Network Locality: GitHub in the LLM Era
[arXiv] 2026-09-17 | Crystallographic imperfections and exotic superconductivity of UBe$_{13}$
[arXiv] 2026-09-17 | A Logarithmic Regret Bound for Optimistic Hedge in General-Sum Games
[arXiv] 2026-09-17 | Conservation Buys Stability and Factoring Buys Counterfactuals in Physical World Models
[arXiv] 2026-09-17 | On the Probability Distribution and Null-hypothesis Testing of Cross-correlation for Light Curves in Active Galactic Nuclei
[arXiv] 2026-09-17 | When2Think: Learning Difficulty-Aware Length Control for Efficient Hybrid Reasoning Models
[arXiv] 2026-09-17 | Experimental study of the impact dynamics of polymeric hollow droplets
[arXiv] 2026-09-17 | Runtime Safety Filtering for Two-Terminal Hazards in Robotic Battery Recycling
[arXiv] 2026-09-17 | Towards Active Cross-View Object Geo-Localization
[arXiv] 2026-09-17 | ScientistTwo: Pioneering the Human Knowledge Frontier with Autonomous AI
[arXiv] 2026-09-17 | A Policy Profile for Croissant: Refusal as a Property of the Dataset
[arXiv] 2026-09-17 | Geography as the Organizing Grammar of Geospatial Models
[arXiv] 2026-09-17 | A Restricted Boltzmann Machine with Quantum-State Visible Units
[arXiv] 2026-09-17 | The Complexity Kink: A Prompt-Side Structural Complexity Index for Code-Generation Reliability
[arXiv] 2026-09-17 | Affine quantum Schur--Weyl duality
[arXiv] 2026-09-17 | Chain-of-Thought Entropy as a Reliability Signal: A Preregistered Reproduction
[arXiv] 2026-09-17 | Distinguishing Coupled Dark Matter Dark Energy from Kinematic Phantom Crossing
[arXiv] 2026-09-17 | Condorcet-type properties of the linear ordering problem with ties
[arXiv] 2026-09-17 | Quantifying Mechanical Intelligence in Legged Robots with Information Theory
[arXiv] 2026-09-17 | An Insurance Broker for Every Small Business: The Economics of Exceptional Care at Scale
[arXiv] 2026-09-17 | Interpretable hybrid nuclear mass prediction based on term-by-term model discrepancies
[arXiv] 2026-09-17 | Vehicle-Routing Clustering by Sparse Quantum Relaxation
[arXiv] 2026-09-17 | Learning from Success and Failure: Acquiring Adaptive Dialogue Strategies for Social Robots
[arXiv] 2026-09-17 | On the Geometry of Wasserstein Barycenter II: Riemannian Rigidity, Essential Non-Branching, and Finsler Models
[arXiv] 2026-09-17 | A Bi-Objective Routing Framework for Hybrid Terrestrial-Satellite Quantum Networks
[arXiv] 2026-09-17 | PDNQP: A GPU-based Factorization-free Method for Large-scale Nonconvex Quadratic Programming
[arXiv] 2026-09-17 | PerSeM: Persistent Semantic Memory for Long-Horizon Open-Vocabulary UAV Mapping
[arXiv] 2026-09-17 | A $(1+1/\sqrt{2})$-Approximation for the Multiple-Depot Traveling Salesman Problem
[arXiv] 2026-09-17 | Symmetry-driven correlation patterns in one-dimensional periodic fermionic systems: closed-form expressions and exact selection rules for correlation functions, entanglement entropies and mutual information
[arXiv] 2026-09-17 | Detecting Soft Errors in Parallel Software with LLM-tuned Instruction Duplication
[arXiv] 2026-09-17 | Traces of Besov and Lizorkin--Triebel spaces to thick subsets of $\mathbb{R}^n$
[arXiv] 2026-09-17 | CoreSense: Traceable Failure Recall and Conflict-Aware Belief Gating for Auditable Robot Decisions
[arXiv] 2026-09-17 | MM-Future: Multi-Mode Joint World-Action Modeling for Autonomous Driving
[arXiv] 2026-09-17 | A Computational Method to Simulate Electrostatic Actuation in Polycatenated Architected Materials
[arXiv] 2026-09-17 | Inferring interactions between active particles using harmonic traps
[arXiv] 2026-09-17 | Constraint Qualifications and Gradient Flows for Block Vanishing Constraint Problems
[arXiv] 2026-09-17 | Prospects for Mercury Observations with the BepiColombo Laser Altimeter (BELA): Implications for Estimating Surface Roughness from Laser Altimetry
[arXiv] 2026-09-17 | A complete classification of permutation binomials of the form $X^r(X^{q-1}+a)$ over finite fields
[arXiv] 2026-09-17 | A Qualitative Model for Reasoning about Path and Support
[arXiv] 2026-09-17 | Dissipative phase transitions in quantum reservoir computing
[arXiv] 2026-09-17 | Near-Field Localization Beyond Bandwidth Limits for Large-Aperture Pinching-Antenna Systems
[arXiv] 2026-09-17 | On the Turing Completeness of Transformers and Agents
[arXiv] 2026-09-17 | Predictions on the abundance of primordial black holes: results from the SMILE VLBI milli-lensing sample
[arXiv] 2026-09-17 | Tradeable Import Certificates for Strategic Supply Security
[arXiv] 2026-09-17 | Ischemic Stroke Segmentation and Net Water Uptake Quantification on Multicenter Non-Contrast CT Using Supervised Target-Domain Adaptation
[arXiv] 2026-09-17 | A heterogeneous and vectorized sequence for the HL-LHC full tracking reconstruction of the CMS experiment
[arXiv] 2026-09-17 | Think Thrice Before Reranking: Multi-perspective Evidence and Reasoning Integration for Text Reranking
[arXiv] 2026-09-17 | Large-Time Behavior for One-Dimensional Planar Compressible Magnetohydrodynamic Equations on Unbounded Domains
[arXiv] 2026-09-17 | QoS-Aware Federated Learning for Multimodal In-Cabin Interaction in Smart Vehicles
[arXiv] 2026-09-17 | Effects of Sequence Timing on the Spatio-Temporal Properties of 3D BOLD fMRI: A Formal Framework and Analysis
[arXiv] 2026-09-17 | Safety-Critical Scenanrio Emerges from Initial Scene
[arXiv] 2026-09-17 | Solutions to some open problems in matrix analysis
[arXiv] 2026-09-17 | SETTer: Sparse-Encoder Transformer for Long-term Multivariate Time Series Forecasting
[arXiv] 2026-09-17 | Transient High-Harmonic Generation from Solids: From Spectroscopy and Control to Programmable Emission
[arXiv] 2026-09-17 | MATCH: Model-Aware Tool Learning with Curriculum Scheduling and Hierarchically Gated Rewards
[arXiv] 2026-09-17 | A Proposal for an Agentic AI Architecture to Support Multi-Domain Decision-Making in the Brazilian Armed Forces
[arXiv] 2026-09-17 | FlipToSee: A Probabilistic Stable Placement Prior for Active Visual Exploration via Regrasping
[arXiv] 2026-09-17 | Modeling Dynamic Magnetic Response of Spinel Soft Ferrites with the Steepest-Entropy-Ascent Quantum Thermodynamics Formalism
[arXiv] 2026-09-17 | Multidimensional fractional material derivative
[arXiv] 2026-09-17 | How Often Does Your Program Fail?
[arXiv] 2026-09-17 | Astronex-World 1.0: Real-Time Interactive World Model Foundation
[arXiv] 2026-09-17 | On the Maximal CP Violation in Leptogenesis with Two Right Handed Neutrinos
[arXiv] 2026-09-17 | Determination of the output injection of invertible linear systems for guaranteeing a regular relative degree
[arXiv] 2026-09-17 | Fragmentation of Quantum Fluid in dipolar Bose-Einstein condensate
[arXiv] 2026-09-17 | Geopolitical Divisions Across Languages in Large Language Models
[arXiv] 2026-09-17 | Affine dual Minkowski problem for general measures
[arXiv] 2026-09-17 | AVTrace: Diagnosing Audio-Visual Temporal Reasoning in Omni Models
[arXiv] 2026-09-17 | Compliance for Free: Learning Identifiable Impedance via Bilateral Teleoperation
[arXiv] 2026-09-17 | Beyond the Foreground: FOV-Aware Polyp Image Synthesis via Lesion-Guided Adaptive Mucosal Context Propagation
[arXiv] 2026-09-17 | Graph-Based Stochastic Power-UCT: Monte-Carlo Graph Search with Power Mean Estimation
[arXiv] 2026-09-17 | MaSCoD: A Multi-Agent Framework for Structural-Context-Guided Candidate Causal Graph Generation
[arXiv] 2026-09-17 | Stringological sequence prediction III: layered ziplines and a tradeoff between efficiency and expressivity
[arXiv] 2026-09-17 | Error bounds in Sobolev norms for approximations with norm constrained ReLU neural networks
[arXiv] 2026-09-17 | Reliability of Zodiacal Background Models at Small Solar Elongations
[arXiv] 2026-09-17 | Investigating the influence of the full-kinematics treatment for charged-current processes in binary neutron star mergers
[arXiv] 2026-09-17 | Multi-Absorbing Phase-Type Distributions for Right-Censored Competing Risks Data
[arXiv] 2026-09-17 | New massive resonances at the LHC
[arXiv] 2026-09-17 | Colour sextet baryons in composite Higgs models
[arXiv] 2026-09-17 | Amortizing Physics-Informed Neural Solvers via Graph Hypernetworks
[arXiv] 2026-09-17 | ZigZag Trie: A Novel Index for Contextual Queries
[arXiv] 2026-09-17 | CitySTAR: Structured and Topology-Aware Reasoning for Open-Vocabulary Urban 3D Grounding
[arXiv] 2026-09-17 | GS-PI: An Optimization-Decoupled Appearance Decomposition Approach for Generating PBR Gaussian Assets
[arXiv] 2026-09-17 | Percolation Markov Decision Processes
[arXiv] 2026-09-17 | Hydrogen isotope mixing entropy in ammonia clusters
[arXiv] 2026-09-17 | TRACE: Accountable Agentic Retrieval for Source Discovery in Digital Archives
[arXiv] 2026-09-17 | Generalized $t$-Fine and Quasi $t$-Fine Rings
[arXiv] 2026-09-17 | BinoGen: Scaling egocentric binocular data for embodied visual perception and learning
[arXiv] 2026-09-17 | VākQA: A Benchmark and Evaluation Study for Telugu Spoken Factoid Question Answering
[arXiv] 2026-09-17 | Euclid: Galaxy cluster detection through the weak lensing effect - algorithm assessment and selection
[arXiv] 2026-09-17 | Rogers--Ramanujan identities from the geometry of $X^a=Y^b$
[arXiv] 2026-09-17 | Multi-Track Time-Series Burst-Overlap Interferometry for Resolving Horizontal Deformation in Earthquake-Cycle Studies
[arXiv] 2026-09-17 | Reasoning Quality Matters: Combating Reasoning Collapse in LLM-based Embedding Learning
[arXiv] 2026-09-17 | Learning Slope-Adaptive Whole-Body Locomotion for Humanoid Robots in Roofing Construction
[arXiv] 2026-09-17 | Path-Integrated Polarization Rotation Signatures in Subsea Networks: Cable Geometry Effects in 2023 Turkey Earthquakes
[arXiv] 2026-09-17 | Noise-Robust Quantum State Characterization for Remote State Preparation with Deep Learning
[arXiv] 2026-09-17 | SoL-Pi: Recursively Scaling Auto-Research Loops for Efficient Agent Harness
[arXiv] 2026-09-17 | Advances in Modeling Techniques for Ventricular Assist Devices: A Comprehensive Review and Future Directions
[arXiv] 2026-09-17 | On a class of combinatorial group invariants
[arXiv] 2026-09-17 | On the ACC for Minimal Log Discrepancies for Bounded Generalized Sub-Pairs
[arXiv] 2026-09-17 | Automated Goldsmith's Mark Retrieval in Silverware
[arXiv] 2026-09-17 | Radio Frequency Detection and Classification of Microplastics in Water
[arXiv] 2026-09-17 | A Llarull type theorem on complete non-compact manifolds
[arXiv] 2026-09-17 | Four-Point Yang-Mills Correlators in AdS$_4$ from All-Line Recursion: All-Plus, Single-Minus and MHV
[arXiv] 2026-09-17 | Edustories: A Collection of Real-world Case Studies from Classroom Practices
[arXiv] 2026-09-17 | Scaling Fourier-Based Sparse Matrix Analysis on GPUs
[arXiv] 2026-09-17 | Tuning the Coercive Field in Ferroelectric Hf0.5Zr0.5O2-Al2O3 Heterostructures via Interfacial Charge Dynamics
[arXiv] 2026-09-17 | Beyond Linearity: Semiparametric Solutions to Contamination Bias with Multi-valued Treatments
[arXiv] 2026-09-17 | Disorder-induced modulation of the nonlinear Hall effect in Weyl semimetals
[arXiv] 2026-09-17 | Representation stability of string links and manifold links
[arXiv] 2026-09-17 | Finding New Limit Points of Mahler Measure by Methods of Missing Data Restoration
[arXiv] 2026-09-17 | SkillAA: Attribution-Guided Skill-Graph Updating with Targeted Validation and Rollback
[arXiv] 2026-09-17 | Spatial-Semantic Uncertainty in VLM-Based Target Search: Balancing Exploration and Identification
[arXiv] 2026-09-17 | Cross-Architecture Foundation-Model Distillation for Edge Flood Segmentation
[arXiv] 2026-09-17 | The Galactic centre G+0.633-0.0604 molecular cloud: A new astrochemical gold mine: II. Chemical richness
[arXiv] 2026-09-17 | A Mathematical Model of Motivated Emotional Mind - Cognitive Embodied System
[arXiv] 2026-09-17 | Emergent Surface Kondo Flat Band Driven by Competing Interactions in a Topological Ferromagnet
[arXiv] 2026-09-17 | When Do Language-Grounded Explanations Help? A Graph-Bottleneck for Farm Monitoring Interpretable Sheep Facial Pain
[arXiv] 2026-09-17 | Water maser detections toward 70 $μ$m infrared dark clumps at early star formation stage
[arXiv] 2026-09-17 | Rich Sequences and Decidability of Arithmetic Theories
[arXiv] 2026-09-17 | Combinatorial Goussarov-Polyak-Viro Formulas for the Linking Number and Low Degree Coefficients of the Conway Polynomial
[arXiv] 2026-09-17 | The effects of shot noise on the quantum computation of NMR spectra
[arXiv] 2026-09-17 | Learning Principal-Agent Contracts for Equitable Smallholder Carbon Farming under Moral Hazard and Adverse Selection
[arXiv] 2026-09-17 | Energy-Efficient Hollow-Core Fibre Transmission
[arXiv] 2026-09-17 | Predictive Structure to Thermal Conductivity Modeling Framework for BEOL Interconnect Stacks in Advanced Technology Nodes Enabled by Extensive Layer Resolved Thermal Measurements
[arXiv] 2026-09-17 | From raw Solvability Complexity Index proofs to Weihrauch degrees
[arXiv] 2026-09-17 | A near-IR survey of luminous asymptotic giant branch stars in the satellites and stellar halo of M31
[arXiv] 2026-09-17 | Regularity of asymptotically axisymmetric solutions to the 3D Navier-Stokes equations with analytic forcing
[arXiv] 2026-09-17 | JEPA-Anything: Learning Predictive Models across Different Worlds
[arXiv] 2026-09-17 | A Framework for Supervised and Unsupervised Learning via Reproducing Kernel Hilbert Spaces
[arXiv] 2026-09-17 | Mutual Evaluation and Supervision without Peers
[arXiv] 2026-09-17 | Boolean Small-Ball Inequalities for Discrepancy Theory
[arXiv] 2026-09-17 | FlowSGS: Improving Flow Matching Priors for Inverse Imaging with Stochastic Interpolants
[arXiv] 2026-09-17 | Spacetime Dynamics of Altermagnetic Magnons
[arXiv] 2026-09-17 | Analytic leakage suppression with a single control field: fast two-qubit gates with tunable couplers
[arXiv] 2026-09-17 | Calibrated RF-Fingerprinting Under Interference With Heterogeneous Transmission Protocols
[arXiv] 2026-09-17 | Prediction-Powered Smoothing and Validation for Disaggregated AI Evaluation
[arXiv] 2026-09-17 | Scaling and Condensation of Dry Active Matter Around Circular Obstacles
[arXiv] 2026-09-17 | Robust Multi-Task Learning for Principal Component Analysis
[arXiv] 2026-09-17 | An ergodic approach to equations of the form $x+y=\lfloorα(n)\rfloor$
[arXiv] 2026-09-17 | What Parents Can See: Divergent Accounts of Youth AI Companion Use in Parenting and Teenager Subreddits
[arXiv] 2026-09-17 | An invertible map between 3D Breit-frame mechanical distributions and 2D infinite-momentum-frame mechanical densities in spin-1 hadrons
[arXiv] 2026-09-17 | Hankel-Christoffel-Nevai Screening of Posterior Relevance in Bayesian Inverse Problems
[arXiv] 2026-09-17 | Solutions of the Navier-Stokes Equation Through Affine Transformations: The Triad Triplet
[arXiv] 2026-09-17 | Adiabatic hydrodynamization with transverse spatial gradients in boost-invariant plasmas
[arXiv] 2026-09-17 | Cutting a convex body into fat parts and approximating Euclidean distance by graph distances
[arXiv] 2026-09-17 | Multinegativity and single-letter formulas for asymptotic entanglement
[arXiv] 2026-09-17 | Young Gerard storming high energy physics
[arXiv] 2026-09-17 | HOPHY: A Hierarchical Hypergraph Representation for Off-Road Path and Mission Planning
[arXiv] 2026-09-17 | Volumetric Evanescent Edge Coupling for Fiber-to-Chip Optical I/O
[arXiv] 2026-09-17 | MAGNETAR: Multipath-Guided Spatial Posteriors for Transmitter Pose Inference in the Upper Mid-Band
[arXiv] 2026-09-17 | Learning Foresight without Explicit Trajectories for 3D Diffusion Policies
[arXiv] 2026-09-17 | Logarithmic--exponential preparation in sharply o-minimal structures
[arXiv] 2026-09-17 | Stochastic Two-Dimensional Anisotropic Magnetohydrodynamics System with Multiplicative Noise
[arXiv] 2026-09-17 | Infinite log-concavity of the Boros--Moll sequences
[arXiv] 2026-09-17 | PAA: The Probabilistic Allen Algebra: A Generative and Complete Probabilistic Extension of Allen's Interval Relations
[arXiv] 2026-09-17 | Refinement Is Inherently Editable: Training-Free Prompt-to-Prompt Image Editing with Generative Refinement Network
[arXiv] 2026-09-17 | PhGS: Post-Hoc Pruning and Refinement of Single-View Feed-Forward 3D Gaussian Reconstructions
[arXiv] 2026-09-17 | What Does Privileged Information Add to On-Policy Self-Distillation?
[arXiv] 2026-09-17 | Semantic SLAM in Precision Agriculture using Bayesian Inference
[arXiv] 2026-09-17 | Journey into special $T_1$-spaces
[arXiv] 2026-09-17 | V2-STRep: VLM-Grounded Structured Task Representations for Reusable Robot Skills Acquired from Generated Videos
[arXiv] 2026-09-17 | Limits of Confidence in Diffusion
[arXiv] 2026-09-17 | TAP Accuracy Below the Fluctuation Scale and Universal Posterior Geometry in Spherical Linear Models
[arXiv] 2026-09-17 | Parametric Neural Quantum States for Nuclear Physics
[arXiv] 2026-09-17 | SkipVLA: Skipping VLA Steps with Classical Planning for Fast Robot Manipulation
[arXiv] 2026-09-17 | The Hurwitz existence problem in prime degree
[arXiv] 2026-09-17 | DirtyMoCap: Robust Motion Capture from Unconstrained Markers
[arXiv] 2026-09-17 | Classification of commutation relation for multi-radial SLE
[arXiv] 2026-09-17 | Recency Forcing: Bridging the Long-Horizon Gap in Autoregressive Video Generation
[arXiv] 2026-09-17 | Environment Alignment and Redundant Record Formation in Imperfect-CNOT Quantum Darwinism
[arXiv] 2026-09-17 | Workspace Models: Lightweight Robotic Memory via Saliency-Driven Supervision
[arXiv] 2026-09-17 | A 32-day Quasi-periodic Modulation in the Post-peak Light Curve of the Superluminous Supernova SN 2018bsz
[arXiv] 2026-09-17 | EliGSiR: Continual RGB-D Mapping with Gaussian Splatting under Bounded Compute
[arXiv] 2026-09-17 | Strange Two-Photon Exchange in Time-Like Electromagnetic Form Factors
[arXiv] 2026-09-17 | Complexity Of Output Feedback Stabilization
[arXiv] 2026-09-17 | Fast FPRAS for the Permanent
[arXiv] 2026-09-17 | Design of the IBM Granite 5.0 TurboCTC ASR Model
[arXiv] 2026-09-17 | NeuSOGA3D: A Neuro-Symbolic Framework for Explainable 3D Geometric Reconstruction
[arXiv] 2026-09-17 | Learning-Based Reconstruction of Optical Properties in Bilayered Media from Single-distance Time-Resolved Reflectance Measurements
[arXiv] 2026-09-17 | Procrastinating einselection in non-Markovian quantum dynamics
[arXiv] 2026-09-17 | Lyapunov-controlled thermalization: an exact real-time example
[arXiv] 2026-09-17 | Distributionally Robust Federated Learning with Multi-Source Data
[arXiv] 2026-09-17 | Exponential Smoothing for Time Series of Random Objects
[arXiv] 2026-09-17 | Counting Triangles in Graph Streams with Repeatable and Forgettable Edges
[arXiv] 2026-09-17 | Form Over Content In Gradient-Based Data Attribution Methods
[arXiv] 2026-09-17 | State-Selective Floquet Memory in Degenerate Manifolds
[arXiv] 2026-09-17 | Self-Replicating Neural Cellular Automata: Quantifying Emergent Phenotypic and Genotypic Diversity in an OpenEnded Substrate
[arXiv] 2026-09-17 | High-frequency Multispeculative Multiply-Accumulation Unit for Fused Posit Arithmetic
[arXiv] 2026-09-17 | BA-TRACE: Boundary-Aware Trace Reconstruction for Scenario-Based Evaluation of Mixed AUTOSAR Adaptive and ROS 2 Vehicular Embedded Systems
[arXiv] 2026-09-17 | VAST: V2X/Dynamic Map-Aware Autonomous Driving Systems Validation Toolchain
[arXiv] 2026-09-17 | Time-Efficient Iterative Learning Planning for Safety-Critical Dynamic Obstacle Avoidance
[arXiv] 2026-09-17 | An Explicit Ordinal Bound for System T Dialogue Trees
[arXiv] 2026-09-17 | A stable self-shrinking Möbius bundle in $\mathbb R^4$
[arXiv] 2026-09-17 | A Unified Evaluation Framework for Trustworthy Large Language Models, Agentic AI, and Multimodal Systems
[arXiv] 2026-09-17 | Model-Agnostic and Language-Agnostic Voice Pipeline Improvement for the Agriculture Domain
[arXiv] 2026-09-17 | Switching graphs and designs
[arXiv] 2026-09-17 | Governance-as-Code: Translating EU AI Act Technical Requirements into Executable Compliance Pipelines for Generative AI Systems
[arXiv] 2026-09-17 | Relational Attention for Data-Efficient Language Modeling
[arXiv] 2026-09-17 | New Bethe vacua for $\mathcal{N}=2$ elliptic models
[arXiv] 2026-09-17 | Mermin-Peres magic rectangles modulo odd primes
[arXiv] 2026-09-17 | Daytime seeing variations in Paranal through a SHABAR system. Description of the method and first measurements from the PoET solar telescope
[arXiv] 2026-09-17 | A Smaller Transformer in Your Transformer
[arXiv] 2026-09-17 | Coherent and ultra-low-power EDSR with a flopping-mode spin qubit in germanium
[arXiv] 2026-09-17 | Sensitivity Calculus and its Numerical Implementation for Multi-D Hyperbolic Balance Laws
[arXiv] 2026-09-17 | Truncated automatic sparse differentiation for machine learning interatomic potentials
[arXiv] 2026-09-17 | Is higher-order physics different?
[arXiv] 2026-09-17 | Competing for a Finite Pool of Attention in Social Media? How a New Geopolitical Conflict Reshapes Engagement in Bluesky
[arXiv] 2026-09-17 | Topology optimization with buckling constraints: Adaptive eigenvalue aggregation and modality identification
[arXiv] 2026-09-17 | Global Minima of the Thomson Problem in a Disk: A Molecular Dynamics Approach with Fixed Border Charges
[arXiv] 2026-09-17 | First-principles theory of phonon renormalization from nonlinear electron-phonon interactions
[arXiv] 2026-09-17 | Design and characterization of large-size monolithic layers of 3D-segmented plastic scintillator
[arXiv] 2026-09-17 | Spatial Aggregation of ROC and Precision-Recall Curves
[arXiv] 2026-09-17 | Efficient Non-Uniform Quantum Hermite Transform through Adaptive Sampling
[arXiv] 2026-09-17 | Framingtopes
[arXiv] 2026-09-17 | Statistical delocalization in the Anyonic Aubry-André model
[arXiv] 2026-09-17 | The Last Picard Rank 1 Double-Mirror Calabi-Yau Pair?
[arXiv] 2026-09-17 | On the Extended Kerr-Newman-Bertotti-Robinson Spacetime: Two Black Holes and a Naked Singularity in Bertotti-Robinson Universe
[arXiv] 2026-09-17 | Space-time fractional stochastic Burgers-type equation
[arXiv] 2026-09-17 | FAMOS: Feed-Forward 3D Articulation Modeling from Sparse Observations
[arXiv] 2026-09-17 | FT-Weave: Real-Time Compilation Framework for Reconfigurable Fault-Tolerant Quantum Architectures
[arXiv] 2026-09-17 | Environmental Effects in Post-Minkowskian Dynamics: Effective Field Theory, Feynman Rules, and Ward Identities for Compact Objects in Relativistic Fluids
[arXiv] 2026-09-17 | Screening Out the Needy: The Effects of SNAP Work Requirements
[arXiv] 2026-09-17 | Scalable entanglement distribution using encoded hybrid repeater chains
[arXiv] 2026-09-17 | Superselection theory for 2D braided quantum spin systems via Connes fusion
[arXiv] 2026-09-17 | Cocompactness and Presentability
[arXiv] 2026-09-17 | The Three Gates: A Rooted-Operator Approach to Weil Positivity
[arXiv] 2026-09-17 | Range-compatible homomorphisms on Hermitian matrices
[arXiv] 2026-09-17 | Comparing theoretical descriptions of Drell-Yan angular coefficients
[arXiv] 2026-09-17 | Two-sided linear hashing and quadratic density bounds for smooth lattice coverings
[arXiv] 2026-09-17 | Unreported large errors from two PAMGuard three-dimensional localizers of whale calls
[arXiv] 2026-09-17 | STR-Agent: An LLM-Driven Agent for QoS-Aware Routing in LEO Satellite Networks
[arXiv] 2026-09-17 | A Mirror Vanishing Band for Weight Distributions of Binary Linear Codes
[arXiv] 2026-09-17 | Unitary Branching for $\mathfrak{sl}(m\vert n), \mathfrak{osp}(m\vert 2n)$ and $F(4)$
[arXiv] 2026-09-17 | RoboFind: Multi-Agent Personalized Object Search for People Who Are Blind or Have Low Vision
[arXiv] 2026-09-17 | Divergent Solid-state Conversion Pathways in Evaporated All-perovskite Tandem Solar Cells
[arXiv] 2026-09-17 | AgriScope: Pixel-Grounded Multimodal Understanding for Agricultural Images
[arXiv] 2026-09-17 | Unifying Image Quality Assessment Datasets: MOSAIQ-500K and MOSAIQ-Bench
[arXiv] 2026-09-17 | Quantum expanders and dimension-free commutator bounds
[arXiv] 2026-09-17 | Thermal Evolution of Lava Planets Across System Ages: Predictions for Hell of a Survey
[arXiv] 2026-09-17 | Exceptional points and Jordan-chain signatures in quantum first-passage statistics
[arXiv] 2026-09-17 | Designing Against Deskilling: Metacognitive Feedback Reduces Cognitive Offloading to LLM Assistants
[arXiv] 2026-09-17 | Reconstruction of Beam Transverse Parameters in the Fermilab Side-Coupled Linac Using a Normalized Coordinate Framework
[arXiv] 2026-09-17 | On an inverse boundary problem in elastodynamics
[arXiv] 2026-09-17 | Frequency Attraction and Repulsion in Lasers with Complex Mutual Coupling
[arXiv] 2026-09-17 | Scalable logical qubits
[arXiv] 2026-09-17 | Mitigating Retaliatory Algorithmic Collusion in Repeated Games
[arXiv] 2026-09-17 | Language-model groups overstate consensus when replaying human deliberation on a reasoning task
[arXiv] 2026-09-17 | An Analysis of Training-Free Self-Reported Confidence in Language Models
