[2026-07-24 23:02:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[arXiv] 2026-07-23 | Learning-based Seam Correspondence Reconstruction in Sewing Patterns
[arXiv] 2026-07-23 | Bound-Founded Semantics for Answer Set Programming with Difference Constraints: Preliminary Report
[arXiv] 2026-07-23 | What Bugs Do Prolog Students Write? An Empirical Taxonomy and Data-Driven Mutation Framework
[arXiv] 2026-07-23 | Safeguards for Speech2Speech LLM-Assistants: A Case Study in Automotive Applications
[arXiv] 2026-07-23 | An Operator-Algebraic Exposition of the Thirring-Wehrl Theory of the Quasi-Spin BCS Model
[arXiv] 2026-07-23 | Infrasound Newtonian Noise Estimation at the Einstein Telescope Candidate Site Sos Enattos
[arXiv] 2026-07-23 | V-DEAL: Diagnosing Video Safety De-Calibration as an Understanding-Refusal Coupling Failure
[arXiv] 2026-07-23 | Matrix-free phase-field modeling of fracture in micromechanical testing simulations of inelastic materials
[arXiv] 2026-07-23 | Some Integrability Properties of $m$-Subharmonic Functions
[arXiv] 2026-07-23 | DTIF: Robust Loop Closure Detection via Delaunay Triangle Topology in Complex Forests
[arXiv] 2026-07-23 | Safety and Security: Experimental Validation of Encrypted Model Predictive Control
[arXiv] 2026-07-23 | Bayesian optimization approach for tracking a moving target from far-field data in three dimensions
[arXiv] 2026-07-23 | Fast Inference on Astronomical Time Series with Trans-Dimensional Flow Matching Posterior Estimation
[arXiv] 2026-07-23 | Demographically-Informed Heat-Mortality Risk Curves via Risk Graph Neural Networks
[arXiv] 2026-07-23 | TF-MossFormer: Integrating Convolution Gated Local-Global Attentions for Enhanced Time-Frequency Domain Monaural Speech Separation
[arXiv] 2026-07-23 | EuroFlood: a Python library and queryable index for the CEMS satellite-derived flood-depth archive of Europe
[arXiv] 2026-07-23 | Causal-AgentIR: Self-Evolving Causal Memory for Adaptive Image Restoration Agents
[arXiv] 2026-07-23 | Exact ensemble controllability for neural differential equations via neural interpolation
[arXiv] 2026-07-23 | TOUR: A Trajectory-Level Unlearning Benchmark for Offline Reinforcement Learning
[arXiv] 2026-07-23 | One-point holographic correlator in the expanding universe
[arXiv] 2026-07-23 | Conditional probabilities in quantum-optical settings
[arXiv] 2026-07-23 | Tunnel magnetoresistance effect with a Cr-doped $\mathrm{RuO_{2}}(110)$ altermagnet
[arXiv] 2026-07-23 | Geo3R: Mitigating Spatial Reasoning Hallucination in Multimodal Large Language Models
[arXiv] 2026-07-23 | Automatic knot selection in smooth additive models
[arXiv] 2026-07-23 | C-PTQ: Fisher-weighted Channel-wise Sensitivity for Post-training Quantization of MLLMs
[arXiv] 2026-07-23 | Spectral Transformation for Layer-wise Global Rank Discovery in Federated LoRA for Vision Transformers
[arXiv] 2026-07-23 | Injective envelopes of partial C*-dynamical systems
[arXiv] 2026-07-23 | PrefReward: Learning User Preference Matrix for Personalized Text Generation
[arXiv] 2026-07-23 | The leading-soft cubic graviton self-interaction on the black-hole horizon
[arXiv] 2026-07-23 | GuidedAttention: Interpretable and Correctable Visual Attention for OOD-Robust Robot Manipulation via Imitation Learning
[arXiv] 2026-07-23 | From Resource Flow to Executable Tests: Petri-Net-Guided LLM Test Generation for Concurrent Stateful Rust APIs
[arXiv] 2026-07-23 | ElasticTTT: Prior-Preserving Test-Time Tuning for Video Editing
[arXiv] 2026-07-23 | Unified theory of classical and quantum semiparametric efficiency
[arXiv] 2026-07-23 | Same Dangerous Objective, Opposite Advice: Direct Exposure versus Multi-Agent Mediation
[arXiv] 2026-07-23 | Agentic Context Management: Solving Agent Memory and Cost by Treating Them as Lifecycle and Architecture Problems
[arXiv] 2026-07-23 | Compressed primitivity problem in free groups
[arXiv] 2026-07-23 | Artificial Epanorthosis: Why large language models overuse a classical rhetorical figure, and how to mitigate it
[arXiv] 2026-07-23 | An on-chip programmable mechano-quantum transducer
[arXiv] 2026-07-23 | Recurrent Sinusoidal INRs for Efficient High-Fidelity Representation
[arXiv] 2026-07-23 | CLUIE: Clustering-Aware Recurrent Propagation with Local Structural Compensation for Underwater Image Enhancement
[arXiv] 2026-07-23 | A lower bound on the growth rate of $(132,213)$-avoiding cyclic permutations
[arXiv] 2026-07-23 | KroQuant: Kronecker-Structured Block Transforms for Efficient Post-Training Quantization of Diffusion Transformers
[arXiv] 2026-07-23 | Agent-Guided Relational Concept Discovery: Toward Interpretable Surgical Margin Assessment
[arXiv] 2026-07-23 | Stochastic Quantization as Optimal Control
[arXiv] 2026-07-23 | Token Budget Saturation and Mechanistic Early Detection of Reasoning Non-Convergence in Chain-of-Thought Models
[arXiv] 2026-07-23 | Semantic-Aware Task Clustering for Constructive and Cooperative Multi-Tasking
[arXiv] 2026-07-23 | An Evaluation Framework for Structured Audio Captions Validated by Controlled Perturbations
[arXiv] 2026-07-23 | GLAM-SLAM: Real-time Gaussian Large-scale Mapping via Flow Densification and Spatial Decomposition
[arXiv] 2026-07-23 | Chip Floorplanning Combining Convex and Non-convex Optimization
[arXiv] 2026-07-23 | Anti-Periodic Positional Encoding: Möbius Boundary Conditions Make In-Context Retrieval Reliable
[arXiv] 2026-07-23 | Two-phase source and reaction coefficient Stefan type problems
[arXiv] 2026-07-23 | ASTRA-Net: Anatomy-Specific Transfer and Representation Alignment for Drug-Induced Sleep Endoscopy Segmentation
[arXiv] 2026-07-23 | Graph Neural Network Force Fields (GPTFF-mol) for Organic Molecules from Optimization Trajectories (OpenGEM26)
[arXiv] 2026-07-23 | Langmuir probe and infrared thermography measurements of wide and narrow heat flux profiles in the ST40 tokamak
[arXiv] 2026-07-23 | Floquet Reservoir Engineering for Remote Logical Entanglement
[arXiv] 2026-07-23 | Thermal pseudo-transitions in a frustrated spin-pseudospin sawtooth chain
[arXiv] 2026-07-23 | Toward Federated Cognitive Digital Twins over the Edge-to-Cloud Continuum
[arXiv] 2026-07-23 | Magnetohydrodynamical opening of dust traps in protoplanetary disks
[arXiv] 2026-07-23 | Embodied inquiry with AI as facilitator: an exploratory case study
[arXiv] 2026-07-23 | Multi-window trace connectivity in subcritical planar Brownian loop soups
[arXiv] 2026-07-23 | Lu's conjecture for minimal surfaces in codimension two
[arXiv] 2026-07-23 | Phonetic forced alignment for low-resource language varieties: Model training and evaluation on Chengdu Mandarin
[arXiv] 2026-07-23 | Post Completeness in Conditional Logic
[arXiv] 2026-07-23 | Empowering Rural Areas with Multi-radio Microwave Backhaul Supported by Digital Twin for 5G IAB-based FWA
[arXiv] 2026-07-23 | Expert Behavior Prior Reinforcement Learning
[arXiv] 2026-07-23 | Critical-exponent stratification and inverse realization on biregular trees
[arXiv] 2026-07-23 | Multi-Task Learning for Heterogeneous Prediction from Video Game State with Transfer Learning
[arXiv] 2026-07-23 | Device-Independent Self-Testing of the Three-Qubit CCZ Hypergraph State
[arXiv] 2026-07-23 | Electricity demand has not become more price-responsive despite ninety years of technological change
[arXiv] 2026-07-23 | Zipoy--Voorhees spacetime with Maxwell and dilaton fields: exact solution and equatorial geodesics
[arXiv] 2026-07-23 | 3D-Aware VLMs with Implicit and Explicit Geometries
[arXiv] 2026-07-23 | Unified Video Dense Prediction from Disjoint Data
[arXiv] 2026-07-23 | Expanding Flow Maps
[arXiv] 2026-07-23 | Self-Supervised Learning of Structured Dynamics from Videos
[arXiv] 2026-07-23 | Tight Hamilton Cycles in Linearly Quasirandom 3-Graphs
[arXiv] 2026-07-23 | Arithmetic progressions in a random set on a budget
[arXiv] 2026-07-23 | OpenForgeRL: Train Harness-native Agents in Any Environment
[arXiv] 2026-07-23 | SANA-Video 2.0: Hybrid Linear Attention with Attention Residuals for Efficient Video Generation
[arXiv] 2026-07-23 | Seeking Help in the Digital Age: A Cross-Platform Analysis of Online Support Systems for Technology-Facilitated Abuse Victims
[arXiv] 2026-07-23 | Towards Robust Iris Recognition Through Occlusion Identification and Conditional Diffusion-Based Reconstruction
[arXiv] 2026-07-23 | Sharp One-bubble Critical-Point Stability and Global Compactness for the Sobolev Trace Inequality
[arXiv] 2026-07-23 | The Ehrhart series of magic squares of order seven
[arXiv] 2026-07-23 | Relative Value Learning
[arXiv] 2026-07-23 | Atmosphere mitigation in CMB observations using multi-frequency time-domain component separation
[arXiv] 2026-07-23 | Toward Continuous Assurance for the Democratization of AI Agent Creation in Industry
[arXiv] 2026-07-23 | Lower bounds on the strength of the determinant
[arXiv] 2026-07-23 | Boundary Completion of Vacuum Persistence Probability
[arXiv] 2026-07-23 | A Needs Assessment for Measuring Geographic - Legislative Associations in the U.S. House of Representatives
[arXiv] 2026-07-23 | Certified Stochastic Control via Covariance Steering with Pick-to-Learn
[arXiv] 2026-07-23 | Naju: A Native Discrete State-Space Model with Independent Retention and Writing for Long-Sequence Memory
[arXiv] 2026-07-23 | Duality constrains optimal thresholds in quantum error correction
[arXiv] 2026-07-23 | Stochastic Potential Choices and Outcomes
[arXiv] 2026-07-23 | Where You Tap Matters: A Probe-and-Model Benchmark for Open-Set RF Fingerprinting
[arXiv] 2026-07-23 | Carroll fermions of arbitrary spin
[arXiv] 2026-07-23 | Photo-induced currents and short-term memory for reservoir computing in a ferroelectric semiconductor
[arXiv] 2026-07-23 | Exploring $α$- and $β$-decay-induced quenching of the $^{229}$Th nuclear-clock isomer in solid-state hosts
[arXiv] 2026-07-23 | HGeo-TopoMap: Boosting Topological Mapping with Hierarchical Geometric Priors
[arXiv] 2026-07-23 | When Persistency is not Exciting in Data-Driven Predictive Control
[arXiv] 2026-07-23 | A Comparative Evaluation of Embeddings and LLMs in a Greek Book Publisher Setting - The CUP Dataset
[arXiv] 2026-07-23 | BasketEvent: Understanding Who Did What and When in Basketball Videos
[arXiv] 2026-07-23 | Representation of the causal logic for the Dirac system and the electron
[arXiv] 2026-07-23 | HARMONI at ELT: optical design of the spectrograph sub-system
[arXiv] 2026-07-23 | Thermal Resummation for Very Strong First-order Phase Transitions
[arXiv] 2026-07-23 | Quantum index, Arnold-Rokhlin surfaces, and real enumerative geometry
[arXiv] 2026-07-23 | Tailoring optical Schrödinger cat states via orientation-dependent high-harmonic generation in $\rm{H}_2^+$
[arXiv] 2026-07-23 | Progressive Cramming: Reliable Token Compression and What It Reveals
[arXiv] 2026-07-23 | ICAE-Bench: Evaluating Coding Agents as Interactive Project Builders
[arXiv] 2026-07-23 | Walk-In Multi-Stage Patient Flow Scheduling: An ASP Model with DES-Based Evaluation
[arXiv] 2026-07-23 | Declarative Problem Solving in UAM Strategic Deconfliction
[arXiv] 2026-07-23 | Animation, Verification and Visualisation of Prolog Transition Systems with ProB
[arXiv] 2026-07-23 | Physics-Informed Deep Learning Model for Cross-Modality Super-Resolution in Fluorescence Microscopy
[arXiv] 2026-07-23 | Explaining Weather Bulletins via ILP
[arXiv] 2026-07-23 | Representative Sets in Propositional Abduction
[arXiv] 2026-07-23 | Out of Sight, Still in Mind: Token Compression for Omni-LLMs
[arXiv] 2026-07-23 | Mixed Hodge formality
[arXiv] 2026-07-23 | Automated Synthesis and Adversarial Validation of Executable Causal Research Pipelines
[arXiv] 2026-07-23 | Portfolio Optimization under Dynamic Rebalancing via Topological Data Analysis and News Sentiments
[arXiv] 2026-07-23 | MeV Electrophilic Axion-like Particles from Sun
[arXiv] 2026-07-23 | Agree on the Model, Verify the Inference: GKR Protocols for HND-Based Transformer Inference
[arXiv] 2026-07-23 | SafeStep: AI-powered Travel Assistance for Elderly People with Frailty or Dementia
[arXiv] 2026-07-23 | Toward Interpretable Speech Deepfake Detection using Artifact-Specific Experts and Calibrated Detection Scores
[arXiv] 2026-07-23 | Rigidity of weak solutions for anisotropic N-Laplacian equation with Neumann or Robin boundary condition
[arXiv] 2026-07-23 | Approximate Quantum State Preparation Through Proximal Policy Optimization
[arXiv] 2026-07-23 | The Second LoViF 2026 Challenge on Real-World All-in-One Image Restoration: Methods and Results
[arXiv] 2026-07-23 | RL-MACRO: A Cybernetic Closed-Loop Intelligence Framework for Multimodal Adaptive Robotic Craniotomy
[arXiv] 2026-07-23 | A stability-preserving polytopal discontinuous Galerkin method for the Fisher-Kolmogorov model with applications to neurodegenerative diseases
[arXiv] 2026-07-23 | Can Generative Recommendation Reach Cold Items? A Temporal Perspective on Semantic-ID Generation
[arXiv] 2026-07-23 | Smooth Neural Point Processes via B-Splines
[arXiv] 2026-07-23 | CASC: Causal Adversarial Subspace Clustering for Multivariate Spatiotemporal Data
[arXiv] 2026-07-23 | Improving Communication of Changes in Model-Based Engineering with Model-Independent Change Descriptions
[arXiv] 2026-07-23 | Maintenance Signals in AI-Assisted GitHub Repositories: Evidence from GenAI Adopters
[arXiv] 2026-07-23 | TransBiolab: A Real-World Multi-View Dataset of Cluttered Transparent Biomedical Objects
[arXiv] 2026-07-23 | Counterfactual Explainability Framework With CycleGAN And Counterfactual-Classifier Alignnment Score for Retinal Disease Classification
[arXiv] 2026-07-23 | Do Pathology Vision-Language Models Truly See Pathology?
[arXiv] 2026-07-23 | QuantiBias: Benchmarking Quantization-Induced Bias in LLMs
[arXiv] 2026-07-23 | Weak elastic energy of rectifiable curves in Riemannian surfaces
[arXiv] 2026-07-23 | Computations of $\tilde{A}_2$ Bruhat intervals via shadows
[arXiv] 2026-07-23 | Information criteria exploiting latent structure for model selection in Structural Equation Models
[arXiv] 2026-07-23 | Effect of free-stream turbulence on a moderate adverse pressure gradient turbulent boundary layer developing over an airfoil
[arXiv] 2026-07-23 | The exponents of $p$-groups of maximal class and their Schur multipliers
[arXiv] 2026-07-23 | GeoThreat: Transferable Targeted Adversarial Attacks on Large Vision-Language Models for Remote Sensing Image Interpretation
[arXiv] 2026-07-23 | Sources of Inequity and Fairness Risks inWellbeing Sensing
[arXiv] 2026-07-23 | Sequential Topological Superconductivity in a Square Lattice with Chiral Charge Density Waves
[arXiv] 2026-07-23 | Decay of Correlations for Partially Hyperbolic Skew-Products
[arXiv] 2026-07-23 | Transparent by Design, Usable in Practice? A Formative Usability Study of a Conversational Product Advisor
[arXiv] 2026-07-23 | A statistical-physics framework for translocation elastometry of deformable particles
[arXiv] 2026-07-23 | What, Where, and How: Disentangling the Roles of Task, Language, and Model in Code Model Representations
[arXiv] 2026-07-23 | Strong correlations and local self-energies from on-site ensembles
[arXiv] 2026-07-23 | Compact Latent Coordination for Autonomous Vehicles at Unsignalized Intersections
[arXiv] 2026-07-23 | A story about a tipsy kangaroo: Reversible jump MCMC for model selection in the analysis of gravitational-wave signals from the coalescence of compact objects
[arXiv] 2026-07-23 | Identification and Robust Inference for Multiple Treatment Effects with Possibly Invalid Instruments
[arXiv] 2026-07-23 | Pseudogap formation in the moderate correlated layered attractive Hubbard model
[arXiv] 2026-07-23 | Persistent Entropy Transform: An entropy-based descriptor for topological data analysis
[arXiv] 2026-07-23 | Thinkink: 2D Spatial Ink-native Interaction with LLMs
[arXiv] 2026-07-23 | Out-of-Distribution Detection in Wireless Multimodal Foundation Models for 6G ISAC
[arXiv] 2026-07-23 | Climate-resilient electric vehicle charging infrastructure for sustainable cities: An interpretable causal-ensemble framework for preventive maintenance and low-carbon mobility
[arXiv] 2026-07-23 | Exponentially enhanced two-mode multiboson entanglement via phase-modulated tunneling
[arXiv] 2026-07-23 | Decomposing a Multi-Scale Optimization Framework for Grid-Integrated Electrolysis using Aggregate-Informed Benders
[arXiv] 2026-07-23 | Evolution of viscous vortex filaments and soliton-type propagation
[arXiv] 2026-07-23 | Approximating committor functions: Objective functions and training data sampling
[arXiv] 2026-07-23 | Euclid-MCP: A Model Context Protocol Server for Deterministic Logical Reasoning via Prolog
[arXiv] 2026-07-23 | QSTAR: Quantum Selective Transfer with Adaptive Routing
[arXiv] 2026-07-23 | Themis Consensus Extension v1: MEV Mitigation by Randomized Delayed Execution and Intent-Hiding Transactions in Application-Specific Blockchains
[arXiv] 2026-07-23 | MemTools: A Unified Research Framework for Interoperable Agent Memory
[arXiv] 2026-07-23 | When Are Reasoning-Based Guardrails Not Efficient? ResponseGuard: A Fast Vision-Language Guard for Real-Time Moderation
[arXiv] 2026-07-23 | A Hard-Core Subshift Whose Sofic Mean Dimension Depends on the Sofic Approximation
[arXiv] 2026-07-23 | CRAFT: Exploring Wearable Creative AI on Smart Glasses for Fiction Writing in Real-World Contexts
[arXiv] 2026-07-23 | Word meaning co-determines vowel-inherent spectral change. A corpus-based investigation of conversational Mandarin
[arXiv] 2026-07-23 | Reachability in Directed Acyclic Graphs with Near-Linear Cut Queries
[arXiv] 2026-07-23 | Polaritons of inherently interacting molecules
[arXiv] 2026-07-23 | On Leray's Theoreme de Structure for a weak solution to the Navier-Stokes equations: an improvement of the result
[arXiv] 2026-07-23 | A Logic-based Temporal Cohort Discovery Engine: Algorithms, Indices, and Experimental Results on the National Sleep Research Resource
[arXiv] 2026-07-23 | Equivalence of Sofic $p$-Metric Mean Dimensions and a Tame-Metric Variational Formula
[arXiv] 2026-07-23 | Electromagnetic-Aware Fluid Antenna Array
[arXiv] 2026-07-23 | Local structure at the maximum and sharp persistence asymptotics of rough fractional Brownian motion
[arXiv] 2026-07-23 | 3D Uncertainty Quantification for the Photo-Acoustic Tomography
[arXiv] 2026-07-23 | Mean-to-Score Discrete Diffusion: Posterior-Mean Denoisers for Score Entropy
[arXiv] 2026-07-23 | Importance and Science Outcomes from the first XSPECT/XPoSat Workshop
[arXiv] 2026-07-23 | A free boundary problem driven by boundary distance in the coincidence set
[arXiv] 2026-07-23 | Gradient Concentration, Not Weight Saliency, Explains Representation-Level Class Unlearning
[arXiv] 2026-07-23 | Double screening in the training dynamics of variational physics-informed neural networks for heterogeneous coupled parabolic systems
[arXiv] 2026-07-23 | Perturbative quantum electrodynamics with generalized domain wall fermions
[arXiv] 2026-07-23 | M$^3$-Gen: Interpretable Multimodal Generation of Gene Expression Profiles Using Clinical and Imaging Data
[arXiv] 2026-07-23 | On the Legendrian invariant in knot lattice homology
[arXiv] 2026-07-23 | GRADRAG: Cross-Component Prompt Adaptation for Coordinated Multi-Agent RAG
[arXiv] 2026-07-23 | Cosmological initial data without periodic boundary conditions
[arXiv] 2026-07-23 | An unfitted boundary algebraic equation method with Calderón preconditioning for 2D Stokes flow in irregular geometry
[arXiv] 2026-07-23 | Reimagining the Augmented Reality Accessibility Ecosystem for Deaf Students: Service Provider Perspectives in Experiential Learning
[arXiv] 2026-07-23 | news-crawler-LM: A Small Long-Context Model For High-Quality News Crawling
[arXiv] 2026-07-23 | GroupVideo: Multi-Identity Customized Text-to-Video Generation
[arXiv] 2026-07-23 | HiMe: Real-Time Self-Hosted Personal Agent Platform for Health Insights with Wearable Devices
[arXiv] 2026-07-23 | ADABORD: a novel AdaBoost approach for ordinal classification
[arXiv] 2026-07-23 | Sparse Concept Channels in Frozen 3D CT Vision Encoders
[arXiv] 2026-07-23 | Distributed Model-Based Diffusion For Scalable Multi-Robot Trajectory Optimization
[arXiv] 2026-07-23 | LivePhys: Transforming Static Physics Problems into Interactive Simulations via a Scan-to-Play Framework
[arXiv] 2026-07-23 | Searching for initial state fluctuations in heavy ion collisions at FAIR energy using Principal Component Analysis
[arXiv] 2026-07-23 | Enhanced robustness of evolving systems with bipartite topology
[arXiv] 2026-07-23 | Enhanced abrupt autofocusing and depth-of-focus of circular Airy derivative beams via controlled asymmetry
[arXiv] 2026-07-23 | From a Word-Level Dictionary to Sentence-Level Semantics: Multilingual Grievance Labelling with Contextual Models
[arXiv] 2026-07-23 | Gaplessness indicator by topologically trivial twisting operators
[arXiv] 2026-07-23 | Observations of High Galactic Latitude Line and Continuum Emission (912 - 1600 Å) with New Horizons
[arXiv] 2026-07-23 | Interaction Dynamics Modeling and Predictive Control for Safe Steerable Catheter--Tissue Interaction
[arXiv] 2026-07-23 | Clustered Edge Intelligence: Beyond Just Convergence of Edge Computing and AI
[arXiv] 2026-07-23 | Closed formulas for energy functions on tensor squares of higher-level perfect crystals in classical affine types
[arXiv] 2026-07-23 | The Consensus Number of Untraceable Cryptocurrencies
[arXiv] 2026-07-23 | MagicMakeup: A Region-Controllable Diffusion Transformer for High-Fidelity Makeup-Transfer
[arXiv] 2026-07-23 | Scientific exploration, collaboration and labor division in the large language model era
[arXiv] 2026-07-23 | Random unitary circuits with constant spectral gap
[arXiv] 2026-07-23 | Gauge Auxiliary-Field Quantum Monte Carlo Method for Many-Fermion Systems
[arXiv] 2026-07-23 | RadioTrace: Transmitter-Aware Diffusion for Radio Map Estimation without Deployment-Time Fine-Tuning
[arXiv] 2026-07-23 | Learning to recover: Adaptive local branching with reinforcement learning for log-truck routing and scheduling under disruptions
[arXiv] 2026-07-23 | On the well-posedness of porous medium equations on general metric measure spaces
[arXiv] 2026-07-23 | DMG: A Scalable and Efficient Memory-Disaggregated Graph Processing System
[arXiv] 2026-07-23 | Generalized quadrangles with a point-primitive and line-primitive automorphism group with socle $\PSp_4(q)$
[arXiv] 2026-07-23 | Graviton-induced which-path decoherence in matter-wave interferometry
[arXiv] 2026-07-23 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation
[arXiv] 2026-07-23 | Upper bound for the first $p$-Steklov eigenvalue in $\mathbb{R}^n$
[arXiv] 2026-07-23 | Position Bias is Hidden Behind Ceiling Effects: A Permutation Diagnostic for LLM Benchmarks
[arXiv] 2026-07-23 | CSPF: A Constrained Shared-Private Fusion Method for Non-Verifiable Preference Evaluation
[arXiv] 2026-07-23 | Braid groups are not profinitely rigid
[arXiv] 2026-07-23 | Multilevel Graph Wavelet Compressed Sensing with Scale-Aware Neural Recovery
[arXiv] 2026-07-23 | Protected corners and a trichotomy for Han's conjecture
[arXiv] 2026-07-23 | How to Craft the Right Language AI Policy For Your Research Group (Some Assembly Required)
[arXiv] 2026-07-23 | Sonic Stage: Automatically Generating Interactive Spatial Soundscapes to Facilitate Dialogue Video Comprehension for Blind Viewers
[arXiv] 2026-07-23 | Prescribed extension spectra of mock automorphisms over finite fields
