[2026-02-14 09:19:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-13
正在获取论文...
[ACM] 2026-2-13 | Gender Differences in Class Participation in Online versus In-Person Core CS Courses
[IEEE] 2026-2-13 | MedSensePathway: A Hybrid Framework for Real-Time Diagnosis of Malarial Parasites using Medical Imaging
[IEEE] 2026-2-13 | Predicting the Progression of Diabetes Mellitus using Deep Neural Networks
[IEEE] 2026-2-13 | Deep Learning based Multi-Model Approach for Alzheimer’s Disease Prediction
[IEEE] 2026-2-13 | Multi-Agent Systems for Collaborative and Proactive Fraud Prevention in Distributed AI-Driven Financial Platforms
[IEEE] 2026-2-13 | Artificial Intelligence in Bone Cancer Detection: A Comprehensive Analysis of Imaging-based Approaches
[IEEE] 2026-2-13 | Automated Mental Health Assessment using Machine Learning
[IEEE] 2026-2-13 | Flexible Hexagon, an Approach to Utilize Distributed Module Voltages to Reduce Voltage-Time Area Errors of Multilevel Converters
[IEEE] 2026-2-13 | LPG Gas Level and Leakage Detection using AI Integration
[IEEE] 2026-2-13 | On Solutions to Discrete-Time Inverse Problems Via Sparse Superpositions of Decaying Shifted Heaviside Functions: A Hardy Space Approach
[IEEE] 2026-2-13 | LLM-Driven Adversarial Example Synthesis for Emerging Topic Rumor Detection on Social Media_supp1-3650830.pdf
[IEEE] 2026-2-13 | OpenCDA-MARL: A Unified Benchmarking Framework for Cooperative Autonomous Intersection Management With Multi-Agent Reinforcement Learning
[IEEE] 2026-2-13 | Sensor-Prompt Tuning: Aligning Time Series Foundational Models With Motion Sensors for Few-Shot Activity Recognition
[IEEE] 2026-2-13 | Optimal Impulsive Rendezvous Under Target Flyby Constraint Based on Primer Vector Theory
[ACM] 2026-2-13 | MOQ-n-Roll: Live Sports Watch Parties
[ACM] 2026-2-13 | Exploring Differences in Perceived Confidence Between Native and Transfer Computer Science Students
[ACM] 2026-2-13 | Designing AI-Resistant Assignments via Iterative Perturbation to Promote Interactive Learning
[ACM] 2026-2-13 | Exploring Trust in Human-LLM Feedback Systems: Observation of Student Behaviour in Software Engineering Education
[ACM] 2026-2-13 | AI-Augmented Instruction: Real-Time Misconception Detection
[ACM] 2026-2-13 | Using Containers to Prevent Generative AI Use in Lab Exams
[ACM] 2026-2-13 | An Implementation Evaluation of a Program Integrating Computational Thinking into Core High School Curriculum
[ACM] 2026-2-13 | Mapping Required Ethics Education in Computer Science: Insights from 100 U.S. Programs
[ACM] 2026-2-13 | Birds of a Feather Who'd Like to Share Software Together: Teaching Tools that Improve Efficiency and Outcomes
[IEEE] 2026-2-13 | A Two-timescale Resource Allocation Method Based on Deep Reinforcement Learning for 6G Networks
[IEEE] 2026-2-13 | ICECA 2025 Author Index
[IEEE] 2026-2-13 | DyGS-SLAM: Dynamic Object Segmentation and Multi-View Long-Term Gaussian Consistency for High-Fidelity SLAM
[IEEE] 2026-2-13 | Digital Predistortion Using Instantaneous Sample-Indexed Multiple Extended Magnitude-Selective Affine Functions for MIMO Transmitters With Crosstalk
[IEEE] 2026-2-13 | Performance Evaluation of LEO to HAP Communication under Wobbling, Pointing Error, and Hardware Impairments
[IEEE] 2026-2-13 | ASDTracker: Adaptively Sparse Detection with Attention-Guided Refinement for Efficient Multi-Object Tracking
[IEEE] 2026-2-13 | Theoretic Analysis on Deterministic Reliability of Finite Blocklength Massive MIMO Transmission
[IEEE] 2026-2-13 | Wide-Angle Tunable Metasurface Retroreflector by Loading Cylindrical Luneburg Lens
[IEEE] 2026-2-13 | Autoencoder-Based Analog Fountain Codes for Short Packet Communications
[IEEE] 2026-2-13 | Multifunctional Vanadium Dioxide–Stabilized Graphene–Graphite Metasurface for Terahertz Waves
[IEEE] 2026-2-13 | How Scale Breaks “Normalized Stress” and KL Divergence: Rethinking Quality Metrics_supp1-3657654.pdf
[IEEE] 2026-2-13 | Critical Current Measurement over full-width HTS Tapes under Flat-top Pulsed Magnetic Field up to 38.7 T
[IEEE] 2026-2-13 | Temperature Control for Cyber-Physical Thermal Systems over Wireless Networks: A Model-Assisted Deep Reinforcement Learning Approach
[IEEE] 2026-2-13 | Fine-Grained Model-Level Digital Twin Migration Method for Intelligent Transportation Systems
[IEEE] 2026-2-13 | Toward AI Autonomous Navigation for Mechanical Thrombectomy Using Hierarchical Modular Multi-Agent Reinforcement Learning (HM-MARL)
[IEEE] 2026-2-13 | Chess-Optimized Fuzzy-2DOF-PID Controller for Load Frequency Stabilization in Interconnected Multi-Area Renewable Grids
[IEEE] 2026-2-13 | Can LLMs Be Effective Sensor Processing Copilots?
[ACM] 2026-2-13 | Accelerating Data Chunking in Deduplication Systems using Vector Instructions
[ACM] 2026-2-13 | Leveraging Federated Self-Supervised Approach for Stress Recognition to Mitigate Label Leakage
[ACM] 2026-2-13 | Beyond the Sprint: Teaching Project Management as a Human Skill
[ACM] 2026-2-13 | Scaffolded Projects for the Social Good: Integrating Sustainable Service-Learning in Software Engineering
[IEEE] 2026-2-13 | Dataset Challenges and Design Principles for Effective Source Camera Identification in Digital Forensics
[IEEE] 2026-2-13 | Text-to-Image Generation using Generative Adversarial Networks: Bridging Language and Vision
[ACM] 2026-2-13 | Introduction to the Special Issue on Artificial Intelligence for Adaptive and Autonomous Cloud/Edge Computing Systems
[IEEE] 2026-2-13 | A Comprehensive Review of Fuzzy Expert Systems for Region Specific Crop Recommendation
[IEEE] 2026-2-13 | Digital Twin–Enabled Personalized Clinical Trials with Reliable and Explainable Data Pipelines using Organic Synthesis Model
[IEEE] 2026-2-13 | Masked Contrastive Pre-Training for Few-Shot Medical Image Classification
[IEEE] 2026-2-13 | Classification and Prediction of Property Taxes using Various Machine Learning Models
[IEEE] 2026-2-13 | Empowering Agriculture Products with QR Code Verification and Sentiment Analysis
[IEEE] 2026-2-13 | Real-Time Decision Optimization in Satellite-Ground Links using Edge Computing and Artificial Intelligence
[IEEE] 2026-2-13 | Reactive Power Capability of Grid-Connected High-Power Hydrogen Electrolyzers Fed by Current Source Rectifiers
[IEEE] 2026-2-13 | Intelligent Federated Cloud Scheduling with Transfer Learning and Hybrid Reinforcement-Meta-Heuristic Optimization
[IEEE] 2026-2-13 | Single-Stage AC/AC Converter for Solid-State Transformer (SST) Based on Modified DAB Topology
[IEEE] 2026-2-13 | Security and Protection in Modern Operating Systems: A Comprehensive Review
[IEEE] 2026-2-13 | A Comprehensive Study on Olympic Data Analysis for Predicting Performance Trends using Machine Learning Algorithm
[IEEE] 2026-2-13 | Electrical and Thermal Characterization of PCB-Embedded 650 V GaN Half-Bridges on AlN Substrates
[IEEE] 2026-2-13 | A Review on Load Balancing Framework for Efficient Resource Scheduling in Cloud-based Healthcare Systems
[IEEE] 2026-2-13 | Enhanced Current Balancing Between Parallel Si IGBTs and SiC MOSFET by Co-Switching in High-Power Inverters
[IEEE] 2026-2-13 | Smart Waste Segregation Bin
[IEEE] 2026-2-13 | Multi-Model Framework for Assessing Depression, Anxiety and Sleep Disorders
[IEEE] 2026-2-13 | AI and IoT Powered Smart Pillow for Early Detection and Management of Sleep Apnea
[IEEE] 2026-2-13 | Prediction of Mammogram Image Performance using ResNet and Random Forest-based Model
[IEEE] 2026-2-13 | NLP based Gesture Translation Recognition for Inclusive Communication
[ACM] 2026-2-13 | Enhancing Student Engagement and Learning in Database Programming Through Active Learning Strategies
[ACM] 2026-2-13 | The Cost of Catching Up: Investigating the Impact of Late Enrollment on Student Success in a CS0 Course
[ACM] 2026-2-13 | PlayFutures: Imagining Civic Futures with AI and Puppets
[ACM] 2026-2-13 | Learning as a Reviewer but not a Reviewee: Understanding Students' Perceptions of Peer Code Review
[ACM] 2026-2-13 | What do you Mean by 'Learn how to use AI!?'
[IEEE] 2026-2-13 | A Nonlinear MPC Framework for Loco-Manipulation of Quadrupedal Robots With Non-Negligible Manipulator Dynamics_supp1-3664229.mp4
[IEEE] 2026-2-13 | Closed-Loop Control of Steerable Balloon Endoscopes for Robot-Assisted Transcatheter Intracardiac Procedures
[IEEE] 2026-2-13 | SecureCA: Communication- and Round-Efficient Join and Group-By-Aggregation in Secure Database Services_supp1-3655006.pdf
[IEEE] 2026-2-13 | IMPRESS: Incomplete Human Motion Prediction via Motion Recovery and Structural-Semantic Fusion
[IEEE] 2026-2-13 | Sparse Antenna Array Synthesis Method for Higher Efficiency and Lower Cost via Adaptive Multipoint Mutation Genetic Algorithm
[IEEE] 2026-2-13 | Dual-Sensor-Based Active Protector for Nuclear EMP and Prompt Gamma-Ray Detection
[IEEE] 2026-2-13 | Nacelle-Mounted Doppler Lidar for Real-Time Wind Field Measurement and Wake Deficit Optimization in Wind Farms
[IEEE] 2026-2-13 | DAHNet: A Decomposition and Aggregation Hybrid Network for Hyperspectral Object Detection
[IEEE] 2026-2-13 | ICECA 2025 Cover Page
[IEEE] 2026-2-13 | SHAP-LM: Optimized Music Genre Classification via SHAP-Guided Feature Selection and Lightweight Modeling
[IEEE] 2026-2-13 | Advanced Assessment of Stroke in Retinal Fundus Imaging with Deep Multi-view Learning
[IEEE] 2026-2-13 | CMCRD: Cross-Modal Contrastive Representation Distillation for Emotion Recognition
[IEEE] 2026-2-13 | Weighted Sinogram Filtered Back Projection for Focused Beam Based X-ray Luminescence Computed Tomography
[IEEE] 2026-2-13 | A Resource Selection Model for Minimization of Disruptions in Public Fog Computing Environments
[ACM] 2026-2-13 | Leveraging a structured concurrency framework to implement MoQ support in a Web Video Player
[IEEE] 2026-2-13 | Graph-Based Machine Learning for Predictive Modeling in Complex Network Data
[IEEE] 2026-2-13 | A Machine Learning-Enhanced Management Information System for Predictive Human Resource Management
[IEEE] 2026-2-13 | A New Continually Growing Recursive Lean Instant Slope Constant Estimator for Online Measurement of Derivative and Actual Value of Oversampled Signals
[IEEE] 2026-2-13 | Real-Time Water Leak Detection and Management using AI-based Sensor Data Analysis
[IEEE] 2026-2-13 | Optimization of Ripple Carry Adder using Quantum Computing
[IEEE] 2026-2-13 | GDSTGCN-TCN and GDSTGCN-LSTM: A Comparative Study of Dynamic Generalized Spatio-Temporal GCNs with Temporal Modules for Urban Traffic Forecasting
[IEEE] 2026-2-13 | Intelligent Theft Detection: A Hybrid Deep Learning System for Supermarket Security
[IEEE] 2026-2-13 | Intelligent Document Query System using Retrieval-Augmented Generation (RAG)
[IEEE] 2026-2-13 | Thermally-Informed Neural Networks for Junction Temperature Estimation in SiC-Based Automotive Three-Phase Inverters
[IEEE] 2026-2-13 | Evaluation of Reconstruction Fidelity and Processing Speed in Compression of Prostate Cancer Images using Deep Learning
[IEEE] 2026-2-13 | Data-Driven LSTM Framework for Robust SoC Prediction in Battery Applications
[IEEE] 2026-2-13 | Advanced AI Models for Renewable Energy Integration in Power Distribution Networks
[IEEE] 2026-2-13 | Federated Learning and its Uses in Modern Medical Industry: Concepts and Challenges
[IEEE] 2026-2-13 | MAViT: A Hybrid Adversarial Vision Transformer for Secure and Robust Threat Detection in IoT-based Medical Systems
[IEEE] 2026-2-13 | Spatio-Graphical Vision Transformer Framework for fMRI-based Autism Spectrum Disorder Diagnosis
[IEEE] 2026-2-13 | Speech Enhancement using U-Net-based TF-Locoformer with Multi-Dilated Dense Blocks
[IEEE] 2026-2-13 | A Thorough Review of the JScript Technology to Perform Client-side Code Execution Attacks
[IEEE] 2026-2-13 | A Comprehensive Review of Bias and Fairness in Artificial Intelligence for Oral Cancer Detection
[IEEE] 2026-2-13 | Deep Learning-based Image Analysis in Skin Cancer: A Review of Methods and Trends
[IEEE] 2026-2-13 | NearLink Layer 2 Protocol Adaptation Solution for Industrial Wireless Control
[IEEE] 2026-2-13 | An image information encryption method for power scenarios based on optical transmission equipment
[IEEE] 2026-2-13 | High Performance Multimodal MRI and CT Scan-based Deep Learning Model for Brain Tumor Identification
[IEEE] 2026-2-13 | Prescriptive Analytics for Dynamic Pricing and Automated Load Balancing in a Decentralized Smart Grid
[IEEE] 2026-2-13 | Automated Multi-Stage Deep Learning Framework for Product Image Enhancement in E-Commerce Applications
[IEEE] 2026-2-13 | Revisit Fast Event Matching-Routing for High Volume Subscriptions
[IEEE] 2026-2-13 | Edge Server Load Balancing using Steerable Free Space Optics for Partial Mesh Optical Access Networks
[IEEE] 2026-2-13 | Distributed Large-Signal Stability Analysis and Stabilization for DC Microgrid Clusters
[IEEE] 2026-2-13 | Privacy-Preserving Predefined-Time Secondary Control for Networked Microgrid With CPLs: An Auxiliary Variable Encryption Approach
[IEEE] 2026-2-13 | WCNIoT 2025 Content Announcement Page
[IEEE] 2026-2-13 | Performance, Evaluation and Optimization of an Open-Source Datalogger for High-Mountain Environmental Monitoring
[IEEE] 2026-2-13 | Stabilization of stochastic complex network switched systems under event-triggered switching controls
[IEEE] 2026-2-13 | Image-Based Dual Defense Strategy for Adversarially Robust IDS in Smart Agriculture
[IEEE] 2026-2-13 | Few-Shot Network Thinning: A Unified Dense Compression Framework for CNNs and ViTs
[ACM] 2026-2-13 | Scaffolding Research and Professional Skills in Graduate Computer Science Education: A Milestone-Based Approach
[ACM] 2026-2-13 | Interactive Tools for Middle School Students AI Literacy
[ACM] 2026-2-13 | Bridging the Experience Gap: An Informed Self-Placement Approach to Introductory Programming
[ACM] 2026-2-13 | Responsible AI Use in Computer Science Education Research
[ACM] 2026-2-13 | Envisioning the Algorithms 'Textbook' of the Future
[ACM] 2026-2-13 | Feedback Engagement and Analysis in Assessments (FEAST) in Computing Education
[ACM] 2026-2-13 | A Handshake, not a Hug: Our Approach to AI in a CS1 Course
[ACM] 2026-2-13 | Culturally Responsive Computer Science and Social Studies Integration in Middle School
[ACM] 2026-2-13 | Knowledge Component-Driven Alignment of CS1 Textbooks and Exercises
[ACM] 2026-2-13 | Rehearsals: Digital Simulations for ACM Code of Ethics Learning in Undergraduate CS Education
[ACM] 2026-2-13 | A Lightweight, Privacy-Preserving Platform for Integrating LLMs in CS Coursework
[ACM] 2026-2-13 | What Skills do Students Need to Use Programming Environments?
[ACM] 2026-2-13 | A Sustainable Service-Learning Outreach Model for Broadening Participation in Computing
[ACM] 2026-2-13 | Learning-Centered Intelligent Tutor for Novice Java Programmers
[ACM] 2026-2-13 | Integrating Real-World Cybersecurity Case Studies into Undergraduate CS Education
[ACM] 2026-2-13 | Late Test Takers Do Worse On Exams
[ACM] 2026-2-13 | Manipulatives and Unplugged Activities for Increasing Engagement in Data Structures Courses
[ACM] 2026-2-13 | CodeFlow: LLM-Generated Flowchart Feedback for Programming Students
[ACM] 2026-2-13 | Evaluating LLaMA LLMs and Prompt Engineering for Educational Applications
[ACM] 2026-2-13 | Performance and Start-Time Trends in Asynchronous Computer-Based Assessments
[ACM] 2026-2-13 | Pedagogical Ethos: How Beliefs and Attitudes Shape Instruction
[ACM] 2026-2-13 | Fine-Tuning Open-Source Models as a Viable Alternative to Proprietary LLMs for Explaining Compiler Messages
[ACM] 2026-2-13 | All Scripture is Useful for Teaching: CS Education through a Christian Worldview
[ACM] 2026-2-13 | SeGDP: Source-free Cross-domain Few-shot Learning via Semantic Guided Diversity Prompting
[IEEE] 2026-2-13 | Analysis of Blockchain-Integrated Access Control Models in Distributed Cloud Environments
[IEEE] 2026-2-13 | Edge Intelligence for Real-Time Image and Audio Processing in IoT Environments
[IEEE] 2026-2-13 | Waveform Design Optimization for Integrated Sensing and Communication in 6G Networks using Modified OFDM
[IEEE] 2026-2-13 | Design of a Low-Profile Dual-Band Flexible Omnidirectional Microstrip Antenna with Star-Shaped Slot for WBAN Applications
[IEEE] 2026-2-13 | Spatiotemporal Deep Learning for Forecasting Regional Sea-Level Rise using Annual Temperature Trends
[IEEE] 2026-2-13 | AI based Intrusion Detection for 5G Networks
[IEEE] 2026-2-13 | Enhancing Cybersecurity using Deep Learning for Real-Time Threat Detection and Response
[IEEE] 2026-2-13 | Research on the Application of Intelligent Network based Remote Online Monitoring System for New Energy Vehicles
[IEEE] 2026-2-13 | Deep Learning for Robust Audio Fingerprinting to Enhance Music Retrieval and Recognition
[IEEE] 2026-2-13 | Fruit Detection and Yield Estimation using Path Aggregation Feature Pyramid Network and Deep SORT Algorithm: A Case Study on Orange Fruit
[IEEE] 2026-2-13 | Hybrid Power Optimization of Multi-Bit Flip-Flops with Clock Gating and Pulse Width Modulation
[IEEE] 2026-2-13 | Enhancing Article Summarization using Abstractive Meta Learning
[IEEE] 2026-2-13 | Electricity Generation From Vehicle Engine Heat using Thermoelectric Generators
[IEEE] 2026-2-13 | AI-Driven Solutions for Predictive Aircraft Maintenance using Sensor Data
[IEEE] 2026-2-13 | AI-Powered Alzheimer’s Classification: A Novel Hybrid Model with Grad-CAM Interpretability
[IEEE] 2026-2-13 | Real-Time Multimodal Driver Drowsiness Detection using CNN, ViT, and rPPG
[IEEE] 2026-2-13 | Comparative Analysis of Duty Cycle and Dual Phase Shift Control for CC/CV Wireless Charging in EVs Employing an Asymmetric Magnetic Coupler
[IEEE] 2026-2-13 | Analysis of the Impact of Supercapacitors in Advanced Electric Vehicles
[IEEE] 2026-2-13 | Hybrid Metaheuristic Optimization and Graph-based Task Scheduling for Resource-Efficient Edge Computing
[ACM] 2026-2-13 | Praxis Prep: Supporting Secondary Career &amp; Technical Education Teachers Pursuing CS Licensure
[ACM] 2026-2-13 | Modernizing the Introductory Computing Sequence: Integrating Parallel and Distributed Computing in CS1 and CS2
[ACM] 2026-2-13 | Why Learn This? Visualizing Pathways Between CS Courses and Careers to Engage Students
[ACM] 2026-2-13 | Translating Smart Content for Learning Python through Human-AI Collaboration
[ACM] 2026-2-13 | CS Student Perspectives: A Qualitative Look at Student-Centered Classroom Practices in Small and Large Classrooms
[ACM] 2026-2-13 | Applying Universal Design for Learning to Undergraduate Computer Science Education
[ACM] 2026-2-13 | Evaluating Machine Learning Algorithms for Student Performance Prediction in Real-Time Learning Analytics Dashboards
[ACM] 2026-2-13 | Teaching Students to Navigate Intellectual Property Ethics in AI-Assisted Development
[ACM] 2026-2-13 | Toward Equitable Collaboration in Elementary CS Education: Teacher Perspectives on Programming Models
[ACM] 2026-2-13 | Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.2
[ACM] 2026-2-13 | Edison 3.0: A Multimodal RAG System for Large-Scale Educational Q&amp;A with Human-in-the-Loop Oversight
[ACM] 2026-2-13 | Integrating Computer Science into Classrooms: A Professional Development Initiative for Rural Educators
[ACM] 2026-2-13 | Towards a Computer Science Topics Ontology
[ACM] 2026-2-13 | Impacts of Adding Ethics Modules to Individual Computing Courses
[ACM] 2026-2-13 | Diagnosing Students' Understanding of Objects and Classes in OOP
[IEEE] 2026-2-13 | Attention-Based Neural-Augmented Kalman Filter for Legged Robot State Estimation_supp1-3664311.mp4
[IEEE] 2026-2-13 | Experimental Demonstration of a DC Excited Coreless Planar PCB Coil Actuator Targeted for Lateral Micro-actuation in MEMS
[IEEE] 2026-2-13 | Psychophysically-Guided Training for Fingerprint Presentation Attack Detection
[IEEE] 2026-2-13 | Explaining Robust Quantum Metrology by Counting Codewords
[IEEE] 2026-2-13 | TrapFlow: Controllable Website Fingerprinting Defense via Dynamic Backdoor Learning_supp1-3663989.pdf
[IEEE] 2026-2-13 | Adaptive V-I Fusion SLAM: Multi-Constraint Optimization for Illumination Robust Localization
[IEEE] 2026-2-13 | A Scoping Review of Machine Learning Approaches for Predicting Lower Extremity Joint Contact Loads: Current Trends, Common Pitfalls and Future Directions
[IEEE] 2026-2-13 | Optimal Client Sampling in Federated Learning with Client-level Heterogeneous Differential Privacy_supp1-3661913.pdf
[IEEE] 2026-2-13 | Adaptive Lipschitz Constant Learning for PPG Signal Denoising: A Data-Driven Regularization Approach
[IEEE] 2026-2-13 | Practical Methods for Distance-Adaptive Continuous-Variable Quantum Key Distribution
[IEEE] 2026-2-13 | Optical Image-Assisted Zero-Shot Learning for Unknown Target Recognition in SAR Images_supp1-3657908.pdf
[IEEE] 2026-2-13 | Integral Reinforcement Learning-Based Tracking Control for Nonlinear Markov Jump Systems With Unknown Dynamics
[ACM] 2026-2-13 | Implementing Lower Latency, Fast Startup and Switching for low-latency low-delay (L3D) DASH
[ACM] 2026-2-13 | An Instructor Dashboard to Support Mastery Learning
[ACM] 2026-2-13 | Assessing the Effectiveness of Selective Marketing to Broaden Participation in CS Education
[IEEE] 2026-2-13 | MDCDNet: A Frequency-Spatial Dual-Domain Collaborative Image Deraining Network
[IEEE] 2026-2-13 | Vertically-Excited High-Order Guided Shear Vertical Surface Acoustic Wave Resonators for 5G and Beyond
[IEEE] 2026-2-13 | Manipulating Static Characteristics of Reverse Blocking IGCTs via Local Lifetime Control
[IEEE] 2026-2-13 | IV Drip and Flow Level Monitoring System
[IEEE] 2026-2-13 | A Thermally Insulating Cryogenic Medium-Frequency Transformer for use in a Cryogenic GaN Dual Active Bridge
[IEEE] 2026-2-13 | A Lightweight and Scalable Blockchain Authentication Scheme for IoT Mesh Environments
[IEEE] 2026-2-13 | Smart Waste Management: A CNN-based Approach for Automated Plastic and Material Classification
[IEEE] 2026-2-13 | Evolutionary Computing-Driven Evapotranspiration Modeling for Precision Irrigation Scheduling
[IEEE] 2026-2-13 | ML – Powered Malware Traffic Detector
[IEEE] 2026-2-13 | YOLOv5-based Intelligent Traffic Control for Density and Emergencies
[IEEE] 2026-2-13 | Sentiment Analysis of IMDB Movie Reviews using LSTM and BERT
[IEEE] 2026-2-13 | AI-Powered Real-Time Road Condition Monitoring System and Alert System
[IEEE] 2026-2-13 | Artificial Intelligence-Enhanced Adaptive Taylor Series Methods for Robust and Tunable Numerical Integration and Differentiation
[IEEE] 2026-2-13 | Time-Responsive Deep Learning for Multimodal Survival Prediction in ATRT
[IEEE] 2026-2-13 | Deepfake Detection in the Era of AI: Insights into Detection Performance and Model Interpretability
[IEEE] 2026-2-13 | AI Powered Autonomous Network Security
[IEEE] 2026-2-13 | Adaptive and Explainable Deep Learning for Automated Retinal Disease Diagnosis Using OCT Images
[IEEE] 2026-2-13 | Privacy-Preserving Donor Matching for Bone Marrow Transplant
[IEEE] 2026-2-13 | Operational Analysis and Control of a Multi-Port Solid-State Transformer with Integrated Batteries
[IEEE] 2026-2-13 | AI-Powered Video Summarizer And Knowledge Assistant
[ACM] 2026-2-13 | Repetition Meets Context: Teaching CS1 Through Two Scientific Domains
[ACM] 2026-2-13 | CS1 Instructor Tools for Actionable and Informed Interventions
[ACM] 2026-2-13 | CNPE: A Framework of
                    <u>C</u>
                    hallenges &amp;
                    <u>N</u>
                    eeds in
                    <u>P</u>
                    roof
                    <u>E</u>
                    ducation
[ACM] 2026-2-13 | Exploring LLMs for Generating Erroneous Examples in CS1
[ACM] 2026-2-13 | Teaching Middle School Learners AI Hallucinations Through Chatbot Design
[ACM] 2026-2-13 | Turning Insight into Action: Evaluating Targeted Interventions for a Software Engineering Course Informed by Student Reflections
[ACM] 2026-2-13 | Navigating Computing Careers: TikTok's Potential Role as an Informal Resource
[ACM] 2026-2-13 | Strategies for Implementing Challenge-Based Learning in Short Courses: Developing Professional Skills Through Challenges
[ACM] 2026-2-13 | Automated Assessment Tools: Feedback to and from Students
[ACM] 2026-2-13 | Modeling Ethical Technology Use with Generative AI
[ACM] 2026-2-13 | Theory Is Cool But So Are Microcontrollers: Computer Science Student Reactions to Arduino TinyML
[ACM] 2026-2-13 | Teacher Capacity as a Catalyst: Examining a Research-Practice Partnership's Impact
[IEEE] 2026-2-13 | Efficient Sensor Utilization and Advanced Elastogram Image Generation Methods in Ultrasound Imaging
[IEEE] 2026-2-13 | FedHRA: A Joint Optimization Framework for Fast Convergent Decentralized Federated Learning in LEO Satellite Networks
[IEEE] 2026-2-13 | Phase Robustness Analysis for Structured Perturbations in MIMO LTI Systems
[IEEE] 2026-2-13 | IEEE Microwave and Wireless Technology Letters Information for Authors
[IEEE] 2026-2-13 | IEEE Control Systems Society Information
[IEEE] 2026-2-13 | Effects of low-intensity transcranial ultrasound stimulation on cortical functional network connections and epileptic seizures in a mouse model of epilepsy
[IEEE] 2026-2-13 | Measurement and Analysis of Multistate Ferroelectric Transistors in 28 nm CMOS Process
[IEEE] 2026-2-13 | SMA-EL:a Minimal 1-cycle Construction Algorithm with Simplicial Maps Annotation and Edge Loss for Emotional Brain Networks Analysis_supp1-3664093.pdf
[IEEE] 2026-2-13 | Stabilizing Multi-Task Latent Spaces: Recursive Refinement with Coordinators in Partially Labeled Learning
[IEEE] 2026-2-13 | Discontinuous Space Vector Modulation Strategy for Three-Phase Series-End Winding PMSM
[IEEE] 2026-2-13 | Edge Harmony Attention Network for Semi-Supervised Medical Image Segmentation
[IEEE] 2026-2-13 | Multimodal Fusion-Based Channel Prediction and Characterization for mmWave UAV A2G Communications
[IEEE] 2026-2-13 | Secure Mobile Edge Generation (MEG): Privacy Preservation in the Presence of Eavesdroppers
