[2026-08-12 22:40:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-11
正在获取论文...
[arXiv] 2026-08-11 | Stay or Stray - A Dynamical Systems Viewpoint of Popularity Bias
[arXiv] 2026-08-11 | Revealing time characteristics of optical excitations in dielectric and plasmonic structures through cathodoluminescence interferometry
[arXiv] 2026-08-11 | TCAM for Autonomous Deformable Manipulation: The RMC2 Champion System for WBCD 2026 Track 4
[arXiv] 2026-08-11 | LLM Ensemble Fault Classification for Automotive HiL Validation
[arXiv] 2026-08-11 | Self-Geometry: GT-Free and Plug-and-Play Test-Time Adaptation for Geometrically Consistent 3D Vision Foundation Models
[arXiv] 2026-08-11 | Deciding When to Rely on Visual Information: Gated Multimodal Fusion in Sequential Recommendation
[arXiv] 2026-08-11 | Optimize Cheap, Deploy Strong: Cost-Aware Cross-Tier Transfer for Evolutionary Optimization
[arXiv] 2026-08-11 | SPIEval: Evaluating Large Language Models as Mobile Assistants over Scattered Personal Information
[arXiv] 2026-08-11 | The Signal Rail: A Deterministic Motion Grammar for Communicating Conversational Agent State in Terminal Interfaces
[arXiv] 2026-08-11 | Leveraging Human Reading Behavior for Keyphrase Extraction: A Webcam-based Eye-tracking Corpus
[arXiv] 2026-08-11 | Embedding Rotation Invariance for Provable Multi-Oriented Scene Text Recognition
[arXiv] 2026-08-11 | $\mathrm{Mot}^{\mathrm{loc}}$ is not compactly generated
[arXiv] 2026-08-11 | ENTLORE: A Graph-Grounded Benchmark for Latent Organizational Reasoning in Enterprise Question Answering
[arXiv] 2026-08-11 | Quantum Computing for Industrial Electromagnetics: Applicability and Case Studies in Solving Maxwell's Equations
[arXiv] 2026-08-11 | VERDICT: Training-Free Step-Wise Verification of Multimodal Reasoning via Disagreement-Aware Consensus
[arXiv] 2026-08-11 | Reifying Research Logic: AI-Assisted Workflow Construction and Incremental Refinement for Quantitative Syntax
[arXiv] 2026-08-11 | DINO-A: Adapting Self-Distillation Vision Transformers to General Audio Representation Learning
[arXiv] 2026-08-11 | PolypVision: A Three-Stage Hierarchical Deep Learning Framework for Classification and Segmentation of Colorectal Polyps
[arXiv] 2026-08-11 | IADD-TR: Intervention-Aware Dynamics Decoupling with Targeted Regularization for Model-Based Reinforcement Learning
[arXiv] 2026-08-11 | InSight-doc: Agentic Visual Perception for Long-Document Understanding
[arXiv] 2026-08-11 | Decomposition-Induced Context-Memory Conflict: When Fact-Checking Pipelines Contradict Their Own Source Text
[arXiv] 2026-08-11 | Probabilistic forecasting via post-processing prediction errors: In- or out-of-sample?
[arXiv] 2026-08-11 | Pair-Centric Graph Rewiring for Over-Squashing via Optimal Transport-Guided Communication Alignment
[arXiv] 2026-08-11 | Indefinite Stochastic Linear-Quadratic Optimal Control Problem for a Markov Regime-Switching Model
[arXiv] 2026-08-11 | $π$-SUB: A Physics-Informed Synthetic Underwater Benchmark Dataset for Underwater Image Enhancement
[arXiv] 2026-08-11 | Enhanced Screening in Epitaxial Graphene via Nearly Free-Electron Metal Intercalation
[arXiv] 2026-08-11 | Stream Decoding with Confidence Scores at Room and Cryogenic Temperatures
[arXiv] 2026-08-11 | Carrier-tunable RKKY magnetism in a crystalline magnet
[arXiv] 2026-08-11 | Beyond Dry References: Learning Relative Audio Effects Representations via Contrastive Distance Learning
[arXiv] 2026-08-11 | How many labels can a biological oscillator carry? A quality-factor screen for proposed information carriers
[arXiv] 2026-08-11 | Development and Characterization of a Microwave Atmospheric Pressure Plasma Jet
[arXiv] 2026-08-11 | Correspondence between Mean Curvature Flow and Harmonic-Ricci Flow
[arXiv] 2026-08-11 | Multi Interests for Joint Search-Recommendation Modeling
[arXiv] 2026-08-11 | Tunable Memory Effect in Dissipative Strongly Correlated Quantum Systems
[arXiv] 2026-08-11 | Rethinking Text-Based Image Retrieval in Specific Domain
[arXiv] 2026-08-11 | CARB: A Characterization-Guided Framework for CNN Inference Cost Prediction and Deployment Screening
[arXiv] 2026-08-11 | SapiensID 2.0: Aligning Human Recognition Foundation Models with Human Perception
[arXiv] 2026-08-11 | Bayesian inference on beta diversity via feature allocation models with imperfect detection
[arXiv] 2026-08-11 | A reaction-diffusion system with nonconstant diffusion coefficients: exact and numerical solutions
[arXiv] 2026-08-11 | Eigenvalue growth of the discrete Hodge Laplacian across dimensions
[arXiv] 2026-08-11 | Matchings via Random Greedy Independent Set: A Simpler Algorithm and Analysis
[arXiv] 2026-08-11 | Hierarchical Empirical-Bayes Naive Bayes: Minimax Smoothing and Calibration with AODE Extension
[arXiv] 2026-08-11 | Mediatised Participation: Citizen Journalism and the Decline in User-Generated Content in Online News Media
[arXiv] 2026-08-11 | PRMU: A Corpus-Free Benchmark for Person-Centric Knowledge Unlearning in Multimodal Large Language Models
[arXiv] 2026-08-11 | Tunable chiral anomaly in electron magnetotransport in the Weyl semimetallic Pb$_{1-x}$Sn$_x$Te:Cr alloy
[arXiv] 2026-08-11 | Is There Really a Camouflaged Object? Towards Realistic Camouflaged Object Detection
[arXiv] 2026-08-11 | Moment of Inertia of an Interacting Bose Gas
[arXiv] 2026-08-11 | Sharp Beckner's Inequalities for Axially Symmetric Functions on $\mathbb{S}^N$
[arXiv] 2026-08-11 | Generative AI use in Statistical Research: A Literature Review and Code Generation Case Study
[arXiv] 2026-08-11 | How different is rational approximation from piecewise polynomial approximation?
[arXiv] 2026-08-11 | All You Need is not $Ω_\mathrm{gw}$: Beyond the Mean of the Cross-Correlation Estimator when Searching for an Astrophysical Gravitational-Wave Background
[arXiv] 2026-08-11 | The Cartesian product of any family of $W$-spaces is $κ$-Fréchet-Urysohn
[arXiv] 2026-08-11 | WildFireGS: Physics-Based Wildfire Simulation in Large-Scale Semantics-Enriched Gaussian Splatting Forest Scenes
[arXiv] 2026-08-11 | On the weak operator Daugavet property and poor subspaces
[arXiv] 2026-08-11 | Tomter's example revisited
[arXiv] 2026-08-11 | Intense but Harmless: Exo-Space Weather Around an M Dwarf with a Single-Hemisphere Dynamo
[arXiv] 2026-08-11 | Assessing fidelity-limiting factors and achieving single-qubit gate fidelity beyond 99.999% in driven silicon spin qubits
[arXiv] 2026-08-11 | Scaling Laws for Majority-based Opinion Dynamics in the Presence of Stubborn Agents
[arXiv] 2026-08-11 | Quantum Coordination Advantages in AI State-Tracking Tasks: Semantic Compilation and Latent Memory
[arXiv] 2026-08-11 | Accelerated Discovery of Materials with Extreme Work Functions through Uncertainty-Aware Multi-Fidelity Screening
[arXiv] 2026-08-11 | TEAMMix: Taxonomy Enrichment Augmentation and Minority-augmented Mixing Strategy for LLM-enhanced Weak-Supervised Hierarchical Text Classification
[arXiv] 2026-08-11 | Multi-Channel Di-Higgs Production in the scNMSSM: From Exotic 8b to Boosted 8tau Signatures at the HL-LHC
[arXiv] 2026-08-11 | myMediWhisper: Construction of Burmese Medical Speech Corpus and Whisper Fine-Tuning for Clinical Dialogue ASR
[arXiv] 2026-08-11 | Particle Identification at Future Colliders
[arXiv] 2026-08-11 | Mapping and Measuring the Behavioral Evolution of Large Language Models
[arXiv] 2026-08-11 | Derivative Computation in PINNs: Automatic Differentiation, Finite Differences and Beyond
[arXiv] 2026-08-11 | Sona Technical Report
[arXiv] 2026-08-11 | A Spectral-Domain Pseudo-Inverse Method for True 3D Gravity Inversion
[arXiv] 2026-08-11 | Plasmonic Fourier Surfaces Revisited: Relating Bandgaps with Bound States in the Continuum
[arXiv] 2026-08-11 | An efficient and robust fifth-order HWENO scheme with gradient reconstruction for compressible Navier--Stokes equations
[arXiv] 2026-08-11 | ConVAWG: A Retrieval-Grounded Framework for Controlled Synthetic Dialogue Generation in Violence Against Women and Girls
[arXiv] 2026-08-11 | Statistically-Secure Bit Commitment and Coin Flipping Protocols Based on Quantum Hardware Assumptions
[arXiv] 2026-08-11 | Microscopic derivation of a field equation for active Brownian particles
[arXiv] 2026-08-11 | Equationless quadratic Chabauty for non-split Cartan modular curves
[arXiv] 2026-08-11 | Expert-Guided g-computation with Large Language Models for Estimating Causal Effects on Timings: Applications to Hospital Quality Improvement
[arXiv] 2026-08-11 | Hierarchical Compositionality for An Assistive AI Agent
[arXiv] 2026-08-11 | How to Verify Consistency of Probabilistic Claims
[arXiv] 2026-08-11 | High-dimensional Supermode Photonics Enabled by Hierarchical Supersymmetric Transformation
[arXiv] 2026-08-11 | Hopf-like bifurcations induced by hysteresis and time-delay near monodromic tangential singularities
[arXiv] 2026-08-11 | Most biomedical publications show signs of LLM-assisted writing
[arXiv] 2026-08-11 | Benchmark measurements of absolute frequencies and collisional line-shape parameters in the CO-Ar system using comb-based FTS
[arXiv] 2026-08-11 | Future perspective of muons; a quantum particle measuring quantum processes
[arXiv] 2026-08-11 | Mixed Choice Multiparty Session Types, Precisely
[arXiv] 2026-08-11 | Asymptotic stability of the degree-one vortex in the abelian Yang-Mills-Higgs model: Spectral Theory and Numerics
[arXiv] 2026-08-11 | Generalised higher order vectorial $\infty$-eigenvalue problems
[arXiv] 2026-08-11 | Adaptive Matrix Multiplication for Dynamic Shapes on Ascend NPUs
[arXiv] 2026-08-11 | Integral inequalities for $α$-convolutions of $α$-concave functions
[arXiv] 2026-08-11 | Exploring the long-term temporal variability in polarization through multi-epoch optical spectro-polarimetry - Part I: A sample of Herbig Ae/Be and classical Be stars
[arXiv] 2026-08-11 | A Lightweight Fault-Detection Scheme for Barrett Modular Multiplication Using Multiple Conditional Reduction Paths
[arXiv] 2026-08-11 | Multi-scale modeling of high strain rate deformation and spall fracture in poly-crystalline metals
[arXiv] 2026-08-11 | LQR Design For Formation Flying Near Halo Orbits Exploiting Quasi-Periodic Symmetry In Toroidal Coordinates
[arXiv] 2026-08-11 | Grid-Preserving Knowledge Distillation: Transferring Convolutional Inductive Bias to Vision Transformers under Data Scarcity
[arXiv] 2026-08-11 | Ex-Omni-2D: Expressive Omni-Modal Dialogue Models with Native Visual Presence
[arXiv] 2026-08-11 | Compact Feed-Forward 3D Gaussians via Saliency-Guided Primitive Merging
[arXiv] 2026-08-11 | Toward a unified framework for helium observations and interpretation of atmospheric escape
[arXiv] 2026-08-11 | ProTAGAD: A Foundation Model for TAG Anomaly Detection with Decoupled Topological and Textual Prototypes
[arXiv] 2026-08-11 | Analysis of degradation in perovskite solar cells through physics-based machine learning
[arXiv] 2026-08-11 | Can Released LLM Vocabularies Support Token-Level Estimation of Hidden Corpora?
[arXiv] 2026-08-11 | Counterexamples to two conjectures on modular edge colorings of graphs
[arXiv] 2026-08-11 | Bridging Severe Cross-Modal Misalignment: End-to-End Visible-Infrared Object Detection via Explicit Feature-Domain Affine Registration
[arXiv] 2026-08-11 | Auditing Chinese Web-scale Corpora via Sampled BPE Token Statistics
[arXiv] 2026-08-11 | Chartography: A Benchmark for Professional Chart Understanding
[arXiv] 2026-08-11 | Seeds Before Objectives: Rethinking Evaluation for Low-Resource Garhwali ASR
[arXiv] 2026-08-11 | REDAgentBench: Executable Red Teaming and Faithful Measurement of LLM Agent Systems
[arXiv] 2026-08-11 | Decision-Aware Approximation of Belief Functions for Evidential Combinatorial Optimization
[arXiv] 2026-08-11 | ASCon: A Direction-Aware Reciprocal Agent--Step Contextualization Model for Failure Attribution in Multi-Agent Systems
[arXiv] 2026-08-11 | AIDC Microgrid Vulnerability Assessment Under Computing-Power Coordinated Attacks
[arXiv] 2026-08-11 | Classification of positive entire solutions of the CR Yamabe equation on the Heisenberg group
[arXiv] 2026-08-11 | Dynamical Crossover in Landau$-$Zener Tunneling in Dissipative Rydberg Lattices
[arXiv] 2026-08-11 | From Zero to Mega-Gauss Fields: Comprehensive Magnetophotonic Spectroscopy of Graphene Dirac Cones
[arXiv] 2026-08-11 | MedUP: Awakening Unified Understanding and Perception in Medical Vision-Language Models
[arXiv] 2026-08-11 | Evaluating the Role of Blockage Deficit Models in Robust Wind Farm Design
[arXiv] 2026-08-11 | Dual-Loop Self-Evolution via Verifiable Emotion Feedback for Multi-Turn Empathetic Dialogue
[arXiv] 2026-08-11 | Randomization and Performance Improvement for Integer Optimal Control with Total Variation Regularization
[arXiv] 2026-08-11 | Measuring the End-to-End Resilience of Application Deployments in Real-World Communication Networks with DRACO
[arXiv] 2026-08-11 | Compute-Optimal Is Not Cluster-Optimal: Systems-Aware Scaling for Sparse Mixture-of-Experts
[arXiv] 2026-08-11 | Statistical Channel Model for FSO Systems Assisted by a UAV-Mounted IRS
[arXiv] 2026-08-11 | Rethinking Data Efficiency in Industrial Dense Prediction: Pretraining Coherence, Not Inductive Bias, Determines ViTs Low-Data Advantage
[arXiv] 2026-08-11 | A HamNoSys-Guided Dataset and Baselines for Fine-Grained Isolated Handshape Recognition in Sign Language
[arXiv] 2026-08-11 | BREAD: Baseline-Referenced Explanations for Anomaly Diagnosis
[arXiv] 2026-08-11 | Scaling of soft QGP signatures in relativistic lead, xenon and oxygen collisions in EPOS4
[arXiv] 2026-08-11 | Potential of Atmospheric Pressure Thermal Plasma Technology towards Waste Processing: A Comprehensive Review
[arXiv] 2026-08-11 | Unified Exact Cylindrical Dirac Modes and Symmetry-Resolved Quantum Geometry
[arXiv] 2026-08-11 | Flow Straight to Reality: Perceptually Consistent Flow Matching for Efficient Image Restoration
[arXiv] 2026-08-11 | Nonlinear Model Predictive Control via Sequential Convex Programming for Drone-to-Drone Docking
[arXiv] 2026-08-11 | Comparing realtime optical gain measurement and methods on MagAO-X
[arXiv] 2026-08-11 | Benchmarking LLM-Guided Control-Plane Policies for Backend Fault Isolation in HAProxy
[arXiv] 2026-08-11 | When Do Anchor-Based Pointwise LLM Rerankers Help? Retriever Quality, Statistical Scope, and Anchor Design
[arXiv] 2026-08-11 | Dynamic Context Adapters: Efficiently Infusing History into Vision-and-Language Models
[arXiv] 2026-08-11 | Unlocking the Power of Medical Tabular Data via Semantic-Aware Multimodal Pre-training
[arXiv] 2026-08-11 | SparSTAR: Sparse Attention for SpaceTime AutoRegressive Video Synthesis
[arXiv] 2026-08-11 | Link-adaptive digital twin for robust physical-layer modeling in hybrid-amplified ultra-wideband optical networks
[arXiv] 2026-08-11 | Nonradial stable solutions near the Joseph--Lundgren threshold
[arXiv] 2026-08-11 | GeoForge: Non-Parametric Self-Evolving Agents for Earth-Observation Reasoning
[arXiv] 2026-08-11 | Simultaneous Heisenberg-Limited Multiparameter Metrology via Indefinite Evolution
[arXiv] 2026-08-11 | What Iterated Self-Feeding Probes of Language Models Measure, and a test that separates the construction from the model
[arXiv] 2026-08-11 | Pitch Contour Tokenization using VQ-VAE and Its Application on Korean Traditional Music Analysis
[arXiv] 2026-08-11 | XCoT-VLA: Executable Chain-of-Thought for Vision-Language-Action Driving
[arXiv] 2026-08-11 | MUSE: A Full-Text Cross-Domain Knowledge Base of Scientific Problems, Solutions, and Rationales
[arXiv] 2026-08-11 | Invisible singularities in complex algebraic geometry
[arXiv] 2026-08-11 | A prime orbit theorem for smooth surface diffeomorphisms
[arXiv] 2026-08-11 | GARLIC: Graph Attention-based Relational Learning of Multivariate Time Series in Intensive Care
[arXiv] 2026-08-11 | $\mathbb{A}^1$-fibration in algebraic geometry and $\mathbb{A}^1$-homotopy type
[arXiv] 2026-08-11 | Rokhlin properties in homeomorphism groups of compact metric spaces
[arXiv] 2026-08-11 | Compactness and Rigidity of Complete Kähler Ricci Shrinkers
[arXiv] 2026-08-11 | Multiple Scale Latents for Learned Image Compression
[arXiv] 2026-08-11 | StreamFlow: Dynamic Memory Flows for Streaming Video Understanding
[arXiv] 2026-08-11 | Fitting trends in quasar emission and absorption line redshifts
[arXiv] 2026-08-11 | Enhanced two-photon blockade without cascade channel by Stark nonlinear coupling
[arXiv] 2026-08-11 | A Cost-Efficient Routing Pipeline for Multilingual Short-Text Classification Using Small Language Models
[arXiv] 2026-08-11 | A Modal Expansion of Kleene Algebras via Twist Structures
[arXiv] 2026-08-11 | Temporally Grounded Compositional Camera Motion Understanding via Geometric Knowledge Distillation
[arXiv] 2026-08-11 | The role of estrogen receptor alpha on calcium transport during smooth muscle contractions
[arXiv] 2026-08-11 | ThinkRetrieve: Retrieval-Augmented Reasoning Traces for Test-Time Scaling
[arXiv] 2026-08-11 | Quantum Signatures of Two-Electron HBT Interference in Free Space
[arXiv] 2026-08-11 | FaithformBench: Benchmarking Faithfulness of Mathematical Chain-of-Thought Autoformalisation
[arXiv] 2026-08-11 | A Quantum Dynamics Tutorial: Visualising Dynamical Decoupling Sequences on the Bloch Sphere
[arXiv] 2026-08-11 | Order Matters: LVLMs as Judges for Temporal Reasoning in Image Sequences
[arXiv] 2026-08-11 | GitSkills: A Dataset of Agent Skills on GitHub
[arXiv] 2026-08-11 | Oscillation modes of skyrmion strings in a ferromagnetic film
[arXiv] 2026-08-11 | Robust Unit Commitment in District Heating Networks: Chance-Constrained and CVaR Optimization Under Demand Uncertainty
[arXiv] 2026-08-11 | Boosting self hybridized exciton polaritons with metal clad WS2 waveguides
[arXiv] 2026-08-11 | Moment comparisons, Sudakov inequalities and entropy of centroid bodies
[arXiv] 2026-08-11 | Connectivity Augmentation of Plane Graphs
[arXiv] 2026-08-11 | Enabling Scalable Kinesthetic Teaching via Observer-based Hand-guiding with Active Support
[arXiv] 2026-08-11 | Hypothesis Frontier: Verifier Guided LLM and Symbolic Search for First-Order Induction
[arXiv] 2026-08-11 | Exterior Dirichlet Problems for Hessian Quotient Equations of Mixed Type
[arXiv] 2026-08-11 | False vacuum decay around black holes: calculation from first principles in the (3+1)-dimensional case
[arXiv] 2026-08-11 | Poincaré à la Makdisi
[arXiv] 2026-08-11 | Regularity for Elliptic Equations with Coefficients of Small Mean Oscillation
[arXiv] 2026-08-11 | Beyond Fixed Luminance: Towards Panchromatic and Orthochromatic Image Colorization
[arXiv] 2026-08-11 | Resource-bounded controllability benchmarking of open quantum systems
[arXiv] 2026-08-11 | The Triadic Stress Index in Financial Markets
[arXiv] 2026-08-11 | Technology, education and critical media literacy: potential, challenges, and opportunities
[arXiv] 2026-08-11 | A Graph Approach to the Academic Publishing Network: A Heterogeneous Model and Structural Screening over OpenAlex Open Data
[arXiv] 2026-08-11 | A Framework for Joint Affine and Diffeomorphic Image Registration
[arXiv] 2026-08-11 | Decay and regularity properties for the dispersion generalized Benjamin-Ono equation
[arXiv] 2026-08-11 | Where To Look? : Causal Tracing of Vision Encoders in VLM
[arXiv] 2026-08-11 | Successive Schur-Riesz Analysis for Approximation
[arXiv] 2026-08-11 | Embodied Multimodal Grounding for Open-Vocabulary Mobile Manipulation via Semantic 3D Gaussian Splatting
[arXiv] 2026-08-11 | Control of hybrid wind-wave energy systems using reinforcement learning
[arXiv] 2026-08-11 | Energy-Efficient Joint Optimization of VLC and Fog Computing Resources Allocation
[arXiv] 2026-08-11 | Exploring the long-term temporal variability in polarization through multi-epoch optical spectro-polarimetry - Part II: A sample of symbiotic and red-giant stars
[arXiv] 2026-08-11 | Synchrotron-Regulated Relativistic Magnetohydrodynamic Turbulence: Emission, Polarization, and Faraday Rotation
[arXiv] 2026-08-11 | Dynamics of amorphous membranes in the two-dimensional limit
[arXiv] 2026-08-11 | JitTrack: Onboard Multi-Object Tracking Against Viewpoint Jitter for Agile UAVs
[arXiv] 2026-08-11 | Finite quotients of sousperfectoid adic spaces need not be adic
[arXiv] 2026-08-11 | Finite Good Witnesses for Generalized Curve Projections at the Rectifiable Endpoint
[arXiv] 2026-08-11 | A canonical section method for conjugacy classes of GL_n(O_2)
[arXiv] 2026-08-11 | Entropy Scales in Topological Dynamical Systems
[arXiv] 2026-08-11 | From Privileged Control to Deployable Adaptation:Fusing Mechanism-Guided Task Reduction with Learned Behavior
[arXiv] 2026-08-11 | PBD-AG: Persistent Baseline-Delta Active Graphs with Uncertainty-Aware Inspection for Long-Horizon Service Robots
[arXiv] 2026-08-11 | FUSE: Frame-Unified Stress Estimation from Facial Video
[arXiv] 2026-08-11 | Stream Forcing: Constructing Unified Training Trajectory for Robust Streaming Video Generation
[arXiv] 2026-08-11 | Actionable Hallucination Detection: Translating Latent Uncertainty into Agentic Critique
[arXiv] 2026-08-11 | Lesion-Aware Adaptive Fourier Neural Operator for CT-to-PSMA PET Synthesis in Prostate Cancer
[arXiv] 2026-08-11 | Reasoning Shortcuts and Value Symmetries: What Symmetry Permits, Architecture Realizes, and Optimization Selects
[arXiv] 2026-08-11 | Realizing A Hard X-Ray Storage Ring Free Electron Laser Oscillator at the APS-U
[arXiv] 2026-08-11 | DriveVLA-M0: Failure-Aware Memory Augmentation for Autonomous Driving
[arXiv] 2026-08-11 | PDS 70 c and SR 12 c: Observational Constraints on Giant-Planet and Satellite Formation
