[2026-06-16 23:23:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | Discovery of Unusual Jet Orientation Variations in the Microquasar GRS 1915+105
[arXiv] 2026-06-15 | The free energy of the square lattice Ising model with interactions alternating in horizontal and vertical directions
[arXiv] 2026-06-15 | A Bayesian hierarchical model for meta-analysis
[arXiv] 2026-06-15 | LUCID: Learned Undersampling-Adaptive Consistency-Guided Inference with Deterministic Flow Matching for Sparse-View CT Reconstruction
[arXiv] 2026-06-15 | Weaving Multi-Source Evidence for Biomedical Reasoning: The BioMedHop Benchmark and BioWeave Framework
[arXiv] 2026-06-15 | Sensor-Conditioned Representation Learning via Scene-Relevant Observation Quotients
[arXiv] 2026-06-15 | VENOM: Versatile Embodied Network for Omni-bodied Motion tracking
[arXiv] 2026-06-15 | Adaptive inference and function vectors in deep transformers
[arXiv] 2026-06-15 | Statistical methods for assessing non-replicable, outlying, and influential studies
[arXiv] 2026-06-15 | A Lean-Certified Proof of $K_8(4, 2) = 23$
[arXiv] 2026-06-15 | A Minimal Dark $U(1)_D$ Framework for Inverse Seesaw Neutrino Masses and Dark Matter
[arXiv] 2026-06-15 | Optimising Temporary Accommodation Placement Across London with AI-Powered SaaS in E-Governance Systems
[arXiv] 2026-06-15 | On the chromatic number and equilateral dimension of $\mathbb{R}^n$ with the tropical norm
[arXiv] 2026-06-15 | Holographic study of heavy quark potential, free energy, and running coupling in backgrounds with broken translational symmetry
[arXiv] 2026-06-15 | The supergravity dual of a finite duality cascade
[arXiv] 2026-06-15 | WaveSync: Constrained Wavefront Optimization for Synchronized Co-Speech Gestures in Humanoid Robots
[arXiv] 2026-06-15 | ArtNet: A JEPA-Like Articulatory Predictive Framework for Robust Zero-Shot Phoneme Recognition
[arXiv] 2026-06-15 | SING: Synthetic Intention Graph for Scalable Active Tool Discovery in LLM Agents
[arXiv] 2026-06-15 | Uncertainty Is Not a Safety Net for Clinical VQA, but Can It Anticipate Model Failure?
[arXiv] 2026-06-15 | Multi-Modal Spatio-Temporal Graph Neural Network with Mixture of Experts for Soil Organic Carbon Prediction
[arXiv] 2026-06-15 | Walking on Heat Stars for Parabolic Heat Equations with Neumann Boundary Conditions
[arXiv] 2026-06-15 | Kauffman bracket skein homology from Heegaard splittings
[arXiv] 2026-06-15 | TNODEV: Toolbox for Neural ODE Verification
[arXiv] 2026-06-15 | Distributionally robust decision-making under ambiguity: case study of water environmental management
[arXiv] 2026-06-15 | ROSA-RL: Uncertainty-Aware Roundabout Optimized Speed Advisory with Reinforcement Learning
[arXiv] 2026-06-15 | Preparation of Fractional Quantum Hall States on Quantum Computers
[arXiv] 2026-06-15 | Can LLM Coding Agents Reason About Time Series?
[arXiv] 2026-06-15 | Vortex-core size and quantum geometry in flat-band superconductors
[arXiv] 2026-06-15 | Assessing Reliability of Symbol Detection in Concept Bottleneck Models
[arXiv] 2026-06-15 | DoubtProbe: Black-Box Jailbreak Defense via Structural Verification and Semantic Auditing
[arXiv] 2026-06-15 | SkillWiki: A Living Knowledge Infrastructure for Agent Skills
[arXiv] 2026-06-15 | BadWorld: Adversarial Attacks on World Models
[arXiv] 2026-06-15 | Beyond Mean Solar Wind Conditions: Turbulence-Aware Forecasting of the AE Index
[arXiv] 2026-06-15 | Towards Delta Aware Training: Efficient DNN Weight Storage for Resource-Constrained FPGAs
[arXiv] 2026-06-15 | Atom Probe Tomography as an Emerging Tool for Understanding Defect-driven Mechanisms in HfO$_{2}$-based Ferroelectrics
[arXiv] 2026-06-15 | Model Graph Inductive Learning for Knowledge Graph Completion
[arXiv] 2026-06-15 | Semi-Supervised Speech Confidence Detection using Pseudo-Labelling and Whisper Embeddings
[arXiv] 2026-06-15 | APEX: Adaptive Policy Execution for Precise Manipulation
[arXiv] 2026-06-15 | Nonexistence for screened Hartree energies
[arXiv] 2026-06-15 | Active Reference Acquisition in Few-Shot Font Generation
[arXiv] 2026-06-15 | daVinci-kernel: Co-Evolving Skill Selection, Summarization, and Utilization via RL for GPU Kernel Optimization
[arXiv] 2026-06-15 | Two $q$-congruences from Jackson's ${}_8φ_7$ summation and Andrews' ${}_4φ_3$ summation
[arXiv] 2026-06-15 | Forward Hedging Reshapes Incentive Provision
[arXiv] 2026-06-15 | BRICKS-WM: Building Reusability via Interface Composition Kinetics for Structured World Models
[arXiv] 2026-06-15 | An Energy-Driven Framework for Privacy-Aware Synthetic Data Generation
[arXiv] 2026-06-15 | Measurement Study of Post-Quantum Readiness of Internet: 2026
[arXiv] 2026-06-15 | Towards Robust Generative Speech Enhancement Using Vector Quantisation-Based Neural Audio Codec
[arXiv] 2026-06-15 | RHO: Your Coding Agent is Secretly a Roboticist
[arXiv] 2026-06-15 | Adiabatic realization of anomalous Floquet topological systems
[arXiv] 2026-06-15 | A nonparametric two-sample test using a parametric integral probability metric
[arXiv] 2026-06-15 | Scalable Circuit Learning for Interpreting Large Language Models
[arXiv] 2026-06-15 | Dynamical Steering and Unambiguous Signature of Majorana Corner Modes in Altermagnetic Josephson Junctions
[arXiv] 2026-06-15 | Single-Connection Mixed-Criticality Transport with CATS: Bounded Guarantees, Three Structural Limits, and a QUIC Escape
[arXiv] 2026-06-15 | Controlled Quantum Metrology with Anisotropic Heisenberg Spin Interactions under Intrinsic Decoherence
[arXiv] 2026-06-15 | Greed Is Learned: Visible Incentives as Reward-Hacking Triggers
[arXiv] 2026-06-15 | Tangram: Hiding GPU Heterogeneity for Efficient LLM Parallelization
[arXiv] 2026-06-15 | Directory-Aware Query and Maintenance in Vector Databases
[arXiv] 2026-06-15 | Fantastic Pretraining Optimizers and Where to Find Them II: Hyperball Optimization
[arXiv] 2026-06-15 | Neural dynamical systems on ferroelectric compute-in-memory for real-time forecasting
[arXiv] 2026-06-15 | A Unified Constant-Time Switch Rule for Constructing Edge-Disjoint Hamiltonian Cycles in Gaussian Networks
[arXiv] 2026-06-15 | Beyond Weights and Gradients: A Taxonomy of Federated Learning Messages
[arXiv] 2026-06-15 | Compositional Reasoning Depth Predicts Clinical AI Failure: Empirical Evidence Consistent with Transformer Compositionality Limits in Electronic Health Record Question Answering
[arXiv] 2026-06-15 | The Winner Takes It All
[arXiv] 2026-06-15 | Understanding Scam Trends and Rail Paths from Reddit Self-Disclosure Narratives
[arXiv] 2026-06-15 | Quantum uniformity norms are pullbacks of matrix-valued uniformity norms
[arXiv] 2026-06-15 | High-entropy Fe$_2$VAl-based thermoelectric modules with improved conversion efficiency
[arXiv] 2026-06-15 | Divergence of Light Wave Amplitudes in an Interface Layer at Critical Conditions
[arXiv] 2026-06-15 | KKM theorems and discrete geometry beyond matroids
[arXiv] 2026-06-15 | CacheWise: Understanding Workloads and Optimizing KVCache Management for Efficiently Serving LLM Coding Agents
[arXiv] 2026-06-15 | From the NYU Ultracomputer to Modern Exascale: A Historical and Architectural Survey of In-Network Computing and Scalable Synchronization
[arXiv] 2026-06-15 | An Efficient MaxSAT-DDD Approach for Train Rescheduling via Precedence Propagation and Hybrid AMO Encodings
[arXiv] 2026-06-15 | Data-Driven Micromechanical Characterization and Mapping of Shale Rocks Using High Speed Nanoindentation
[arXiv] 2026-06-15 | Simple derivations and isotropy on Danielewski-type algebras
[arXiv] 2026-06-15 | LLM-Based Visual Explanation Evaluation Framework for Assessing the Explainability of Facial Skin Disease Classification Models
[arXiv] 2026-06-15 | Decay estimates for beam equations with potentials in dimension two
[arXiv] 2026-06-15 | KRONOS II: Solar-like Umbra and Penumbra Properties on the Young Sun V1298~Tau
[arXiv] 2026-06-15 | Defining a physics person: Tensions in the identity development of undergraduate women in physics
[arXiv] 2026-06-15 | Cross-Silo De-Anonymization Under Local Differential Privacy: Threat Model, Phase Transition, and Coordination Necessity
[arXiv] 2026-06-15 | Compensated compactness of $\mathcal A$-free measures on cones with quantified aperture
[arXiv] 2026-06-15 | 3D Classification of Paramagnetic Rim Lesions in Multiple Sclerosis via Asymmetric QSM-FLAIR Modeling
[arXiv] 2026-06-15 | STAR-NT: Spatiotemporal Acceleration of Real-Time Neural Transparency Rendering
[arXiv] 2026-06-15 | Witnesses and Counterexamples for Timed Bisimulation
[arXiv] 2026-06-15 | The Edge-on Galaxies in the DESI survey (EGIDE): sample building and photometry
[arXiv] 2026-06-15 | Attention is Just Another Name for Coupling?: A Fast-Slow ODE Perspective on Hierarchical Pretraining
[arXiv] 2026-06-15 | From Third-Party to First-Party: Measuring and Protecting Against Modern Web Tracking Mechanisms
[arXiv] 2026-06-15 | GaN Nucleation Landscape on Patterned Sapphire Shaped by the Growth Temperature of Directly Grown Boron-Compound Masks
[arXiv] 2026-06-15 | EgoPhys: Learning Generalizable Physics Models of Deformable Objects from Egocentric Video
[arXiv] 2026-06-15 | Efficient Data Availability Sampling via Coded Distributed Arrays
[arXiv] 2026-06-15 | Hausdorff operators and fractional Hausdorff operators in the Dunkl setting
[arXiv] 2026-06-15 | When Confidence Lacks Concepts: Interpretable OOD Detection via Representation Perturbations
[arXiv] 2026-06-15 | Infinite-lattice discrete Calderón projection via the lattice Green's function for active noise shielding and confinement
[arXiv] 2026-06-15 | obliv-clang: Real-World Oblivious Programming in C++
[arXiv] 2026-06-15 | To forget is to preserve: Machine Unlearning for 3D medical image segmentation
[arXiv] 2026-06-15 | VibeThinker-3B: Exploring the Frontier of Verifiable Reasoning in Small Language Models
[arXiv] 2026-06-15 | Revisiting average case complexity of multilevel syllogistic: From the 1995 Courant Technical Report to Lean 4 Formalization
[arXiv] 2026-06-15 | InvDesMobility: a reliability-gated first-principles feedback framework for closed-loop materials discovery
[arXiv] 2026-06-15 | Quasiparticles and ion cooling by an electron beam in a strong magnetic field
[arXiv] 2026-06-15 | EdgeZSAD: Practical Zero-Shot Anomaly Detection on Edge Devices
[arXiv] 2026-06-15 | Beyond CPU-GPU Frequency: Memory-Clock and Tail Effects in Edge Inference Latency Estimation
[arXiv] 2026-06-15 | Effective and Low-cost Lane-based Map Localization for Vehicle-Centric Route Generation
[arXiv] 2026-06-15 | Your "Pro" LLM Subscription May Actually Be "Free": Exposing Fingerprint Spoofing Risks in LLM Inference Services
[arXiv] 2026-06-15 | The maximal dimensions of path and graph algebras
[arXiv] 2026-06-15 | Wild bootstrap for mean response inference in functional linear regression models
[arXiv] 2026-06-15 | A construction of simple-minded systems over domestic Brauer graph algebras II: the 1-domestic case
[arXiv] 2026-06-15 | PVminerLLM2: Improving Structured Extraction of Patient Voice via Preference Optimization
[arXiv] 2026-06-15 | Exact Posterior Score Estimation for Solving Linear Inverse Problems
[arXiv] 2026-06-15 | Benchmarking LLM Agents on Meta-Analysis Articles from Nature Portfolio
[arXiv] 2026-06-15 | R2RDreamer: 3D-aware Data Augmentation for Spatially-generalized 2D Manipulation Policies
[arXiv] 2026-06-15 | Curvature--Radiation Geometries Across the Second CHIME/FRB Fast Radio Burst Population
[arXiv] 2026-06-15 | MeshLoom: Feed-Forward Non-Rigid Registration of Mesh Sequences
[arXiv] 2026-06-15 | ExpRL: Exploratory RL for LLM Mid-Training
[arXiv] 2026-06-15 | A scaling non-compact QCD axion
[arXiv] 2026-06-15 | Symmetric Extension Complexity of the Spanning Tree Polytope
[arXiv] 2026-06-15 | Evolution of Nonlinear Ion Transport in Nanopore Arrays: Ionic Conductance, Current Rectification, and Osmotic Power
[arXiv] 2026-06-15 | Scalar $D^{(*)}K^{(*)}$ and $D^{(*)}π(ρ)$ molecular states from B meson decays
[arXiv] 2026-06-15 | Systematic and Statistical Uncertainties in Cepheid PL Relations: Incorporating a Cross-Filter Random-Phase Mitigation Approach
[arXiv] 2026-06-15 | Mathematical Analysis of Subwavelength Resonances and Gradient Blow-up for Two Close-to-Touching Inclusions within the Two-Dimensional Elasticity
[arXiv] 2026-06-15 | From Newtonian to Relativistic IAM: The Autonomous Principal as Reference Frame for Digital Identity
[arXiv] 2026-06-15 | Bounds for Genus Zero Gromov-Witten Invariants
[arXiv] 2026-06-15 | Hydrogen Chemisorption and Current-Induced Spin Polarization on NbP
[arXiv] 2026-06-15 | Agent trajectories as programs: fingerprinting and programming coding-agent behavior
[arXiv] 2026-06-15 | Probing Low Frame Rate Degradation in Neural Audio Codecs
[arXiv] 2026-06-15 | Mapping a Quasar Outflow from Parsec to Kiloparsec Scales: A Combined HST Absorption and VLT Emission Investigation
[arXiv] 2026-06-15 | Coherent control of orthogonal continuum states in XUV photoionization
[arXiv] 2026-06-15 | Transverse Modulation of Continuous Electron Beams by a Structured Optical Cavity
[arXiv] 2026-06-15 | Constructive Preference Relations: Navigating Undecidability in Rational LTL Contraction
[arXiv] 2026-06-15 | Multisymmetric polynomials on set-theoretic quiver representations
[arXiv] 2026-06-15 | LLM-Powered Virtual Population for Demand Simulation and Pricing
[arXiv] 2026-06-15 | QALM: Escaping Local Minima via Interleaved Exploration and Exploitation in Quantum Circuit Optimization
[arXiv] 2026-06-15 | Disentangling multi-spin dynamic correlations in the Heisenberg spin-$\frac{1}{2}$ chain
[arXiv] 2026-06-15 | Neural Bayesian Anomaly Mitigation: A Robust Loss that Doubles as an Unsupervised Contamination Classifier
[arXiv] 2026-06-15 | Efficient Magic State Factory Via Transversal Non-Clifford Gate
[arXiv] 2026-06-15 | Decoupling Inference from State Updates in Low-Latency Feature Engines via Probabilistic Thinning
[arXiv] 2026-06-15 | Reconstruction of time-dependent coefficients in a semilinear dynamical Schr{ö}dinger equation
[arXiv] 2026-06-15 | Mixed Block Markov Superposition Transmission Codes
[arXiv] 2026-06-15 | Uncertainty Quality of VGGT: An Analysis on the DTU Benchmark Dataset
[arXiv] 2026-06-15 | Generative Modeling on Metric Graphs via Neural Optimal Transport
[arXiv] 2026-06-15 | Threshold cusp effects to measure masses of radiatively decaying hadrons: The $B_{s0}^*$ mass from the $Υφ$ spectrum
[arXiv] 2026-06-15 | Expanding the rough Heston model in $H$
[arXiv] 2026-06-15 | Steering Emotional Dynamics for Art Therapy: Controllable Narrative Script Generation through Hierarchically Guided LLM Agents
[arXiv] 2026-06-15 | Maximal regularity and caloric trace estimates in mixed Lebesgue norms for the heat equation
[arXiv] 2026-06-15 | Nonlinear kinetic Fokker-Planck equations as gradient flows of the free energy
[arXiv] 2026-06-15 | A Strong Stellar Age-Metallicity Gradient Relation in Nearby Dwarf Galaxies Driven by Stellar Migration and Environmental Quenching
[arXiv] 2026-06-15 | Isogeometric Analysis for Explicit Wave Propagation in Poroelastic Media
[arXiv] 2026-06-15 | Modern Determination of Pion and Kaon Fragmentation Functions from SIA and High-Precision COMPASS SIDIS Multiplicities
[arXiv] 2026-06-15 | A complete classification of metrizable theta graphs
[arXiv] 2026-06-15 | Viral Images: Identifying Reprintings within 1.5 Million Photographs in Chronicling America
[arXiv] 2026-06-15 | High-dimensional coherence to entanglement transduction under canonical noise
[arXiv] 2026-06-15 | The Milky Way's Missing In-Situ Halo
[arXiv] 2026-06-15 | Diagonalization of nonlinear functions in finite-dimensional spaces and the case of $\mathbb R^2$
[arXiv] 2026-06-15 | Complete entanglement detection using polynomial invariants
[arXiv] 2026-06-15 | Intervalley coherence and flavor polarization in three-valley moiré systems
[arXiv] 2026-06-15 | Learning Input-Channel Permutation Equivariance for Multi-Channel Source Separation: Reducing Bleeding in Small Music Ensembles
[arXiv] 2026-06-15 | Transferable machine learning of excited-state dynamics with extremal pooling
[arXiv] 2026-06-15 | A variable-offset joint formulation for beams with arbitrary cross-sections using a null space method
[arXiv] 2026-06-15 | The local least action criterion fails as a selection criterion for weak solutions of the compressible Euler equations
[arXiv] 2026-06-15 | Formalizing chip-firing and Riemann--Roch for graphs in Lean 4
[arXiv] 2026-06-15 | Closing the Approximation Gap in Simulation-free Latent SDEs
[arXiv] 2026-06-15 | Bounded Bruhat intervals and affine Coxeter groups
[arXiv] 2026-06-15 | On the Geometry of Separation in Finite Gaussian Mixtures
[arXiv] 2026-06-15 | 3D Ising criticality with Platonic lattice superconducting qubits
[arXiv] 2026-06-15 | Possible high temperature superconductivity induced by coupling to proximate hyperbolic photon modes
[arXiv] 2026-06-15 | A diffeological perspective on non-Abelian Hodge theory
[arXiv] 2026-06-15 | A geometric approach to generalized covering radii of linear codes
[arXiv] 2026-06-15 | Bath memory as a precision resource in quantum transport
[arXiv] 2026-06-15 | Sobolev Approximation by Fixed-Size Neural Networks with Arbitrary Accuracy
[arXiv] 2026-06-15 | Deflective Sunshades: conceptual design and origami-inspired folding strategy
[arXiv] 2026-06-15 | Direction-Conditioned Policies via Compositional Subgoal Scoring for Online Goal-Conditioned Reinforcement Learning
[arXiv] 2026-06-15 | Phase Behavior of Unilamellar Hybrid Lipid-Diblock Copolymer Membranes
[arXiv] 2026-06-15 | Oxygen in the protostellar clump OMC-2 FIR4
[arXiv] 2026-06-15 | Generative Predictive Distributions for Time Series
[arXiv] 2026-06-15 | Compact Spin-Charge Separated Neural Quantum States for Valence-Bond States
[arXiv] 2026-06-15 | A Gradient Perspective on RLVR Stability and Winner Advantage Policy Optimization
[arXiv] 2026-06-15 | Threshold dynamics for the $3d$ radial cubic NLS with repulsive inverse-square potential
[arXiv] 2026-06-15 | T-Rex: Tactile-Reactive Dexterous Manipulation
[arXiv] 2026-06-15 | First Experimental Limit on the Thermal Solar Neutrino Flux
[arXiv] 2026-06-15 | Existentially closed fields with operators in various categories
[arXiv] 2026-06-15 | KVEraser: Learning to Steer KV Cache for Efficient Localized Context Erasing
[arXiv] 2026-06-15 | The exact value of the Ramsey number $R(K_4-e,K_7)$
[arXiv] 2026-06-15 | FusionRS: A Large-Scale RGB-Infrared Remote Sensing Dataset for Dual-Modal Vision-Language Foundation Models
[arXiv] 2026-06-15 | Uniqueness of the blow-up for some Alt-Phillips cones
[arXiv] 2026-06-15 | ROVE: Unlocking Human Interventions for Humanoid Manipulation via Reinforcement Learning
[arXiv] 2026-06-15 | TuneJury: An Open Metric for Improving Music Generation Preference Alignment
[arXiv] 2026-06-15 | Bayesian Inference and Decision Audits for Public Archives of Frontier AI Evaluations
[arXiv] 2026-06-15 | Sandbox-Enabled Digital Twin for Cyber-Physical Systems
[arXiv] 2026-06-15 | When in Doubt, Plan It Out: Committed Small Language Model Deliberation for Reactive Reinforcement Learning
[arXiv] 2026-06-15 | Analytic Torsion and Spectral Gap Capture Persistent-Laplacian Performance
[arXiv] 2026-06-15 | From 911 to Hospital: Challenges and Opportunities for AI Integration in Emergency Medical Services
[arXiv] 2026-06-15 | How Much Do Reviews Really Contribute? A Study on Text-Enriched Matrix Factorization for Recommendations
[arXiv] 2026-06-15 | A Theoretical Framework for Risk Analysis of Stochastic Rankers
[arXiv] 2026-06-15 | Electronic Green's function across the pseudogap to stripe transition in the $t$-$t'$-$J$ model
[arXiv] 2026-06-15 | Phantoms and Disclosures: a Causal Framework for Auditing Synthetic Data
[arXiv] 2026-06-15 | Milestoning Markov-jump dynamics: Stationary properties, thermodynamic consistency, kinetic hysteresis, and fluctuation symmetries
[arXiv] 2026-06-15 | Conditioning Deep Anatomical Prior Knowledge for Reconstruction of Multispectral Optoacoustic Tomography Images
[arXiv] 2026-06-15 | Graphical conditional generative modeling for digital twin modeling
[arXiv] 2026-06-15 | Filtered ANN as a Phase Transition: When Selectivity-Estimation Error Causes Plan Regret
[arXiv] 2026-06-15 | Band-minimum degeneracy is not enough: density-of-states control of low-density ferromagnetism
[arXiv] 2026-06-15 | Near-Optimal Stochastic Linear Bandits with Delay
[arXiv] 2026-06-15 | Targeting Behavior or Intention? Intervention Strategies in Expressed-Private Opinion Dynamics
[arXiv] 2026-06-15 | Resonant lunar tides of Earth's core and basal magma ocean
[arXiv] 2026-06-15 | Grassmannian quantum cohomology in the infinite limit and total positivity
[arXiv] 2026-06-15 | Counterdiabatic Raman Atom Optics for Compact High-Sensitivity Gravimetry
[arXiv] 2026-06-15 | Charging Quantum Batteries with Chiral Squeezing
[arXiv] 2026-06-15 | Spectral Sparsification of Laplacian-Constrained Gaussian and Hüsler-Reiss Graphical Models
[arXiv] 2026-06-15 | Detecting basis-dependent hardware errors through spatio-temporal quantum steering
[arXiv] 2026-06-15 | Minimising magnetic activity effects in PLATO observations: insights from the Sun-as-a-star
[arXiv] 2026-06-15 | Beyond Usability: A UX Case Study on Using "Withdrawal Design" to Challenge Engagement Metrics in Social Robotics
[arXiv] 2026-06-15 | Convergence to self-similarity for a degenerate parabolic equation with fast-growing spatially-dependent absorption
[arXiv] 2026-06-15 | Taylor-Calibrate: Principled Initialization for Hybrid Linear Attention Distillation
[arXiv] 2026-06-15 | An Asymmetric Formula for Interval Consonance and its Relation to Harmonic Coincidence
[arXiv] 2026-06-15 | PathRouter: Aligning Rewards with Retrieval Quality in Agentic Graph Retrieval-Augmented Generation
[arXiv] 2026-06-15 | Effect of $ξRφ^2$ non-minimal coupling on gravitational light bending
[arXiv] 2026-06-15 | SemGeoNav:A Safety-Guided Visual Navigation Approach with Semantic Reasoning and Geometric Planning
[arXiv] 2026-06-15 | CBM physics program and recent experimental developments
[arXiv] 2026-06-15 | An empirical study of Fictitious Play for estimating Nash equilibria in first-price auctions with correlated values
[arXiv] 2026-06-15 | Robust Neural Tucker Factorization with Bias Correction and Adaptive Initialization
[arXiv] 2026-06-15 | Leveraging Code-Mixed Product Metadata and User Feedback for Personalized Recommendation on Daraz Bangladesh
[arXiv] 2026-06-15 | Surpassing Scale by Efficiency: A Compact 135M Parameter Foundational LLM Natively Adapted for the Bangla Language
[arXiv] 2026-06-15 | Static linear response of hot and dense QCD matter to electromagnetic fields: Leading hard and soft QCD corrections
[arXiv] 2026-06-15 | Mirror flows and $p$-Laplacian eigenvalue problems on metric measure spaces
[arXiv] 2026-06-15 | CacheMuon: Using Temporal Preconditioning To Approximate Polar Factor
[arXiv] 2026-06-15 | Evaluating LLM Personalization via Semantic Constraint Verification
[arXiv] 2026-06-15 | FEnc$^2$: Unifying Data Packing for Efficient Private Inference via Convolution and Architecture-Aware Fragment Encoding
[arXiv] 2026-06-15 | The Proxy Knows Too Much: Sealing LLM API Routers with Attested TEEs
[arXiv] 2026-06-15 | TMASC: Transmasculine Attitude and Speech Corpus
[arXiv] 2026-06-15 | Phase-field analysis of fracture in heterogeneous wellbore systems: effects of casing eccentricity and cement-formation interface strength
[arXiv] 2026-06-15 | Output-Feedback Boundary Control of Reaction--Diffusion PDEs on Arbitrary Lipschitz Domains: A Target-Domain Approach
[arXiv] 2026-06-15 | Whose hotel does the AI recommend? An algorithm audit of reputation signals in LLM-assisted hotel selection
[arXiv] 2026-06-15 | Thermodynamic Uncertainty Relation For a Multi-Phase Alternating Renewal Random Walk
[arXiv] 2026-06-15 | Non-stationary longitudinal Josephson effect in electron-hole bilayers
[arXiv] 2026-06-15 | Patient-centered visualization of multistage cancer treatment trajectories
[arXiv] 2026-06-15 | Chronological Blindness: Benchmarking Temporal Reasoning in Vision-Language Models with CHRONOSIGHT
[arXiv] 2026-06-15 | Differentiable Packing of Irregular 3D Objects with Adaptive Container Estimation
[arXiv] 2026-06-15 | Neural network inverse design of nanophotonic scintillators
[arXiv] 2026-06-15 | An Adjoint-based Neural Regulator for Real-Time Optimal Control with State Constraints
[arXiv] 2026-06-15 | One-Step Generalization Ratio Guided Optimization for Domain Generalization
[arXiv] 2026-06-15 | AI Supply Chain Galaxy: 3D Visual Analytics for License Compliance
[arXiv] 2026-06-15 | High-Fidelity Numerical Modeling for the Mechanical Characterization of a Full-Scale Test Bridge
[arXiv] 2026-06-15 | Search for Invisibly Decaying Light Scalars at the FCC-ee
[arXiv] 2026-06-15 | Geometry-Driven Islanding Detection and Fault Classification for Grid-Forming Inverters: A Normally Hyperbolic Invariant Manifold Framework with Physics-Derived Thresholds
[arXiv] 2026-06-15 | Who Should Lead Decoding Now? Tracking Reliable Trajectories for Ensembling Masked Diffusion Language Models
[arXiv] 2026-06-15 | TopoRetarget: Interaction-Preserving Retargeting for Dexterous Manipulation
[arXiv] 2026-06-15 | Bi-qutrit entangled edge states of positive partial transposes with largest ranks
[arXiv] 2026-06-15 | Correction to the article "Global well-posedness and scattering in weighted space for nonlinear Schrödinger equations below the Strauss exponent without gauge-invariance"
