[2026-03-04 09:28:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Odin: Multi-Signal Graph Intelligence for Autonomous Discovery in Knowledge Graphs
[arXiv] 2026-03-03 | SpecLoop: An Agentic RTL-to-Specification Framework with Formal Verification Feedback Loop
[arXiv] 2026-03-03 | SIGMark: Scalable In-Generation Watermark with Blind Extraction for Video Diffusion
[arXiv] 2026-03-03 | Tracing Back Error Sources to Explain and Mitigate Pose Estimation Failures
[arXiv] 2026-03-03 | DBMIF: a deep balanced multimodal iterative fusion framework for air- and bone-conduction speech enhancement
[arXiv] 2026-03-03 | Retrievit: In-context Retrieval Capabilities of Transformers, State Space Models, and Hybrid Architectures
[arXiv] 2026-03-03 | Think-as-You-See: Streaming Chain-of-Thought Reasoning for Large Vision-Language Models
[arXiv] 2026-03-03 | Bare and stretched string tyre models with distributed FrBD dynamics
[arXiv] 2026-03-03 | Luminosity-Dependent Variations in the Secondary Maximum of Type Ia Supernovae and Their Connection to Host Galaxy Morphology
[arXiv] 2026-03-03 | Optimal play in Yu-Gi-Oh! TCG is hard
[arXiv] 2026-03-03 | The Distribution of Phoneme Frequencies across the World's Languages: Macroscopic and Microscopic Information-Theoretic Models
[arXiv] 2026-03-03 | LLM-based Argument Mining meets Argumentation and Description Logics: a Unified Framework for Reasoning about Debates
[arXiv] 2026-03-03 | Rhythm: Learning Interactive Whole-Body Control for Dual Humanoids
[arXiv] 2026-03-03 | The many boundaries of the stratified dark matter halo
[arXiv] 2026-03-03 | Learning Memory-Enhanced Improvement Heuristics for Flexible Job Shop Scheduling
[arXiv] 2026-03-03 | SPARC: Spatial-Aware Path Planning via Attentive Robot Communication
[arXiv] 2026-03-03 | "It's Messy...But I Feel Balanced": Unpacking Flexible Workers' Rhythm-Making Practices Using an Asset-Based Approach
[arXiv] 2026-03-03 | Spatiotemporal Optical Vortices From All-Dielectric Bilayer Metagratings
[arXiv] 2026-03-03 | Identification of quantum generative circuits with parallel quantum neural network
[arXiv] 2026-03-03 | A phase-field framework for anisotropic viscoelastic-viscoplastic fracture in short fiber-reinforced polymers in hygrothermal environments
[arXiv] 2026-03-03 | A simple Path-based LP Relaxation for Directed Steiner Tree
[arXiv] 2026-03-03 | Global Extremum Seeking With Double Integrators in the Presence of Local Extrema
[arXiv] 2026-03-03 | Structure-Aware Text Recognition for Ancient Greek Critical Editions
[arXiv] 2026-03-03 | HERB: a unified framework for the evaluation of Hydrogen Embrittlement mechanisms driven by the Rice-Beltz concept
[arXiv] 2026-03-03 | Understanding the Resource Cost of Fully Homomorphic Encryption in Quantum Federated Learning
[arXiv] 2026-03-03 | Guideline-Grounded Evidence Accumulation for High-Stakes Agent Verification
[arXiv] 2026-03-03 | Contraction theory: Hausdorff--Riemann Measures as Set-Based Lyapunov Functions
[arXiv] 2026-03-03 | Differentiable Time-Varying IIR Filtering for Real-Time Speech Denoising
[arXiv] 2026-03-03 | From Heuristic Selection to Automated Algorithm Design: LLMs Benefit from Strong Priors
[arXiv] 2026-03-03 | Packing arithmetic progressions
[arXiv] 2026-03-03 | Scores Know Bobs Voice: Speaker Impersonation Attack
[arXiv] 2026-03-03 | Agentic Self-Evolutionary Replanning for Embodied Navigation
[arXiv] 2026-03-03 | Enhancing AAV-Enabled Secure Communications via Synthetic Aperture Beamforming
[arXiv] 2026-03-03 | Local Relaxation Fast Poisson Methods on Hierarchical Meshes
[arXiv] 2026-03-03 | Mathematical model of tumor-macrophage interactions: Elucidating the tumor-driven macrophage phenotype reprogramming
[arXiv] 2026-03-03 | Generation of 12 dB squeezed light from a waveguide optical parametric amplifier using a machine-learning-controlled spatial light modulator
[arXiv] 2026-03-03 | Geometric mechanisms enabling spin- and enantio-sensitive observables in one photon ionization of chiral molecules
[arXiv] 2026-03-03 | Non-Volatile Vortex MTJs with Opto-Electrical and Spin-Diode Nonlinearities as Multifunctional Neuromorphic Platforms
[arXiv] 2026-03-03 | TenExp: Mixture-of-Experts-Based Tensor Decomposition Structure Search Framework
[arXiv] 2026-03-03 | Correction scheme for total energy obtained on fault-tolerant quantum computer via quantum dominant orbital selection and subspace dynamical correlation methods
[arXiv] 2026-03-03 | Ensemble Forecasting of Power Quality Parameters
[arXiv] 2026-03-03 | Neural quantum support vector data description for one-class classification
[arXiv] 2026-03-03 | Addressing Missing and Noisy Modalities in One Solution: Unified Modality-Quality Framework for Low-quality Multimodal Data
[arXiv] 2026-03-03 | ReCo-Diff: Residual-Conditioned Deterministic Sampling for Cold Diffusion in Sparse-View CT
[arXiv] 2026-03-03 | Possible Enhancement of Superconductivity in Ambient-Pressure La$_3$Ni$_2$O$_7$ Thin Film
[arXiv] 2026-03-03 | MMH-Planner: Multi-Mode Hybrid Trajectory Planning Method for UAV Efficient Flight Based on Real-Time Spatial Awareness
[arXiv] 2026-03-03 | $\ell_{1\text{-}2}$ Regularization for Sparse Optimization: Consistency and Global Convergence
[arXiv] 2026-03-03 | VisionCreator: A Native Visual-Generation Agentic Model with Understanding, Thinking, Planning and Creation
[arXiv] 2026-03-03 | Radiative decays of hadronic molecules: From confusion to inspiration
[arXiv] 2026-03-03 | Unusual magnetic and charge transport properties in In-Substituted Half-Metallic Kagome Ferromagnet Co3Sn2S2
[arXiv] 2026-03-03 | Watch Your Step: Learning Semantically-Guided Locomotion in Cluttered Environment
[arXiv] 2026-03-03 | Compositional Visual Planning via Inference-Time Diffusion Scaling
[arXiv] 2026-03-03 | Robust Heterogeneous Analog-Digital Computing for Mixture-of-Experts Models with Theoretical Generalization Guarantees
[arXiv] 2026-03-03 | Singularity of information flow at the Hopf bifurcation point
[arXiv] 2026-03-03 | Think, But Don't Overthink: Reproducing Recursive Language Models
[arXiv] 2026-03-03 | Real-Time Generative Policy via Langevin-Guided Flow Matching for Autonomous Driving
[arXiv] 2026-03-03 | Relativistic calculations of electron impact excitation cross-sections of neutral tungsten
[arXiv] 2026-03-03 | Rate-Fidelity Tradeoffs in All-Photonic and Memory-Equipped Quantum Switches
[arXiv] 2026-03-03 | Bayesian Optimization in Chemical Compound Sub-Spaces using Low-Dimensional Molecular Descriptors
[arXiv] 2026-03-03 | GPUTOK: GPU Accelerated Byte Level BPE Tokenization
[arXiv] 2026-03-03 | Tensegrity Robot Endcap-Ground Contact Estimation with Symmetry-aware Heterogeneous Graph Neural Network
[arXiv] 2026-03-03 | ExpGuard: LLM Content Moderation in Specialized Domains
[arXiv] 2026-03-03 | Nature of $K^*(1680)$ and $q\bar{q}$-hybrid mixing as the SU(3) partner of $η_{1}(1855)$ in the strange sector
[arXiv] 2026-03-03 | LiveAgentBench: Comprehensive Benchmarking of Agentic Systems Across 104 Real-World Challenges
[arXiv] 2026-03-03 | Neural Electromagnetic Fields for High-Resolution Material Parameter Reconstruction
[arXiv] 2026-03-03 | How Controllable Are Large Language Models? A Unified Evaluation across Behavioral Granularities
[arXiv] 2026-03-03 | An Augmented Rating System for Test cricket: adapting Glicko's model
[arXiv] 2026-03-03 | CAPT: Confusion-Aware Prompt Tuning for Reducing Vision-Language Misalignment
[arXiv] 2026-03-03 | Relevance Matters: A Multi-Task and Multi-Stage Large Language Model Approach for E-commerce Query Rewriting
[arXiv] 2026-03-03 | Give me scissors: Collision-Free Dual-Arm Surgical Assistive Robot for Instrument Delivery
[arXiv] 2026-03-03 | On Discriminative vs. Generative classifiers: Rethinking MLLMs for Action Understanding
[arXiv] 2026-03-03 | The solar-like latitudinal distribution of flaring activities revealed by TESS, APOGEE and GALAH
[arXiv] 2026-03-03 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[arXiv] 2026-03-03 | Tree-Embedded Bayesian Factor Models for Multidimensional Categorical Distributions
[arXiv] 2026-03-03 | Recombination Rate Modifiers under Stochastic Transmission
[arXiv] 2026-03-03 | Probing Planck-Scale Physics with High-Frequency Gravitational Waves
[arXiv] 2026-03-03 | The Perceptual Gap: Why We Need Accessible XAI for Assistive Technologies
[arXiv] 2026-03-03 | A Decision Analysis Framework for High-fidelity and Low-fidelity Systems with Applications in Manufacturing Processes
[arXiv] 2026-03-03 | ModalPatch: A Plug-and-Play Module for Robust Multi-Modal 3D Object Detection under Modality Drop
[arXiv] 2026-03-03 | Scalar-Measurement Attitude Estimation on $\mathbf{SO}(3)$ with Bias Compensation
[arXiv] 2026-03-03 | Utonia: Toward One Encoder for All Point Clouds
[arXiv] 2026-03-03 | CFG-Ctrl: Control-Based Classifier-Free Diffusion Guidance
[arXiv] 2026-03-03 | ULTRA: Unified Multimodal Control for Autonomous Humanoid Whole-Body Loco-Manipulation
[arXiv] 2026-03-03 | Beyond thresholds: reconstructing UV physics from IR expansions
[arXiv] 2026-03-03 | Beyond Language Modeling: An Exploration of Multimodal Pretraining
[arXiv] 2026-03-03 | Virtual-Memory Assisted Buffer Management In Tiered Memory
[arXiv] 2026-03-03 | LoGeR: Long-Context Geometric Reconstruction with Hybrid Memory
[arXiv] 2026-03-03 | Yeo's Theorem for Locally Colored Graphs: the Path to Sequentialization in Linear Logic
[arXiv] 2026-03-03 | Inherited Goal Drift: Contextual Pressure Can Undermine Agentic Goals
[arXiv] 2026-03-03 | Fourth-harmonic UV light generation in integrated silicon nitride microresonators
[arXiv] 2026-03-03 | Valet: A Standardized Testbed of Traditional Imperfect-Information Card Games
[arXiv] 2026-03-03 | Will a Large Complex System be a Maxwell Demon?
[arXiv] 2026-03-03 | Spectral gaps and measure decompositions
[arXiv] 2026-03-03 | Guiding isotropic active fluids with anisotropic friction
[arXiv] 2026-03-03 | Stabilized Adaptive Loss and Residual-Based Collocation for Physics-Informed Neural Networks
[arXiv] 2026-03-03 | Hardness of the Binary Covering Radius Problem in Large $\ell_p$ Norms
[arXiv] 2026-03-03 | Recovery-Induced Erasure Attack on QKD Systems
[arXiv] 2026-03-03 | Twisted Standard Model and its Krein structure -- in memoriam Manuele Filaci
[arXiv] 2026-03-03 | Tropical measures, anisotropic isoperimetric inequality and honeycomb
[arXiv] 2026-03-03 | I-CAM-UV: Integrating Causal Graphs over Non-Identical Variable Sets Using Causal Additive Models with Unobserved Variables
[arXiv] 2026-03-03 | Learning When to Act or Refuse: Guarding Agentic Reasoning Models for Safe Multi-Step Tool Use
[arXiv] 2026-03-03 | A Dynamical Theory of Sequential Retrieval in Input-Driven Hopfield Networks
[arXiv] 2026-03-03 | BeyondSWE: Can Current Code Agent Survive Beyond Single-Repo Bug Fixing?
[arXiv] 2026-03-03 | Shared (Mis)Understandings and the Governance of AI: A Thematic Analysis of the 2023-2024 Oversight of AI Hearings
[arXiv] 2026-03-03 | Robotic Grasping and Placement Controlled by EEG-Based Hybrid Visual and Motor Imagery
[arXiv] 2026-03-03 | Type-Aware Retrieval-Augmented Generation with Dependency Closure for Solver-Executable Industrial Optimization Modeling
[arXiv] 2026-03-03 | Saarthi for AGI: Towards Domain-Specific General Intelligence for Formal Verification
[arXiv] 2026-03-03 | Can a Learner Regret Using a No-Regret Algorithm? A Control-Theoretic Study of Performance Dominance
[arXiv] 2026-03-03 | Data Unfolding: From Problem Formulation to Result Assessment
[arXiv] 2026-03-03 | Testing gravitational wave polarizations with LISA
[arXiv] 2026-03-03 | Achieving speedup in Dark Matter search experiments with a transmon-based NISQ algorithm
[arXiv] 2026-03-03 | Hybridizing PDHG and Interior-Point Methods
[arXiv] 2026-03-03 | Agentic AI-based Coverage Closure for Formal Verification
[arXiv] 2026-03-03 | Channel-Adaptive Edge AI: Maximizing Inference Throughput by Adapting Computational Complexity to Channel States
[arXiv] 2026-03-03 | APRES: An Agentic Paper Revision and Evaluation System
[arXiv] 2026-03-03 | Efficient Dynamic Algorithms to Predict Short Races
[arXiv] 2026-03-03 | The Anatomy of Polymarket: Evidence from the 2024 Presidential Election
[arXiv] 2026-03-03 | Exact Moment Estimation of Stochastic Differential Dynamics
[arXiv] 2026-03-03 | Stochastic modeling of long-legged ant A. gracilipes locomotion in laboratory experiments
[arXiv] 2026-03-03 | The MUSE-Faint survey V. The binary fraction of Leo T
[arXiv] 2026-03-03 | Solving sign problems with physics-informed kernels
[arXiv] 2026-03-03 | Scaling of silicon spin qubits under correlated noise
[arXiv] 2026-03-03 | Zigzag Persistence of Neural Responses to Time-Varying Stimuli
[arXiv] 2026-03-03 | Ranking Mean-Field Planning Games
[arXiv] 2026-03-03 | Complementarity between atmospheric and super-beam neutrinos at ESSnuSB
[arXiv] 2026-03-03 | Evaluating Performance Drift from Model Switching in Multi-Turn LLM Systems
[arXiv] 2026-03-03 | Interpreting Speaker Characteristics in the Dimensions of Self-Supervised Speech Features
[arXiv] 2026-03-03 | Compact Prompting in Instruction-tuned LLMs for Joint Argumentative Component Detection
[arXiv] 2026-03-03 | Suppression of Spectral Gap and Flat Bands on a Cuprate Superconductor Side-Surface
[arXiv] 2026-03-03 | MOSS II: Mid frequency radio catalog of Saraswati core region
[arXiv] 2026-03-03 | The Antisymmetric Line Graph
[arXiv] 2026-03-03 | A Practical Guide for Establishing a Technical Debt Management Process (Preprint)
[arXiv] 2026-03-03 | Probabilistic and Alarm-Based Evaluation of a b-Value-Driven Deep Learning Earthquake Forecast
[arXiv] 2026-03-03 | Concentration of the largest induced tree size of $G_{n,p}$ around the standard expectation threshold
[arXiv] 2026-03-03 | Context Adaptive Extended Chain Coding for Semantic Map Compression
[arXiv] 2026-03-03 | V3DB: Audit-on-Demand Zero-Knowledge Proofs for Verifiable Vector Search over Committed Snapshots
[arXiv] 2026-03-03 | Radius-Flow Entanglement in Hadron States and Gravitational Form Factors
[arXiv] 2026-03-03 | An Origin of Radially Aligned Filaments in Hub-Filament Systems
[arXiv] 2026-03-03 | Exact stabilizer scars in two-dimensional $U(1)$ lattice gauge theory
[arXiv] 2026-03-03 | Dynamics of the TWA 7 planetary system and possibility of an additional planet
[arXiv] 2026-03-03 | Simulating a quantum sensor: quantum state tomography of NV-spin systems
[arXiv] 2026-03-03 | Spin Ruijsenaars-Schneider models are Coulomb branches
[arXiv] 2026-03-03 | IoUCert: Robustness Verification for Anchor-based Object Detectors
[arXiv] 2026-03-03 | On the coregularity of del Pezzo surfaces with du Val singularities
[arXiv] 2026-03-03 | cPNN: Continuous Progressive Neural Networks for Evolving Streaming Time Series
[arXiv] 2026-03-03 | Generalized Bayes for Causal Inference
[arXiv] 2026-03-03 | Motion-induced directionality of collective emission in a non-chiral waveguide
[arXiv] 2026-03-03 | REGAL: A Registry-Driven Architecture for Deterministic Grounding of Agentic AI in Enterprise Telemetry
[arXiv] 2026-03-03 | A Perturbative Super-CI Approach for orbital optimization in Two-Component relativistic CASSCF
[arXiv] 2026-03-03 | MaBERT:A Padding Safe Interleaved Transformer Mamba Hybrid Encoder for Efficient Extended Context Masked Language Modeling
[arXiv] 2026-03-03 | Kaon leptonic and semileptonic decays with $N_f=2+1+1$ HISQ fermions
[arXiv] 2026-03-03 | The Boussinesq system in 3-dimensional bounded rough domains: Well-posedness in critical spaces and long-time behavior
[arXiv] 2026-03-03 | QAOA-Predictor: Forecasting Success Probabilities and Minimal Depths for Efficient Fixed-Parameter Optimization
[arXiv] 2026-03-03 | The Dresden Dataset for 4D Reconstruction of Non-Rigid Abdominal Surgical Scenes
[arXiv] 2026-03-03 | Scattering and Femtoscopic Correlation Functions of the $Σ_c^{++}π^{+}$ and $Σ_b^{+}π^{+}$ Systems
[arXiv] 2026-03-03 | Grid-Forming Control with Assignable Voltage Regulation Guarantees and Safety-Critical Current Limiting
[arXiv] 2026-03-03 | Spatial Autoregressive Modeling of DINOv3 Embeddings for Unsupervised Anomaly Detection
[arXiv] 2026-03-03 | LAGO: A Local-Global Optimization Framework Combining Trust Region Methods and Bayesian Optimization
[arXiv] 2026-03-03 | Remarks on the positivity of the cotangent bundle of an Enriques surface
[arXiv] 2026-03-03 | Improving Anomaly Detection with Foundation-Model Synthesis and Wavelet-Domain Attention
[arXiv] 2026-03-03 | Delegation and Verification Under AI
[arXiv] 2026-03-03 | Semi-Supervised Few-Shot Adaptation of Vision-Language Models
[arXiv] 2026-03-03 | Commutative $BV_\infty$ algebras, their morphisms and $\frac{\infty}{2}$-variation of Hodge structures
[arXiv] 2026-03-03 | Sparse autoencoders reveal organized biological knowledge but minimal regulatory logic in single-cell foundation models: a comparative atlas of Geneformer and scGPT
[arXiv] 2026-03-03 | SEALing the Gap: A Reference Framework for LLM Inference Carbon Estimation via Multi-Benchmark Driven Embodiment
[arXiv] 2026-03-03 | Contextual Latent World Models for Offline Meta Reinforcement Learning
[arXiv] 2026-03-03 | TRACE: Task-Adaptive Reasoning and Representation Learning for Universal Multimodal Retrieval
[arXiv] 2026-03-03 | Unshadowing the constituent quark number scaling of harmonic flow in heavy-ion collisions
[arXiv] 2026-03-03 | Toward multi-purpose quantum communication networks: from theory to protocol implementation
[arXiv] 2026-03-03 | Wind Accretion in Massive Binaries Experiencing High Mass Loss Rates: II. Eccentricity
[arXiv] 2026-03-03 | Articulation in Motion: Prior-free Part Mobility Analysis for Articulated Objects By Dynamic-Static Disentanglement
[arXiv] 2026-03-03 | Direct Scattering for the KdV Equation with a Step-like Finite-Gap Potential: A Riemann--Hilbert Approach
[arXiv] 2026-03-03 | Spatial Property of Multiple Metallic Populations in the Tidal Stream of ω Centauri
[arXiv] 2026-03-03 | Distributed Dynamic Invariant Causal Prediction in Environmental Time Series
[arXiv] 2026-03-03 | Speech recognition assisted by large language models to command software orally -- Application to an augmented and virtual reality web app for immersive molecular graphics
[arXiv] 2026-03-03 | Polarization Effects in Laser-Assisted (e,2e) Collision on H-atom by Twisted Electrons
[arXiv] 2026-03-03 | Generalized non-exponential Gaussian splatting
[arXiv] 2026-03-03 | Size Scaling Law for Radiation Losses of Modes in Photonic Crystal Surface Emitting Devices
[arXiv] 2026-03-03 | Emerging trends in Cislunar Space for Lunar Science Exploration and Space Robotics aiding Human Spaceflight Safety
[arXiv] 2026-03-03 | Discrete-modulation continuous-variable quantum key distribution with probabilistic amplitude shaping over a linear quantum channel
[arXiv] 2026-03-03 | An Extensible Quantum Network Simulator Built on ns-3: Q2NS Design and Evaluation
[arXiv] 2026-03-03 | Design, Modeling and Direction Control of a Wire-Driven Robotic Fish Based on a 2-DoF Crank-Slider Mechanism
[arXiv] 2026-03-03 | Optimal Routing across Constant Function Market Makers with Gas Fees
[arXiv] 2026-03-03 | Countable periodic solutions of the Lorentz force equation under a time-dependent current
[arXiv] 2026-03-03 | Classification and a Wold-type decomposition for doubly twisted near-isometries
[arXiv] 2026-03-03 | Obituary for Augustin Fresnel
[arXiv] 2026-03-03 | Charging power enhancement at the phase transition of a non-integrable quantum battery
[arXiv] 2026-03-03 | Single-star optical turbulence profiling techniques for the SHIMM and other Shack-Hartmann instruments
[arXiv] 2026-03-03 | Benchmarking Speech Systems for Frontline Health Conversations: The DISPLACE-M Challenge
[arXiv] 2026-03-03 | ChemFlow:A Hierarchical Neural Network for Multiscale Representation Learning in Chemical Mixtures
[arXiv] 2026-03-03 | The Price of Robustness: Stable Classifiers Need Overparameterization
[arXiv] 2026-03-03 | R3GW: Relightable 3D Gaussians for Outdoor Scenes in the Wild
[arXiv] 2026-03-03 | Tilt Automata: Gathering Particles With Uniform External Control
[arXiv] 2026-03-03 | Ionic Liquid Biospheres
[arXiv] 2026-03-03 | Asymptotic Log-Harnack Inequality for Degenerate SPDEs with Reflection
[arXiv] 2026-03-03 | Coherent magnetic excitations in a topological Kondo semimetal
[arXiv] 2026-03-03 | APAO: Adaptive Prefix-Aware Optimization for Generative Recommendation
[arXiv] 2026-03-03 | The power of small initialization in noisy low-tubal-rank tensor recovery
[arXiv] 2026-03-03 | Energization of Proton via Beam-Driven Ion Bernstein Waves in p11B Plasmas
[arXiv] 2026-03-03 | S2CDR: Smoothing-Sharpening Process Model for Cross-Domain Recommendation
[arXiv] 2026-03-03 | Decoupling Intrinsic Molecular Efficacy from Platform Effects: An Interpretable Machine Learning Framework for Unbiased Perovskite Passivator Discovery
[arXiv] 2026-03-03 | One-Dimensional Metallic Polymeric Nitrogen
[arXiv] 2026-03-03 | MiM-DiT: MoE in MoE with Diffusion Transformers for All-in-One Image Restoration
[arXiv] 2026-03-03 | VA-DAR: A PQC-Ready, Vendor-Agnostic Deterministic Artifact Resolution for Serverless, Enumeration-Resistant Wallet Recovery
[arXiv] 2026-03-03 | Retrieval-Augmented Robots via Retrieve-Reason-Act
[arXiv] 2026-03-03 | FEASTS and MHONGOOSE: HI Column Density Distribution at $z=0$ for $N_\mathrm{HI}>10^{17.8}\, \mathrm{cm}^{-2}$
[arXiv] 2026-03-03 | Blockchain Communication Vulnerabilities
[arXiv] 2026-03-03 | SEP-YOLO: Fourier-Domain Feature Representation for Transparent Object Instance Segmentation
[arXiv] 2026-03-03 | Rethinking Training Targets, Architectures and Data Quality for Universal Speech Enhancement
[arXiv] 2026-03-03 | An Upper Bound for the Double Domination Number in Maximal Outerplanar Graphs
[arXiv] 2026-03-03 | Disorder induced melting and glass formation in a one-component Lennard-Jones system
[arXiv] 2026-03-03 | Neutrino mass limits and decaying dark matter: background evolution versus perturbations
[arXiv] 2026-03-03 | How to Peel with a Knife: Aligning Fine-Grained Manipulation with Human Preference
[arXiv] 2026-03-03 | Torsionless three-dimensional Heterotic solitons with harmonic curvature are rigid
[arXiv] 2026-03-03 | A More Rigorous Test Problem For Viscous Hydrodynamics Codes
[arXiv] 2026-03-03 | Physics-informed post-processing of stabilized finite element solutions for transient convection-dominated problems
[arXiv] 2026-03-03 | Speculative Speculative Decoding
[arXiv] 2026-03-03 | Anomalous Klein tunnelling with magnetic barriers in strained graphene
[arXiv] 2026-03-03 | The elbow statistic: Multiscale clustering statistical significance
[arXiv] 2026-03-03 | Inverse Reconstruction of Shock Time Series from Shock Response Spectrum Curves using Machine Learning
[arXiv] 2026-03-03 | Emergent superconducting phases in unconventional $p$-wave magnets: Topological superconductivity, Bogoliubov Fermi surfaces and superconducting diode effect
[arXiv] 2026-03-03 | Deception by Design: A Temporal Dark Patterns Audit of McDonald's Self-Ordering Kiosk Flow
[arXiv] 2026-03-03 | Anisotropic magnetoelastic coupling in the honeycomb magnet Na$_3$Co$_2$SbO$_6$
[arXiv] 2026-03-03 | NeuroSkill(tm): Proactive Real-Time Agentic System Capable of Modeling Human State of Mind
[arXiv] 2026-03-03 | Relativistic distorted-wave analysis of the missing-energy spectrum measured with monochromatic $ν_μ$-$^{12}$C interactions at JSNS$^{2}$
[arXiv] 2026-03-03 | A broadband search for coherent emission in radio-cataclysmic variables
[arXiv] 2026-03-03 | Understanding and Mitigating Dataset Corruption in LLM Steering
[arXiv] 2026-03-03 | Ultra slow-turn inflation
[arXiv] 2026-03-03 | MoD-DPO: Towards Mitigating Cross-modal Hallucinations in Omni LLMs using Modality Decoupled Preference Optimization
[arXiv] 2026-03-03 | ProSMA-UNet: Decoder Conditioning for Proximal-Sparse Skip Feature Selection
[arXiv] 2026-03-03 | Less Noise, Same Certificate: Retain Sensitivity for Unlearning
[arXiv] 2026-03-03 | Axial triangles in $q\bar{q}\to Zγ$ at two loops in QCD directly in four dimensions
[arXiv] 2026-03-03 | Enhancing the Energy Resolution in Scanning Tunneling Microscopy: from dynamical Coulomb blockade to cavity quantum electrodynamics
[arXiv] 2026-03-03 | Kling-MotionControl Technical Report
[arXiv] 2026-03-03 | Information Routing in Atomistic Foundation Models: How Equivariance Creates Linearly Disentangled Representations
[arXiv] 2026-03-03 | Extending the saemix package for R to fit non Gaussian outcomes
[arXiv] 2026-03-03 | The Household Impact of Generative AI: Evidence from Internet Browsing Behavior
[arXiv] 2026-03-03 | A very robust Ramsey theorem for matchings
[arXiv] 2026-03-03 | Look Forward to Walk Backward: Efficient Terrain Memory for Backward Locomotion with Forward Vision
[arXiv] 2026-03-03 | Influence of stacking, coordination, and surface chemistry on Al intercalation in V$_2$CT$_2$ and Ti$_3$C$_2$T$_2$ MXenes for Al-ion batteries
[arXiv] 2026-03-03 | Joint Training Across Multiple Activation Sparsity Regimes
[arXiv] 2026-03-03 | On shear Alfvén wave-induced energetic ion transport in optimized stellarators
[arXiv] 2026-03-03 | Timehash: Hierarchical Time Indexing for Efficient Business Hours Search
[arXiv] 2026-03-03 | Direct Reward Fine-Tuning on Poses for Single Image to 3D Human in the Wild
[arXiv] 2026-03-03 | His2Trans: A Skeleton First Framework for Self Evolving C to Rust Translation with Historical Retrieval
[arXiv] 2026-03-03 | Detecting Structural Heart Disease from Electrocardiograms via a Generalized Additive Model of Interpretable Foundation-Model Predictors
[arXiv] 2026-03-03 | A Bayesian Hierarchical Hurdle Beta-Binomial Model for Survey-Weighted Bounded Counts and Its Application to Childcare Enrollment
