[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[IEEE] 2026-2-27 | A Disturbance-Triggered Dual-Agent Reinforcement Learning Frequency Compensation Strategy with Lyapunov-Guided Stability for LLC Resonant Converters
[IEEE] 2026-2-27 | An Improved Passivity-Based Control Method for Three-Phase ANPC Inverters under Weak Grid
[IEEE] 2026-2-27 | Adaptive Communication Protocols for Manager-Worker Small LLM Multi-Agent Systems in Resource-Constrained Environments
[IEEE] 2026-2-27 | Improving Robotic Imitation Learning with Predicted Facial Motion Using Transformers
[IEEE] 2026-2-27 | Research on Transformer with Variable Magnetizing Inductance Applied to Dual Mode LLC-DAB Converter
[IEEE] 2026-2-27 | An ISO/IEC 25010-Based Evaluation Methodology for Designing Digital Mock-Up Toward Nuclear Decommissioning
[IEEE] 2026-2-27 | Research on Control and Modulation Strategy for Reusing Module Soft Open Point Topology
[IEEE] 2026-2-27 | Spam Email Classification using Bag-of-Words Features and Multilayer Perceptron Neural Networks
[IEEE] 2026-2-27 | Capacitor Voltage Reconfiguration and Control Methods of Variable-Level ANPC Inverters
[IEEE] 2026-2-27 | Deep Neural Network Watermarking to Detect Backdoor Attacks in Datasets Using Wet Paper Coding
[IEEE] 2026-2-27 | Development of a Gel Urethra Model Simulator Using Agarose-PEG and Performance Evaluation of a Soft Growing Actuator for Urinary Catheter Insertion Assistance
[IEEE] 2026-2-27 | Sonar Target Localization and Trajectory Based on Neural Network
[IEEE] 2026-2-27 | Benefits of Automatic Temperature Controller on Human Body and Maintaining Room Temperature
[IEEE] 2026-2-27 | Disturbance Suppression Strategy of Intermediate DC-Bus Voltage for Two-stage Grid-connected Inverter
[IEEE] 2026-2-27 | A Novel High Efficiency Step-up DC auto-Transformer for DC Grid
[IEEE] 2026-2-27 | Towards Personalized Context-aware Bedside Patient Monitoring
[IEEE] 2026-2-27 | Analysis and Design of a Parametric Hybrid Adder with Tunable Accuracy Using Kogge-Stone and Approximate Ripple-Carry Architecture
[IEEE] 2026-2-27 | Bio-Inspired Object Reference Recognition in Human-Robot Interaction under Ambiguous Non-Verbal Cues
[IEEE] 2026-2-27 | DYOLO: Deformable based YOLOV7 for polyp detection
[IEEE] 2026-2-27 | SMART-MI: Scalable Machine Learning Approach for Risk Tracking in Myocardial Infarction Prediction
[IEEE] 2026-2-27 | Dual Sequence PSPWM Strategies for 5-level FCML Totem-pole PFC to Suppress Voltage Ringing across Flying Capacitors during Bus Voltage Recovering
[IEEE] 2026-2-27 | Text-to-Motion Generation for Diverse Human Body-Motion Simulation
[IEEE] 2026-2-27 | High-Level Synthesis of AlexNet CNN based model for Brain Tumor Diagnosis through FPGA Deployment Using Vitis HLS
[IEEE] 2026-2-27 | An Artificial Neural Network-based PWM Method for Common Mode Voltage Suppression in Back-to-Back Two-Level Converters
[IEEE] 2026-2-27 | Enhancing Vision-Based Tactile Sensing Through a Fingernail-Inspired Structure for Improved Contact and Texture Detection
[IEEE] 2026-2-27 | Magnetic Coupler of Wireless Charging System Using Magnetic Core with Plasticity
[IEEE] 2026-2-27 | Design of a Tendon-Driven Robotic Hand for High-Force Grasping and Dexterous Manipulation
[IEEE] 2026-2-27 | MAEIE 2025 Copyright Page
[IEEE] 2026-2-27 | Energy-Efficient Adaptive Beamforming for 5G Massive Mimo Using Deep Reinforcement Learning
[IEEE] 2026-2-27 | Performance Comparison of Machine Learning Models in Data-Driven Receiver Circuit Design
[IEEE] 2026-2-27 | Leveraging Graph Databases for Real-Time Spam Detection on Social Media
[IEEE] 2026-2-27 | YOLO-Based Framework for Efficient Lung Cancer Detection from CT Imaging
[IEEE] 2026-2-27 | An Improved Harmonic Detection Method Based on Multi-synchronous Rotating Frame with Mean Filtering
[IEEE] 2026-2-27 | QDM-RNN: Acquisition of High-speed and Robust Behavior from Low-speed Demonstrations
[IEEE] 2026-2-27 | Scalable Vehicle Toll Model using Second Layer Blockchain
[IEEE] 2026-2-27 | Design and Implementation of A DSP-Enhanced RISC-V Pipelined Processor Using Verilog HDL
[IEEE] 2026-2-27 | Comparing a Store-less Password Manager with Traditional Password-Only Authentication
[IEEE] 2026-2-27 | Analysis of Machine Learning Framework for Burnout Detection Using Social Media Sentiment
[IEEE] 2026-2-27 | A Compact and High-Conversion-Gain W-Band Differential Distributed Frequency Doubler With Over-NeutralizingSecond-Harmonic Feedback
[IEEE] 2026-2-27 | Motion Simulation of the Human Upper Limb Based on Optimal Control
[IEEE] 2026-2-27 | Bibliometric Landscape of Text and Document Classification Research in Natural Language Processing
[IEEE] 2026-2-27 | Design and Implementation of a Human Behavior Recognition Information System Based on RFID and AI
[IEEE] 2026-2-27 | Deep Learning-Based Meat Freshness Detection with Segmentation and OOD-Aware Classification
[IEEE] 2026-2-27 | Harnessing Attention Weight Tables for Computationally Efficient Multiple Object Tracking With Transformers
[IEEE] 2026-2-27 | ESG-Net: Event-Aware Semantic Guided Network for Dense Audio-Visual Event Localization
[IEEE] 2026-2-27 | Dependence of Mo/Au Transition-Edge Sensor Properties on Normal Resistance and Critical Temperature
[IEEE] 2026-2-27 | Automated Detection and Recognition of Engraved Serial Numbers on Metallic Surfaces
[IEEE] 2026-2-27 | A Parametric-Adaptive Filter for Improving LiDAR Performance Under Snowfall Conditions
[IEEE] 2026-2-27 | Geo-SelfSSC: Integrating Dense Geometric Priors for Enhanced Self-Supervised Semantic Scene Completion
[IEEE] 2026-2-27 | A ROS-Based Multi-Modal Architecture for Fall Detection and Response with a Social Robot
[IEEE] 2026-2-27 | Marketing Technology and Innovation in Financial Services: A Bibliometric Mapping of Research Trends
[IEEE] 2026-2-27 | Research on Harmonic Suppression Strategy of Grid-Forming Impedance-Adapter-Based Droop-Controlled Converters
[IEEE] 2026-2-27 | DoC-Informer: Automated Discrimination of Disorders of Consciousness under Adaptive EEG Settings
[IEEE] 2026-2-27 | ZVS Three-Phase Interleaved Totem-Pole Bridgeless PFC Converter
[IEEE] 2026-2-27 | Securing Biometric Authentication System using Blockchain Technology
[IEEE] 2026-2-27 | Configurable Pneumatic Soft Actuators for Multi-Directional Wrist Rehabilitation
[IEEE] 2026-2-27 | Advancing Multimodal Sentiment Analysis: Models, Datasets, and Future Directions
[IEEE] 2026-2-27 | 3D-Printed Sub-Terahertz High-Scanning-Rate Leaky-Wave Antenna Based on Metallic Spoof Surface Plasmon Polaritons
[IEEE] 2026-2-27 | Docking-Based Insights into Phyllanthus Amarus Bioactives as Potential Inhibitors of Human Papillomavirus (HPV) E6 Protein
[IEEE] 2026-2-27 | Topological Indices of Melem Chain, Polymethyl Methacrylate Network and SiO
                    <sub>2</sub>
                    Nanostructures
[IEEE] 2026-2-27 | A Multi-phase to Multi-phase Direct AC/AC Converter
[IEEE] 2026-2-27 | Research on Grid-connected and Off-grid Control Strategy of Bidirectional VSG with Energy Storage Coordination
[IEEE] 2026-2-27 | Quantum Annealed Geometric Mean Optimization for Calibrated Optimization of KAN
[IEEE] 2026-2-27 | Early Glaucoma Screening Using YOLO and Deep Features from Fundus Images
[IEEE] 2026-2-27 | Torsional Vibration Suppression Control Based on Weighted Average Speed Feedback
[IEEE] 2026-2-27 | High Efficiency High Power Density SRC-DCX Considering the DC bias of the Resonant Capacitor
[IEEE] 2026-2-27 | Digital Alignment of E-Commerce, Marketing Technology, and IT Governance for MSMEs to Achieve Sustainable Development Goal 8
[IEEE] 2026-2-27 | Condensation-Concatenation Framework for Dynamic Graph Continual Learning
[IEEE] 2026-2-27 | FGC-Comp: Adaptive Neighbor-Grouped Attribute Completion for Graph-based Anomaly Detection
[IEEE] 2026-2-27 | SMOTE-Assisted BiLSTM Modeling for Reliable Industrial Fault Classification in Imbalanced Monitoring Data
[IEEE] 2026-2-27 | Pose-Invariant Grasping via Equidistant Travel Control of an Underactuated Three-Finger Gripper
[IEEE] 2026-2-27 | Data Augmentation for Continual Learning of Fast and Smooth Imitation Motions Using Model Predictive Control
[IEEE] 2026-2-27 | ISED 2025 Cover Page
[IEEE] 2026-2-27 | Adaptive DC Voltage Control for Receiving End Converter of Phase-Shifted Diode Rectifier Based Distant Offshore Wind Power Transmission System
[IEEE] 2026-2-27 | Hourly Load Forecasting of EV Charging Stations Using ARIMA and LSTM Model
[IEEE] 2026-2-27 | Localized Large Model Trusted Computing System Based on LAN Computing Resource Pool Construction
[IEEE] 2026-2-27 | Multi-Resonant Control with Online Gain Optimization for Enhanced Harmonic Voltage Suppression in Voltage Source Inverters
[IEEE] 2026-2-27 | Data-Driven Machine Learning and NSGA-II Based Parameter Prediction and Optimization Method for Wireless Power Transfer Couplers
[IEEE] 2026-2-27 | The Influence of Personality Traits, Digital Culture, and Digital Leadership on Digital Transformation in a Security Outsourcing Company
[IEEE] 2026-2-27 | The Influence of E-Service Quality on Customer Loyalty and Positive Word of Mouth through Customer Experience and Customer Satisfaction in Banks Classified under Core Capital Group IV
[IEEE] 2026-2-27 | Identification of Oils by ARS and ECOC-SVM Classifier Framework
[IEEE] 2026-2-27 | An Advanced Power Cycling Test Method for SiC MOSFETs Based on Real-Time Junction Temperature Control
[IEEE] 2026-2-27 | Adaptive Iterative Learning-Based Waveform Replication Control
[IEEE] 2026-2-27 | A Study of Reinforcement Learning for Indoor Path Planning with Dynamic Obstacles
[IEEE] 2026-2-27 | Explainable Deep Learning Framework for Child Autism Detection via EEG and Facial Features with Confidence-Based Decision-Level Fusion
[IEEE] 2026-2-27 | IWSA 2025 Committees
[IEEE] 2026-2-27 | ISED 2025 Cover Page
[IEEE] 2026-2-27 | Towards Synergistic Human-Robot Co-Adaptation via Reciprocal Feedback for Shared Contact Tasks
[IEEE] 2026-2-27 | Ultra-Low Cross Polarization Broadband Compact Magneto-Electric Dipole Antenna Array for 5G Applications
[IEEE] 2026-2-27 | Real-Time Threat Detection in Networks Using Machine Learning: A Predictive Approach to Cybersecurity
[IEEE] 2026-2-27 | A Study on the Impact of HFT (PCB) Winding Structure on Common-Mode EMI in Isolated Half-Bridge DC/DC Converters
[IEEE] 2026-2-27 | Optimizing Public Transport Scheduling Through IoT-Enabled Vehicle Demand Prediction with LSTM-MDN
[IEEE] 2026-2-27 | Vision Based Traffic Control System for Pedestrian Safety
[IEEE] 2026-2-27 | Design of Intelligent Tennis Ball Retrieval Robot System Based on STM32U5 and OpenMV
[IEEE] 2026-2-27 | System-Level Simulation of a Fully-Immersed Evaporative Cooling System for High-Speed Permanent Magnet Synchronous Motors Based on a Lumped-Parameter Thermal Model
[IEEE] 2026-2-27 | Instability of Rain-induced Attenuation due to Rain Height Variability for Earth-Space Links operating at SHF and EHF in Cape Town, South Africa
[ACM] 2026-2-27 | A Sound-based Vehicle Position Localization Dataset and Combined Filtering Strategy
[ACM] 2026-2-27 | Extracting Linear Features in Archaeological Contexts
[IEEE] 2026-2-27 | Automating Infrastructure Surveying: A Framework for Geometric Measurements and Compliance Assessment Using Point Cloud Data_supp1-3667090.mp4
[IEEE] 2026-2-27 | Dynamic Facial Motion Analysis Using High-precision Geometry from a High-speed Metric 3D Camera System
[IEEE] 2026-2-27 | Digital Twin and Scheduling of Parallel Walking Beam Reheating Furnaces
[IEEE] 2026-2-27 | ISAC-Empowered LEO Constellation Networked Sensing: Challenges and Opportunities
[IEEE] 2026-2-27 | Image Dehazing Using Patch-wise Nonlinear Brightness Prior
[IEEE] 2026-2-27 | Cross-Domain Standardization and Secure Edge Intelligence for Real-Time Digital Twin Deployments in Next-Generation Communication Systems
[IEEE] 2026-2-27 | Efficient Dataset Distillation via Generative Pruning
[IEEE] 2026-2-27 | Label Correction via Contrastive Embedding for Noisy Multi-label Learning
[IEEE] 2026-2-27 | Table of Contents
[IEEE] 2026-2-27 | Energy-Aware Task Offloading and Resource Management in Delay-Sensitive Edge-Cloud Computing Environment Optimization
[IEEE] 2026-2-27 | A Hybrid Modulation Strategy for Hybrid 4-leg Three-level FC-NPC Inverter to Suppress Common-Mode Voltage
[IEEE] 2026-2-27 | Design of a Wireless Power Transfer System Based on Multi-Objective Particle Swarm Optimization
[IEEE] 2026-2-27 | Motion Generation for Surgical Robots using Task-Aware Attention based on Deep Predictive Learning *
[IEEE] 2026-2-27 | Ldir: Natural Language Instruction Based Database Information Retrieval Using Local Lightweight Large Language Model
[IEEE] 2026-2-27 | Research on Sensorless Control Strategy for Permanent Magnet Synchronous Motors Based on ASEKF
[IEEE] 2026-2-27 | A Novel PWM Scheme to Suppress the Intra-phase Circulating Current in Two-Parallel Three-Phase Two-Level Converters
[IEEE] 2026-2-27 | A Novel Circulating Current Suppression Strategy for Isolated Modular Multilevel DC Transformer Arms
[IEEE] 2026-2-27 | Position and Attitude Estimation for Hydraulic Excavator Using External Sensors and Joint Angle Sensors
[IEEE] 2026-2-27 | Grid-Tied Solar EV Charging Infrastructure: A Feasibility Study for Urban Deployment in India
[IEEE] 2026-2-27 | Predictive Modeling of Viewer Migration: Analyzing the Shift from Theatres to OTT Platforms in Urban India Using Decision Trees
[IEEE] 2026-2-27 | Joint Trajectory and Power Optimization in UAV-assisted USVs Communication Network
[IEEE] 2026-2-27 | Research on the Prediction Model of Remaining Service Life of Industrial Water Pumps Based on STACM-BiLSTM
[IEEE] 2026-2-27 | Infrared Thickness Measurement of SiC/Si Epitaxial Layers with Multibeam Interference Modeling
[IEEE] 2026-2-27 | Research on Deep Learning-Based Point Cloud Completion and Recognition Methods for Mechanical Parts
[IEEE] 2026-2-27 | Heart Rate Measurement using an Earphone-Type Wearable Device Equipped with Biodegradable Piezoelectric Sensors
[IEEE] 2026-2-27 | Hybrid Solar/Diesel Central Heating Experimental Investigation &amp; Control
[IEEE] 2026-2-27 | Sensorless Detection of Axial Position in a 3-DOF Suspension System Based on a Super-Twisting Sliding Mode Flux Observer
[IEEE] 2026-2-27 | Power Oscillation and Stability Analysis of Parallel VSG Systems with Induction Motor Loads Based on [P Q] - [ω V] Modeling
[IEEE] 2026-2-27 | Exploration of Novel Heat Sink and Cooling Technologies for SiC Power Modules
[IEEE] 2026-2-27 | Dynamic Resource Management and Routing Algorithm for Low-Earth Orbit Satellite Networks Based on Deep Reinforcement Learning
[IEEE] 2026-2-27 | A Novel Precursor for Online Gate Oxide Degradation Monitoring in SiC MOSFETs
[IEEE] 2026-2-27 | Active Damping Control for Grid-Connected Inverter with the Magnetic Integrated LCL Filter
[IEEE] 2026-2-27 | Multi-Agent Federated Edge Learning for UAV-IDS in Smart City IoT Environment_supp1-3667039.pdf
[IEEE] 2026-2-27 | Online Battery Impedance Identification Based on Flying-Capacitor Leg of FC-NPC Inverter
[IEEE] 2026-2-27 | Design of a Winograd-Based CNN Accelerator with Reconfigurable Convolution Core for FPGA
[IEEE] 2026-2-27 | A 48-V to 12-V/120-A Hybrid Switched-Capacitor Converter with 6200-W/in
                    <sup>3</sup>
                    Power Density
[IEEE] 2026-2-27 | Delay Optimization for RIS-Assisted SWIPT-MEC Joint Uplink and Downlink System
[IEEE] 2026-2-27 | Application of Dual-Stream Network with Fusion Attention Mechanism in Defense Sliding Step Posture Defect Detection
[IEEE] 2026-2-27 | 2026 IEEE/SICE International Symposium on System Integration (SII)
[IEEE] 2026-2-27 | Pilot Overhead in Reconfigurable Intelligent Surface-Assisted Wireless Communication Channel Estimation - Art Review
[IEEE] 2026-2-27 | Domain Adaptive Network for Fault Diagnosis of Rolling Bearings Under Time-Varying Speed
[IEEE] 2026-2-27 | A Novel On-state Voltage Measurement Circuit for High-voltage IGBTs Based on Cascaded SiC JEFTs
[IEEE] 2026-2-27 | Hierarchical Planning and Scheduling for Reconfigurable Multi-Robot Disassembly Systems under Structural Constraints
[IEEE] 2026-2-27 | Impact Attenuation in Robotic Hammering Tasks
[IEEE] 2026-2-27 | Personal Space Toward Human-like and Non-human-like Robots: Effects of Robot Appearance and Likability
[IEEE] 2026-2-27 | Design and Analysis of the Joint Module for a Modular Wire-Actuated Robotic Arm
[IEEE] 2026-2-27 | 3D Printing Concrete Path Planning System Based on Machine Vision
[IEEE] 2026-2-27 | Optimizing Large Language Models for Financial Analytics: A Comprehensive Framework for Domain-Specific Adaptation
[IEEE] 2026-2-27 | DA-ERL: Demand-Aware Partitioned Collaborative Inference for On-Device Models
[IEEE] 2026-2-27 | LLM-Empowered Agentic AI for QoE-Aware Network Slicing Management in Industrial IoT
[IEEE] 2026-2-27 | Robust Tensor Completion via Gradient Tensor Nuclear
                    <i>ℓ</i>
                    <sub>1</sub>
                    -
                    <i>ℓ</i>
                    <sub>2</sub>
                    Norm for Traffic Data Recovery
[IEEE] 2026-2-27 | CustomVideo: Customizing Text-to-Video Generation With Multiple Subjects
[IEEE] 2026-2-27 | Power Quality Enhancement in Grid connected Renewable Energy Microgrids with Energy Storage: A Comprehensive Review
[IEEE] 2026-2-27 | Maintenance Decision Support System for Multiple Units Based on High-Quality Knowledge Graphs
[IEEE] 2026-2-27 | Hybrid Metaheuristic Optimization for Real-Time Tuning of Extended PID Controllers for DC–DC Buck Converter
[IEEE] 2026-2-27 | Scalable Tactile Coding
[IEEE] 2026-2-27 | A Dual-Band Simultaneous RF Energy Harvesting System With Globally Optimized 3-D MPPT and Efficiency Enhancement
[IEEE] 2026-2-27 | Digital-Twin-Enabled Outage Detection and Uplink Availability Optimization with UAV Assistance
[IEEE] 2026-2-27 | How Ready are Indonesians for Digital Governmentƒ Measuring Citizens' Skills in Majalengka
[IEEE] 2026-2-27 | Orthogonal Manipulability Optimization for OMRM With Neural Networks and Nonconvex Constraints
[IEEE] 2026-2-27 | Towards Acceptance of Virtual Validation: The Indirect Technology Acceptance Framework
[IEEE] 2026-2-27 | A Heuristic Search Path Planning Algorithm for Complex Dynamic Environments
[IEEE] 2026-2-27 | Mixed Competitive—Cooperative Pricing for EV Charging Stations: A Multi-Agent Reinforcement Learning Approach with Heterogeneous Hierarchical Attention
[IEEE] 2026-2-27 | A Novel Lightweight Hybrid MLP and Quantum Neural Network Model for Bit Error Rate Prediction in NOMA-Enabled Visible Light Communication Systems
[IEEE] 2026-2-27 | URL2Path: A Robust Graph Learning Approach for Malicious URL Detection
[IEEE] 2026-2-27 | Combating Banana Crop Losses: A CNN-Random Forest Model for Leaf Disease Classification
[IEEE] 2026-2-27 | A Game-Theoretic Incentive Mechanism for Blockchain-based Semi-Asynchronous Federated Learning
[IEEE] 2026-2-27 | Vision-Guided Flexible Material Sorting and Palletizing System Based on HALCON
[IEEE] 2026-2-27 | Combining High Level Scheduling and Low Level Control to Manage Fleets of Mobile Robots
[IEEE] 2026-2-27 | Research on Torque-Based Bolt Removal Identification Algorithm
