[2026-02-20 09:29:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-19
正在获取论文...
[arXiv] 2026-02-19 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[arXiv] 2026-02-19 | MolHIT: Advancing Molecular-Graph Generation with Hierarchical Discrete Diffusion Models
[arXiv] 2026-02-19 | Graph Neural Model Predictive Control for High-Dimensional Systems
[arXiv] 2026-02-19 | Asymptotic Smoothing of the Lipschitz Loss Landscape in Overparameterized One-Hidden-Layer ReLU Networks
[arXiv] 2026-02-19 | States that grow linearly in time, exceptional points, and zero norm states in the simple harmonic oscillator
[arXiv] 2026-02-19 | Renormalization Group and String Loops
[arXiv] 2026-02-19 | Non-BPS Monopoles and Dyons via Resurgent Transseries
[arXiv] 2026-02-19 | Momentum Measurement of Charged Particles in FASER's Emulsion Detector at the LHC
[arXiv] 2026-02-19 | Lecture Notes: Probing ultralight axion-like particles with quantum technology
[arXiv] 2026-02-19 | Compact Representation of Particle-Collision Events for Physics-Informed Machine Learning
[arXiv] 2026-02-19 | On the Linearization of Flat Multi-Input Systems via Prolongations
[arXiv] 2026-02-19 | ODESteer: A Unified ODE-Based Steering Framework for LLM Alignment
[arXiv] 2026-02-19 | Enhanced distribution of molecules in the brain due to oscillations of the interstitial flow
[arXiv] 2026-02-19 | MASPO: Unifying Gradient Utilization, Probability Mass, and Signal Reliability for Robust and Sample-Efficient LLM Reasoning
[arXiv] 2026-02-19 | Light-Activated Self-thermophoretic Janus Nanopropellers
[arXiv] 2026-02-19 | Learning to Stay Safe: Adaptive Regularization Against Safety Degradation during Fine-Tuning
[arXiv] 2026-02-19 | genriesz: A Python Package for Automatic Debiased Machine Learning with Generalized Riesz Regression
[arXiv] 2026-02-19 | Parity-Doublet Coherence Times in Optically Trapped Polyatomic Molecules
[arXiv] 2026-02-19 | Provably Explaining Neural Additive Models
[arXiv] 2026-02-19 | RA-Nav: A Risk-Aware Navigation System Based on Semantic Segmentation for Aerial Robots in Unpredictable Environments
[arXiv] 2026-02-19 | A Kinetic Route to Helicity-Constrained Decay
[arXiv] 2026-02-19 | Bridging the Domain Divide: Supervised vs. Zero-Shot Clinical Section Segmentation from MIMIC-III to Obstetrics
[arXiv] 2026-02-19 | High Order semi-implicit Rosenbrock type and Multistep methods for evolutionary partial differential equations with higher order derivatives
[arXiv] 2026-02-19 | Robust Adaptive Sliding-Mode Control for Damaged Fixed-Wing UAVs
[arXiv] 2026-02-19 | An extension to reversible jump Markov chain Monte Carlo for change point problems with heterogeneous temporal dynamics
[arXiv] 2026-02-19 | Proximal powered knee placement: a case study
[arXiv] 2026-02-19 | Phase transitions in quasi-Hermitian quantum models at exceptional points of order four
[arXiv] 2026-02-19 | Prediction of room-temperature two-dimensional $π$-electron half-metallic ferrimagnets
[arXiv] 2026-02-19 | Linear Convergence in Games with Delayed Feedback via Extra Prediction
[arXiv] 2026-02-19 | On the three space property for $C(K)$-spaces
[arXiv] 2026-02-19 | QuPAINT: Physics-Aware Instruction Tuning Approach to Quantum Material Discovery
[arXiv] 2026-02-19 | A Cost-Effective and Climate-Resilient Air Pressure System for Rain Effect Reduction on Automated Vehicle Cameras
[arXiv] 2026-02-19 | Support Recovery and $\ell_2$-Error Bound for Sparse Regression with Quadratic Measurements via Weakly-Convex-Concave Regularization
[arXiv] 2026-02-19 | Neutral Scalar Signatures at a Muon Collider in the $Z_3$ symmetric Three Higgs Doublet Model
[arXiv] 2026-02-19 | Design of low-energy transfers in cislunar space using sequences of lobe dynamics
[arXiv] 2026-02-19 | A Programmable Linear Optical Quantum Reservoir with Measurement Feedback for Time Series Analysis
[arXiv] 2026-02-19 | Global bifurcations and basin geometry of the nonlinear non-Hermitian skin effect
[arXiv] 2026-02-19 | Fault-tolerant preparation of arbitrary logical states in the cat code
[arXiv] 2026-02-19 | Organic molecules as single-photon sources
[arXiv] 2026-02-19 | Renormalization group flow of $O(N)^3$-invariant general sextic tensor model
[arXiv] 2026-02-19 | Uniform Set Systems with Uniform Witnesses
[arXiv] 2026-02-19 | Stockmayer Fluid with a Shifted Dipole: Bulk Behavior
[arXiv] 2026-02-19 | Boosting the Performance of a Lipkin-Meshkov-Glick Quantum Battery via Symmetry-Breaking Quenches and Bosonic Baths
[arXiv] 2026-02-19 | Asymptotically Optimal Sequential Testing with Markovian Data
[arXiv] 2026-02-19 | Chiral phonons in sixfold chiral CrSi$_2$: Raman spectroscopy and first-principles calculations
[arXiv] 2026-02-19 | RFEval: Benchmarking Reasoning Faithfulness under Counterfactual Reasoning Intervention in Large Reasoning Models
[arXiv] 2026-02-19 | Chiral symmetry restoration effects onto the meson spectrum from a Dyson-Schwinger/Bethe-Salpeter approach
[arXiv] 2026-02-19 | Beyond the Wisdom of the Crowd: How Network Topology Distorts Collective Perception
[arXiv] 2026-02-19 | Pauli Correlation Encoding for Budget-Contraint Optimization
[arXiv] 2026-02-19 | SpectralGCD: Spectral Concept Selection and Cross-modal Representation Learning for Generalized Category Discovery
[arXiv] 2026-02-19 | Non-Trivial Zero-Knowledge Implies One-Way Functions
[arXiv] 2026-02-19 | Pushing the Frontier of Black-Box LVLM Attacks via Fine-Grained Detail Targeting
[arXiv] 2026-02-19 | FAMOSE: A ReAct Approach to Automated Feature Discovery
[arXiv] 2026-02-19 | huff: A Python package for Market Area Analysis
[arXiv] 2026-02-19 | What Makes a Good LLM Agent for Real-world Penetration Testing?
[arXiv] 2026-02-19 | Guarding the Middle: Protecting Intermediate Representations in Federated Split Learning
[arXiv] 2026-02-19 | Power weight inequalities for spherical maximal functions
[arXiv] 2026-02-19 | Device-Centric ISAC for Exposure Control via Opportunistic Virtual Aperture Sensing
[arXiv] 2026-02-19 | Towards Anytime-Valid Statistical Watermarking
[arXiv] 2026-02-19 | The Cascade Equivalence Hypothesis: When Do Speech LLMs Behave Like ASR$\rightarrow$LLM Pipelines?
[arXiv] 2026-02-19 | Conditional Flow Matching for Continuous Anomaly Detection in Autonomous Driving on a Manifold-Aware Spectral Space
[arXiv] 2026-02-19 | Canonicalizing Multimodal Contrastive Representation Learning
[arXiv] 2026-02-19 | Simultaneous Blackwell Approachability and Applications to Multiclass Omniprediction
[arXiv] 2026-02-19 | Subluminal and superluminal velocities of free-space photons
[arXiv] 2026-02-19 | FR-GESTURE: An RGBD Dataset For Gesture-based Human-Robot Interaction In First Responder Operations
[arXiv] 2026-02-19 | Efficiency of classical simulations of a noisy Grover algorithm
[arXiv] 2026-02-19 | Interstellar Formation of Thioethanal (CH$_{3}$CHS). Gas-Phase and Ice-Surface Mechanisms involving Secondary Sulfur Products
[arXiv] 2026-02-19 | Evaluating Chain-of-Thought Reasoning through Reusability and Verifiability
[arXiv] 2026-02-19 | Densely-packed particle raft at vertically vibrated air-water interface
[arXiv] 2026-02-19 | HAP Networks for the Future: Applications in Sensing, Computing, and Communication
[arXiv] 2026-02-19 | Enhancing Large Language Models (LLMs) for Telecom using Dynamic Knowledge Graphs and Explainable Retrieval-Augmented Generation
[arXiv] 2026-02-19 | Interpretable Machine Learning of Nanoparticle Stability through Topological Layer Embeddings
[arXiv] 2026-02-19 | The Anxiety of Influence: Bloom Filters in Transformer Attention Heads
[arXiv] 2026-02-19 | When Models Ignore Definitions: Measuring Semantic Override Hallucinations in LLM Reasoning
[arXiv] 2026-02-19 | A Phase Description of Mutually Coupled Chaotic Oscillators
[arXiv] 2026-02-19 | Dodging the Moose: Experimental Insights in Real-Life Automated Collision Avoidance
[arXiv] 2026-02-19 | LORA-CRAFT: Cross-layer Rank Adaptation via Frozen Tucker Decomposition of Pre-trained Attention Weights
[arXiv] 2026-02-19 | Measurement of event shape variables using charged particles inside jets in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-02-19 | Proton transfer and hydronium formation in ionized water
[arXiv] 2026-02-19 | A Lower Bound for the First Non-zero Basic Eigenvalue on a Singular Riemannian Foliation
[arXiv] 2026-02-19 | Towards a Software Reference Architecture for Natural Language Processing Tools in Requirements Engineering
[arXiv] 2026-02-19 | Learning with Boolean threshold functions
[arXiv] 2026-02-19 | A variational multi-phase model for elastoplastic materials with microstructure evolution
[arXiv] 2026-02-19 | Tracing Copied Pixels and Regularizing Patch Affinity in Copy Detection
[arXiv] 2026-02-19 | ShadAR: LLM-driven shader generation to transform visual perception in Augmented Reality
[arXiv] 2026-02-19 | Small LLMs for Medical NLP: a Systematic Analysis of Few-Shot, Constraint Decoding, Fine-Tuning and Continual Pre-Training in Italian
[arXiv] 2026-02-19 | Auditing Reciprocal Sentiment Alignment: Inversion Risk, Dialect Representation and Intent Misalignment in Transformers
[arXiv] 2026-02-19 | Single-Photon Motion in a Two-Dimensional Plane: Confinement and Boundary Escape
[arXiv] 2026-02-19 | Privacy in Theory, Bugs in Practice: Grey-Box Auditing of Differential Privacy Libraries
[arXiv] 2026-02-19 | Jolt Atlas: Verifiable Inference via Lookup Arguments in Zero Knowledge
[arXiv] 2026-02-19 | AIDG: Evaluating Asymmetry Between Information Extraction and Containment in Multi-Turn Dialogue
[arXiv] 2026-02-19 | Fine-Grained Uncertainty Quantification for Long-Form Language Model Outputs: A Comparative Study
[arXiv] 2026-02-19 | Evaluating Extremely Low-Resource Machine Translation: A Comparative Study of ChrF++ and BLEU Metrics
[arXiv] 2026-02-19 | 3D-printed Soft Optical sensor with a Lens (SOLen) for light guidance in mechanosensing
[arXiv] 2026-02-19 | Hartree shift and pairing gap in ultracold Fermi gases in the framework of low-momentum interactions
[arXiv] 2026-02-19 | How Molecular Motors' Interaction Shapes Flagellar Beat and Its Fluctuations
[arXiv] 2026-02-19 | CC-G2PnP: Streaming Grapheme-to-Phoneme and prosody with Conformer-CTC for unsegmented languages
[arXiv] 2026-02-19 | ARCANE: Scalable high-degree cubature formulae for simulating SDEs without Monte Carlo error
[arXiv] 2026-02-19 | Anderson localization for 1-d quasi-periodic Schrödinger operators with degenerate weights
[arXiv] 2026-02-19 | The realization problem of essential surfaces in knot exteriors
[arXiv] 2026-02-19 | Adjoint-based gradient methods for inverse design in a multiple fragmentation model
[arXiv] 2026-02-19 | The Emergence of Lab-Driven Alignment Signatures: A Psychometric Framework for Auditing Latent Bias and Compounding Risk in Generative AI
[arXiv] 2026-02-19 | Decoding the near-threshold $X_{0,\,1}(4140)$ and $X_{1}(4685)$ states via OZI-suppressed coupled-channel scattering
[arXiv] 2026-02-19 | i-PhysGaussian: Implicit Physical Simulation for 3D Gaussian Splatting
[arXiv] 2026-02-19 | Instructor-Aligned Knowledge Graphs for Personalized Learning
[arXiv] 2026-02-19 | Projective Psychological Assessment of Large Multimodal Models Using Thematic Apperception Tests
[arXiv] 2026-02-19 | Elucidating Na$_2$KSb band structure: near-band-gap photoemission spectroscopy and DFT calculations
[arXiv] 2026-02-19 | Multiple Index Merge for Approximate Nearest Neighbor Search
[arXiv] 2026-02-19 | Deep Reinforcement Learning for Optimal Portfolio Allocation: A Comparative Study with Mean-Variance Optimization
[arXiv] 2026-02-19 | AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing
[arXiv] 2026-02-19 | Data-driven sequential analysis of tipping in high-dimensional complex systems
[arXiv] 2026-02-19 | A Locality Radius Framework for Understanding Relational Inductive Bias in Database Learning
[arXiv] 2026-02-19 | Dynamic Decision-Making under Model Misspecification: A Stochastic Stability Approach
[arXiv] 2026-02-19 | Environmental policy in the context of complex systems: Statistical optimization and sensitivity analysis for ABMs
[arXiv] 2026-02-19 | Graph distance and effective resistance of the four-dimensional random walk trace
[arXiv] 2026-02-19 | StoryLensEdu: Personalized Learning Report Generation through Narrative-Driven Multi-Agent Systems
[arXiv] 2026-02-19 | Retaining Suboptimal Actions to Follow Shifting Optima in Multi-Agent Reinforcement Learning
[arXiv] 2026-02-19 | Full-Field Metasurface Characterization with Polarization Sensitive Coherent Modulation Imaging
[arXiv] 2026-02-19 | A Long-term Value Prediction Framework In Video Ranking
[arXiv] 2026-02-19 | Role of atomic vacancies and second-neighbor antiferromagnetic-exchange coupling in a ferromagnetic nanoparticle
[arXiv] 2026-02-19 | Decoupled Internal Energy Regulation and Inertial Response Provision for Grid-Forming Multilevel-Converter-Based E-STATCOMs
[arXiv] 2026-02-19 | Multi-Probe Zero Collision Hash (MPZCH): Mitigating Embedding Collisions and Enhancing Model Freshness in Large-Scale Recommenders
[arXiv] 2026-02-19 | StructCore: Structure-Aware Image-Level Scoring for Training-Free Unsupervised Anomaly Detection
[arXiv] 2026-02-19 | Using Time Series Measures to Explore Family Planning Survey Data and Model-based Estimates
[arXiv] 2026-02-19 | Finite-size effects and energy alignment in molecular XANES under periodic boundary conditions: A systematic comparison of core-hole treatments
[arXiv] 2026-02-19 | Not Only for Developers: Exploring Plugin Maintenance for Knowledge-Centric Communities
[arXiv] 2026-02-19 | Fundamental Examples of non-compact Reeb spaces of smooth functions
[arXiv] 2026-02-19 | Divergence-form equations admitting nowhere $C^1$ Lipschitz weak solutions
[arXiv] 2026-02-19 | CAFE: Channel-Autoregressive Factorized Encoding for Robust Biosignal Spatial Super-Resolution
[arXiv] 2026-02-19 | Complex Moments, Gamma and Riemann Zeta Functions unified by the Parabolic Mellin Transform
[arXiv] 2026-02-19 | Exploring LLMs for User Story Extraction from Mockups
[arXiv] 2026-02-19 | Neural codes via homological invariants of polarized neural ideals
[arXiv] 2026-02-19 | Regge trajectories for the doubly heavy triquarks $((Qq)\bar{Q}')$
[arXiv] 2026-02-19 | Multiple shocks generated by the 2024 May 14 coronal mass ejection
[arXiv] 2026-02-19 | Fail-Closed Alignment for Large Language Models
[arXiv] 2026-02-19 | Beyond Chunk-Then-Embed: A Comprehensive Taxonomy and Evaluation of Document Chunking Strategies for Information Retrieval
[arXiv] 2026-02-19 | Anomalous Decay Rate and Greybody Factors for Regular Black Holes with Scalar Hair
[arXiv] 2026-02-19 | Efficient privacy loss accounting for subsampling and random allocation
[arXiv] 2026-02-19 | Unified Latents (UL): How to train your latents
[arXiv] 2026-02-19 | Illuminating the Mass Gap Through Deep Optical Constraint on a Neutron Star Merger Candidate S250206dm
[arXiv] 2026-02-19 | Spatio-temporal air flow properties in a 3D personalised model of the human lung
[arXiv] 2026-02-19 | Les Houches lectures on random quantum circuits and monitored quantum dynamics
[arXiv] 2026-02-19 | Trivance: Latency-Optimal AllReduce by Shortcutting Multiport Networks
[arXiv] 2026-02-19 | A Multi-modal Detection System for Infrastructure-based Freight Signal Priority
[arXiv] 2026-02-19 | Structured Prototype-Guided Adaptation for EEG Foundation Models
[arXiv] 2026-02-19 | Geometric and topological rigidity of pinched submanifolds in Riemannian manifolds
[arXiv] 2026-02-19 | Distributionally Robust Scheduling of Electrified Heating Under Heat Demand Forecast Uncertainty
[arXiv] 2026-02-19 | High-temperature $η$-pairing superconductivity in the photodoped Hubbard model
[arXiv] 2026-02-19 | All Leaks Count, Some Count More: Interpretable Temporal Contamination Detection in LLM Backtesting
[arXiv] 2026-02-19 | Photocatalytic methanol dehydrogenation promoted synergistically by atomically dispersed Pd and clustered Pd
[arXiv] 2026-02-19 | Quantum key distribution over a metropolitan network using an integrated photonics based prototype
[arXiv] 2026-02-19 | Multi-session Localization and Mapping Exploiting Topological Information
[arXiv] 2026-02-19 | Adaptive encodings for small and fast compressed suffix arrays
[arXiv] 2026-02-19 | RIS Control through the Lens of Stochastic Network Calculus: An O-RAN Framework for Delay-Sensitive 6G Applications
[arXiv] 2026-02-19 | EntropyPrune: Matrix Entropy Guided Visual Token Pruning for Multimodal Large Language Models
[arXiv] 2026-02-19 | Evidence of current-enhanced excited states in lattice QCD three-point functions
[arXiv] 2026-02-19 | What Makes a Good Doctor Response? An Analysis on a Romanian Telemedicine Platform
[arXiv] 2026-02-19 | Texo: Formula Recognition within 20M Parameters
[arXiv] 2026-02-19 | Kolmogorov analysis of pulsar TOA
[arXiv] 2026-02-19 | Anti-causal domain generalization: Leveraging unlabeled data
[arXiv] 2026-02-19 | The Bots of Persuasion: Examining How Conversational Agents' Linguistic Expressions of Personality Affect User Perceptions and Decisions
[arXiv] 2026-02-19 | NRGS-SLAM: Monocular Non-Rigid SLAM for Endoscopy via Deformation-Aware 3D Gaussian Splatting
[arXiv] 2026-02-19 | When LLM Judges Inflate Scores: Exploring Overrating in Relevance Assessment
[arXiv] 2026-02-19 | SimulatorCoder: DNN Accelerator Simulator Code Generation and Optimization via Large Language Models
[arXiv] 2026-02-19 | Computing class groups and gonalities of algebraic curves over finite fields
[arXiv] 2026-02-19 | On problems of Erdős and Baumann-Briggs on minimising the density of $s$-cliques in graphs with forbidden subgraphs
[arXiv] 2026-02-19 | Experimental certification of ensembles of high-dimensional quantum states with independent quantum devices
[arXiv] 2026-02-19 | Optimization Problems with Difference of Tangentially Convex Functions under Uncertainty
[arXiv] 2026-02-19 | Stackelberg Dynamic Location Planning under Cumulative Demand
[arXiv] 2026-02-19 | Dataless Weight Disentanglement in Task Arithmetic via Kronecker-Factored Approximate Curvature
[arXiv] 2026-02-19 | Insidious Imaginaries: A Critical Overview of AI Speculations
[arXiv] 2026-02-19 | Constraining $β$-Exponential Inflation with the latest ACT observations
[arXiv] 2026-02-19 | Computer-Using World Model
[arXiv] 2026-02-19 | Wavy-wall-based flow control for the suction side geometry of NACA4412 at Retau = 3000
[arXiv] 2026-02-19 | Training-free Graph-based Imputation of Missing Modalities in Multimodal Recommendation
[arXiv] 2026-02-19 | Application and Evaluation of the Common Circles Method
[arXiv] 2026-02-19 | Flat functors in the context of fibration categories
[arXiv] 2026-02-19 | What Breaks Embodied AI Security:LLM Vulnerabilities, CPS Flaws,or Something Else?
[arXiv] 2026-02-19 | Detecting nonequilibrium phase transitions via continuous monitoring of space-time trajectories and autoencoder-based clustering
[arXiv] 2026-02-19 | Highest-weight truncation, graded EFT structure, and renormalization of black hole Love numbers
[arXiv] 2026-02-19 | Iterated mutations of symmetric periodic algebras
[arXiv] 2026-02-19 | Socio-Technical Well-Being of Quantum Software Communities: An Overview on Community Smells
[arXiv] 2026-02-19 | Security of the Fischlin Transform in Quantum Random Oracle Model
[arXiv] 2026-02-19 | Hyper-contractivity and entropy decay in discrete time
[arXiv] 2026-02-19 | Toward Precision Helicity PDFs from Global DIS and SIDIS Fits with Projected EIC Measurements
[arXiv] 2026-02-19 | Human attribution of empathic behaviour to AI systems
[arXiv] 2026-02-19 | Ultralight Dark Matter Detection with a Ferromagnet Lattice
[arXiv] 2026-02-19 | ArXiv-to-Model: A Practical Study of Scientific LM Training
[arXiv] 2026-02-19 | A stochastic Schauder-Tychonoff type theorem and its applications
[arXiv] 2026-02-19 | 3D Gravity and Chaos in CFTs with Fermions
[arXiv] 2026-02-19 | Evidence for Multimodal Superfluidity of Neutrons
[arXiv] 2026-02-19 | Spectra and elliptic flow of light hadrons in an expanding fire-cylinder model for the RHIC Beam Energy Scan
[arXiv] 2026-02-19 | Optimal speed-up of multi-step Pontus-Mpemba protocols
[arXiv] 2026-02-19 | Large Language Models Persuade Without Planning Theory of Mind
[arXiv] 2026-02-19 | Exotic critical states as fractional Fermi seas in the one-dimensional Bose gas
