[2025-12-17 09:16:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-16
正在获取论文...
[arXiv] 2025-12-16 | Broadening View Synthesis of Dynamic Scenes from Constrained Monocular Videos
[arXiv] 2025-12-16 | Relevant HAL Interface Requirements for Embedded Systems
[arXiv] 2025-12-16 | Two Bayesian Approaches to Dynamic Gaussian Bayesian Networks with Intra- and Inter-Slice Edges
[arXiv] 2025-12-16 | Pfaffian Systems, Cartan Connections, and the Null Surface Formulation of General Relativity
[arXiv] 2025-12-16 | C-ing Clearly: Enhanced Binary Code Explanations using C code
[arXiv] 2025-12-16 | SignIT: A Comprehensive Dataset and Multimodal Analysis for Italian Sign Language Recognition
[arXiv] 2025-12-16 | Hybrid Cognitive IoT with Cooperative Caching and SWIPT-EH: A Hierarchical Reinforcement Learning Framework
[arXiv] 2025-12-16 | A Compact Incubation Platform for Long-Term Cultivation of Biological Samples for Nitrogen-Vacancy Center Widefield Microscopy
[arXiv] 2025-12-16 | SASQ: Static Activation Scaling for Quantization-Aware Training in Large Language Models
[arXiv] 2025-12-16 | Influence of ion motion in a resonantly driven wakefield accelerator
[arXiv] 2025-12-16 | Sharp convergence rates for Spectral methods via the feature space decomposition method
[arXiv] 2025-12-16 | CTransformer: Deep-transformer-based 3D cell membrane tracking with subcellular-resolved molecular quantification
[arXiv] 2025-12-16 | Kinetic-Mamba: Mamba-Assisted Predictions of Stiff Chemical Kinetics
[arXiv] 2025-12-16 | A preconditioned second-order convex splitting algorithm with extrapolation
[arXiv] 2025-12-16 | The quest for Magrathea planets. II. Orbital stability of exoplanets formed around double white dwarfs
[arXiv] 2025-12-16 | Equivariant Observer for Bearing Estimation with Linear and Angular Velocity Inputs
[arXiv] 2025-12-16 | Adiabatic-Inspired Hybrid Quantum-Classical Methods for Molecular Ground State Preparation
[arXiv] 2025-12-16 | A sub-ppm upper limit on the cosmological variations of the fine structure constant alpha
[arXiv] 2025-12-16 | VICTOR: Dataset Copyright Auditing in Video Recognition Systems
[arXiv] 2025-12-16 | Parabolic free boundary phase transition and mean curvature flow
[arXiv] 2025-12-16 | Relaying Signal When Monitoring Traffic: Double Use of Aerial Vehicles Towards Intelligent Low-Altitude Networking
[arXiv] 2025-12-16 | Odyssey: An Automotive Lidar-Inertial Odometry Dataset for GNSS-denied situations
[arXiv] 2025-12-16 | DISCODE: Distribution-Aware Score Decoder for Robust Automatic Evaluation of Image Captioning
[arXiv] 2025-12-16 | A single-layer framework of variational tensor network states
[arXiv] 2025-12-16 | Pattern Recognition of Aluminium Arbitrage in Global Trade Data
[arXiv] 2025-12-16 | MMGR: Multi-Modal Generative Reasoning
[arXiv] 2025-12-16 | CHIP: Adaptive Compliance for Humanoid Control through Hindsight Perturbation
[arXiv] 2025-12-16 | Torsional Carroll Gravity
[arXiv] 2025-12-16 | Spoken DialogSum: An Emotion-Rich Conversational Dataset for Spoken Dialogue Summarization
[arXiv] 2025-12-16 | Cosmic Strings Gravitational Wave Probe of Leptogenesis: Thermal, Non-thermal, Near-resonant and Flavourful
[arXiv] 2025-12-16 | Early Warning Index for Patient Deteriorations in Hospitals
[arXiv] 2025-12-16 | VASA-3D: Lifelike Audio-Driven Gaussian Head Avatars from a Single Image
[arXiv] 2025-12-16 | Beyond Lipschitz Continuity and Monotonicity: Fractal and Chaotic Activation Functions in Echo State Networks
[arXiv] 2025-12-16 | Quasitopological gravity and double-copy formalism
[arXiv] 2025-12-16 | Clustering with Light (but Massive) Relics
[arXiv] 2025-12-16 | Configurable γ Photon Spectrometer to Enable Precision Radioguided Tumor Resection
[arXiv] 2025-12-16 | EVOLVE-VLA: Test-Time Training from Environment Feedback for Vision-Language-Action Models
[arXiv] 2025-12-16 | Enhancing Visual Sentiment Analysis via Semiotic Isotopy-Guided Dataset Construction
[arXiv] 2025-12-16 | Multiple Scale Methods For Optimization Of Discretized Continuous Functions
[arXiv] 2025-12-16 | ART: Articulated Reconstruction Transformer
[arXiv] 2025-12-16 | Stability conditions on products of curves and Hilbert schemes of surfaces
[arXiv] 2025-12-16 | Asymptotic Inference for Rank Correlations
[arXiv] 2025-12-16 | Signatures of local acceleration of quark-gluon plasma in the dilepton production
[arXiv] 2025-12-16 | Persistence probabilities of MA(1) sequences with Laplace innovations and $q$-deformed zigzag numbers
[arXiv] 2025-12-16 | Understanding and Improving Hyperbolic Deep Reinforcement Learning
[arXiv] 2025-12-16 | Generative Monte Carlo Sampling for Constant-Cost Particle Transport
[arXiv] 2025-12-16 | CIS-BA: Continuous Interaction Space Based Backdoor Attack for Object Detection in the Real-World
[arXiv] 2025-12-16 | Adaptive Cache Pollution Control for Large Language Model Inference Workloads Using Temporal CNN-Based Prediction and Priority-Aware Replacement
[arXiv] 2025-12-16 | Erasing CLIP Memories: Non-Destructive, Data-Free Zero-Shot class Unlearning in CLIP Models
[arXiv] 2025-12-16 | Fully Compensated Ferrimagnetic Properties of (Cr,Fe)S Compound with a Pyrrhotite-type Structure
[arXiv] 2025-12-16 | A new idea for relating the asymmetric dark matter mass scale to the proton mass
[arXiv] 2025-12-16 | Joint Multimodal Contrastive Learning for Robust Spoken Term Detection and Keyword Spotting
[arXiv] 2025-12-16 | Efficient Time-Resolved Pressure Estimation by Sparse Sensor Optimization and Non-Time-Resolved PIV
[arXiv] 2025-12-16 | A First-Order Logic-Based Alternative to Reward Models in RLHF
[arXiv] 2025-12-16 | Cornserve: Efficiently Serving Any-to-Any Multimodal Models
[arXiv] 2025-12-16 | Arithmetic-Intensity-Aware Quantization
[arXiv] 2025-12-16 | Multilingual and Continuous Backchannel Prediction: A Cross-lingual Study
[arXiv] 2025-12-16 | SonicMoE: Accelerating MoE with IO and Tile-aware Optimizations
[arXiv] 2025-12-16 | Seesaw of Saltwater and Inundation Drives Methane Emissions in Coastal Tidal Wetlands
[arXiv] 2025-12-16 | From Obfuscated to Obvious: A Comprehensive JavaScript Deobfuscation Tool for Security Analysis
[arXiv] 2025-12-16 | Real-time prediction of workplane illuminance distribution for daylight-linked controls using non-intrusive multimodal deep learning
[arXiv] 2025-12-16 | Substructure grooming of inclusive and photon-tagged jets in heavy-ion collisions
[arXiv] 2025-12-16 | SELECT: Detecting Label Errors in Real-world Scene Text Data
[arXiv] 2025-12-16 | DTRec: Learning Dynamic Reasoning Trajectories for Sequential Recommendation
[arXiv] 2025-12-16 | Confinement-Induced Nonlocality and Optical Nonlinearity of Transdimensional Titanium Nitride in the Epsilon-Near-Zero Region
[arXiv] 2025-12-16 | Unleashing the Power of Image-Tabular Self-Supervised Learning via Breaking Cross-Tabular Barriers
[arXiv] 2025-12-16 | Fast Test Inversion for Resampling Methods
[arXiv] 2025-12-16 | Self-sustained microcomb lasing in an integrated hybrid oscillator
[arXiv] 2025-12-16 | Real-Time Service Subscription and Adaptive Offloading Control in Vehicular Edge Computing
[arXiv] 2025-12-16 | Structures of moduli spaces of generalized Cantor sets
[arXiv] 2025-12-16 | A Generalized Formulation for Accurate and Robust Determination of Soil Shear Strength from Triaxial Tests
[arXiv] 2025-12-16 | FocalComm: Hard Instance-Aware Multi-Agent Perception
[arXiv] 2025-12-16 | Evaluating Frontier LLMs on PhD-Level Mathematical Reasoning: A Benchmark on a Textbook in Theoretical Computer Science about Randomized Algorithms
[arXiv] 2025-12-16 | Autonomous Construction-Site Safety Inspection Using Mobile Robots: A Multilayer VLM-LLM Pipeline
[arXiv] 2025-12-16 | Monotone max-convolution and subordination functions for free max-convolution
[arXiv] 2025-12-16 | A non-linear quantum neural network framework for entanglement engineering
[arXiv] 2025-12-16 | Adapting Speech Language Model to Singing Voice Synthesis
[arXiv] 2025-12-16 | Testing electron-photon exchange-correlation functional performance for many-electron systems under weak and strong light-matter coupling
[arXiv] 2025-12-16 | Stochastic Inflation in Numerical Relativity
[arXiv] 2025-12-16 | TiME: Tiny Monolingual Encoders for Efficient NLP Pipelines
[arXiv] 2025-12-16 | Attention-Based Preprocessing Framework for Improving Rare Transient Classification
[arXiv] 2025-12-16 | Ramsey numbers for partially-ordered sets
[arXiv] 2025-12-16 | Tunable Gaussian Pulse for Delay-Doppler ISAC
[arXiv] 2025-12-16 | Electrodrying in nanopores: from fundamentals to iontronic and memristive applications
[arXiv] 2025-12-16 | MuseCPBench: an Empirical Study of Music Editing Methods through Music Context Preservation
[arXiv] 2025-12-16 | PruneX: A Hierarchical Communication-Efficient System for Distributed CNN Training with Structured Pruning
[arXiv] 2025-12-16 | Field localisation and spin-momentum locking in zero-dimensional dissipative topological photonic interface state
[arXiv] 2025-12-16 | Distill Video Datasets into Images
[arXiv] 2025-12-16 | Model-Based Reinforcement Learning in Discrete-Action Non-Markovian Reward Decision Processes
[arXiv] 2025-12-16 | Engineering Zeeman-manifold quintets using state-dependent light shifts in neutral atoms
[arXiv] 2025-12-16 | Fusion of Cellular ISAC and Passive RF Sensing for UAV Detection and Tracking
[arXiv] 2025-12-16 | PerProb: Indirectly Evaluating Memorization in Large Language Models
[arXiv] 2025-12-16 | Limit profiles of ASEP
[arXiv] 2025-12-16 | FoodLogAthl-218: Constructing a Real-World Food Image Dataset Using Dietary Management Applications
[arXiv] 2025-12-16 | "Talking past each other": Issue ownership and microtargeting in Swiss online political ads
[arXiv] 2025-12-16 | Residual GRU+MHSA: A Lightweight Hybrid Recurrent Attention Model for Cardiovascular Disease Detection
[arXiv] 2025-12-16 | Multi-messenger and time-domain astronomy in the 2040s
[arXiv] 2025-12-16 | HiFi-Portrait: Zero-shot Identity-preserved Portrait Generation with High-fidelity Multi-face Fusion
[arXiv] 2025-12-16 | Synthetic Electrogram Generation with Variational Autoencoders for ECGI
[arXiv] 2025-12-16 | New criteria for the rectifiability of Radon measures in terms of Riesz transforms
[arXiv] 2025-12-16 | Interfacing adaptive optics simulations with the optical model: a powerful tool for MORFEO
[arXiv] 2025-12-16 | Geminids are initially cracked by atmospheric thermal stress
[arXiv] 2025-12-16 | On the coverage of electroweak-inos within the pMSSM with SModelS -- a comparison with the ATLAS pMSSM study
[arXiv] 2025-12-16 | The operad associated to a crossed simplicial group
[arXiv] 2025-12-16 | Spin-Selective Thermoelectric Transport in a Triangular Spin Ladder
[arXiv] 2025-12-16 | Graphene-Insulator-Superconductor junctions as thermoelectric bolometers
[arXiv] 2025-12-16 | Why the Northern Hemisphere Needs a 30-40 m Telescope and the Science at Stake: Time-domain astronomy
[arXiv] 2025-12-16 | Context-Picker: Dynamic context selection using multi-stage reinforcement learning
[arXiv] 2025-12-16 | Super-Heisenberg-limited Sensing via Collective Subradiance in Waveguide QED
[arXiv] 2025-12-16 | Leveraging Plasmonic Nanocavity Arrays Forming Metasurfaces to Boost Second Harmonic Generation due to Surface Effects
[arXiv] 2025-12-16 | An Improved Approximation Algorithm for Maximum Weight 3-Path Packing
[arXiv] 2025-12-16 | Hierarchical structure of graded Betti numbers in the quadratic strand
[arXiv] 2025-12-16 | Polarization- and wave-vector selective optical metasurface with near-field coupling
[arXiv] 2025-12-16 | Modeling Short-Range Nucleon Pair and Triplet Abundances in Atomic Nuclei
[arXiv] 2025-12-16 | Bridging Artificial Intelligence and Data Assimilation: The Data-driven Ensemble Forecasting System ClimaX-LETKF
[arXiv] 2025-12-16 | Low-temperature behavior of density-functional theory for metals based on density-functional perturbation theory and Sommerfeld expansion
[arXiv] 2025-12-16 | Hybrid Ensemble Method for Detecting Cyber-Attacks in Water Distribution Systems Using the BATADAL Dataset
[arXiv] 2025-12-16 | Reducing Training Complexity in Empirical Quadrature-Based Model Reduction via Structured Compression
[arXiv] 2025-12-16 | Hybrid acousto-optical spin control in quantum dots
[arXiv] 2025-12-16 | On exponential Freiman dimension
[arXiv] 2025-12-16 | SuperWing: a comprehensive transonic wing dataset for data-driven aerodynamic design
[arXiv] 2025-12-16 | Terahertz Signal Coverage Enhancement in Hall Scenarios Based on Single-Hop and Dual-Hop Reconfigurable Intelligent Surfaces
[arXiv] 2025-12-16 | RePo: Language Models with Context Re-Positioning
[arXiv] 2025-12-16 | Sums of four fourth power of primes
[arXiv] 2025-12-16 | Homogenization of the random Neumann sieve problem under minimal assumptions on the size of the perforations
[arXiv] 2025-12-16 | Interactions between droplets in immiscible liquid suspensions and the influence of surfactants
[arXiv] 2025-12-16 | Pragmatic Earth-Fixed Beam Management for 3GPP NTN Common Signaling in LEO Satellites
[arXiv] 2025-12-16 | Causal Structure Learning for Dynamical Systems with Theoretical Score Analysis
[arXiv] 2025-12-16 | TiCard: Deployable EXPLAIN-only Residual Learning for Cardinality Estimation
[arXiv] 2025-12-16 | Sparse OFDM Design for Interference and Ambiguity Mitigation in Multi-Static ISAC
[arXiv] 2025-12-16 | CoLD Fusion: A Real-time Capable Spline-based Fusion Algorithm for Collective Lane Detection
[arXiv] 2025-12-16 | Enhancing Interpretability for Vision Models via Shapley Value Optimization
[arXiv] 2025-12-16 | A Data-Driven Approach for Electric Vehicle Powertrain Modeling
[arXiv] 2025-12-16 | Covariance, relativity, and the proper mass of the universe in the no-boundary wave function
[arXiv] 2025-12-16 | Criminal Liability in AI-Enabled Autonomous Vehicles: A Comparative Study
[arXiv] 2025-12-16 | Decoding Orbital Angular Momentum in Turbid Tissue-like Scattering Medium via Fourier-Domain Deep Learning
[arXiv] 2025-12-16 | Semantic Mismatch and Perceptual Degradation: A New Perspective on Image Editing Immunity
[arXiv] 2025-12-16 | From YOLO to VLMs: Advancing Zero-Shot and Few-Shot Detection of Wastewater Treatment Plants Using Satellite Imagery in MENA Region
[arXiv] 2025-12-16 | Estimating Reaction Rate Constants from Impedance Spectra: Simulating the Multistep Oxygen Evolution Reaction
[arXiv] 2025-12-16 | Climatological variability of a thunderstorm environment dataset in tropical and temperate regions
[arXiv] 2025-12-16 | GLM-TTS Technical Report
[arXiv] 2025-12-16 | Leveraging LLMs for Collaborative Ontology Engineering in Parkinson Disease Monitoring and Alerting
[arXiv] 2025-12-16 | TUN: Detecting Significant Points in Persistence Diagrams with Deep Learning
[arXiv] 2025-12-16 | CaFe-TeleVision: A Coarse-to-Fine Teleoperation System with Immersive Situated Visualization for Enhanced Ergonomics
[arXiv] 2025-12-16 | An LNGS Mobile Neutron Detector (ALMOND): Mapping Ambient Neutron Background of Gran Sasso National Laboratory
[arXiv] 2025-12-16 | A Possible Indication of Metallic Iron in White Dwarf Dusty Disks from their "Dirtiness"
[arXiv] 2025-12-16 | FLAME: Flow Enhanced Legendre Memory Models for General Time Series Forecasting
[arXiv] 2025-12-16 | On fractal minimizers and potentials of occupation measures
[arXiv] 2025-12-16 | From Context to EDUs: Faithful and Structured Context Compression via Elementary Discourse Unit Decomposition
[arXiv] 2025-12-16 | 4D-RaDiff: Latent Diffusion for 4D Radar Point Cloud Generation
[arXiv] 2025-12-16 | ViBES: A Conversational Agent with Behaviorally-Intelligent 3D Virtual Body
[arXiv] 2025-12-16 | OmniGen: Unified Multimodal Sensor Generation for Autonomous Driving
[arXiv] 2025-12-16 | Research Opportunities and Challenges of the EU's Digital Services Act
[arXiv] 2025-12-16 | Local stability and rates of convergence to equilibrium for the Nonlinear Renewal Equation; applications to Hawkes processes
[arXiv] 2025-12-16 | Analogue gravity with Bose-Einstein condensates
[arXiv] 2025-12-16 | Quantifying the Rate Performance of Potassium-Ion Batteries
[arXiv] 2025-12-16 | Optimizing the Adversarial Perturbation with a Momentum-based Adaptive Matrix
[arXiv] 2025-12-16 | Discrete time crystals enabled by Floquet strong Hilbert space fragmentation
[arXiv] 2025-12-16 | KalMRACO: Unifying Kalman Filter and Model Reference Adaptive Control for Robust Control and Estimation of Uncertain Systems
[arXiv] 2025-12-16 | Curvature-driver d.dynamics on $S^3$: a geometric atlas
[arXiv] 2025-12-16 | Forecasting Excessive Anesthesia Depth Using EEG α-Spindle Dynamics and Machine Learning
[arXiv] 2025-12-16 | Integrable variant Blaszak-Szum lattice equation
[arXiv] 2025-12-16 | MemFlow: Flowing Adaptive Memory for Consistent and Efficient Long Video Narratives
[arXiv] 2025-12-16 | Spherical Leech Quantization for Visual Tokenization and Generation
[arXiv] 2025-12-16 | CRISP: Contact-Guided Real2Sim from Monocular Video with Planar Scene Primitives
[arXiv] 2025-12-16 | Drell-Yan at the Electron-Ion Collider
[arXiv] 2025-12-16 | On Gotzmann thresholds and a conjecture of Bonanzinga and Eliahou
[arXiv] 2025-12-16 | From the Solar System to cosmological distances: a complete formalism for gravitational wave astrometry
[arXiv] 2025-12-16 | From STLS to Projection-based Dictionary Selection in Sparse Regression for System Identification
[arXiv] 2025-12-16 | Correlation functions at the topological quantum phase transition in the S=1 XXZ chain with single-ion anisotropy
[arXiv] 2025-12-16 | A Hamiltonian Formalism for Topological Recursion
[arXiv] 2025-12-16 | Encounter Times of Intermittently Running Particles
[arXiv] 2025-12-16 | Focus: A Streaming Concentration Architecture for Efficient Vision-Language Models
[arXiv] 2025-12-16 | Derivative-Informed Fourier Neural Operator: Universal Approximation and Applications to PDE-Constrained Optimization
[arXiv] 2025-12-16 | Power counting in the spectral action matrix model
[arXiv] 2025-12-16 | How Spatially Modulated Activity Reshapes Active Polymer Conformations
[arXiv] 2025-12-16 | Elastic3D: Controllable Stereo Video Conversion with Guided Latent Decoding
[arXiv] 2025-12-16 | Structure-preserving Variational Multiscale Stabilization of the Incompressible Navier-Stokes Equations
[arXiv] 2025-12-16 | Creating Opportunities: Co-designing an mHealth App with Older Adults
[arXiv] 2025-12-16 | Learning the score under shape constraints
[arXiv] 2025-12-16 | Chemical Engineering of Altermagnetism in Two-Dimensional Metal-Organic Frameworks
[arXiv] 2025-12-16 | A Compact Formula for Conserved Three-Point Tensor Structures in 4D CFT
[arXiv] 2025-12-16 | WorldPlay: Towards Long-Term Geometric Consistency for Real-Time Interactive World Modeling
[arXiv] 2025-12-16 | Condensed mathematics through compactological spaces
[arXiv] 2025-12-16 | Structure, Bonding and Stability of Boron Substituted Tungsten Clusters
[arXiv] 2025-12-16 | FakeRadar: Probing Forgery Outliers to Detect Unknown Deepfake Videos
[arXiv] 2025-12-16 | Hybrid Iterative Solvers with Geometry-Aware Neural Preconditioners for Parametric PDEs
