[2026-07-17 22:50:52] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Expanding the Lexicon of Ge'ez Based African Languages: A Comparative Study of Amharic and Tigrinya
[arXiv] 2026-07-16 | LIVE-RIS: Real-Time In-Flight Actuation of UAV-Mounted RIS
[arXiv] 2026-07-16 | Thoughtseeds as Latent Causes: A Dual-Process Computational Phenomenology of Focused-Attention Meditation
[arXiv] 2026-07-16 | Spoofer or Spoofers? Estimating a Lower Bound on the Number of DRDoS Sources Using Anycast Honeypots
[arXiv] 2026-07-16 | A Unified Conceptual Framework for Gravitational Instabilities: From Latent System State to Failure
[arXiv] 2026-07-16 | AI Prototyper: A Figma Plugin for Decomposition-Based GUI Prototyping with LLMs
[arXiv] 2026-07-16 | SPH methods in the modelling of compact objects
[arXiv] 2026-07-16 | SevenNet-Polar for MultiTask Prediction of Energy, Forces, Stress, and Born Effective Charges: Development and Application to ZrO$_2$, Li$_3$PO$_4$, and Perovskites
[arXiv] 2026-07-16 | Fuelling the central region of galaxies with misaligned gas accretion
[arXiv] 2026-07-16 | Can LLMs Build a MaxSAT Solver from Papers? The CoreForge Experience
[arXiv] 2026-07-16 | No Universal Multiplicative FDR Bound for the Benjamini-Hochberg Procedure with Correlated Two-Sided Gaussian Tests
[arXiv] 2026-07-16 | RACiMo: Red Ambiental Ciudadana de Monitoreo: A Student-Centred Citizen Science Network for Environmental Monitoring, Data Literacy, and Climate Awareness in Colombia
[arXiv] 2026-07-16 | CrimeNER Demo: Named-Entity Recognition in the Crime Domain
[arXiv] 2026-07-16 | Ground-Side Mission Plan Compilation with Policy-as-Code Guardrails for Cloud-Native Satellite Platforms
[arXiv] 2026-07-16 | Robustness of periodicity in Grover walks under a magnetic vector potential
[arXiv] 2026-07-16 | Transcoders for Investigating Deception in Language Models
[arXiv] 2026-07-16 | Structure-preserving Lagrange-multiplier methods for mean curvature flow and their error bounds
[arXiv] 2026-07-16 | Ultraviolet direct absorption microscopy for single particle protein/nucleic acid quantification
[arXiv] 2026-07-16 | Aperiodicity and subword complexity in the binary expansion of powers of three
[arXiv] 2026-07-16 | ChronoQG: Towards a Temporally Expressive and Hop-Bounded Benchmark for Temporal Knowledge Graph Question Generation
[arXiv] 2026-07-16 | Rare Concept Generation via Counterfactual Inference in Diffusion Models
[arXiv] 2026-07-16 | Riesz potential estimates for non-linear elliptic obstacle problems
[arXiv] 2026-07-16 | FlowGuard: From Signals to Evidence for MCP Security Detection
[arXiv] 2026-07-16 | Orbital Dynamics and Gravitational-Wave Signatures of EMRIs in Self-Dual Loop Quantum Gravity Black Holes
[arXiv] 2026-07-16 | Enumerating Length-Bounded Simple Paths and Cycles in Directed Graphs with $O(k(n+m))$ Delay Using Edge-Consistent Node Barriers
[arXiv] 2026-07-16 | GeoDetect: Geometric Adversarial Detection for VLPs
[arXiv] 2026-07-16 | Hybrid Rigid-Soft Robotic Gripper with Shape Adaptation, Uniform Force Distribution, and Self-Locking Capabilities
[arXiv] 2026-07-16 | Counterfactuals for Feature-Weighted Clustering
[arXiv] 2026-07-16 | Different Singular Limits in a Gene Regulatory Network with Multiple Small Parameters
[arXiv] 2026-07-16 | VideoSEMA: a scalable and efficient Mamba-like attention for video understanding
[arXiv] 2026-07-16 | Team RAS in 11th ABAW Competition: Multimodal Ambivalence Recognition Approach
[arXiv] 2026-07-16 | Effect of Antenna Deployment on Achievable Rate in Cooperative Magnetic Induction Communication
[arXiv] 2026-07-16 | Twisted Yangians of types BI, CI, DI and Drinfeld type current relations
[arXiv] 2026-07-16 | Electrons Hopping across a Molecular Network: Spectra and Symmetries
[arXiv] 2026-07-16 | An Intelligent-Cloud Edge Multimodal Interaction System for Robots
[arXiv] 2026-07-16 | TIDE: Trustworthy and Interpretable Battery Degradation Estimation with Contextual Learning and Symbolic Distillation
[arXiv] 2026-07-16 | On the CME productivity of solar active region 13664/8
[arXiv] 2026-07-16 | PolyQ: Codesigning End-to-End Quantization Framework for Scalable Edge CPU LLM Inference
[arXiv] 2026-07-16 | Investigating first-language bias in LLM-based automated essay scoring: A cross-prompt evaluation of an open-weight AI-model on TOEFL essays
[arXiv] 2026-07-16 | A Deterministic Binary Fingerprinting Framework with Zero-Trained Feature Extraction for Sparse Count Matrices
[arXiv] 2026-07-16 | Exact No Signaling in Time without Temporal Classicality
[arXiv] 2026-07-16 | Alipay-PIBench: A Realistic Payment Integration Benchmark for Coding Agents
[arXiv] 2026-07-16 | Ultrafast programmable Bragg reflection in photonic integrated circuits
[arXiv] 2026-07-16 | Almost Navigable Graphs
[arXiv] 2026-07-16 | Toponium Spectrum in the Complex-Energy Plane
[arXiv] 2026-07-16 | Towards an Intention Abstraction Layer for Autonomous Industrial Systems
[arXiv] 2026-07-16 | SafeRelBench: A Spatial-Relation-Aware Benchmark for Process-Level Safety in VLM-Driven Embodied Agents
[arXiv] 2026-07-16 | On the Bohr-Sommerfeld quantization condition and assault frequency in a semiclassical model for α decay
[arXiv] 2026-07-16 | Bifurcation of periodic and antiperiodic solutions in non-autonomous potential-type delay systems
[arXiv] 2026-07-16 | Muse: Representation Geometry of Muon Beyond Normalized Momentum
[arXiv] 2026-07-16 | Pushing the Primordial Frontier: Cosmological Collider Signatures at Strong Mixing
[arXiv] 2026-07-16 | WrAFT: a Modularized Automated Writing Evaluation System for Argumentative Essays
[arXiv] 2026-07-16 | Adaptive Runge-Kutta Step Control Buys Training Loss, Not Generalization: An Honest Compute-Matched Study of RK-Adam Optimizers
[arXiv] 2026-07-16 | A Distributed PI+Reset Scheme for Discrete-Time Economic Dispatch of A Grid-connected BESS Network
[arXiv] 2026-07-16 | Geometric Mode Steering of the Quantum Mpemba Effect
[arXiv] 2026-07-16 | Contextualized Evaluation of Vision Language Models through Dynamic, Multi-turn Interactions
[arXiv] 2026-07-16 | The Symbolic Partition of Chaotic Flows Based on Ordinal Patterns
[arXiv] 2026-07-16 | Safe Execution of RL Policies Via Acceleration-Based CBF-QP Constraint Enforcement for Real-World Robotic Deployments
[arXiv] 2026-07-16 | Using a MIP Solver as a PDHG-Based MIP Heuristic
[arXiv] 2026-07-16 | A Census of New Snake-in-the-Box Records
[arXiv] 2026-07-16 | Pretraining Data Can Be Poisoned through Computational Propaganda
[arXiv] 2026-07-16 | HoloGeo: Mitigating Landmark Bias in Geo-localization via Evidence-Driven Reasoning
[arXiv] 2026-07-16 | Coulomb blockade in microscopic material defects as a source of decoherence and noise in solid-state quantum circuits
[arXiv] 2026-07-16 | Fermiology of the kagome compound LuNb6Sn6 probed by de Haas-van Alphen oscillations
[arXiv] 2026-07-16 | On the Darboux Integrability of the Constant Mean Curvature One Equation for Surfaces in Hyperbolic 3 space
[arXiv] 2026-07-16 | Mutable Low-Rank Sketches for Retrain-Free Recommendation
[arXiv] 2026-07-16 | Flow in a porous non-axisymmetric annular conduit: Coupling wall compliance and peristalsis
[arXiv] 2026-07-16 | Divergent Gaze Patterns in Artistic Viewing: Spatial and Temporal Signatures of Attention Across Autistic Individuals, Artists, and Neurotypical Observers
[arXiv] 2026-07-16 | When Words Are Safe But Actions Kill: Probing Physical Danger Beyond Text Safety in Hidden-State Risk Space
[arXiv] 2026-07-16 | Several families of incommensurable noncompact hyperbolic Coxeter polytopes
[arXiv] 2026-07-16 | MagicPrompt: Ultra-Lightweight Prompt Tuning for Video Generation
[arXiv] 2026-07-16 | Dispersive Readout of a SiMOS Quantum Dot Using a Flip-Chip Integrated Microwave Resonator
[arXiv] 2026-07-16 | MIDAS Hand: Modular low-Impedance Direct-drive Anthropomorphic Sensing Hand
[arXiv] 2026-07-16 | Analytic descriptions of soft-edge quadrupoles for beamline design in multi-particle simulations
[arXiv] 2026-07-16 | Pareto-optimal work extraction and the thermodynamic cost of precision in quantum information engines
[arXiv] 2026-07-16 | Limits on Broadcasting Genuine Multipartite Entanglement in Quantum Networks
[arXiv] 2026-07-16 | Graph Weldings Associated with Functions in Zygmund, $\mathrm{BMO}$, $\mathrm{VMO}$, and $H^{1/2}$
[arXiv] 2026-07-16 | Swift gives a new BAT-GLIMPSE: Gamma-ray Localization using Imaging and Mosaic techniques for Pointing and Slew Epochs
[arXiv] 2026-07-16 | Towards logical entanglement creation in trivalent planar architectures
[arXiv] 2026-07-16 | Identification Codes and Post-Shannon Communication: Theory, Architectures, and Emerging Applications
[arXiv] 2026-07-16 | Improving Dynamical Decoupling for Trapped-Ion QCCD Quantum Computers
[arXiv] 2026-07-16 | Type I/II Vortex Dynamics With Excited Normal Modes
[arXiv] 2026-07-16 | Thermodynamic theory of voting and EU elections
[arXiv] 2026-07-16 | Shifted S-templates and improved lower bounds for Schur numbers
[arXiv] 2026-07-16 | On the origin of finite entanglement scaling
[arXiv] 2026-07-16 | Sharp phase transition for percolation with short-range dependencies
[arXiv] 2026-07-16 | Periodic orbits and quantum many-body scars in integrable spin chains
[arXiv] 2026-07-16 | Landscape analysis for shallow neural networks: Complete classification of critical points for cubic activation and affine target functions
[arXiv] 2026-07-16 | Growth-controlled suppression of electrically active defects in CrSBr
[arXiv] 2026-07-16 | What's in a Smoothness Constant? Tighter Rates for Local SGD with Bounded Second-order Heterogeneity
[arXiv] 2026-07-16 | Formality for rigid-analytic spaces satisfying the weight-monodromy conjecture
[arXiv] 2026-07-16 | Semi-Streaming Matching in a Single Pass I: A New Framework for Lower Bounds via Blueprints
[arXiv] 2026-07-16 | Neural Very Weak Formulations enabling Hardware-Oriented deep PDE solvers
[arXiv] 2026-07-16 | MAGiSt3R: Multi-Agent Feed-forward 3D Reconstruction from Monocular RGB Videos
[arXiv] 2026-07-16 | MM-IssueLoc: A Controlled Benchmark for Evaluating Visual Evidence in Multimodal Repository-Level Issue Localization
[arXiv] 2026-07-16 | Entanglement Detection for Two-Qubit and Three-Qubit Pure States via Unitary Transformations and Ancilla State Measurements
[arXiv] 2026-07-16 | SciPhy Reinforcement Learning for Portfolio Optimization
[arXiv] 2026-07-16 | Gyrotropy from Extrinsic Geometry in Twisted Materials
[arXiv] 2026-07-16 | Integrated Discovery and State-Aware Servicing for Mobile AUVs With UOWC: Modeling and Performance Analysis
[arXiv] 2026-07-16 | RTS Smoother-Guided Learning of Physics-Based Neural Differential Models
[arXiv] 2026-07-16 | A Complete-Data Likelihood for Epidemic Processes on Partially Observed Dynamic Networks
[arXiv] 2026-07-16 | MedFailBench: A Clinician-Built Open-Source Benchmark for Medical AI Safety Boundary Inspection
[arXiv] 2026-07-16 | The Industrialization of Research ; On AI-Driven Science and Its Consequences
[arXiv] 2026-07-16 | On-Policy Delta Distillation
[arXiv] 2026-07-16 | LDGM-Based Quantum Codes for Fault-Tolerant Quantum Computation
[arXiv] 2026-07-16 | Cluster characteristics of Galactic open clusters
[arXiv] 2026-07-16 | Setup Complete, Now You Are Compromised: Weaponizing Setup Instructions Against AI Coding Agents
[arXiv] 2026-07-16 | Concept-Guided Spatial Regularization for World Models in Atari Pong
[arXiv] 2026-07-16 | Perfectly equidistributed Quasi-Monte Carlo sequences from Artin-Schreier polynomials
[arXiv] 2026-07-16 | On Lagrangians of Oakley-Usher type
[arXiv] 2026-07-16 | Berkeley 32: A Metal-poor and Dynamically Evolved Open Cluster with Evidence of Radial Migration
[arXiv] 2026-07-16 | Don't Predict, Prioritize: Rethinking GPU Reliability Assessment
[arXiv] 2026-07-16 | Goal-Oriented Semantic Communication for Distributed ISAC-Enabled Vehicle Coordination
[arXiv] 2026-07-16 | $B \to X_{\mathrm{s}} l^{+} l^{-}$ in the $μ$ from $ν$ Supersymmetric Standard Model
[arXiv] 2026-07-16 | A quantitative Schur comparison theorem for curves in CAT(k) spaces
[arXiv] 2026-07-16 | QuReC: All-in-One Image Restoration with Query-Specific Guidance and Local-Global Response Calibration
[arXiv] 2026-07-16 | Digital Pantheon: Simulating and Auditing Coalition Formation with LLM Agents
[arXiv] 2026-07-16 | Light-activated Janus particles in geometrically confined binary solvent
[arXiv] 2026-07-16 | BrainPilot: Automating Brain Discovery with Agentic Research
[arXiv] 2026-07-16 | Casimir effect for a massive scalar field confined between parallel plates with a spatially varying effective mass
[arXiv] 2026-07-16 | An Adaptive and Physics-Preserving Multiscale Method for Two-Phase Flow Simulations in High-Contrast Heterogeneous Porous Media
[arXiv] 2026-07-16 | Existence and convergence of discrete-time Kyle models with multiple insiders
[arXiv] 2026-07-16 | SCITUS: A Multi-Jurisdictional Framework for Adapting NIST AI RMF to the Canadian Regulatory Context
[arXiv] 2026-07-16 | Towards realistic large random models of labeled transition systems and their 0-1 laws
[arXiv] 2026-07-16 | Man, Machine, and Masterpiece: Artistic Ownership in the AI Era
[arXiv] 2026-07-16 | Heilbronn's Problem in the Unit Triangle: Certified Optimal Configurations for up to $n\le 8$
[arXiv] 2026-07-16 | Risk-Aware Belief Control Barrier Functions over Random Finite Sets
[arXiv] 2026-07-16 | Competing Orders Driven by Wigner Crystal Phase in Rhombohedral Graphene
[arXiv] 2026-07-16 | Comment on "Non-linear interactions in cosmologies with energy exchange"
[arXiv] 2026-07-16 | Hall complement numbers
[arXiv] 2026-07-16 | Plug Flow and Cavitation in Rough Lubricated Contacts: Molecular Dynamics of Single- vs. Two-Component Fluids
[arXiv] 2026-07-16 | AeroAct: Action-Centered World-Action Models for Language-Conditioned Quadrotor Flight
[arXiv] 2026-07-16 | Hybrid Symmetry Breaking for Chiral Quasi-Bound States in the Continuum
[arXiv] 2026-07-16 | Achievable-Rate Analysis of MISO Systems with Transmit-Side Multiport Matching Networks
[arXiv] 2026-07-16 | Geometric Criteria for Morrey Admissibility via the Real Log-Canonical Threshold
[arXiv] 2026-07-16 | Relativistic corrections and high-energy resummation for exclusive heavy quarkonium photoproduction
[arXiv] 2026-07-16 | VQ-Touch: A Data-Efficient Tactile Generation Framework Across Sensors and Scenarios
[arXiv] 2026-07-16 | BridgeFlow: Fast and Robust SE(2)-Equivariant Motion Planning with Flow Matching
[arXiv] 2026-07-16 | Multimodality as Supervision: Self-Supervised Specialization to the Test Environment via Multimodality
[arXiv] 2026-07-16 | The existence of $k$-convex hypersurface for a class of Hessian curvature equations
[arXiv] 2026-07-16 | Amoeboid swimming of active vesicles
[arXiv] 2026-07-16 | Does Multi-Agent Debate Improve AI Feedback on Research Papers?
[arXiv] 2026-07-16 | Imaging and characterization of spontaneous vortices in a proximity-induced superconductor
[arXiv] 2026-07-16 | Acyclic Dichromatic Number of Tournaments: these are the Champions
[arXiv] 2026-07-16 | Summary of quality control (QC) of ATLAS18 production ITk strip sensors
[arXiv] 2026-07-16 | Lattice-based extended withdrawability
[arXiv] 2026-07-16 | Statistics of the Compression Ratio of a Variable-to-Variable Code: Exact Moments and Asymptotic Behavior
[arXiv] 2026-07-16 | Cosmogenic photon fluxes at ultra-high energies
[arXiv] 2026-07-16 | Tuning the universality class of a quantum process by Trotterization
[arXiv] 2026-07-16 | VIABench: A Comprehensive Video Benchmark Collected from Blind Individuals for Visual Impairment Assistance
[arXiv] 2026-07-16 | LLM-Driven Approach to Modeling Tool Interoperability in Automotive Domain
[arXiv] 2026-07-16 | MemPoison: Uncovering Persistent Memory Threats and Structural Blind Spots in LLM Agents
[arXiv] 2026-07-16 | On Nonlinear Idempotents and Metric Projections in Normed Spaces
[arXiv] 2026-07-16 | Action QFormer: Structured Representation Shaping under Action Supervision in Vision-Language-Action Models
[arXiv] 2026-07-16 | Runaway OB stars within 1 kpc of the Sun
[arXiv] 2026-07-16 | Criticality and reduced dynamical resilience in PM2.5 pollution systems
[arXiv] 2026-07-16 | ExaGEMM: Exploration Framework for CPU-Driven ML Inference via Associative In-Register Computing for Low-Bit GEMM
[arXiv] 2026-07-16 | Beyond Entropy: Correctness-Aware Advantage Shaping via Contrastive Policy Optimization
[arXiv] 2026-07-16 | Representation-Aligned Tactile Grounding for Contact-Rich Robotic Manipulation
[arXiv] 2026-07-16 | Baumslag-Solitar subgroups of the mapping class group
[arXiv] 2026-07-16 | A Nonlinear Model Predictive Control Perspective on Gradient-Based Optimization: A New Efficient, Parameter-Free and Provably Stable Algorithm
[arXiv] 2026-07-16 | Memory-Driven Self-Disclosure and Relational Turning Points: A Longitudinal Multimodal Study of Human-AI Interaction
[arXiv] 2026-07-16 | Multi-LLM Collaborative MRI Report Generation for Visual Instruction Tuning in Brain Oncology
[arXiv] 2026-07-16 | Advanced Image Generation: Negative Prompt Optimization and Latent Classifier Guidance
[arXiv] 2026-07-16 | Sharp Stability Threshold and Certification for Designing Stable Residual Architectures
[arXiv] 2026-07-16 | Phase coherence control of a programmable high-Tc superconductor created by light
[arXiv] 2026-07-16 | Spin-Resolved Decay of Axion-Like Particles into Electron--Positron Pairs in Strong Electromagnetic Fields
[arXiv] 2026-07-16 | Features of the distribution of absorbing matter in the local system
[arXiv] 2026-07-16 | CASP: Learning-Augmented Offline Approximation with Verifiable Certificates and Bounded-Loss PAC Guarantees
[arXiv] 2026-07-16 | Controlled Reformulation Testing for Logical Consistency in Large Language Models
[arXiv] 2026-07-16 | Uni-AdaVD: Universal Concept Erasure for Visual Generation via Orthogonal Value Decomposition
[arXiv] 2026-07-16 | State-Dependent Metric Projection Neural Network for Variational Inequalities
[arXiv] 2026-07-16 | VLT: A Vision-Language-Time Series Multimodal Foundation Model for Industrial Intelligence
[arXiv] 2026-07-16 | DRIFT: Drift and Aggregation for Motion Planning
[arXiv] 2026-07-16 | Denoising-Autoencoder-Assisted Physical Layer Secret Key Generation
[arXiv] 2026-07-16 | SAGA: Schema-Aware Grounding for Agentic Text-to-SPARQL Generation
[arXiv] 2026-07-16 | Context Contamination in LLM Analysis of Network Security Logs: Poison with Passive Prompt Injection and Mitigation Evaluation
[arXiv] 2026-07-16 | EdgeFaaS: A Function-based Framework for Edge Computing
[arXiv] 2026-07-16 | Syndrome-as-Header: A Quantum Label-Switching Architecture via Uncorrectable Error Injection
[arXiv] 2026-07-16 | Bergman functions on weakly uniformly perfect domains II
[arXiv] 2026-07-16 | From Draft to Draft-Free: One-Step Video Object Removal via Privileged Distillation and Fast Planting
[arXiv] 2026-07-16 | CFM-Bench: A Unified Multi-Domain, Multi-Task Benchmark for Channel Foundation Models
[arXiv] 2026-07-16 | Stitch-Inferencer: Enhance Endoscopic Video Segmentation and Tracking via Panoramic Reconstruction
[arXiv] 2026-07-16 | Contextualized Early Detection of Online Firestorms: A Sequential LLM-Based Approach
[arXiv] 2026-07-16 | A Comprehensive History of $μ$CRL and mCRL2
[arXiv] 2026-07-16 | A Queueing-Stability Criterion for Causal IPD-QIM Network Flow Watermarking
[arXiv] 2026-07-16 | Stochastic process model of rough surface contact
[arXiv] 2026-07-16 | A superplethystic formula for superrestriction coefficients
[arXiv] 2026-07-16 | A Minimal Interpretable Architecture for Zero-Shot Reconstruction of Dynamical Systems
[arXiv] 2026-07-16 | Tomographic flow regime vs even-odd effect for the magnetotransport in the Corbino geometry
[arXiv] 2026-07-16 | Coloring Black Holes: Epistemic and Aesthetic Choices in Astronomical Imaging
[arXiv] 2026-07-16 | Optimal Design for Generalized Progressive Hybrid Censored Data via Constrained, Unconstrained, Compound, and Minimax Optimization
[arXiv] 2026-07-16 | Authoring Narrative Visualization in Motion: Visual Storytelling in Swimming Videos
[arXiv] 2026-07-16 | Stochastic ultimatum game: Spite-driven resource feedback fosters fairness
[arXiv] 2026-07-16 | Non-Hermitian Interaction between Light and Photonic Time Crystal Beyond the Floquet Quasinormal Mode Approximation
[arXiv] 2026-07-16 | Alternating adjacent-sum polytopes: transfer matrices and Ehrhart series
[arXiv] 2026-07-16 | Efficient Hamilton covers and linear arboricity of random graphs
[arXiv] 2026-07-16 | Rotational Motion-Induced Error Compensation for Phase-Shifting Profilometry-Based Eye Reconstruction
[arXiv] 2026-07-16 | Optimization dynamics of Transformer backflow neural quantum states for the two-dimensional Hubbard model
[arXiv] 2026-07-16 | Erdős-Ko-Rado-type problem for hypergraph matchings
[arXiv] 2026-07-16 | Thermal Masses and Bubble-Wall Friction in Cosmological Phase Transitions
[arXiv] 2026-07-16 | A Bogomolov type vanishing theorem
[arXiv] 2026-07-16 | RW-Voice-EQ Bench: A Real World Benchmark for Evaluating Voice AI Systems
[arXiv] 2026-07-16 | Analytical covariances for catalogue-based pseudo-$C_\ell$s
[arXiv] 2026-07-16 | Modular Sign Compensation for MIMO Systems with Unknown Control Direction: An Exact Nominal Recovery Approach
[arXiv] 2026-07-16 | Physics-Informed Diffusion for Biomechanically Plausible 3D Sign Language Generation
[arXiv] 2026-07-16 | Lossy compression of weighted graph adjacency matrices by transform coding
[arXiv] 2026-07-16 | Interventional Causal Circuits for Safe Robot Action Testing and Failure Recovery
[arXiv] 2026-07-16 | Multi-Scale Equilibrium under Variable Indicator Dimensionality: Faithful Reduction of Dynamic Attractors in Urban Mobility Systems
[arXiv] 2026-07-16 | Track fitting at the full LHC collision rate
[arXiv] 2026-07-16 | Curvature-Constrained and Constant-Speed Distributed Simultaneous Arrival Control for Multi-Robot Systems
[arXiv] 2026-07-16 | Responses of multiparticle observables to multidimensional nuclear deformation in relativistic heavy-ion collisions
[arXiv] 2026-07-16 | Dialogue Summarization with Emotion Dynamics Using Topic- and Participant-Centric Decomposition
