[2026-03-10 09:31:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-09
正在获取论文...
[arXiv] 2026-03-09 | GOMA: Geometrically Optimal Mapping via Analytical Modeling for Spatial Accelerators
[arXiv] 2026-03-09 | Adaptive MLP Pruning for Large Vision Transformers
[arXiv] 2026-03-09 | Why Large Language Models can Secretly Outperform Embedding Similarity in Information Retrieval
[arXiv] 2026-03-09 | The Interior of the Scalar Hairy Black Hole with Inverted Higgs Potential
[arXiv] 2026-03-09 | ImageEdit-R1: Boosting Multi-Agent Image Editing via Reinforcement Learning
[arXiv] 2026-03-09 | Stabilized Fine-Tuning with LoRA in Federated Learning: Mitigating the Side Effect of Client Size and Rank via the Scaling Factor
[arXiv] 2026-03-09 | WhispEar: A Bi-directional Framework for Scaling Whispered Speech Conversion via Pseudo-Parallel Whisper Generation
[arXiv] 2026-03-09 | Asymptotic Analysis of Discrete-Time Hawkes Process
[arXiv] 2026-03-09 | Interlayer Error Calibration for Stacked Intelligent Metasurfaces:Modeling, Algorithms, and Future Perspectives
[arXiv] 2026-03-09 | The Unit Gap: How Sharing Works in Boolean Circuits
[arXiv] 2026-03-09 | GCGNet: Graph-Consistent Generative Network for Time Series Forecasting with Exogenous Variables
[arXiv] 2026-03-09 | QualiTeacher: Quality-Conditioned Pseudo-Labeling for Real-World Image Restoration
[arXiv] 2026-03-09 | Loss-Optimized Reconfigurable Nonlocal Metasurface-aided Cavity Antenna
[arXiv] 2026-03-09 | Controllable Complex Human Motion Video Generation via Text-to-Skeleton Cascades
[arXiv] 2026-03-09 | VSDiffusion: Taming Ill-Posed Shadow Generation via Visibility-Constrained Diffusion
[arXiv] 2026-03-09 | PIRA-Bench: A Transition from Reactive GUI Agents to GUI-based Proactive Intent Recommendation Agents
[arXiv] 2026-03-09 | Amortizing Maximum Inner Product Search with Learned Support Functions
[arXiv] 2026-03-09 | CMMR-VLN: Vision-and-Language Navigation via Continual Multimodal Memory Retrieval
[arXiv] 2026-03-09 | Parameter Estimation for Complex α-Fractional Brownian Bridge
[arXiv] 2026-03-09 | On the Feasibility and Opportunity of Autoregressive 3D Object Detection
[arXiv] 2026-03-09 | ACE-GF-based Attestation Relay for PQC - Lightweight Mempool Propagation Without On-Path Proofs
[arXiv] 2026-03-09 | Interleaved diffractive networks for information transfer through random diffusers
[arXiv] 2026-03-09 | FVG-PT: Adaptive Foreground View-Guided Prompt Tuning for Vision-Language Models
[arXiv] 2026-03-09 | Impermanent: A Live Benchmark for Temporal Generalization in Time Series Forecasting
[arXiv] 2026-03-09 | The quantum square-well fluid: a thermodynamic geometric view
[arXiv] 2026-03-09 | Discovery of intertwined pair density and charge density wave orders in UTe2
[arXiv] 2026-03-09 | A New Lower Bound for the Random Offerer Mechanism in Bilateral Trade using AI-Guided Evolutionary Search
[arXiv] 2026-03-09 | The Lovász conjecture holds for moderately dense Cayley graphs
[arXiv] 2026-03-09 | Talking Together: Synthesizing Co-Located 3D Conversations from Audio
[arXiv] 2026-03-09 | Experimental investigation of Lévy flights for step-length distributions with a length-dependent local power exponent
[arXiv] 2026-03-09 | Cybersecurity AI: Hacking Consumer Robots in the AI Era
[arXiv] 2026-03-09 | Context-free Self-Conditioned GAN for Trajectory Forecasting
[arXiv] 2026-03-09 | Group Entropies and Mirror Duality: A Class of Flexible Mirror Descent Updates for Machine Learning
[arXiv] 2026-03-09 | Divide and Predict: An Architecture for Input Space Partitioning and Enhanced Accuracy
[arXiv] 2026-03-09 | Grow, Don't Overwrite: Fine-tuning Without Forgetting
[arXiv] 2026-03-09 | Retrieval-Augmented Gaussian Avatars: Improving Expression Generalization
[arXiv] 2026-03-09 | Effect of gravitational lensing around black hole in dark matter halo in the presence of plasma
[arXiv] 2026-03-09 | PostTrainBench: Can LLM Agents Automate LLM Post-Training?
[arXiv] 2026-03-09 | UNBOX: Unveiling Black-box visual models with Natural-language
[arXiv] 2026-03-09 | Secondary gravitational waves against a strong gravitational wave in the Bianchi VI universe
[arXiv] 2026-03-09 | Congruences between Klingen-Eisenstein series and cusp forms on $\mathrm{U}_{n,n}$
[arXiv] 2026-03-09 | StreamReady: Learning What to Answer and When in Long Streaming Videos
[arXiv] 2026-03-09 | Distributed Algorithms for Euclidean Clustering
[arXiv] 2026-03-09 | Communication-constrained nonlocal correlations
[arXiv] 2026-03-09 | CARE-Edit: Condition-Aware Routing of Experts for Contextual Image Editing
[arXiv] 2026-03-09 | Glassy phase transition in immiscible steady-state two-phase flow in porous media
[arXiv] 2026-03-09 | DiverXplorer: Stock Image Exploration via Diversity Adjustment for Graphic Design
[arXiv] 2026-03-09 | DualFlexKAN: Dual-stage Kolmogorov-Arnold Networks with Independent Function Control
[arXiv] 2026-03-09 | The Grasshopper Problem on the Sphere
[arXiv] 2026-03-09 | Drift-to-Action Controllers: Budgeted Interventions with Online Risk Certificates
[arXiv] 2026-03-09 | On the excision of Brownian bridge paths
[arXiv] 2026-03-09 | A dynamical approach to General Relativity based on proper time
[arXiv] 2026-03-09 | OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security
[arXiv] 2026-03-09 | Galaw at Gunita: Extended Reality Murals for Experiencing Filipino Art
[arXiv] 2026-03-09 | Au and Ag nanoparticles produced by ion implantation in single-crystalline $β$-Ga$_2$O$_3$
[arXiv] 2026-03-09 | PCFEx: Point Cloud Feature Extraction for Graph Neural Networks
[arXiv] 2026-03-09 | SecAgent: Efficient Mobile GUI Agent with Semantic Context
[arXiv] 2026-03-09 | Gas chemistry in the dust depleted inner regions of protoplanetary disks. I. Near-IR spectra and overtones
[arXiv] 2026-03-09 | TUMSphere: Turning a University Curriculum into Playable VR Challenges
[arXiv] 2026-03-09 | Collinear spin density wave state in distorted square-lattice GdNiSn$_4$
[arXiv] 2026-03-09 | BuildMamba: A Visual State-Space Based Model for Multi-Task Building Segmentation and Height Estimation from Satellite Images
[arXiv] 2026-03-09 | AtomVLA: Scalable Post-Training for Robotic Manipulation via Predictive Latent World Models
[arXiv] 2026-03-09 | All Vehicles Can Lie: Efficient Adversarial Defense in Fully Untrusted-Vehicle Collaborative Perception via Pseudo-Random Bayesian Inference
[arXiv] 2026-03-09 | Global Cross-Modal Geo-Localization: A Million-Scale Dataset and a Physical Consistency Learning Framework
[arXiv] 2026-03-09 | Visual Self-Fulfilling Alignment: Shaping Safety-Oriented Personas via Threat-Related Images
[arXiv] 2026-03-09 | Towards Modeling Cybersecurity Behavior of Humans in Organizations
[arXiv] 2026-03-09 | Asymmetric uniqueness sets in $\ell^q$
[arXiv] 2026-03-09 | Behavioral Generative Agents for Power Dispatch and Auction
[arXiv] 2026-03-09 | R2F: Repurposing Ray Frontiers for LLM-free Object Navigation
[arXiv] 2026-03-09 | Modeling the Slow Arrhenius Process (SAP) in Polymers
[arXiv] 2026-03-09 | Amplitude Analysis of Singly Cabibbo-Suppressed Decay $Λ^{+}_{c}\to p K^{+} K^{-}$
[arXiv] 2026-03-09 | Cubic maps from the group of order $3$
[arXiv] 2026-03-09 | Distributions of left prime truncations
[arXiv] 2026-03-09 | OFDM Waveform Optimization for Bistatic Integrated Sensing and Communications
[arXiv] 2026-03-09 | FoMo: A Multi-Season Dataset for Robot Navigation in Forêt Montmorency
[arXiv] 2026-03-09 | The Dark Photon: a 2026 Perspective
[arXiv] 2026-03-09 | One Model Is Enough: Native Retrieval Embeddings from LLM Agent Hidden States
[arXiv] 2026-03-09 | IronEngine: Towards General AI Assistant
[arXiv] 2026-03-09 | Subspace Fusion Sensing for Cooperative ISAC
[arXiv] 2026-03-09 | Geometrically Constrained Outlier Synthesis
[arXiv] 2026-03-09 | Instanton construction of the mapping cone Thom-Smale complex
[arXiv] 2026-03-09 | SPIRAL: A Closed-Loop Framework for Self-Improving Action World Models via Reflective Planning Agents
[arXiv] 2026-03-09 | NLE: Non-autoregressive LLM-based ASR by Transcript Editing
[arXiv] 2026-03-09 | Bound states in a semi-infinite square potential well
[arXiv] 2026-03-09 | Adaptive Loops and Memory in Transformers: Think Harder or Know More?
[arXiv] 2026-03-09 | Mitigating Mixed-field Interference in Near-field and Far-field Communications: An Antenna Selection Approach
[arXiv] 2026-03-09 | A Hierarchical Error-Corrective Graph Framework for Autonomous Agents with LLM-Based Action Generation
[arXiv] 2026-03-09 | AULLM++: Structural Reasoning with Large Language Models for Micro-Expression Recognition
[arXiv] 2026-03-09 | Real-Time Drone Detection in Event Cameras via Per-Pixel Frequency Analysis
[arXiv] 2026-03-09 | Flexibility of Codimension One $C^{1,θ}$ Isometric Immersions
[arXiv] 2026-03-09 | The triplication method for constructing strong starters
[arXiv] 2026-03-09 | On the minimum of $σ$-Brjuno functions
[arXiv] 2026-03-09 | This Looks Distinctly Like That: Grounding Interpretable Recognition in Stiefel Geometry against Neural Collapse
[arXiv] 2026-03-09 | Diffusion-Based Data Augmentation for Image Recognition: A Systematic Analysis and Evaluation
[arXiv] 2026-03-09 | Unveiling the Thermal and Aqueous Stability of 1D Lepidocrocite Titania
[arXiv] 2026-03-09 | Limiting Spectral Distribution of moderately large Kendall's correlation matrix and its application
[arXiv] 2026-03-09 | Local-Global Prompt Learning via Sparse Optimal Transport
[arXiv] 2026-03-09 | PhaForce: Phase-Scheduled Visual-Force Policy Learning with Slow Planning and Fast Correction for Contact-Rich Manipulation
[arXiv] 2026-03-09 | Search for long-lived charginos and $τ$-sleptons using final states with a disappearing track in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector
[arXiv] 2026-03-09 | A reaction-diffusion model for describing the ring/gap structure in disks surrounding individual young stars
[arXiv] 2026-03-09 | Learning Multiple Utterance-Level Attribute Representations with a Unified Speech Encoder
[arXiv] 2026-03-09 | Sign Identifiability of Causal Effects in Stationary Stochastic Dynamical Systems
[arXiv] 2026-03-09 | Weighted Chernoff information and optimal loss exponent in context-sensitive hypothesis testing
[arXiv] 2026-03-09 | A Realistic Framework for Quantum Sensing under Finite Resources
[arXiv] 2026-03-09 | Graph-Instructed Neural Networks for parametric problems with varying boundary conditions
[arXiv] 2026-03-09 | Do Models See in Line with Human Vision? Probing the Correspondence Between LVLM Representations and EEG Signals
[arXiv] 2026-03-09 | Atomic-resolution imaging of gold species at organic liquid-solid interfaces
[arXiv] 2026-03-09 | Disc accretion onto a binary black hole in a hierarchical triple system as an origin of the most luminous hyper-soft sources
[arXiv] 2026-03-09 | Minor First, Major Last: A Depth-Induced Implicit Bias of Sharpness-Aware Minimization
[arXiv] 2026-03-09 | Posterior Sampling Reinforcement Learning with Gaussian Processes for Continuous Control: Sublinear Regret Bounds for Unbounded State Spaces
[arXiv] 2026-03-09 | Gordan-Rankin-Cohen operators on the spaces of weighted densities in superdimension $1\vert 1$
[arXiv] 2026-03-09 | The Role of Dynamic Stall in Aerofoil Shape Optimisation for Curvilinear Blade Kinematics
[arXiv] 2026-03-09 | Population Density Estimators for Right-Censored Distance Sampling
[arXiv] 2026-03-09 | Scaling law from orbital angular momentum conservation in harmonic and high-order harmonic generation driven by spatiotemporal light fields
[arXiv] 2026-03-09 | FinToolBench: Evaluating LLM Agents for Real-World Financial Tool Use
[arXiv] 2026-03-09 | Beyond ReinMax: Low-Variance Gradient Estimators for Discrete Latent Variables
[arXiv] 2026-03-09 | Coupling Europe's Capacity Markets
[arXiv] 2026-03-09 | From Design to Validation: Preparing a LEO-Capable UE for End-to-End System Evaluation
[arXiv] 2026-03-09 | SRNeRV: A Scale-wise Recursive Framework for Neural Video Representation
[arXiv] 2026-03-09 | Sampling Colorings with Fixed Color Class Sizes
[arXiv] 2026-03-09 | Non-Normal Route to Chaos
[arXiv] 2026-03-09 | Discovery of a 36-minute long-period transient ASKAP J142431.2-612611
[arXiv] 2026-03-09 | Gravitational formulation of stress-tensor deformed field theories
[arXiv] 2026-03-09 | Scaling Machine Learning Interatomic Potentials with Mixtures of Experts
[arXiv] 2026-03-09 | Grow, Assess, Compress: Adaptive Backbone Scaling for Memory-Efficient Class Incremental Learning
[arXiv] 2026-03-09 | Bilevel Planning with Learned Symbolic Abstractions from Interaction Data
[arXiv] 2026-03-09 | The Transfer Tensor Method: an Analytical Study Case
[arXiv] 2026-03-09 | Trust Nothing: RTOS Security without Run-Time Software TCB (Extended Version)
[arXiv] 2026-03-09 | Experience on Automatically Converting a C++ Monolith to Java EE
[arXiv] 2026-03-09 | A proof of conservation laws in gravitational scattering: tails and breaking of peeling
[arXiv] 2026-03-09 | A note on large-scale quantum chemistry on quantum computers: the case of a molecule with half-Möbius topology
[arXiv] 2026-03-09 | Integral Formulas for Vector Spherical Tensor Products
[arXiv] 2026-03-09 | Discontinuous Galerkin approximation of a nonlinear multiphysics problem arising in ultrasound-enhanced drug delivery
[arXiv] 2026-03-09 | WeldAR: Augmenting Live Hands-On Training with In-Situ Guidance for Novice Learners
[arXiv] 2026-03-09 | PSTNet: Physically-Structured Turbulence Network
[arXiv] 2026-03-09 | RAPID: Redundancy-Aware and Compatibility-Optimal Edge-Cloud Partitioned Inference for Diverse VLA models
[arXiv] 2026-03-09 | Lattice: A Post-Quantum Settlement Layer
[arXiv] 2026-03-09 | Fine Structure and Formation Mechanism of a Sunspot Bipolar Light Bridge in NOAA AR 13663
[arXiv] 2026-03-09 | Unsupervised Domain Adaptation for Audio Deepfake Detection with Modular Statistical Transformations
[arXiv] 2026-03-09 | BRIDGE: Benchmark for multi-hop Reasoning In long multimodal Documents with Grounded Evidence
[arXiv] 2026-03-09 | IMSE: Intrinsic Mixture of Spectral Experts Fine-tuning for Test-Time Adaptation
[arXiv] 2026-03-09 | First-principles identification of optically efficient erbium centers in GaAs
[arXiv] 2026-03-09 | RLPR: Radar-to-LiDAR Place Recognition via Two-Stage Asymmetric Cross-Modal Alignment for Autonomous Driving
[arXiv] 2026-03-09 | Rel-MOSS: Towards Imbalanced Relational Deep Learning on Relational Databases
[arXiv] 2026-03-09 | Geometric Transformation-Embedded Mamba for Learned Video Compression
[arXiv] 2026-03-09 | DyQ-VLA: Temporal-Dynamic-Aware Quantization for Embodied Vision-Language-Action Models
[arXiv] 2026-03-09 | Symmetric Trotterization in digital quantum simulation of quantum spin dynamics
[arXiv] 2026-03-09 | NaviDriveVLM: Decoupling High-Level Reasoning and Motion Planning for Autonomous Driving
[arXiv] 2026-03-09 | Revisiting Unknowns: Towards Effective and Efficient Open-Set Active Learning
[arXiv] 2026-03-09 | SMGI: A Structural Theory of General Artificial Intelligence
[arXiv] 2026-03-09 | Closed Reeb orbits on contact type hypersurfaces in $T^*S^n$
[arXiv] 2026-03-09 | A Lightweight Traffic Map for Efficient Anytime LaCAM*
[arXiv] 2026-03-09 | Visualizing Coalition Formation: From Hedonic Games to Image Segmentation
[arXiv] 2026-03-09 | Reject, Resample, Repeat: Understanding Parallel Reasoning in Language Model Inference
[arXiv] 2026-03-09 | CCR-Bench: A Comprehensive Benchmark for Evaluating LLMs on Complex Constraints, Control Flows, and Real-World Cases
[arXiv] 2026-03-09 | Identifying Influential Actions in Human-Robot Interactions
[arXiv] 2026-03-09 | A Generalization of Pretzel Links via Spatial Graphs
[arXiv] 2026-03-09 | The Dirac sea of phase: Unifying phase paradoxes and Talbot revivals in multimode waveguides
[arXiv] 2026-03-09 | Keller-Segel-Navier-Stokes systems involving general sensitivities with Signal-Dependent Power-Law Decay
[arXiv] 2026-03-09 | Hospitality-VQA: Decision-Oriented Informativeness Evaluation for Vision-Language Models
[arXiv] 2026-03-09 | SoundWeaver: Semantic Warm-Starting for Text-to-Audio Diffusion Serving
[arXiv] 2026-03-09 | Choice of Collateral Currency in Differential Swaps
[arXiv] 2026-03-09 | Threshold Dynamics of Voter Radicalization on the Probability Simplex
[arXiv] 2026-03-09 | The UK Cyber Security and Resilience Bill: A Practitioner's Guide to Legislative Reform, Compliance, and Organisational Readiness
[arXiv] 2026-03-09 | Guess & Guide: Gradient-Free Zero-Shot Diffusion Guidance
[arXiv] 2026-03-09 | Variational Inference for Variable Selection in Scalar-on-Function Regression
[arXiv] 2026-03-09 | Explicit Construction of Floquet-Bloch States from Arbitrary Solution Bases of the Hill Equation
[arXiv] 2026-03-09 | Conceptual Design of a Transverse Deflecting Structure for Longitudinal Diagnostics at DALI
[arXiv] 2026-03-09 | Instantaneous Frequency Estimation in Noisy Multicomponent Signals with Interfering Modes Based on Prony Method and Spline Approximation
[arXiv] 2026-03-09 | Nanosecond wavefront shaping to focus through agitated turbid media
[arXiv] 2026-03-09 | Modeling the Senegalese artisanal fisheries migrations
[arXiv] 2026-03-09 | Pointwise estimates for rough operators in a metric measure framework under some Ahlfors regularity conditions
[arXiv] 2026-03-09 | Convexity of Berezin Range and Berezin Radius Inequalities via a class of Seminorm
[arXiv] 2026-03-09 | Soft Fault Estimation and Localisation in Y-Shaped Networks using OFDM-Based Signals
[arXiv] 2026-03-09 | Evidence-Driven Reasoning for Industrial Maintenance Using Heterogeneous Data
[arXiv] 2026-03-09 | Enhancement of metallicity by Na doping in La$_3$Ni$_2$O$_{7+δ}$
[arXiv] 2026-03-09 | RexDrug: Reliable Multi-Drug Combination Extraction through Reasoning-Enhanced LLMs
[arXiv] 2026-03-09 | Unexpected Planar Dislocation Boundary Formation in FCC Metals Captured by Dark-Field X-ray Microscopy and Continuum Dislocation Dynamics
[arXiv] 2026-03-09 | Triplet-Pair Character of the $2^1A_g$ Dark State of Polyenes
[arXiv] 2026-03-09 | Learning Hierarchical Knowledge in Text-Rich Networks with Taxonomy-Informed Representation Learning
[arXiv] 2026-03-09 | Forgetting Event Order in Higher-Dimensional Automata
[arXiv] 2026-03-09 | Fast Low-light Enhancement and Deblurring for 3D Dark Scenes
[arXiv] 2026-03-09 | EvoScientist: Towards Multi-Agent Evolving AI Scientists for End-to-End Scientific Discovery
[arXiv] 2026-03-09 | Foley-Flow: Coordinated Video-to-Audio Generation with Masked Audio-Visual Alignment and Dynamic Conditional Flows
[arXiv] 2026-03-09 | Ramsa: A Large Sociolinguistically Rich Emirati Arabic Speech Corpus for ASR and TTS
[arXiv] 2026-03-09 | SaiVLA-0: Cerebrum--Pons--Cerebellum Tripartite Architecture for Compute-Aware Vision-Language-Action
[arXiv] 2026-03-09 | Impact of Resonant Compton Scattering on Magnetar X-Ray Polarization with QED Vacuum Resonance
[arXiv] 2026-03-09 | Model-based Offline RL via Robust Value-Aware Model Learning with Implicitly Differentiable Adaptive Weighting
[arXiv] 2026-03-09 | UIS-Digger: Towards Comprehensive Research Agent Systems for Real-world Unindexed Information Seeking
[arXiv] 2026-03-09 | Whataboutism
[arXiv] 2026-03-09 | PathBench: Speech Intelligibility Benchmark for Automatic Pathological Speech Assessment
[arXiv] 2026-03-09 | DSH-Bench: A Difficulty- and Scenario-Aware Benchmark with Hierarchical Subject Taxonomy for Subject-Driven Text-to-Image Generation
[arXiv] 2026-03-09 | Stability of Two-Stage Stochastic Programs Under Problem-Dependent Costs
[arXiv] 2026-03-09 | On embeddings of homogeneous quandles
[arXiv] 2026-03-09 | High-Fidelity Pruning for Large Language Models
[arXiv] 2026-03-09 | Simulating non-Markovian open quantum dynamics by exploiting physics-informed neural network
[arXiv] 2026-03-09 | Geometric Give and Take
[arXiv] 2026-03-09 | Hybrid Quantum Neural Network for Multivariate Clinical Time Series Forecasting
[arXiv] 2026-03-09 | Rephasing invariant structure of Dirac CP phase and basis independent reduction of unitarity constraints for mixing matrices
[arXiv] 2026-03-09 | Chemotaxis with tomography
[arXiv] 2026-03-09 | Deterministic Differentiable Structured Pruning for Large Language Models
[arXiv] 2026-03-09 | Adversarial Domain Adaptation Enables Knowledge Transfer Across Heterogeneous RNA-Seq Datasets
[arXiv] 2026-03-09 | See and Switch: Vision-Based Branching for Interactive Robot-Skill Programming
[arXiv] 2026-03-09 | Examining the Role of YouTube Production and Consumption Dynamics on the Formation of Extreme Ideologies
[arXiv] 2026-03-09 | S2S-FDD: Bridging Industrial Time Series and Natural Language for Explainable Zero-shot Fault Diagnosis
[arXiv] 2026-03-09 | Identifying Red Supergiants in the Local Group Using JWST Photometry. I. NGC 6822, Sextans A, NGC 300, WLM, and IC 1613
[arXiv] 2026-03-09 | DyLLM: Efficient Diffusion LLM Inference via Saliency-based Token Selection and Partial Attention
[arXiv] 2026-03-09 | Not Like Transformers: Drop the Beat Representation for Dance Generation with Mamba-Based Diffusion Model
[arXiv] 2026-03-09 | ViSA-Enhanced Aerial VLN: A Visual-Spatial Reasoning Enhanced Framework for Aerial Vision-Language Navigation
[arXiv] 2026-03-09 | Primitive recursive categoricity spectra
[arXiv] 2026-03-09 | SafarDB: FPGA-Accelerated Distributed Transactions via Replicated Data Types
[arXiv] 2026-03-09 | Aero-Promptness: Drag-Aware Aerodynamic Manipulability for Propeller-driven Vehicles
[arXiv] 2026-03-09 | MJ1: Multimodal Judgment via Grounded Verification
[arXiv] 2026-03-09 | \$OneMillion-Bench: How Far are Language Agents from Human Experts?
[arXiv] 2026-03-09 | Emergence is Overrated: AGI as an Archipelago of Experts
[arXiv] 2026-03-09 | Bayesian neural network with autoencoder for model-based description of $α$-particle preformation factor
[arXiv] 2026-03-09 | Estimation of differential entropy for normal populations under prior information
[arXiv] 2026-03-09 | Listening with the Eyes: Benchmarking Egocentric Co-Speech Grounding across Space and Time
[arXiv] 2026-03-09 | Understanding thermal and quantum fluctuations in extended Kitaev-Yao-Lee spin-orbital model
[arXiv] 2026-03-09 | Agentic Critical Training
[arXiv] 2026-03-09 | HiAR: Efficient Autoregressive Long Video Generation via Hierarchical Denoising
[arXiv] 2026-03-09 | A Multi-Objective Optimization Approach for Sustainable AI-Driven Entrepreneurship in Resilient Economies
[arXiv] 2026-03-09 | A Curious Characterisation of Dedekind Domains
[arXiv] 2026-03-09 | Characterization and upgrade of a quantum graph neural network for charged particle tracking
[arXiv] 2026-03-09 | How Far Can Unsupervised RLVR Scale LLM Training?
[arXiv] 2026-03-09 | Fluid-Solid Pattern Formation and Strain Localisation via Shear Banding Instability in Model Biological Tissues
[arXiv] 2026-03-09 | Low order maximally single-trace graphs as the first counterexamples to large N factorization in random tensors
[arXiv] 2026-03-09 | Tractable Identification of Strategic Network Formation Models with Unobserved Heterogeneity
[arXiv] 2026-03-09 | Symmetry-based perturbation theory for electronic structure calculations
[arXiv] 2026-03-09 | Context-Free Trees
[arXiv] 2026-03-09 | Improved SABRE hyperpolarisation using pulse sequences to reduce effective coupling
[arXiv] 2026-03-09 | Embedding Classical Balance Control Principles in Reinforcement Learning for Humanoid Recovery
[arXiv] 2026-03-09 | Heterogeneously Integrated Diamond-on-Lithium Niobate Quantum Photonic Platform
[arXiv] 2026-03-09 | On the concatenability of solutions of partial differential equations
[arXiv] 2026-03-09 | RESAPLE: An Approximate One-Step Restricted Likelihood Estimator of Spatial Dependence for Exploratory Spatial Analysis
[arXiv] 2026-03-09 | A Dynamic Equilibrium Model for Automated Market Makers
[arXiv] 2026-03-09 | Parity-dependent Casimir forces and Hall currents for a confined Dirac field
[arXiv] 2026-03-09 | Pinching Antennas-Assisted Low-Latency Federated Learning Over Multi-User Wireless Networks
[arXiv] 2026-03-09 | Informational Cardinality: A Unifying Framework for Set Theory, Fractal Geometry, and Analytic Number Theory
[arXiv] 2026-03-09 | A characterization of interval nest digraphs
[arXiv] 2026-03-09 | Online Sparse Synthetic Aperture Radar Imaging
[arXiv] 2026-03-09 | SmartGraphical: A Human-in-the-Loop Framework for Detecting Smart Contract Logical Vulnerabilities via Pattern-Driven Static Analysis and Visual Abstraction
[arXiv] 2026-03-09 | MetaWorld-X: Hierarchical World Modeling via VLM-Orchestrated Experts for Humanoid Loco-Manipulation
[arXiv] 2026-03-09 | Right-tail asymptotics for products of independent normal random variables
