[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[IEEE] 2026-7-17 | Benchmarking Data Heterogeneity Challenges in Federated Learning for Distributed Renewable Energy Forecasting: A Systematic Gap Analysis
[IEEE] 2026-7-17 | Financial Fraud Detection: A Data Science and Machine Learning Comparative Study on Synthetic Transactions
[IEEE] 2026-7-17 | Performance based assessment and life cost analysis for urban pavement maintenance decision-making
[IEEE] 2026-7-17 | Robust Dispatch Order Reception in Shared Autonomous Electric Vehicle Fleets Using IRS-Assisted V2X Communications
[IEEE] 2026-7-17 | A GaN MMIC Power Amplifier Model Derived from Active Load-Pull Measurements
[IEEE] 2026-7-17 | Comparative Analysis of Particle Swarm Optimization and Random Forest for DC Motor Parameter Identification
[IEEE] 2026-7-17 | Comparative Uncertainty Modeling for Rooftop PV Forecasting: Deterministic, Stochastic, and ML Integration
[IEEE] 2026-7-17 | Artificial Intelligence Solution for Flotation Froth Load Prediction
[IEEE] 2026-7-17 | Surface Triangulation as a Method for Adaptive Linearization of Electronic Three-Terminal Component Mathematical Models
[IEEE] 2026-7-17 | Characterizing Buffer Overflow Constraints in UAV Data Collection with Energy-Harvesting Sensors
[IEEE] 2026-7-17 | EcoVision: A DL-Based Structure for Real-Time Plastic Waste Recognition, Classification, and Localization
[IEEE] 2026-7-17 | Stateful LLM Agents for Autonomous Capture-the-Flag Solving
[IEEE] 2026-7-17 | Edge-Deployable Drone Detection: A Systematic Benchmark of Modern YOLO Variants
[IEEE] 2026-7-17 | Stress Ageing Effects on SiC MOSFET Threshold Voltages
[IEEE] 2026-7-17 | A Lightweight Hybrid Neural Network for Multimodal Human Activity Recognition
[ACM] 2026-7-18 | Assessing Pedestrian Space Performance in TOD-Based University Towns for Sustainable Development
[ACM] 2026-7-18 | Contrastive Learning with Hash Coding for Cross-Modal Retrieval Algorithm Optimization of Mosuo Costume Symbols
[ACM] 2026-7-18 | Research on Train Timetable Optimization for Urban Rail Transit under Passenger Flow Conditions
[ACM] 2026-7-18 | Application of Urban Transportation Systems and Parking Demand Analysis Driven by Data
[ACM] 2026-7-18 | How Financial and Privacy Risks Shape Behavioral Intention: The Mediating Role of Risk Perception and the Moderating Role of Trust
[ACM] 2026-7-18 | Wind Power Forecasting Model Based on Quantum Particle Swarm Optimization and Long Short-Term Memory Network
[ACM] 2026-7-18 | A Selective Multi-View Representation Augmentation Framework for Crystal Property Prediction
[ACM] 2026-7-18 | Personalized Data-Free Knowledge Distillation for Federated Learning under Heterogeneous Models and Data
[ACM] 2026-7-17 | Leave, Mute, or Retaliate? How Young Adults Handle Toxicity in Multiplayer Online Games
[IEEE] 2026-7-17 | Mode-Wise Kernel Density Estimation and Gaussian Mixture Copula for Multimodal Uncertainty Modeling in Probabilistic Power Flow
[IEEE] 2026-7-17 | On the Reliability of GaN Schottky Diodes Under Parasitic Current Injection
[IEEE] 2026-7-17 | Compact Four-Port Ka-Band MIMO Antenna for Enhanced Gain and Broadband Operation Using a Unified Ground Structure
[IEEE] 2026-7-17 | Voltage-Based Faulty Section Identification in Rural Networks: Addressing IBR Integration and SWER Circuit Challenges
[IEEE] 2026-7-17 | Image-Centric Deep Learning Ensemble Approach for Automated Wax Moth Infestation Detection in Honey Bee Apiaries
[IEEE] 2026-7-17 | Towards Better Robustness: Pose-Free 3D Gaussian Splatting for Long and Unconstrained Video Sequences_supp1-3713242.pdf
[IEEE] 2026-7-17 | A Spectrogram-Based Approach for Tire Type Classification Using Pass-By Noise
[IEEE] 2026-7-17 | Impact Evaluation of Opening Pattern and Spacing on Wireless Power Transfer in Metal-Body Mobile Devices
[IEEE] 2026-7-17 | YODA: Yet Another One-step Diffusion-based Video Compressor
[IEEE] 2026-7-17 | Fast AI Model Partition for Split Learning over Edge Networks_supp1-3709072.pdf
[IEEE] 2026-7-17 | A Survey on Adversarial Deep Learning in Computer Vision
[IEEE] 2026-7-17 | Table of Contents September 2026
[IEEE] 2026-7-17 | On the Gaussian-Quadratic Rate-Distortion Function for Vector Sources with Individual Distortion Constraints
[IEEE] 2026-7-17 | Ultra-High-Speed Evacuated Tube Wireless Channel Modeling and Capacity Evaluation
[IEEE] 2026-7-17 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation_supp1-3711762.pdf
[IEEE] 2026-7-17 | Induction Logging Through Casing by Detecting Lateral Waves: Reduced Scale Experiments
[IEEE] 2026-7-17 | Proceedings
[IEEE] 2026-7-17 | ELNANO 2026 Cover Page
[IEEE] 2026-7-17 | ELNANO 2026 Breaker Page
[ACM] 2026-7-18 | Game-Ready Hair in Minutes! Hair Mesh Modeling with Physics
[ACM] 2026-7-17 | HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation
[ACM] 2026-7-17 | SCAR: Mining and Structuring Smart Contract Security Audit Reports
[ACM] 2026-7-17 | Adopting Concepts for Sustainable Improvement of the Developer Experience within a Medium-sized Corporation
[ACM] 2026-7-17 | Mapping GitHub Sponsorships: A Longitudinal Observatory for Open-Source Sustainability
[ACM] 2026-7-17 | From Syntactic to Semantic Spectra for Fault Localization
[ACM] 2026-7-17 | RepoFuse: A Dual-Context Approach to Repository-Level Code Completion at Industrial Scale
[IEEE] 2026-7-17 | VoiceGuard: Adversarial Social Engineering Training Using Large Language Models
[IEEE] 2026-7-17 | Edge Intelligence Using Physics-Based ML Models with LLM Reasoning for Spectrum Sensing
[IEEE] 2026-7-17 | Scaling Multi-Robot Search and Rescue: A Comparative Study of Metaheuristic Exploration Methods
[IEEE] 2026-7-17 | Machine Learning-Based Evaluation of Password Security and User Awareness for Cyber Risk Prevention
[IEEE] 2026-7-17 | Machine Vision-Based Image Recognition: A Curated Image Dataset
[IEEE] 2026-7-17 | 7-8.4 GHz PA with Reconfigurable Output Matching Network for PAE Recovery
[IEEE] 2026-7-17 | Gaussian Regression Process Modeling of Bioconvective Nanofluid Flow in a Magnetically Driven Square Cavity
[IEEE] 2026-7-17 | Process Development for Maskless UV Lithographic Patterning of Polymeric Single-Mode Waveguides
[IEEE] 2026-7-17 | OAT-UNet: An Orthogonal Anisotropic Topology Network for Robust Pavement Crack Detection in Complex Backgrounds
[IEEE] 2026-7-17 | Analysis of Noise Components in High-Precision Temperature Sensors
[IEEE] 2026-7-17 | Optimal Noise Filtering in Magnetic Resonance Images via Compression Using Versatile Video Coding
[IEEE] 2026-7-17 | Assessing the Effects of Post-Quantum Cryptography on Edge Intelligence of TinyML-Based IoMT Healthcare Systems
[IEEE] 2026-7-17 | Context-Aware Intrusion Detection for Smart Homes Under Alert-Budgeted Risk Prioritisation
[IEEE] 2026-7-17 | Extending PayJoin to Lightning Channel Funding: A Practical Method for Obfuscating Channel Opens on the Bitcoin Blockchain
[IEEE] 2026-7-17 | Electrical Properties Extended Analysis of Alkaline Primary Electrochemical Cells and Commercial Aspects on the CE Market
[IEEE] 2026-7-17 | AI Secured Simulation of Wireline Blueprints
[IEEE] 2026-7-17 | Cross-coupled Colpitts Voltage-controlled Oscillator with Tail Orthogonal Transformers
[IEEE] 2026-7-17 | Efficient Transformer Architecture Outperforms Foundation Models for Satellite-based Flood Detection
[IEEE] 2026-7-17 | AI-Based Fault Diagnosis of Gear Systems Using FFT Features and Classification Models
[IEEE] 2026-7-17 | Federated Hybrid DL for Privacy-Preserving Emission Prediction in Heavy-Duty Vehicles
[IEEE] 2026-7-17 | SOX2OT as a Novel Prognostic Biomarker and Therapeutic Target in Colorectal Cancer
[IEEE] 2026-7-17 | Welding Speed Effects on Thermal Behaviour and Penetration in Laser Welding of SS316 Using FEA
[IEEE] 2026-7-17 | AI-Driven Test Case Generation Using Retrieval-Augmented Enterprise Knowledge
[IEEE] 2026-7-17 | Safe-by-Design Governance for LLM-Assisted Emergency Call Triage: Auditability, Human Oversight, and Degraded-Mode Resilience
[IEEE] 2026-7-17 | Adaptive Neural Guardrails for Large Language Models - A Comprehensive Framework for Prompt Safety and Security
[IEEE] 2026-7-17 | Generative AI Agents in Personalized Learning and Assessment: A Systematic Bibliometric Review
[ACM] 2026-7-18 | High-Resolution Numerical Simulation and Evaluation of Near-Surface Air Temperature in the Source Region of the Yangtze River and the Yellow River based on WRF
[ACM] 2026-7-18 | A Cognitive Load Theory-Based Study on the Impact Mechanisms of Generative AI Application Patterns on Learning Engagement: Metacognitive Regulation and Disciplinary Differences from a Science and Engineering Perspective
[ACM] 2026-7-18 | Research on the AIGC translation path of Tujia stilted houses driven by cultural genes
[ACM] 2026-7-18 | A Study on the Optimization of Lane Allocation at Highway Toll Stations Based on Queuing Theory
[ACM] 2026-7-18 | Proactive Commuter Car-Pooling Matching Service for Private Cars Using Deep Reinforcement Learning
[ACM] 2026-7-18 | Assessing Urban Land Use Efficiency and Its Driving Mechanisms: Combining SBM-GRA Modeling and Land Use Dynamics in Lanzhou's Main Urban Area
[ACM] 2026-7-18 | Research on Load Forecasting Method for Building HVAC  Systems Integrating Transformer and Physical Constraints
[ACM] 2026-7-18 | Research on the Measurement Method of Rural Production-Living Spatial Integration Degree Based on GIS and Shannon Entropy Model: A Case Study of Shilonggou, Wen County, Gansu Province
[IEEE] 2026-7-17 | An Interleaved LC Resonant Three-Level Boost Converter for a Wide Range of Input Voltage
[IEEE] 2026-7-17 | An Integrated Image Matching and Block Adjustment Method for Regional-Scale Spaceborne SAR Image Mapping
[IEEE] 2026-7-17 | Sapphire Photonic Crystal Fiber Sensor
[IEEE] 2026-7-17 | SLA Compliance in TOSCA-based Multi-access Edge Computing Deployments
[IEEE] 2026-7-17 | Bigger Is Not Always Better: Controlled Evaluation of Embedding Compression for Cybersecurity Question Answering
[IEEE] 2026-7-17 | High-Efficiency Co-Designed Lumped-Distributed RF Filters
[IEEE] 2026-7-17 | BiasAgent: Exploiting Agent Bias for Preference Manipulation Attacks on Model Context Protocol
[IEEE] 2026-7-17 | Self-Organizing Headway Control for Drag-Efficient Heavy-Duty Vehicle Platooning
[IEEE] 2026-7-17 | PANDA: Diffusion-Guided Purification and Adaptation for Robust Point Cloud Classification against Adversarial Attack
[IEEE] 2026-7-17 | On Success and Simplicity: A Second Look at Transferable Vision-Language Attack Pipeline
[IEEE] 2026-7-17 | Heavy Ion Induced Single Event Effects in 6.5 kV and 10 kV SiC Power MOSFETs and Correlation to the SELC and SEB Depletion Capacitance Energy Models
[IEEE] 2026-7-17 | FedSADP-IDS: Self-Adaptive Differential Privacy Federated Intrusion Detection with Risk-Sensitive Gradient Selection for Internet of Vehicles
[IEEE] 2026-7-17 | A Clustered Random Sampling Consensus-Based Robust Calibration Method for Triaxial Magnetometer
[IEEE] 2026-7-17 | Electromagnetic Parameter Extraction Algorithm Based on Modified Harris Hawks Optimization–Differential Evolution
[IEEE] 2026-7-17 | Generalizable Physics-Informed BLER Digital Twinning Under Incomplete Data_supp1-3709171.pdf
[IEEE] 2026-7-17 | Transmitting Circular-Polarized Phased Array with Self-Packaged, Direct Integrated Active Elements
[IEEE] 2026-7-17 | AirMask: Enabling Air-to-Air Masking of Wireless Traffic Fingerprints in WiFi-based IoT Environments
[IEEE] 2026-7-17 | PAGER: Physics-Aware Gabor Energy-Gated Network for SAR Image Registration
[IEEE] 2026-7-17 | Lazy-DaSH: A Lazy Approach for Hypergraph-Based Multi-Robot Task and Motion Planning
[IEEE] 2026-7-17 | ExposNet: A Deep Learning Framework for EMF Exposure Prediction in Complex Urban Environments
[ACM] 2026-7-17 | AIMS: A Content-Aware Resource Management Approach for AI Assistant Systems
[ACM] 2026-7-17 | TokenScope: Token-Level Explainability and Interpretability for Code-Oriented Tasks in Large Language Models
[ACM] 2026-7-17 | DePro: Understanding the Role of LLMs in Debugging Competitive Programming Code
[ACM] 2026-7-17 | An Overview of Sharding Technology in Blockchain
[ACM] 2026-7-17 | VerilogASTBench: Benchmark Construction of Verilog AST Dataset with Dual-Stage AST Semantic Enhancement Framework
[ACM] 2026-7-17 | Reflex: Event-Driven Automated Fault Localization for Large-Scale LLM Training
[ACM] 2026-7-17 | Fairness in Multi-Agent Systems for Software Engineering: An SDLC-Oriented Rapid Review
[ACM] 2026-7-18 | A Flexible FPGA-based Butterfly Engine for Accelerating Signal Processing and Machine Learning
[IEEE] 2026-7-17 | Enhancing Change-Centric Building Damage Assessment Using Class-Aware Augmentation and Lightweight MobileNet Classification
[IEEE] 2026-7-17 | IoT-Driven Optimization for Sustainable Urban Waste Collection
[IEEE] 2026-7-17 | Contactless Human–Robot Interaction for Adaptive Intelligent Control
[IEEE] 2026-7-17 | Neural Network–Based Solution of the Inverse Radar Cross Section Problem
[IEEE] 2026-7-17 | Refractive Index Control in Alq
                    <sub>3</sub>
                    /DCM-based Thin Films
[IEEE] 2026-7-17 | QB-HHO: Enhancing Data Integrity and Secure Communication in Distributed Clouds
[IEEE] 2026-7-17 | Bridging Digital Divide for Videoconferencing Participants with Unequal Mobile Connectivity: A Simulcast-MEC Approach
[IEEE] 2026-7-17 | Predicting Early Sales of PC Games using Steam Wishlists and User Ratings
[IEEE] 2026-7-17 | RL-Tutor: Combining Reinforcement Learning and Explainability for Adaptive Feedback Timing in Collaborative Learning
[IEEE] 2026-7-17 | A Review of Multimodal Emotion Recognition: Deep Learning-Based Methods and Applications
[IEEE] 2026-7-17 | An Explainable and Uncertainty-Aware Machine Learning Framework for Reliable Dermatological Disease Diagnosis
[IEEE] 2026-7-17 | Particle Swarm Optimization-Based MPPT tracking with Voltage-Oriented Control for Grid-Connected PV Systems under Partial Shading Conditions
[IEEE] 2026-7-17 | Trustworthy Natural-Language Analytics Over Private Smart Home IoT Data via Time-Aware RAG
[IEEE] 2026-7-17 | An Improved Recursive Least Square Algorithm for Online Parameter Identification of 2-RC Equivalent Circuit Model
[IEEE] 2026-7-17 | Architecture-Aware Threat Modeling and Deployment-Time Attack Surface Analysis for LLM-Integrated Applications
[IEEE] 2026-7-17 | Influence of Evaporation Duct on SHF Maritime Propagation: A Comparative Analysis Utilizing an Extended Two-Ray Ground Reflection Model
[IEEE] 2026-7-17 | Thick Film Thermistors for Measuring Air and Ground Temperature Profiles
[IEEE] 2026-7-17 | Diversity-Stacked Ensemble (DSE): A Heterogeneous Meta-Ensemble Framework for Imbalanced Software Defect Prediction
[IEEE] 2026-7-17 | The Role of Explainable Artificial Intelligence (XAI) in Software Engineering: A Systematic Review
[IEEE] 2026-7-17 | A Compact Hexagonal Patch Antenna with Slot-Based Controlled Frequency Tuning
[IEEE] 2026-7-17 | Bibliometric Analysis of Optimization Techniques in Predictive Modeling
[IEEE] 2026-7-17 | Soldering of Vertically Stacked PCBs with Different Selective Surface Finish in Vapour Phase Reflow
[IEEE] 2026-7-17 | Prediction of Feelings in Individuals with Eating Disorders Using Physiological Signals
[IEEE] 2026-7-17 | Attention-Driven Efficient Net for Brain Tumor Classification
[IEEE] 2026-7-17 | Two Concepts of 3D-Printed Mechanically Tunable Phase Shifters Based on Rectangular Waveguides
[IEEE] 2026-7-17 | Mining Periodic Closed High-Utility Sequential Patterns
[IEEE] 2026-7-17 | Size-Aware Learning and Contrast Enhancement for Multiple Sclerosis Lesion Segmentation in Brain MRI
[IEEE] 2026-7-17 | WGAN Manifold Purification and Robust Distillation for Secure 6G MIMO-OFDM Channel Estimation
[IEEE] 2026-7-17 | An Impedance-Boosted Ka-Band Colpitts VCO with a PN
                    <sub>1MHz</sub>
                    of −107 dBc/Hz in 90 nm SiGe BiCMOS Technology
[IEEE] 2026-7-17 | IEEE Guide for Designing and Developing Graphical User Interfaces for Monitoring and Control of Nuclear Power Generating Stations and Other Nuclear Facilities
[IEEE] 2026-7-17 | Strategic Leadership for Human-Centric AI Adoption in Automotive Manufacturing Organisations
[IEEE] 2026-7-17 | A Comprehensive Survey on Vision Transformers, Few-Shot Learning, and Lightweight Clinical Deployment in Next-Generation Artificial Intelligence
[IEEE] 2026-7-17 | An Integrated Hybrid Intelligence Approach to Enhance Generalization and Accuracy in Breast Cancer Diagnosis from Diverse Clinical Data
[IEEE] 2026-7-17 | Enhancing Remote Patient Care Through an Integrated Multi-Sensor Wearable Health System for Neurological and Cardiac Disorders
[ACM] 2026-7-18 | Landscape Gene Atlas Construction for Traditional Villages along the Ancient Shu Road: A case study of Qinglinkou Village, Sichuan, China
[ACM] 2026-7-18 | Spatial Analysis and Ensemble Simulation of Supply-Demand Coordination for Urban Green Space Leisure Services: A Case Study of Guangzhou
[ACM] 2026-7-17 | TRACE: Topology-aware Reconstruction of Accidents in CARLA for AV Evaluation
[ACM] 2026-7-17 | Towards Predicting Multi-Vulnerability Attack Chains in Software Supply Chains from Software Bill of Materials Graphs
[ACM] 2026-7-17 | TwinMem-Agent: Episodic and Semantic Memory for Repository-Level Program Repair
[ACM] 2026-7-17 | TestAgent: A Multi-Agent LLM Framework for Repository-Level Unit Test Generation
[ACM] 2026-7-17 | From Helpful to Trustworthy: LLM Agents for Pair Programming
[ACM] 2026-7-17 | An Empirical Study of Public Generative Art Repositories
[ACM] 2026-7-17 | The Fast and Spurious: Developer Productivity with GenAI
[IEEE] 2026-7-17 | The Parameter Window Linear Canonical Transform: Properties and Energy Optimization
[IEEE] 2026-7-17 | Optimization of Power/Ground Microvia Placement in Multiple Power Domain 3D-IC Package Substrates using Deep Reinforcement Learning
[IEEE] 2026-7-17 | Effect on the driving range of an electric vehicle when photovoltaic systems are integrated into its bodywork
[IEEE] 2026-7-17 | A Decentralized Learning Architecture for Medical Prescription Anomaly Detection via Hybrid Federated-Swarm Learning
[IEEE] 2026-7-17 | ICCSPA 2026 TOC
[IEEE] 2026-7-17 | Domain-adaptive Class Prototype Learning for Domain Generalization
[IEEE] 2026-7-17 | Mitigating Knowledge Decay in Engineering Calculus Through Spaced Repetition and Active Learning
[IEEE] 2026-7-17 | Context-Aware Evaluation of Signal Timing Interventions on Red-Light Running Using High-Resolution Traffic Controller Data
[IEEE] 2026-7-17 | An Efficient SPICE Framework for Simulation of BTI Effects at the Circuit Level
[IEEE] 2026-7-17 | A Fully-symmetric Compact Atomic Gradiometer and its CMRR Calibration in the Earth’s Field Environment
[IEEE] 2026-7-17 | A Novel Quasi-Repetitive Sliding Mode Control Strategy for Three-Phase Four-Leg Three-Level Inverters
[IEEE] 2026-7-17 | Reconfigurable quantum key distribution
[IEEE] 2026-7-17 | Front Matter
[IEEE] 2026-7-17 | 2026 IEEE 43rd International Conference on Electronics and Nanotechnology (ELNANO)
[IEEE] 2026-7-17 | Synthesis of Ag-doped ZnO nanocrystals by electrolytic method and their characterization
[IEEE] 2026-7-17 | Acoustic Feature-Based Laryngeal Voice Disorder Classification Using Machine Learning and Statistical Comparison
[IEEE] 2026-7-17 | Comparative Study of Powder MOF-303 and In-Situ Coated MOF-303 on Stainless Steel Mesh for Lithium Adsorption from Aqueous Solutions
[IEEE] 2026-7-17 | Porous Silicon Buffer Layer for β-SiC/Si Heterostructures for High-Performance Supercapacitors
[IEEE] 2026-7-17 | Sustainable Edge AI for IoT-Based Disaster Detection: Energy–Accuracy Trade-offs in YOLOv8 on Apple Silicon
[IEEE] 2026-7-17 | State of the Art of the Implementation of Artificial Intelligence in Manufacturing Sector
[IEEE] 2026-7-17 | Integration of Software Defined Networking and Machine Learning Techniques in Detection and Mitigation of DDoS Attacks
[IEEE] 2026-7-17 | Improving Recommendation Serendipity by Chain-of-Thought Prompting in Large Language Models
[IEEE] 2026-7-17 | Veritas: Dynamic Evaluation Framework for Rag Systems' Defense Against Prompt Injection Attacks
[IEEE] 2026-7-17 | ClearWay AI: A Non-Blocking Multi-Threaded Architecture for Real-Time Assistive Navigation via Edge-Optimised Object Detection and OCR
[IEEE] 2026-7-17 | Cloud-Enabled Data-Driven Performance and Digital Transformation Strategies for Sustainable Business and Workforce Management
[IEEE] 2026-7-17 | Nonlinear Frequency Tunability of Antiferromagnetic Spin Hall Oscillators
[IEEE] 2026-7-17 | An Overview of Simulated Annealing Applications for Energy Efficiency Optimization in Wireless Sensor Networks
[IEEE] 2026-7-17 | Comparative Analysis of Self-Supervised Learning Methods for Skin Lesion Segmentation
[IEEE] 2026-7-17 | Estimating Target Doppler in Unsynchronized Multistatic ISAC Deployments with Mobile Nodes
[IEEE] 2026-7-17 | Vigilance: A Federated Learning-Based, Privacy-Enhanced Security Framework for Smart Cities Validated via a Smart Home Prototype
[IEEE] 2026-7-17 | Artificial Intelligence in Metallurgical Process Optimization: A Physics-Informed Hybrid Architecture for Nickel Smelting
[IEEE] 2026-7-17 | The Interactive Emergence of Word Order: A Model of Cognitive Biases, Social Networks, and Cultural Transmission
[IEEE] 2026-7-17 | Excitation of Eigenwaves in a Cylindrical Layer of a Layered Superconductor by a Tubular Electron Beam
[IEEE] 2026-7-17 | Trust-Aware Digital Twin Framework for Predictive Carbon Monitoring and Resilience Assessment in Blue Carbon Ecosystems
[IEEE] 2026-7-17 | An Optimized Fine-Tuned Deep Learning Framework for Multi-Stage Diabetic Retinopathy Classification Using Imbalanced Fundus Image Data
[IEEE] 2026-7-17 | Unsupervised ML Based Anomaly Detection for Securing BB84 QKD Against Intercept-Resend Attacks and Channel Noise: OC-SVM, iForest, and Ex-iForest
[IEEE] 2026-7-17 | IDE-Sanitizer: A Prompt-Injection Cryptographic Context Guard for IDE Copilots
[IEEE] 2026-7-17 | Preventing Wrong Work Item Retrieval in LLM-Based MCP Systems Through Multi-Agent Validation
[IEEE] 2026-7-17 | Mathematical Modeling of Nonlinear Magnetic Components Based on Neural Networks
[IEEE] 2026-7-17 | Development of a Robot that Creates Modules Using External Materials
[IEEE] 2026-7-17 | Smart Sports App Design and Development: With the Digital Enabling National Fitness Behavior Change as the Core
[IEEE] 2026-7-17 | Intelligent Multi-Cloud Security Incident Remediation Through Automated Response and Compliance Enforcement
[IEEE] 2026-7-17 | Intent-Aware Semantic Caching for Reliable Response Reuse in Conversational RAG Systems
[IEEE] 2026-7-17 | Neuro-Oscillatory Generative Architecture: A Modular Brain-Inspired Framework for Creative AI and Hypothesis Generation
[IEEE] 2026-7-17 | RESPOND: Reliable, Efficient, and Secure Emergency Networks Enabled by Load-Balanced Communication Paths
[IEEE] 2026-7-17 | Battery Powered Offline Mobile Backup System
[IEEE] 2026-7-17 | Enabling Multicast Services in Distributed 5G Networks
[IEEE] 2026-7-17 | Impact of Hardware Test Equipment on Frequency Characterization of 130-nm Register File
[IEEE] 2026-7-17 | FPGA Based Bus Pass and Ticketing System Using Verilog HDL
[IEEE] 2026-7-17 | Data-Driven Basketball Strategy: Enhancing Team Performance Through Analytics and Visualization
[IEEE] 2026-7-17 | Image Encryption Algorithm Based on A Multilayer Broad Echo State Network and Hyperchaotic Chen System
[IEEE] 2026-7-17 | Gradient Boosting-Based IoT Data Analytics Using Lambda Architecture with Cloud Time-Series Database Systems
[IEEE] 2026-7-17 | Detection of Fraudulent Job Postings Using Extreme Gradient Boosting and Class Imbalance Handling
[IEEE] 2026-7-17 | Analysis and Development of Inter-Segment Handover Mechanisms for 5G Private Networks
[IEEE] 2026-7-17 | A Molecular Dynamics Computational Simulation Study for the High Temperature Creep Behavior and Mechanisms in Schwarz Crystals
[IEEE] 2026-7-17 | SV2 Analyzer: Open-Source Large Language Model-Based Framework for Accelerating Digital Circuits Verification Flow
[IEEE] 2026-7-17 | Data-Driven Construction Cost Forecasting and Optimization: An XGBoost-Based Approach Enhanced by Bayesian Methods and SHAP Values
[IEEE] 2026-7-17 | Identity-Preserving Image Editing Using Retrieval-Based Visual Generation in Media Archives
[ACM] 2026-7-17 | A Standardized Evaluation System Construction and Empirical Analysis of Blockchain Application Based on Multi-dimensional Indicators
