[2026-08-27 02:58:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[arXiv] 2026-08-26 | Accelerated Gradient Flow with Endogenous Gradient-Memory Anchor: Selection and Restoring Damping
[arXiv] 2026-08-26 | Prefix-Denoising Consistency: Test-Time Verification for Diffusion Language Models
[arXiv] 2026-08-26 | Security-Aware Pinching-Antenna Systems (PASS): Physical-Layer Security Transmission
[arXiv] 2026-08-26 | Paging with Per-Replacement Maximum Delay
[arXiv] 2026-08-26 | Combining Self-Embedding Audio Watermarking with Ultra-Low-Bitrate Neural Codecs
[arXiv] 2026-08-26 | SHSP: Structure-Aware Hierarchical Solution Prediction for Mixed-Integer Linear Programming
[arXiv] 2026-08-26 | Schrödinger Bridges over Kinetic Swarming Models
[arXiv] 2026-08-26 | Empirical-Bayes Elastic-Net Computation for Exponential Random Graph Models
[arXiv] 2026-08-26 | Routed Graph Handoff: Adaptive Format Selection for Multi-Agent LLM Delegation
[arXiv] 2026-08-26 | A General Framework for Metropolis-Adjusted Dikin Walks: Dimension-Square Mixing on Polytopes and Log-Det Walks on Spectrahedra
[arXiv] 2026-08-26 | Valid test for multi-arm trials with generalized linear models under covariate-adaptive randomization
[arXiv] 2026-08-26 | Distinct Surface and Bulk Superconductivity in the Kagome Superconductor SrSn$_3$
[arXiv] 2026-08-26 | Electric excitation of spin resonance in altermagnetic and antiferromagnetic conductors
[arXiv] 2026-08-26 | "Truncated Fourier Filtering" method for fast and high-order evaluation of integrals and convolutions in general domains
[arXiv] 2026-08-26 | Signatures of a ferro-Josephson effect in twisted graphene
[arXiv] 2026-08-26 | Obstructing Unknotting Number Two For Some Alternating Knots
[arXiv] 2026-08-26 | Analysis of Dynamic-Key LWE-Based Encrypted Control Systems for Asymptotic Stability and Numerical Safety
[arXiv] 2026-08-26 | Dynamical and conformational behavior of a polymer in a crowded solution
[arXiv] 2026-08-26 | Viscochiral Transport: Chiral Selection of Hydrodynamic Vortices by Berry Curvature
[arXiv] 2026-08-26 | RefVideo-6M: A Reliable Reference-Based Dataset for Instructional Video Editing
[arXiv] 2026-08-26 | The Isotopic and Elemental Abundances of Planet-Host Star TRAPPIST-1
[arXiv] 2026-08-26 | Torsion balances as operational probes of semiclassical gravity: Matched-filter bounds, torque-diffusion constraints, and quantum-noise benchmarks
[arXiv] 2026-08-26 | PlanSightRAG: A Visual-First Multimodal RAG for Automating Question Answering and Compliance Checking for Civil Standard Plans
[arXiv] 2026-08-26 | Fast Generative Grasping via Lie Group-Constrained MeanFlow
[arXiv] 2026-08-26 | Incommensurate spin fluctuations in one-dimensional Kondo metal CeCo2Ga8
[arXiv] 2026-08-26 | Lab earthquakes confirm the theory of frictional slip pulses
[arXiv] 2026-08-26 | Fine-Tuning Whisper for Automatic Speech Recognition in Baniwa: A Preliminary Study
[arXiv] 2026-08-26 | Giving Mechanical Engineers Intelligent Tools: A Project-Based AI Education Curriculum in Thermal Engineering
[arXiv] 2026-08-26 | $R^3$: Training Robots to Reason in Natural Language via Reinforcement Learning
[arXiv] 2026-08-26 | Electrical manipulation of oxygen stoichiometry in multiterminal YBa$_2$Cu$_3$O$_{7-δ}$ junctions
[arXiv] 2026-08-26 | Polynomial extensions do not preserve the strong finite type property
[arXiv] 2026-08-26 | Robust CurveMoE: Multi-Norm Adversarial Defense for Mixture-of-Experts Models via Mode Connectivity
[arXiv] 2026-08-26 | Trace Integrity for LLM Data Agents: A Vision for Auditable Structured Reasoning in Real-World Systems
[arXiv] 2026-08-26 | Dual modes in Kerr spacetimes and the Whiting transform: Mode stability revisited
[arXiv] 2026-08-26 | Vulnerable Code Search: Transferable Attack for Code Language Models
[arXiv] 2026-08-26 | A heterogeneously integrated coupled-cavity frequency beam splitter
[arXiv] 2026-08-26 | Electron spin resonance driven photogalvanic effect in graphene-based structures
[arXiv] 2026-08-26 | Bayesian Optimization for Self-Driving Materials Laboratories: From Algorithms to Physics-Informed Workflows
[arXiv] 2026-08-26 | Exact Common Information and Exact Channel Synthesis for Correlated Gaussian Sources
[arXiv] 2026-08-26 | Imitation Learning for Connection-Tableau Construction
[arXiv] 2026-08-26 | A Self-Evolving Multi-Agent Framework Defense against LLM Jailbreak Attacks
[arXiv] 2026-08-26 | Visualizing Wireless Propagation and Polarization in Augmented Reality with ESPARGOS
[arXiv] 2026-08-26 | Spectral Allocation: Why Muon Outperforms Adam, and How to Improve Muon
[arXiv] 2026-08-26 | Sharp Concave-Function Transfer for Lee-Type Schatten Norm Inequalities
[arXiv] 2026-08-26 | Jet Quenching Meets Gluon Saturation
[arXiv] 2026-08-26 | Nonconcentric Multi-shell Nanowires: Geometry-Induced Plasmon Hybridization and Near-Field Localization
[arXiv] 2026-08-26 | SciMIF: Understanding Multimodal Instruction Following in Scientific Domains
[arXiv] 2026-08-26 | Positive $τ$-bi-Ricci curvature and Mean curvature flow with surgery in hyperbolic space
[arXiv] 2026-08-26 | An Approximately 70-Year Core-Related Modulation of Earth Rotation and Its Implications for the Leap Second
[arXiv] 2026-08-26 | Superadditivity of classical communication over quantum channels via random and deterministic permutations
[arXiv] 2026-08-26 | LivingRAG: Augmenting Graph RAG with Experience
[arXiv] 2026-08-26 | Position- and Momentum-Space Quantum Information Measures of the Double-Morse Oscillator
[arXiv] 2026-08-26 | Entirely nonlocal quantum magic without entanglement
[arXiv] 2026-08-26 | The properties of the first continuous gravitational waves: Optimizing pulsar timing observations for supermassive black hole binary detection
[arXiv] 2026-08-26 | Calabi type Kahler surfaces
[arXiv] 2026-08-26 | Auditable CT Phenotyping Through Report-derived Radiological Observations
[arXiv] 2026-08-26 | Machine learning methods for modelling local, linear gyrokinetic simulations of MAST-U pedestal turbulence
[arXiv] 2026-08-26 | Unveiling Spectral Mechanisms in Training-Free LLM Text Detection
[arXiv] 2026-08-26 | Continually learning neural-operator surrogate for three-dimensional airborne electromagnetic Bayesian inversion
[arXiv] 2026-08-26 | AI Agentic Selective Laser Sintering Process Optimization
[arXiv] 2026-08-26 | Formal, Executable and Explainable Runtime Monitoring of Spoken Air Traffic Control Operational Procedures
[arXiv] 2026-08-26 | Repair or Resample? Rethinking Failure Debugging in LLM Multi-Agent Systems
[arXiv] 2026-08-26 | Switchable heavy-hole/light-hole spin qubit
[arXiv] 2026-08-26 | The neighbourhood convexity
[arXiv] 2026-08-26 | Structured Non-Locality and Emergent Locality in Cavity-QED Many-Body Dynamics
[arXiv] 2026-08-26 | Examples beyond Bounded Mean Motion for Quantitative Rigidity on the Two-Torus
[arXiv] 2026-08-26 | One Form to Transfer Them All: Pretraining Multilingual Language Models Beyond Native Orthography
[arXiv] 2026-08-26 | Weighted Estimation by Discrete-time Sparse Domination on Martingale Spaces
[arXiv] 2026-08-26 | Multi-graded generic initial ideals, regularity, and the optimal colorful fractional Helly theorem for $d$-Leray complexes
[arXiv] 2026-08-26 | Embedding NDRE Trajectories into Contrastive Learning for Label-Free, Physiology-Aware Crop-Stress Staging and DSS Outputs
[arXiv] 2026-08-26 | Bilinear Bochner--Riesz Means on the Complex Sphere
[arXiv] 2026-08-26 | A Compensated Koopman Neural Operator with Selective State-Space Dynamics for Unsteady Flows
[arXiv] 2026-08-26 | Surpassing Gaussian optimality in multiparameter estimation with indefinite causal order
[arXiv] 2026-08-26 | Anchoring Bias in LLM-as-a-Judge Systems: Prior Scores Compromise Evaluation Independence
[arXiv] 2026-08-26 | Learning Late, Guiding Early: Timestep-Decoupled Semantic Guidance for Fair Face Generation
[arXiv] 2026-08-26 | Unlocking Multimodal Protein Language Models at Inference Time
[arXiv] 2026-08-26 | SlimTCP: It's fast, but not because it's slim
[arXiv] 2026-08-26 | Unfolding Scientific Papers into Multi-Turn Generation Trajectories for Continued Pre-Training
[arXiv] 2026-08-26 | Open-Source 5G RAN Platforms: A Dual Perspective on Performance and Capabilities
[arXiv] 2026-08-26 | GenAIT: Development and Validation of an Objective Generative AI Literacy Test for High School Students
[arXiv] 2026-08-26 | The second moment of twisted modular $L$-functions and Dirichlet $L$-functions at the central point
[arXiv] 2026-08-26 | Label-Free Foundational Model Selection for Medical Image Classification under Distribution Shift via Pseudo Label Discrepancy
[arXiv] 2026-08-26 | Simultaneous Digital Communication and Deformation Sensing over a Single Stretchable Interconnect
[arXiv] 2026-08-26 | AGRO-Nav: Autonomous Graph-based Orchard Navigation
[arXiv] 2026-08-26 | A Boolean polynomial operator for the Collatz $3n+1$ problem
[arXiv] 2026-08-26 | Deeply Inelastic Scattering Revisited
[arXiv] 2026-08-26 | Proper Actions on Homogeneous Spaces of the Upper Triangular Matrix Group via Coarse Geometry
[arXiv] 2026-08-26 | The emergence and evolution of a referential code in populations of bee-like agents
[arXiv] 2026-08-26 | Quasi two dimensional magnetic structure of the triclinic double perovskite Ca$_2$CuWO$_6$
[arXiv] 2026-08-26 | EVOMAL: Self-Poisoning in Self-Evolving Coding Agents
[arXiv] 2026-08-26 | EXAONE Tabular 1.0 : Technical Report
[arXiv] 2026-08-26 | Drift-Aware Multimodal User Representation Learning via Multi-Scale Temporal Modeling and Sparse Mixture-of-Experts
[arXiv] 2026-08-26 | Predicting Struggling Students in CS1 Programming Using Keystroke-Level Editing Features
[arXiv] 2026-08-26 | TailSFT: Filtered Fine-Tuning Improves Post-Training Performance
[arXiv] 2026-08-26 | Hamiltonian Spectral-Temporal Dissipative Dynamics for Sequential Recommendation
[arXiv] 2026-08-26 | Model predictive traction control system based on the Koopman operator
[arXiv] 2026-08-26 | REE-TM: Reliable and Energy-Efficient Traffic Management Model for Diverse Cloud Workloads
[arXiv] 2026-08-26 | A Constitutive Markov Physics-Informed Neural Operator (MPNO) for Autoregressive Stability in Transient Dynamics
[arXiv] 2026-08-26 | Why Does Graph Learning Fail to Fully Benefit from a Text Teacher?
[arXiv] 2026-08-26 | D3ER: Supporting Multi-Modal Recommendation via Disentangle and Distillation-based Dynamic Ensemble
[arXiv] 2026-08-26 | DCEO: Direct Causal Effect Optimization for Long-Term User Value Modeling in E-commerce Search
[arXiv] 2026-08-26 | Propensity Straight-Through Gradients for Discrete Stochastic Systems
[arXiv] 2026-08-26 | Directional correlations in nuclear charge-radius model residuals enable extrapolation with calibrated uncertainties
[arXiv] 2026-08-26 | Using profiles of cognitive capability to assess AI suitability for workplace tasks
[arXiv] 2026-08-26 | Substitution effects in RuO$_2$ single crystals
[arXiv] 2026-08-26 | Word length, Morse theory, and Vietoris-Rips complexes
[arXiv] 2026-08-26 | A Subcarrier-Aware Approach for Robust Respiratory Monitoring with Commodity Wi-Fi
[arXiv] 2026-08-26 | Characterizing Full Nonequilibrium Dynamics of Simple Exclusion Processes
[arXiv] 2026-08-26 | A Categorical Framework for the Direct Integration of Banach Spaces
[arXiv] 2026-08-26 | Optical and magneto-optical interactions in Co-doped CeO$_2$ thin films prepared by pulsed laser deposition
[arXiv] 2026-08-26 | JIT-Agent: Scaling Harness Intelligence via Just-in-Time Harness Evolution
[arXiv] 2026-08-26 | Power from Space: Coordinated Satellite Charging for Off-Grid Wireless Systems
[arXiv] 2026-08-26 | Individual Fairness in Hierarchical Clustering
[arXiv] 2026-08-26 | Exchange splitting as a descriptor for giant anomalous Hall and Nernst effects in ferromagnets
[arXiv] 2026-08-26 | V-Rubrics: Visual Faithfulness via Rubric-Based Reinforcement Learning
[arXiv] 2026-08-26 | Energetics of AGN Feedback
[arXiv] 2026-08-26 | Controllable Affective Generation via Latent Vector Steering
[arXiv] 2026-08-26 | CrossMambaTuning: Synergistic Spatial and Cross-Layer Adaptation for Machine Vision Compression
[arXiv] 2026-08-26 | Maru: Information Architecture as a Shared Language for Generating Aligned and Persistent User Interfaces
[arXiv] 2026-08-26 | GNSS-free quantum gravity-aided navigation and fine-scale marine surveying with a strapdown quantum gravimeter
[arXiv] 2026-08-26 | On the Dimension of the Best-Worst Choice Polytope
[arXiv] 2026-08-26 | A Decomposed Bilevel Search for Variable-Metric Proximal Gradient Methods
[arXiv] 2026-08-26 | Throughput Maximization for MapReduce-Based Collaborative Computing over Energy-Harvesting Wireless Devices
[arXiv] 2026-08-26 | Interpreting Protein Language Model Embeddings via Orthogonal Projection for Protein Fitness Prediction
[arXiv] 2026-08-26 | Not All Degree Constraints Are Created Equal when Computing Spanning Trees
[arXiv] 2026-08-26 | TransRetrieval: Scaling Up Transformer-Based Retrieval for Industrial Recommendation
[arXiv] 2026-08-26 | Ion-acoustic eigenmodes in a helical magnetic mirror
[arXiv] 2026-08-26 | Adaptive Hybrid Subspace Levenberg Marquardt Algorithm with Adequacy Monitor for Large Scale Least Squares Problems
[arXiv] 2026-08-26 | A Programming Paradigm for Spatiotemporal Composability
[arXiv] 2026-08-26 | Dynamic Modeling of a Welding Torch Umbilical and Its Impact on Robot Dynamics
[arXiv] 2026-08-26 | Free-Energy Asymptotics of the Two-Dimensional Quantum Heisenberg Ferromagnet
[arXiv] 2026-08-26 | Low-leakage superconducting-qubit measurement with sub-100-ns total duration
[arXiv] 2026-08-26 | Separating Disclosure from Authorization: Field-Tier Minimization for Agent Action Mediation
[arXiv] 2026-08-26 | PAGS: Autofocusing Photoacoustic Tomography via Speed-of-Sound-Adaptive Gaussian Splatting
[arXiv] 2026-08-26 | Functional linear regression from sparse to dense designs: a pooling-ridge method and minimax optimality
[arXiv] 2026-08-26 | Homo-RAG: Homology-Guided Retrieval-Augmented Generation for Cross-Species Gene Function Prediction
[arXiv] 2026-08-26 | Automatic weld seam segmentation for industrial quality control: a comparison of RGB and polarimetric imaging with CNN and transformer architectures
[arXiv] 2026-08-26 | Towards safe and optimal flight: Viability Kernel MPC for Fully Actuated Multirotor
[arXiv] 2026-08-26 | Physics-Guided Generative Surrogates for Parametric Rarefied Flows with Neural-Field Auto-Decoders: A Pipeline-Level Study of Flow Matching and Diffusion
[arXiv] 2026-08-26 | E2-Conditioned Finite-Horizon Effective Capacity for Public-Safety MCX over Shared O-RAN
[arXiv] 2026-08-26 | Stationary Dirac condensates around Kerr black holes
[arXiv] 2026-08-26 | A Rotational Perturbative Correction to Democratic Neutrino Mixing and JUNO Compatibility
[arXiv] 2026-08-26 | BVR Sim: An Open and High-Throughput Environment for Heterogeneous Air-Combat Reinforcement Learning
