[2026-05-14 22:56:49] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-13
正在获取论文...
[arXiv] 2026-05-13 | Machine-learning applications for weak-lensing cosmology
[arXiv] 2026-05-13 | The number $4/9$ is a non-jump for $3$-graphs
[arXiv] 2026-05-13 | Spatiotemporal downscaling and nowcasting of urban land surface temperatures with deep neural networks
[arXiv] 2026-05-13 | Unexpected Marangoni Condensation in Negative Binary Mixtures
[arXiv] 2026-05-13 | UNIONS-3500 Weak Lensing: I. A Galaxy Shape Catalogue in the Northern Sky
[arXiv] 2026-05-13 | No evidence for phantom crossing: local goodness-of-fit improvements do not persist under global Bayesian model comparison
[arXiv] 2026-05-13 | Scaling Retrieval-Augmented Reasoning with Parallel Search and Explicit Merging
[arXiv] 2026-05-13 | Manifold-Aware Information Gain and Lower Bounds for Gaussian-Process Bandits on Riemannian Quotient Spaces
[arXiv] 2026-05-13 | Dependence functions based on Chatterjee's rank correlation
[arXiv] 2026-05-13 | Granite Embedding Multilingual R2 Models
[arXiv] 2026-05-13 | Perfect simulation for interacting Hawkes processes with reset-induced variable length memory
[arXiv] 2026-05-13 | The inertial Itô drift and its applications to particle collision
[arXiv] 2026-05-13 | COOL-LAMPS IX: A Rare Duo of Quasars Each Lensed by a Single Massive Galaxy Cluster
[arXiv] 2026-05-13 | Gibbons-Tsarev type systems and Eventual identities
[arXiv] 2026-05-13 | Structural identifiability of partially-observed stochastic processes: from single-particle trajectories to total particle density data
[arXiv] 2026-05-13 | Reward-Weighted On-Policy Distillation with an Open Property-Equivalence Verifier for NL-to-SVA Generation
[arXiv] 2026-05-13 | Sustainable Graph Analytics Workload Scheduling with Evolutionary Reinforcement Learning in Edge-Cloud Systems
[arXiv] 2026-05-13 | Site-selective preparation of two-dimensional dipolar quantum gases in an optical beat-note lattice
[arXiv] 2026-05-13 | Neural Video Compression with Domain Transfer
[arXiv] 2026-05-13 | OSDN: Improving Delta Rule with Provable Online Preconditioning in Linear Attention
[arXiv] 2026-05-13 | DP-KFC: Data-Free Preconditioning for Privacy-Preserving Deep Learning
[arXiv] 2026-05-13 | LLMs as annotators of credibility assessment in Danish asylum decisions: evaluating classification performance and errors beyond aggregated metrics
[arXiv] 2026-05-13 | RotVLA: Rotational Latent Action for Vision-Language-Action Model
[arXiv] 2026-05-13 | PreFIQs: Face Image Quality Is What Survives Pruning
[arXiv] 2026-05-13 | Taming the Long Tail: Rebalancing Adversarial Training via Adaptive Perturbation
[arXiv] 2026-05-13 | Note on a magic rectangle set on dihedral group
[arXiv] 2026-05-13 | Tighter relaxations for MAP-MRF optimization via Singleton Arc Consistency
[arXiv] 2026-05-13 | BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning
[arXiv] 2026-05-13 | Retrieval-Augmented Tutoring for Algorithm Tracing and Problem-Solving in AI Education
[arXiv] 2026-05-13 | A Horn extension of DL-Lite with NL data complexity
[arXiv] 2026-05-13 | The Geno-Synthetic Algorithm: Type-Factored Coevolutionary Optimization for Heterogeneous Genotypes and Assembled Phenotypes
[arXiv] 2026-05-13 | Predicting Endocrine Disruptors: A Deep Learning QSAR Model for Estrogen Receptor Activity
[arXiv] 2026-05-13 | Contextual Bandits for Resource-Constrained Devices using Probabilistic Learning
[arXiv] 2026-05-13 | Swarm Network-as-a-Service (SNaaS)
[arXiv] 2026-05-13 | Probing Persona-Dependent Preferences in Language Models
[arXiv] 2026-05-13 | What Limits Vision-and-Language Navigation ?
[arXiv] 2026-05-13 | Threefold Efficiency Enhancement and Narrowed Nanoparticle Size Distribution in Laser Ablation of Gold in Water by GHz-Burst Irradiation
[arXiv] 2026-05-13 | HCSG: Human-Centric Semantic-Geometric Reasoning for Vision-Language Navigation
[arXiv] 2026-05-13 | PipeSD: An Efficient Cloud-Edge Collaborative Pipeline Inference Framework with Speculative Decoding
[arXiv] 2026-05-13 | IdeaForge: A Knowledge Graph-Grounded Multi-Agent Framework for Cross-Methodology Innovation Analysis and Patent Claim Generation
[arXiv] 2026-05-13 | SemRepo: A Knowledge Graph for Research Software and Its Scholarly Ecosystem
[arXiv] 2026-05-13 | MPINeuralODE: Multiple-Initial-Condition Physics-Informed Neural ODEs for Globally Consistent Dynamical System Learning
[arXiv] 2026-05-13 | Reconfigurable chiral superconductivity
[arXiv] 2026-05-13 | What properties of reasoning supervision are associated with improved downstream model quality?
[arXiv] 2026-05-13 | Byzantine-Robust Distributed Sparse Learning Revisited
[arXiv] 2026-05-13 | ReproScore: Separating Readiness from Outcome in Research Software Reproducibility Assessment
[arXiv] 2026-05-13 | Distributed Approximate Maximum Matching and Minimum Vertex Cover via Generalized Graph Decomposition
[arXiv] 2026-05-13 | Reentrant behavior and possible $2/3$ magnetization plateau on the double-trillium langbeinite K$_2$Ni$_2$(SO$_4$)$_3$
[arXiv] 2026-05-13 | Respecting Self-Uncertainty in On-Policy Self-Distillation for Efficient LLM Reasoning
[arXiv] 2026-05-13 | The Sample Complexity of Multiple Change Point Identification under Bandit Feedback
[arXiv] 2026-05-13 | Doppler Prompting for Stable mmWave-based Human Pose Estimation
[arXiv] 2026-05-13 | ReTool-Video: Recursive Tool-Using Video Agents with Meta-Augmented Tool Grounding
[arXiv] 2026-05-13 | Comparative analysis of missing data imputation methods for CSST survey: Impact on photometric redshift estimation performance
[arXiv] 2026-05-13 | Machine Learning-Driven Multimodal Spectroscopic Liquid Biopsy for Early Multicancer Detection
[arXiv] 2026-05-13 | Decoding Product Codes and Staircase Codes with Iteration-Independent Weighting Coefficients
[arXiv] 2026-05-13 | Influence of Prandtl number on heat transfer over a permeable wall
[arXiv] 2026-05-13 | Testing the Structural Properties of Marked Point Processes Using Local Inhomogeneous Mark-Weighted K-Functions
[arXiv] 2026-05-13 | DiffST: Spatiotemporal-Aware Diffusion for Real-World Space-Time Video Super-Resolution
[arXiv] 2026-05-13 | Coupling-Informed Transport Maps for Bayesian Filtering in Nonlinear Dynamical Systems
[arXiv] 2026-05-13 | PanoWorld: Towards Spatial Supersensing in 360$^\circ$ Panorama World
[arXiv] 2026-05-13 | Helium Bubbles in Liquid Lead Lithium Solutions: Pressure Inhomogeneities at Interfaces and Non Ideal Mixture Effects
[arXiv] 2026-05-13 | Empowering IoT Security: On-Device Intrusion Detection in Resource Constrained Devices
[arXiv] 2026-05-13 | Unifying Physically-Informed Weather Priors in A Single Model for Image Restoration Across Multiple Adverse Weather Conditions
[arXiv] 2026-05-13 | Understanding Generalization through Decision Pattern Shift
[arXiv] 2026-05-13 | On a posteriori stopping rules of adaptive stochastic heavy ball method for ill-posed problems
[arXiv] 2026-05-13 | Security-Aware Planning and Control of Multi-Agent Systems with LTL Tasks
[arXiv] 2026-05-13 | Feedback-based quantum optimization and its classical counterpart: quantum advantage and the power of classical algorithms
[arXiv] 2026-05-13 | EVA-Bench: A New End-to-end Framework for Evaluating Voice Agents
[arXiv] 2026-05-13 | Good Agentic Friends Do Not Just Give Verbal Advice: They Can Update Your Weights
[arXiv] 2026-05-13 | R-DMesh: Video-Guided 3D Animation via Rectified Dynamic Mesh Flow
[arXiv] 2026-05-13 | Reachable-Set Decomposition for Real-Time Aggregation of Multi-Zone HVAC Fleets
[arXiv] 2026-05-13 | QLAM: A Quantum Long-Attention Memory Approach to Long-Sequence Token Modeling
[arXiv] 2026-05-13 | Finite-time blow-up in an elementary model of the 3D Navier-Stokes equations
[arXiv] 2026-05-13 | Graphs of Hecke operators in mixed ramification
[arXiv] 2026-05-13 | Stability analysis of Richardson models with delay for confrontation between two countries
[arXiv] 2026-05-13 | Harnessing Agentic Evolution
[arXiv] 2026-05-13 | Parallel Scan Recurrent Neural Quantum States for Scalable Variational Monte Carlo
[arXiv] 2026-05-13 | Min-Max Optimization Requires Exponentially Many Queries
[arXiv] 2026-05-13 | BlitzGS: City-Scale Gaussian Splatting at Lightning Speed
[arXiv] 2026-05-13 | Force-Aware Neural Tangent Kernels for Scalable and Robust Active Learning of MLIPs
[arXiv] 2026-05-13 | Attention Once Is All You Need: Efficient Streaming Inference with Stateful Transformers
[arXiv] 2026-05-13 | LMPath: Language-Mediated Priors and Path Generation for Aerial Exploration
[arXiv] 2026-05-13 | MinT: Managed Infrastructure for Training and Serving Millions of LLMs
[arXiv] 2026-05-13 | (How) Do Large Language Models Understand High-Level Message Sequence Charts?
[arXiv] 2026-05-13 | Upper Bounds for Symmetric Approximate Bounded Indistinguishability
[arXiv] 2026-05-13 | Magnetization-dependent and stacking-tunable Edelstein effect in two-dimensional magnet 2H-VTe2
[arXiv] 2026-05-13 | Manipulation Planning for Construction Activities with Repetitive Tasks
[arXiv] 2026-05-13 | Learning Responsibility-Attributed Adversarial Scenarios for Testing Autonomous Vehicles
[arXiv] 2026-05-13 | SPLIT: SymPathy for Large jobs Improves Tail latency
[arXiv] 2026-05-13 | Amplitude Noise Suppression in Frequency-Doubled Lasers: A Lyapunov Mechanism for Intensity Stabilization in Coupled Oscillator Systems
[arXiv] 2026-05-13 | GHGbench: A Unified Multi-Entity, Multi-Task Benchmark for Carbon Emission Prediction
[arXiv] 2026-05-13 | KVServe: Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving
[arXiv] 2026-05-13 | Cosmological perturbations in the theory of gravity with non-minimal derivative coupling. I. Modes of perturbations
[arXiv] 2026-05-13 | Distinguishing performance gains from learning when using generative AI
[arXiv] 2026-05-13 | ScioMind: Cognitively Grounded Multi-Agent Social Simulation with Anchoring-Based Belief Dynamics and Dynamic Profiles
[arXiv] 2026-05-13 | The Very Late Time Afterglow of GW170817 Favors a Wobbling Jet
[arXiv] 2026-05-13 | A multigrid and neural network approach to reduce the computational cost of phi-FEM
[arXiv] 2026-05-13 | Enhanced Near-Field Thermal Radiation Driven by Multiple Corner and Edge Modes in Subwavelength Square Nanowires
[arXiv] 2026-05-13 | DisAgg: Distributed Aggregators for Efficient Secure Aggregation in Federated Learning
[arXiv] 2026-05-13 | Nonlinear dynamic elastic moduli from equilibrium stress fluctuations
[arXiv] 2026-05-13 | StayStill: a large-scale 3D idle animation dataset
[arXiv] 2026-05-13 | Probing Quantum Information Scrambling via Local Randomized Measurements
[arXiv] 2026-05-13 | Theory of fracture initiation and propagation in viscoelastic media
[arXiv] 2026-05-13 | How many parents does it take? Parental time allocation and the effectiveness of fertility subsidies
[arXiv] 2026-05-13 | Three-Stage Learning Unlocks Strong Performance in Simple Models for Long-Term Time Series Forecasting
[arXiv] 2026-05-13 | Weakly Supervised Segmentation as Semantic-Based Regularization
[arXiv] 2026-05-13 | Stochastic modeling of Fourier modes in two-dimensional turbulence via filtered white noise
[arXiv] 2026-05-13 | Pattern-Enhanced RT-DETR for Multi-Class Battery Detection
[arXiv] 2026-05-13 | SceneGraphVLM: Dynamic Scene Graph Generation from Video with Vision-Language Models
[arXiv] 2026-05-13 | Fine-tuning with Hierarchical Prompting for Robust Propaganda Classification Across Annotation Schemas
[arXiv] 2026-05-13 | Improving ecological inference and uncertainty quantification from camera trap data through the fusion of AI confidences and manual annotations
[arXiv] 2026-05-13 | Search for single vector-like quark production in opposite-sign dilepton final states in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-05-13 | Sticky CIR process with potential: invariant measure and exact sampling
[arXiv] 2026-05-13 | FlowCompile: An Optimizing Compiler for Structured LLM Workflows
[arXiv] 2026-05-13 | Europe and the Geopolitics of AGI: The Need for a Preparedness Plan
[arXiv] 2026-05-13 | Guide, Think, Act: Interactive Embodied Reasoning in Vision-Language-Action Models
[arXiv] 2026-05-13 | SINAPSE: A lightweight deep learning framework for accurate and explainable neutron-$γ$ discrimination
[arXiv] 2026-05-13 | Edit-level Majority Voting Mitigates Over-Correction in LLM-based Grammatical Error Correction
[arXiv] 2026-05-13 | Betti numbers for cochordal zero-divisor graphs of commutative rings
[arXiv] 2026-05-13 | WD-FQDet: Multispectral Detection Transformer via Wavelet Decomposition and Frequency-aware Query Learning
[arXiv] 2026-05-13 | Magnetocaloric Effect in Nanostructured $La_{0.6}Sr_{0.4}Fe_{1-x}Co_{x}O_3$
[arXiv] 2026-05-13 | Spectral instability and non-uniqueness of mild solutions for the Keller-Segel system
[arXiv] 2026-05-13 | Probing nonlinear structure formation beyond $Λ$CDM with the LSS bootstrap: a joint power spectrum and bispectrum analysis
[arXiv] 2026-05-13 | NLO QCD and parton-shower effects for Higgs-boson production in association with a hard photon via vector-boson fusion
[arXiv] 2026-05-13 | Trajectory-Level Data Augmentation for Offline Reinforcement Learning
[arXiv] 2026-05-13 | Generating the mapping class group of a nonorientable surface of genus $g \geq 13$ by two elements
[arXiv] 2026-05-13 | Hydrodynamic limits for TASEP with space-time discontinuities
[arXiv] 2026-05-13 | Pulse shape discrimination for $α$ event rejection in BEGe-type high-purity germanium detectors
[arXiv] 2026-05-13 | Ultrafast Critical Slowing of Spin Dynamics and Emergent Nonequilibrium Fano Interference in Fe3GeTe2
[arXiv] 2026-05-13 | AnyFlow: Any-Step Video Diffusion Model with On-Policy Flow Map Distillation
[arXiv] 2026-05-13 | A Spatially Resolved HI Survey of Seyfert Galaxies: the Role of AGN Feedback in Shaping Atomic Gas Reservoirs
[arXiv] 2026-05-13 | VIP-COP: Context Optimization for Tabular Foundation Models
[arXiv] 2026-05-13 | A Majorization-Minimization with Monte Carlo Approach for Hyperparameter Estimation
[arXiv] 2026-05-13 | Rescaled Asynchronous SGD: Optimal Distributed Optimization under Data and System Heterogeneity
[arXiv] 2026-05-13 | Mixing and Small-Scale Formation in a Passive Divergence-Free Vector Field
[arXiv] 2026-05-13 | Temper and Tilt Lead to SLOP: Reward Hacking Mitigation with Inference-Time Alignment
[arXiv] 2026-05-13 | Galerkin Approximation of the Fractional Sobolev Constant
[arXiv] 2026-05-13 | Decoupled Planning for Multiple Omega-Regular Objectives
[arXiv] 2026-05-13 | Elastica++: A high-performance, multiphysics framework for large interacting assemblies of Cosserat rods
[arXiv] 2026-05-13 | Identifying AI Web Scrapers Using Canary Tokens
[arXiv] 2026-05-13 | Quantum resolution of the Schwarzschild singularity
[arXiv] 2026-05-13 | Collaborating in Multi-Armed Bandits with Strategic Agents
[arXiv] 2026-05-13 | Quantum dynamics of two $XX$ interacting PT-symmetric non-Hermitian qubits: enhancement of quantum annealing
[arXiv] 2026-05-13 | Load Identification in Bistable Spacecraft Booms via Parametric Data-Driven Modeling
[arXiv] 2026-05-13 | Causal Learning with the Invariance Principle
[arXiv] 2026-05-13 | On the Apparent Correlation between X-ray and Neutrino Luminosities of Active Galactic Nuclei
[arXiv] 2026-05-13 | Phy-CoSF: Physics-Guided Continuous Spectral Fields Reconstruction and Super-Resolution for Snapshot Compressive Imaging
[arXiv] 2026-05-13 | A new proof of the transfer of regularity for kinetic equations
[arXiv] 2026-05-13 | Joint Segment Activation and Antenna Placement for Uplink SWAN Systems
[arXiv] 2026-05-13 | Anisotropic Dopant and Strain Architectures in WS$_2$ Nanocrystals Driven by Growth Kinetics
[arXiv] 2026-05-13 | Dynamical Predictive Modelling of Cardiovascular Disease Progression Post-Myocardial Infarction via ECG-Trained Artificial Intelligence Model
[arXiv] 2026-05-13 | Uncertainty-Aware Prediction of Lung Tumor Growth from Sparse Longitudinal CT Data via Bayesian Physics-Informed Neural Networks
[arXiv] 2026-05-13 | Nonexistence of certain classes of generalized bent functions: Revisiting the element partition method
[arXiv] 2026-05-13 | RealICU: Do LLM Agents Understand Long-Context ICU Data? A Benchmark Beyond Behavior Imitation
[arXiv] 2026-05-13 | Towards Unified Surgical Scene Understanding:Bridging Reasoning and Grounding via MLLMs
[arXiv] 2026-05-13 | Solvable Automorphism Groups of Varieties
[arXiv] 2026-05-13 | Many-Shot CoT-ICL: Making In-Context Learning Truly Learn
[arXiv] 2026-05-13 | Quantifying information flow along a stochastic trajectory
[arXiv] 2026-05-13 | A Multi-Modal Intelligent U2V Channel Model for 6G Sensing-Communication Integration
[arXiv] 2026-05-13 | Task-Aware Automated User Profile Generation for Recommendation Simulation Using Large Language Models
[arXiv] 2026-05-13 | The Gallai Vertex Problem is $Θ_2^p$-Complete
[arXiv] 2026-05-13 | R^2-Mem: Reflective Experience for Memory Search
[arXiv] 2026-05-13 | Discovery of Hidden Miscalibration Regimes
[arXiv] 2026-05-13 | Exploiting ionization dynamics in the nitrogen vacancy center for rapid, high-contrast spin and charge state initialization
[arXiv] 2026-05-13 | Dean-Kawasaki Equation with Biot-Savart and Keller-Segel Interactions: Existence and Large Deviations
[arXiv] 2026-05-13 | Space-Charge Effects in Silicon Reconfigurable Nonlinear-Processing Units
[arXiv] 2026-05-13 | The impact of flickering variability and magnetisation on the dynamics, stability and morphology of radio-loud AGN jets
[arXiv] 2026-05-13 | Z-Order Transformer for Feed-Forward Gaussian Splatting
[arXiv] 2026-05-13 | On the Darboux-Halphen system: Jacobi vs Lie
[arXiv] 2026-05-13 | Liquid Tree Automata
[arXiv] 2026-05-13 | Classification of solutions to the singular Liouville's equation associated with the $N$ Finsler Laplacian
[arXiv] 2026-05-13 | Magnetic fields in monoclinic $α$-RuCl$_3$ reveal rhombohedral inclusions underlying apparent oscillations
[arXiv] 2026-05-13 | Asymptotically Optimal Ergodic Coverage on Generalized Motion Fields
[arXiv] 2026-05-13 | Revisiting CUR Perturbation Analysis: A Local Tangent-Space Expansion
[arXiv] 2026-05-13 | TurboGR: An Accelerated Training System for Large-Scale Generative Recommendation
[arXiv] 2026-05-13 | Text2Score: Generating Sheet Music From Textual Prompts
[arXiv] 2026-05-13 | Towards a holistic understanding of Selection Bias for Causal Effect Identification
[arXiv] 2026-05-13 | LIFT: Last-Mile Fine-Tuning for Table Explicitation
[arXiv] 2026-05-13 | Combining pre-trained models via localized model averaging
[arXiv] 2026-05-13 | Remarks on diagonal dimension for algebraic stacks
[arXiv] 2026-05-13 | Ultracontractivity of Heat semigroups in $\mathrm{L}^{2}\left( Ω\right)$ with non-local Robin boundary conditions using Nash's inequality
[arXiv] 2026-05-13 | Decoupled Azimuth Elevation AoA Estimation Exploiting Kronecker Separable Steering Matrices
[arXiv] 2026-05-13 | Topology-Preserving Neural Operator Learning via Hodge Decomposition
[arXiv] 2026-05-13 | Training Long-Context Vision-Language Models Effectively with Generalization Beyond 128K Context
[arXiv] 2026-05-13 | Neurosymbolic Auditing of Natural-Language Software Requirements
[arXiv] 2026-05-13 | OmniLiDAR: A Unified Diffusion Framework for Multi-Domain 3D LiDAR Generation
[arXiv] 2026-05-13 | JANUS: Anatomy-Conditioned Gating for Robust CT Triage Under Distribution Shift
[arXiv] 2026-05-13 | "Metric-affine-like" generalization of YM (mal-YM): detailed classical consideration
[arXiv] 2026-05-13 | Chiral molecule-induced contributions to ferromagnetic resonance
[arXiv] 2026-05-13 | Irregular SLE(4) martingales and isomonodromic deformations
[arXiv] 2026-05-13 | Improving Reproducibility in Evaluation through Multi-Level Annotator Modeling
[arXiv] 2026-05-13 | An LLM-Based System for Argument Reconstruction
[arXiv] 2026-05-13 | Universal Confining Strings: From Compact QED to the Hadron Spectrum
[arXiv] 2026-05-13 | Realtime-VLA FLASH: Speculative Inference Framework for Diffusion-based VLAs
[arXiv] 2026-05-13 | RoboEvolve: Co-Evolving Planner-Simulator for Robotic Manipulation with Limited Data
[arXiv] 2026-05-13 | A combinatorial model for the canonical join complex of alt $ν$-Tamari lattices
[arXiv] 2026-05-13 | Chrono::Ray: A Distributed Framework for High-Throughput Simulation-Based Analysis of Multibody Systems
[arXiv] 2026-05-13 | Beam-Driven Transverse Deflecting Structure for Femtosecond Electron-Beam Diagnostics
[arXiv] 2026-05-13 | Optimal Quantum Illumination with Nonlocal Non-Gaussian Operations
[arXiv] 2026-05-13 | Helmholzian Spectra of Graphs: Novel Properties
[arXiv] 2026-05-13 | Humanwashing -- It Should Leave You Feeling Dirty
[arXiv] 2026-05-13 | Shubnikov-de Haas Characterization of Superconductor-Semiconductor Heterostructures
[arXiv] 2026-05-13 | SkillOps: Managing LLM Agent Skill Libraries as Self-Maintaining Software Ecosystems
[arXiv] 2026-05-13 | MILM: Large Language Models for Multimodal Irregular Time Series with Informative Sampling
[arXiv] 2026-05-13 | Apocalypse When? Solar System Constraints on an Imminent Big Rip
[arXiv] 2026-05-13 | Lax-Oleinik formula for nonautonomous Hamilton-Jacobi equations on networks
[arXiv] 2026-05-13 | Mass of the dark antibaryon using $B_d\rightarrow Λψ_{DS}$ channel in light cone QCD
[arXiv] 2026-05-13 | Moving beyond spatial and random cross-validation in environmental modelling: a call for prediction-domain adaptive evaluation
[arXiv] 2026-05-13 | MedCore: Boundary-Preserving Medical Core Pruning for MedSAM
[arXiv] 2026-05-13 | Characterizing Universal Object Representations Across Vision Models
[arXiv] 2026-05-13 | SpurAudio: A Benchmark for Studying Shortcut Learning in Few-Shot Audio Classification
[arXiv] 2026-05-13 | When Does the Dice Sum Become Prime?
[arXiv] 2026-05-13 | Robot Squid Game: Quadrupedal Locomotion for Traversing Narrow Tunnels
[arXiv] 2026-05-13 | Air-Sea Surface Modeling and Operating Link Range Evaluation for AUV-to-UAV Optical Wireless Communication Links
[arXiv] 2026-05-13 | Beyond Perplexity: A Geometric and Spectral Study of Low-Rank Pre-Training
[arXiv] 2026-05-13 | Weighted and Truncated Tail Index Estimation under Random Censoring: A Unified Full-Range Framework
[arXiv] 2026-05-13 | Prefix Teach, Suffix Fade: Local Teachability Collapse in Strong-to-Weak On-Policy Distillation
[arXiv] 2026-05-13 | Multiplicative Diophantine approximation and bounds for lattice sums
[arXiv] 2026-05-13 | ProjGuard: Safety Monitoring for Computer-Use Agents via Low-Dimensional Projections
