[2026-07-10 22:59:05] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Infinitely many sign-changing solutions for critical Hamiltonian systems with linear perturbation
[arXiv] 2026-07-09 | Fundamental Sensing Limits of 6G Cooperative MIMO-ISAC Networks: Joint Position-Velocity CRLB and Decoupling Analysis
[arXiv] 2026-07-09 | Cross-seed explainability using Procrustes-conditioned Joint End-to-end Top-K Sparse Autoencoders
[arXiv] 2026-07-09 | Quantum corrections to the near-extremal thermodynamics of (warped) BTZ black holes
[arXiv] 2026-07-09 | Charge radii of calcium isotopes within relativistic configuration-interaction density functional theory
[arXiv] 2026-07-09 | Layer-resolved Electronic Structure and Correlation of Low-$n$ Square-planar Nickelates: A DFT+DMFT Prediction of Superconducting Candidates
[arXiv] 2026-07-09 | Charge carrier flow through trimmed graphene nanoribbon junctions
[arXiv] 2026-07-09 | Long-term speckle interferometric monitoring of binary systems II: 2007-2025 positional measurements and improvement of orbits
[arXiv] 2026-07-09 | Search for strong lensing of gravitational waves in the binary black hole events from O1-O4a
[arXiv] 2026-07-09 | Does online sustainability communication shape public discourse? Insights from six years of tenant-housing provider interactions
[arXiv] 2026-07-09 | Quantum and Classical Potts Criticality in Driven-Dissipative Bosonic Lattices
[arXiv] 2026-07-09 | Fourier imaging of collective spontaneous emission modes in superradiant cold atomic clouds
[arXiv] 2026-07-09 | Efficient photo-ionizing elimination of detrimental electric fields for Rydberg atoms
[arXiv] 2026-07-09 | Relativistic Mean Field Approach with Chiral Symmetry Breaking and Quark Confinement in the light of Astrophysical Observations
[arXiv] 2026-07-09 | Beyond Backpropagation: Monte Carlo Method Can Train Deep Neural Networks
[arXiv] 2026-07-09 | Prompt Compression via Activation Aggregation
[arXiv] 2026-07-09 | Joint Discrete-Continuous Flow Matching for Open-Vocabulary Inverse Design of Multilayer Optical Coatings
[arXiv] 2026-07-09 | Splitting methods for nonlinear Schrödinger equation without order reduction
[arXiv] 2026-07-09 | Classical versus Deep Mirror-Symmetry Scoring: A Benchmark of Thirteen Methods
[arXiv] 2026-07-09 | Roman domination on subclasses of bipartite graphs
[arXiv] 2026-07-09 | Certified Interventional Fidelity: Anytime-Valid, Adaptive Evaluation of Causal Claims in Mechanistic Interpretability
[arXiv] 2026-07-09 | Grounded Event Extraction from SEC 8-K Filings with a Fine-Grained Taxonomy
[arXiv] 2026-07-09 | Spectral Analysis of Dueling Q-Learning
[arXiv] 2026-07-09 | Intrinsic Instantaneous Coarse-to-Fine Recoverability in the Lorenz-96 System
[arXiv] 2026-07-09 | Approximate eigenfunctions for some aperiodic crystals
[arXiv] 2026-07-09 | Magnetic control of Goos-Hänchen shifts and group delay time in monolayer WSe$_2$
[arXiv] 2026-07-09 | Tracking the boundary between absolute/convective instability using adjoint equations
[arXiv] 2026-07-09 | A Study Of Skew-Polycyclic Codes Over A Non-Chain Ring
[arXiv] 2026-07-09 | Interplay of Quasiperiodic Criticality and the Non-Hermitian Skin Effect
[arXiv] 2026-07-09 | Sufficientarian Grading Rules and Rankings: Characterizations and Implementation
[arXiv] 2026-07-09 | Understanding Axes of Difficulty For Long Context Tasks Via PredicateLongBench
[arXiv] 2026-07-09 | TFP: Temporally Conditioned Memory-Fusion Policies for Visuomotor Learning
[arXiv] 2026-07-09 | Potential Functions as Types
[arXiv] 2026-07-09 | D-CLIPSE: Distributed Consensus-based Localization with Passive Listening on Shared State Exchange
[arXiv] 2026-07-09 | Deep Learning for Joint Narrowband Interference Cancellation and Soft Demodulation in OFDM Systems
[arXiv] 2026-07-09 | Extracting conformal data from Loschmidt echoes after critical quenches
[arXiv] 2026-07-09 | Renormalization flows for 1D mixed states and a quantum Goursat lemma
[arXiv] 2026-07-09 | The charge density fluctuations and the Shrinking Fermi Liquid scenario for strange metallicity in cuprates
[arXiv] 2026-07-09 | Engineering Nonclassical States via the Dynamical Casimir Effect
[arXiv] 2026-07-09 | Nonlinear Media via Nonlocal Homogenisation
[arXiv] 2026-07-09 | The Fock Space Dynamics of Causal Fermion Systems: Non-Abelian Gauge Fields
[arXiv] 2026-07-09 | HETDEX [OII] galaxies at $z \le 0.48$: Volume-limited samples and their power spectra
[arXiv] 2026-07-09 | Multiplicity of negative one of independence polynomials of graphs
[arXiv] 2026-07-09 | Toward a Unified GPU-Aware OpenSHMEM Specification
[arXiv] 2026-07-09 | On the Etzion-Silberstein conjecture for block Ferrers diagrams
[arXiv] 2026-07-09 | Estimating the Stochastic Discount Factor from Option Prices and Predicting the Equity Premium
[arXiv] 2026-07-09 | weightflow: declarative, recipe-aware survey weighting in R
[arXiv] 2026-07-09 | Drift-Aware Temporal Graph Rewiring (DATGR) for Adaptive Semantic Modeling in Biomedical Text
[arXiv] 2026-07-09 | New features of the sea-surface slope distribution revealed by IASI observations: Directional properties, influence of the wave height, large wave tilts
[arXiv] 2026-07-09 | Frequency-Domain Multi-Modality Transportation Modeling
[arXiv] 2026-07-09 | MatBind: A Shared Embedding Space for Multimodal Materials Characterization
[arXiv] 2026-07-09 | Photon Acceleration in Magnetized Plasma: A Mechanism for Fast Radio Bursts
[arXiv] 2026-07-09 | A counterexample to Purdy's inequality for hyperplane arrangements in projective three-space
[arXiv] 2026-07-09 | Rademacher-type formula and higher order Turán inequalities for $\ell$-regular overpartitions
[arXiv] 2026-07-09 | Conversational Retrieval and On-the-Fly Knowledge Modeling of Historical Penitentiary Repression Records
[arXiv] 2026-07-09 | Electron-Ion Collision Environment: Distribution of Quark Spin and Orbital Angular Momentum
[arXiv] 2026-07-09 | Harness VLA: Steering Frozen VLAs into Reliable Manipulation Primitives via Memory-Guided Agents
[arXiv] 2026-07-09 | Simulation of exchange coupling effects in double quantum dot FinFET-like structures
[arXiv] 2026-07-09 | Extreme points, positive Grothendieck constants and tensor product norms
[arXiv] 2026-07-09 | Construction and upper bound on the minimum genus of an embedded surface with Anosov geodesic flow
[arXiv] 2026-07-09 | Quantum weight and low-loss EELS signatures of Wannier quantum geometry in black phosphorus
[arXiv] 2026-07-09 | Predicting Male Fertility Using Machine Learning: A Semen Parameters Based Analysis with the VISEM Dataset
[arXiv] 2026-07-09 | OmniFood-Bench: Evaluating VLMs for Nutrient Reasoning and Personalized Health Advice
[arXiv] 2026-07-09 | Effects of low resolution on the column density PDF of molecular clouds
[arXiv] 2026-07-09 | Detecting Ladder Logic Bombs in IEC 61131-3 PLC Programs using ESBMC-PLC+: A Formal Verification Approach with Trigger Synthesis
[arXiv] 2026-07-09 | Hankel's principle as an anti-Kantian program
[arXiv] 2026-07-09 | A capacitary approach to Lyapunov-type inequalities for elliptic problems on weighted graphs
[arXiv] 2026-07-09 | DrugGen 2: A disease-aware language model for enhancing drug discovery
[arXiv] 2026-07-09 | Game Theory Driven Multi-Agent Framework Mitigates Language Model Hallucination
[arXiv] 2026-07-09 | Attribute Retrieving for Open-Vocabulary Endoscopic Compositional Referring Segmentation
[arXiv] 2026-07-09 | On the rectification of oscillatory flows by flexible leaflets in a confined geometry
[arXiv] 2026-07-09 | Towards Mechanistically Understanding Why Memorized Knowledge Fails to Generalize in Large Language Model Finetuning
[arXiv] 2026-07-09 | On $q$-pre-Lie algebras
[arXiv] 2026-07-09 | Secure QR Codes: Authenticity Verification via EdDSA Signatures and CBOR Certificates
[arXiv] 2026-07-09 | On absolute strong exposure for Lipschitz maps
[arXiv] 2026-07-09 | Echoes Across Vietnam's Highlands, Delta, and Coast: A Multilingual Corpus for Cham, Khmer, and Tay-Nung
[arXiv] 2026-07-09 | FSD-VLN: Fast-Slow Dual-System Modeling for Aerial Long-Horizon Vision-Language Navigation
[arXiv] 2026-07-09 | Computing in Anonymous Dynamic Networks with One-Bit Communications
[arXiv] 2026-07-09 | Signature in sound-mode of the exciton bilayer two-dimensional superfluid transition
[arXiv] 2026-07-09 | Rotation Sensing via Josephson-frequency Splitting in a Toroidal Superfluid
[arXiv] 2026-07-09 | Milky Way Near Twins (MWNeTs). I. A Hierarchical Framework for Identifying the Evolutionary Counterparts of the Milky Way
[arXiv] 2026-07-09 | Interplay between Electronic Structure, Chemical Bonding, and Lattice Symmetry in Bismuth Vanadate
[arXiv] 2026-07-09 | Geometric smoothing by the Kähler-Ricci Flow
[arXiv] 2026-07-09 | A reverse Riesz estimate combined with a spectral gap implies a Poincaré inequality
[arXiv] 2026-07-09 | GitLake: Git-for-data for the agentic lakehouse
[arXiv] 2026-07-09 | Write-Protected Discrete Bottlenecks for Language-Grounded World Models: A Structural Limitation and Sufficient Fix
[arXiv] 2026-07-09 | Precision three-Dimensional Atmospheric Neutrino Flux Calculation Based on Honda Flux Model
[arXiv] 2026-07-09 | Design, Modeling, and Validation of Curvature-Based Shape-Aware Flexible Phased Arrays
[arXiv] 2026-07-09 | Projected incrementally scattering passive systems on closed convex sets
[arXiv] 2026-07-09 | On a parametric congruence concerning generalized central trinomial coefficients
[arXiv] 2026-07-09 | Classifier Chain-based Pathological Test Recommendation
[arXiv] 2026-07-09 | Braiding structures on categorical multi-Interval Jones-Wassermann subfactor
[arXiv] 2026-07-09 | Reverse Engineering Compliance: A Dual-Graph Verification Framework for Auditing Legacy IT Security Concepts
[arXiv] 2026-07-09 | Sensitivity of a low-shear heliotron configuration to localised ferrite perturbations
[arXiv] 2026-07-09 | From Legacy Documentation to OSCAL: An MCP-Based Agent Pipeline for Threat-Informed Continuous Compliance in Critical Infrastructure
[arXiv] 2026-07-09 | Do Indian Drivers Conform to Newells Car Following Model?
[arXiv] 2026-07-09 | How Analysts Use AI in High-Stakes Crime Linkage: An Industrial Study
[arXiv] 2026-07-09 | Different Teachers, Different Capabilities: Sub-1B On-Device Distillation for Structured Text Enrichment
[arXiv] 2026-07-09 | Ion-Implanted Silicon Nanoregions Enable Ultra-Low-Loss Trimming of Cladded Photonic Integrated Circuits
[arXiv] 2026-07-09 | A search for circumstellar gas in pre-main-sequence debris discs using absorption spectroscopy
[arXiv] 2026-07-09 | Quasi-bound states and late-time evolution of a massive fermion around a Reissner-Nordström black hole
[arXiv] 2026-07-09 | Nonlocal Electrostatic Origin of Schottky-Barrier Variability in 2D Contacts
[arXiv] 2026-07-09 | An interpretable Good--Turing restart criterion for k-means++
[arXiv] 2026-07-09 | Convergence of random sums in non-commutative probability
[arXiv] 2026-07-09 | 3D Virtual Element Method for Advection-Diffusion-Reaction Problems with Variable Coefficients on Locally Quasi-Uniform Polytopes
[arXiv] 2026-07-09 | Simulating the Resident: Generating Executable Smart Home Schedules via LLM Personas
[arXiv] 2026-07-09 | Multimodal 3D LUT Generation via StatLUT with Statistical Features for Photorealistic Style Transfer
[arXiv] 2026-07-09 | Threshold Authorization Without Threshold Signatures: Signature-Agnostic MPC Custody
[arXiv] 2026-07-09 | Phase stability and ionic transport in post-spinel CaV$_2$O$_4$ cathode
[arXiv] 2026-07-09 | Viscoelasticity Enhances Contactless Adhesion of Soft Substrates
[arXiv] 2026-07-09 | On the stability of proximal operators in Wasserstein spaces under different notions of convexity
[arXiv] 2026-07-09 | Learned Committors as Reaction Coordinates for Nucleation Rates
[arXiv] 2026-07-09 | Data-Driven Critic-Free Policy Iteration for Continuous-Time Linear Quadratic Regulation
[arXiv] 2026-07-09 | Volatility in Prediction Markets: A Structural Approach
[arXiv] 2026-07-09 | MLQENABLER: Enabling Secure Machine Learning Queries over Encrypted Database in Cloud Computing
[arXiv] 2026-07-09 | Dive Into the Implicit Biases of Low-rank Vision-language Alignment
[arXiv] 2026-07-09 | Hidden Decoding at Scale: Latent Computation Scaling for Large Language Models
[arXiv] 2026-07-09 | Leveraging Color Naming for Image Enhancement
[arXiv] 2026-07-09 | An advanced undergraduate derivation of acceleration thermality
[arXiv] 2026-07-09 | LEEVLA: Seeing What Matters in Latent Environment Evolution for Vision-Language-Action
[arXiv] 2026-07-09 | Accelerated Golden Ratio Primal--Dual Algorithm for Structured Convex Optimisation without Linesearch
[arXiv] 2026-07-09 | Continual Test-Time Adaptation in Computer Vision: Methods, Benchmarks, and Future Directions
[arXiv] 2026-07-09 | ProsMAE: Multi-Source MAE Pretraining for ISUP Grade Classification
[arXiv] 2026-07-09 | Group reduction, formulas solutions and asymptotic behavior of a class of fourth order difference equations
[arXiv] 2026-07-09 | Approximation Algorithms for Matroidal Prerequisite Systems
[arXiv] 2026-07-09 | Generalization Theory for Through-the-Wall Radar Human Activity Recognition
[arXiv] 2026-07-09 | GenAI-Enhanced Digital Twins for Predictive Interference Management in Ultra-Dense Networks
[arXiv] 2026-07-09 | Early Career Issues in Particle Physics
[arXiv] 2026-07-09 | Joint estimation of high-dimensional spiked covariance matrices via a partially shared subspace
[arXiv] 2026-07-09 | $L^{\infty}$-norm bounds for Siegel--Jacobi cusp forms
[arXiv] 2026-07-09 | MORES: Mobile Reasoning-as-a-Service via Distributed LLM Inference-Time Scaling
[arXiv] 2026-07-09 | PS4: Proxy-Supervised Joint Training for Real Target Speaker Extraction
[arXiv] 2026-07-09 | Minimum Edge-Outerplanar Embeddings are Polynomial-Time Computable
[arXiv] 2026-07-09 | Dual Lattice Functions of Polytopes
[arXiv] 2026-07-09 | Model-Based Detection of Anomalous Events in Submarine Cables Using Distributed Deformation Sensing and Kalman Filtering
[arXiv] 2026-07-09 | CausalDS: Benchmarking Causal Reasoning in Data-Science Agents
[arXiv] 2026-07-09 | Mixture of Enhanced-View Experts for Multi-Query Vehicle ReID and A Large-Scale Benchmark
[arXiv] 2026-07-09 | ConRad: Efficient Conformal Prediction for Radiomics
[arXiv] 2026-07-09 | Beyond Single-Band: Analysis and Resource Allocation for Multi-band ISAC Systems
[arXiv] 2026-07-09 | Persuasion Attacks Can Decrease Effectiveness of CoT Monitoring
[arXiv] 2026-07-09 | When LLMs Agree, Are They Right? Auditing Self-Consistency and Cross-Model Agreement as Confidence Signals
[arXiv] 2026-07-09 | Reinforcing the Generation Order of Multimodal Masked Diffusion Models
[arXiv] 2026-07-09 | Who Analyses the Analyser? Self-Validating LLM Hazard Analysis with Constitutional Meta-STPA
[arXiv] 2026-07-09 | RadioDiff-v2: Generative Angular Radio Maps for Multi-Beam Selection and Localization
[arXiv] 2026-07-09 | Aleena: Alignment Agent for Research Software Engineering Collaborations
[arXiv] 2026-07-09 | A safety-oriented hypothetico-deductive framework for AI-assisted differential diagnosis
[arXiv] 2026-07-09 | SCI-Mamba: Unsupervised Learning based Low-Light Image Enhancement for Non-Cooperative Spacecraft
[arXiv] 2026-07-09 | A Retrieval Framework for Observationally Constraining the Parameters of Circumplanetary Disks
[arXiv] 2026-07-09 | Interfacial chirality-induced magnetic-field-free switching with high energy efficiency in all-vdW heterostructures
[arXiv] 2026-07-09 | Geometry and Gradient-based Partitioning for Panoramic Outdoor Reconstruction
[arXiv] 2026-07-09 | UniClawBench: A Universal Benchmark for Proactive Agents on Real-World Tasks
[arXiv] 2026-07-09 | Typicality of Steering for Two-qubit States
[arXiv] 2026-07-09 | Measuring Consumption with Credit Card Data: Benchmarking and Beyond
[arXiv] 2026-07-09 | MulTTiPop: A Multitrack Transcription Dataset for Pop Music
[arXiv] 2026-07-09 | DegenDetector: Symbolic Recovery of Parameter Degeneracies in Bayesian Posteriors
[arXiv] 2026-07-09 | SLORR: Simple and Efficient In-Training Low-Rank Regularization
[arXiv] 2026-07-09 | AUTOPILOT VQA: Benchmarking Vision-Language Models for Incident-Centric Dashcam Understanding
[arXiv] 2026-07-09 | Algorithmic Expert Aggregation
[arXiv] 2026-07-09 | ContactMimic: Humanoid Object Interaction via Contact Control
[arXiv] 2026-07-09 | Internal pseudospin, lepton-number superselection, and neutrino--antineutrino coherence in massive neutral-fermion one-particle states
[arXiv] 2026-07-09 | Learning Adaptive Solvers for Distributed Factor Graph Optimization on Matrix Lie Groups
[arXiv] 2026-07-09 | A Matrix Analogue of Rational Number Systems
[arXiv] 2026-07-09 | Validity of LLMs as data annotators: AMALIA on authority
[arXiv] 2026-07-09 | WaspMOT: A Benchmark for Long-Term Multi-Object Tracking of Trichogramma Wasps
[arXiv] 2026-07-09 | Thermal Sunyaev-Zel'dovich Measurements of Locally Bright Galaxies with ACT DR6: Radio Source Contamination and Excess Compton-y Signal
[arXiv] 2026-07-09 | Remember When It Matters: Proactive Memory Agent for Long-Horizon Agents
[arXiv] 2026-07-09 | Absence of quantum advantage for approximate spin glass optimization
[arXiv] 2026-07-09 | Quantum-Geometric Design of Lattice Generalized Landau Levels
[arXiv] 2026-07-09 | How YouTube Frames ChatGPT Use in Education: An Epistemic Network Analysis with Supporting Multimodal Metadata
[arXiv] 2026-07-09 | From Rules to Nash Equilibria: A Lean 4 Case Study in Game-Theoretic Analysis of a Competitive Trading Card Game
[arXiv] 2026-07-09 | A Practical Investigation of Training-free Relaxed Speculative Decoding
[arXiv] 2026-07-09 | Do Transformations Reveal the Truth? Generative Residual Learning for Generalized AI-Generated Image Detection
[arXiv] 2026-07-09 | Low-Rank Matrix Recovery via Heavy-Tailed Quadratic Sampling
[arXiv] 2026-07-09 | Two-block cycles and chromatic number of Hamiltonian digraphs
[arXiv] 2026-07-09 | Leptogenesis and Low Reheating Temperatures
[arXiv] 2026-07-09 | BiSCo-LLM: Lookup-Free Binary Spherical Coding for Extreme Low-Bit Large Language Model Compression
[arXiv] 2026-07-09 | Steering Neural Network Training through Interpretable Constraints Based on Partial Dependence
[arXiv] 2026-07-09 | The Rosenberg $ \mathbb{S}^{1} $-Stability Conjecture for $ χ(X) = 0 $
[arXiv] 2026-07-09 | The Parameterised Complexity of Temporal Motif Counting, and a Lovász-Style Isomorphism Theorem
[arXiv] 2026-07-09 | Sharing economy in the era of full automation: Evidence from autonomous vehicle on-demand mobility services
[arXiv] 2026-07-09 | Proof of Rump's Retraction Conjecture for Quasilinear Cycle Sets
[arXiv] 2026-07-09 | Sandpile groups of random bipartite graphs and families of distributions with the same moments
[arXiv] 2026-07-09 | Near-perihelion activity and composition of 3I/ATLAS from JUICE/MAJIS observations
[arXiv] 2026-07-09 | Towards Precision Therapy in Hepatocellular Carcinoma: A Clinical-Reasoning LLM for Risk Stratification and Treatment Guidance
[arXiv] 2026-07-09 | FAST Discovery of $μ$Jy Radio Pulsations from PSR J2238+5903, Providing a DM Distance Anchor for the Candidate TeV Halo 1LHAASO J2238+5900
[arXiv] 2026-07-09 | Distributed Monogamy of Entanglement limits Quantum Channel Simulation
[arXiv] 2026-07-09 | Mittag-Leffler-Type Forecast-Error Growth as a Diagnostic Indicator of Fractional Dynamics
[arXiv] 2026-07-09 | On Constructing Most General Solutions for Parametric Constraints (Extended Preprint)
[arXiv] 2026-07-09 | Intracellular luminescence thermometry: A story of disagreement, trust, and hope
[arXiv] 2026-07-09 | Horizon-redshift transfer in black-hole direct-wave damping
[arXiv] 2026-07-09 | How to measure tidal dissipation in long resonant chains
[arXiv] 2026-07-09 | A circumbinary approach to the study of spin-orbit resonances around irregular shaped bodies. Application to the Quaoar system
[arXiv] 2026-07-09 | Modeling Stakeholders and Lifecycle Requirements of Marine Hydrokinetic Energy Systems
[arXiv] 2026-07-09 | SAGA: Stable Acceleration Guidance for Autoregressive Video Generation
[arXiv] 2026-07-09 | On-Orbit Calibration of Danuri/PolCam. II. Radiometric Calibration
