[2026-07-28 22:58:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | Spectral aspects of random heavy-tailed tensors
[arXiv] 2026-07-27 | Using Subproblem Objective Gaps in Inexact Augmented Lagrangian and ADMM Algorithms, with Applications to Stochastic Mixed Integer Programming
[arXiv] 2026-07-27 | From Machine Learning to Large-Scale EO Products: Best Practices for Making Maps
[arXiv] 2026-07-27 | R-process nucleosynthesis from magnetar giant flares in neutron star--white dwarf mergers: A unified picture for peculiar long gamma-ray bursts
[arXiv] 2026-07-27 | A turning point principle for liquid Lane-Emden stars
[arXiv] 2026-07-27 | On Feige's conjecture
[arXiv] 2026-07-27 | A Curve-Reference Exponential Integrator for Three-Dimensional Charged-Particle Dynamics under a Strong Nonconstant Magnetic Field
[arXiv] 2026-07-27 | HydroAgent: Formalizing Forecaster Expertise into Skill-Orchestrated Flood Forecasting Workflows
[arXiv] 2026-07-27 | FlowLog: Re-thinking Datalog for Fast and Extensible Static Analysis
[arXiv] 2026-07-27 | Grokking on the Weight-Decay Clock: A Rate Hierarchy from Softly Broken Symmetries
[arXiv] 2026-07-27 | The Pull of Stasis: A Study of the Dynamics of the Thermal Stasis Attractor
[arXiv] 2026-07-27 | RODR: Riemannian Orthogonally Decoupled Regularization for Disentangled Manifold Representation
[arXiv] 2026-07-27 | Modeling Stylistic Co-evolution in Symbolic Music Heritage Collections
[arXiv] 2026-07-27 | Localized frames on Euclidean balls
[arXiv] 2026-07-27 | DICA: Dual-Indicator Guided Contrastive Alignment in Multimodal Large Language Models
[arXiv] 2026-07-27 | From Cognitive Architectures to Language Agents: A Mechanism-Level Review of Lineage, Convergence, and Migration Gaps
[arXiv] 2026-07-27 | Non-Centrosymmetric $γ$-Phase GaS Nanobelts for On-Chip Nonlinear Photonic Applications
[arXiv] 2026-07-27 | A Sustainable Remote Access Architecture for Digital Inclusion through the Reuse of Discredited TV-BOX Devices
[arXiv] 2026-07-27 | SpecBox: Speculative Sandbox Scheduling for Efficient LLM Agent Serving
[arXiv] 2026-07-27 | A note on matchings and co-matchings in bipartite graphs
[arXiv] 2026-07-27 | The Gold Partition Conjecture Holds through Fourteen Elements
[arXiv] 2026-07-27 | Weak stability and random mean-field limit of the phase-spatially extended kinetic Cucker-Smale model
[arXiv] 2026-07-27 | Expected number density of critical points of smooth Gaussian random fields in arbitrary dimensions
[arXiv] 2026-07-27 | Umulsai: A Plain-Text Format and In-Browser Engraving System for Jeongganbo, Korean Mensural Notation
[arXiv] 2026-07-27 | Algorithms for Equilibria in Concurrent Stopping Games
[arXiv] 2026-07-27 | Every Client Is an Environment: Federated De-confounding for Spatio-Temporal Forecasting
[arXiv] 2026-07-27 | Effect of User-Prompted Priors on Semi-Automated Cancer Lesion Segmentation in Whole-Body Computed Tomography
[arXiv] 2026-07-27 | MADHAT: A Sensor Prototype for the ALICE 3 Outer Tracker
[arXiv] 2026-07-27 | Analytics for the Optimization of the Soybean Oil Purification Process
[arXiv] 2026-07-27 | Knapsack Secretary is not $1/e$-Competitive
[arXiv] 2026-07-27 | On non-monotonicity of logarithmic energy for random matrices
[arXiv] 2026-07-27 | Agent-UCT: Upper Confidence Bounds Applied to Trees for Agentic Workflow Optimization with Cost-Awareness
[arXiv] 2026-07-27 | Calibrated Tree-Neural Fusion for Fine-Grained Vegetation Community Classification
[arXiv] 2026-07-27 | Approximation of stochastic insurer balance-sheet results using signatures of economic scenarios
[arXiv] 2026-07-27 | A Motion-Aware Vector Quantization Framework with Centroid Reuse for Efficient VLA Inference
[arXiv] 2026-07-27 | Nerve-type and invariance theorems for asymptotic dimension
[arXiv] 2026-07-27 | Image Inpainting via Stochastic Dynamics
[arXiv] 2026-07-27 | Randomized Krylov-Projected Iterated Tikhonov Regularization for Large-Scale Ill-posed Problems Under A Posteriori Stopping Rule
[arXiv] 2026-07-27 | BioSentinel at EXIST 2026: Soft-Label Optimization with XLM-RoBERTa for Sexism Intent Classification in Memes
[arXiv] 2026-07-27 | Landauer's Principle as a Criterion for Thermodynamic Consistency in Generalized Black Hole Entropies
[arXiv] 2026-07-27 | Grading the Narrators: An Isnad-Rijal Framework for Claim-Level Provenance in Multi-Agent Knowledge Systems
[arXiv] 2026-07-27 | On Representations of Weyl Groups attached to Spherical Varieties
[arXiv] 2026-07-27 | Architecture-agnostic analysis of partially coherent light with programmable photonics
[arXiv] 2026-07-27 | Existence of generalized bent functions in the exceptional $q\equiv2\pmod4$, odd-dimensional case
[arXiv] 2026-07-27 | LU-500: A Logo Benchmark for Concept Unlearning
[arXiv] 2026-07-27 | Thermodynamics with thermodynamic variable first-passage time. II. Dynamics of explosive boiling of superheated liquid, critical indices, fractional calculus
[arXiv] 2026-07-27 | Cascade Forgery Mining Network for Fingerprint Presentation Attack Detection
[arXiv] 2026-07-27 | Nonparametric Drift Estimation for Multidimensional Stochastic Differential Equations under Censoring
[arXiv] 2026-07-27 | A convergent Scharfetter-Gummel scheme for a three-species drift-diffusion model for memristors
[arXiv] 2026-07-27 | Recrystallisation phenomena in an ultrafine-grained Al-Mg-Si alloy revealed by correlative in situ EBSD and TEM heating
[arXiv] 2026-07-27 | Towards High-Level Semantic Intelligence
[arXiv] 2026-07-27 | Thermodynamics with thermodynamic variable first-passage time. I. From stochastic trajectories to nonlinear transport equations
[arXiv] 2026-07-27 | Non-classical photon statistics in frequency-modulated double quantum dot cavity systems
[arXiv] 2026-07-27 | The Cost of Knowing: A Resource-Aware Protocol for Benchmarking Hallucination Beyond Static Leaderboards
[arXiv] 2026-07-27 | Capacity-Aware Deep Learning for Generalizable Traffic Volume Estimation Across Links and Cities
[arXiv] 2026-07-27 | Marginal Data Augmentation for Efficient Bayesian Modeling of Counts and Rates with a Demographic Application
[arXiv] 2026-07-27 | On a free boundary problem of the Boltzmann equation
[arXiv] 2026-07-27 | A Unified Stereo Geometry Estimation Framework for Disparity and Surface Normal
[arXiv] 2026-07-27 | Structural Loss Metrics for Tensor Approximation via Matrix Low-Rank Approximation
[arXiv] 2026-07-27 | Low-light Image Enhancement via Multi-scale Attention combined with Fourier Transform
[arXiv] 2026-07-27 | Reminiscences about Hans Capel
[arXiv] 2026-07-27 | Anomalous Localization in Magnetically Doped Two-Dimensional Topological Insulators
[arXiv] 2026-07-27 | MobiWave: Dispatch-Oriented Graph Wavelets and Drift-Guided Selective Optimization for Autonomous Fleet Rebalancing
[arXiv] 2026-07-27 | A De Rham Perspective on the Symplectic Geometry of Teichmüller Space
[arXiv] 2026-07-27 | A logistic equation with non-local operators of order near zero
[arXiv] 2026-07-27 | DeepFaith: Evidence-Grounded LLMs for Faithful Incident Reporting in Multi-Stage APT Defense
[arXiv] 2026-07-27 | Perturbative-NeuSA: A Structured Spectral Framework for Time-Dependent PDEs
[arXiv] 2026-07-27 | Hybrid-parity sliding multiferroics
[arXiv] 2026-07-27 | Cross-Attention Calibrated Deduplication for Retrieval-Augmented Generation System
[arXiv] 2026-07-27 | The role of nestedness and saturating feedback in bipartite ecological systems
[arXiv] 2026-07-27 | Fifth-order finite volume derivative-based Hermite WENO scheme with unified stencils for hyperbolic conservation laws
[arXiv] 2026-07-27 | A note on the motion representation and configuration update in time stepping schemes for the constrained rigid body
[arXiv] 2026-07-27 | Studying the tensor resonance contributions in $B \to PP\ell^+\ell^-$ and $B \to PV\ell^+\ell^-$ decays
[arXiv] 2026-07-27 | Rethinking the Generation Order of Block Diffusion Language Models
[arXiv] 2026-07-27 | PAC-DP: PAC-Bayesian Diffusion Policy Learning
[arXiv] 2026-07-27 | Local Fréchet Regression with Riemannian Predictors
[arXiv] 2026-07-27 | Local luminosity functions of galaxies at (sub)millimeter wavelengths from Planck surveys
[arXiv] 2026-07-27 | Superpixel-Based QUBO for Scalable Quantum-Enhanced Medical Image Segmentation
[arXiv] 2026-07-27 | Effect of wind on prey-predator dynamics with group defense and additional food strategy
[arXiv] 2026-07-27 | Steady base states in a two-dimensional chiral fluid. The chiral Stokes cavity
[arXiv] 2026-07-27 | Modified Mukhanov-Sasaki equation and primordial perturbations in $κ$-deformed non-commutative space-time
[arXiv] 2026-07-27 | A Computational Ethical Framework for Financial Digital Phenotyping for Mental Health
[arXiv] 2026-07-27 | Dynamic sampling of non-stationary spontaneous activity in dissociated neuronal networks
[arXiv] 2026-07-27 | Dynamical Quarks in the Ensemble of Center Vortices with Monopole Defects: Color Confinement Beyond External Probes
[arXiv] 2026-07-27 | The mathematical theory of photomultiplier tube calibration
[arXiv] 2026-07-27 | KAI: A Kinematic-Aware Interface for Data-Efficient Articulated Object Manipulation
[arXiv] 2026-07-27 | Asymptotic behavior of the first Robin eigenvalue of nonlinear operators
[arXiv] 2026-07-27 | The exact solution of Bellman's lost-in-a-forest problem for the golden gnomon
[arXiv] 2026-07-27 | Learning limit cycles via Hebbian synaptic plasticity
[arXiv] 2026-07-27 | Grounding latent algorithm routing in transformer reasoning
[arXiv] 2026-07-27 | The Higgs vacuum in the presence of strong gravitational fields: curvature induced electroweak symmetry restoration
[arXiv] 2026-07-27 | On Realisability of Twisted Homology
[arXiv] 2026-07-27 | ESRVS: Extreme Semi-Supervised Retinal Vessel Segmentation with a Single Annotated Image
[arXiv] 2026-07-27 | Generation-separated hypercharges and dark charges: origin of flavor, neutrino masses, and dark matter
[arXiv] 2026-07-27 | On the Modeling of Kink Oscillations in Fine-Structured Coronal Loops with Field-aligned Nonlinear Longitudinal Disturbances
[arXiv] 2026-07-27 | Exploring the Effects of Color Reconnection on Net-Charge Fluctuations in $pp$ Collisions at $\sqrt{s}=2.76 \text{ TeV}$ using PYTHIA Monash
[arXiv] 2026-07-27 | From Regions to Hodge Structures: The Topological Study of semialgebraic Curves Configurations
[arXiv] 2026-07-27 | DraftExpert: Expansion-Aware Self-Speculative Decoding for End-Device MoE Inference
[arXiv] 2026-07-27 | On $C^k$-functions mapping $\mathbb{Q}$ into itself and Mahler's problem on Liouville numbers
[arXiv] 2026-07-27 | Does Central Planning Fail Locally? Evaluating EV Charging Flexibility Optimization Across Grid Levels
[arXiv] 2026-07-27 | Near-Tight Theoretical Bounds for Incentive Compatibility in Bitcoin Mining
[arXiv] 2026-07-27 | Entropy methods in combinatorics
[arXiv] 2026-07-27 | Occluded Oculus: Operationalizing Stylistic Obscurement
[arXiv] 2026-07-27 | proxymate: Diagnosis and Adjustment of Proxy Estimates for Reliable Inference
[arXiv] 2026-07-27 | Local Well-Posedness for Vlasov--Poisson with $L^{d+}$ Initial Density and Fractional Velocity Regularity
[arXiv] 2026-07-27 | DeepNC: A Fast GNN-based Pre-Verification Surrogate for TSN Configuration
[arXiv] 2026-07-27 | Regulating for AI Legitimacy
[arXiv] 2026-07-27 | Electron Hydrodynamics and Bernoulli Effect in Venturi-Shaped 2D Systems
[arXiv] 2026-07-27 | Learning Distributions from Multiple Data Providers
[arXiv] 2026-07-27 | Infinitely Many Components in Auslander--Reiten Quivers of Representation-Infinite Algebras over Perfect Fields
[arXiv] 2026-07-27 | Smooth Learning with Hard Constraints via Legendre-Regularized Policies
[arXiv] 2026-07-27 | Anyon Condensation In Symmetry-Enriched Topological Phases: $G$-Grading of Multifusion Categories
[arXiv] 2026-07-27 | Non-kinetic homotopy coherent actions on four-manifolds
[arXiv] 2026-07-27 | Diffusion Bootstrap for High-Dimensional Linear Models
[arXiv] 2026-07-27 | Systematic Experiment Tracking in Quantum Software: A Case Study of Reservoir Computing with Error Mitigation
[arXiv] 2026-07-27 | Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review
[arXiv] 2026-07-27 | Exponentially Many Circuit Double Covers
[arXiv] 2026-07-27 | JWST/NIRCam Imaging of Young Stellar Objects. IV. Detailed Imaging of the Protoplanetary Disk around TW Hya
[arXiv] 2026-07-27 | Low-Rank Dependence Decomposition via Accelerated Symmetric Non-negative Matrix Factorization
[arXiv] 2026-07-27 | Conic reach and polynomial parallel volume in the plane
[arXiv] 2026-07-27 | Distributed Coordination for Resilient Multi-UAV Remote Sensing: A Photovoltaic Inspection Case Study
[arXiv] 2026-07-27 | The beamformed trigger of RNO-G: its design and in-field performance
[arXiv] 2026-07-27 | Rethinking Expert Training for Model Merging with Prompt Learning
[arXiv] 2026-07-27 | Spectral Turán problems for suspensions of balanced trees
[arXiv] 2026-07-27 | From Execution to Capability: Scientific Experience Consolidation via Procedural Knowledge Synthesis
[arXiv] 2026-07-27 | Exceptional Cones from an Indefinite Bogoliubov Metric in Hyperbolic Polariton Condensates
[arXiv] 2026-07-27 | Simply branched covers of curves and wild conductor exponents
[arXiv] 2026-07-27 | Testing edge chirality with a three-path fractional quantum Hall interferometer
[arXiv] 2026-07-27 | Kinetic and H-atom product study of the C + C6H6 reaction at low temperatures
[arXiv] 2026-07-27 | Frequency-Based Reservoir computing
[arXiv] 2026-07-27 | Failures Reveal What Metrics Miss: An Evidence-Driven Agent for Recursive Refinement of ECG Classifiers
[arXiv] 2026-07-27 | CORE: A Unified Cascaded Ordinal Relevance Estimation Framework for E-commerce Search
[arXiv] 2026-07-27 | Decentralised Consensus Learning Networks: SME Rotation Without Centralised Reward
[arXiv] 2026-07-27 | A simultaneous extension of Ramsey, Hindman, and Hales-Jewett Theorems
[arXiv] 2026-07-27 | Constraining the $z \approx 1$ neutral hydrogen (HI) distribution
[arXiv] 2026-07-27 | Wavelength-diverse transmission for turbulence-resistant free-space optical communication
[arXiv] 2026-07-27 | GenSplatCodec: Feed-Forward Gaussian Splatting Compression via One-Step Diffusion
[arXiv] 2026-07-27 | CogRec: Structure-Cognitive Fast-and-Slow Reasoning for Generative Recommendation
[arXiv] 2026-07-27 | Multivariate Time Series Forecasting with Adaptive Non-Local Observables
[arXiv] 2026-07-27 | How to Disrupt a Market
[arXiv] 2026-07-27 | Locally Robust Kernel Specification Tests for Conditional Moment Restrictions
[arXiv] 2026-07-27 | Stacked Intelligent Metasurfaces Assisted UAV Communications
[arXiv] 2026-07-27 | Closed-Loop Validation-Repair for Healthcare Interoperability: A Multi-Model Study of Schema Compliance in Clinical LLMs
[arXiv] 2026-07-27 | Modeling Duelling Contagions of True and False Information in the Face of Inherent Individual biases
[arXiv] 2026-07-27 | Coarsening-adjusted estimators for finite-population indicators
[arXiv] 2026-07-27 | Cyclic codes and cyclically covering subspaces
[arXiv] 2026-07-27 | Blow up and Concentration without Quantization: sharp Harnack type inequalities
[arXiv] 2026-07-27 | Simulating Tenant Responses to Energy Policy Interventions with Transaction-Cost-Aware LLM Age
[arXiv] 2026-07-27 | Unsupervised Graph Representation Learning with Complementary View Alignment
[arXiv] 2026-07-27 | Unequal Trips, Unequal Places: Diagnosing and Mitigating Delay Inequity in Autonomous Vehicle Fleet Coordination
[arXiv] 2026-07-27 | Stochastic phase separation driven by transport noise
[arXiv] 2026-07-27 | Revisiting Vocos: That Phasiness Business in Time-Frequency Neural Vocoding
[arXiv] 2026-07-27 | Domain-Decomposition Neural Surrogates for Scalable Decentralized Ensemble Kalman Filter Based Parameter Identification in High-Dimensional Stochastic PDEs
[arXiv] 2026-07-27 | UMI3D: Robust 3D Generation on Unconstrained Multi-Image Inputs via Simultaneous Focus Cross-Attention Routing
[arXiv] 2026-07-27 | Learning Adaptive Multi-Task Guidance, Navigation, and Control via Hypernetworks
[arXiv] 2026-07-27 | The $L_1$-Discrepancy with Nonnegative Weights Suffers from the Curse of Dimensionality
[arXiv] 2026-07-27 | INS-ActBench: A Comprehensive Benchmark for Assessing Professional Actuarial Capability of Large Language Models
[arXiv] 2026-07-27 | FeelWorld: Visuo-Tactile World Model for Hierarchical Contact Prediction and Planning
[arXiv] 2026-07-27 | Spatial resolution for gamma ray interactions in stacks of monolithic silicon sensors
[arXiv] 2026-07-27 | Signs of Square-Free Fourier Coefficients of Half-Integral weight cusp forms and the Congruent Number Problem
[arXiv] 2026-07-27 | Exact Analytical Phase Transitions, Horizon Bistability, and Thermodynamic State-Space Representation of Regular Hayward Black Holes
[arXiv] 2026-07-27 | Influence of a vertical-wall leading edge on bouncing and escape bubble rising regimes
[arXiv] 2026-07-27 | The KLS constant is $O(\log^{1/4} n)$
[arXiv] 2026-07-27 | Gravitational Wave Signatures of Periodic Orbits around a Schwarzschild-like Black Holes Submerged in an Exponential Density Dark Matter Profile
[arXiv] 2026-07-27 | Restricted Perron envelopes and quasibounded functions
[arXiv] 2026-07-27 | TEmBed-T: A Multi-Dimensional Benchmark for Table-Level Embeddings
[arXiv] 2026-07-27 | Global Existence and Pathwise Uniqueness for a Stochastic Parabolic-Parabolic Keller-Segel System
[arXiv] 2026-07-27 | EEGForceFusion: Joint Tokenised-Continuous Representation Learning for Subject-Independent Grasp Force Decoding
[arXiv] 2026-07-27 | Scaling GUI Agents with Visual State Transitions
[arXiv] 2026-07-27 | Simultaneous estimation of relative phase and coherence in astronomical interferometry
[arXiv] 2026-07-27 | Consensus In Asynchrony: Strictly Formal
[arXiv] 2026-07-27 | ConAlign: Conditional Alignment Framework for Balancing Biased and Unbiased Recommendation
[arXiv] 2026-07-27 | Gravitational Lensing of Gravitational Waves: Towards a Higher-order Geometric-optics Approach
[arXiv] 2026-07-27 | Simulation-Free Bayesian Power and Sample Size Calculations for Bayes Factors in Single-Arm Phase II Trials with Binary Endpoints
[arXiv] 2026-07-27 | Towards simultaneous decoding of kinetic and kinematic movement parameters during grasp and lift task by noninvasive brain imaging
[arXiv] 2026-07-27 | On-Site Beam Calibration for RIS-Aided Positioning Systems
[arXiv] 2026-07-27 | Hausdorff type Time-Trace Observability for Airy Equations on the Line and Point Observability on the Torus
[arXiv] 2026-07-27 | Data-Driven Sequential Market Optimization for Front-of-the-Meter Battery Energy Storage Systems
[arXiv] 2026-07-27 | Evidence for Azimuthally Anisotropic MgII Absorption around DESI Luminous Red Galaxies
[arXiv] 2026-07-27 | Dynamically enabled transition pathways in multistable systems
[arXiv] 2026-07-27 | Edge State Propagation Near Multiple and Singular Interfaces
[arXiv] 2026-07-27 | A note on the discrete Unmapped Tent Pitching for the heterogeneous wave equation
[arXiv] 2026-07-27 | Complex Analysis and Existence Problems for plane Graphs
[arXiv] 2026-07-27 | Local Weyl law and length-minimising loops on hyperbolic surfaces
[arXiv] 2026-07-27 | Pound-Drever-Hall Feedforward for Trapped-Ion Optical Qubits
[arXiv] 2026-07-27 | Quantum-Inspired Evolutionary Neighborhood Search for Arrival-Departure Track Utilization Adjustment under Short-Term Disturbances
[arXiv] 2026-07-27 | Continuous solutions of the complex Kac--Bernstein functional equation on the integers and the real numbers
[arXiv] 2026-07-27 | Self-Supervised Consistency Enhanced Disentangled Learning for Neural Decoding Generalization in Brain-Machine Interface
[arXiv] 2026-07-27 | Common-Transmitter Multipath-Aware TDoA Localization for Acoustic Backscatter-Enabled IoUT Networks
[arXiv] 2026-07-27 | Mosaic: A Fleet of User Embedding Specialists for Recommendation at Meta
[arXiv] 2026-07-27 | Unlocking Directional Radiation in Pinching-Antenna Systems: Geometry-Aware Design and Experimental Verification
[arXiv] 2026-07-27 | When Should Active RAG Retrieve? A Budget-Aware Evaluation of Utility, Calibration, and Cost
[arXiv] 2026-07-27 | FutureRTC: Real-Time Robot Execution with Anticipatory-Conditioned Action Chunking
[arXiv] 2026-07-27 | Beam Training for RIS-Aided ISAC Systems
[arXiv] 2026-07-27 | Exploring Budgeted Image Classification with Content-Sensitive Resource Allocation
[arXiv] 2026-07-27 | Recoverable Quantum Computation: An Information-Centric Paradigm for Quantum Computing with Errors
[arXiv] 2026-07-27 | Data Pyramid for Embodied Manipulation
[arXiv] 2026-07-27 | Area-minimizing submanifolds are not generically smooth, except for geodesics, minimal surfaces, and minimal hypersurfaces
[arXiv] 2026-07-27 | Gravitational waves from super-Hubble bubbles
[arXiv] 2026-07-27 | Beyond-eikonal diffraction integral in gravitational lensing
[arXiv] 2026-07-27 | The Physics of Multi-Turn Long-Horizon Planning: From Pre-training to Post-training via Single- and Multi-Teacher On-Policy Agentic Distillation
[arXiv] 2026-07-27 | Controlled theories, categorification, and homotopification
[arXiv] 2026-07-27 | Modest Algorithmic Mediation can Maximize Topical Diversity in Hybrid Human-AI Systems
[arXiv] 2026-07-27 | Fusion Systems on Sylow $3$-subgroups of Fischer and Monster sporadic groups -- II
[arXiv] 2026-07-27 | The Operational Resistance of Neutrinos: Epistemic Maturity vs. Technological Utility
[arXiv] 2026-07-27 | Exact Minimum Distance of the Ding--Li--Xia Cyclic Codes
[arXiv] 2026-07-27 | Quantum-Limited Symbol-Blind Channel Estimation for Coherent State Discrimination
[arXiv] 2026-07-27 | Krylov complexity and spectral density of BMN matrix model
[arXiv] 2026-07-27 | A Modified Moving Reference Frame Method for Propeller Resolution
[arXiv] 2026-07-27 | A General Model of Interfacial Chemical Equilibrium in Phase-Field Method
[arXiv] 2026-07-27 | Control of morphology and topology in a lattice model of branching morphogenesis
[arXiv] 2026-07-27 | Interaction fingerprints in temperature-fluctuation cumulants from the QCD crossover to nuclear liquid-gas criticality
[arXiv] 2026-07-27 | Global analyses of helicity-dependent parton distribution functions
[arXiv] 2026-07-27 | Latency Decoupling in Low-Feedback Multi-User Networks via Overhearing-Driven NOMA
[arXiv] 2026-07-27 | One Graph, Multiple Gains: Single High-Quality Item-Item Graph for Multimodal Recommendation
[arXiv] 2026-07-27 | Verification-Conditioned Use: A Qualitative Study on How Generative AI Reshapes Learning, Autonomy, and Market Entry for Junior Software Developers
[arXiv] 2026-07-27 | Looping Is Not Reliability: State-Bound Evidence and Typed Revision Contracts for Agentic Code Repair
[arXiv] 2026-07-27 | PIVOT: Efficient Query-Group Indexing for Token-Level Sparse Attention
[arXiv] 2026-07-27 | CameraAnything: Refilming Videos with Arbitrary Camera Control
[arXiv] 2026-07-27 | SIREN: Towards End-to-End Extreme-Weather Early Warning with Experience-Grounded LLM Agents
[arXiv] 2026-07-27 | First constraints on the nonperturbative gluon Collins-Soper kernel
[arXiv] 2026-07-27 | Constraining young massive cluster properties with radio-continuum observations: The Arches cluster
[arXiv] 2026-07-27 | Variance for Estimation and Prediction in Linear Mixed Effects Models Under MAR
[arXiv] 2026-07-27 | Proceedings of The First Reflection in Creative Experience (RiCE) Workshop
[arXiv] 2026-07-27 | DeCoRAG: Cognitive Decoupling and Semantic-Aware Cropping for Complex Document Understanding
[arXiv] 2026-07-27 | LLM-Assisted Ontology Engineering and Construction of a French Legal Knowledge Graph
[arXiv] 2026-07-27 | Shack-Hartmann wavefront sensor slope measurement algorithm robust to scintillation and sensor saturation
[arXiv] 2026-07-27 | Fast Insertion for Bucketized Cuckoo Hashing
[arXiv] 2026-07-27 | Magnetic anisotropy in the near-stoichiometric van der Waals ferromagnet Fe$_3$GeTe$_2$
[arXiv] 2026-07-27 | Task-Conditional Faithfulness Auditing of Multimodal LLMs for Grid Diagnosis
[arXiv] 2026-07-27 | DecoupleMix: Decoupled Ratio Search and Convex Allocation for Scalable VLM Data Recipes
[arXiv] 2026-07-27 | Physics Transformer: Tailoring Transformer for General PDE Prediction
[arXiv] 2026-07-27 | Serrodyne Matterwave Optics
[arXiv] 2026-07-27 | A Smooth Explicit Elastoplastic--Damage Update for Graphics Simulation
