[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[arXiv] 2025-12-15 | The two-boost problem and the boundedness of Reeb chords
[arXiv] 2025-12-15 | Impact of Information on Quantum Heat Engines
[arXiv] 2025-12-15 | Tropical KP Theory on Banana Curves
[arXiv] 2025-12-15 | Achievable Trade-Off in Network Nonlocality Sharing
[arXiv] 2025-12-15 | Replacement and Reputation
[arXiv] 2025-12-15 | On the complex interplay of temperature, phase change and natural convection in self-pressurization-an investigation using segregated modeling
[arXiv] 2025-12-15 | Influence of Radiation and AC Coupling on Time Performance of Analog Pixels Test Structures in 65 nm CMOS technology
[arXiv] 2025-12-15 | An introduction to the Global Glimm Problem
[arXiv] 2025-12-15 | Quantum Disruption: An SOK of How Post-Quantum Attackers Reshape Blockchain Security and Performance
[arXiv] 2025-12-15 | A Multi-Worker Assembly Line Rebalancing with Spatial and Ergonomic Considerations
[arXiv] 2025-12-15 | ALIGN-FL: Architecture-independent Learning through Invariant Generative component sharing in Federated Learning
[arXiv] 2025-12-15 | Open Homomorphisms between $m$-step Solvable Galois Groups Compatible with the Cyclotomic Characters
[arXiv] 2025-12-15 | Convergence of covariance and spectral density estimates for high-dimensional functional time series
[arXiv] 2025-12-15 | Birkhoff Spectra of symbolic almost one-to-one extensions
[arXiv] 2025-12-15 | Intrinsic-Motivation Multi-Robot Social Formation Navigation with Coordinated Exploration
[arXiv] 2025-12-15 | Maximum of the characteristic polynomial of random Jacobi matrices
[arXiv] 2025-12-15 | Coherent feedback-enhanced asymmetry of thermal process in open quantum systems: Cavity optomechanics
[arXiv] 2025-12-15 | Tidally Perturbed, Rotating Stellar Systems: Asynchronous Equilibria
[arXiv] 2025-12-15 | Integrating Causal Reasoning into Automated Fact-Checking
[arXiv] 2025-12-15 | AutoTool: Dynamic Tool Selection and Integration for Agentic Reasoning
[arXiv] 2025-12-15 | Challenging historical novae: AT Cnc (1645), Te-11 (483), and M22 (BC 48) revisited
[arXiv] 2025-12-15 | Stability and Regularization of Quasi-Variational Inequalities under Monotone Operator Perturbations
[arXiv] 2025-12-15 | SPARS: A Reinforcement Learning-Enabled Simulator for Power Management in HPC Job Scheduling
[arXiv] 2025-12-15 | Lagrangian Heterogeneous Multiscale Method (LHMM) for Simulating Polymer Solutions/Melts Behavior under Complex Flows using DPD-SPH
[arXiv] 2025-12-15 | From Educational Analytics to AI Governance: Transferable Lessons from Complex Systems Interventions
[arXiv] 2025-12-15 | Thermodynamic geometry of charged AdS black holes with a string cloud in Lorentz-violating Einstein-Kalb-Ramond gravity
[arXiv] 2025-12-15 | Fostering human learning is crucial for boosting human-AI synergy
[arXiv] 2025-12-15 | DisCo-Speech: Controllable Zero-Shot Speech Generation with A Disentangled Speech Codec
[arXiv] 2025-12-15 | ModSSC: A Modular Framework for Semi-Supervised Classification on Heterogeneous Data
[arXiv] 2025-12-15 | Integrating ethical, societal and environmental issues into algorithm design courses
[arXiv] 2025-12-15 | Differentiable Material Point Method for the Control of Deformable Objects
[arXiv] 2025-12-15 | Kernelization dichotomies for hitting minors under structural parameterizations
[arXiv] 2025-12-15 | A tropical version of Martens' theorem for metric graphs
[arXiv] 2025-12-15 | Through the Singularity
[arXiv] 2025-12-15 | Computational tuning of the elastic properties of low- and high-entropy ultra-high temperature ceramics
[arXiv] 2025-12-15 | On infinitesimal deformations of singular varieties I
[arXiv] 2025-12-15 | MicroPhaseNO: Adapting an Earthquake-Trained Phase Neural Operator for Microseismic Phase Picking
[arXiv] 2025-12-15 | DiffusionBrowser: Interactive Diffusion Previews via Multi-Branch Decoders
[arXiv] 2025-12-15 | LitePT: Lighter Yet Stronger Point Transformer
[arXiv] 2025-12-15 | Towards Scalable Pre-training of Visual Tokenizers for Generation
[arXiv] 2025-12-15 | LASER: Layer-wise Scale Alignment for Training-Free Streaming 4D Reconstruction
[arXiv] 2025-12-15 | Towards Effective Model Editing for LLM Personalization
[arXiv] 2025-12-15 | Towards Interactive Intelligence for Digital Humans
[arXiv] 2025-12-15 | Poisson--Dirichlet approximation for counting integers with divisors in an interval
[arXiv] 2025-12-15 | Matrix Product State Simulation of Reacting Shear Flows
[arXiv] 2025-12-15 | When is a cut and project set substitutional?
[arXiv] 2025-12-15 | Towards Quantum Advantage in Chemistry
[arXiv] 2025-12-15 | REVERB-FL: Server-Side Adversarial and Reserve-Enhanced Federated Learning for Robust Audio Classification
[arXiv] 2025-12-15 | From Code to Field: Evaluating the Robustness of Convolutional Neural Networks for Disease Diagnosis in Mango Leaves
[arXiv] 2025-12-15 | Characterization of products of projective spaces via nef complexity
[arXiv] 2025-12-15 | SCR2-ST: Combine Single Cell with Spatial Transcriptomics for Efficient Active Sampling via Reinforcement Learning
[arXiv] 2025-12-15 | Certified-Everlasting Quantum NIZK Proofs
[arXiv] 2025-12-15 | Job insecurity, equilibrium determinacy and E-stability in a New Keynesian model with asymmetric information. Theory and simulation analysis
[arXiv] 2025-12-15 | Resonances in the early Universe
[arXiv] 2025-12-15 | Preconditioning Techniques for Hybridizable Discontinuous Galerkin Discretizations on GPU Architectures
[arXiv] 2025-12-15 | LightTopoGAT: Enhancing Graph Attention Networks with Topological Features for Efficient Graph Classification
[arXiv] 2025-12-15 | Transition from Population to Coherence-dominated Non-diffusive Thermal Transport
[arXiv] 2025-12-15 | Neutrino texture-zeros after JUNO's first results: Implications for long baseline neutrino experiments
[arXiv] 2025-12-15 | Leptonic and Hadronic Models of High-energy Nebula Around V4641 Sgr
[arXiv] 2025-12-15 | Unveiling the X-ray Secrets of Fermi-detected Narrow-Line Seyfert 1 Galaxies with XMM-Newton Observations
[arXiv] 2025-12-15 | Memory in the Age of AI Agents
[arXiv] 2025-12-15 | Exploring the freeze-in mechanism for scotogenic singlet dark matter
[arXiv] 2025-12-15 | Near-Field Perception for Safety Enhancement of Autonomous Mobile Robots in Manufacturing Environments
[arXiv] 2025-12-15 | Extensions of the Busemann-Petty Problem for Arbitrary Measures
[arXiv] 2025-12-15 | Flow topology classification of limit cycles
[arXiv] 2025-12-15 | Pontryagin Maximum Principle for Rydberg-blockaded state-to-state transfers: A semi-analytic approach
[arXiv] 2025-12-15 | Tensor Network Formulation of Dequantized Algorithms for Ground State Energy Estimation
[arXiv] 2025-12-15 | Magnetic order and novel quantum criticality in the strongly interacting quasicrystals
[arXiv] 2025-12-15 | Competent Discrete Time Modeling For analogue controlled PWM Converter Considering State-Feedback
[arXiv] 2025-12-15 | Laser-Induced Deposition of Single-Walled Carbon Nanotubes in Suspended Core Optical Fibers
[arXiv] 2025-12-15 | Quantum Correlations and Gravity: From the Emergence of a Cosmological Constant to the Gravitation of Particles in Superposition
[arXiv] 2025-12-15 | Enhancing lithological interpretation from petrophysical well log of IODP expedition 390/393 using machine learning
[arXiv] 2025-12-15 | Janus: Disaggregating Attention and Experts for Scalable MoE Inference
[arXiv] 2025-12-15 | Optically trapped Feshbach molecules of fermionic $^{161}$Dy and $^{40}$K: Role of light-induced and collisional losses
[arXiv] 2025-12-15 | Kovacs-like memory effect in strain stiffening collagen networks
[arXiv] 2025-12-15 | Entropy dissipation inequality for general binary collision models
[arXiv] 2025-12-15 | TARA: Simple and Efficient Time Aware Retrieval Adaptation of MLLMs for Video Understanding
[arXiv] 2025-12-15 | Learning under Distributional Drift: Reproducibility as an Intrinsic Statistical Resource
[arXiv] 2025-12-15 | Platforms as Crime Scene, Judge, and Jury: How Victim-Survivors of Non-Consensual Intimate Imagery Report Abuse Online
[arXiv] 2025-12-15 | Deployable Prototype Testing and Control Allocation of the CABLESSail Concept for Solar Sail Shape Control and Momentum Management
[arXiv] 2025-12-15 | SIGMA: An AI-Empowered Training Stack on Early-Life Hardware
[arXiv] 2025-12-15 | Advancing Bangla Machine Translation Through Informal Datasets
[arXiv] 2025-12-15 | Resolving Galaxy Nuclei and Compact Stellar Systems as Engines of Galaxy Evolution
[arXiv] 2025-12-15 | Reproducibility and Standardization in gem5 Resources v25.0
[arXiv] 2025-12-15 | Non-Resolution Reasoning: A Framework for Preserving Semantic Ambiguity in Language Models
[arXiv] 2025-12-15 | Evaluating the Navigation Capabilities of a Modified COAST Guidewire Robot in an Anatomical Phantom Model
[arXiv] 2025-12-15 | High Resolution Overtone Spectroscopy of HNC$^+$ and HCN$^+$
[arXiv] 2025-12-15 | The stellar to sub-stellar masses transition in 47 Tuc
[arXiv] 2025-12-15 | Optimal strategies for the growth of dual-seeded lattice structures
[arXiv] 2025-12-15 | PoseAnything: Universal Pose-guided Video Generation with Part-aware Temporal Coherence
[arXiv] 2025-12-15 | Wigner function negativity in a classical model of quantum light
[arXiv] 2025-12-15 | Displaying prescribed sets of ends by linked tree-decompositions
[arXiv] 2025-12-15 | Growth estimates for axisymmetric Euler equations without swirl
[arXiv] 2025-12-15 | Tropical Invariants for Permutation Group Actions
[arXiv] 2025-12-15 | POLAR: A Portrait OLAT Dataset and Generative Framework for Illumination-Aware Face Modeling
[arXiv] 2025-12-15 | Charged particle energization by low-amplitude electrostatic waves at cyclotron harmonics
[arXiv] 2025-12-15 | Efficient Generation of Smooth Paths with Curvature Guarantees by Mollification
[arXiv] 2025-12-15 | A nanopore-gated sub-attoliter silicon nanocavity for single-molecule trapping and analysis
[arXiv] 2025-12-15 | Integrated Semantic and Temporal Alignment for Interactive Video Retrieval
[arXiv] 2025-12-15 | SACn: Soft Actor-Critic with n-step Returns
[arXiv] 2025-12-15 | The maximum number of nonzero weights of linear rank-metric codes
[arXiv] 2025-12-15 | A homological approach to (Grothendieck's) completeness problem for regular LB-spaces
[arXiv] 2025-12-15 | START: Traversing Sparse Footholds with Terrain Reconstruction
[arXiv] 2025-12-15 | Performance of USTC first batch resistive AC-LGAD sensor
[arXiv] 2025-12-15 | Apollonian random manifolds and their bass notes
[arXiv] 2025-12-15 | Vertex Model Mechanics Explain the Emergence of Centroidal Voronoi Tiling in Epithelia
[arXiv] 2025-12-15 | Diffusion-Based Restoration for Multi-Modal 3D Object Detection in Adverse Weather
[arXiv] 2025-12-15 | FID-Net: A Feature-Enhanced Deep Learning Network for Forest Infestation Detection
[arXiv] 2025-12-15 | Sequence of Expert: Boosting Imitation Planners for Autonomous Driving through Temporal Alternation
[arXiv] 2025-12-15 | The structure of $k$-potents and mixed Jordan-power preservers on matrix algebras
[arXiv] 2025-12-15 | Unraveling real-time chemical shifts in the ultrafast regime
[arXiv] 2025-12-15 | A Simple and Effective Framework for Symmetric Consistent Indexing in Large-Scale Dense Retrieval
[arXiv] 2025-12-15 | Sharp convergence bounds for sums of POD and SPOD weights
[arXiv] 2025-12-15 | The EEPAS Model Revisited: Statistical Formalism and a High-Performance, Reproducible Open-Source Framework
[arXiv] 2025-12-15 | Towards Test-time Efficient Visual Place Recognition via Asymmetric Query Processing
[arXiv] 2025-12-15 | Unidirectional gliding of a cycloidal spin structure by an AC magnetic field
[arXiv] 2025-12-15 | A New Catalog of Head Tail Radio Galaxies from the VLA FIRST Survey
[arXiv] 2025-12-15 | Frequency Scaling Laws for Flat Plate Wing Active Separation Control
[arXiv] 2025-12-15 | Bi-Erasing: A Bidirectional Framework for Concept Removal in Diffusion Models
[arXiv] 2025-12-15 | Physicality oracle for SU(3) Loop-String-Hadron dynamics: a digital quantum circuit
[arXiv] 2025-12-15 | Theory of Remaining Exceptional Points from Nongeneric Splitting in Non-Hermitian Systems
[arXiv] 2025-12-15 | ESG Integration into Corporate Strategy Value Realization
[arXiv] 2025-12-15 | Safe Control of Multi-Agent Systems with Minimal Communication
[arXiv] 2025-12-15 | Hinge-Proximal Stochastic Gradient Methods for Convex Optimization with Functional Constraints
[arXiv] 2025-12-15 | Direct Measurement of Inertial Impact and Propulsive Force in a Eukaryotic Swimmer
[arXiv] 2025-12-15 | HQ-MPSD: A Multilingual Artifact-Controlled Benchmark for Partial Deepfake Speech Detection
[arXiv] 2025-12-15 | Deep Learning-Driven Inversion Framework for Shear Modulus Estimation in Magnetic Resonance Elastography (DIME)
[arXiv] 2025-12-15 | General OOD Detection via Model-aware and Subspace-aware Variable Priority
[arXiv] 2025-12-15 | Higher differentiation via higher formal groupoids
[arXiv] 2025-12-15 | VLCache: Computing 2% Vision Tokens and Reusing 98% for Vision-Language Inference
[arXiv] 2025-12-15 | Cycles Communities from the Perspective of Dendrograms and Gradient Sampling
[arXiv] 2025-12-15 | Database Research needs an Abstract Relational Query Language
[arXiv] 2025-12-15 | FlashFuser: Expanding the Scale of Kernel Fusion for Compute-Intensive Operators via Inter-Core Connection
[arXiv] 2025-12-15 | Tales of stellar and binary co-evolution, told by stellar oscillations -- Binary demographics and their impact on stellar mass, orbits, and age estimates in main-sequence and red-giant stars
[arXiv] 2025-12-15 | Automatic Quality Control for Agricultural Field Trials -- Detection of Nonstationarity in Grid-indexed Data
[arXiv] 2025-12-15 | OXE-AugE: A Large-Scale Robot Augmentation of OXE for Scaling Cross-Embodiment Policy Learning
[arXiv] 2025-12-15 | Building from Scratch: A Multi-Agent Framework with Human-in-the-Loop for Multilingual Legal Terminology Mapping
[arXiv] 2025-12-15 | JoVA: Unified Multimodal Learning for Joint Video-Audio Generation
[arXiv] 2025-12-15 | Directional Textual Inversion for Personalized Text-to-Image Generation
[arXiv] 2025-12-15 | Towards measuring astrophysical third order correlation functions with the H.E.S.S. optical intensity interferometer
[arXiv] 2025-12-15 | Machine learning discovers new champion codes
[arXiv] 2025-12-15 | Link-Aware Energy-Frugal Continual Learning for Fault Detection in IoT Networks
[arXiv] 2025-12-15 | CausalCLIP: Causally-Informed Feature Disentanglement and Filtering for Generalizable Detection of Generated Images
[arXiv] 2025-12-15 | Self-assembled filament layers in drying sessile droplets: from morphology to electrical conductivity
[arXiv] 2025-12-15 | Numeration systems without a dominant root and regularity
[arXiv] 2025-12-15 | From Diffraction to Refraction: a coherence-based conceptual framework
[arXiv] 2025-12-15 | Tales of Hoffman: from a distance
[arXiv] 2025-12-15 | Seeing the Whole Picture: Distribution-Guided Data-Free Distillation for Semantic Segmentation
[arXiv] 2025-12-15 | Iterative Tuning of Nonlinear Model Predictive Control for Robotic Manufacturing Tasks
[arXiv] 2025-12-15 | Inhomogeneous Sobolev and Besov Spaces: Embeddings and prevalent smoothness
[arXiv] 2025-12-15 | Intrinsic Image Fusion for Multi-View 3D Material Reconstruction
[arXiv] 2025-12-15 | Enhancing Node-Level Graph Domain Adaptation by Alleviating Local Dependency
[arXiv] 2025-12-15 | Practical Homodyne Shadow Estimation
[arXiv] 2025-12-15 | Weight Space Correlation Analysis: Quantifying Feature Utilization in Deep Learning Models
[arXiv] 2025-12-15 | Can AI Understand What We Cannot Say? Measuring Multilevel Alignment Through Abortion Stigma Across Cognitive, Interpersonal, and Structural Levels
[arXiv] 2025-12-15 | Intense-Laser Nondipole-Induced Symmetry Breaking in Solids
[arXiv] 2025-12-15 | A Joint Quantum Computing, Neural Network and Embedding Theory Approach for the Derivation of the Universal Functional
[arXiv] 2025-12-15 | A classification of semi-equivelar gems on the double torus
[arXiv] 2025-12-15 | Towards Practical Large-scale Dynamical Heterogeneous Graph Embedding: Cold-start Resilient Recommendation
[arXiv] 2025-12-15 | Quantum-inspired Chemical Rule for Discovering Topological Materials
[arXiv] 2025-12-15 | Quasi invariant Gaussian measures for the nonlinear Schrödinger equation on $\mathbb T^2$
[arXiv] 2025-12-15 | TraPO: A Semi-Supervised Reinforcement Learning Framework for Boosting LLM Reasoning
[arXiv] 2025-12-15 | On the Complementarity of Shared Electric Mobility and Renewable Energy Communities
[arXiv] 2025-12-15 | Stability analysis for a plate-membrane system without geometric condition
[arXiv] 2025-12-15 | The nonleptonic decays of double-charmed baryon $Ω_{cc}^{+}$ within the nonrelativistic quark model
[arXiv] 2025-12-15 | FlowClass.jl: Classifying Dynamical Systems by Structural Properties in Julia
[arXiv] 2025-12-15 | Multi-fidelity aerodynamic data fusion by autoencoder transfer learning
[arXiv] 2025-12-15 | Conservation laws of nonlinear PDEs arising in elasticity and acoustics in Cartesian, cylindrical, and spherical geometries
[arXiv] 2025-12-15 | Modeling Collaborative Problem Solving Dynamics from Group Discourse: A Text-Mining Approach with Synergy Degree Model
[arXiv] 2025-12-15 | Deep Q-Learning-Based Intelligent Scheduling for ETL Optimization in Heterogeneous Data Environments
[arXiv] 2025-12-15 | Homomorphism Indistinguishability, Multiplicity Automata Equivalence, and Polynomial Identity Testing
[arXiv] 2025-12-15 | Citation importance-aware document representation learning for large-scale science mapping
[arXiv] 2025-12-15 | Understanding Structured Financial Data with LLMs: A Case Study on Fraud Detection
[arXiv] 2025-12-15 | Alada: Alternating Adaptation of Momentum Method for Memory-Efficient Matrix Optimization
[arXiv] 2025-12-15 | A Comprehensive Survey of Channel Estimation Techniques for OTFS in 6G and Beyond Wireless Networks
[arXiv] 2025-12-15 | Comprehensive Evaluation of Rule-Based, Machine Learning, and Deep Learning in Human Estimation Using Radio Wave Sensing: Accuracy, Spatial Generalization, and Output Granularity Trade-offs
[arXiv] 2025-12-15 | Extracting the expression for the field equations of a diffeomorphism invariant theory of gravity from surface term
[arXiv] 2025-12-15 | JoDiffusion: Jointly Diffusing Image with Pixel-Level Annotations for Semantic Segmentation Promotion
[arXiv] 2025-12-15 | Light Field Based 6DoF Tracking of Previously Unobserved Objects
[arXiv] 2025-12-15 | Singular structures and geometric holonomy in the zero divisor set of the sedenions
[arXiv] 2025-12-15 | Calibrating Uncertainty for Zero-Shot Adversarial CLIP
[arXiv] 2025-12-15 | From CKLS Process to CIR-type and OU-type Processes: Using a Twice-differentiable Mapping and Generalized Girsanov's Theorem
[arXiv] 2025-12-15 | Heat kernel estimates for Markov processes in bounded sets with jump kernels decaying at the boundary
[arXiv] 2025-12-15 | Quantigence: A Multi-Agent AI Framework for Quantum Security Research
[arXiv] 2025-12-15 | DREAMS.II. Galaxy Demographics from Direct Te-Based Metallicities at z~2-10: Tracing the Evolution of the Mass-Metallicity and Fundamental Relations
[arXiv] 2025-12-15 | CoDeQ: End-to-End Joint Model Compression with Dead-Zone Quantizer for High-Sparsity and Low-Precision Networks
[arXiv] 2025-12-15 | Do Reviews Matter for Recommendations in the Era of Large Language Models?
[arXiv] 2025-12-15 | Application of Deep Learning in Biological Data Compression
[arXiv] 2025-12-15 | Deformations of crossed homomorphisms on Lie groups
[arXiv] 2025-12-15 | Headroom as A Grid Service in Software-Defined Power Grids: A Peak-to-Peak Control Design Approach
[arXiv] 2025-12-15 | Towards Open Standards for Systemic Complexity in Digital Forensics
[arXiv] 2025-12-15 | Electric fields induced spin and/or valley polarization in Weiss oscillations of monolayer 1{\it T}$^{\prime}$-$\mathrm{MoS}_{2}$
[arXiv] 2025-12-15 | Kinematics of H I and O VI Absorbers: Insights into the Turbulence Driver of the Multiphase Circumgalactic Medium
[arXiv] 2025-12-15 | Non-linear transport in field-induced insulating states of graphite
[arXiv] 2025-12-15 | Leveraging Compression to Construct Transferable Bitrate Ladders
[arXiv] 2025-12-15 | Actual and weak actual values in Bohmian mechanics
[arXiv] 2025-12-15 | Understanding When Graph Convolutional Networks Help: A Diagnostic Study on Label Scarcity and Structural Properties
[arXiv] 2025-12-15 | Feedforward 3D Editing via Text-Steerable Image-to-3D
[arXiv] 2025-12-15 | AgentIAD: Tool-Augmented Single-Agent for Industrial Anomaly Detection
[arXiv] 2025-12-15 | NL2SpaTiaL: Generating Geometric Spatio-Temporal Logic Specifications from Natural Language for Manipulation Tasks
[arXiv] 2025-12-15 | A stylometric analysis of speaker attribution from speech transcripts
[arXiv] 2025-12-15 | Grab-3D: Detecting AI-Generated Videos from 3D Geometric Temporal Consistency
[arXiv] 2025-12-15 | Exponential Absolute Minimizing extension and biased infinity Laplacian
[arXiv] 2025-12-15 | Embedding-Based Rankings of Educational Resources based on Learning Outcome Alignment: Benchmarking, Expert Validation, and Learner Performance
[arXiv] 2025-12-15 | Advancing Machine Learning Optimization of Chiral Photonic Metasurface: Comparative Study of Neural Network and Genetic Algorithm Approaches
[arXiv] 2025-12-15 | The spectrum of axions in a scaling string network
[arXiv] 2025-12-15 | Quadratic and cubic scrambling in the estimation of two successive phase-shifts
[arXiv] 2025-12-15 | Charge: A Comprehensive Novel View Synthesis Benchmark and Dataset to Bind Them All
[arXiv] 2025-12-15 | Design in Tiles: Automating GEMM Deployment on Tile-Based Many-PE Accelerators
[arXiv] 2025-12-15 | MindDrive: A Vision-Language-Action Model for Autonomous Driving via Online Reinforcement Learning
[arXiv] 2025-12-15 | StutterFuse: Mitigating Modality Collapse in Stuttering Detection with Jaccard-Weighted Metric Learning and Gated Fusion
[arXiv] 2025-12-15 | One-flavon flavor: A single hierarchical parameter $B$ organizes quarks and leptons at $M_Z$
[arXiv] 2025-12-15 | Quantum Integrability of Hamiltonians with Time-Dependent Interaction Strengths and the Renormalization Group Flow
[arXiv] 2025-12-15 | Temporal Tokenization Strategies for Event Sequence Modeling with Large Language Models
[arXiv] 2025-12-15 | Hyper-Minrank: A Unified Hypergraph Characterization of Multi-Sender Index Coding
[arXiv] 2025-12-15 | CrFe2Ge2: Investigation of novel ferromagnetic material of Fe13Ge8-type crystal
[arXiv] 2025-12-15 | Nemotron-Cascade: Scaling Cascaded Reinforcement Learning for General-Purpose Reasoning Models
[arXiv] 2025-12-15 | A new data weighted averaging algorithm to reduce tones in the signal band
[arXiv] 2025-12-15 | Evolution of solar and stellar coronal abundances due to magnetic activity
[arXiv] 2025-12-15 | Nonreciprocal Transport in chiral Mo3Al2C Near the Superconducting to Normal Transition
[arXiv] 2025-12-15 | Low-Power Solar Sail Control using In-Plane Forces from Tunable Buckling of Kirigami Films
[arXiv] 2025-12-15 | Reciprocal relationship between detectability and observability in a non-uniform setting
[arXiv] 2025-12-15 | ReFusion: A Diffusion Large Language Model with Parallel Autoregressive Decoding
[arXiv] 2025-12-15 | On the transmission irregular trees with the maximum Wiener index
[arXiv] 2025-12-15 | Could a thin-shell configuration lie hidden within the Universe?
[arXiv] 2025-12-15 | A Nonparametric Statistics Approach to Feature Selection in Deep Neural Networks with Theoretical Guarantees
[arXiv] 2025-12-15 | On the Ability of Deep Learning to Detect Signals with Unknown Parameters
[arXiv] 2025-12-15 | Altered oscillatory brain networks during emotional face processing in ADHD: an eLORETA and functional ICA study
[arXiv] 2025-12-15 | A Generalized Energy-Based Adaptive Gradient Method for Optimization
[arXiv] 2025-12-15 | Recurrence to rare events for all points in countable Markov shifts
[arXiv] 2025-12-15 | Well-posedness of multidimensional nonlocal conservation laws with nonlinear mobility and bounded force
[arXiv] 2025-12-15 | Interference Mitigation Recommender System using U-Net Autoencoders
[arXiv] 2025-12-15 | DarkSPARC: Dark-Blood Spectral Self-Calibrated Reconstruction of 3D Left Atrial LGE MRI for Post-Ablation Scar Imaging
[arXiv] 2025-12-15 | Async Control: Stress-testing Asynchronous Control Measures for LLM Agents
[arXiv] 2025-12-15 | How Low Can You Go? The Data-Light SE Challenge
[arXiv] 2025-12-15 | Multi-Photon Lasing Phenomena in Quantum Dot-Cavity QED
[arXiv] 2025-12-15 | Reinforcement Learning based 6-DoF Maneuvers for Microgravity Intravehicular Docking: A Simulation Study with Int-Ball2 in ISS-JEM
[arXiv] 2025-12-15 | Harmonic Analysis on Directed Networks: A Biorthogonal Laplacian Framework for Non-Normal Graphs
[arXiv] 2025-12-15 | Seedance 1.5 pro: A Native Audio-Visual Joint Generation Foundation Model
[arXiv] 2025-12-15 | Impact analysis of hidden faults in nonlinear control systems using output-to-output gain
[arXiv] 2025-12-15 | Mapping of the system of software-related emissions and shared responsibilities
[arXiv] 2025-12-15 | Homological stability for automorphisms of symmetric bilinear forms
[arXiv] 2025-12-15 | Einstein Was Not a Flat Physicalist: Principle Theories, Constructive Theories, and the Direction of Constraint
[arXiv] 2025-12-15 | A few observations around Gaussian domination and continuous symmetry breaking for spin O(N) model
[arXiv] 2025-12-15 | Balancing Timeliness and Privacy in Discrete-Time Updating Systems
[arXiv] 2025-12-15 | Computational discovery of ferromagnetic AT6X6 kagome compounds
[arXiv] 2025-12-15 | Weak Enforcement and Low Compliance in PCI~DSS: A Comparative Security Study
[arXiv] 2025-12-15 | Magnetic field generation in mergers of massive main sequence stars
[arXiv] 2025-12-15 | RecTok: Reconstruction Distillation along Rectified Flow
[arXiv] 2025-12-15 | Estimating parameters of the diffusion model via asymptotic expansions
[arXiv] 2025-12-15 | USTM: Unified Spatial and Temporal Modeling for Continuous Sign Language Recognition
[arXiv] 2025-12-15 | Gate-Tunable Giant Negative Magnetoresistance in Tellurene Driven by Quantum Geometry
[arXiv] 2025-12-15 | Multiclass Graph-Based Large Margin Classifiers: Unified Approach for Support Vectors and Neural Networks
[arXiv] 2025-12-15 | Riemannian gradient descent-based quantum algorithms for ground state preparation with guarantees
[arXiv] 2025-12-15 | Silicon photonic paper-clip spiral delay lines with ultra-low delay loss of 0.5 dB/ns
[arXiv] 2025-12-15 | Dual-Phase Federated Deep Unlearning via Weight-Aware Rollback and Reconstruction
[arXiv] 2025-12-15 | Epimorphism classes and relatively maximal metrics in large-scale geometry
[arXiv] 2025-12-15 | BlossomRec: Block-level Fused Sparse Attention Mechanism for Sequential Recommendations
