[2026-02-12 09:35:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-11
正在获取论文...
[arXiv] 2026-02-11 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[arXiv] 2026-02-11 | Accurate simulation of pulled and pushed fronts in the nonautonomous Fisher-KPP equation
[arXiv] 2026-02-11 | Dispersive detection of a charge qubit with a broadband high-impedance quantum-Hall plasmon resonator
[arXiv] 2026-02-11 | MERIT Feedback Elicits Better Bargaining in LLM Negotiators
[arXiv] 2026-02-11 | Informal and Privatized Transit: Incentives, Efficiency and Coordination
[arXiv] 2026-02-11 | Compute Only Once: UG-Separation for Efficient Large Recommendation Models
[arXiv] 2026-02-11 | Moire driven edge reconstruction in Fractional quantum anomalous Hall states
[arXiv] 2026-02-11 | QTALE: Quantization-Robust Token-Adaptive Layer Execution for LLMs
[arXiv] 2026-02-11 | Breaking the Curse of Repulsion: Optimistic Distributionally Robust Policy Optimization for Off-Policy Generative Recommendation
[arXiv] 2026-02-11 | Spatially-Periodic Cluster Pattern of Coupled Forced Oscillators
[arXiv] 2026-02-11 | Navigating heterogeneous protein landscapes through geometry-aware smoothing
[arXiv] 2026-02-11 | SecCodePRM: A Process Reward Model for Code Security
[arXiv] 2026-02-11 | Inference for High-Dimensional Local Projection
[arXiv] 2026-02-11 | Geometric spaceability in sequence classes and operator ideals
[arXiv] 2026-02-11 | GeoGR: A Generative Retrieval Framework for Spatio-Temporal Aware POI Recommendation
[arXiv] 2026-02-11 | Experimental Demonstration of Online Learning-Based Concept Drift Adaptation for Failure Detection in Optical Networks
[arXiv] 2026-02-11 | Symmetry Results for Cyclotomic Multiple Hurwitz Zeta Values via Contour Integrals
[arXiv] 2026-02-11 | Manipulating Bell nonlocality and entanglement in polarized electron-positron annihilation
[arXiv] 2026-02-11 | Collison of Orbits on an Elliptic Surface
[arXiv] 2026-02-11 | Triggers Hijack Language Circuits: A Mechanistic Analysis of Backdoor Behaviors in Large Language Models
[arXiv] 2026-02-11 | Effect of Reynolds number on triboelectric particle charging in turbulent channel flow
[arXiv] 2026-02-11 | Better Diameter Bounds for Efficient Shortcuts and a Structural Criterion for Constructiveness
[arXiv] 2026-02-11 | Spectral-Spatial Contrastive Learning Framework for Regression on Hyperspectral Data
[arXiv] 2026-02-11 | Self-Supervised Image Super-Resolution Quality Assessment based on Content-Free Multi-Model Oriented Representation Learning
[arXiv] 2026-02-11 | Kalman Linear Attention: Parallel Bayesian Filtering For Efficient Language Modelling and State Tracking
[arXiv] 2026-02-11 | Stochastic Design of Active RIS-Assisted Satellite Downlinks under Interference, Folded Noise, and EIRP Constraints
[arXiv] 2026-02-11 | Wave front set of solutions to Schrödinger equations with time-dependent magnetic fields
[arXiv] 2026-02-11 | Between equilibrium and fluctuation: Einstein's heuristic argument and Boltzmann's principle
[arXiv] 2026-02-11 | Transfer to Sky: Unveil Low-Altitude Route-Level Radio Maps via Ground Crowdsourced Data
[arXiv] 2026-02-11 | Error-Tolerant Quantum State Discrimination: Optimization and Quantum Circuit Synthesis
[arXiv] 2026-02-11 | BOute: Cost-Efficient LLM Serving with Heterogeneous LLMs and GPUs via Multi-Objective Bayesian Optimization
[arXiv] 2026-02-11 | A Diffusion-Based Generative Prior Approach to Sparse-view Computed Tomography
[arXiv] 2026-02-11 | Global strong solutions with large initial data for the Cauchy problem of the multi-dimensional compressible Navier-Stokes-Korteweg system
[arXiv] 2026-02-11 | AugVLA-3D: Depth-Driven Feature Augmentation for Vision-Language-Action Models
[arXiv] 2026-02-11 | Noncommutative $L_p$-differentiability and trace formulae
[arXiv] 2026-02-11 | VESPO: Variational Sequence-Level Soft Policy Optimization for Stable Off-Policy LLM Training
[arXiv] 2026-02-11 | An Efficient Energy Stable Structure Preserving Method for The Landau-Lifshitz Equation
[arXiv] 2026-02-11 | 3D-Printed Anisotropic Soft Magnetic Coating for Directional Rolling of a Magnetically Actuated Capsule Robot
[arXiv] 2026-02-11 | Averaging pre-Lie bialgebras
[arXiv] 2026-02-11 | Inclusive and multiplicity-dependent pseudorapidity densities of charged particles in pp collisions at $\mathbf{\sqrt{s} = 13.6}$ TeV
[arXiv] 2026-02-11 | Assessing Vision-Language Models for Perception in Autonomous Underwater Robotic Software
[arXiv] 2026-02-11 | Beyond Kemeny Medians: Consensus Ranking Distributions Definition, Properties and Statistical Learning
[arXiv] 2026-02-11 | Invisible Trails? An Identity Alignment Scheme based on Online Tracking
[arXiv] 2026-02-11 | Practical quantum tokens: challenges and perspectives
[arXiv] 2026-02-11 | Online Causal Kalman Filtering for Stable and Effective Policy Optimization
[arXiv] 2026-02-11 | Interplay of ion availability and mobility in the loss of cation selectivity for CaCl\textsubscript{2} in negatively charged nanopores: molecular dynamics using scaled-charge models
[arXiv] 2026-02-11 | A Kantorovich version of Bernstein-type logarithmic operators
[arXiv] 2026-02-11 | Flow-Enabled Generalization to Human Demonstrations in Few-Shot Imitation Learning
[arXiv] 2026-02-11 | Enhancing YOLOv11n for Reliable Child Detection in Noisy Surveillance Footage
[arXiv] 2026-02-11 | General Theory of Stable Microwave-Optical Quantum Resources in Hybrid-System Dynamics
[arXiv] 2026-02-11 | Geometric properties of slowly rotating black holes embedded in matter environments
[arXiv] 2026-02-11 | Campaign-2-PT-RAG: LLM-Guided Semantic Product Type Attribution for Scalable Campaign Ranking
[arXiv] 2026-02-11 | SplitCom: Communication-efficient Split Federated Fine-tuning of LLMs via Temporal Compression
[arXiv] 2026-02-11 | C^2ROPE: Causal Continuous Rotary Positional Encoding for 3D Large Multimodal-Models Reasoning
[arXiv] 2026-02-11 | Bridging the Compression-Precision Paradox: A Hybrid Architecture for Clinical EEG Report Generation with Guaranteed Measurement Accuracy
[arXiv] 2026-02-11 | Clutter-Aware Integrated Sensing and Communication: Models, Methods, and Future Directions
[arXiv] 2026-02-11 | Inequalities involving polynomials and quasimodular forms
[arXiv] 2026-02-11 | Quasiperiodicity-induced non-Hermitian skin effect from the breakdown of scale-free localization
[arXiv] 2026-02-11 | Data Repetition Beats Data Scaling in Long-CoT Supervised Fine-Tuning
[arXiv] 2026-02-11 | Data-Efficient Hierarchical Goal-Conditioned Reinforcement Learning via Normalizing Flows
[arXiv] 2026-02-11 | TabICLv2: A better, faster, scalable, and open tabular foundation model
[arXiv] 2026-02-11 | Divided powers on abelian varieties
[arXiv] 2026-02-11 | Just on Time: Token-Level Early Stopping for Diffusion Language Models
[arXiv] 2026-02-11 | Two-Level System Spectroscopy from Correlated Multilevel Relaxation in Superconducting Qubits
[arXiv] 2026-02-11 | Min-Sum Uniform Coverage Problem by Autonomous Mobile Robots
[arXiv] 2026-02-11 | PhyCritic: Multimodal Critic Models for Physical AI
[arXiv] 2026-02-11 | Floquet Control of Electron and Exciton Transport in Kekulé-Distorted Graphene
[arXiv] 2026-02-11 | Nonreciprocal many-body physics
[arXiv] 2026-02-11 | GameDevBench: Evaluating Agentic Capabilities Through Game Development
[arXiv] 2026-02-11 | Future Perspectives on Black Hole Jet Mechanisms: Insights from Next-Generation Observatories and Theoretical Developments
[arXiv] 2026-02-11 | MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning
[arXiv] 2026-02-11 | General Flexible $f$-divergence for Challenging Offline RL Datasets with Low Stochasticity and Diverse Behavior Policies
[arXiv] 2026-02-11 | Long-range electrostatics in atomistic machine learning: a physical perspective
[arXiv] 2026-02-11 | A statistic-swapping involution on the Cartesian product of the symmetric group $S_{kn}$ and the generalized symmetric group $S(k,n)$
[arXiv] 2026-02-11 | Ergotropic Mpemba crossings in finite-dimensional quantum batteries
[arXiv] 2026-02-11 | SQ-CBF: Signed Distance Functions for Numerically Stable Superquadric-Based Safety Filtering
[arXiv] 2026-02-11 | Exploiting the Structure in Tensor Decompositions for Matrix Multiplication
[arXiv] 2026-02-11 | Bayesian inference for tidal heating with extreme mass ratio inspirals
[arXiv] 2026-02-11 | Entanglement Entropy of Yukawa-Coupled Fields Across a Rindler Horizon
[arXiv] 2026-02-11 | Population Properties of Binary Black Holes with Eccentricity
[arXiv] 2026-02-11 | Bounding the Average Move Structure Query for Faster and Smaller RLBWT Permutations
[arXiv] 2026-02-11 | ContactGaussian-WM: Learning Physics-Grounded World Model from Videos
[arXiv] 2026-02-11 | When Fusion Helps and When It Breaks: View-Aligned Robustness in Same-Source Financial Imaging
[arXiv] 2026-02-11 | Mask-Based Window-Level Insider Threat Detection for Campaign Discovery
[arXiv] 2026-02-11 | TESS planets in known radial velocity cold Jupiter systems: Hot super Earth occurrence is enhanced by cold Jupiters
[arXiv] 2026-02-11 | Unidentified falling objects in the LHC as dark matter signals
[arXiv] 2026-02-11 | Dynamic Interference Management for TN-NTN Coexistence in the Upper Mid-Band
[arXiv] 2026-02-11 | Block encoding of sparse matrices with a periodic diagonal structure
[arXiv] 2026-02-11 | The selective use of physics knowledge in policy: how interdisciplinary physics bridges subfields and shapes policy influence
[arXiv] 2026-02-11 | SoftMatcha 2: A Fast and Soft Pattern Matcher for Trillion-Scale Corpora
[arXiv] 2026-02-11 | Multi-UAV Trajectory Optimization for Bearing-Only Localization in GPS Denied Environments
[arXiv] 2026-02-11 | Automated Model Design using Gated Neuron Selection in Telecom
[arXiv] 2026-02-11 | Identifying Behavioral Types
[arXiv] 2026-02-11 | Architecting Trust: A Framework for Secure IoT Systems Through Trusted Execution and Semantic Middleware
[arXiv] 2026-02-11 | Hidden Licensing Risks in the LLMware Ecosystem
[arXiv] 2026-02-11 | Exploring the impact of adaptive rewiring in Graph Neural Networks
[arXiv] 2026-02-11 | Improving CACC Robustness to Parametric Uncertainty via Plant Equivalent Controller Realizations
[arXiv] 2026-02-11 | The Dataset of Daily Air Quality for the Years 2013-2023 in Italy
[arXiv] 2026-02-11 | Benchmarking Large Language Models for Knowledge Graph Validation
[arXiv] 2026-02-11 | Hermitian Distance Degree of Unitary-Invariant Matrix Varieties
[arXiv] 2026-02-11 | Calliope: A TTS-based Narrated E-book Creator Ensuring Exact Synchronization, Privacy, and Layout Fidelity
[arXiv] 2026-02-11 | A QFT information protocol for charged black holes
[arXiv] 2026-02-11 | A closed form solution for Bayesian analysis of a simple linear mixed model
[arXiv] 2026-02-11 | Rising Multi-Armed Bandits with Known Horizons
[arXiv] 2026-02-11 | The Wasserstein gradient flow of the Sinkhorn divergence between Gaussian distributions
[arXiv] 2026-02-11 | Layer-dependent antiferromagnetic Chern and axion insulating states in UOTe
[arXiv] 2026-02-11 | Beyond Task Performance: A Metric-Based Analysis of Sequential Cooperation in Heterogeneous Multi-Agent Destructive Foraging
[arXiv] 2026-02-11 | Smart Lotteries in School Choice: Ex-ante Pareto-Improvement with Ex-post Stability
[arXiv] 2026-02-11 | TwiFF (Think With Future Frames): A Large-Scale Dataset for Dynamic Visual Reasoning
[arXiv] 2026-02-11 | Quasi-triangular dual pre-Poisson bialgebras and its connection with Poisson bialgebras
[arXiv] 2026-02-11 | Targeted Syntactic Evaluation of Language Models on Georgian Case Alignment
[arXiv] 2026-02-11 | AurigaNet: A Real-Time Multi-Task Network for Enhanced Urban Driving Perception
[arXiv] 2026-02-11 | UMEM: Unified Memory Extraction and Management Framework for Generalizable Memory
[arXiv] 2026-02-11 | Electron-impact cross sections for dissociation processes of vibrationally excited CH radical
[arXiv] 2026-02-11 | Observation of flow vector fluctuations in p$-$Pb collisions at $\mathbf{\sqrt{\textit{s}_{_{\bf NN}}}}=$ 5.02 TeV
[arXiv] 2026-02-11 | VideoSTF: Stress-Testing Output Repetition in Video Large Language Models
[arXiv] 2026-02-11 | Structural dissection of hadronic molecules: The $D^{(*)}\bar{K}^{(*)}$ family under QCD light-cone sum rules
[arXiv] 2026-02-11 | A Vision-Language Foundation Model for Zero-shot Clinical Collaboration and Automated Concept Discovery in Dermatology
[arXiv] 2026-02-11 | How Do Decoder-Only LLMs Perceive Users? Rethinking Attention Masking for User Representation Learning
[arXiv] 2026-02-11 | Bayesian Inference of Contextual Bandit Policies via Empirical Likelihood
[arXiv] 2026-02-11 | Roughness-Informed Federated Learning
[arXiv] 2026-02-11 | Fast Person Detection Using YOLOX With AI Accelerator For Train Station Safety
[arXiv] 2026-02-11 | Stability threshold for 3D Boussinesq equations with rotation near the Couette flow and stratified temperature
[arXiv] 2026-02-11 | Convergence of a scheme for a two dimensional nonlocal system of transport equations
[arXiv] 2026-02-11 | Deep Bootstrap
[arXiv] 2026-02-11 | Cosmic-ray electron propagation in NGC 3044 from radio continuum observations
[arXiv] 2026-02-11 | Virtual Theranostic Trials: New Approach Methodologies (NAMs) and Precision Radiopharmaceutical Therapies
[arXiv] 2026-02-11 | Morphogenetic Assembly and Adaptive Control for Heterogeneous Modular Robots
[arXiv] 2026-02-11 | On Touchard's Identity: Generalizations and Related Results
[arXiv] 2026-02-11 | Field-Deployable Hybrid Gravimetry: Projecting Absolute Accuracy Across a Remote 24km$^2$ Survey via Daily Quantum Calibration
[arXiv] 2026-02-11 | LAP: Language-Action Pre-Training Enables Zero-shot Cross-Embodiment Transfer
[arXiv] 2026-02-11 | Ferroelectric Quantum Point Contact in Twisted Transition Metal Dichalcogenides
[arXiv] 2026-02-11 | Enhancing Weakly Supervised Multimodal Video Anomaly Detection through Text Guidance
[arXiv] 2026-02-11 | Fungal systems for security and resilience
[arXiv] 2026-02-11 | Exploring the Interplay Between Voice, Personality, and Gender in Human-Agent Interactions
[arXiv] 2026-02-11 | Defect states as a precursor of the chimera states in a ring of non-locally coupled oscillators
[arXiv] 2026-02-11 | Generalized Robust Adaptive-Bandwidth Multi-View Manifold Learning in High Dimensions with Noise
[arXiv] 2026-02-11 | Drawing Your Programs: Exploring the Applications of Visual-Prompting with GenAI for Teaching and Assessment
[arXiv] 2026-02-11 | LHAW: Controllable Underspecification for Long-Horizon Tasks
[arXiv] 2026-02-11 | Consistency Meets Verification: Enhancing Test Generation Quality in Large Language Models Without Ground-Truth Solutions
[arXiv] 2026-02-11 | A non-semisimple Witt class
[arXiv] 2026-02-11 | Quantile optimization in semidiscrete optimal transport
[arXiv] 2026-02-11 | Division of Labor and Collaboration Between Parents in Family Education
[arXiv] 2026-02-11 | Boundary-Aware Multi-Behavior Dynamic Graph Transformer for Sequential Recommendation
[arXiv] 2026-02-11 | End-to-End LiDAR optimization for 3D point cloud registration
[arXiv] 2026-02-11 | Following Dragons: Code Review-Guided Fuzzing
[arXiv] 2026-02-11 | Computing Least Fixed Points with Overwrite Semantics in Parallel and Distributed Systems
[arXiv] 2026-02-11 | Abstraction Generation for Generalized Planning with Pretrained Large Language Models
[arXiv] 2026-02-11 | Driving Reaction Trajectories via Latent Flow Matching
[arXiv] 2026-02-11 | To Reconfigure or Not to Reconfigure: Optimizing All-to-All Collectives in Circuit-Switched Photonic Interconnects
[arXiv] 2026-02-11 | An improved algorithm for checking the Collatz conjecture for all n < 2^N
[arXiv] 2026-02-11 | Authenticated Workflows: A Systems Approach to Protecting Agentic AI
[arXiv] 2026-02-11 | Spacetime of rotating black holes surrounded by massive scalar charges
[arXiv] 2026-02-11 | LATA: A Tool for LLM-Assisted Translation Annotation
[arXiv] 2026-02-11 | The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis
[arXiv] 2026-02-11 | Constructing Industrial-Scale Optimization Modeling Benchmark
[arXiv] 2026-02-11 | Heat kernel for reflected jump diffusion on Ahlfors regular domains
[arXiv] 2026-02-11 | Identifying the source term in a viscoelastic membrane with a Riemann-Liouville time derivative by the partial interior observation
[arXiv] 2026-02-11 | Control Reinforcement Learning: Token-Level Mechanistic Analysis via Learned SAE Feature Steering
[arXiv] 2026-02-11 | Benchmarking Deep Learning and Statistical Target Detection Methods for PFM-1 Landmine Detection in UAV Hyperspectral Imagery
[arXiv] 2026-02-11 | A Dual-Stream Physics-Augmented Unsupervised Architecture for Runtime Embedded Vehicle Health Monitoring
[arXiv] 2026-02-11 | Filling Positions Without Transfers: Screening on Outside Options
[arXiv] 2026-02-11 | Erasure Thresholds for Hyperbolic and Semi-Hyperbolic Surface Codes
[arXiv] 2026-02-11 | LightGTS-Cov: Covariate-Enhanced Time Series Forecasting
[arXiv] 2026-02-11 | Gated Removal of Normalization in Transformers Enables Stable Training and Efficient Inference
[arXiv] 2026-02-11 | Modular Multi-Task Learning for Chemical Reaction Prediction
[arXiv] 2026-02-11 | Entanglement redistribution of hyperon-antihyperon pair via sequential decay
[arXiv] 2026-02-11 | Affordances Enable Partial World Modeling with LLMs
[arXiv] 2026-02-11 | Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs
[arXiv] 2026-02-11 | Colorful Talks with Graphs: Human-Interpretable Graph Encodings for Large Language Models
[arXiv] 2026-02-11 | When Tables Go Crazy: Evaluating Multimodal Models on French Financial Documents
[arXiv] 2026-02-11 | Interpretable Vision Transformers in Monocular Depth Estimation via SVDA
[arXiv] 2026-02-11 | CLI-Gym: Scalable CLI Task Generation via Agentic Environment Inversion
[arXiv] 2026-02-11 | A Human-Centric Framework for Data Attribution in Large Language Models
[arXiv] 2026-02-11 | Golombic and Levine sequences
[arXiv] 2026-02-11 | TVCACHE: A Stateful Tool-Value Cache for Post-Training LLM Agents
[arXiv] 2026-02-11 | Expected area of the star hull of planar Brownian motion and bridge
[arXiv] 2026-02-11 | Note on the trace of random walks on pseudorandom graphs
[arXiv] 2026-02-11 | Weighting-Based Identification and Estimation in Graphical Models of Missing Data
[arXiv] 2026-02-11 | Integrating granular data into a multilayer network: an interbank model of the euro area for systemic risk assessment
[arXiv] 2026-02-11 | What do people want to fact-check?
[arXiv] 2026-02-11 | An Enhanced Formation Channel for Galactic Dual-Line Gravitational-Wave Sources: von Zeipel-Lidov-Kozai effect in Triples Involving Sgr A*
[arXiv] 2026-02-11 | Implicit representations via the polynomial method
[arXiv] 2026-02-11 | Low energy $\varepsilon$-harmonic maps into the round sphere
[arXiv] 2026-02-11 | Training-Free Stimulus Encoding for Retinal Implants via Sparse Projected Gradient Descent
[arXiv] 2026-02-11 | Biomimetic Mantaray robot toward the underwater autonomous -- Experimental verification of swimming and diving by flapping motion -
[arXiv] 2026-02-11 | Weak Annihilation Contribution to Angular Observables in $B_{c}^+\to D^{\ast+}\ell^{+}\ell^{-}$ Decays
[arXiv] 2026-02-11 | Reevaluating thermal instability in a uniform plasma: an extended analysis of instability domains
[arXiv] 2026-02-11 | Deep and Sparse Denoising Benchmarks for Spectral Data Cubes of High-z Galaxies: From Simulations to ALMA observations
[arXiv] 2026-02-11 | Hybrid Methods for Friedrichs Systems with Application to Scalar and Vector Diffusion-Advection Problems
[arXiv] 2026-02-11 | Diagnosing Structural Failures in LLM-Based Evidence Extraction for Meta-Analysis
[arXiv] 2026-02-11 | The metal-poor tail of the APOGEE survey I. Uncovering [Fe/H] < -2.5 stars from the inner Galaxy to the Magellanic Clouds
[arXiv] 2026-02-11 | Hyperspectral Smoke Segmentation via Mixture of Prototypes
[arXiv] 2026-02-11 | Factorised stationary states for a long range misanthrope process
[arXiv] 2026-02-11 | Iterated Hopf Ore Extensions over Group Rings
[arXiv] 2026-02-11 | Regularities for McKean-Vlasov SDEs with Local Distributional Interactions
[arXiv] 2026-02-11 | SimuScene: Training and Benchmarking Code Generation to Simulate Physical Scenarios
[arXiv] 2026-02-11 | Emulation of large-scale qubit registers with a phase space approach
[arXiv] 2026-02-11 | Less is More: The Dilution Effect in Multi-Link Wireless Sensing
[arXiv] 2026-02-11 | Bayesian Persuasion under Bias Management
[arXiv] 2026-02-11 | RePO: Bridging On-Policy Learning and Off-Policy Knowledge through Rephrasing Policy Optimization
[arXiv] 2026-02-11 | Why Does RL Generalize Better Than SFT? A Data-Centric Perspective on VLM Post-Training
[arXiv] 2026-02-11 | A new infinitesimal form of the Prékopa--Leindler inequality with multiplicative structure and applications
[arXiv] 2026-02-11 | IMITATOR4AMAS: Strategy Synthesis for STCTL
[arXiv] 2026-02-11 | Deep Learning-based Method for Expressing Knowledge Boundary of Black-Box LLM
[arXiv] 2026-02-11 | From complex to non-Archimedean geometry: an approach to the YTD conjecture
[arXiv] 2026-02-11 | Trading in CEXs and DEXs with Priority Fees and Stochastic Delays
[arXiv] 2026-02-11 | Bayesian Signal Component Decomposition via Diffusion-within-Gibbs Sampling
[arXiv] 2026-02-11 | A multidimensional landscape of the $η$ and $η'$ mesons
[arXiv] 2026-02-11 | LOREN: Low Rank-Based Code-Rate Adaptation in Neural Receivers
[arXiv] 2026-02-11 | SurfPhase: 3D Interfacial Dynamics in Two-Phase Flows from Sparse Videos
[arXiv] 2026-02-11 | Beyond VLM-Based Rewards: Diffusion-Native Latent Reward Modeling
[arXiv] 2026-02-11 | GENIUS: Generative Fluid Intelligence Evaluation Suite
[arXiv] 2026-02-11 | APEX: Learning Adaptive High-Platform Traversal for Humanoid Robots
[arXiv] 2026-02-11 | LCIP: Loss-Controlled Inverse Projection of High-Dimensional Image Data
[arXiv] 2026-02-11 | Weight Decay Improves Language Model Plasticity
[arXiv] 2026-02-11 | On Sets That Encode Themselves
[arXiv] 2026-02-11 | Formalization and inevitability of the Pareto principle
[arXiv] 2026-02-11 | The Offline-Frontier Shift: Diagnosing Distributional Limits in Generative Multi-Objective Optimization
[arXiv] 2026-02-11 | Non-thermal X-ray Emission from Merging Massive Black Hole Binaries
