[2026-08-21 03:05:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | A Fully Automated, Deployment-Aware Testing Pipeline for IoT-Based Automotive Applications
[arXiv] 2026-08-20 | Martingale R-learner: Estimating Time-varying Heterogeneous Treatment Effects for Time-to-event Outcomes
[arXiv] 2026-08-20 | Loss-Resilient Semantic Communication over Packet-Loss Networks at Extreme-Low Bandwidth
[arXiv] 2026-08-20 | OrthoSkillVLA: Continual Skill Learning via Gradient-Informed Skill Subspace Adaptation
[arXiv] 2026-08-20 | Kähler landscapes for complex neural network descents and guarantees including a search and destroy of the Calabi-Yau manifold
[arXiv] 2026-08-20 | Physics-guided machine learning for sim-to-real calibration of NV diamond magnetometers
[arXiv] 2026-08-20 | A Two-Stage Time-Aware Transformer for Short-Horizon AECOPD Risk Prediction
[arXiv] 2026-08-20 | The minimum number of Dehn $\mathbb Z$-colors of any nonsplittable $\mathbb Z$-colorable link is three
[arXiv] 2026-08-20 | Reliable Financial Named Entity Recognition under Domain Shift
[arXiv] 2026-08-20 | The VariableTNG project: mass-dependent regulation of galaxy morphology by baryonic feedback
[arXiv] 2026-08-20 | Multimodal Trajectory Planning for Surface Vehicles using Turning Circle-based Control Barrier Functions
[arXiv] 2026-08-20 | Quantum Energy Storage versus Heat-to-Work Conversion in an Interacting Spin System
[arXiv] 2026-08-20 | On the Value Function of Infinite-Horizon Optimal Control of Piecewise Affine Systems
[arXiv] 2026-08-20 | When Machines Speak: A Unified Generative Framework for Integrating Machine-Native Symbols into Pretrained Large Language Models
[arXiv] 2026-08-20 | Physics-Based versus Data-Driven Classification of Single-Photon Quantum Emitters from Sparse Autocorrelation Data
[arXiv] 2026-08-20 | Beyond Integrability Preserving Renormalization-Group Protocol in Non-Hermitian Hamiltonians with Time-Dependent Interaction Strengths
[arXiv] 2026-08-20 | Sets of nice recurrence are partition regular
[arXiv] 2026-08-20 | The Forward-Backward Disconnect: State Dynamics, Credit Assignment, and Biological Grounding in Neural Computation
[arXiv] 2026-08-20 | Mean curvature bounds for the obstacle problem
[arXiv] 2026-08-20 | Internal numerical semigroups
[arXiv] 2026-08-20 | Resonant state expansion for acoustic resonators. Part I. Eigenvalue problem
[arXiv] 2026-08-20 | Explicit birational models of marked elliptic surfaces of relative degree two
[arXiv] 2026-08-20 | Flow Matching Meets 3D Curvilinear Structure Segmentation in Medical Imaging
[arXiv] 2026-08-20 | G-MARK: Grounded Multi-Agent Reasoning for Cooperative Driving via Knowledge Graphs
[arXiv] 2026-08-20 | Spectral minimal partitions of combinatorial graphs
[arXiv] 2026-08-20 | Tracking the Trend in How Speech Synthesizers Deceive People
[arXiv] 2026-08-20 | Natural Language Code Retrieval for 1C:Enterprise: An Open Benchmark and Efficient Bi-Encoder
[arXiv] 2026-08-20 | Classification of global solutions to the singular equation $-Δu=f(X)\cdot u^{-γ}$ in a Lipschitz epigraphical cone
[arXiv] 2026-08-20 | Enumeration of plane hypermaps with a mixed boundary I
[arXiv] 2026-08-20 | A Privacy Budgeting Framework for Online Experimentation
[arXiv] 2026-08-20 | Imaginary time evolution of a quantum system through analytic continuation from real-time quantum simulation
[arXiv] 2026-08-20 | Diagonalization of the Landau Hamiltonian with a Periodic Potential via a Galerkin Projection Method and Applications to Topological Band Properties
[arXiv] 2026-08-20 | SoilWaterNow: Soil water nowcasting for mapping plant available water (PAW) across paddocks for improved on-farm decision-making
[arXiv] 2026-08-20 | SN 2021pfs: A Type Ia Supernova Likely Affected by Progenitor Metallicity, as Revealed by Comparison with Its Twin Counterpart
[arXiv] 2026-08-20 | Effect of ion temperature on lunar photoelectron sheath
[arXiv] 2026-08-20 | An Overview of Potential Medical Applications of Microwave Kinetic Inductance Detectors
[arXiv] 2026-08-20 | On the Numerical Range of Linear Relations in Banach Spaces
[arXiv] 2026-08-20 | On the Local boundedness and higher integrability for the subcritical doubly nonlinear parabolic systems
[arXiv] 2026-08-20 | Evidence Before Expansion: Reuse, Spawn, or Defer in Lifelong Expert Pools
[arXiv] 2026-08-20 | A solvent-flux theory for nonequilibrium swelling dynamics of thermoresponsive microgels
[arXiv] 2026-08-20 | TESTNAV: Pareto-Guided Search for Compositional Robustness Testing
[arXiv] 2026-08-20 | A Repeated Measurements Approach to $SoH$ Battery Modelling of Cyclic Aged Data in a Laboratory Environment
[arXiv] 2026-08-20 | Resource-Efficient Bio-Molecular Docking on a NISQ-era Digital Quantum Computer
[arXiv] 2026-08-20 | A 360-Degree Vision Dataset for Learning Yaw Control on GPS-Denied Micro-UAVs in Disaster-Response-Relevant Environments
[arXiv] 2026-08-20 | One more Sine-Gordon soliton in AdS
[arXiv] 2026-08-20 | Specification-delta-driven data governance: an empirical study of the «spec-delta» as the unit of change in lakehouse data platforms
[arXiv] 2026-08-20 | On symmetric systems of transport equations
[arXiv] 2026-08-20 | Categorification in Representation Theory
[arXiv] 2026-08-20 | Distributed Variational Quantum Eigensolver: Embarrassingly Parallel strategies on NISQ
[arXiv] 2026-08-20 | Rare Fluctuations from Normally Hyperbolic Invariant Manifolds
[arXiv] 2026-08-20 | A Central Disulfide Junction Drives Transient Network Formation in Elastin-Like Polypeptides, Enabling Low-Concentration Hydrogels
[arXiv] 2026-08-20 | Boundary-Weighted Fourier Inequalities for Convex Domains
[arXiv] 2026-08-20 | MileGPO: Milestone Inference with Local Evidence for Graph-Based Policy Optimization of Long-Horizon LLM Agents
[arXiv] 2026-08-20 | Stopping and Routing LLM Judge Panels
[arXiv] 2026-08-20 | SWE-bench Science: Can Coding Agents Resolve Engineering Tasks in Science?
[arXiv] 2026-08-20 | Modules with few Jordan blocks for rank $1$ groups of Lie type and related groups
[arXiv] 2026-08-20 | Coupled Optimal Transport with Landmark Constraints
[arXiv] 2026-08-20 | Real-rooted flow polynomials have only integer roots
[arXiv] 2026-08-20 | CoToGrasp: Contact-Topology-Conditioned Dexterous Grasp Synthesis via Canonical Workspace Learning
[arXiv] 2026-08-20 | Experimental Realization of Topological Surface Acoustic Wave Resonances under Surface Liquid Loading for Micro-volume sample Sensings
[arXiv] 2026-08-20 | Gradient flow towards quantum states with ideal quantum geometry
[arXiv] 2026-08-20 | Cluster finding with outskirt stellar masses and percolation
[arXiv] 2026-08-20 | Credit Without Ground Truth: Auditing Step-Level Credit Assignment in LLM Agents Against Executed Replay
[arXiv] 2026-08-20 | Hear2Act: Benchmarking When Prosody Should Change What an Assistant Does
[arXiv] 2026-08-20 | The Normal Procrustes Problem: A Riemannian Optimization Approach
[arXiv] 2026-08-20 | Symposium: Trust via Auditable Records for Communities of AI Scientist Agents
[arXiv] 2026-08-20 | Trace-Based Execution-Level Observability of VDM-SL Specifications
[arXiv] 2026-08-20 | An Analytical Two Incompressible Fluid Star with a Mixed Ordinary Dark Matter Core and an Ordinary Matter Envelope
[arXiv] 2026-08-20 | Exact Algebraic Computation of Learning Coefficients for Two-Dimensional Singular Models
[arXiv] 2026-08-20 | Ask Self, Ask Others: Relation Is All You Need
[arXiv] 2026-08-20 | FormalTCS: Benchmarking End-to-End Frontier Formal Theoretical Computer Science Research of Large Language Models
[arXiv] 2026-08-20 | Boltzmann counting in Hilbert space
[arXiv] 2026-08-20 | Symmetry-guided modal control in elliptical femtosecond-laser-written photonic waveguides
[arXiv] 2026-08-20 | Worst-Case Probability Bounds for Finite-Horizon Safety under Moment Uncertainty
[arXiv] 2026-08-20 | Performance-Guaranteed Reference Tracking With Power Directionality Constraints: Application to Controlled Stochastic Watersheds
[arXiv] 2026-08-20 | Planning-Oriented End-to-End Autonomous Driving: Architectures, Evaluation, and Emerging Paradigms
[arXiv] 2026-08-20 | Superconvergence and aliasing saturation in Sloan iteration for spherical integral equations
[arXiv] 2026-08-20 | Mid-infrared distributed-feedback lasing from black phosphorus under nanosecond excitation
[arXiv] 2026-08-20 | Backstepping-Guided Reinforcement Learning for Wide-Range Saint-Venant Canal Regulation
[arXiv] 2026-08-20 | Squeezed- and coherent-state quantum key distribution over a deployed hybrid fibre-free-space channel
[arXiv] 2026-08-20 | Effective Field Theory for Freezing Gravity with Minimally Coupled Matter
[arXiv] 2026-08-20 | Scattering for the focusing $H^{1/2}$-critical nonlinear Schrödinger equation with large data
[arXiv] 2026-08-20 | Singularity-Rank Signatures in Generalized Dirac Oscillators near a BTZ Horizon
[arXiv] 2026-08-20 | Toward Operational Solar Flare Peak Flux Nowcasting: A Strategy Combining Real-Time Data, Machine Learning, and NOAA Flare Detection Criteria
[arXiv] 2026-08-20 | Velocity Index Modulation for Movable Antenna Systems
[arXiv] 2026-08-20 | What You Can't See Is What You Learn: Restricted Evidence Visibility Favors Compositional Generalization in Shared-Genome Language-Model Societies
[arXiv] 2026-08-20 | A Canonical m-Atomic Decomposition of Bipartite Graphs via a Grid Model
[arXiv] 2026-08-20 | Radial Convex Geometry of Quantum States and Its Relation to Best Separable Approximation
[arXiv] 2026-08-20 | A dichotomy for the number of vertex-critical ($P_5$, $H$)-free graphs when $H$ is bipartite
[arXiv] 2026-08-20 | Symmetry-agnostic stellarators for collisionless confinement
[arXiv] 2026-08-20 | A three-dimensional typology of agency for advanced AI systems
[arXiv] 2026-08-20 | Anomalous behavior of native point defects in C2-ordered antiferromagnet $α$-MnO$_2$
[arXiv] 2026-08-20 | A Comprehensive p-VEM Framework for Advanced Variable Stiffness Plates with Arbitrary Shapes
[arXiv] 2026-08-20 | Temporal Fair Division of Indivisible Mixed Manna: Tractable Settings
[arXiv] 2026-08-20 | Positive scalar curvature Kähler metrics and shifted $K$-stability
[arXiv] 2026-08-20 | From Street View Imagery to Street Quality Indicators: Vision Language Inference for the Suburban 15-minute City
[arXiv] 2026-08-20 | Exact Fluctuation-Response Relations for Underdamped Langevin Dynamics
[arXiv] 2026-08-20 | Manifold Drift in Flow Preference Optimization: A Root Cause of Reward Hacking
[arXiv] 2026-08-20 | 4DAnyone: Create Anyone in 4D from a Casual Monocular Video
[arXiv] 2026-08-20 | G-CARL: Grounded Checklist-Aligned Reward Learning for Patient-Oriented Medical Report Interpretation
[arXiv] 2026-08-20 | $TCP_α$: Margin-Controlled Confidence estimation for reliable Music Information Retrieval
[arXiv] 2026-08-20 | Strange Metal Hall Effect in Underdoped BaFe$_2$(As$_{1-x}$P$_x$)$_2$
[arXiv] 2026-08-20 | AI4AI-Bench: Benchmarking LLM Agents in Algorithmic Design for Recursive Self-Improvement
[arXiv] 2026-08-20 | Projecting BrowseComp-Plus onto ClimbMix: Toward More Realistic Corpora for Agentic Search
[arXiv] 2026-08-20 | The Nearby Star Formation and Supernova Histories Reconstructed from Young Star Clusters
[arXiv] 2026-08-20 | Coherent states in quantum billiards constructed in the basis of the continued eigenfunctions
[arXiv] 2026-08-20 | Spectral Viterbo isomorphism: complex-oriented versus framed
[arXiv] 2026-08-20 | Inject, Align, Recover: Staged Post-Training for Retrieval-Free Document Knowledge Internalization
[arXiv] 2026-08-20 | Secrecy Rate Maximization for UAV-Mounted Six-Dimensional Movable IRS-Assisted ISAC Systems
[arXiv] 2026-08-20 | Learning Potts Models and $Z_3$ Toric Codes: Higher and Ordinary Nishimori Criticality
[arXiv] 2026-08-20 | Milnor's cartography problem
[arXiv] 2026-08-20 | DICS: Data-Informed Centroid Splitting for Decision Tree Classifiers
[arXiv] 2026-08-20 | Learning When to Think: Adaptive Reasoning for Test-Time Compute Allocation
[arXiv] 2026-08-20 | Notes on Hydrodynamic Limits and Related Topics
[arXiv] 2026-08-20 | Logarithmic depth compression of Heisenberg Hamiltonian simulation by fan-out parallelization, with built-in error detection
[arXiv] 2026-08-20 | Boundary layers and vanishing diffusivity in run-and-tumble models
[arXiv] 2026-08-20 | Intersecting families of permutations with a fixed number of cycles
[arXiv] 2026-08-20 | A Bayesian Edge-Space Framework for Whole-Connectome Inference in Multisite Autism Neuroimaging
[arXiv] 2026-08-20 | Directional Subdifferentials of the Value Function in Asplund Spaces
[arXiv] 2026-08-20 | SPT-3G+: A Cosmic Microwave Background Experiment for the South Pole Telescope
[arXiv] 2026-08-20 | Novel models of trait evolution via an expansion of Lande's fitness function: The Ornstein-Uhlenbeck process meets the Little Prince's boa
[arXiv] 2026-08-20 | Intensity-based scattering correction enables in vivo two-photon imaging beyond 1 mm
[arXiv] 2026-08-20 | Electronic Navigational Chart Change Classification
[arXiv] 2026-08-20 | On the proof of Bray's conjecture
[arXiv] 2026-08-20 | Explainability by Design: Structured Kolmogorov-Arnold Networks over Probabilistic Attributes for Speech Deepfake Source Tracing
[arXiv] 2026-08-20 | A Computationally Efficient Likelihood Approximation for Target Tracking in Time-Varying Multipath Channels
[arXiv] 2026-08-20 | A note on 4-forms in 8-dimensions
[arXiv] 2026-08-20 | Floquet Theory for Light-Driven Rotation of Dipolar and Multipolar Particles
[arXiv] 2026-08-20 | From Agent Behaviour to Agent-Friendly Documentation: An Empirical Study of How Coding Agents Discover, Read, and Write Technical Documentation
[arXiv] 2026-08-20 | A Unified Theoretical Framework for Photoemission and Its Inverse: Reciprocity, Spin, and Photon Polarization
[arXiv] 2026-08-20 | Small circumference in regular sublinear expanders
[arXiv] 2026-08-20 | Decompositions of good involutions on quandles
[arXiv] 2026-08-20 | Algorithms, Complexity, and Entropy of the Bernard-Letac Fair-Sampling Construction
[arXiv] 2026-08-20 | Nonthermal Dynamics of a One-dimensional Rydberg-atom Chain with Constraint Four-body Interactions
[arXiv] 2026-08-20 | Growth Without Us: Machine Consumers, Corporate Circularity, and the Decoupling of GDP from Humanity after AGI
[arXiv] 2026-08-20 | Probabilities beyond Belnap-Dunn logic: dealing with gaps, gluts and reliability
[arXiv] 2026-08-20 | Self-Normalizing Denominators in Rational Causal Estimation
[arXiv] 2026-08-20 | Daedalus-150M: A Convolution-Attention Hybrid Designed for CPU Inference
[arXiv] 2026-08-20 | RoMAN-Flow: Taming Autoregressive Normalizing Flows for Offline Reinforcement Learning in Robotic Manipulation
[arXiv] 2026-08-20 | ContractScrub: A benchmark for final review of legal contracts
[arXiv] 2026-08-20 | The Third Restructuring of Software Form: From the Three-Tier Architecture to Storage, Models, and Agents
[arXiv] 2026-08-20 | On the closed solution of a problem coupling fluid infiltration with a hydration reaction
[arXiv] 2026-08-20 | Decoding silent reading from non-invasive EEG
[arXiv] 2026-08-20 | PEtab SciML: an exchange format for specifying and training dynamic scientific machine learning models
[arXiv] 2026-08-20 | Adaptive RBFNN Control of Uncertain Bilateral Teleoperation Systems with Delay-Dependent LMI Stability Conditions
[arXiv] 2026-08-20 | A Buchdahl solution generator for Einstein-sigma gravity and multiscalar-tensor gravity
[arXiv] 2026-08-20 | Hofer-Zehnder capacity as a geodesic selector
[arXiv] 2026-08-20 | The exact Spearman rho-footrule region via optimal transport with applications to finite rankings, mixability, and Chatterjee's rank correlation
[arXiv] 2026-08-20 | Quantifying over Optimal MSO-Definable Sets on Graphs of Bounded Clique-Width
[arXiv] 2026-08-20 | Koszul cohomology of Čech cohomology modules
[arXiv] 2026-08-20 | BreakGuard: Towards Detecting Dependency Breaking Changes with LLM-Generated Tests
[arXiv] 2026-08-20 | Orbit equivalence and total weak mixing of free group actions
[arXiv] 2026-08-20 | G3Ego: Gaze-Guided Graphs for Egocentric Action Understanding
[arXiv] 2026-08-20 | Biorthogonal Conformal Dynamics in Non-Hermitian Quantum Quenches
[arXiv] 2026-08-20 | Artificial Intelligence for Workflow Analysis in Colorectal Surgery: A Multicentric, Cross-Procedural Development and Generalization Study
[arXiv] 2026-08-20 | Petri Net Description of Biological Neural Circuits for Fast Hardware Prototyping
[arXiv] 2026-08-20 | The entropy spectrum of hyperbolic surfaces
[arXiv] 2026-08-20 | Formal Performance and Compile Time Guarantees for Compiler Optimization Heuristics
[arXiv] 2026-08-20 | Testing Statistical Isotropy in the FRB Sky Distribution: A Selection-Function-Aware Framework
[arXiv] 2026-08-20 | Variation of Iwasawa Invariants for Ordinary Representations
[arXiv] 2026-08-20 | Navigating and Retrieving Information in Immersive Model-Based Design Reviews: An Exploratory Study
[arXiv] 2026-08-20 | ArmorOCR: Grounded Adversarial Visual Perception via Observation-Transferred Self-Distillation
[arXiv] 2026-08-20 | When Text and Numbers Disagree: Evidence Arbitration in Large Language Models
[arXiv] 2026-08-20 | DECOWAM: Decoupled Whole-Body World-Action Model for Legged Mobile Manipulation
[arXiv] 2026-08-20 | Josephson transport in YBa${}_{2}$Cu${}_{3}$O${}_{7}$ weak links created by focused-helium-ion-beam irradiation: Analysis based on diffusive-SNS-junction model
[arXiv] 2026-08-20 | A Meta-Study on Replication Papers in Usable Security & Privacy
[arXiv] 2026-08-20 | An AI-discovered smooth random fast dynamo on $\mathbb{T}^3$
[arXiv] 2026-08-20 | Largest bulk gap of the complex Ginibre ensemble
[arXiv] 2026-08-20 | Fluctuation-Controlled Asymmetric Kinetics in Metal-Insulator Transitions
[arXiv] 2026-08-20 | TrustRAG: Blockchain-Enhanced RAG via Committee-Based Credibility Scoring
[arXiv] 2026-08-20 | HandMvNet: Real-Time 3D Hand Pose Estimation Using Multi-View Cross-Attention Fusion
[arXiv] 2026-08-20 | What Do Visualization Instructors Want Students to Learn? Introducing a Concept Inventory for Visualization Design
[arXiv] 2026-08-20 | Domain derivative and shape reconstruction for an inverse backscattering problem for the wave equation
[arXiv] 2026-08-20 | Parameterized Complexity of Temporal Agony
[arXiv] 2026-08-20 | Characterizations of continuous adequate objective functions for ordinal or interval scaled data
[arXiv] 2026-08-20 | V-REX: Efficient Specialist VLM Training for Veterinary X-Rays
[arXiv] 2026-08-20 | Flexibility for the Three-Dimensional Navier-Stokes Equations via Moving Hill Vortices
[arXiv] 2026-08-20 | Classification of Deza graphs from anisotropic association schemes of quadrics
[arXiv] 2026-08-20 | An Inclusive and Lightweight Approach to Federated Continual Learning for Cultural Heritage
[arXiv] 2026-08-20 | Amorphous and Nanocrystalline Topological Semimetal YPtBi/W/CoFeB Heterostructures for BEOL-Compatible Spin-Orbit Torque Devices
[arXiv] 2026-08-20 | Emergence of cooperation: A reputation-modulated reinforcement learning
[arXiv] 2026-08-20 | GenMatch: An End-to-End Generative Matching Framework for Micro-View Order-Dispatching in Ride-Hailing
[arXiv] 2026-08-20 | Multiplexing of Continuous-Variable and Discrete-Variable Quantum Key Distribution Systems over Fibered and Free-Space Channels
[arXiv] 2026-08-20 | A Bayesian Time-Varying SEIARD Model for State-Level COVID-19 Transmission and Mortality in the United States
[arXiv] 2026-08-20 | Iterative Projection-Based Embedding Scheme Combined with Variational Quantum Eigensolver
[arXiv] 2026-08-20 | Heavy-flavour production and correlations in pp collisions: precision tests of pQCD and hadronisation with ALICE
[arXiv] 2026-08-20 | Multi-scale Memory and Regime Shift in the Hyperactive Repeating FRB 20240114A
[arXiv] 2026-08-20 | High-Multiplicity Flexible Job Shops: From Exact Recurrent Fluid Attainment to Structure-Guided Finite-Horizon Scheduling
[arXiv] 2026-08-20 | Robust Cross-Modal Foundation Model Perception for Underwater Robots under Degraded Visual Conditions
[arXiv] 2026-08-20 | Calibrated submanifolds, adiabatic limit, and gradient graphs
[arXiv] 2026-08-20 | Open cover specification property and Chaos
[arXiv] 2026-08-20 | Can Stochastic Clocks in FLRW Minisuperspace Prevent Dynamical Singularities?
[arXiv] 2026-08-20 | Open quantum system approach to the Unruh-DeWitt detector in impulsive plane wave spacetimes
[arXiv] 2026-08-20 | OutThere Survey: Addressing $\mathrm{ξ_{ion}}$ and $\mathrm{f_{esc}}$ with a population of average galaxies at z$\sim$2
[arXiv] 2026-08-20 | CacheRoute: Planned Prefix-Affinity Routing for Large-Scale LLM Serving
[arXiv] 2026-08-20 | SAGE-XGBoost: Spatially Augmented Graph Embeddings--Machine Learning Framework for Natural Hazards Susceptibility Mapping under Data Scarcity
[arXiv] 2026-08-20 | Diversity of Ionized Gas Structures in Nearby Metal-poor Dwarf Galaxies
[arXiv] 2026-08-20 | MUST-PET: MUltimodal Self-supervised learning across Tracers for whole-body PET/CT-based lesion segmentation
[arXiv] 2026-08-20 | Training-Free LLM-Based Recommendation with Post-LLM Item Refinement Using Collaborative Signals
[arXiv] 2026-08-20 | Norm of the generalized Hilbert operator on Hardy spaces
[arXiv] 2026-08-20 | Rationally Enriched Chebyshev Trunk Bases for DeepONet Surrogates of High Péclet Entrance Transport
[arXiv] 2026-08-20 | The UKIRT M33 Monitoring Project: A 15-Year Near-Infrared Variable Star Catalogue for the Central Kiloparsec, and Prospects for Star Formation History and Dust Return
[arXiv] 2026-08-20 | Can Agent Memory Systems Track Evolving State?
[arXiv] 2026-08-20 | Giant orbital Hall effect from cubic Dresselhaus orbital coupling
[arXiv] 2026-08-20 | PL-NBA: A Possession-level Universal Basketball Video Dataset Supporting Multiple Visual Understanding Tasks
[arXiv] 2026-08-20 | When Guidance Goes Off-Scale: Recalibrating Diffusion Transformers under Analog Compute-in-Memory Nonidealities
[arXiv] 2026-08-20 | Product Gap Mechanisms for Multi-Facility Location
[arXiv] 2026-08-20 | Optimality and Trade-offs in Fast BFT SMR (Extended Version)
[arXiv] 2026-08-20 | Auditing and Decomposing Feedback-Driven Evolution in LLM Test Generation under the Oracle Problem
[arXiv] 2026-08-20 | Scientific Data Skills: Enabling Agent-Ready Scientific Data Services at Scale
[arXiv] 2026-08-20 | Moore--Read construction and explicit monodromies of Laughlin states on Riemann surfaces
[arXiv] 2026-08-20 | Borelness of Moduli Spaces of Metrics Implies Separability
[arXiv] 2026-08-20 | High fidelity control of superconducting qubits with optical transmitted signal
[arXiv] 2026-08-20 | Uniform estimates for complex Monge-Ampère equations: big cohomology classes
[arXiv] 2026-08-20 | Localized Ecological Momentary Assessment for Mental Health Research in China: An Implementation-Oriented Framework and Preliminary Case Application
[arXiv] 2026-08-20 | Mix&Fix-Net: A Dual-Stage Trajectory Prediction Model for AIS and Vision-Derived Vessel Data
[arXiv] 2026-08-20 | Enforcing LLM Safety through DMD-based Classification of Prompt-Response Embedding Dynamics
[arXiv] 2026-08-20 | Convex order preservation for graphon mean-field systems
[arXiv] 2026-08-20 | Gradient regularity and potential estimates for fractional drift--diffusion equations in the critical and subcritical ranges
[arXiv] 2026-08-20 | DraftFM: A FoundationModel for Day-Zero Drafting in Magic: The Gathering
[arXiv] 2026-08-20 | Ultrafast optical coherence elastography for volumetric and dynamic in vivo imaging
[arXiv] 2026-08-20 | Stream4D: 4D-Consistency for Streaming Autoregressive Diffusion Video Models
[arXiv] 2026-08-20 | Generating Diverse Personas for User Simulators to Test Interview Dialogue Systems
[arXiv] 2026-08-20 | The number of limit cycles of piecewise linear Liénard systems
[arXiv] 2026-08-20 | Variational Quantum Circuit Parameterization of SchNet: A Simulator-Based Feasibility Study for Conservative Molecular Force Fields
[arXiv] 2026-08-20 | Quantitative bounds for sets lacking polynomial progressions with shifted prime difference
[arXiv] 2026-08-20 | LF-GICP: Parameter-Free Degeneracy-Aware LiDAR Odometry via a Voxel-Normal Localizability Field
[arXiv] 2026-08-20 | Dissipation-driven champion solitons in one-dimensional shallow-water waves
[arXiv] 2026-08-20 | Point-Based 3D Reconstruction from Sparse Views under Known Illumination
[arXiv] 2026-08-20 | Green BOA: Determining the environmental break-even point for ML-based data compression
[arXiv] 2026-08-20 | Resonance Raman spectroscopy from ab initio Hagedorn wavepacket dynamics
[arXiv] 2026-08-20 | COPA: Continual Preference Optimization for Adaptive Prompt Injection Defense
[arXiv] 2026-08-20 | HealMed: Multilingual Evaluation of Large Language Models in Medicine
[arXiv] 2026-08-20 | Validation of a driver model for energy consumption simulations of road vehicles
[arXiv] 2026-08-20 | Open-Vocabulary 3D Object Detection with Co-Distillation Discovery and Dual Guidance Robust Training
[arXiv] 2026-08-20 | Unmasking the internal structure of casein micelles through enzymatic hydrolysis: A SAXS study
[arXiv] 2026-08-20 | A low-temperature setup for lock-in technique based dynamic magnetoelectric coupling measurements
[arXiv] 2026-08-20 | MILD: Tractable Terrain Modeling for Learning Improved Bipedal Locomotion on Deformable Surfaces
[arXiv] 2026-08-20 | New Complexity Results for Fair Repetitive Scheduling
[arXiv] 2026-08-20 | Dynamic Gated Cross-Modal Fusion with Sarcastic-aware Contrastive Regularization for Multimodal Sarcasm Detection
[arXiv] 2026-08-20 | ParaWeb: Parallel Programming Patterns for Web Development
