[2026-03-01 09:18:03] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-28
正在获取论文...
[ACM] 2026-2-28 | Designing a Question-Asking AI to Cultivate Epistemic Curiosity in Information Seeking
[ACM] 2026-2-28 | Designing for Complex Information Needs: A Case Study in Special Education Health Services and Future Information Retrieval Systems
[ACM] 2026-2-28 | Rare but Respected: Sustainable Intent in Online Product Search
[ACM] 2026-2-28 | Length Effects in Conversation-Style Sustainability Information for Ethical Consumption: An Eye-tracking Study
[ACM] 2026-2-28 | Beyond the Query: A Survey Design for Eliciting Underlying Motivations in Web Search
[ACM] 2026-2-28 | Complementary and Alternative Medicine (CAM) Information Seeking Behavior for Menopause Amongst Migrant Women
[ACM] 2026-2-28 | Workshop on Generative AI and Academic Search (GAI&amp;AS)
[ACM] 2026-2-28 | Beyond KAN: Introducing KarSein for Adaptive High-Order Feature Interaction Modeling in CTR Prediction
[ACM] 2026-2-28 | Dynamic De-Redundancy and Modality-Guided Feature De-Noisy for Multimodal Recommendation
[ACM] 2026-2-28 | In-Browser Agents for Search Assistance
[ACM] 2026-2-28 | SearchPath: A Visual Reminder of Past Search Activity to Support Students with Dyslexia when Undertaking Exploratory Searches
[ACM] 2026-2-28 | Understanding the Effects of Conversational Agent Personality on the Credibility of LLM-Based Conversational Search
[ACM] 2026-2-28 | Multi Omics Data Integration and Clustering for Disease Subtype Discovery Using SNF and NEMO Algorithms
[ACM] 2026-2-28 | Enhancing Low-Resource Joint Entity and Relation Extraction Using Large Language Models within Semi-Supervised Learning
[ACM] 2026-2-28 | Label-Free 3D Virtual Staining of Urine Cytology Using Holotomography and GAN-Based Deep Learning
[ACM] 2026-2-28 | Comparison of YOLOv5 and YOLOv8 in Mycobacterium Tuberculosis Detection
[ACM] 2026-2-28 | From Principles to Practice: A Design Framework for Patient-Centered Conversational AI in Digital Medicine
[ACM] 2026-2-28 | Witness Generation for Classical JSON Schema
[ACM] 2026-2-28 | A Multi-Year Survey of Use and Perceptions of Generative AI in Higher Education
[ACM] 2026-2-28 | Retrieval-Augmented Search for Large-Scale Map Collections with ColPali
[ACM] 2026-2-28 | Navigating an Evolving Landscape: Exploring Researchers' Interactions with AI-Enhanced Academic Search Systems
[ACM] 2026-2-28 | Tip-of-the-Tongue Search in the Wild: Analyzing Human and LLM Performance and Success Factors on Complex Search Requests
[ACM] 2026-2-28 | Interest-Driven Search in AI-Mediated Information Environments: An Audio Diary Study
[ACM] 2026-2-28 | Electromagnetic Diagnosis of First Stage Breast Cancer
[ACM] 2026-2-28 | Chinese Implicit Offensive Speech Detection Based on Knowledge Graph and Fuzzy Semantic
[ACM] 2026-2-28 | Can Instructed Retrieval Models Really Support Exploration?
[ACM] 2026-2-28 | A Questionnaire for Capturing Perceptions of Self-Regulated Learning Processes during Information Seeking
[ACM] 2026-2-28 | Don't Break the Flow: Supporting Deferral and Review of Potentially Serendipitous Information in Library Search
[ACM] 2026-2-28 | Bridging Classification and Localization in X-Ray Fracture Diagnosis via Weakly-Supervised Vision Transformers
[ACM] 2026-2-28 | Classifying More Rectangle Regions of Bacteria in Gram Stained Smears Images
[ACM] 2026-2-28 | Bias or Balance? Analyzing Stance in Google and Bing Results for the 2024 EU Parliament Election
[ACM] 2026-2-28 | AskAda: An AI-Anchored Conversational Agent for Scholarly Information Seeking in Educational Contexts to Improve Learning
[ACM] 2026-2-28 | Autonomy in Older Adults' Information Seeking with Information Agents
[ACM] 2026-2-28 | Do LLMs Understand Collaborative Signals? Diagnosis and Repair
[ACM] 2026-2-28 | Proceedings of the 2026 Conference on Human Information Interaction and Retrieval
[ACM] 2026-2-28 | Object Detection for “Clinical Bacterial Dataset”
[ACM] 2026-2-28 | A Formal Lens on Android Permissions System: Modeling, Verification, and Exploitation Using LLMs and Model Checking
[ACM] 2026-2-28 | Does It Still Make Sense? Organizing and Summarizing Resources in Cross-Session Aggregated Search
[ACM] 2026-2-28 | Information Farming
[ACM] 2026-2-28 | Bayesian Inference Reuse in Multilevel Models
[ACM] 2026-2-28 | Detecting Bacteria from Gram Stained Smears Images by SODIC-YOLO, YOLO-TLA and Mamba YOLO
[ACM] 2026-2-28 | CollabSearch: A Study of User-LLM Collaboration in Task-Based Search
[ACM] 2026-2-28 | From SERPs to Sound: How Search Engine Result Pages and AI-generated Podcasts Interact to Influence User Attitudes on Controversial Topics
[ACM] 2026-2-28 | An Exploration of Conversation Enhanced Browsing with Hypergraph of Text
[ACM] 2026-2-28 | Characterizing Personality from Eye-Tracking: The Role of Gaze and Its Absence in Interactive Search Environments
[ACM] 2026-2-28 | What Were You Thinking? An LLM-Driven Large-Scale Study of Refactoring Motivations in Open-Source Projects
[ACM] 2026-2-28 | Measuring the credibility of generative AI-produced information: An exploratory factor analysis
[ACM] 2026-2-28 | CHARISMA: Character-Based Interaction Simulation with Multi-LLM Agents Toward Computational Social Psychology
[ACM] 2026-2-28 | Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access
[ACM] 2026-2-28 | Measuring What Matters: Aligning System-Level RAG Metrics with User Trust in a High-Stakes Compliance Domain
[ACM] 2026-2-28 | Building Conversational Information Sources as Human-Centered Digital Persona Twins for Probation Officer Training
[ACM] 2026-2-28 | Cooking Up Politeness in Human–AI Information Seeking Dialogue
[ACM] 2026-2-28 | Effects of Working Memory Capacity and Search Task Complexity on Cognitive Load
[ACM] 2026-2-28 | MPGNet: Multi-Prompt Guided Diffusion Network for All-In-One Image Restoration
[ACM] 2026-2-28 | A Critical Reflection on the State of Data Analysis in Empirical Software Engineering
[ACM] 2026-2-28 | From Raw Waveforms to on-device Earthquake Detection: Real-Time Seismic Data Analysis for MCUs
[ACM] 2026-2-28 | Humility Is Not Optional: When Teaching Shades Into Pastoral Care
[ACM] 2026-2-28 | Does Cognitive Load Affect Human Accuracy in Detecting Voice-Based Deepfakes?
[ACM] 2026-2-28 | Expanded Tag Genomes for Cross-Domain Recommendation
[ACM] 2026-2-28 | Technology Use in Community Work: Operational Realities and Implications for Smart Cities
[ACM] 2026-2-28 | Linear Formal Verification of Sequential Circuits using Weighted-AIGs
[ACM] 2026-2-28 | Hierarchies of Minion Tests for PCSPs through Tensors
[ACM] 2026-2-28 | A Method for Improving the Accuracy of Biomagnetic Signal Inversion under Limited Field of View
[ACM] 2026-2-28 | Not All Transparency Is Equal: Source Presentation Effects on Attention, Interaction, and Persuasion in Conversational Search
[ACM] 2026-2-28 | The effects of goal-setting on learning during information seeking with generative AI
[ACM] 2026-2-28 | VoxVista: Enhancing Screen Reading Experience for Online User Comments
[ACM] 2026-2-28 | Cleo: A Transparent and Controllable Chatbot for Conversational Commerce
[ACM] 2026-2-28 | From Tool to Teacher: Rethinking Search Systems as Instructive Interfaces
[ACM] 2026-2-28 | An Execution Controller Enabling Autonomic Features in the Cloud-Native Environment
[ACM] 2026-2-28 | Realistic Adversarial Attacks for Robustness Evaluation of Trajectory Prediction Models via Future State Perturbation
[ACM] 2026-2-28 | Integration of CT Imaging and CFD-DEM for Predictive Modelling of Bio-Particle Dynamics in a Stenosed Coronary Artery
[ACM] 2026-2-28 | Fair and Direct Exchange of Non-Fungible Tokens: The ExNFT Approach
[ACM] 2026-2-28 | "Although Powerful, it's not Infallible": Investigating Academic Researchers' Verification Challenges with LLMs
[ACM] 2026-2-28 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'LpBound: Pessimistic Cardinality Estimation Using ?
                    <sub>p</sub>
                    -Norms of Degree Sequences'
[ACM] 2026-2-28 | Modelling and Visualizing Flows of Objects from Museums
[ACM] 2026-2-28 | A Contactless and non-invasive Analysis of Meibomian Gland Cyst Eye Disease Using Hyperspectral Imaging Camera
[ACM] 2026-2-28 | Proceedings of the 2025 8th International Conference on Digital Medicine and Image Processing
[ACM] 2026-2-28 | Building a Test Collection for Social Science Dataset Retrieval
[ACM] 2026-2-28 | Result Assessment Tool (RAT): An Open-Source Toolkit for Conducting Studies based on Search Results
[ACM] 2026-2-28 | "Can You Tell Me?": Designing Copilots to Support Human Judgement in Online Information Seeking
[ACM] 2026-2-28 | Interactive Taxonomy Development with Hybrid Methods
[ACM] 2026-2-28 | Enhancing Multimodal Brain Tumor Segmentation using Class-Balanced 3D Attention U-Net and Dropout in MRI images
[ACM] 2026-2-28 | Designing and Evaluating Generative AI Search Tools for Human Cognitive Augmentation
[ACM] 2026-2-28 | Efficient Neural Networks for Tiny Machine Learning: A Comprehensive Review
[ACM] 2026-2-28 | Controlled Experimentation of Model Search Behaviour with Geniie-Lab
[ACM] 2026-2-28 | The Martian Game: Exploring Open-Ended Question-Asking via an Online Gaming Environment
[ACM] 2026-2-28 | PulseSearch: Modeling Long- and Short-term Patterns for Personalized Music Search Suggestions
[ACM] 2026-2-28 | Micro-Behavioral Analysis of Online Shopping Patterns for Blind Users
[ACM] 2026-2-28 | Information Seeking in the Age of Agentic AI: A Half-Day Tutorial
[ACM] 2026-2-28 | Information Infrastructures of Play: Metadata, Discourse, and Storytelling in Iranian Video Games
[ACM] 2026-2-28 | Rules, Resources, and Restrictions: A Taxonomy of Task-Based Information Request Intents
[ACM] 2026-2-28 | AI-Generated Phishing: Combining Human Behavior with Post Content to Assess Susceptibility
[ACM] 2026-2-28 | SEA-u-lator: Privacy Preserving Social Engineering Attack Simulator for Gmail
[ACM] 2026-2-28 | Offscript: Agentic Auditing of Instruction Adherence in LLMs
[ACM] 2026-2-28 | Attention! Rethinking What We Measure in CHIIR Studies
共写入 116 条记录，保存到 papers/paper2026-02-28.json。
论文获取成功，文件路径: papers/paper2026-02-28.json
正在筛选、翻译并发送邮件...
[NO] 1/116 | Designing a Question-Asking AI to Cultivate Epistemic Curiosity in Information Seeking
[NO] 2/116 | "I don't know anything about laptops!" – User Perception of Digital Product Advisors Adapting to Their Knowledge Levels
[NO] 3/116 | The Bayesian Storyteller: An Interactive System for Human-AI Collaborative Pitch Book Narrative Generation
[NO] 4/116 | From SERPs to Agents: A Platform for Comparative Studies of Information Interaction
[NO] 5/116 | Information Overload in Information Seeking with Conversational Agents: A Survey and Design Considerations
[YES] 6/116 | High-Efficiency Bidirectional Translator between SystemC and Verilog
[NO] 7/116 | Quantification of dissimilarity between valued directed networks
[NO] 8/116 | Rethinking Human-AI Collaboration in Information Seeking: Why Epistemic Incompatibility Demands New Design Paradigms
[NO] 9/116 | The Influence of the Communication Medium on Data Storytelling
[NO] 10/116 | Supporting Humans in Evaluating AI Summaries of Legal Depositions
[NO] 11/116 | ImmiGo - An Adaptive Multilingual Chatbot for Immigration Assistance
[NO] 12/116 | Exploring Art through Internet Aesthetics
[NO] 13/116 | Implicit Humanization in Everyday LLM Moral Judgments
[NO] 14/116 | Improving Data Reusability in Interactive IR: Insights from the Community
[NO] 15/116 | Seek and You Shall Find: Design &amp; Evaluation of a Context-Aware Interactive Search Companion
[NO] 16/116 | Privacy Discourse and Emotional Dynamics in Mental Health Information Interaction on Reddit
[NO] 17/116 | Confirmation, Framing, and Position Biases in LLM Responses
[NO] 18/116 | The impact of generative AI search result design on user perceptions and information adoption
[NO] 19/116 | The Effects of Thinking Aloud on Participants during Search and Sensemaking
[NO] 20/116 | Simulation of Interactive Information Retrieval: A Guided Tour
[NO] 21/116 | Motion Intention Decoding and Training Effect Evaluation in Robot-assisted Upper Limb Rehabilitation based on MR-BCI
[NO] 22/116 | Hyperspectral Pansharpening using 3D VolumeNet and 2.5D Texture Transfer
[NO] 23/116 | Designing for Complex Information Needs: A Case Study in Special Education Health Services and Future Information Retrieval Systems
[NO] 24/116 | Rare but Respected: Sustainable Intent in Online Product Search
[NO] 25/116 | Length Effects in Conversation-Style Sustainability Information for Ethical Consumption: An Eye-tracking Study
[NO] 26/116 | Beyond the Query: A Survey Design for Eliciting Underlying Motivations in Web Search
[NO] 27/116 | Complementary and Alternative Medicine (CAM) Information Seeking Behavior for Menopause Amongst Migrant Women
[NO] 28/116 | Workshop on Generative AI and Academic Search (GAI&amp;AS)
[NO] 29/116 | Beyond KAN: Introducing KarSein for Adaptive High-Order Feature Interaction Modeling in CTR Prediction
[NO] 30/116 | Dynamic De-Redundancy and Modality-Guided Feature De-Noisy for Multimodal Recommendation
[NO] 31/116 | In-Browser Agents for Search Assistance
[NO] 32/116 | SearchPath: A Visual Reminder of Past Search Activity to Support Students with Dyslexia when Undertaking Exploratory Searches
[NO] 33/116 | Understanding the Effects of Conversational Agent Personality on the Credibility of LLM-Based Conversational Search
[NO] 34/116 | Multi Omics Data Integration and Clustering for Disease Subtype Discovery Using SNF and NEMO Algorithms
[NO] 35/116 | Enhancing Low-Resource Joint Entity and Relation Extraction Using Large Language Models within Semi-Supervised Learning
[NO] 36/116 | Label-Free 3D Virtual Staining of Urine Cytology Using Holotomography and GAN-Based Deep Learning
[NO] 37/116 | Comparison of YOLOv5 and YOLOv8 in Mycobacterium Tuberculosis Detection
[NO] 38/116 | From Principles to Practice: A Design Framework for Patient-Centered Conversational AI in Digital Medicine
[NO] 39/116 | Witness Generation for Classical JSON Schema
[NO] 40/116 | A Multi-Year Survey of Use and Perceptions of Generative AI in Higher Education
[NO] 41/116 | Retrieval-Augmented Search for Large-Scale Map Collections with ColPali
[NO] 42/116 | Navigating an Evolving Landscape: Exploring Researchers' Interactions with AI-Enhanced Academic Search Systems
[NO] 43/116 | Tip-of-the-Tongue Search in the Wild: Analyzing Human and LLM Performance and Success Factors on Complex Search Requests
[NO] 44/116 | Interest-Driven Search in AI-Mediated Information Environments: An Audio Diary Study
[NO] 45/116 | Electromagnetic Diagnosis of First Stage Breast Cancer
[NO] 46/116 | Chinese Implicit Offensive Speech Detection Based on Knowledge Graph and Fuzzy Semantic
[NO] 47/116 | Can Instructed Retrieval Models Really Support Exploration?
[NO] 48/116 | A Questionnaire for Capturing Perceptions of Self-Regulated Learning Processes during Information Seeking
[NO] 49/116 | Don't Break the Flow: Supporting Deferral and Review of Potentially Serendipitous Information in Library Search
[NO] 50/116 | Bridging Classification and Localization in X-Ray Fracture Diagnosis via Weakly-Supervised Vision Transformers
[NO] 51/116 | Classifying More Rectangle Regions of Bacteria in Gram Stained Smears Images
[NO] 52/116 | Bias or Balance? Analyzing Stance in Google and Bing Results for the 2024 EU Parliament Election
[NO] 53/116 | AskAda: An AI-Anchored Conversational Agent for Scholarly Information Seeking in Educational Contexts to Improve Learning
[NO] 54/116 | Autonomy in Older Adults' Information Seeking with Information Agents
[YES] 55/116 | Do LLMs Understand Collaborative Signals? Diagnosis and Repair
[NO] 56/116 | Proceedings of the 2026 Conference on Human Information Interaction and Retrieval
[NO] 57/116 | Object Detection for “Clinical Bacterial Dataset”
[YES] 58/116 | A Formal Lens on Android Permissions System: Modeling, Verification, and Exploitation Using LLMs and Model Checking
[NO] 59/116 | Does It Still Make Sense? Organizing and Summarizing Resources in Cross-Session Aggregated Search
[NO] 60/116 | Information Farming
[NO] 61/116 | Bayesian Inference Reuse in Multilevel Models
[NO] 62/116 | Detecting Bacteria from Gram Stained Smears Images by SODIC-YOLO, YOLO-TLA and Mamba YOLO
[NO] 63/116 | CollabSearch: A Study of User-LLM Collaboration in Task-Based Search
[NO] 64/116 | From SERPs to Sound: How Search Engine Result Pages and AI-generated Podcasts Interact to Influence User Attitudes on Controversial Topics
[NO] 65/116 | An Exploration of Conversation Enhanced Browsing with Hypergraph of Text
[NO] 66/116 | Characterizing Personality from Eye-Tracking: The Role of Gaze and Its Absence in Interactive Search Environments
[YES] 67/116 | What Were You Thinking? An LLM-Driven Large-Scale Study of Refactoring Motivations in Open-Source Projects
[NO] 68/116 | Measuring the credibility of generative AI-produced information: An exploratory factor analysis
[NO] 69/116 | CHARISMA: Character-Based Interaction Simulation with Multi-LLM Agents Toward Computational Social Psychology
[NO] 70/116 | Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access
[NO] 71/116 | Measuring What Matters: Aligning System-Level RAG Metrics with User Trust in a High-Stakes Compliance Domain
[NO] 72/116 | Building Conversational Information Sources as Human-Centered Digital Persona Twins for Probation Officer Training
[NO] 73/116 | Cooking Up Politeness in Human–AI Information Seeking Dialogue
[NO] 74/116 | Effects of Working Memory Capacity and Search Task Complexity on Cognitive Load
[NO] 75/116 | MPGNet: Multi-Prompt Guided Diffusion Network for All-In-One Image Restoration
[NO] 76/116 | A Critical Reflection on the State of Data Analysis in Empirical Software Engineering
[NO] 77/116 | From Raw Waveforms to on-device Earthquake Detection: Real-Time Seismic Data Analysis for MCUs
[NO] 78/116 | Humility Is Not Optional: When Teaching Shades Into Pastoral Care
[NO] 79/116 | Does Cognitive Load Affect Human Accuracy in Detecting Voice-Based Deepfakes?
[NO] 80/116 | Expanded Tag Genomes for Cross-Domain Recommendation
[NO] 81/116 | Technology Use in Community Work: Operational Realities and Implications for Smart Cities
[NO] 82/116 | Linear Formal Verification of Sequential Circuits using Weighted-AIGs
[NO] 83/116 | Hierarchies of Minion Tests for PCSPs through Tensors
[NO] 84/116 | A Method for Improving the Accuracy of Biomagnetic Signal Inversion under Limited Field of View
[NO] 85/116 | Not All Transparency Is Equal: Source Presentation Effects on Attention, Interaction, and Persuasion in Conversational Search
[NO] 86/116 | The effects of goal-setting on learning during information seeking with generative AI
[NO] 87/116 | VoxVista: Enhancing Screen Reading Experience for Online User Comments
[NO] 88/116 | Cleo: A Transparent and Controllable Chatbot for Conversational Commerce
[NO] 89/116 | From Tool to Teacher: Rethinking Search Systems as Instructive Interfaces
[NO] 90/116 | An Execution Controller Enabling Autonomic Features in the Cloud-Native Environment
[NO] 91/116 | Realistic Adversarial Attacks for Robustness Evaluation of Trajectory Prediction Models via Future State Perturbation
[NO] 92/116 | Integration of CT Imaging and CFD-DEM for Predictive Modelling of Bio-Particle Dynamics in a Stenosed Coronary Artery
[NO] 93/116 | Fair and Direct Exchange of Non-Fungible Tokens: The ExNFT Approach
[NO] 94/116 | "Although Powerful, it's not Infallible": Investigating Academic Researchers' Verification Challenges with LLMs
[NO] 95/116 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'LpBound: Pessimistic Cardinality Estimation Using ?
                    <sub>p</sub>
                    -Norms of Degree Sequences'
[NO] 96/116 | Modelling and Visualizing Flows of Objects from Museums
[NO] 97/116 | A Contactless and non-invasive Analysis of Meibomian Gland Cyst Eye Disease Using Hyperspectral Imaging Camera
[NO] 98/116 | Proceedings of the 2025 8th International Conference on Digital Medicine and Image Processing
[NO] 99/116 | Building a Test Collection for Social Science Dataset Retrieval
[NO] 100/116 | Result Assessment Tool (RAT): An Open-Source Toolkit for Conducting Studies based on Search Results
[NO] 101/116 | "Can You Tell Me?": Designing Copilots to Support Human Judgement in Online Information Seeking
[NO] 102/116 | Interactive Taxonomy Development with Hybrid Methods
[NO] 103/116 | Enhancing Multimodal Brain Tumor Segmentation using Class-Balanced 3D Attention U-Net and Dropout in MRI images
[NO] 104/116 | Designing and Evaluating Generative AI Search Tools for Human Cognitive Augmentation
[NO] 105/116 | Efficient Neural Networks for Tiny Machine Learning: A Comprehensive Review
[NO] 106/116 | Controlled Experimentation of Model Search Behaviour with Geniie-Lab
[NO] 107/116 | The Martian Game: Exploring Open-Ended Question-Asking via an Online Gaming Environment
[NO] 108/116 | PulseSearch: Modeling Long- and Short-term Patterns for Personalized Music Search Suggestions
[NO] 109/116 | Micro-Behavioral Analysis of Online Shopping Patterns for Blind Users
[NO] 110/116 | Information Seeking in the Age of Agentic AI: A Half-Day Tutorial
[NO] 111/116 | Information Infrastructures of Play: Metadata, Discourse, and Storytelling in Iranian Video Games
[NO] 112/116 | Rules, Resources, and Restrictions: A Taxonomy of Task-Based Information Request Intents
[NO] 113/116 | AI-Generated Phishing: Combining Human Behavior with Post Content to Assess Susceptibility
[NO] 114/116 | SEA-u-lator: Privacy Preserving Social Engineering Attack Simulator for Gmail
[NO] 115/116 | Offscript: Agentic Auditing of Instruction Adherence in LLMs
[NO] 116/116 | Attention! Rethinking What We Measure in CHIIR Studies
筛选完成：共 116 篇；Yes = 4 篇；已保存到 papers/select_paper2026-02-28.json。
邮件发送成功！
[2026-03-01 09:27:02] 任务执行成功！
