[2026-06-11 23:22:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-10
正在获取论文...
[arXiv] 2026-06-10 | Adaptive, efficient, and scalable water wave modeling with dispersive hyperbolic systems
[arXiv] 2026-06-10 | Space-sampled Value Decay: Forgetting Mechanisms for Non-stationary Deep Reinforcement Learning
[arXiv] 2026-06-10 | Tight Boundary Prediction in Speaker Diarization Using Causal-Anticausal Consistency
[arXiv] 2026-06-10 | Centrifugal instability of compressible flows and the hydrodynamic stability of accretion disks
[arXiv] 2026-06-10 | Dirichlet eigenfunctions have non-zero mean for generic domains
[arXiv] 2026-06-10 | Lius: Translation Model Based Instructional Lingustic Using Continual Instruction Tuning In Kupang Malay
[arXiv] 2026-06-10 | Last-Iterate Convergence of Optimistic Multiplicative Weight Update
[arXiv] 2026-06-10 | SVoT: State-aware Visualization-of-Thought for Spatial Reasoning via Reinforcement Learning
[arXiv] 2026-06-10 | Blind Dexterous Grasping via Real2Sim2Real Tactile Policy Learning
[arXiv] 2026-06-10 | A stochastic model for elastoplastic contact of rough surfaces incorporating scale-dependent hardness
[arXiv] 2026-06-10 | Acoda: Adversarial Code Obfuscation for Defending against LLM-based Analysis
[arXiv] 2026-06-10 | Non-symplectic Indices of Automorphism Groups of Smooth Cubic Fourfolds
[arXiv] 2026-06-10 | An Exploration of Recombination of Uranium with application to Kilonovae Spectra
[arXiv] 2026-06-10 | Time Series Analysis in Machine Learning
[arXiv] 2026-06-10 | Matching of perturbative and exponentiated initial state radiation corrections to $e^+e^-$-annihilation
[arXiv] 2026-06-10 | Quantum Correlation Hierarchy and Teleportation in Dephased Hydrogen Hyperfine System
[arXiv] 2026-06-10 | ICA Lens: Interpreting Language Models Without Training Another Dictionary
[arXiv] 2026-06-10 | Making Locality-aware GEMM Compatible with Page-Granularity Placement on Chiplet GPUs
[arXiv] 2026-06-10 | Evidence for New $D_s$-Family Molecular States
[arXiv] 2026-06-10 | MedCTA: A Benchmark for Clinical Tool Agents
[arXiv] 2026-06-10 | A Data-Centric Framework for Detecting and Correcting Corrupted Labels
[arXiv] 2026-06-10 | Understanding and Supporting Online Discussion with Opinionated Chatbots
[arXiv] 2026-06-10 | Reason, Then Re-reason: Cross-view Revisiting Improves Spatial Reasoning
[arXiv] 2026-06-10 | Lung-R1: A Knowledge Graph-Guided LLM for Pulmonary Diagnostic Reasoning
[arXiv] 2026-06-10 | Can Open-Source LLM Agents Replace Static Application Security Testing Tools? An Empirical Assessment
[arXiv] 2026-06-10 | ARGUS: Stacked Multi-View Identity Mosaic Injection for Subject-Preserving Video Generation
[arXiv] 2026-06-10 | A Robust Framework for Sybil Attack Detection in Vehicular Ad Hoc Networks
[arXiv] 2026-06-10 | Qualitative and quantitative homogenization of some non-Newtonian flows in perforated domains: case of `small holes'
[arXiv] 2026-06-10 | Learning Instance-Adaptive Low-Rank Orthogonal Subspaces for Clothes-Changing Person Re-Identification
[arXiv] 2026-06-10 | Subtraction Nim with Continuous Parameters
[arXiv] 2026-06-10 | Context-Driven Incremental Compression for Multi-Turn Dialogue Generation
[arXiv] 2026-06-10 | When direct detection constrains reheating temperature: freeze-in with stronger couplings and inflaton-seeded freeze-in
[arXiv] 2026-06-10 | Collective neutrino oscillations: Many-body non-forward effects and non-classicality
[arXiv] 2026-06-10 | Revealing Peri-Urban Dislocation through Percolation Analysis
[arXiv] 2026-06-10 | A Turbo-Inference Strategy for Object Detection and Instance Segmentation
[arXiv] 2026-06-10 | Latent World Recovery for Multimodal Learning with Missing Modalities
[arXiv] 2026-06-10 | Between Degeneracy and Evolution: UV-to-optical Insights into the BH$^*$ Model in Little Red Dots
[arXiv] 2026-06-10 | Fast-SDE: Efficient Single-Microphone Sound Source Distance Estimation in Reverberant Environments
[arXiv] 2026-06-10 | Entanglement generation between field modes mediated by a fluctuating conducting wall
[arXiv] 2026-06-10 | Photon Cycling and Laser Cooling of an Asymmetric Top Molecule
[arXiv] 2026-06-10 | A Five-Plane Reference Architecture for Runtime Governance of Production AI Agents
[arXiv] 2026-06-10 | Laser-Liquid Interaction in Laser-Induced Forward Transfer (LIFT) Printing: A Multiscale Perspective on Bubble Dynamics and Material Ejection
[arXiv] 2026-06-10 | Natural-Language Temporal Grounding in Hour-Long Videos is a Search Problem: A Benchmark and Empirical Decomposition
[arXiv] 2026-06-10 | Learning What to Say to Your VLA: Mostly Harmless Vision Language Action Model Steering
[arXiv] 2026-06-10 | Measuring Epistemic Resilience of LLMs Under Misleading Medical Context
[arXiv] 2026-06-10 | PianoKontext: Expressive Performance Rendering from Deadpan Context
[arXiv] 2026-06-10 | Plasmonic properties and correlation energies from a compact multipole representation of the dielectric response in 2D metals
[arXiv] 2026-06-10 | The Confined beta-Soft rotor model in rare-earth nuclei
[arXiv] 2026-06-10 | Market Design for AI: Beyond the Copyright Binary
[arXiv] 2026-06-10 | Partitioned Tags, Shared Data: Reconciling Strict Cache Isolation with Write-Shared Coherence
[arXiv] 2026-06-10 | Recent applications of the subtracted second RPA method
[arXiv] 2026-06-10 | Barycentric Corrections for HST/STIS Data
[arXiv] 2026-06-10 | Re-evaluating Confidence Remasking in Masked Diffusion Language Models
[arXiv] 2026-06-10 | Stability of the critical constant steady state of a Keller--Segel model
[arXiv] 2026-06-10 | m6A-FORM: A Foundation Model for Decoding N6-methyladenosine Biology
[arXiv] 2026-06-10 | Making Foresight Actionable: Repurposing Representation Alignment in World Action Models
[arXiv] 2026-06-10 | Time-Frequency Grid States for Reconstruction and Correction of Channel-Induced Distortion in Entangled Photons
[arXiv] 2026-06-10 | SHERPA: Seam-aware Harmonized ERP Adaptation for Open-Domain 360$^\circ$ Panorama Generation
[arXiv] 2026-06-10 | Mind your key: An Empirical Study of LLM API Credential Leakage in iOS Apps
[arXiv] 2026-06-10 | Intelligent Automation for Embodied Benchmark Construction: Pipelines, Embodiments, Simulators, and Trends
[arXiv] 2026-06-10 | Sparse metric spaces and sparse ends
[arXiv] 2026-06-10 | On Brouwer's Laplacian conjecture
[arXiv] 2026-06-10 | Beating Product Constructions for Linear Equations Over Finite Fields
[arXiv] 2026-06-10 | Threshold Regression for Fixed-T Panel Data with Interactive Fixed Effects
[arXiv] 2026-06-10 | A post-selected quantum model of cosmic acceleration
[arXiv] 2026-06-10 | Jet Radius Dependence of Energy Loss in Pb+Pb Collisions: A Comparative Analysis of the Ratio of Nuclear Modification Factors and Fractional Energy Loss
[arXiv] 2026-06-10 | Ferroelectric Altermagnetic Chern Insulator in magnetic field: electrical control of the Chern number
[arXiv] 2026-06-10 | Chiral Magnons and Cycloidal Phonons in Altermagnetic CuF$_{2}$ Monolayer
[arXiv] 2026-06-10 | Improving the Angular Resolution of IBD Events Using Neutron Capture Information in Super-Kamiokande
[arXiv] 2026-06-10 | Evaluating Bias in Phoneme-Based Automatic Speech Recognition Systems: An Analysis of IPA Transcription Models
[arXiv] 2026-06-10 | On The Effectiveness-Fluency Trade-Off In LLM Conditioning: A Systematic Study
[arXiv] 2026-06-10 | Bayesian nonparametric Mallows model for clustering preference data
[arXiv] 2026-06-10 | Reinforcement Learning Disrupts Gradient-Based Adversarial Optimization
[arXiv] 2026-06-10 | The carbon isotope ratio of β Pic b with high-resolution spectroscopy
[arXiv] 2026-06-10 | Reflective Metastructure Q-plate for Ultrashort Laser Pulses
[arXiv] 2026-06-10 | How Requirements Quality Makes (or Breaks) Traceability Link Recovery
[arXiv] 2026-06-10 | $\boldsymbol{T\overline{T}}$ correlators from tensionless strings
[arXiv] 2026-06-10 | Bracketing Relationships of Weighted Average Treatment Effects
[arXiv] 2026-06-10 | Sparse probes and murky physics: a case study of interpretability challenges in a foundation model for continuum dynamics
[arXiv] 2026-06-10 | VICX: Generalizable Robot Manipulation via Video Generation and In-Context Operator Network
[arXiv] 2026-06-10 | Are LLMs Bad at Moral Reasoning?
[arXiv] 2026-06-10 | Diffusive Relaxation of Participation Entropy in U(1)-symmetric Dynamics
[arXiv] 2026-06-10 | What Uncertainties Do We Need for Dynamical Systems?
[arXiv] 2026-06-10 | Bridging the Smart City Cybersecurity Data Gap Through AI-Driven Synthetic Dataset Generation
[arXiv] 2026-06-10 | Magnitude-Based Features for Multispecies Spatial Data
[arXiv] 2026-06-10 | Ideal structure of $\ell^p$ uniform Roe algebras
[arXiv] 2026-06-10 | Ambient Diffusion Policy: Imitation Learning from Suboptimal Data in Robotics
[arXiv] 2026-06-10 | XPR: An Extensible Cross-Platform Point-Based Differentiable Renderer
[arXiv] 2026-06-10 | Markov property and path regularity for the solutions to SPDEs driven by cylindrical-martingale valued measures
[arXiv] 2026-06-10 | Snapping Matters: Context-Aware Onset Refinement for Automatic Music Transcription
[arXiv] 2026-06-10 | GraspLLM: Towards Zero-Shot Generalization on Text-Attributed Graphs with LLMs
[arXiv] 2026-06-10 | PAPEL: A Collaborative System for Parental Guidance during Preschool Play-Based English Learning
[arXiv] 2026-06-10 | Image Quality Assessment of Identity Cards Using Measures from Open Face Image Quality
[arXiv] 2026-06-10 | Conformal Bayes under Label Shift: Post-Hoc Calibration vs. In-Training Adaptation
[arXiv] 2026-06-10 | StatefulDiscovery: Evidence-Calibrated Claim Formation in Open-Ended Scientific Discovery
[arXiv] 2026-06-10 | Breakdown of the classical rupture theory and earthquake propagation in the "forbidden" super-Rayleigh range
[arXiv] 2026-06-10 | Stochastic epidemic model with varying infectivity and waning immunity: the law of large numbers with unbounded infectivity
[arXiv] 2026-06-10 | Sparsity-Driven Source Localization in Tomographic Sensing Applications
[arXiv] 2026-06-10 | On the flash temperature in accelerated sliding contacts
[arXiv] 2026-06-10 | Modular Anthropomorphic Hand Design via Multi-Parameter Finger Benchmarking and Selection
[arXiv] 2026-06-10 | Nonlinear Mechanics and Predictable Bifurcation of Multi-Cell Kresling Origami Chains
[arXiv] 2026-06-10 | VEQ: a fast parametric Grad--Shafranov solver for fixed-boundary tokamak equilibria with flexible source profiles
[arXiv] 2026-06-10 | Local and global strong solutions to a reduced model for inviscid micropolar fluids
[arXiv] 2026-06-10 | External Experience Serving in Production LLM Systems: A Deployment-Oriented Study of Quality-Cost Trade-offs
[arXiv] 2026-06-10 | TextHOI-3D: Text-to-3D Hand-Object Interaction via Discrete Multi-View Generation and Joint Mesh Optimization
[arXiv] 2026-06-10 | SwarmSense-DNN: A Trustworthy and Decentralized Neural Framework for Proactive Anomaly Defense in Consumer IoT
[arXiv] 2026-06-10 | Kohn-Sham models for encapsulated two-dimensional materials
[arXiv] 2026-06-10 | Self-Excited Dynamo Driven by Non-Rotating Laminar Thermal Convection in a Regular Tetrahedron
[arXiv] 2026-06-10 | Battery detection of XRay images using transfer learning
[arXiv] 2026-06-10 | Consensus Time in 3-Majority and 2-Choices Is Determined by the Maximum Initial Opinion Density
[arXiv] 2026-06-10 | Segment-Wise Soft Robotics Inspired Flexible Antenna Arrays: Design and Optimization
[arXiv] 2026-06-10 | Hierarchical excitatory processes for modelling event-time data in the presence of exogenous stimuli
[arXiv] 2026-06-10 | Automated Creativity Evaluation of Language Models Across Open-Ended Tasks
[arXiv] 2026-06-10 | Vertex-critical co-gem-free graphs
[arXiv] 2026-06-10 | Machine Learning for Event Reconstruction in Imaging Atmospheric Cherenkov Telescopes
[arXiv] 2026-06-10 | Notes on the Theory of Statistical Symbol Recognition
[arXiv] 2026-06-10 | ERN-Net : Evolving Reason Node-Net for Document Binarization
[arXiv] 2026-06-10 | Explore From Sketch: Accelerating UAV Exploration in Large-scale Environments with Prior Maps
[arXiv] 2026-06-10 | The p-adic Cauchy Theorem and Overconvergent Period Sheaves
[arXiv] 2026-06-10 | Multivariate Period Rings
[arXiv] 2026-06-10 | Integrated magnonic neural circuits based on nonlinear wave neurons
[arXiv] 2026-06-10 | Beyond Frequency Marching: Orbit Recovery in Dihedral and Projected Multireference Alignment
[arXiv] 2026-06-10 | CompRank: Efficient LLM Reranking via Token-Level Compression and Decoding-Free Scoring
[arXiv] 2026-06-10 | Observation of coherently modulated phonon band and lifetime in superlattice
[arXiv] 2026-06-10 | The stability of Margulis space-times with parabolic holonomy elements
[arXiv] 2026-06-10 | Evaluation of Alternative-Based Information Systems for Deliberative Polling using an Agentic Simulator
[arXiv] 2026-06-10 | Layer-Isolated Evaluation: Gating the Deterministic Scaffold of a Production LLM Agent with a No-LLM, Regression-Locked Test Harness
[arXiv] 2026-06-10 | $τ$-tilting modules, depth and delooping level
[arXiv] 2026-06-10 | Organize then Retrieve: Hierarchical Memory Navigation for Efficient Agents
[arXiv] 2026-06-10 | Feynman--Kac formula for the heat equation with a one-center point interaction in $d=3$
[arXiv] 2026-06-10 | Neural-Parameterized Cellular Automata for Wildfire Spread
[arXiv] 2026-06-10 | Higher-Order Token Interactions via Quantum Attention
[arXiv] 2026-06-10 | Runtime Skill Audit: Targeted Runtime Probing for Agent Skill Security
[arXiv] 2026-06-10 | Probabilistic Salary Prediction with Graph Attention Networks and a Mixture Density Network
[arXiv] 2026-06-10 | TreeSeeker: Tree-Structured Trial, Error, and Return in Deep Search
[arXiv] 2026-06-10 | Undefined Behavior in C and C++: An Experiment With Desktop Use Cases
[arXiv] 2026-06-10 | When and how particles are removed by drops
[arXiv] 2026-06-10 | MFEN:Multi-Frequency Expert Network for Visible-Infrared Person Re-ID
[arXiv] 2026-06-10 | Relations in the 24-th homotopy groups of spheres
[arXiv] 2026-06-10 | Schedules and Prioritization: A Behavioral Foundation for Multi-Armed Bandits and Stopping Problems
[arXiv] 2026-06-10 | Pearl supratransmission in a boundary-driven two-dimensional nonlinear Schrödinger equation with a hole
[arXiv] 2026-06-10 | Proofs of two $q$-congruence conjectures of Guo
[arXiv] 2026-06-10 | ViT-FREE: Efficient Face Recognition via Early Exiting and Synthetic Adaptation
[arXiv] 2026-06-10 | Generalization Hacking: Models Can Game Reinforcement Learning by Preventing Behavioral Generalization
[arXiv] 2026-06-10 | Vaught's Conjecture for Unions of Products of Rooted Trees
[arXiv] 2026-06-10 | Emergent dilemma and periodic oscillation in the nonlinear interplay between epidemic and behavior
[arXiv] 2026-06-10 | Automated Responsive Thematic Mapping with Layout Guides
[arXiv] 2026-06-10 | Tabular Foundation Models for Clinical Survival Analysis via Survival-Aware Adaptation
[arXiv] 2026-06-10 | A Rank-Preserving Gaifman Normal Form
[arXiv] 2026-06-10 | Estimation of conserved charges for a one dimensional system with inhomogeneous hopping
[arXiv] 2026-06-10 | Channels and Substrates: Distributed Cognition as an Interaction Model for Ubiquitous Analytics
[arXiv] 2026-06-10 | SpecLoR: Spectral Lookahead Rectification for Motion-Coherent Text-to-Video Generation
[arXiv] 2026-06-10 | Quadratic APN Functions in Dimension 8 via Gröbner Basis Search in a Self-Equivalence Subspace
[arXiv] 2026-06-10 | Identifiability of $g$ mode Resonances in Eccentric Binary Neutron Stars with Multidetector Observations
[arXiv] 2026-06-10 | Scalar curvature, sharp bottom spectrum and geometric rigidity
[arXiv] 2026-06-10 | Neuro-Relational Programs: Unifying Queries and Neural Computation over Structured Data
[arXiv] 2026-06-10 | Detection of a parsec-scale, compact, and fading ejecta from an accreting massive black hole
[arXiv] 2026-06-10 | Characterizing Software Aging in GPU-Based LLM Serving Systems
[arXiv] 2026-06-10 | From Content to Knowledge: Lightning Fast Long-Video Understanding with Neural Knowledge Representations
[arXiv] 2026-06-10 | Tail-Aware Adaptive-k: Query-Adaptive Context Selection for Retrieval-Augmented Generation
[arXiv] 2026-06-10 | When Does Language Matter? Multilingual Instructions Reveal Step-wise Language Sensitivity in Vision-Language-Action Models
[arXiv] 2026-06-10 | Towards Responsibly Non-Compliant Machines
[arXiv] 2026-06-10 | AerialClaw: An Open-Source Framework for LLM-Driven Autonomous Aerial Agents
[arXiv] 2026-06-10 | A non-locally trivial $\mathrm{W}^*$-bundle with fixed factorial fibres
[arXiv] 2026-06-10 | From Agent Identity to Agent Economy: Measuring the Operational Readiness of ERC-8004 AI Agents
[arXiv] 2026-06-10 | Ionization-Induced Electrostatic Hose Instability in Electron-Beam-Sustained Plasmas
[arXiv] 2026-06-10 | All-electric picosecond field-free spin-orbit torque switching in magnetic trilayers
[arXiv] 2026-06-10 | Pure Point Spectrum is Generic
[arXiv] 2026-06-10 | Atmospheric Dynamics of Asymmetrically Magnetized Hot Jupiter
[arXiv] 2026-06-10 | Soft-Prompt Tuning for Fair and Efficient LLM Benchmark Evaluation
[arXiv] 2026-06-10 | Extremal number of edges in graphs without homeomorphically irreducible spanning trees
[arXiv] 2026-06-10 | World Model Self-Distillation: Training World Models to Solve General Tasks
[arXiv] 2026-06-10 | Tac-DINO: Learning Vision-Tactile Features with Patch Alignment
[arXiv] 2026-06-10 | Automating Geometry-Intensive Compliance Checking in BIM: Graph-Based Semantic Reasoning Framework
[arXiv] 2026-06-10 | Intrinsic Nonreciprocity in Electron-Phonon Interaction Driven Thermoelectric Diodes
[arXiv] 2026-06-10 | Emergent mirror symmetry in the optimization of the central-spin quantum battery
[arXiv] 2026-06-10 | Violation-Informed Spatio-Temporal Adaptive Targeting Framework for EV-Driven Distribution System Expansion Planning
[arXiv] 2026-06-10 | Benchmarking Neural Speech Compression from a Rate-Distortion Perspective
[arXiv] 2026-06-10 | Conditional Model-Adequacy Tests for Spectral Uncertainty Claims in Lattice QCD
[arXiv] 2026-06-10 | From Rings to Top-Hat beams
[arXiv] 2026-06-10 | A Two-Sided Sketching Algorithm for Low-rank Tensor Train Approximation
[arXiv] 2026-06-10 | A High-Precision Clock Synchronization System for the CEPC Accelerator
[arXiv] 2026-06-10 | Beyond the Golden Teacher: Enhancing Graph Learning through LLM-GNN Co-teaching
[arXiv] 2026-06-10 | Sensitivity Analysis of Generative Spatial Audio Metrics: A Study on Responsiveness, Smoothness, and Symmetry
[arXiv] 2026-06-10 | Distortion-Resilient Robotic Imitation Learning for Autonomous Cable Routing
[arXiv] 2026-06-10 | Understanding Cross-Sensor Feature Variations for Generalizable 3D Perception
[arXiv] 2026-06-10 | Relative biexactness and mixing in von Neumann algebras
[arXiv] 2026-06-10 | Nonlinearity Reversal in Epsilon-Near-Zero Indium Tin Oxide Driven by Few-Cycle Light Pulse
[arXiv] 2026-06-10 | APEX: A Network-Native Time-Series Foundation Model for Forecasting and Anomaly Detection for Wireless Edge Operations
[arXiv] 2026-06-10 | Superspace coinvariants and inverse systems for $GL_n(\mathbb{F}_q)$
[arXiv] 2026-06-10 | VL-DINO: Leveraging CLIP Vision-Language Knowledge for Open-Vocabulary Object Detectio
[arXiv] 2026-06-10 | SkillJuror: Measuring How Agent Skill Organization Changes Runtime Behavior
[arXiv] 2026-06-10 | MoCA-Agent: A Market-of-Claims Code Agent for Financial and Numerical Reasoning
[arXiv] 2026-06-10 | Adversarial Attacks on Learned Policies for Surgical Robotic Tasks
[arXiv] 2026-06-10 | Locally Acting Grover Mixers for Constraint-Preserving QAOA
[arXiv] 2026-06-10 | A dynamical proof of non-arithmeticity of Jordan spectra
[arXiv] 2026-06-10 | Maximizing Connectivity of Uplink RIS-Assisted UAV Networks
[arXiv] 2026-06-10 | Symmetric structure-preserving discretization of N-phase incompressible fluid mixtures with arbitrary density ratios
[arXiv] 2026-06-10 | Saturation of Nuclear Binding from Lattice Hamiltonians
[arXiv] 2026-06-10 | DSpinGNN: A Physics-Informed Equivariant Graph Neural Network for Dynamic Magnetic Exchange Prediction in Strain-Deformed Monolayer CrI$_3$
